"Aaron Herrmann","Rennergasse 9
1150 Gmünd" 
"Dipl.-Ing. Raffael Pauer","Hellgasse 8/7
7629 Vöcklabruck"
"Mark Löffler","Vogelstraße 7
2500 Rottenmann"
"Fabian Kurz","Ledererstr. 4/7
7647 Weitra"
"Natan Ramsauer-Lamprecht","Tom-Leopold-Ring 123
3513 Straßburg"
"Kristian Kirchmair","Schwendingerplatz 76
7890 Mödling"
"Sara Hinteregger-Hahn","Greinergasse 11
2505 Sankt Veit an der Glan"
"Anika Zenz","Louisa-Rettenbacher-Weg 7/4
9282 Trieben"
"Jannik Oberndorfer","Joseph-Schreiber-Platz 413
6204 Raabs an der Thaya"
"Lino Wallner","Stummerring 2
5755 Bad Radkersburg"
"Martina Schachner","Margreiterstr. 00
3810 Retz"
"Peter Stecher","Veitgasse 134
9406 Zwettl"
"Lora Horn","Ines-Salzer-Straße 0
7248 Schladming"
"Fabian Trimmel","Dana-Peer-Gasse 01
5588 Schrattenthal"
"Antonius Gärtner","Moosbruggerweg 1
1812 Ebreichsdorf"
"Kristina Kössler","Julia-Gratzl-Ring 6
1905 Laa an der Thaya"
"Natascha Fichtinger-Riedl","Vivian-Janisch-Weg 88
2898 Spittal an der Drau"
"Anna Höfer-Günther","Hanna-Glaser-Straße 174
4512 Saalfelden am Steinernen Meer"
"Aurelio Unterweger","Hausbergerplatz 1/6
5501 Freistadt"
"Ing. Marcus Nagl","Lina-Eisl-Weg 0/0
2916 Maissau"
"Carlotta Kolb","Stockhammergasse 388
6021 Liezen"
"Elias List","Paula-Breuer-Ring 6/8
7524 Tulln an der Donau"
"Kyra Kaltenegger-Thaler","Dornerweg 8/7
8711 Purkersdorf"
"Fabio Brandstetter","Lucie-Hochreiter-Gasse 914
8112 Ebenfurth"
"Kyra Lederer-Lengauer","Lucas-Maurer-Ring 6/2
1995 Zwettl"
"Maksim Lercher","Bianca-Schöller-Gasse 48
4541 Bleiburg"
"Bernhard Haller","Schrittwiesergasse 02
8894 Althofen"
"Univ.Prof. Darius Eisl","Jungwirthring 4/6
1849 Pöchlarn"
"Ben Neulinger","Rosenbergergasse 960
8882 Amstetten"
"Philip Stockinger","Pertlgasse 2
9915 Freistadt"
"Sofie Hütter","Emilian-Weber-Platz 874
1693 Imst"
"Prof. Siena Zechmeister","Moserring 7/8
3152 Ybbs an der Donau"
"Magdalena Humer","Reinthalerring 68
3602 Kindberg"
"Fabio Huber","Paula-Kober-Gasse 91
3178 Geras"
"Anna Hartmann","Leithnerweg 7/2
4937 Haag"
"Dipl.-Ing. Norah Bräuer","Cristiano-Steinlechner-Gasse 6
5279 Ternitz"
"Leon Reitinger-Zangerl","Angererplatz 6
1410 Leoben"
"Pauline Pircher","Dora-Schreiber-Ring 9
9540 Kindberg"
"Jacob Kremser","Scheidlplatz 1/7
1705 Innsbruck"
"Matteo Teufl","Rosalie-Zotter-Gasse 9/2
2827 Baden"
"Vincent Wögerbauer","Unterwegerring 032
1599 Traun"
"Lucas Bräuer","Leopold-Haslauer-Ring 9/0
7568 Gänserndorf"
"Theresa Farkas-Petz","Traunerstraße 3
5376 Scheibbs"
"Fabio Kreuzer","Kronsteinerstraße 69
3785 Sankt Pölten"
"Lilia Anderl","Liliana-Scheiber-Ring 3
9203 Bregenz"
"Franziska Hübner","Lugerstraße 9
1278 Gföhl"
"Anabella Eisl-Feichtinger","Mika-Buchegger-Ring 1/4
1189 Spittal an der Drau"
"Dr. Isa Leonhartsberger","Nils-Gschwandtner-Gasse 5
7618 Völkermarkt"
"Luca Schön","Amelia-Hofmeister-Weg 4
4123 Heidenreichstein"
"Amelia Jenewein","Hartmanngasse 30
2641 Judenburg"
"Philipp Kratzer","Caroline-Santner-Ring 7
7876 Amstetten"
"Dipl.-Ing. Clara Rohrmoser","Stieglerweg 62
2447 Leibnitz"
"Jasmina Pieber-Karrer","Peter-Trattner-Platz 3/2
2107 Liezen"
"Fabio Salzmann","Hauerring 7/2
7452 Gmünd"
"Marcus Klocker","Cristina-Schuler-Straße 63
9584 Heidenreichstein"
"Martin Unterweger","Robert-Bayer-Ring 62
2466 Gföhl"
"Juna Klement","Kevin-Röck-Straße 187
7343 Wieselburg"
"Rana Kocher-Windisch","Fellingerstr. 94
4942 Baden"
"Lukas Hackl","Sieglstraße 21
5970 Rohrbach in Oberösterreich"
"Adriano Berger","Theodora-Kager-Ring 645
6943 Linz"
"Viktor Mairhofer","Fuchsstraße 9/5
7804 Hartberg"
"Jannik Wandl","Hollerstraße 77
7449 Klosterneuburg"
"Joel Bauer-Wenzl","Kuhnweg 19
2271 Wörgl"
"Felicitas Kummer-Reinbacher","Luis-Schöpf-Gasse 5/8
2276 Laakirchen"
"Nadine Heim-Arnold","Severin-Puntigam-Gasse 41
8257 Fehring"
"Axel Schmuck","Hubergasse 632
4997 Waidhofen an der Ybbs"
"Viola Schiller","Leibetsederstraße 21
8674 Friedberg"
"Alexander Hofinger","Fankhauserweg 3/2
5092 Bad Sankt Leonhard im Lavanttal"
"Liliana Ziegler","Tim-Wegscheider-Ring 0/2
1462 Sankt Johann im Pongau"
"Prof. Karl Pendl","Reinischweg 6/9
9770 Laakirchen"
"Leah Siller","Mark-Gratzl-Ring 223
4814 Friedberg"
"Florin Hoffmann","Holzknechtring 101
6753 Sankt Andrä im Lavanttal"
"Dipl.-Ing. Claire Heindl","Leoni-Leutgeb-Straße 23
6726 Vils"
"Felix Hödl","Lercherring 996
7273 Knittelfeld"
"Vito Wegscheider","Kucerastraße 012
8008 Haag"
"Tanja Lutz","Arnoldring 5
2184 Krems an der Donau"
"Boris Käfer","Hofstätterweg 18
5556 Frauenkirchen"
"Alan Zechner","Grafgasse 217
5999 Sankt Pölten"
"Frau Natalie Bitschnau","Anne-Jung-Straße 2
6156 Marchtrenk"
"Melina Deutschmann","Elina-Nemeth-Gasse 31
6107 Trofaiach"
"Kevin Schrittwieser","Henri-Schmölzer-Ring 12
2140 Friesach"
"Mia Kern-Vogler","Knausring 7
6049 Althofen"
"Marko Heller","Amanda-Riedler-Ring 835
4877 Sankt Veit an der Glan"
"Felix Thaler","Mariella-Schütz-Ring 8/2
1250 Fischamend"
"John Keplinger","Jennifer-Köck-Weg 015
9586 Lienz"
"Daniela Schweighofer","Lindergasse 5/3
7025 Hainburg an der Donau"
"Anabella Neugebauer","Stephanie-Schubert-Ring 6
2709 Klosterneuburg"
"Leonora Schüller-Zöhrer","Stella-Nussbaumer-Gasse 2/0
5257 Leibnitz"
"Mina Kölbl","Bartlweg 7
8468 Grein"
"Dr. Selin Steidl","Samuel-Schaller-Straße 91
1671 Sankt Valentin"
"Prof. Lara Glaser","Unterwegerstraße 469
4400 Gmunden"
"Clemens Weninger-Steindl","Schwaigergasse 66
6224 Linz"
"Ing. Oscar Hübner","Nina-Gstrein-Ring 6
6649 Mistelbach an der Zaya"
"Ferdinand Eberharter","Leopold-Fischer-Platz 870
1577 Feldbach"
"Maya Dietrich","Gmeinerstr. 584
5425 Grieskirchen"
"Ariane Steiner","Kucerastraße 249
1954 Köflach"
"Carlo Schwarzl","Lionel-Krenn-Straße 717
3646 Bruck an der Mur"
"Naomi Gschaider","Ledererstraße 473
6670 Linz"
"Nela Pachler-Herbst","Matilda-Grundner-Ring 9
8811 Frauenkirchen"
"Univ.Prof. Leni Strauss","Schafferring 144
5772 Dornbirn"
"Finn Schrittwieser-Dorfer","Bacherplatz 4
1974 Schrattenthal"
"Melek Groß","Leni-Eberhard-Gasse 45
5756 Korneuburg"
"Vito Wieland","Juna-Lindorfer-Weg 49
1965 Lienz"
"Ferdinand Hutterer-Zeiler","Alexander-Ender-Platz 9/8
6455 Landeck"
"Dr. Jasmina Kogler","Trimmelweg 074
5203 Braunau am Inn"
"Leonardo Holzer","Lucia-Schartner-Platz 33
2885 Trieben"
"Kilian Koch","Joel-Kohl-Platz 1/1
4043 Bad Radkersburg"
"Karina Götz","Emilie-Weinberger-Weg 07
6727 Villach"
"Zara Wögerbauer","Sieberstraße 7
6019 Gmünd in Kärnten"
"Noel Schuh","Mert-Prohaska-Weg 9/5
6361 Ansfelden"
"Francesca Schachinger","Ben-Haderer-Straße 3/8
1207 Spittal an der Drau"
"Cristina Rabitsch","Peter-Schramm-Weg 8/9
5129 Frauenkirchen"
"Denise Dobler","Mayrhoferring 8/9
9515 Radstadt"
"Fernando Staudacher-Weissenböck","Krainerstraße 225
3303 Feldkirchen"
"Univ.Prof. Ella Erler","Juliane-Haas-Weg 83
1658 Bleiburg"
"Robert Roth","Baldaufstraße 4
5251 Traismauer"
"Timon Haslinger","Hoffmannring 447
5669 Wilhelmsburg"
"Florian Paul","Harrerweg 262
3625 Linz"
"Jannis Ringhofer","Lotte-Dietrich-Straße 270
2214 Mank"
"Mariella Schinnerl","Raabstr. 403
4328 Bischofshofen"
"Joshua Schwarzinger","Bernadette-Huter-Weg 141
7864 Mank"
"Eduard Bräuer","Ylvie-Greiner-Straße 9/7
1242 Allentsteig"
"Dr. Antonia Feichtner","Schreiberring 874
9500 Wörgl"
"Fernando Weninger","James-Zach-Straße 981
5438 Maissau"
"Dipl.-Ing. Erik Wurzinger","Seebacherweg 0/3
8957 Bregenz"
"Prof. Ellie Probst","Natan-Fröhlich-Ring 9/7
8241 Litschau"
"Leon Fleischmann","Lucas-Gritsch-Gasse 5
7760 Scheibbs"
"Melek Lechner","Ruth-Schweighofer-Straße 7
9468 Mistelbach an der Zaya"
"Ilias Haidinger","Jamie-Danner-Platz 9/6
5933 Rottenmann"
"Anastasia Neumeister-Wieser","Emmanuel-Prem-Straße 074
3006 Vöcklabruck"
"Elona Riedmann","Ela-Bacher-Ring 56
9840 Ebenfurth"
"Christoph Hofer","Hausbergerstraße 2
7907 Kindberg"
"Sonja Baumgartner","Laurenz-Hubmann-Straße 1
9091 Poysdorf"
"Filip Moser","Ulrichstr. 24
6551 Amstetten"
"Lea-Sophie Wöhrer","Hagengasse 4/8
6753 Fehring"
"Adam Stoiber","Ronya-Rauch-Weg 7/8
2594 Sankt Andrä im Lavanttal"
"Liam Pieber-Nagele","Blauensteinerweg 1/7
7051 Zeltweg"
"Angelo Lampert-Bäck","Eichbergerplatz 90
4779 Groß-Gerungs"
"Severin Grünberger","Prinzstr. 11
3511 Ebenfurth"
"Marcus Steinacher-Singer","Aylin-Kraxner-Ring 939
7239 Eisenstadt"
"Nathan Mühlböck","Linda-Prohaska-Straße 806
7438 Hainfeld"
"Leonard Neureiter-Lehner","Zeilingergasse 722
5013 Wels"
"Patrick Rauter","Stella-Prantl-Ring 7/4
4951 Traismauer"
"Finn Schwarzinger","Kreuzerstraße 173
3148 Sankt Valentin"
"Angelo Rossmann-Wechselberger","Konrad-Karner-Platz 4
3221 Oberpullendorf"
"Emilia Hinteregger","Nadine-Redl-Straße 6
2307 Bludenz"
"Elsa Pöll","Sulzerring 8
2140 Wörgl"
"Filip Feichter","Felicitas-Hagen-Straße 5
8261 Bad Radkersburg"
"Marvin Hauser","Ben-Wieser-Ring 9
6242 Bruck an der Mur"
"Rosalie Hinterleitner","Spindlerring 3
8289 Trofaiach"
"Melissa Koller","Theo-Kremser-Ring 8/9
9203 Laa an der Thaya"
"Hubert Polzer","Grabnerring 5/3
2861 Purkersdorf"
"Nicolas Taferner-Denk","Nußbaumerstr. 7/1
4019 Marchegg"
"Florentin Becker","Bäckgasse 950
4980 Vils"
"Adam Wiener","Leyla-Lampl-Weg 954
6291 Leoben"
"Florentin Grünberger","Angelo-Gritsch-Gasse 74
7413 Groß-Enzersdorf"
"Dipl.-Ing. Tobias Schiestl","Victoria-Unterweger-Platz 653
9275 Dürnstein"
"Claudia Harrer","Schimplstr. 94
2177 Amstetten"
"Frau Dilara Beer","Gregor-Stern-Platz 118
7053 Gallneukirchen"
"Leopold Oberndorfer","Emanuela-Larcher-Platz 294
1834 Purbach am Neusiedler See"
"Ismail Bayer","Kollergasse 3/0
9253 Bad Vöslau"
"Marcus Dobler-Sauer","Nika-Knaus-Platz 6
8063 Rattenberg"
"Isa Gschwandtner","Hütterstraße 771
8048 Straßburg"
"Florentin Buchegger-Siller","Hagerplatz 826
1117 Mödling"
"Siena Hoffmann","Anja-Götz-Gasse 46
7209 Melk"
"Luka Gutmann-Beck","Bodnerring 15
5977 Mödling"
"Ela Zauner-Krenn","Brucknerring 240
7372 Haag"
"John Windisch","Danglweg 9
2653 Deutsch-Wagram"
"Patrick Schenk","Ajna-Markl-Weg 8/8
7528 Dürnstein"
"Tobias Hartmann-Müller","Wandlstr. 8
1861 Trieben"
"Angelina Steindl","Lotta-Schiestl-Ring 4
8543 Lienz"
"Claire Stock","Natascha-Dallinger-Gasse 4/4
1121 Zell am See"
"Herr Kristian Meusburger","Laura-Doppler-Platz 520
3898 Salzburg"
"Florentin Hechenberger","Mörthplatz 3/7
3820 Mureck"
"Carl Sorger","Anne-Streicher-Weg 0/2
5010 Bad Ischl"
"Konstantin Dorfer-Obermayr","Justus-Beck-Straße 8/8
9725 Mariazell"
"Aurelia Hattinger","Tea-Schranz-Gasse 39
2780 Schrattenthal"
"Angelina Puntigam","Leonard-Fasching-Ring 19
2103 Bregenz"
"Clemens Höglinger","Weningerring 9
3486 Litschau"
"Ina Brandstetter","Fischerring 8/7
5151 Korneuburg"
"Valentino Kugler","Jägerplatz 75
5097 Schrems"
"Herr Darko Thaller","Sonja-Gollner-Weg 39
8601 Spittal an der Drau"
"Nikola Pacher-Bösch","Manuela-Hammerl-Weg 5/2
3020 Langenlois"
"Florentin Höglinger","Melisa-Gratzl-Ring 6/7
5773 Attnang-Puchheim"
"Melanie Ofner","Hutterweg 887
9989 Murau"
"Clarissa Kölbl","Magdalena-Neubacher-Weg 8
9456 Gmünd in Kärnten"
"Marta Fichtinger","Marcel-Müllner-Straße 023
7616 Judenburg"
"Laura Blum","Schützgasse 55
4897 Wiener Neustadt"
"Dr. Ruben Martin","Leona-Gangl-Straße 59
2509 Bad Radkersburg"
"Selena Wiener","Theo-Stecher-Weg 591
4109 Bruck an der Leitha"
"Nele Bacher","Franzweg 36
7562 Bad Radkersburg"
"Dr. Daniel Prantl","Anabella-Steinberger-Platz 8/2
4778 Maissau"
"Aaron Wimmer","Sahra-Stummer-Platz 786
6758 Sankt Valentin"
"Florentin Kager","Hellerstraße 592
9891 Traun"
"Constanze Reitbauer","Zöchlingring 086
6374 Weiz"
"Sebastian Steiger-Glaser","Wieserring 6/5
7460 Schwaz"
"Viktor Stangl-Schmidinger","Katarina-Fasching-Straße 261
8526 Krems an der Donau"
"Prof. Milan Simon","Berra-Leber-Weg 37
5504 Knittelfeld"
"Sebastian Pröll","Schulerplatz 88
8546 Völkermarkt"
"Ariana Bürger","Hermannstr. 9/4
4417 Oberwälz"
"Dipl.-Ing. Josef Neuhauser","Edda-Wittmann-Platz 423
2739 Ebreichsdorf"
"Arthur Weigl","Schlöglstraße 1/5
7132 Wieselburg"
"Johanna Pfeiffer","Reichstraße 715
8281 Attnang-Puchheim"
"Florentin Maierhofer","Nico-Schwendinger-Gasse 68
4022 Stadtschlaining"
"Joel Schwarzinger","Schilcherstraße 5/3
1890 Gloggnitz"
"Maja Strauß","Haslauerring 9/4
7771 Allentsteig"
"Elsa Scholz","Hochleitnerstr. 11
2123 Schrattenthal"
"Lydia Stockhammer","Ebnerweg 13
6438 Ebreichsdorf"
"Ben Friedrich","Kraxnerstr. 5/5
2531 Lilienfeld"
"Frau Naomi Wilhelm","Edda-Weinberger-Weg 59
5052 Mariazell"
"Nadia Höller-Schmied","Bianca-Klinger-Gasse 0/0
6231 Graz"
"Kevin Nussbaumer","Katarina-Bruckner-Platz 182
9497 Feldkirch"
"Victoria Schwaighofer","Leutgebstraße 28
5837 Pinkafeld"
"Florentina Danner-Hagen","Herrmannring 007
1418 Stockerau"
"Alena Schramm-Moritz","Krausstraße 82
3672 Traiskirchen"
"Dipl.-Ing. Marius Pokorny","Constanze-Puchner-Ring 5/5
3446 Hardegg"
"Univ.Prof. Daniela Frick","Meusburgerstr. 51
3045 Fehring"
"Ava Schweighofer","Lettnerweg 44
2527 Friesach"
"Aron Wögerbauer-Doppler","Gustav-Humer-Weg 30
1511 Hartberg"
"Berra Scheer","Zachstr. 753
2929 Weiz"
"Kyra Rosner","Schmidring 39
4730 Waidhofen an der Thaya"
"Raffaela Rössler","Jasper-Ritter-Weg 97
1778 Purkersdorf"
"Ellie Schramm","Putzring 1/6
2938 Eferding"
"Florentina Heger","Nadia-Marx-Platz 943
9051 Geras"
"Dennis Schuller","Pauline-Holzer-Weg 85
1708 Purbach am Neusiedler See"
"Emanuela Pilz","Adriana-Gassner-Ring 0
8284 Perg"
"Pia Plattner","Benedict-Stocker-Straße 9/7
3964 Stockerau"
"Univ.Prof. Noel Knoll","Platzerstr. 3/0
5924 Wolkersdorf"
"Maximilian Oberleitner-Schmid","Roman-Frank-Platz 4/5
3890 Gallneukirchen"
"Annabell Schwarz","Kummerring 946
9981 Schärding"
"Luana Angerer","Ferdinand-Höfler-Straße 0/1
8095 Kapfenberg"
"Juna Schubert-Augustin","Hugo-Feichter-Ring 3
4008 Trieben"
"Hannah Suppan","Kratzerplatz 8/5
2806 Mannersdorf am Leithagebirge"
"Florentina Zechmeister","Handlring 04
8044 Marchtrenk"
"Fiona Hauser","Lisa-Krammer-Platz 5/6
8569 Schärding"
"Nikola Mitter","Leyla-Jöbstl-Straße 4/9
8078 Villach"
"Benedikt Schöpf","Bauerstraße 216
8727 Traun"
"Hanna Kronberger","Emilia-Pröll-Platz 6
3151 Purbach am Neusiedler See"
"Dipl.-Ing. Selina Kraxner","Aylin-Schober-Gasse 83
9892 Hainfeld"
"Sophia Holzer","Wilhelmplatz 27
5616 Feldkirch"
"Michael Kummer","Knollstraße 91
1151 Knittelfeld"
"Vanessa Weigl","Grasslstraße 7
7616 Oberwälz"
"Stephanie Herrmann","Zara-Ullmann-Platz 32
4431 Attnang-Puchheim"
"Florian Amon","Trattnerring 945
7590 Maissau"
"Richard Kratzer-Erhart","Kolarweg 330
1939 Laakirchen"
"Kai Blum","Hannah-Schönberger-Weg 7
6305 Pulkau"
"Marta Huemer","Stiftergasse 6/3
5203 Traiskirchen"
"Jasmina Lorenz-Ludwig","Marie-Rohrer-Ring 5
4555 Wolfsberg"
"Karl Fankhauser","Hirschplatz 302
2644 Grein"
"Ralph Kucera","Greinerstr. 8/1
9511 Radstadt"
"Hanna Klein","Pauerweg 76
3683 Innsbruck"
"Dr. Rana Thaller","Rienerplatz 01
6484 Pinkafeld"
"Mariella Eisl","Herzogstr. 30
8908 Litschau"
"Florian Bayer","Selena-Mitter-Platz 72
5633 Klagenfurt"
"Violetta Hechenberger","Köberlstraße 68
1526 Gmünd in Kärnten"
"Calvin Schranz","Anton-Höller-Weg 828
4527 Mureck"
"Frau Nora Sammer","Rieplgasse 7
3607 Gloggnitz"
"Jannik Haslauer","Fürstgasse 815
6442 Radstadt"
"Berra Gmeiner","Reifstraße 3/6
8466 Traiskirchen"
"Zara Kurzmann","Arnoldweg 2/8
4487 Bad Vöslau"
"Dennis Muhr","Sofie-Schartner-Gasse 96
3617 Bad Vöslau"
"Katarina Strohmaier","Kevin-Bodner-Ring 044
2120 Marchtrenk"
"Karl Dorn","Lotta-Seitz-Weg 986
2330 Raabs an der Thaya"
"Florin Grasser","Henri-Zettl-Ring 49
7600 Altheim"
"Berra Brugger","Konrad-Schaller-Weg 03
2906 Bruck an der Mur"
"Alexandra Heller","Danilo-Taferner-Platz 042
1509 Zistersdorf"
"Marlene Metzler","Gärtnerplatz 8/7
4982 Perg"
"Linus Janisch","Nemethplatz 7
4400 Imst"
"Luka Gollner","Verena-Riedler-Weg 152
3593 Litschau"
"Victor Schiestl","Bergmannring 8/7
8282 Bludenz"
"Maurice Kargl","Dennis-Sagmeister-Gasse 29
2353 Grieskirchen"
"Univ.Prof. Alena Prinz","Lengauerweg 791
6692 Mannersdorf am Leithagebirge"
"Teodor Burger","Meyerring 4
9901 Frohnleiten"
"Florin Neuhold","Jasmine-Hafner-Straße 177
9380 Wilhelmsburg"
"Luca Schmid","Bartlweg 4/4
7433 Traun"
"Fridolin Walch","Leopold-Perner-Gasse 81
5411 Frohnleiten"
"Philip Sommer-Erber","Lukas-Leopold-Straße 41
5563 Saalfelden am Steinernen Meer"
"Marc Kitzler","Ariana-Aschauer-Ring 8
2032 Vils"
"Prof. Florin Weiss","Leander-Lassnig-Straße 2
3103 Bruck an der Mur"
"Dipl.-Ing. Anton Stocker","Lettnerstraße 0
3653 Oberpullendorf"
"Igor Pesendorfer","Krennplatz 73
5394 Groß-Gerungs"
"Hubert Hofmeister","Damian-Holzinger-Platz 95
3524 Berndorf"
"Jonathan Unterweger","Isabel-Messner-Straße 01
4746 Mautern an der Donau"
"Florin Zechner","Clara-Kerschbaum-Weg 63
7750 Eisenstadt"
"Lilia Reitinger","Filip-Zöchling-Weg 6/5
7520 Melk"
"Julijana Hämmerle","Raphael-Jöbstl-Platz 07
4222 Leibnitz"
"Marc Hauser","Dorferstr. 9/3
2707 Eisenstadt"
"Mila Gschaider","Matilda-Gattringer-Weg 5/5
2298 Melk"
"Ela Strohmeier","Adriano-Meixner-Weg 022
9152 Gleisdorf"
"Carolina Suppan","Schwabweg 29
3325 Radenthein"
"Michael Braun","Langstraße 5
6020 Graz"
"Prof. Peter Hammer","Selena-Lassnig-Platz 71
5960 Vöcklabruck"
"Valentina Kaindl","Stegerring 1/8
8959 Dürnstein"
"Francesca Arnold","Frida-Kaltenböck-Platz 31
7773 Gmünd"
"Bastian Schwaiger","Severin-Schiestl-Platz 41
1049 Bleiburg"
"Elsa Kirchner-Feichter","Rosalie-Ott-Ring 02
6909 Ansfelden"
"Emilia Ramsauer","Leander-Ullmann-Straße 13
2369 Dornbirn"
"Lars Kirchmair","Lercherplatz 20
3924 Mureck"
"Luis Kalcher","Hoferring 9
9311 Imst"
"Rayana Kramer","Santnerplatz 526
8655 Stadtschlaining"
"Julian Fellinger","Schusterweg 266
1525 Wörgl"
"Ariana Eisl-Rabl","Kolbweg 1
5231 Gmünd"
"Univ.Prof. Sara Zechmeister","Freygasse 71
8876 Melk"
"Francesca Krammer","Christian-Stoiber-Weg 084
4445 Bad Radkersburg"
"Frederik Dünser","Sofija-Kolar-Ring 08
4763 Traismauer"
"Theodor Buchner-Schulz","Paulstraße 4/6
6320 Bregenz"
"Vincent Perner","Kilian-Schindler-Weg 6/7
4237 Bad Aussee"
"Dipl.-Ing. Teodor Weissenböck","Bürgerring 16
7379 Bischofshofen"
"Milo Zotter","Nikita-Reichl-Ring 53
7625 Neunkirchen"
"Anika Schinnerl","Zottergasse 1/0
8926 Altheim"
"Patrick Steurer","Ella-Bruckner-Weg 73
5274 Ybbs an der Donau"
"John Pfeffer-Gritsch","Hauerring 3
3886 Mannersdorf am Leithagebirge"
"Cristiano Schrenk","Kunzplatz 54
3971 Judenburg"
"Francesca Luttenberger","Schrempfgasse 40
2651 Sankt Pölten"
"Niklas Schwarz","Nicole-Winter-Ring 4/3
9544 Ferlach"
"Laurenz Mayr","Hübnerring 55
4185 Traiskirchen"
"Nina Kucera","Meisterstr. 4/5
9976 Kufstein"
"Tea Hofbauer","Nikolas-Pauer-Platz 64
8732 Gallneukirchen"
"Nino Haas","Sauergasse 6/3
5271 Hainburg an der Donau"
"Hugo Brandner","Praxmarergasse 19
8742 Leoben"
"Ing. Jasmina Zeiner","Jovanovicstr. 13
8531 Wolfsberg"
"Emanuel Schöller","Antonella-Mitterer-Straße 2
1233 Bärnbach"
"Cristiano Weiser","Scholzplatz 44
2521 Korneuburg"
"Francesca Weigl","Pauline-Lutz-Straße 33
3073 Bad Ischl"
"Clara Helm","Hoffmannstr. 6/8
5741 Hall in Tirol"
"Marijana Pucher-Dengg","Reisingerstr. 419
6729 Amstetten"
"Matteo Gamsjäger-Weissenböck","Fehringerring 9
7996 Fischamend"
"Johannes Strohmeier","Angela-Falkner-Gasse 9
6278 Laakirchen"
"Ing. Maximilian Lenz","Albrechtweg 25
8025 Laa an der Thaya"
"Ing. Raphael Berthold","Johanna-Stifter-Ring 98
8822 Wels"
"Mina Mitter","Schwabplatz 8/8
8672 Traiskirchen"
"Alara Renner","Baumannstr. 8
5710 Allentsteig"
"Ing. Marie-Louise Ulrich","Reschring 788
3555 Neusiedl am See"
"Franz Fröschl-Klausner","Kreinerstr. 2/6
2140 Ebenfurth"
"Robert Graf","Böhmweg 90
2297 Raabs an der Thaya"
"Victoria Gindl","Domenica-Bucher-Straße 3/4
7507 Sankt Pölten"
"Alexa Staudacher","Huemerplatz 6
5347 Grieskirchen"
"Kai Dangl","Holzingerweg 9/7
6861 Wien"
"Ing. Nadia Klaus","Roman-Stangl-Straße 5/4
7688 Traun"
"Nele Urban","Nußbaumerplatz 66
3598 Hartberg"
"Karoline Schäfer","Reichmannstr. 40
9140 Schladming"
"Herr Maurice Buchberger","Ricardo-Hell-Ring 1/0
7218 Ternitz"
"Ing. Robert Kloiber","Steurergasse 85
8849 Wien"
"Franz Schmidl","Leibetsederweg 02
7219 Schärding"
"Anton Schön","Linda-Obermayr-Ring 940
8601 Pinkafeld"
"Milo Knapp","Nino-Baier-Gasse 9
7510 Bruck an der Mur"
"Elma Galler-Lindorfer","Lino-Scharf-Ring 0
7377 Schladming"
"Dipl.-Ing. Ronja Zeiler","Buchnerstraße 7
4120 Bad Hall"
"Thomas Jungwirth-Friedl","Jannis-Ernst-Gasse 608
8688 Mannersdorf am Leithagebirge"
"Leonhard Trinkl","Pöschlweg 7/8
3807 Berndorf"
"Boris Erlacher","Samuel-Hagen-Straße 74
2433 Bad Ischl"
"Anja Bachmann","Aleksander-Jovanovic-Ring 161
3997 Klosterneuburg"
"Dipl.-Ing. Pascal Baumann","Sagmeisterweg 205
3808 Baden"
"Franziska Fitz","Meusburgergasse 558
8269 Mank"
"Univ.Prof. Alma Riener","Bischofstraße 759
5419 Gmunden"
"Salma Ender","Fitzgasse 883
1724 Allentsteig"
"Michaela Obermayr-Wurzinger","Hammererstraße 9
8837 Langenlois"
"Prof. Jannik Lindner","Soraya-Spiegl-Ring 226
6466 Bad Hall"
"Adrian Hochreiter-Steinacher","Steinwenderstraße 4
6580 Tulln an der Donau"
"Emmanuel Reiner","Nicole-Schubert-Ring 1/3
4636 Stadtschlaining"
"Nikola Kaltenegger","Röckweg 6
6036 Trofaiach"
"Nicholas Zach-Schrempf","Jessica-Wachter-Platz 3/2
7558 Fischamend"
"Moritz Langer","Johann-Wirth-Weg 688
5229 Vöcklabruck"
