"Aaron Becker-Scheidl"	"Marta-Zehetner-Weg 454
8480 Zeltweg" 
"Oliver Pfeiffer"	"Mühlbergerring 2/9
4397 Klosterneuburg"
"Alexa Schmied"	"Lea-Sophie-Kraft-Weg 56
7771 Fischamend"
"Dipl.-Ing. Christopher Strohmaier"	"Claudia-Stückler-Weg 44
4139 Sankt Valentin"
"Robert Eichinger"	"Katharina-Buchner-Gasse 1/7
5122 Drosendorf-Zissersdorf 1"
"Carla Scholz"	"Stockerweg 487
3788 Bad Hall"
"Soraya Holl"	"Böckplatz 0/0
9496 Trieben"
"Emely Hartmann"	"Isabella-Schlosser-Platz 771
6928 Schwechat"
"Clarissa Dittrich"	"Raffaela-Freudenthaler-Gasse 78
7717 Gerasdorf bei Wien"
"Benedict Ender"	"Nikolaus-Biedermann-Straße 4/3
3183 Schärding"
"Kerstin Stelzer"	"Nathan-Lederer-Straße 961
3863 Fischamend"
"Timo Payer"	"Ajna-Geisler-Weg 7/3
3709 Mariazell"
"Ing. Laurin Kern"	"Schmidlplatz 8
9123 Mank"
"Dipl.-Ing. Ines Bischof"	"Selena-Barth-Ring 7
7289 Lilienfeld"
"Mira Larcher"	"Sandra-Schönberger-Gasse 9/1
5254 Gmunden"
"Justin Hofer"	"Erina-Freudenthaler-Weg 23
7002 Wilhelmsburg"
"Leni Obermüller"	"Mörthstr. 132
3993 Marchtrenk"
"Emely Mayer-Frühwirth"	"Adlergasse 9/4
2704 Lilienfeld"
"Simon Prinz"	"Eric-Adler-Weg 77
4319 Herzogenburg"
"Vincent Bauer"	"Fritschweg 9
8141 Dornbirn"
"Henri Rausch-Weber"	"Sorgerring 156
1531 Voitsberg"
"Marvin Posch"	"Kocherring 994
9790 Eisenstadt"
"Theodora Hummel"	"Gritschring 6
5149 Ebenfurth"
"Frau Elisabeth Jahn"	"Buchergasse 94
9914 Lilienfeld"
"Valentina Köberl"	"Dora-Erlacher-Platz 6/1
3646 Allentsteig"
"Sophia Barth-Greiner"	"Isabelle-Hubmann-Platz 637
5972 Schärding"
"Sophie Höglinger-Sattler"	"Natalia-Fritsch-Gasse 7
8370 Imst"
"Emely Philipp"	"Heidi-Weiß-Straße 49
1172 Steyr"
"Martin Paier"	"Goschplatz 43
4679 Mariazell"
"Julian Amon"	"Gabrielgasse 9/3
3420 Traun"
"Dipl.-Ing. Mario Zimmermann"	"Aichingerstr. 011
9442 Oberwälz"
"Liam Eibl"	"Mohrweg 34
5585 Völkermarkt"
"Bianca Reichel"	"Verena-Danninger-Ring 67
6797 Linz"
"Ronja Neugebauer"	"Rathgasse 0/7
8197 Pinkafeld"
"Edda Urban"	"Krugring 6
3392 Kapfenberg"
"Anabella Scheidl"	"Melissa-Grundner-Ring 1/9
3744 Raabs an der Thaya"
"Viola Kaspar"	"Franziska-Schmidinger-Ring 526
4028 Schrems"
"Emil Neugebauer"	"Krennweg 5/5
6747 Straßburg"
"Dr. Mira Heinrich"	"Altmannstr. 93
5314 Maissau"
"Nicolai Bartl"	"Lamprechtplatz 2
6100 Oberwälz"
"Esther Gabriel"	"Huttererring 661
8036 Baden"
"Natascha Lassnig"	"Zechnerplatz 8
8910 Groß-Siegharts"
"Frau Clara Kogler"	"Levi-Reiterer-Weg 8
2920 Frohnleiten"
"Yasmina Schöffmann"	"Ruben-Grüner-Gasse 08
3545 Traismauer"
"Rene Hinterberger"	"Ben-Oberhofer-Ring 358
5555 Oberndorf bei Salzburg"
"Juna Perner"	"Darko-Paulitsch-Gasse 65
7930 Ansfelden"
"Steven Lang"	"Pertlring 005
2080 Saalfelden am Steinernen Meer"
"Emil Pesendorfer"	"Stephanie-Auinger-Straße 956
5137 Kapfenberg"
"Raffael Kohler"	"Kröllgasse 13
6976 Gerasdorf bei Wien"
"Dr. Alexandar Maurer"	"Hausergasse 7/3
2340 Landeck"
"Magdalena Erhart"	"Meixnerplatz 832
1392 Zeltweg"
"Leon Keplinger-Grüner"	"Heldstraße 97
2738 Gmünd"
"Nadja Bösch"	"Hofingerring 15
9172 Sankt Johann im Pongau"
"Jonas Eichhorn"	"Sillerweg 0
9282 Judenburg"
"Frederik Vogler"	"Matilda-Schachinger-Ring 00
8916 Mistelbach an der Zaya"
"Vanessa Engl"	"Angelo-Günther-Platz 235
9629 Ybbs an der Donau"
"Univ.Prof. Naomi Feichtenschlager"	"Anika-Staudinger-Ring 0
9001 Amstetten"
"Emil Raab"	"Nathalie-Pinter-Ring 4
7270 Gmünd in Kärnten"
"Leopold Maier"	"Emanuel-Gangl-Weg 096
6109 Feldkirch"
"Natalie Fankhauser"	"Samuel-Brandner-Gasse 11
4196 Klosterneuburg"
"Mariam Falkner"	"Fichtingerring 1/3
6329 Rottenmann"
"Univ.Prof. Lily Schmölzer"	"Paul-Sattler-Platz 30
1096 Frauenkirchen"
"Juliane Göschl"	"Scharingerstr. 4
2396 Hartberg"
"Ruth Gschaider-Schaller"	"Nils-Schandl-Straße 8
7141 Oberwart"
"Joel Steinbauer"	"Kohlstr. 8/4
1552 Feldbach"
"Elyas Klausner"	"Geigergasse 56
8330 Neulengbach"
"Mark Jost"	"Tina-Stummer-Gasse 0/2
8301 Ternitz"
"Emil Reichl"	"Schalkgasse 8/0
8713 Villach"
"James Ott"	"Lennard-Buchner-Weg 7/1
6979 Friedberg"
"Kristina Stern-Heiss"	"Adriana-Bader-Gasse 19
6408 Gallneukirchen"
"John Grabner"	"Kitzlerstr. 6
4182 Melk"
"Karolina Pokorny"	"Haidengasse 16
3898 Feldbach"
"Yasmina Glück"	"Strohmeierplatz 9/2
4482 Gmünd in Kärnten"
"David Müllner"	"Hallerweg 942
6320 Pinkafeld"
"Liam Eberl-Wagner"	"Bianca-Kopp-Ring 048
4501 Gallneukirchen"
"Ricardo Doppler-Steinbauer"	"Verena-Hutterer-Platz 237
4375 Schrems"
"Marta Zach"	"Nathalie-Sonnleitner-Straße 5
6864 Gmünd in Kärnten"
"Emil Stockinger"	"Staudingerweg 526
6466 Neunkirchen"
"Eric Pöll"	"Joel-Schuh-Ring 7/0
4222 Zeltweg"
"Valentin Aichinger"	"Baumgartnerring 1
8951 Lilienfeld"
"Eda Weidinger-Graf"	"Sabine-Schimpl-Ring 9
7767 Liezen"
"Laura Pfeiffer"	"Patrik-Kratzer-Platz 32
4150 Wolkersdorf"
"Bastian Schönauer"	"Rainerstraße 924
5884 Neusiedl am See"
"Carla Keller"	"Philip-Rausch-Weg 76
7478 Wolfsberg"
"Christina Hofmann"	"Sieberstr. 0/2
3889 Wilhelmsburg"
"Lucie Wurzer"	"Neunergasse 5/3
2003 Eggenburg"
"Josefine Trinkl"	"Nußbaumerweg 539
5136 Mautern an der Donau"
"Emilia Hager"	"Leonhartsbergergasse 018
9178 Wels"
"Viktor Yilmaz"	"Bräuergasse 9/8
2857 Gloggnitz"
"Alexa Köll"	"Katarina-Veit-Platz 78
9481 Bregenz"
"Carlotta Reisner"	"Lily-Hofbauer-Platz 400
8356 Innsbruck"
"Herr Jakob Dobler"	"Heiglstr. 5/6
5128 Schladming"
"Dipl.-Ing. Niklas Zeiner"	"Lino-Jäger-Straße 58
6964 Wolfsberg"
"Christina Leibetseder"	"Haslingerplatz 6/1
8533 Drosendorf-Zissersdorf 1"
"Sena Suppan"	"Jovana-Kreidl-Gasse 0
7793 Köflach"
"Dipl.-Ing. Tanja Bucher"	"Braunweg 530
1219 Krems an der Donau"
"Prof. Adam Fuhrmann"	"Rottergasse 05
4556 Litschau"
"Emilia Jandl"	"Vivian-Schwaighofer-Ring 9
7905 Gerasdorf bei Wien"
"Eduard Schiller"	"Pia-Zechner-Ring 52
8705 Rust"
"Ronya Denk-Kurzmann"	"Tamara-Eberl-Straße 2
4593 Vils"
"Ella Zauner"	"Elvira-Baumgartner-Platz 1/0
4956 Purkersdorf"
"Clarissa Scheidl"	"Tiffany-Erler-Gasse 96
8946 Bruck an der Leitha"
"Gustav Hochleitner"	"Leopold-Knaus-Ring 2
2086 Gallneukirchen"
"Prof. Valentino Haiden"	"Noel-Gruber-Gasse 8
6910 Jennersdorf"
"Frau Fiona Urban"	"Adam-Anderl-Weg 82
8457 Scheibbs"
"Niklas Mayr"	"Margreitergasse 6
6024 Wiener Neustadt"
"Alexia Pühringer"	"Mannring 8
7401 Mattersburg"
"Emilia Kreidl"	"Mira-Schantl-Gasse 9
6017 Trieben"
"Marie Gartner"	"Soraya-Stummer-Weg 6/1
5071 Friedberg"
"Michael Plank"	"Schäferstraße 3/2
7490 Maissau"
"Mara Grassl"	"Peerring 8
1371 Mautern an der Donau"
"Tiffany Knoll-Steinberger"	"Sillerplatz 83
1225 Groß-Gerungs"
"Nikola Feigl"	"Emilian-Hager-Platz 2
2630 Althofen"
"Juliana Mandl"	"Reitererstr. 199
4351 Melk"
"Dr. Anabella Böhm"	"Jeneweinplatz 50
3419 Purkersdorf"
"Annalena Schönauer-Janisch"	"Nadia-Walcher-Straße 47
5576 Sankt Veit an der Glan"
"Lia Kirchner"	"Dietrichstr. 32
1374 Kindberg"
"Emilia Müllner"	"Oliver-Schandl-Platz 27
5468 Hainfeld"
"Charlotte Kreidl-Pohl"	"Alex-Kucera-Straße 92
1379 Mattersburg"
"Annabell Frank"	"Angelina-Ringhofer-Platz 4/6
5413 Kindberg"
"Lars Fischer"	"Larcherweg 43
1231 Linz"
"Prof. Rosalie Zettl"	"Steven-Gärtner-Ring 71
9028 Schwaz"
"Nikolas Strasser-Pertl"	"Niklas-Haider-Ring 604
5975 Neulengbach"
"Univ.Prof. Lucia Lorenz"	"Johannes-Hirsch-Weg 41
9348 Hainfeld"
"Prof. Sofie Sperl"	"Stefangasse 375
7774 Linz"
"Marijana Bräuer"	"Schererring 7
9152 Schärding"
"Natalia Friedl"	"Königplatz 2
3180 Lienz"
"Emilia Schwaiger-Stadlbauer"	"Handlgasse 55
3336 Eggenburg"
"Friedrich Lammer"	"Burtscherweg 9
1776 Mattersburg"
"Nathan Eichinger-Weinberger"	"Riedlerweg 5
2642 Jennersdorf"
"Ing. Nadia Rauter"	"Linus-Pilz-Straße 349
7149 Ferlach"
"Leander Auer"	"Liststraße 9
5558 Oberwälz"
"Benedict Glaser"	"Ellie-Bischof-Weg 9/7
7724 Mattighofen"
"Herr Jannik Höglinger"	"Laureen-Riener-Ring 708
4676 Gmünd"
"Maryam Sorger-Auer"	"Böhlergasse 8/6
2586 Sankt Andrä im Lavanttal"
"Siena Heissenberger"	"Postlstraße 350
7963 Weitra"
"Malena Pachler"	"Wohlmuthstraße 5/8
1638 Rattenberg"
"Emilian Bruckner"	"Kreinerring 9/5
7161 Waidhofen an der Thaya"
"Heidi Friedrich"	"Laglerplatz 5/9
7902 Schwechat"
"Marcel Ender"	"Eggerstr. 0/0
5789 Wörgl"
"Alexia Kober"	"Hauserstr. 765
6562 Ternitz"
"Nils Mark"	"Sommerplatz 8
7711 Oberpullendorf"
"Levi Meyer"	"Timon-Lechner-Ring 8/8
3701 Waidhofen an der Ybbs"
"Joel Zöhrer-Schandl"	"Elias-Blauensteiner-Weg 069
8174 Braunau am Inn"
"Denise Riedl"	"Schmiedgasse 6/9
3366 Ried im Innkreis"
"Fabian Widhalm"	"Juliane-Jenewein-Platz 95
4854 Neumarkt am Wallersee"
"Selin Huber"	"Mateo-Hosp-Straße 0
7058 Peuerbach"
"Emilian Kern-Pinter"	"Rosa-Friedl-Ring 2/0
4178 Stockerau"
"Hanna Kohl-Pauer"	"Ferstlgasse 546
3338 Radenthein"
"Salma Trattner-Bader"	"Yilmazstr. 44
2802 Laa an der Thaya"
"Marina Haumer"	"Lea-Sophie-Herbst-Straße 95
7587 Schwaz"
"Tea Eichberger-Pock"	"Paulina-Lettner-Ring 721
8520 Ybbs an der Donau"
"Herr Luis Pucher"	"Eric-Reichel-Platz 2/5
2030 Bad Vöslau"
"Jan Reindl"	"Mariana-Vogt-Platz 4/1
4372 Imst"
"Melek Schwarzinger-Meusburger"	"Kasparring 5/3
6867 Landeck"
"Christine Trinkl"	"Grünerplatz 08
9806 Eggenburg"
"Vito Siller"	"Breuerplatz 0
3720 Laakirchen"
"Emilian Rabitsch-Holzknecht"	"Isabella-Fleck-Gasse 8
1290 Kufstein"
"Angela Schwarz"	"Leberstraße 51
3517 Baden"
"Erwin Bruckner"	"Anja-Friedrich-Gasse 395
7215 Laa an der Thaya"
"Samuel Steinacher"	"Schantlring 590
4368 Liezen"
"Alexandra Rotter"	"Aurora-Lutz-Weg 536
1709 Steyr"
"Dr. Marko Baldauf"	"Leontina-Binder-Weg 56
2183 Bad Aussee"
"Selina Pock"	"Hubmannweg 785
3829 Bad Leonfelden"
"Antonia Tauber"	"Rosalie-Ender-Platz 4/4
3236 Bad Aussee"
"Jennifer Gross-Felder"	"Rieplgasse 42
8570 Linz"
"Nadin Probst-Mader"	"Elias-Gosch-Weg 26
7512 Altheim"
"Emilie Dengg"	"Ulrichweg 3
9657 Linz"
"Lucia Thurner"	"Metzlerstraße 30
7593 Hartberg"
"Markus Krall-Frick"	"Alexa-Zimmermann-Weg 9/6
9386 Peuerbach"
"Prof. Peter Heinz"	"Petra-Wiesinger-Weg 422
5657 Krems an der Donau"
"Lia Kocher"	"Grasslstr. 8
9109 Oberndorf bei Salzburg"
"Ruben Lampl"	"Nora-Hammerl-Ring 8
2647 Rust"
"Ing. Anabella Schneider"	"Mayrhoferstraße 5/4
2525 Amstetten"
"Raphael Karner-Huber"	"Meyerstr. 7
9179 Hardegg"
"Domenica Pirker"	"Damian-Dangl-Platz 8/8
7027 Pulkau"
"Elona Jauk"	"Eichingergasse 971
5811 Wolfsberg"
"Emilie Reitbauer-Heigl"	"Michael-Kriegl-Ring 99
2663 Mank"
"Nela Ebner"	"Höflerstraße 4
1746 Purkersdorf"
"Univ.Prof. Valentin Kammerer"	"Pfefferweg 2
8569 Bregenz"
"Ing. Emilie Gritsch"	"Salma-Traxler-Straße 4
9785 Baden"
"Anika Metzler"	"Bianca-Beck-Gasse 9/8
3899 Weitra"
"Beni Hartl"	"Schneiderstr. 6
7325 Rust"
"Ruth Jovanovic"	"Stieglerplatz 8
2085 Korneuburg"
"Sandra Bachinger-Glück"	"Joel-Haid-Straße 22
1704 Hardegg"
"Joel Strobl"	"Haberlring 790
5390 Bruck an der Leitha"
"Univ.Prof. Marissa Mayrhofer"	"Elona-Schreiber-Weg 4/2
7122 Trofaiach"
"Emilie Rossmann"	"Nicola-Griesser-Weg 44
7707 Neunkirchen"
"Sigrid Zauner"	"Hofstetterstraße 9
8442 Wilhelmsburg"
"Univ.Prof. Marcel Trimmel"	"Bäckweg 4
5013 Bruck an der Leitha"
"Constantin Leitner"	"Stummerring 8/4
3659 Gleisdorf"
"Ilias Fabian"	"Kapellerring 04
4177 Klagenfurt"
"Isabell Lackner"	"Lilian-Kirchner-Weg 9
5525 Neusiedl am See"
"Lars Nöbauer"	"Nikolas-Kaltenbrunner-Weg 117
8630 Schärding"
"Friedrich Huter"	"Franziska-Singer-Platz 925
5408 Steyregg"
"Erik Schöberl"	"Denise-Stütz-Weg 7/2
5551 Klagenfurt"
"Bernhard Berner"	"Rieserplatz 4
6328 Rust"
"Emilie Thalhammer-Ernst"	"Kaisergasse 4
9448 Herzogenburg"
"Theodor Markl"	"Theo-Häusler-Ring 247
5473 Pinkafeld"
"Eda Holl"	"Fellingergasse 24
9510 Feldkirchen"
"Angelika Pöll"	"Lorenz-Stelzer-Platz 144
2566 Rattenberg"
"Mariana Hofmann"	"Rabitschring 4/6
3682 Neulengbach"
"Sarah Rausch"	"Gloria-Loidl-Platz 988
7562 Bad Leonfelden"
"Dipl.-Ing. Sophie-Marie Meusburger"	"Patricia-Zehetner-Platz 0
3518 Mistelbach an der Zaya"
"Elyas Schuster"	"Meyerring 6
2216 Enns"
"Anna Lechner"	"Annabella-Leitgeb-Gasse 6/1
4697 Perg"
"Christine Gross"	"Florentin-Hinterberger-Straße 7/4
1545 Eisenerz"
"Emilie Zangerl"	"Haidring 315
4962 Mürzzuschlag"
"Raffael Holler-Müllner"	"Nina-Geiger-Weg 9/6
6381 Gerasdorf bei Wien"
"Luisa Sulzer"	"Nicolai-Kucera-Weg 4
5864 Hartberg"
"Elias Heim-Freitag"	"Max-Baldauf-Ring 07
6826 Zwettl"
"Philip Reiter"	"Antonio-Eichinger-Platz 4
2379 Pregarten"
"Dipl.-Ing. Nikolaus Bösch"	"Hechenbergerweg 611
2323 Melk"
"Christoph Steidl"	"Leonhartsbergerplatz 5
5589 Fürstenfeld"
"Florian Dünser"	"Fröhlichstr. 78
4489 Friedberg"
"Selina Rieser"	"Filip-Schweiger-Gasse 7/9
4407 Spittal an der Drau"
"Eric Bogner"	"Nicole-Sieberer-Ring 9/8
6045 Laakirchen"
"Emma Artner"	"Weberplatz 31
1252 Spittal an der Drau"
"Bianca Nussbaumer"	"Oberndorferplatz 9
2776 Schwaz"
"Vera Kirchmair"	"Leonard-Ritter-Ring 6
3352 Fehring"
"Nicholas Bachmann"	"Lindingerstr. 438
7597 Bludenz"
"Madeleine Holzer"	"Laila-Hödl-Straße 4
9194 Eggenburg"
"Sophie Gasser"	"Kyra-Klocker-Weg 38
4080 Poysdorf"
"Lukas Forster"	"Vivian-Kirschner-Straße 7/5
4518 Wolkersdorf"
"Univ.Prof. Andrej Achleitner"	"Haiderstraße 06
8969 Trieben"
"Alexia Kopp-Eisner"	"Leonard-Hummel-Gasse 149
3276 Pregarten"
"Dipl.-Ing. Florentin Scherer"	"Niklas-Plank-Gasse 420
1717 Kapfenberg"
"Emma Böhm"	"Kuceraweg 66
3560 Schladming"
"Frederik Rabl"	"Ludwigstraße 4/2
5830 Lilienfeld"
"Dr. Juliana Aigner"	"Friedrich-Kain-Weg 231
5141 Groß-Gerungs"
"Amelie Zöhrer"	"Bittnerring 3
7582 Lienz"
"Frau Selma Mohr"	"Julian-Schramm-Ring 0
7775 Klagenfurt"
"Sophie Gratz-Buchegger"	"Lia-Bacher-Platz 061
2378 Pulkau"
"Julian Zach-Schatzl"	"Matteo-Steiger-Gasse 7/3
5130 Gallneukirchen"
"Luis Pfeiffer"	"Joel-Reiner-Weg 83
2150 Bruck an der Leitha"
"Ina Lorenz-Laimer"	"Katarina-Leber-Straße 158
2337 Peuerbach"
"Mariella Schöpf"	"Justin-Fuchs-Straße 3
5349 Imst"
"Emma Gritsch"	"Nisa-Siller-Ring 8/2
7922 Kindberg"
"Ing. Michael Schweiger"	"Albrechtstraße 613
3048 Klagenfurt"
"Jannis Häusler"	"Leyla-Traxler-Platz 3/5
3866 Schwechat"
"Jasmina Lampert"	"Bachlergasse 60
8751 Bad Sankt Leonhard im Lavanttal"
"Lennart Zehetner"	"James-Albrecht-Straße 7/7
6770 Sankt Johann im Pongau"
"Univ.Prof. Carlotta Jahn"	"Brucknerstr. 7
5741 Hardegg"
"Michael Aschauer"	"Helene-Rotter-Weg 309
5189 Sankt Pölten"
"Iris Berner"	"Gloria-Reiterer-Gasse 09
2714 Gerasdorf bei Wien"
"Maryam Wegscheider"	"Louis-Horn-Platz 2/2
9863 Hardegg"
"Erwin Janisch"	"Kai-Pröll-Straße 0
4610 Waidhofen an der Ybbs"
"Emma Mathis"	"Marius-Petz-Straße 4/8
7499 Schwaz"
"Louisa Seidl"	"Merlin-Scheer-Weg 86
3197 Freistadt"
"Frau Emilie Dietrich"	"Frederik-Greiner-Gasse 6/7
3949 Mariazell"
"Juliane Grabher"	"Paierweg 3
3722 Zwettl"
"Frau Rana Freitag"	"Fuchsstraße 6
4583 Traiskirchen"
"Prof. Fridolin Eichhorn"	"Feichtnerstraße 87
8494 Gleisdorf"
"Eduard Pilz"	"Haasstraße 51
4022 Retz"
"Prof. Karim Haberl"	"Aurelio-Tanzer-Straße 493
3195 Frauenkirchen"
"Univ.Prof. Lorenz Fankhauser"	"Philipp-Parzer-Platz 7/9
8586 Pulkau"
"Leopold Stöger"	"Danningerplatz 989
1958 Gmunden"
"Emma Stangl"	"Brandlstr. 573
6990 Lilienfeld"
"Mona Thaller-Berchtold"	"Jannis-Bock-Ring 166
3051 Schärding"
"Therese Burtscher"	"Pilzring 8/1
8020 Steyregg"
"Benjamin Schwaiger"	"Sieberring 1
2404 Ansfelden"
"Ing. Kilian Hochleitner"	"Kurzmannring 7/4
8854 Klosterneuburg"
"Charlotte Maier-Springer"	"Tauchergasse 5
7557 Leibnitz"
"Rachel Ferstl"	"Veronika-Sailer-Straße 6/5
5444 Wilhelmsburg"
"Danilo Fritsch-Uhl"	"Lorenzo-Geier-Weg 21
1773 Mannersdorf am Leithagebirge"
"Univ.Prof. Mila Groß"	"Wittmannstraße 277
2197 Bruck an der Mur"
"Gabriela Dietrich"	"Baderweg 4
2246 Wolfsberg"
"Emma Stelzer"	"Goschweg 9/3
8103 Schladming"
"Rita Sieberer"	"Hagerstraße 1/4
8976 Schwaz"
"Oscar Mayrhofer"	"Ella-Heinrich-Straße 22
8974 Wels"
"Noah Holzknecht"	"Fridolin-Schreiber-Gasse 983
2620 Bad Aussee"
"Jamie Reichel"	"Mühlbacherstraße 99
1892 Pöchlarn"
"Natalia Hofer"	"Nowakgasse 7/1
7487 Dornbirn"
"Jannis Ostermann"	"Laila-Pirker-Platz 4/4
7284 Vöcklabruck"
"Sandro Hausberger"	"Bruno-Kolm-Platz 28
1010 Fehring"
"Dario Holler"	"Stockerstr. 0
7463 Krems an der Donau"
"Natan Koch"	"Altmannstr. 847
7834 Mank"
"Emmanuel Kitzler-Krall"	"Farkasstraße 973
5197 Wiener Neustadt"
"Ben Handler"	"Nathan-Maringer-Weg 6/9
5673 Bad Ischl"
"Manuela Hammerl"	"Hellstraße 4/4
8347 Groß-Enzersdorf"
"Dr. Matheo Lechner"	"Fankhauserweg 3/3
5772 Weitra"
"Dr. Rachel Lampert"	"Arda-Schaller-Platz 31
8784 Melk"
"Lotte Brandner"	"Bachingerring 1/8
1015 Dornbirn"
"Frau Sophie Lang"	"Kesslerring 33
3228 Friesach"
"Kerstin Aigner"	"Nick-Engel-Gasse 929
8804 Linz"
"Maida Mühlberger"	"Sauerstr. 811
7283 Rohrbach in Oberösterreich"
"Mateo Rosenberger"	"Lean-Putz-Gasse 0
6622 Wolkersdorf"
"Emmanuel Koppensteiner"	"Niederlstr. 22
8313 Altheim"
"Nicolai Kastner"	"Zeilingerweg 717
8994 Ried im Innkreis"
"Tanja Hummer"	"Kröllgasse 741
8336 Friesach"
"Prof. Bruno Klammer"	"Gloria-Lammer-Gasse 992
8925 Friedberg"
"Hubert Bachinger"	"Lana-Haider-Gasse 396
4383 Bad Leonfelden"
"Lorenzo Barth"	"Deutschmannstr. 4/8
3905 Ebenfurth"
"Darko Bartl"	"Nela-Bruckner-Straße 433
4611 Attnang-Puchheim"
"Kristina Hammerl"	"Englgasse 507
2610 Oberwart"
"Ing. Rosalie Buchner"	"Strasserstr. 0/1
6282 Zeltweg"
"Dana Hochleitner"	"Leibetsederweg 5
2982 Hardegg"
"Emmanuel Leopold-Nussbaumer"	"Laetitia-Lercher-Platz 74
8478 Radstadt"
"Erwin Kriegl-Neuwirth"	"Frankstr. 221
6887 Sankt Andrä im Lavanttal"
"Lara-Sophie Helm-Rudolf"	"Marco-Kaltenbrunner-Platz 3
1571 Gallneukirchen"
"Matteo Eibl"	"Martin-Karl-Ring 27
1267 Gmunden"
"Kevin Weinberger"	"Bernerring 2/9
3266 Gmünd in Kärnten"
"Justin Gabriel"	"Mühlböckstr. 81
9483 Ebenfurth"
"Liliane Urban-Hofmann"	"Patricia-Eisl-Weg 072
8873 Dornbirn"
"Marcel Sauer"	"Luttenbergerring 559
1156 Grein"
"Iris Zenz-Held"	"Leonhartsbergerweg 5/5
2220 Gmunden"
"Lora Pühringer"	"Lilly-Krall-Weg 54
4034 Rattenberg"
"Emmanuel Riepl"	"Gärtnerweg 1/3
6514 Gföhl"
"Verena Hattinger-Karrer"	"Katarina-Gasser-Weg 61
9222 Sankt Valentin"
"Christopher Klocker"	"Laureen-Fleck-Straße 58
5170 Melk"
"Prof. Karina Hoffmann"	"Franziska-Aichinger-Gasse 3
3754 Zeltweg"
"Ing. Vera Auinger"	"Heinzlweg 02
8749 Trieben"
"Rita Zeilinger-Feichtinger"	"Hinterbergerweg 54
9488 Gleisdorf"
"Marc Mühlbacher"	"Nagelestraße 28
8662 Herzogenburg"
"Ruth Schatz"	"Jacob-Siegl-Platz 94
9953 Raabs an der Thaya"
"Dilara Bader"	"Kai-Varga-Ring 436
5708 Maissau"
"Petra Bodner-Eberhard"	"Jasmine-Gratz-Platz 0/2
6747 Rattenberg"
"Emmanuel Thalhammer-Stadler"	"Isabella-Taferner-Platz 922
2556 Bad Leonfelden"
"Nina Schachner"	"Anna-Danner-Gasse 7
5570 Sankt Andrä im Lavanttal"
"Roman Rudolf-Baldauf"	"Patricia-Schatzl-Weg 6
2176 Ybbs an der Donau"
"Leonhard Weiss"	"Rittergasse 67
9439 Pregarten"
"Darius Holzinger-Kaiser"	"Braunweg 17
9927 Bad Ischl"
"Jasmine Gmeiner"	"Patricia-Reiter-Weg 910
4883 Mariazell"
"Sven Dobler"	"Annabell-Holzer-Gasse 998
5889 Voitsberg"
"Jacob Marx"	"Leebstr. 50
8900 Wolfsberg"
"Karina Haiden"	"Leontina-Hofmann-Ring 1
3327 Klosterneuburg"
"Moritz Tischler"	"Schulerweg 9
5912 Braunau am Inn"
"Emmanuel Zechmeister-Linder"	"Rana-Oberhofer-Platz 0
2779 Mannersdorf am Leithagebirge"
"Karla Hechenberger-Schindler"	"Rosalie-Schneeberger-Platz 1/1
2210 Enns"
"Ing. Irina Kargl"	"Walderplatz 572
9985 Rottenmann"
"Finn Sturm-Fröschl"	"Lara-Danner-Platz 659
9472 Scheibbs"
"Vanessa Schachner"	"Linderstr. 556
1379 Wieselburg"
"Elisabeth Weiser"	"Maryam-Fercher-Gasse 896
8326 Kindberg"
"Dr. Marko Schreiner"	"Böhmweg 8
7088 Berndorf"
"Ferdinand Kahr"	"Scheidlweg 4
5078 Grieskirchen"
"Ing. Leonard Lagler"	"Carina-Wittmann-Platz 8
5181 Murau"
"Christopher Gahleitner"	"Chris-Gruber-Ring 3
9686 Heidenreichstein"
"Eric Gindl-Laimer"	"Moritz-Klingler-Straße 15
9921 Sankt Pölten"
"Antonius Feichter"	"Lucie-Kaindl-Weg 370
4690 Gloggnitz"
"Anna-Maria Hagen"	"Koppensteinerplatz 552
8403 Bad Leonfelden"
"Alara Hinteregger"	"Vincent-Hofbauer-Ring 61
6568 Amstetten"
"Justus Bräuer"	"Sofia-Wild-Straße 771
8410 Zwettl"
"Laurenz Siegl"	"Anika-Nussbaumer-Platz 0
8858 Perg"
"Steven Danner"	"Gallerring 3/0
4334 Mautern an der Donau"
"Matilda Trauner-Dünser"	"Ostermannstr. 1/9
4171 Murau"
"Dennis Forster"	"Nowakstraße 87
6681 Wiener Neustadt"
"Maurice Groß-Pircher"	"Tina-Schwarzl-Straße 06
4048 Hartberg"
"Eric Hammerer"	"Schalkgasse 29
7815 Peuerbach"
"Aurelia Muhr-Polzer"	"Bockring 5/3
2682 Mattighofen"
"Ines Eibl-Kreuzer"	"Seitzplatz 427
6156 Raabs an der Thaya"
"Dr. Rita Kain"	"Darius-Wegscheider-Weg 33
5650 Enns"
"Kalina Prem"	"Schwaighoferstraße 11
6250 Bregenz"
"Sam Wenzl"	"Katja-Fink-Platz 132
8485 Ansfelden"
"Tina Frühwirth"	"Constanze-Spreitzer-Ring 4
1304 Gloggnitz"
"Sahra Brenner"	"Grabnerstraße 6/1
7870 Weitra"
"Lara Salzmann"	"Mühlböckplatz 7/6
4227 Zell am See"
"Sandro Glück"	"Schillerstr. 087
1810 Mürzzuschlag"
"Erik Holzer-Becker"	"Ella-Haiden-Weg 288
9444 Kapfenberg"
