"Adolf Gorenc"|"Hribarjevo nabrežje 6a
7288 Kobarid" 
"Željko Mlakar"|"Posavskega ulica 3c
6668 Dravograd"
"Nastja Zalokar"|"Šlosarjeva ulica 4b
6049 Ruše"
"Stjepan Čuk"|"Čampova ulica 7c
4218 Koper"
"Karel Pavlin"|"Golouhova ulica 7c
6557 Slovenske Konjice"
"Alenka Resnik"|"Miklavčeva ulica 2c
7435 Kobarid"
"Matej Zakrajšek"|"Rečna ulica 3c
4995 Krško"
"Damjan Pečnik"|"Pionirska pot 8a
5641 Mengeš"
"Samo Demšar"|"Lubejeva ulica 2
5636 Ilirska Bistrica"
"Marko Jenko"|"Kumerjeve ulica 25
9652 Jesenice"
"Josip Železnik"|"Murkova ulica 6c
0719 Lenart v Slovenskih goricah"
"Justina Kodrič"|"Knezov štradon 8
6001 Slovenska Bistrica"
"Damjan Božič"|"Lamutova ulica 11
5413 Sežana"
"Franjo Hrovat"|"Lakotence 219
7999 Žalec"
"Urška Furlan"|"Pot v Mlake 8a
8754 Kranj"
"Simon Ilić"|"Nebotičnikov prehod 140
3840 Bled"
"Nevenka Lah"|"Zevnikova ulica 0a
6667 Tolmin"
"Damjan Pintar"|"Čampova ulica 956
6757 Ruše"
"Zdenka Sever"|"Sovretova ulica 1c
6853 Kamnik"
"Ivo Sušnik"|"Žabarjeva ulica 8c
2381 Žiri"
"Slavica Šuštar"|"Gača 7
8146 Vipavski Križ"
"Maja Breznik"|"Kmečka pot 054
0271 Črnomelj"
"Marija Pintarič"|"Pot k studencu 1a
8696 Jesenice"
"Niko Turk"|"Polje, cesta XVI 824
4097 Medvode"
"Jasna Dolenc"|"Pod Debnim vrhom 7
8845 Mežica"
"Vid Zupan"|"Vegova ulica 4c
8475 Postojna"
"Iztok Volk"|"Njegoševa cesta 7c
8343 Tržič"
"Damjan ribič"|"Vrhovci, cesta XXVIII 5
0155 Tržič"
"Barbara Petek"|"Marinovševa cesta 3
5119 Murska Sobota"
"Nikolaj Knez"|"Ajdovščina 81
4014 Ljubljana"
"Mateja Vodopivec"|"Fužinska cesta 1
7966 Domžale"
"Milka Žnidaršič"|"Groharjeva cesta 8c
8068 Prevalje"
"Stanka Pavlič"|"Gubčeva ulica 5a
5802 Vipava"
"Adrijana Petek"|"Rudnik I 853
5746 Vrhnika"
"Emil kuhar"|"Kardeljeva ploščad 9c
3210 Trebnje"
"Veronika Perko"|"Clevelandska ulica 7c
6547 Litija"
"Jelena Mlinarič"|"Za progo 9a
1252 Idrija"
"Damjana Debeljak"|"Steletova ulica 00
0819 Šentjur"
"Larisa Fras"|"Vrhovci, cesta XX 8b
7673 Logatec"
"Matevž Tavčar"|"Novakova ulica 9c
5797 Višnja Gora"
"Željko Mlakar"|"Arharjeva cesta 2a
3883 Bovec"
"Miran Horvat"|"Ulica Andreja Kumarja 1b
7137 Tolmin"
"Vlasta Bizjak"|"Šestova ulica 24
9594 Ptuj"
"Patricija Žibert"|"Frenkova pot 0b
9801 Šempeter pri Gorici"
"Manca Lešnik"|"Štebijeva cesta 0
9061 Višnja Gora"
"Viktorija Leskovar"|"Langusova ulica 0
5899 Ljubljana"
"Stanka Zorko"|"Korotanska ulica 3b
8856 Ribnica"
"Damjana Kolarič"|"Nanoška ulica 4
9335 Bovec"
"David Kalan"|"Pod hruško 6
0155 Črnomelj"
"Feliks Mlinarič"|"Tobačna ulica 05
1962 Šempeter pri Gorici"
"Karl Gregorič"|"Ob daljnovodu 8
5335 Šempeter pri Gorici"
"Tina Kolarič"|"Kolmanova ulica 3
6491 Brežice"
"Timotej Zupanc"|"Koleševa ulica 2
2204 Maribor"
"Angela Zorman"|"Burnikova ulica 2b
2789 Lenart v Slovenskih goricah"
"Nikola Železnik"|"Lovska ulica 39
2299 Slovenj Gradec"
"Pavel čeh"|"Juvanova ulica 2a
6388 Tolmin"
"Iris Kaučič"|"Friškovec 72
9680 Višnja Gora"
"Daniel Kalan"|"Siva pot 6
8745 Ljutomer"
"Saša Koželj"|"Ob žici 465
7921 Kamnik"
"Jani Eržen"|"Ulica bratov Komel 3a
8771 Vipava"
"Marjan Kolenc"|"Tometova ulica 7a
1535 Bled"
"Marjan Bizjak"|"Ilovški štradon 3a
8515 Slovenska Bistrica"
"Davorin Bajc"|"Cesta 27. aprila 373
9631 Zagorje ob Savi"
"Blaž Zupan"|"Vrazov trg 143
8954 Vrhnika"
"Marica Marolt"|"Erbežnikova ulica 647
6508 Mežica"
"Zora Dolinar"|"Lazarjeva ulica 6a
7441 Ptuj"
"Špela Rožič"|"Joškov štradon 1b
9463 Rogaška Slatina"
"Daniel Kočevar"|"Putrihova ulica 93
5297 Šempeter pri Gorici"
"Nives Zakrajšek"|"Cesta na Urh 27
6043 Domžale"
"Vladimir Kranjc"|"Devinska ulica 9c
9781 Nova Gorica"
"Magdalena Zakrajšek"|"Novo Polje, cesta XIX 010
0744 Prevalje"
"Ivana Erjavec"|"Nahlikova ulica 68
4714 Trebnje"
"Tomaž Hrovat"|"Grajski drevored 0b
8988 Kamnik"
"Romana Potočnik"|"Robičeva ulica 033
2502 Novo mesto"
"Miro Mihelič"|"V dolini 0c
0149 Ruše"
"Ivana petek"|"Privoz 7
0352 Gornji Grad"
"Iris Jereb"|"Gerbičeva ulica 8
1635 Tolmin"
"Daniel Košir"|"Milčetova pot 19
8948 Celje"
"Sebastijan Jelen"|"Nadgoriška cesta 91
5257 Bovec"
"Jerneja Leban"|"Peršinova cesta 90
3045 Ljutomer"
"Tilen Štrukelj"|"Oražnova ulica 52
1432 Kostanjevica na Krki"
"Ljudmila Volk"|"Tbilisijska ulica 3a
8950 Gornji Grad"
"Mateja Marolt"|"Pavšičeva ulica 829
8965 Tržič"
"Živa Kastelic"|"Pod Trančo 3b
2397 Celje"
"Damir Pirc"|"Mokrška ulica 08
3527 Bovec"
"Hana Javornik"|"Puhtejeva ulica 96
1134 Kočevje"
"Danilo Horvat"|"Sternadova ulica 2b
8982 Radeče"
"Daniel Lesjak"|"Ulica Nade Čamernikove 1c
0335 Črnomelj"
"Valentina Jarc"|"Čerinova ulica 6c
5261 Maribor"
"Maks Resnik"|"Kuzmičeva ulica 290
8874 Vrhnika"
"Aleksandar Gregorič"|"Blasnikova ulica 0
4766 Hrastnik"
"Damir Kotnik"|"Brdnikova ulica 4
3849 Kamnik"
"Marko Dolinar"|"Gasparijeva ulica 5c
8855 Ljubljana"
"Blaž Bergant"|"Godeževa ulica 525
9121 Laško"
"Rafael Hribar"|"Gruberjevo nabrežje 53
9497 Rogaška Slatina"
"Klara Zupančič"|"Ulica Žanke Erjavec 6
2646 Maribor"
"Boštjan Rozman"|"Veliki štradon 800
4705 Prevalje"
"Daniel Likar"|"Vošnjakova ulica 0a
2103 Ljubljana"
"Mira Zajc"|"Draga 9
0079 Vipavski Križ"
"Julija Žnidaršič"|"Malnarjeva ulica 25
1456 Sevnica"
"Neja Rožič"|"Ulica Ivana Roba 68
9395 Izola"
"Magda Koren"|"Kraljeva ulica 6b
0184 Tolmin"
"Marinka Blažič"|"Zupanova ulica 3
0650 Črnomelj"
"Magda Kovačič"|"Snežniška ulica 9
6113 Ilirska Bistrica"
"Marija žagar"|"Zdešarjeva cesta 5a
2380 Šoštanj"
"Sandi Kobal"|"Rožna dolina, cesta VIII 9a
5756 Trbovlje"
"Mark Jovanović"|"Martina Krpana ulica 652
1219 Logatec"
"Daniel Mlakar"|"Draveljska ulica 7c
0120 Mengeš"
"Nikolaj Kolar"|"Molekova ulica 5a
3842 Ptuj"
"Vlasta Zorko"|"Kladezna ulica 859
2208 Tolmin"
"Silva Zakrajšek"|"Na cvetači 18
5295 Murska Sobota"
"Matej Novak"|"Ocvirkova ulica 616
7203 Maribor"
"Mateja Logar"|"Štebijeva cesta 1b
8705 Velenje"
"Kristjan Žagar"|"Med hmeljniki 077
8833 Ljutomer"
"Ivan Zupanc"|"Krištofova ulica 4a
0192 Gornja Radgona"
"Igor Kos"|"Jesihov štradon 9a
7590 Tolmin"
"Polonca Vodopivec"|"Na Žalah 976
7527 Ruše"
"Daniel Rajh"|"Kumerjeve ulica 5
1071 Izola"
"Kaja Eržen"|"Beethovnova ulica 9
0004 Piran"
"Nina Kotnik"|"Jakopičev drevored 63
5392 Tolmin"
"Marjeta Bezjak"|"Ulica Minke Bobnar 8c
5068 Turnišče"
"Vanja čeh"|"Jamova cesta 32
8988 Brežice"
"Jelka Cvetko"|"Reber 1c
9589 Hrastnik"
"Vesna Novak"|"Rečna ulica 99
3996 Trbovlje"
"Karmen Blažič"|"Cesta 24. junija 3c
9365 Gornja Radgona"
"Vlado Kastelic"|"Clevelandska ulica 7
6006 Lendava"
"Martin Jenko"|"Jarše 35
2912 Maribor"
"Daniel Tomažič"|"Krovska ulica 23
9441 Postojna"
"Rudi Zemljič"|"Ob daljnovodu 95
3070 Mengeš"
"Igor Blatnik"|"Jurčičev trg 0a
0447 Laško"
"Zvonko Petek"|"Ulica Vladimirja Trampuža 3b
7998 Nova Gorica"
"Stanislava Zorman"|"Ob pristanu 7c
8370 Murska Sobota"
"Aleks Tomažič"|"Puharjeva ulica 1
8974 Cerknica"
"Blanka Pirnat"|"Lazarjeva ulica 8
6847 Logatec"
"Mojca Pirnat"|"Cesta Ceneta Štuparja 6b
4260 Zagorje ob Savi"
"Nika Lah"|"Celjska ulica 0b
5222 Grosuplje"
"Domen Koželj"|"Ulica Vide Pregarčeve 2c
6113 Koper"
"Daniel Zupan"|"Novo Polje, cesta XVII 3b
4602 Logatec"
"Ladislav Košir"|"Rodičeva ulica 105
3262 Ptuj"
"Štefanija Fras"|"Za Garažami 26
4139 Maribor"
"Zora Mlinarič"|"Reboljeva ulica 1a
6141 Dravograd"
"Teja Gregorič"|"Ulica Konrada Babnika 88
5053 Maribor"
"Ines Blatnik"|"Pečnik 9
7621 Ilirska Bistrica"
"Teja Breznik"|"Medarska ulica 7b
2604 Kočevje"
"Franci ribič"|"Bohoričeva ulica 4c
7218 Kostanjevica na Krki"
"Kaja Vidovič"|"Omersova ulica 0
9111 Ribnica"
"Nejc Rupnik"|"Ulica Marije Drakslerjeve 4b
4402 Sevnica"
"Daniel Zupanc"|"Črna pot 3a
4073 Črnomelj"
"Avgust Maček"|"Clevelandska ulica 3a
8941 Železniki"
"Marinka Kovač"|"Vodnikovo naselje 7b
1835 Ravne na Koroškem"
"Stanislav Lebar"|"Obrežna steza 1b
5053 Tržič"
"Sara Korošec"|"Pod topoli 88
1110 Murska Sobota"
"Julija Hodžić"|"Marčenkova ulica 961
3333 Slovenj Gradec"
"Alen Blatnik"|"Hladnikova cesta 4
0470 Medvode"
"Hermina Tratnik"|"Pod hribom 96
6208 Laško"
"Vesna čeh"|"Trnovska ulica 9c
9184 Velenje"
"Mihael Kolarič"|"Rojčeva ulica 2c
2025 Vipavski Križ"
"Daniela Jug"|"Gosposka ulica 7b
0158 Ljubljana"
"Tadej Šmid"|"Hladilniška pot 721
1746 Metlika"
"Alen Vidovič"|"Kranerjeva ulica 13
1789 Radeče"
"Matjaž Jamnik"|"Gorjupova ulica 3a
1999 Žiri"
"Marko Likar"|"Zajčeva pot 4c
8563 Dravograd"
"Roza Pogačnik"|"Gradišče 874
6828 Slovenj Gradec"
"Laura Kovačič"|"Rožna dolina, cesta XV 8c
9797 Grosuplje"
"Julija Popović"|"Molekova ulica 8c
5921 Velenje"
"Frančišek volk"|"Janežičeva cesta 8
2746 Vipavski Križ"
"Slobodan Zver"|"Kržičeva ulica 20
7573 Žalec"
"Daniela Novak"|"Vrhovci, cesta XXVI 5
2091 Ravne na Koroškem"
"Simon Simonič"|"Cimpermanova ulica 9b
3157 Turnišče"
"Olga Eržen"|"V Karlovce 7a
6748 Ribnica"
"Valter Rožič"|"Matjanova pot 4b
1518 Grosuplje"
"Albin Petek"|"Zelenova ulica 5c
9700 Zagorje ob Savi"
"Maja Zajc"|"Pirnatova ulica 5
2142 Piran"
"Drago žagar"|"Mali štradon 92
1777 Šentjur"
"Joško Gorenc"|"Ulica Mirka Jurce 0
4906 Ruše"
"Maruša Logar"|"Baragova ulica 0a
9807 Kamnik"
"Hedvika Knez"|"Čepovanska ulica 7
9937 Slovenska Bistrica"
"Daniela Zupančič"|"Pahorjeva ulica 0b
2924 Ruše"
"Valerija Kalan"|"Marice Kovačeve ulica 3
7023 Domžale"
"Nadja Kranjc"|"Bizjakova ulica 5c
0243 Lenart v Slovenskih goricah"
"Nikolaj Rus"|"Pot na Visoko 1b
6124 Krško"
"Leon Dolinšek"|"Vrhovci, cesta VI 48
7718 Slovenj Gradec"
"Štefanija Kočevar"|"Cesta Ljubljanske brigade 2b
9460 Logatec"
"Adrijana Fras"|"Bohoričeva ulica 136
4207 Velenje"
"Franc Jereb"|"Bohinjčeva ulica 2b
3247 Ribnica"
"Zvonka Medved"|"Za opekarno 886
8977 Kočevje"
"Matjaž Zorman"|"Pri mostiščarjih 4b
5163 Gornja Radgona"
"Danijel Janežič"|"Zajčevi dvori 058
8611 Celje"
"Karel Golob"|"Pot heroja Trtnika 4b
0613 Ajdovščina"
"Damijan Kocjančič"|"Kavškova ulica 2a
2954 Lenart v Slovenskih goricah"
"Rafael Mihelič"|"Prijateljeva ulica 0b
5956 Maribor"
"Jerica Vodopivec"|"Zvezna ulica 2a
3599 Slovenske Konjice"
"Lara Žižek"|"Trpinčeva ulica 1
4463 Železniki"
"Tamara Eržen"|"Rožna dolina, cesta VIII 4
1147 Laško"
"Štefka Čuk"|"Ramovševa ulica 00
8999 Radeče"
"Ludvik Žnidaršič"|"Polje, cesta XLII 709
4647 Žalec"
"Larisa Petek"|"Osterčeva ulica 6a
7675 Ruše"
"Danijel Kolarič"|"Majaronova ulica 0a
7548 Bled"
"Anton Žižek"|"Kraljeva ulica 5
7336 Ormož"
"Laura Čuk"|"Cesta v Prod 14
6863 Brežice"
"Kristjan Perko"|"Goljarjeva pot 6a
8162 Vipavski Križ"
"Roza Kramar"|"Dobrdobska ulica 6a
9972 Lenart v Slovenskih goricah"
"Tea Žibert"|"Rakuševa ulica 004
8863 Ilirska Bistrica"
"Daniel Lešnik"|"Pot na mah 27
6695 Slovenska Bistrica"
"Miroslav Blatnik"|"Selanov trg 59
9875 Radovljica"
"Marjana Jenko"|"Stoženska ulica 4a
3860 Tržič"
"Saša Medved"|"Pot na Breje 8a
5531 Trbovlje"
"Danijel Kos"|"Bobenčkova ulica 63
3281 Velenje"
"Tine Lazar"|"Zidarjev štradon 5a
2971 Vipava"
"Lana Majcen"|"Majorja Lavriča ulica 3
2946 Velenje"
"Pavel Bajc"|"Ulica bratov Škofov 4b
6587 Lenart v Slovenskih goricah"
"Jasmina Kočevar"|"Jarška cesta 9
6205 Kamnik"
"Romana Koren"|"Pri malem kamnu 8c
2628 Sežana"
"Srečko Mavrič"|"Hradeckega cesta 366
2267 Dravograd"
"Silva Bregar"|"Krakovski nasip 3a
5266 Izola"
"Melita čeh"|"Madžarska ulica 3c
5727 Ormož"
"Katja Ramšak"|"Grintovška ulica 2c
4794 Gornji Grad"
"Danijel Košir"|"Dečkova ulica 85
9903 Vipava"
"Marinka Bergant"|"Martina Krpana ulica 3b
6039 Črnomelj"
"Jožef Kovačič"|"Golouhova ulica 7a
6240 Dravograd"
"Rebeka Krajnc"|"Ribičičeva ulica 3b
4186 Ptuj"
"Vid Krivec"|"V Češnjico 568
5602 Sevnica"
"Elvis Bregar"|"Udvančeva ulica 3c
1653 Radeče"
"Jasmina Primožič"|"Malnarjeva ulica 223
8000 Sevnica"
"Roman Breznik"|"Mestni trg 3c
1893 Sevnica"
"Antonija Novak"|"Aškerčeva cesta 9b
4849 Bovec"
"Lilijana Breznik"|"Vodovodna cesta 745
3675 Laško"
"Danijel Pintar"|"Glinška ulica 9a
5126 Murska Sobota"
"Marijana Kolar"|"Ulica aktivistov 0c
1276 Logatec"
"Petra Horvat"|"Gornji trg 562
1211 Mežica"
"Tine Knez"|"Ulica Lojzeta Spacala 7b
5896 Bovec"
"Neja Zver"|"Jarška cesta 9b
6616 Piran"
"Uroš Kovačič"|"Podlimbarskega ulica 6
1326 Ruše"
"Mojca Jug"|"Cesta v hrib 1a
7898 Dravograd"
"Milka Medved"|"Sončna pot 0
0835 Nova Gorica"
"Lucija Javornik"|"Tacenska cesta 7c
5601 Vipavski Križ"
"Milka Hočevar"|"Mrharjeva ulica 13
0360 Kočevje"
"Danijel Rajh"|"Ulica aktivistov 4a
6850 Višnja Gora"
"Peter Dolenc"|"Ulica borcev za severno mejo 7b
6354 Nova Gorica"
"Valerija Petek"|"Cesta v hrib 6b
0938 Vipavski Križ"
"Marija Kos"|"Verovškova ulica 2a
0391 Črnomelj"
"Zvonko Vidmar"|"Zasavska cesta 6c
4411 Gornji Grad"
"Teja Jerič"|"Pučnikova ulica 4a
2569 Koper"
"Amalija Popović"|"Linhartova cesta 092
1887 Velenje"
"Marijan Šmid"|"Berdajsova ulica 5b
2334 Velenje"
"Jerneja Zver"|"Ulica Franca Nebca 73
1654 Cerknica"
"Davor Rožman"|"Okiškega ulica 6a
9019 Izola"
"Danijel Zupančič"|"Gabrov trg 4
8880 Škofja Loka"
"Anže Pirnat"|"Igriška ulica 29
9817 Gornji Grad"
"Tatjana Lazar"|"Nade Ovčakove ulica 5b
5511 Šentjur"
"Tim Petrovič"|"Pot na most 4b
2927 Prevalje"
"Drago Potočnik"|"Janežičeva cesta 225
3077 Vipavski Križ"
"Josip Likar"|"Podlimbarskega ulica 607
0869 Krško"
"Zdravko Kobal"|"Stritarjeva ulica 5b
7328 Trbovlje"
"Vera Popović"|"Prule 6
0046 Metlika"
"Karol Kotnik"|"Igriška ulica 6c
7525 Domžale"
"Maks Mihelič"|"Zajčeva pot 7
2782 Radovljica"
"Danijel volk"|"Ulica 24. avgusta 717
9850 Koper"
"Anica Kočevar"|"Miklavčeva ulica 1b
0196 Ormož"
"Emilija Leskovar"|"Partizanska ulica 2a
4185 Gornji Grad"
"Anka Turk"|"Jensenova ulica 5a
8610 Vipavski Križ"
"Miro Tomažič"|"Rjava cesta 5c
4439 Ptuj"
"Hermina Kovač"|"Ob žici 2a
8520 Radovljica"
"Petra Železnik"|"Frankopanska ulica 229
2201 Turnišče"
"Erna Zalokar"|"Trtnikova ulica 3
5520 Škofja Loka"
"Željko Dolinar"|"Trg francoske revolucije 747
7637 Kamnik"
"Sandra Dolinšek"|"Čevljarska ulica 8c
3103 Sevnica"
"Danijela Bevc"|"Mire Lenardičeve ulica 56
2986 Nova Gorica"
"Iris Toplak"|"Knafljev prehod 7b
8546 Ormož"
"Stanka Mrak"|"Dergančeva ulica 2
7943 Železniki"
"Simona Pavlin"|"Savinova ulica 63
8253 Radovljica"
"Metka Stopar"|"Ulica Hermana Potočnika 2b
7975 Slovenj Gradec"
"Viljem Rožič"|"Smoletova ulica 5c
4517 Lendava"
"Sonja ribič"|"Ulica Francke Jerasove 0a
4114 Ljutomer"
"Erna Nemec"|"Trebušakova ulica 36
7649 Izola"
"Albina Hodžić"|"Živaličeva ulica 01
5306 Brežice"
"Jadranka čeh"|"Ob zdravstvenem domu 8
9778 Kostanjevica na Krki"
"Danijela Kočevar"|"Pot v Podgorje 6a
2715 Slovenj Gradec"
"Milica Klemenčič"|"Kurirska ulica 863
4197 Kobarid"
"Saša Hozjan"|"Mlake 1
7968 Laško"
"Pavel Jelen"|"Jamova cesta 2
1834 Postojna"
"Filip Horvat"|"Puterlejeva ulica 1c
2108 Tolmin"
"Stanislava Mlakar"|"Križna ulica 3a
0577 Ruše"
"Lovro Zupan"|"Polje, cesta XLVI 9b
4875 Jesenice"
"Valter Kuhar"|"Ulica Milana Majcna 4
6679 Tržič"
"Jadranka Petek"|"Snebersko nabrežje 1
9645 Litija"
"Alojzij Černe"|"Dolničarjeva ulica 2a
5346 Laško"
"Danijela Nemec"|"Majde Vrhovnikove ulica 3
7357 Gornja Radgona"
"Goran Gomboc"|"Vodmatski trg 7c
0208 Bovec"
"Jure Zalokar"|"Ulica 24. avgusta 548
7631 Kočevje"
"Davor Jenko"|"Hrvaška ulica 6
9879 Trbovlje"
"Izidor Pirc"|"Ziherlova ulica 9a
8773 Jesenice"
"Cvetko Leskovar"|"Martinova ulica 4c
8545 Kobarid"
"Brigita Lah"|"Gornji Rudnik II 88
8336 Medvode"
"Zdenka Medved"|"Ob Mejašu 0c
0024 Slovenj Gradec"
"Matjaž Rozman"|"Siva pot 109
0120 Vrhnika"
"Alojzij Rozman"|"Polje, cesta XLII 5c
4650 Jesenice"
"Danijela Rupnik"|"Klančarjeva ulica 56
9942 Brežice"
"Ladislav Mrak"|"Linhartov podhod 8a
1477 Tržič"
"Tim Cvetko"|"Pot na Grič 9a
6221 Višnja Gora"
"Mirjam Gorjup"|"Robbova ulica 75
1386 Postojna"
"Edvard Kodrič"|"Kuštrinova ulica 370
8047 Velenje"
"Aljoša Zemljič"|"Črnuška cesta 7
4730 Mengeš"
"Iris Bergant"|"Kapusova ulica 2a
9624 Črnomelj"
"Slobodan Gorenc"|"Šmartno 14
4537 Žalec"
"Zdravko volk"|"Adamič-Lundrovo nabrežje 8
3459 Kamnik"
"Vladimir Jug"|"Ulica talcev 34
2905 Ormož"
"Danijela Rupnik"|"Majaronova ulica 0a
0271 Hrastnik"
"Slavko Jarc"|"Malenškova ulica 0b
3503 Logatec"
"Tamara Petrovič"|"Kekčeva ulica 45
8674 Mežica"
"Bernard Medved"|"Goriška ulica 4b
0390 Slovenske Konjice"
"Polona Kovačič"|"Kolodvorska ulica 8a
5296 Ravne na Koroškem"
"Hermina Petrovič"|"Rožna dolina, cesta XII 86
9341 Kobarid"
"Natalija Horvat"|"Apihova ulica 387
7478 Višnja Gora"
"Erik Filipič"|"Polje, cesta VI 55
8177 Mežica"
"Dragan Golob"|"Štefančeva ulica 5a
9125 Murska Sobota"
"Cvetka Mlinar"|"Zadobrovška cesta 1a
9538 Kranj"
"Danijela Zajc"|"Trstenjakova ulica 1c
0817 Vipava"
"Mirsad Mlinar"|"Zajčeva pot 27
4077 Idrija"
"Justina Jug"|"Pot na mah 1a
3866 Železniki"
"Viktor Štrukelj"|"Maistrova ulica 43
2717 Trebnje"
"Frančišek Jelen"|"Pot heroja Trtnika 8a
4073 Idrija"
"Miro Kalan"|"V Kladeh 1c
8855 Slovenske Konjice"
"Eva Hrovat"|"Koleševa ulica 83
3491 Slovenj Gradec"
"Melita Kranjc"|"Rudnik II 7a
9331 Tolmin"
"Marjanca Simonič"|"Malgajeva ulica 0a
9742 Litija"
"Angela Zalokar"|"Ulica prvoborcev 0a
8145 Kočevje"
"Danilo Bajc"|"Fani Grumove ulica 95
4068 Trebnje"
"Jasna Kovačič"|"Vilharjev podhod 0b
7555 Tolmin"
"Alenka Simonič"|"Knezov štradon 5
7118 Gornja Radgona"
"Maja Blatnik"|"Španova pot 2a
2211 Ribnica"
"Silvo Gorenc"|"Polje, cesta XLII 383
1882 Celje"
"Petra Lazar"|"Kuhljeva cesta 4b
8764 Mežica"
"Alen Čuk"|"Polje, cesta X 084
6415 Mežica"
"Tim Tratnik"|"Rožna dolina, cesta XVII 3c
8650 Piran"
"Dejan Leban"|"Uršičev štradon 8b
4729 Velenje"
"Mirsad ribič"|"Linhartova cesta 514
0993 Tržič"
"Danilo Breznik"|"Cesta na Bellevue 699
8205 Vipava"
"Laura Jerman"|"Vodna steza 5c
9919 Domžale"
"Karolina Kolar"|"Pot za razori 0
6676 Škofja Loka"
"Gregor Kuhar"|"Trg prekomorskih brigad 2c
0838 Celje"
"Bruno Likar"|"Na Korošci 0
6352 Nova Gorica"
"Janko Jamnik"|"Gustinčičeva ulica 92
6400 Kostanjevica na Krki"
"Stjepan Rozman"|"Mali štradon 6a
1034 Črnomelj"
"Miha Marolt"|"Pučnikova ulica 7a
1709 Domžale"
"Alen Šmid"|"Gallusovo nabrežje 9b
5711 Krško"
"Štefanija Žižek"|"Gorjančeva ulica 0
9536 Nova Gorica"
"Danilo Medved"|"Lovšetova ulica 2
9057 Lendava"
"Milica Kos"|"Štefančeva ulica 23
6473 Izola"
"Kristjan Golob"|"Martinčeva ulica 692
3764 Lenart v Slovenskih goricah"
"Karel Gomboc"|"Štepanjska cesta 7a
1515 Kranj"
"Zvonka Gomboc"|"Ulica Ivice Pirjevčeve 6c
7666 Slovenj Gradec"
"Leopold ribič"|"Skapinova ulica 6a
8743 Tolmin"
"Timotej Šmid"|"Osenjakova ulica 8a
8738 Radovljica"
"Marjan Hribernik"|"Kašeljska cesta 35
6501 Grosuplje"
"Silva Kramar"|"Blasov breg 951
4452 Tolmin"
"Zdenka Mlakar"|"Blasov breg 0a
9401 Žiri"
"Danilo Mlinar"|"Mihov štradon 49
7285 Trbovlje"
"Silvo Lešnik"|"Gustinčarjeva ulica 7b
8545 Trbovlje"
"Jelka Demšar"|"Klunova ulica 1a
7116 Brežice"
"Bruno Zajc"|"Dražgoška ulica 7b
1674 Ajdovščina"
"Iris Čuk"|"Kosova ulica 9c
7376 Turnišče"
"Erna Jerič"|"Klunova ulica 9c
0016 Tolmin"
"Špela Lesjak"|"Berdajsova ulica 645
4840 Novo mesto"
"Mihaela Vidic"|"Andrićeva ulica 3c
5373 Piran"
"Karl Korošec"|"Kuzmičeva ulica 7c
1877 Kostanjevica na Krki"
"Cvetka Cerar"|"Dečmanova ulica 4
2468 Šoštanj"
"Danilo Petek"|"Planinska cesta 211
5292 Kranj"
"Maj Košir"|"Novosadska ulica 41
5262 Vipavski Križ"
"Sanja Čuk"|"Cesta v hrib 14
3256 Rogaška Slatina"
"Danijel Šmid"|"Pod turnom 7b
5346 Izola"
"Nada Lešnik"|"Švegljeva cesta 23
4431 Železniki"
"Ljudmila Demšar"|"Vogelna ulica 25
4002 Trbovlje"
"Ervin Sever"|"Frankopanska ulica 8
9680 Črnomelj"
"Davorin Blažič"|"Kocbekova ulica 8a
8283 Ljutomer"
"Jakob Furlan"|"Ulica Dušana Kraigherja 1
5249 Bovec"
"Benjamin Dolenc"|"Clevelandska ulica 4b
1278 Litija"
"Danilo Zupančič"|"Zevnikova ulica 4a
7803 Radovljica"
"Danijel Cerar"|"Marušičeva ulica 4
4693 Maribor"
"Tadej Kaučič"|"Vidovdanska cesta 4
8741 Lendava"
"Vida Markovič"|"Reška ulica 50
5378 Slovenska Bistrica"
"Zlatko Bukovec"|"Podgorska cesta 7b
5660 Vipavski Križ"
"Viktorija Likar"|"Vrhovci, cesta VI 3a
3439 Lenart v Slovenskih goricah"
"Nejc Kuhar"|"Tesarska ulica 6a
8846 Žiri"
"Ajda Janežič"|"V Sige 5
5085 Kostanjevica na Krki"
"Albin Ambrožič"|"Kavadarska cesta 353
6160 Ajdovščina"
"Tadej Krajnc"|"Ulica Marje Boršnikove 907
2657 Šoštanj"
"Darinka Kobal"|"Štrekljeva ulica 1b
7212 Maribor"
"Damjana Čeh"|"Tolminska ulica 2a
2883 Domžale"
"Ernest Bukovec"|"Šmartno 4b
2506 Ormož"
"Karl Košir"|"Čižmanova ulica 11
5582 Kranj"
"Larisa Kokalj"|"Leskovičeva ulica 9c
4879 Ruše"
"Zdravko Hočevar"|"Potrčeva ulica 671
1672 Železniki"
"Erik Marolt"|"Layerjeva ulica 7a
3625 Ilirska Bistrica"
"Erik Pirc"|"Cesta v Zgornji log 0
5123 Litija"
"Sandi Debeljak"|"Cesta na Ozare 1a
8175 Velenje"
"Adrijana Čeh"|"Pot za razori 2c
6669 Sežana"
"Darinka Petek"|"Poljanska cesta 2
2361 Maribor"
"Maj Kumer"|"Strmi pot 4b
5841 Kostanjevica na Krki"
"Matic Jenko"|"Ulica aktivistov 43
6115 Kostanjevica na Krki"
"Saša Kumer"|"Gallusovo nabrežje 4
4062 Idrija"
