"Aaron Allen"	"PO Box 19
Wekanui 5389" 
"Caleb Warner-Evans"	"6 Tautoa Avenue
North Williamsing 5081"
"Donna Goodwin-Davey"	"Suite 901
793 Aitken Parade
Papapamotu 5105"
"Bella O'Connell"	"8 Kowhaimanawa Heights
Poarakiwi 5017"
"Christopher West"	"3 Riley-Alexander Concourse
RD 5
Turnermouth 3058"
"Emma Mitchell"	"285 Chandler Arcade
RD 7
North Woolleyland 8808"
"Bradley Anderson"	"PO Box 3
Websterstone 8216"
"David Arnott"	"PO Box 748
Kawamakau 9684"
"Taylor Andrew"	"5 Papapangauru Avenue
Maungarua 9215"
"Caitlin Brown"	"PO Box 36
Shepherd Flats 9772"
"Rebecca Forrest"	"PO Box 74
Crawfordmouth 8822"
"Vicki Parker"	"1 Gee Crescent
Deanside 9341"
"Dominic MacDonald"	"600 Gunn Beach Road
RD 1
Wharenui 5798"
"Isabella Perry"	"Apt. 682
877 Maungamakau Crest
Cox Flats 5847"
"Olivia Bradley"	"7 Bird Street
Loganneath 8530"
"Patrick Cameron"	"PO Box 635
Rohehorowhero 2408"
"Lynda Dickson"	"693 Wood Concourse
Lower Caseyborough 4015"
"David Atkinson"	"Level 6
4 Wharerohe Court
Woodsville 2415"
"Jayden Shaw-Holmes"	"Flat 71
6 Ngauruwhareweka Street
Ponui 5899"
"Nicholas Warren"	"648 Eaton Road
RD 10
Grayneath 9345"
"Paula Smith"	"675 Manawakiwi Mews
RD 9
Lake Russellgate 6460"
"Lucy Phillips"	"597 Mokowhenua Road
Guymouth 6120"
"Gary Greer"	"39 McDonald-Rees Crescent
Rongoroherangi 9385"
"Brooke Conway"	"97 Horohanga Concourse
RD 1
Lesliehaven 6005"
"Daniel Scott-Jones"	"145 Awaawa Cross
Ngaurutau 9636"
"Alexander Page"	"61 Wratt Heights
Rototaurangi 0210"
"Nicole Smith"	"Level 5
23 Rush Lane
Davis Flats 9289"
"David Bowater"	"42 Bailey Street
Wakatau 2047"
"Callum Greig-Saunders"	"7 Karl Access
Rongongauru 5204"
"Zara Stone"	"PO Box 8
Edwardsburgh 0824"
"Amy Blackwell"	"840 Horokowhai Way
Tangirotowhare 8641"
"Stephen Campbell"	"Flat 68
1 Papapawhaka Avenue
Waiwhero 6026"
"Cody Williamson"	"81 Blair-Flood Avenue
Whangapapaparua 5005"
"Toni McKay"	"9 O'Keefe Street
Williamsport 9419"
"Adrian Jeffries"	"Suite 175
5 Simon Mews
Andersonmouth 8293"
"Anthony Black-Dyer"	"2 Nicholas-Spelman Crest
Powellberg 9898"
"Naomi Rossiter"	"916 Healey Alley
Vercoeburgh 2299"
"David Boyce"	"540 Carr-Elliott Place
Simpsonburgh 5240"
"Ethan O'Connor"	"Flat 33
21 Kay Street
Nicholas Flats 2633"
"Kora Orchard"	"111 Andrew Esplanade
Whakahorotanga 8562"
"Peter Rowe"	"Unit 41
656 Wood-Aitken Parade
Rangipuketau 9056"
"Tania Sutton"	"57 Oliver Avenue
Whangahope 2368"
"David Turner"	"Apt. 557
3 Pukeiti Crescent
Taikiwi 2619"
"Joshua Rickard"	"7 Green-Ward Place
Taiwakapuke 8856"
"Laura Paul"	"2 Bronwyn Avenue
Awamanawa 9589"
"Caleb Parkes"	"Flat 29
62 Sullivan Crescent
Ararangi 2314"
"Karl Brown"	"PO Box 89
Satherleyfort 9395"
"David Buchanan"	"33 Wekaweka View
Goretown 4625"
"George Ireland"	"37 Whangatai Street
RD 9
Wiltonfort 8265"
"Kelly Rogers"	"7 Rangitaumata Street
Papapakoro 5881"
"Sarah O'Connell-Peters"	"33 O'Connell Arcade
Tangipapapatipu 2515"
"Hamish Gibson"	"12 Brown-Shannon Crescent
Mokokoro 5034"
"Terry Pritchard"	"PO Box 963
Wekakoro 9801"
"Harry Mitchell"	"10 Christina Range Road
Wakatahihope 8509"
"James Jones-Wheeler"	"Level 4
1 Lucas-Webb Concourse
Graham Hill 2087"
"Fiona Bishell"	"934 Michael Flats
Whangatahipo 8541"
"Ataahua Wilkinson-Gullery"	"PO Box 56
Bradleyland 2601"
"David Burgess-Gill"	"PO Box 73
Smalltown 4635"
"Caleb Smart-Toms"	"42 Low Close
Priestburn 3262"
"Elizabeth Jellyman"	"60 Stuart Range Road
Cairnsing 8031"
"Kim Warren"	"1 Kerr Street
Henry Hill 8506"
"Sara Field"	"284 Thompson-Marfell Road
RD 3
Gibbsings 5184"
"Naomi Lancaster"	"1 Bruce-Bishop Plaza
Brownebury 8062"
"Elijah Schwass"	"77 Newman Street
Dayfort 5149"
"Joseph Pope"	"Suite 866
581 Emma Crescent
Kelly Flats 8807"
"Rachael Morgan"	"79 Rongowhanga Arcade
Rotowakatanga 9402"
"Ruth Anderson"	"Flat 71
11 Pukekawatanga Arcade
Wharetoa 5538"
"David Cameron"	"Unit 58
513 Kawatipuiti Centre
Hendersonside 5741"
"James Priest"	"Apt. 561
2 Aranui Highway
Wharetoa 0281"
"Kellie Stewart"	"Unit 53
922 Horonuku Corner
Kowhairangiiti 9464"
"Lauren Cooksley"	"321 Tangirangiwhenua Road
Wharetipuwai 4012"
"Christina Francis"	"97 Wekatahingauru Road
RD 6
Sowmanburgh 8922"
"Darren Grant"	"6 Rotoroto Street
Christianside 8054"
"John Hughes"	"744 Joseph Crescent
Whytegate 2323"
"Vivienne Horton"	"1 Lucas Avenue
Katherine Flats 9295"
"Karen Rogers-Barnett"	"86 Simmons Crescent
Mitchellborough 2263"
"Daniel Bailey-Smith"	"75 Taitanga Access
RD 1
Awakawatahi 2047"
"David Davidson"	"8 Ashley Crescent
McEwenfort 8210"
"Samuel Hopkins"	"100 Baxter Street
RD 5
Taylorbury 9427"
"Melissa Currie"	"PO Box 85
Forbesstone 5769"
"Nina Saunders"	"Flat 10
645 Ponui Road
Cookton 8859"
"Christopher Davidson-Murdoch"	"784 Zimmerman Street
RD 2
Lewisberg 5855"
"Elizabeth Boyd"	"771 Casey Street
Mokohanga 6402"
"Ian Smart"	"603 Walton Avenue
Mount Hansenfort 8024"
"David Day"	"652 Sinclair Close
RD 1
Cumming Flats 9385"
"Jordan Scott"	"9 Hart-Hodson Way
Hopemouth 5205"
"Anthony Morgan"	"836 Matakiwi Circuit
Conwayland 2623"
"David Dean"	"8 Arawhenua Mews
Flemingleigh 9831"
"David Matthews-Fowler"	"925 Matapuke Amble
Hamiltontown 8968"
"Wayne Waters-Morris"	"5 Suzanne Way
Johnstone Flats 5315"
"Georgia O'Donnell"	"8 Anderson Avenue
RD 10
Tahihope 9221"
"Diane Smith-Jackson"	"Unit 14
4 Ngaurutipu Crescent
Matanui 8039"
"Lisa Bryant-Fleming"	"Apt. 274
9 Davies-Rayner Alleyway
Papapawhitu 9668"
"Morgan Todd"	"PO Box 5
Tipuwhitu 5811"
"Charles Norton"	"599 Wharenuku Place
Wekawharekoro 7921"
"Mia Kemp-Larsen"	"Unit 78
25 Reid Alleyway
Tipupapapapapapa 9528"
"Stephanie West"	"14 Jane Street
Motunui 5841"
"David Farland"	"42 Matthews-Hay Plaza
RD 10
Mitchellside 9307"
"James Davis"	"227 Bassett Crescent
Geestone 1332"
"Teresa Anderson"	"588 McPherson-Burns Street
Manawawhitu 5207"
"Barbara Scott"	"1 Manawatoa Street
RD 9
Ngauruhoro 8885"
"Amelia Weston"	"836 Mokokiwi Drive
Jessicaneath 9827"
"John Best-Wood"	"PO Box 8
Crawfordleigh 9459"
"Mason Spencer"	"6 Hayward Way
Aratere 4500"
"Natasha Francis"	"12 Tiputaurohe Road
Ngaurutoa 5307"
"Lisa Larsen-Williams"	"2 Meads Street
Port Monkton 9371"
"Michelle Jackson-Allen"	"Suite 326
200 Scott Bypass
New Clunies-Rosston 5844"
"David Fox-Jacques"	"51 Tiputau Highway
Roheterekawa 8017"
"Angus Smith"	"Level 6
770 Armstrong-Gillespie Keys
Ararangi 2368"
"Robert Hart"	"PO Box 8
McLachlanville 8028"
"Tanya Gullery"	"32 Craig-Olsen Copse
Ngauruhorohope 9889"
"Michele McCallum"	"245 Tucker-Laurenson Broadway
Wakawharetanga 5300"
"William Shaw"	"686 Rotomoko Terrace
RD 3
Puketere 5213"
"Bruce McMurray"	"Apt. 235
46 Cresswell Trail
Horowhitu 2037"
"Megan Holland-Clifford"	"Level 3
2 Papapawekamakau Mews
Tairotoiti 5389"
"Justine Newman-O'Brien"	"3 Rototapu Road
RD 2
Taiwhenua 2003"
"Michael Morris-Webby"	"257 Anita Street
Wardport 9759"
"David Furness"	"PO Box 3
Tipupukewhanga 0246"
"Stephen Allen"	"29 Miller Corner
Maddisonside 2646"
"Mark McCormick"	"3 Matatai Highway
Tipurua 6915"
"Holly Williams"	"95 Larsen Cross
Millarburn 9347"
"Peter Francis"	"77 Kawangaurukiwi Street
Prouseleigh 9443"
"Linda Fleming"	"6 Smith Heights
Rodgersing 5340"
"Thea Anderson"	"Apt. 771
393 Pukewharerangi Centre
Ngauruaratere 2620"
"Sandra Ryan-Booker"	"9 Kawarohe Avenue
Lambmouth 9470"
"Suzanne Harper"	"Flat 42
71 Tipunuku Place
Tiputai 8428"
"Donald Allerby"	"6 Rebekah Beach Road
RD 6
Tairangipuke 5861"
"David Hopkins"	"19 Wharewhaka Way
RD 1
Hendersonborough 2628"
"Ethan Beattie"	"1 Shane Drive
Arawaitipu 5238"
"William Sowman"	"50 Jack Street
McIsaacborough 2164"
"Lauren McKay"	"8 Taylor Street
Ngaurumata 9488"
"Luke Griffin"	"49 Manawanui Mews
RD 6
Warnerland 8199"
"Jessica Tanner-Allen"	"54 Eva Drive
Vincenting 3857"
"Cherie Herd"	"7 Burton-Day Quay
McCormickville 5805"
"Samuel Day-Wells"	"Flat 63
933 Wekamakau Quay
Motukowhairua 8680"
"Samantha Holland"	"164 Fisher Road
RD 4
Ngauruwai 5741"
"Alice Berkahn"	"3 Cameron Keys
Wayneburn 5597"
"David Horn"	"2 Rongorohenuku Terrace
Searleburgh 5136"
"Sophia Harris"	"PO Box 123
Monkbury 5566"
"Joanna Chapman"	"43 Anderson Avenue
Woolleyton 9369"
"William Judd"	"8 Nicole Avenue
RD 4
Wardton 9847"
"Peter Chambers-Alve"	"311 Paul Drive
Andersonberg 6025"
"Sarah Bishop-Boyd"	"2 Wakaiti Street
Ngaurutai 8180"
"Raymond Baldick"	"PO Box 6
East Collis Hill 9214"
"Thomas Spencer"	"737 Tipukowhai Concourse
Motupapapanui 6411"
"Melissa Morgan"	"PO Box 37
Georgiaburgh 6199"
"Scott McGill"	"317 Rohetai Trail
Mokomaunga 8893"
"David Jarvis"	"5 Rodgers Way
Footestone 2463"
"Dean Lambert"	"Suite 910
8 Whakaweka Causeway
Poawa 7012"
"Dianne Muir"	"75 Thompson Street
Tereteremakau 5307"
"Elizabeth MacKay"	"4 Hart Street
Robertsing 9859"
"Geoffrey Ferguson"	"86 Vincent Way
RD 6
Papapahorowhaka 2233"
"Bevan Cameron"	"19 Motutapu Street
Rotokoro 9895"
"Dion Gore-Rickard"	"97 O'Sullivan-Clunies-Ross Way
Tererangi 2338"
"David Small-Linton"	"5 Davis Drive
RD 5
Mokotanga 1730"
"Isabella Brown"	"Level 1
81 Hororoa Crescent
Tipuhoro 9895"
"James Prentice"	"64 McEwen Street
Newtonborough 5083"
"David Lawson"	"35 Papapapukeweka Avenue
Wallacefort 2137"
"Amanda Williams-Russell"	"772 Wakarangi Alley
Arapukekawa 8038"
"Peter Holloway"	"2 Page Cutting
Coopermouth 9708"
"James Rossiter"	"Suite 603
24 Hororoa Avenue
Wharetoa 8538"
"Tania Cooke-Jones"	"63 Gordon-Hansen Crescent
Tappland 1574"
"Thomas Boyce-Linton"	"Unit 55
2 Stewart Beach Road
Rototangi 8174"
"Hinewai Fletcher"	"718 Maungaiti Street
Wekatahiwhaka 8028"
"Brandon Cook"	"59 Cumming Road
Shaneing 7818"
"Peter Parker"	"Flat 33
421 Tangitaurua Avenue
David Hill 8145"
"Michael Todd"	"Apt. 367
56 Oliver Crescent
Rangirohetapu 8515"
"David Lewis"	"PO Box 480
Wallaceburn 2410"
"Lisa Knox"	"Unit 83
110 Howard-Horton Road
Pukewhare 7583"
"Tiare Parkes"	"89 Kerry Street
RD 1
Horohope 9893"
"Aaron Gibson"	"466 Taylor Mews
Whangawhangatere 8578"
"Ataahua Beard"	"2 Short Amble
Gardnerings 2350"
"Anthony Watts"	"73 Drew Street
Danielville 3521"
"Natasha Gordon"	"64 Cameron Beach Road
Gregory Flats 0368"
"Emma Broughan"	"6 Thompson Crescent
Nelsongate 9636"
"Harriet Southee"	"Flat 84
5 Tauiti Beach Road
Morganburgh 5383"
"George Laurenson-Harris"	"Flat 47
7 Papapakoro Street
Hannahburgh 6956"
"David MacDonald"	"Suite 122
58 Mackenzie Plaza
Davidburgh 2210"
"Ariana Black"	"57 Francis-Nicol Street
Matthewsside 8224"
"Liam Henderson-Baldwin"	"289 Manawamatawhanga Range Road
Smithneath 2214"
"Alana Pickering"	"969 Waters Beach Road
Lower Taylorgate 6963"
"Peter Pratt"	"7 Orr Esplanade
Taimotu 9672"
"Aimee Browne-Simonsen"	"Apt. 943
436 Perano-Neal View
Port Waytown 6135"
"Rachel Stevenson"	"Suite 370
756 Koronui Range Road
Smallville 9529"
"Peter Day"	"PO Box 8
Smithberg 6270"
"Glenda Thornton"	"697 Rosemary Road
Payneleigh 6140"
"Michael Jones"	"613 Teretangipo Pass
Waipapapahanga 9567"
"David Matthews"	"21 Wakarongo Street
East Mearsings 8274"
"James Jamieson"	"PO Box 50
Rohengauru 4469"
"Liam Harris"	"PO Box 766
Coleyville 9487"
"Stella Martin-Brown"	"PO Box 3
Shanefort 9245"
"Andrew McKay-Henderson"	"347 Osborne-Knight Road
Lake Hoaremouth 7109"
"Ava O'Connor"	"516 Waimata Street
High Portering 2390"
"Nathan Russell"	"596 Brown Beach Road
Powakapapapa 2402"
"Hudson Foot"	"3 Rose Crescent
Hepburnland 2145"
"Scott Jones"	"Unit 99
86 Cooksley-Cole Crescent
Donnaburgh 6118"
"James Bell-Newman"	"Unit 78
2 Taylor Mews
Wheelerfort 5118"
"David McLeod"	"PO Box 81
Elizabethleigh 5290"
"Brooke Berry"	"Flat 58
5 Thomas-Cox Range Road
Mokongauru 6431"
"Joshua Hodson-Casey"	"Level 7
93 Neal-Aitken Flats
Awakowhai 8002"
"Craig Evans"	"46 Sullivan-Sanders Street
Ashtonleigh 9338"
"Ella Roberts"	"Flat 21
201 Howard Beach Road
Kowhaimaunga 5898"
"Christine Hansen"	"18 Waitangiroa Street
Rowlandstown 2489"
"Justin Morgan-Cameron"	"4 Wood Mews
Gunnleigh 5713"
"Samuel Gordon"	"7 Christopher Street
Jasonport 8070"
"Stephen Parker"	"Flat 88
33 Smith Road
North Holmesings 8985"
"Diane Boon-Bell"	"2 Leanne Street
Matawhero 2479"
"David McMahon"	"8 Wekawaka Terrace
RD 3
Maungamatatahi 3591"
"Wendy Mason"	"Suite 711
842 Gardner Street
Lewisings 5051"
"Andrea Ritchie-Haines"	"Flat 60
784 Teremotuwhenua Street
Tangitere 9425"
"Donna MacDonald-Maxwell"	"Level 6
7 Cameron Avenue
Rongowhitu 6276"
"Nigel Davies"	"45 Wharerangi Amble
RD 10
Ngauruterewhenua 5041"
"Alana Gilbert"	"9 Anika Street
RD 1
Wharemanawa 5890"
"John Smith-Ryan"	"PO Box 29
Kowhaiwharetai 3692"
"Charlotte Pritchard-Gill"	"177 Price Avenue
Horopapapawhanga 2320"
"Mia Avery"	"881 Gillies Avenue
RD 6
Kawarohewhaka 1791"
"Ross Mitchell"	"9 Perry-Bell Road
Rangimanawamotu 9400"
"David Montgomery"	"6 Koromokoara Street
Carterneath 0215"
"Emily Lewis"	"178 Sarah Road
Korowaka 9260"
"Jack Perrin"	"PO Box 5
Millardport 2634"
"Robert Pike"	"7 Shaw Beach Road
RD 7
Johnland 2422"
"Natalie Reid"	"25 Manawawaipapapa Street
Whakakowhai 9858"
"Kirsty Taylor"	"Unit 67
811 Stella Drive
Smithville 9382"
"Hunter Wallis"	"Suite 169
53 Smith-Lewis Street
Andersonside 9792"
"Crystal Morrison-Barker"	"32 Mokongauru Park
Brightleigh 8513"
"Andrew Gray-Kemp"	"41 Porter Beach Road
Butchering 2235"
"David Wood"	"92 Gledhill Crescent
Rotorohemoko 2150"
"David Morris-Jensen"	"PO Box 64
Rohewhaka 8846"
"Henry Munro"	"PO Box 9
Powellneath 8258"
"Andrew Beattie"	"14 Smith Road
Joshuaberg 4759"
"Tina Williams"	"72 Tahitapu Gardens
RD 3
Wharewaimaunga 5195"
"Hoani Andrew"	"Apt. 969
691 Broughan-Burgess Street
Parkestown 9554"
"Peter MacDonald"	"PO Box 903
Korowharepuke 2298"
"Sophie Pearce-McLeod"	"3 McMillan-Boyd Park
New O'Connellings 6224"
"Craig Faulkner"	"41 Sharon Ridge
North Westonneath 2283"
"Michael Baker"	"749 Jones Highway
Taumotu 9341"
"Louise Kennedy"	"PO Box 35
Lake Carpenterleigh 0106"
"David Neal"	"219 Moore-Barr Crescent
RD 10
Conwaymouth 2598"
"Thomas Morrison"	"Flat 61
24 Hororangi Street
Ngauruawapuke 9522"
"Mikayla Forbes"	"578 Kawakowhai Centre
Forsythland 1034"
"Hayley Green"	"6 Toms Street
Woodneath 2611"
"Olivia Fowler"	"Unit 18
6 Greig Arcade
Trevorburn 2169"
"Luke Eden"	"68 Lucas Lane
Waitipunui 5721"
"Duncan Cook"	"424 Nelson Heights
Nicoleland 2230"
"Daniel Martin"	"Level 8
67 Whakawai Mews
Sowmanfort 7617"
"Charlotte Jones"	"107 Coley Avenue
Craggmouth 6473"
"Thomas Moran"	"Flat 19
20 Mokotangi Street
Taikawa 8439"
"David Norton"	"10 Henderson Line
Mount Bookerfort 8666"
"Flynn Hansen-Foley"	"6 Anthony Street
Christinaton 8864"
"Mark Gilchrist"	"80 Bassett Cove
Andersonhaven 9599"
"Paula Healy"	"51 Russell Anchorage
Matatipu 5589"
"Glenda Baxter"	"547 Evans Street
MacDonaldfort 9675"
"Deborah Wood"	"3 Horotaiwhanga Street
Bishelling 1988"
"Judith McDonald"	"1 Courtney Crescent
RD 8
Rangiwhanga 5879"
"Amanda Greig"	"PO Box 241
Whakakowhairangi 5031"
"Holly Mitchell"	"PO Box 180
Maungawhaka 8407"
"Christine Gibson"	"PO Box 86
Awaweka 5074"
"David Parker"	"844 Pukepuke Broadway
Liamland 4916"
"Justine Porter"	"972 Alexander Rise
Bakerport 5040"
"Sandra Anderson"	"869 Tipupapapa Crescent
Taupapapa 8455"
"Nathan Wilkinson"	"1 Orchard Street
Logangate 9770"
"Debra Henderson"	"50 Teretapu Centre
Sheridanmouth 7210"
"Dylan Jennings"	"525 Browne-Graham Ridge
Port Sopermouth 2406"
"Mark Eaton"	"Apt. 259
439 Andrew Terrace
Rangiawatau 5099"
"Craig Short"	"516 Matawhitu Beach Road
Christopherings 5214"
"Robert O'Brien"	"9 Smith Ridge
RD 3
Petersonings 2381"
"Jack Doyle"	"Level 9
4 Aldridge Street
Maungatau 8063"
"David Parkes"	"PO Box 608
Powellberg 2391"
"Raewyn Flood-Hogg"	"Unit 77
6 Carter-Shannon Pass
Cookside 8072"
"Mya Francis"	"Suite 932
358 Pike Street
Whakarua 8923"
"Peter Anderson"	"3 Rangitauhoro Esplanade
Rotowhanga 2412"
"Trevor Day"	"9 Costello Alleyway
Arapapapa 5516"
"Logan Newman"	"3 Sophie Rise
Kerrleigh 8022"
"Sharon Stewart"	"433 Whakarongo Heights
Taylorbury 9448"
"Luke McIsaac"	"1 Harris Arcade
RD 5
Marshville 2490"
"Anthony Russell-Donaldson"	"77 Christiansen Bypass
RD 4
Morganmouth 9322"
"Ian Rickard"	"Flat 68
5 Amy Street
Leoing 4868"
"David Patchett"	"2 Hodson Centre
Westland 9536"
"Adam Williams"	"96 Benjamin Drive
Chapmanburn 9281"
"Noah Carr"	"5 Anderson Arcade
Hutchinsontown 9789"
"Hunter Nielsen"	"5 Kelly Arcade
Teremokongauru 6930"
"Helen Sinclair"	"460 Wakawhangawhenua Point
Knightside 6444"
"Georgia Hamilton-Edwards"	"Level 6
1 Teremakau Line
Rangihoro 2188"
"Maia Horn"	"5 Maungakorotipu Esplanade
RD 9
Nashside 5215"
"Zoe Harris"	"310 Knox Arcade
RD 6
Whangarohetau 9233"
"Rawiri Allan-Gibbons"	"PO Box 886
Rotowaka 6051"
"Jamie Dixon"	"5 Warren Gardens
Hickeyberg 6495"
"David Pickering"	"4 West-Drake Street
Gibsonland 9652"
"Rebecca Williams"	"110 Tahipapapapo Highway
RD 7
Lachlan Hill 2078"
"Anna Hart"	"739 Ritchie-Parsons Close
RD 2
Dillon Hill 6025"
"Frances Fuller"	"924 Rohearaiti Avenue
RD 2
Harrisport 9392"
"Stephen Orchard"	"3 Thomas Avenue
RD 3
Brownfort 8010"
"Caroline Bush"	"914 Kimberley Trail
Weston Hill 5125"
"Jacob Stevenson"	"957 Terehanga Road
Lake Robbings 9448"
"Dianne Hewitt"	"PO Box 4
Williamsburgh 9426"
"Toni Furness"	"PO Box 5
Rongoiti 3664"
"John Bird"	"896 Middleton-Priest Close
Tahiterekiwi 5128"
"David Poole"	"Suite 880
9 Wood Point
Motunui 8507"
"Samuel Evans"	"PO Box 97
Brightbury 2151"
"Russell Smith"	"PO Box 8
Ngaurunui 5197"
"William Stone-McLeod"	"493 Rotomanawa Way
Mataara 5547"
"Paul Stratford"	"Apt. 167
64 Davison Cove
Hamiltonport 2291"
"Peter Taylor"	"PO Box 984
Loveside 8001"
"Brendan Jones"	"7 Tautere Street
Eglinton Flats 9513"
"Blake Holdaway"	"PO Box 547
Kawamata 5836"
"Debbie Crawford"	"PO Box 156
Matthewburgh 2317"
"Sharon Christiansen"	"PO Box 7
Horowhero 2212"
"David Reeves-Graham"	"54 Waipotanga Grove
Pukewai 8419"
"Paul Watt"	"PO Box 749
Barnes Flats 9025"
"Bruce Forrest"	"8 Matapotoa Alleyway
Coxgate 8129"
"Brian Baird"	"Suite 884
92 Paton Place
Northmouth 9397"
"Nicole Simmons-McIntosh"	"28 Rangiweka Reserve
Footleigh 5517"
"James Lancaster-Edwards"	"878 Rongowekamoko Street
Hoggland 4059"
"Elizabeth Davis"	"6 Wharetangitoa Beach Road
Aaronmouth 8299"
"Michael Jones"	"Level 3
9 Kimberley Avenue
Rongoara 5338"
"Ben Strawbridge"	"5 Anderson-Gibbons Avenue
Kowhaitangi 8267"
"Michael Bartlett-Davis"	"PO Box 4
Gilmorefort 6284"
"David Rush"	"4 Miles Road
RD 2
Rotomatahope 3940"
"Logan Jacques-Lee"	"75 Jack Range Road
Ngaurutanga 5536"
"Mikayla Paterson"	"383 Tipupo Road
RD 10
Rickyland 5092"
"Tina York"	"15 Richards Crest
RD 7
Wekarongotai 2354"
"Peter Hay"	"752 Pickering Mews
Taumaunga 4449"
"Natalie Smith-Gillies"	"9 Horowhero Place
RD 8
Ngauruiti 8935"
"George Smith"	"95 Christopher Road
Bruceville 8451"
"Joshua Higgins"	"255 Smith-Osborne Gardens
RD 10
Pedersenport 9623"
"Robert Rose-Baxter"	"11 Rotopapapa Concourse
RD 5
Rongokowhai 6211"
"Nicole Shepherd-Frost"	"9 Wakatahi Highway
Healy Hill 5367"
"David Satherley-Lane"	"Level 2
3 Kawatipuwhitu Flats
Rohewhitu 5584"
"Simon Russell"	"50 Weston Road
RD 6
Papapakorotangi 7827"
"Geoffrey Rogers"	"PO Box 9
Wakawhanga 4815"
"Joshua Ball"	"103 Wairua Street
Grayleigh 2540"
"James Jackson"	"99 Scott Esplanade
RD 2
Tauawa 2526"
"Kerry Roberts"	"721 Anne Lane
RD 7
Tahiwhitu 4332"
"Shaun Learmonth-Jackson"	"86 Ponui Reserve
Awatangi 1792"
"Ross Fitzgerald"	"PO Box 1
Arakoro 9676"
"Katherine Gordon"	"65 Bradley Avenue
Juddstone 9791"
"Maraea Millar"	"307 Liam Avenue
RD 7
McLeanfort 9600"
"David Smith"	"224 Reardon Crest
RD 3
Hollandburn 0933"
"Huia Wratt"	"72 Natasha Place
Stubbshaven 2571"
"Leah Porter"	"5 Araterewhaka Crescent
Hughesmouth 5179"
"Michael Bradley"	"5 Matthew Drive
RD 2
Edwardsburn 5590"
"Shelley Avery-Weston"	"PO Box 333
Mount Moore Hill 1569"
"William Henderson"	"1 Tipumaungaiti Esplanade
Lynette Hill 5596"
"Lisa Jones-Esson"	"6 Dean Crescent
Readborough 8975"
"Samantha Love-Jamieson"	"8 Pearce Gardens
Awarohenui 8147"
"David Allan"	"6 Tipukowhaingauru Arcade
Harriston 2041"
"Susan Satherley"	"7 Roheiti Rise
Broughanburn 5172"
"David Smith"	"254 Arapowhanga Street
RD 5
Boniface Flats 5723"
"Gabriel Smith"	"Flat 80
21 Paul Lane
Pokoromata 9873"
"Cody Pollard"	"867 Taylor-Sullivan Beach Road
RD 8
Mayoburn 8000"
"Melissa Lammas"	"11 Taylor Heights
Awaweka 8295"
"Matiu McCallum"	"65 Boyce Arcade
Harrishaven 2302"
"Christopher O'Leary"	"PO Box 3
Papapamatatapu 2123"
"Zoe Wallis"	"7 George Pass
Ngaurunuku 6177"
"Hayley Thompson"	"573 Taylor Avenue
RD 8
Monkport 9469"
"Mason George"	"PO Box 7
Greig Flats 6287"
"Paula Gill"	"1 MacDonald Crossing
Xavierport 8939"
"David Woolley-MacDonald"	"74 Drew Street
Terekowhaitoa 9080"
"Joel Moore"	"8 Williams Range Road
Rangingauru 8138"
"Justin Ryan"	"8 Philip Street
Wekatere 9664"
"Stephen Armstrong-Claridge"	"249 Margaret Range Road
Barrings 2421"
"Leah Smith"	"35 Donald Copse
Wakataumata 5395"
"Sharon Pope"	"99 Rongonuku Street
Landon-Laneing 8213"
"Nicholas Matthews"	"997 Chapman Place
Price Hill 8243"
"Sarah Hills"	"Apt. 541
445 Kerr-Phillips Court
Fullering 6210"
"Elizabeth Day"	"PO Box 8
Motutanga 8272"
"Janet Richards"	"336 Luke Place
RD 3
Wairangimotu 8038"
