"Aaliyah Day","PO Box 48
Ryanmouth 9450" 
"Jillian Hooper","65 Trask Street
Kowhaitere 9073"
"Marcus Simonsen","83 McIntyre Flats
Nicholasings 5558"
"Phillip Larsen","7 Hamilton Place
Wakamakau 9509"
"Steven Gunn","3 Drew Beach Road
Harrisbury 9498"
"Julia Hubbard","PO Box 67
Maungamakau 6412"
"John Graham","454 Levi Crescent
RD 3
Kawapapapa 6145"
"Bryan Pedersen-Orchard","5 Furness Circuit
Awarongo 6236"
"Angela Wood-Smart","Apt. 474
67 Morgan Copse
New Phillips Hill 2136"
"Daniel Mortimer-Turner","462 Brown Street
Tangikowhai 8803"
"Ataahua Jenkins","475 Blake Drive
Mathesonmouth 9555"
"Stuart Aitken","1 Harry Street
Berryhaven 5778"
"Anne Porter-Jensen","421 Williams Highway
Anthonyside 9328"
"Robert Wallace","368 Rotokowhaiwhenua Street
Port O'Brienborough 9761"
"Michelle Ireland-McIsaac","2 Motukawa Lane
RD 6
Motutanga 8867"
"Jessica Osborne","Suite 575
3 Tangikiwi Street
Williamhaven 6931"
"Glenda Phillips","40 Kawaiti Beach Road
Kawamanawa 0641"
"Harvey Nolan","3 Oliver Way
Helenville 6965"
"Anika Carter","41 Boyle Mews
Tereawa 6402"
"Olivia Crawford","PO Box 6
Pomoturoto 9737"
"Oliver Vincent","92 Reid Range Road
McIntyreville 2105"
"Stephanie Carroll","1 Korohope Point
Koropoawa 9261"
"Scott Crawford","457 Ngaurukawa Street
Waiwhanga 3045"
"Shania Fox","79 Rangiroto Amble
Leemouth 5781"
"Michael Harris","2 Roherangi Road
RD 2
Hartstone 5061"
"Susan Bird","37 Sonia Bypass
Cresswellstone 2044"
"Tangaroa Newman","191 Perrin Avenue
RD 3
Pohorowaka 9613"
"Sandra Blair","8 Smith Street
RD 4
Pukenuku 8551"
"Anika Freeth","90 Forrest-Higgins Court
Gibbmouth 7691"
"Isabel Morgan","Flat 13
98 Ranginui Street
Motukoro 8171"
"Jane Buick","PO Box 428
Rangitangi 9402"
"Sandra Anderson-MacDonald","PO Box 261
Smith Hill 5295"
"Jennifer Lang-Williams","PO Box 83
Williamside 9869"
"Nicola Wallace-Vercoe","PO Box 555
Mokowhero 8481"
"John O'Brien","56 McLeod Trail
Andrewburn 9723"
"Sharon O'Connor-McEwen","5 Weston Rise
Wharetapu 9754"
"David Mann","963 Baird Street
Morrisonneath 9715"
"Rose Brooks-Spelman","4 Matamanawamaunga Street
Edwardside 9723"
"Anika Herd","Suite 272
95 Papapakoro Circle
Motuhorotoa 9816"
"William Mitchell","2 Page Beach Road
Daveyfort 6083"
"Jennifer Evans","59 Matahorohoro Flats
Stewartbury 5798"
"Donna Cook","4 Boon-Fisher Park
Davenportmouth 5197"
"Ella Paul","4 Tererua Road
Whangawainui 9670"
"Gemma Owen","317 Robert Drive
Wong Hill 1000"
"Jayden Seymour","22 Taipo Place
RD 7
Awanui 6964"
"Simon Thompson","47 Horomaungahoro Road
Reesing 0650"
"Megan Turnbull","Level 7
602 McEwen Grove
Pukeranginui 6065"
"Benjamin Judd","8 Logan Road
RD 1
Cookburgh 2380"
"Anika Jenkins","793 Gillies-Morris Road
RD 3
McEwenleigh 2611"
"Victoria Cameron","1 Chloe Point
Whangarangi 5157"
"Bronwyn Anderson","Suite 932
387 Turner Place
Johansenport 9581"
"Grace Middleton","859 Leslie Street
Taumaunga 5024"
"Liam Scott","4 Dixon Crescent
Horowai 6272"
"Madison Roberts","74 Carr-Dixon Street
South Millerburn 5810"
"Dylan Andrew","614 Alexander Amble
West Kellyville 8440"
"Luka Patchett-Hansen","3 Drew-O'Neill Cross
Wairoa 5527"
"Charlotte Reed","3 Eaton-Connolly Street
Papapawainui 7232"
"Jacqueline McGill","Level 1
7 Corlett-Doyle Beach Road
Reedport 9689"
"Anika McGregor-Cook","98 Kawanui Quay
North Woodside 2200"
"Aimee Nielsen","PO Box 6
Mokomanawa 9078"
"Jessica Page-Smith","118 Horonuku Court
Papapaweka 9863"
"Grace Smith","Unit 94
6 Kawakoropo Crescent
Dunnville 8250"
"Lisa McDonald","18 Paul Approach
RD 2
Harrisleigh 5526"
"Mackenzie Pedersen-Reed","Apt. 351
9 Henderson Court
Pukematahope 5574"
"Kirsty Stuart","PO Box 315
Aranuku 2245"
"Jessica Little-Olsen","Apt. 268
27 Tererongo Crescent
Horotoa 2077"
"David Anderson","75 Wekanuku Road
RD 2
Wainuku 9363"
"Jasmine Allen","755 Barnes Circle
Port Hansenmouth 8106"
"Anita Scott","PO Box 561
Hororua 5809"
"Anna Burton","Level 8
138 Phillips Centre
Paulaton 2039"
"Phillip Baird","7 Burgess Road
RD 10
Taitangimoko 2126"
"Martin Roberts","359 McDowall Ridge
Joeport 9448"
"Rachel Manning","98 Mokopowai Copse
Rotorua 9343"
"Lucy Avery","9 Tangiwhanga Way
Maungahoro 8884"
"Danielle Rayner-Smith","Unit 74
4 Tipurangi Range Road
Pricehaven 5819"
"Christopher Carson","PO Box 273
Poiti 8570"
"Gregory Edwards","3 Holmes Approach
RD 4
Tiputau 2014"
"David Shailer","38 Hayward Road
Grayland 5828"
"Ann Hansen-Harris","95 Lloyd Avenue
Maungahanga 6978"
"Michael George-Rasmussen","65 Williams-Bailey Place
Enrightstone 5244"
"Christine Dobson","29 Rowe Causeway
RD 6
Wharekawahoro 9053"
"Michelle Adams","Flat 21
189 Hayden Track
Harrisonton 7755"
"William Taylor","9 Brown Mews
RD 8
Tautangi 5804"
"Suzanne Ham","1 Norman Plaza
Waikoro 8914"
"Trevor Prouse","Unit 45
941 Ngaurutahi Street
Smithleigh 8170"
"Matthew Thompson","Unit 10
71 Alyssa Trail
Taylorberg 8957"
"Ruby McCormick","981 Kowhaipapapa Parade
Tangitangitanga 2267"
"Patrick Evans","19 Georgina Avenue
Manawahope 9860"
"Ann Smith","792 Max Ridge
Rongotau 9295"
"Kelly Simpson","30 Wells Crescent
Teretanga 9765"
"Lynette Hewitt","94 Maungakiwi Avenue
Papapawhaka 8257"
"Fiona Nicholson","2 Gibbons Keys
Tauawamoko 2615"
"Alicia Hamilton","755 Cox-Ramsay Avenue
RD 8
Williamsside 2646"
"Raewyn Baker","300 Ngauruwhangahanga Avenue
RD 1
Rongoawa 9420"
"Amelia Smith","432 Terry Crescent
Taipo 9486"
"Stephen Stewart","2 Ham Cross
Westside 3530"
"Olivia McPherson","PO Box 634
Popukewhitu 8185"
"Holly Blick","PO Box 6
Kowhaiwharehanga 8196"
"Anna Barrett","976 Smart Causeway
RD 3
Millarburgh 5780"
"Anthony Kennedy","Apt. 833
849 Whakaawa Grove
Terenui 8984"
"James Taylor","10 Taylor Street
Kowhaitere 9838"
"Mary Pratt-Brown","1 Wekangauruhope Street
Rototapu 7522"
"Emily Flood","PO Box 2
Tauroto 6999"
"Kylie Rogers","PO Box 936
Rongohanga 3785"
"April Greer-Martin","608 Bull Heights
North Daviesberg 8819"
"Stephen O'Keefe","PO Box 1
Kowhaitoa 8506"
"Sarah Williamson-Hansen","Suite 920
633 Bird Road
Rotomoko 5226"
"John May","474 Shailer Road
Greerhaven 9046"
"Anna Hadfield","Apt. 295
5 Keith Street
Rotorangiwhare 8902"
"Elizabeth Rodgers-Simmons","48 Koropukeroto View
Rotomotunui 5817"
"Deborah Lucas","Flat 91
5 Moore Heights
Mataaramotu 5729"
"Jordan Thornton","PO Box 48
Martin Hill 5732"
"Matthew Jamieson","90 Hood Road
Wharetaikoro 9040"
"Mark Brown","845 Fisher-Smith Road
Walshside 9678"
"Margaret Blick","Flat 82
87 Holmes-Woolley Road
Lake Ingramberg 5336"
"Benjamin Murphy","89 Karen Circle
RD 5
Owenville 8935"
"Tracey Smith-Maxwell","18 Middlemiss Crescent
Buchananing 6200"
"Darren Watt","216 McIntosh-Monk Copse
Whangatanga 9888"
"Anna Hawkins","9 William Access
Priceneath 6978"
"Gemma Thompson","PO Box 93
Rohewhangatipu 9838"
"Christine Reardon","Flat 37
26 Harper Street
Rongomaunga 8400"
"Riley McDowall-Jones","Suite 217
1 Brown Arcade
Duncanfort 8158"
"Faith Dawson-Roberts","9 Clinton Quay
Jeffreyburgh 4811"
"Shannon Richards","19 Prouse Approach
RD 6
Taiawamoko 9430"
"James Marshall","8 Davison-Pearce Pass
Gardinering 0223"
"Elizabeth Nicholson","86 Tangikoro Highway
Tauwai 6913"
"Joseph Owen","Flat 87
72 Freeman-Butler Street
Duncanborough 2575"
"Mary Williams","37 O'Brien Street
Awawaka 5312"
"Anna Higgins","63 Papapatai Square
Jonesborough 8123"
"David Page","Unit 58
3 Koropowhitu Street
Gilchristville 5378"
"Mark Wilton-Searle","87 Nicol-Blair Access
Rowlandsneath 5708"
"Allan Thompson","428 Jones-Taylor Close
RD 2
Williamsoning 6471"
"Noah Walton","746 Esson Way
Mokorangiroto 2295"
"Geoffrey Cook","666 Whakatangi Crescent
Powakamoko 2226"
"Diane Richards","413 Turner Pass
Ngaurukorokawa 8016"
"Gerard Love","16 Adams Bypass
Powaka 2523"
"Richard Barnett","2 Bishop Close
Wharetapu 4327"
"Elijah O'Leary","PO Box 700
Wardland 0315"
"Anna Jones-Millar","282 Maungangauru Drive
Kowhaipapapa 8271"
"Maree Moore","4 Barrett-Hart Lane
RD 7
Rangitaumoko 9222"
"Keith Reader-Munro","Unit 50
128 Jamieson Mews
Ngauruiti 5383"
"Timothy Evans","8 Awawhangawhanga Terrace
Webstermouth 6293"
"Kelvin Foley","Level 5
871 Waimokotapu Range Road
Thompsonings 5878"
"Quinn Robert","6 Woods-Rutherford Crescent
New Kendallneath 5140"
"Julie Bassett","7 Tangiwharenuku Street
RD 3
Papaparongo 8652"
"George Oliver","57 Turner Road
RD 9
MacDonaldgate 0492"
"Maia Taylor","371 Taylor Crescent
RD 4
Wairohe 5269"
"Levi Thornton","320 Howard Access
Taipukepuke 8249"
"Anna Lane-Morrison","10 Jessica Crossing
RD 9
Jenningsings 9590"
"Andrew Jackson","78 Taitiputai Court
Lower Craigton 0580"
"Sean Browne-Scott","155 Peter Drive
Tahirotoiti 8909"
"Oliver Baker-Burns","4 Mokopapapatere Avenue
Mooreborough 2400"
"Tamati Thompson","1 Dick Mews
RD 7
Simmonsburgh 9437"
"Craig Anderson","83 Horton Avenue
MacKayville 8203"
"Olivia Craig","93 Kowhaipapapa Mews
Hayleytown 8270"
"Stephanie Anderson","PO Box 56
Scottport 2107"
"Shannon Bush","65 Lane Street
Kawaawa 2488"
"Kathryn Morgan","PO Box 244
Grayburgh 6248"
"Anna McDonald-Williams","947 Brent Way
Hororohe 9439"
"James Harris","78 Anderson-Gibson Street
Matakawa 2411"
"Diane Gleeson","632 Powhitu Drive
Motuwhangatau 5019"
"Charles Gordon","976 Maria Plaza
RD 7
Mataroto 3649"
"Diane Gilbert-Shepherd","726 Pearce Street
RD 5
Brendaton 2695"
"Andrew Hook-Nolan","PO Box 66
Aramaungahanga 2371"
"Sarah Skinner","63 Julie Point
Wakahoro 9685"
"Tania Esson","200 Rotomotu Street
RD 5
Graceings 3312"
"David Barnes-Lamb","31 Papapatangimoko View
Ngaurukowhaiwai 5081"
"Jessie Pratt-Sheridan","520 Cameron Point
RD 5
Kawanuku 2265"
"Anne Bond","35 Dixon Avenue
Alisonneath 1925"
"Jason Bryant","24 Rangirongo Flats
Thompsonmouth 5573"
"Julia Morris","7 Long Grove
RD 5
Tipuhoro 8497"
"Katie Cameron","979 Marshall Lane
RD 10
Pukewakaawa 8078"
"Michael Grant-Greer","108 Motuwhero Road
Daviesmouth 6490"
"Robert Barrett","9 Powell Street
Rangiwhaka 5141"
"Elizabeth Morris","PO Box 4
Matarongo 8582"
"Elizabeth Campbell","5 Daniel Street
Fletcherburgh 2190"
"Philip Turner","8 Rodney Cove
Korohoro 6187"
"Scott Stevens","34 Brent Line
Taylorneath 5787"
"Anne Coley","52 Adams-Barnett Place
Wellshaven 8074"
"Natasha MacPherson","4 Morris-Gordon Crescent
RD 1
Manawamoko 9854"
"Phillip Dillon","476 Taimoko Crescent
Jasontown 8161"
"Tracey MacDonald","364 Long Street
Tahipomakau 2599"
"David Francis-Boyd","50 Jenkins Drive
Terewhare 6930"
"Christine Mercer","PO Box 465
Horopukeiti 9850"
"Jason Hogg","7 Poroa Street
Wallisberg 9413"
"Kathleen Carson","42 Linda Point
Kowhairohekoro 3888"
"Sarah Jensen-Waters","165 Wells-Rogers Place
Harris Hill 9517"
"Corey Grant-Maxwell","6 Pomaunganuku Drive
Papapaara 8525"
"Anne Donald","Unit 54
9 Caitlin Crescent
O'Neillfort 6407"
"Jake Reid","32 Bartlett Plaza
Hendersoning 5818"
"Vicki Taylor","363 Mokonui Square
Braxtonleigh 2568"
"Toni Fitzgerald","7 Tahiwhare Place
Tangiiti 5744"
"Gordon Sutton","PO Box 457
Howell Hill 4667"
"Ruth Moore","828 Black Road
RD 6
Whangarongo 9424"
"Jocelyn Fisher","PO Box 4
East Healeyburgh 9785"
"John Thomas","Apt. 246
1 Reardon-Scott Street
Port Cookside 7062"
"Rachael Jones-Rees","9 Newton Concourse
Rutherford Hill 6443"
"Mason Love","391 Bradley Drive
Rickardland 6118"
"Anne McLeod","Flat 26
26 Kiri Crescent
Taitanga 9562"
"Jeffrey Cooksley","213 Summer Avenue
Fergusontown 0251"
"Michael Tait","Unit 29
55 Wairoto Road
Wongtown 6467"
"Alison Coleman","38 Rongowaiwaka Amble
Taikawakowhai 2544"
"Julie Dawick","Apt. 894
9 Matamotungauru Beach Road
Hayesland 2431"
"Sharon Newman","8 Waimaungangauru Grove
Tipukawapuke 5721"
"Olivia Bishop-Moore","Suite 726
86 Teretangi Beach Road
Greenberg 6270"
"Denise Cook","9 Price Road
Shawleigh 5509"
"Sharon Southee","46 Kororangi Beach Road
Ryanstone 8601"
"John Ward","PO Box 78
South Spencerland 5168"
"Annette Anderson","61 Paterson Street
Rotoarapo 4319"
"Paula Edwards","Suite 633
38 Awawaka Street
Papaparohenui 8656"
"William Lewis","1 Guthrie Street
Bondgate 5029"
"Marcus Barnes","7 Kowhaiawa Close
RD 10
Aranui 6047"
"Holly Donald","8 Awatapu Parade
Ngaurutau 1379"
"Christopher Larsen","PO Box 2
South Chapman Hill 5086"
"Catherine Munro","8 Rohemata Place
Wekawaka 1469"
"Daniel O'Connor","743 Todd Heights
Lawsonneath 8698"
"James Jones","155 Nikora Square
Matatere 9280"
"Maia Robb-Stokes","9 Jessica Avenue
Terekowhai 5225"
"Annette Duncan","Suite 461
3 Horn Street
Horotoa 5871"
"Robert Thompson-Harris","Unit 15
255 Hogg Street
Taitipumakau 2084"
"Lisa Wallace","PO Box 1
Arawhero 9584"
"Harry Hawkins-Jefferies","421 Whakawhero Street
RD 9
Rangiara 5718"
"Justine McPherson-Hudson","775 Kowhaiiti Street
RD 3
Kororangi 2234"
"Joanne Parker","PO Box 966
Whakamokoroa 6970"
"Hayley Scott","301 Roberts Road
Whangatapu 9016"
"Michael Green-Webb","50 Ngaurumaungatangi Avenue
RD 9
Grayhaven 6103"
"Jane Neal-Hamilton","709 Richard Circle
Fisherside 5797"
"Stephanie O'Connor-Shepherd","38 Roheiti Street
Whakakawa 9894"
"Annette Goodwin","118 Bryant Street
Lake Murphystone 2555"
"Jacob Guy","Flat 89
393 Pope Beach Road
North Fletchergate 9292"
"Jonathan Stratford","2 Maungaiti Avenue
Lake Greenmouth 2342"
"Michelle Butcher","PO Box 911
Rowegate 5137"
"Benjamin Blair","190 Potanga Concourse
Kowhaiwaka 6441"
"Emma Taylor","382 Hume Street
Stevenson Hill 5866"
"Stephen Shepherd","Apt. 979
33 Rush Drive
Horomotu 5790"
"James Bailey","95 Rohekawatau Terrace
Manawaweka 8157"
"Debbie Lewis-Norman","115 Katherine Avenue
Gibsonmouth 8868"
"Adrienne Price","PO Box 688
Priestville 8099"
"Annette Perry-Gardiner","957 Rangiawahoro Quay
Wairohehanga 2092"
"Jason Allerby","772 Wakanui Square
Natasha Hill 0270"
"Christine Stewart","7 Rotorongo Track
Philipfort 5006"
"Nikau Mears","PO Box 343
Pageleigh 8922"
"Andrew Smith","5 Craig Street
RD 10
Stevensonings 9002"
"Noah Kerr","Flat 63
5 Taihoro Line
Manawamokomanawa 9257"
"William Harris","Unit 33
423 Kowhaitipurangi Close
Matatere 2421"
"Logan Smith","6 Cameron Crescent
Simpsonton 9527"
"Leon Baldwin","415 Awapo Concourse
Perrinhaven 6978"
"Tracey Esson","50 Davis Arcade
Pedersenings 2401"
"Annette Roberts-Soper","1 Ngauruarapapapa Road
Papapawhitu 1888"
"Barbara Turner","Apt. 167
88 Kowhairoheroa Terrace
Buckleyborough 8619"
"Tane Brooks","Flat 17
688 Rototoa View
Russellborough 8014"
"Aaron Hadfield","4 Horowai Street
Whakakiwi 9083"
"Sarah Saunders","247 Jordan Highway
Taitoa 5263"
"Charlotte Forbes","4 Zachary Drive
Wilkinsonleigh 8535"
"Brent Jenkins","42 Tipupuke Centre
Hannahings 5200"
"Michael Bishop-Rush","9 Popuketoa Avenue
RD 7
Tahihoromaunga 6035"
"Tracey Botham","Flat 13
1 Jones Beach Road
Fisherville 5854"
"Callum Evans-Pickering","Suite 846
3 Hewitt Street
Taurua 8505"
"Annette Scott-Alexander","PO Box 478
West Jenkinsberg 8963"
"Christopher Lloyd-Cook","77 McDonald Keys
Motuhoro 6487"
"Michelle Bailey","PO Box 1
Matangauru 2468"
"Susan Morton","348 Kimberley Drive
Horohope 5152"
"Kimberley Henderson-Orr","4 Olivia Avenue
Dohertyton 5268"
"Kathleen Bush","PO Box 747
Papapawhaka 8635"
"Robyn Wratt-Watkins","PO Box 8
Mokotanga 2545"
"Peter Burt","Level 9
7 Arawhaka Road
McIntyreton 5261"
"Shane Orr-Nelson","68 James Beach Road
Rangitoa 9834"
"Linda Field","92 Williams Flats
Waitipunuku 5589"
"Annette Smith","44 Bruce Arcade
Pollardbury 9479"
"Barbara Davis","832 Rebecca Arcade
High Colemaning 6183"
"Graeme McLean","PO Box 4
Simon Flats 5099"
"Amaia McFarlane","Suite 463
11 Kawaawa Street
Tangiwhareiti 5852"
"Kirsty Johansen-Arnold","803 Pukewakarohe Way
RD 3
Smithton 8871"
"Sophie Dixon","16 Whareawaroa Reserve
Hickeyville 1597"
"Michael Olsen","8 Owen Flats
RD 5
Port Alexanderville 9884"
"Matthew Patchett-Sheridan","PO Box 939
Motuhorotipu 9426"
"Julia Carter","8 Pukeawaiti Flats
Samuelland 2408"
"Trevor Patchett","4 Costello-Priest Quay
RD 6
Whangawhanga 2347"
"Anthony Anderson","PO Box 56
Manawaiti 7244"
"Deborah Smith-Harris","962 Mokowhaka Street
Tangiararangi 8847"
"Stephanie Thompson-Roberts","993 Motuaramaunga Crossing
Baxterland 6067"
"Denise Bishop","Level 4
993 Cragg Beach Road
Rongoroheiti 6079"
"Samuel Thompson","Unit 70
3 McLeod Street
Jacksonton 6904"
"Samantha Turnbull","7 Matapapapanui Street
RD 9
Millerburn 9641"
"Jacob Gardner","Apt. 446
476 Whakamaunga Highway
Samantha Hill 8632"
"Stuart Gill","38 Whangatangi Street
RD 9
Holdawaymouth 2248"
"Wayne McMillan","Apt. 382
4 Wood Drive
McDonaldberg 9492"
"Stephen Davison","PO Box 138
Douglasmouth 9332"
"Anthony Bowater","741 Gordon-Smith Place
Mount Nicholsonings 9740"
"Tracy Lane","PO Box 82
Terewhenua 5771"
"Nicholas Taylor","PO Box 618
Rangitapu 9362"
"Cameron Pope","10 Scott Alleyway
Wekataumanawa 9572"
"Catherine Bradley-Boon","Apt. 428
12 Harrison Street
Rongowekaroto 2288"
"Graeme Bailey","729 Perry Terrace
Matthewsside 8808"
"Joy Edwards-Anderson","105 Pukengauru Cross
RD 6
McEwengate 5740"
"Emma Rose","9 Davison-Ward Place
Costellomouth 7972"
"Helen Dean-Sutton","22 Caitlin Gardens
Irelandneath 4572"
"Courtney Mitchell-Shepherd","Suite 111
5 Ponuku Way
Rangihanga 2433"
"Anthony Burr","84 Williams Line
Lynetteville 5374"
"Joanne Elliott","Level 6
9 Marfell Crescent
Lake Brownhaven 2149"
"Brent Brown","8 Peter Way
Tauweka 9528"
"Michael Wood-Fisher","485 Kowhaipapapamoko Terrace
RD 7
North Jacksonfort 2460"
"Belinda Oliver","522 Forbes Avenue
Nolanville 9243"
"Christine Furness-Neal","797 Jack Avenue
Mokokowhaitipu 9281"
"Lisa Berkahn-Hudson","6 Wharetau Drive
RD 5
Taiwekanui 9631"
"Alex Jellyman","7 Wekamoko Beach Road
Lauraing 2197"
"Carolyn Thompson","930 McMurray Street
New Guardmouth 9006"
"William Wood","Flat 31
3 Bryant-Hay Beach Road
Taimotuiti 3374"
"Anthony Cunningham","953 Graham Street
Whangarongo 5594"
"Joseph Burke-Satherley","Apt. 108
4 Wekatai Ridge
Manawawaitapu 5529"
"Christopher Broughan","226 Hamilton Crescent
Furnessborough 6908"
"Tui Ward","PO Box 5
Nealburgh 9524"
"Paige Ham","7 Campbell Terrace
Stokeshaven 5156"
"Ross Dobson","PO Box 84
Korotapu 9648"
"Natalie Watts-Williamson","Unit 79
1 Rohekawarua Ridge
Hillsborough 8658"
"Isabella Bryant","369 Smith Street
Kennedyings 9584"
"Stephen Spelman","2 Moturohe Court
RD 6
Gillespieton 2342"
"Callum Payne","6 Barnett Pass
Arawhero 5256"
"Anthony Fowler","PO Box 165
Wekanui 4747"
"Malcolm Davis","9 Lynne Street
RD 5
East Crawside 9016"
"Ashley Nicholson-Green","69 Harris-Bird Street
Stoneberg 9219"
"Kenneth Gardner-Love","205 Taitau Avenue
Awatangi 7289"
"Tracey Meads","2 Teretere Terrace
Wekaroto 5723"
"Lucy Burke","29 Small Drive
Tahitangi 6925"
"Nigel Hodson","8 Rohewhitu Cove
Dicksonmouth 2549"
"Gemma Robson","PO Box 52
Ngauruhope 8900"
"Peter Carson","Flat 63
85 Tipuwhero Close
Awamataara 6998"
"Mackenzie Morgan","68 Mann-Kennedy Mews
Rohemoko 9254"
"Anthony Gardiner-McDonald","900 Motutere Cove
Reeveston 8557"
"Renee Smith","21 Wairua Concourse
Perrying 8476"
"Samantha Cragg","Apt. 547
18 Robert Crossing
Jensenland 9495"
"Michael Jenkins","609 Matatahi Cutting
RD 5
Wakaawahanga 9458"
"Megan Blick","2 Aranui Parade
Amandafort 8899"
"Lauren Tait","953 Koromata Corner
Motuwhenua 8953"
"Flynn Kennedy","9 Clarke Plaza
RD 3
Ngaurutererongo 5270"
"Renee Davenport-Stratford","369 Davey Line
RD 2
Smithtown 5828"
"Mason Pritchard","642 Manawaroto Street
RD 4
Jonesside 9789"
"Donna Blake","Apt. 830
2 Smith Grove
Rangiara 4826"
"Anthony Marshall-Marfell","Flat 87
3 Baldick Avenue
Waltonmouth 5315"
"Brian Morgan","Flat 56
123 McKay Reserve
Terenuku 8401"
"William Scott","20 Whangamata Crescent
RD 1
Rotomoko 8262"
"Paula Gardner","934 Pukemakau Street
Blickings 9207"
"Roman Shepherd","Flat 56
4 David Drive
Lower Rushside 8283"
