"Aaliyah Ritchie"|"467 Korokawa Anchorage
Smithleigh 6493" 
"Samuel Scott"|"Apt. 633
95 Martin-Lamb Crescent
Williams Flats 7921"
"Ryan Hughes"|"PO Box 80
Fleminggate 9562"
"Benjamin O'Donnell"|"40 Fowler-Scott Drive
Forbesing 9896"
"Ronald Miller-Murphy"|"Suite 491
872 Hart Cutting
Bailey Hill 6248"
"Katie Cook"|"Flat 70
929 Andrew-Stratton Broadway
Edwards Flats 9292"
"Bruce Stewart-Harris"|"PO Box 39
Ariaings 5529"
"Jessica Smith"|"Unit 44
73 Ranginui Street
High Wardborough 8410"
"Amelia Lloyd"|"445 Anderson Avenue
Matanui 2032"
"Thomas Davies"|"PO Box 1
McGregorborough 8864"
"Kylie Toms"|"Apt. 349
58 Huddleston Road
Blackwelling 8881"
"Douglas Stevenson"|"PO Box 78
Jasonton 8917"
"Maria Mortimer"|"8 Harris Mews
Arnold Flats 2310"
"Gregory Burnett"|"Level 6
82 Butler-Mitchell Avenue
Wharerongotanga 8656"
"Teresa Love"|"Level 2
13 Tangimatarongo Beach Road
Ngaurupoiti 0640"
"Charlotte Smith"|"7 Evans Close
Smithside 8441"
"Bruce Weston-Sanders"|"PO Box 9
Hororotomoko 9860"
"Michael Lammas"|"Level 6
24 Marfell-Weston Beach Road
High Harrisstone 6921"
"Simon Monk-Guy"|"6 Ward Avenue
Awarohewhanga 8878"
"Ryan MacKenzie"|"Suite 429
947 Harrison Avenue
Tahiporongo 5574"
"Peter Day"|"1 Gore Broadway
Andreaburn 2406"
"Jason Scott-Douglas"|"Suite 334
448 Terewhakawhanga Anchorage
Walshburn 3194"
"Maddison Booth-Pike"|"Level 5
3 Mitchell Way
Puketereroto 6029"
"Stephen Pickering"|"PO Box 3
Kowhaikowhai 9488"
"Jessica Douglas"|"440 Papapanuku Cross
RD 2
Masoning 5561"
"Natalie Baker"|"45 Powhero Range Road
Rotomaunga 2539"
"Bruce Woolley-Evans"|"PO Box 51
Whakapo 9697"
"Ian Johnston-Mayo"|"221 Henry Quay
RD 7
Korotau 2280"
"Tracey Wallace"|"390 Michael Place
RD 4
Arawakaiti 7972"
"Bradley Shannon"|"552 Nolan Avenue
RD 3
Ngaurumoko 1525"
"Renee Baxter"|"74 Hansen Cross
Pomokoiti 8023"
"Isaac Alve-Parkes"|"228 Matakoro Mews
Mooreton 5785"
"Aimee Muir"|"4 Cameron Drive
Robbstone 5201"
"Scott Shannon"|"Flat 15
33 Nelson-Rose Street
High Taylorberg 2245"
"Kirsten Read-Steele"|"4 Thompson Line
Paulberg 9249"
"John Moran"|"82 Anderson-Hawkins Alleyway
Jonesside 1703"
"Bryan Harris"|"2 Wekarohe Street
Hororohetapu 5295"
"Rachael Woods"|"600 Hart Range Road
Papapaawanuku 2066"
"Christine Bird"|"Level 7
6 Manawakawakiwi Pass
Pukemaunga 9311"
"Anthony Stratton"|"670 Rongowakawhitu Street
Rangimoko 3732"
"Simon Lewis-Gullery"|"Unit 57
467 Ritchie Heights
Murphyside 6202"
"Karl Hawkins"|"65 Mokotangingauru Street
Awamaunga 8185"
"Roger Wells-Lane"|"Apt. 630
26 Woods Cutting
Taumoko 6285"
"Darren Woods"|"Flat 84
5 Fulton-Hansen Keys
Mount Kendall Hill 8055"
"Kenneth Jackson-Smith"|"59 Rohetaiwhero Close
RD 6
Motukawawaka 5215"
"Michael Bowden"|"37 Higgins-Christiansen Street
Herdburn 9358"
"Caitlin Crawford"|"77 MacDonald Arcade
Mokorangiroto 6078"
"Elizabeth Jamieson"|"Flat 33
5 Campbell Street
Cookemouth 7314"
"Leo Taylor"|"Level 8
409 Gibbons Road
Johnberg 2284"
"Robert Harris"|"19 Kawamotu Crest
East Taylorside 2304"
"Ariana Guy-Morrison"|"9 Awawhanga Court
RD 9
South Smithtown 5092"
"Michael Richards-Higgins"|"PO Box 56
Leemouth 7453"
"Gregory McKay-McEwen"|"6 Ponuku Drive
RD 4
Rohepuke 7415"
"Karen Bowden"|"Level 6
8 Maungaiti Avenue
Olsenside 0397"
"Jack MacKay"|"PO Box 250
Lindaport 9208"
"David Smith"|"873 Pedersen-Tapp Avenue
Chapmaning 9861"
"Caitlin Larsen-Jones"|"3 Wekawhare Avenue
Tairua 8074"
"Stuart Zimmerman"|"PO Box 936
Joebury 2073"
"Kaia Jensen"|"PO Box 374
Papapatoa 5053"
"Simon Bradley"|"70 Rongonui Avenue
Lake Daviesborough 8197"
"Ryan Coleman"|"PO Box 638
Brentmouth 9528"
"Sheryl Ireland"|"6 Maungamata Mews
Kowhaitaumakau 7716"
"Christopher Pickering-Nielsen"|"PO Box 49
Craventon 6156"
"Caleb Sutton"|"32 Bailey Street
Woolleyhaven 2369"
"Simon Morgan"|"1 Rongokowhairohe Crest
Daveyport 6003"
"Mason Holloway"|"9 Cooksley Avenue
RD 6
Tipuweka 8979"
"Caitlin Lloyd"|"PO Box 96
Whakanuku 9441"
"Kyle Waller"|"833 Taiwaka Road
Wongleigh 6085"
"Wendy Price-Gilbert"|"8 Papapahope Road
East Woodton 9857"
"Chloe Hart"|"6 Waipuke Park
Rohekowhaimoko 8545"
"Leanne Anderson"|"94 Taylor Road
RD 2
Murphying 5825"
"Gary Jones"|"809 Wilkinson Street
Little Flats 9798"
"Aaron Bryant"|"7 Wekatipu Plaza
Bellings 2217"
"Crystal Waugh"|"Level 7
772 Hororangirua Close
Phillipsbury 3374"
"Allan Davis"|"97 Tereweka Approach
Mataranginui 9613"
"Peter Broughan-Patchett"|"Flat 66
86 Jill Street
Rangitangikawa 5102"
"Caitlin Mason-Barker"|"15 Warren Range Road
Rogersgate 9690"
"Rochelle Black"|"2 Debbie Beach Road
Jackson Flats 5372"
"Susan Warren"|"Level 8
305 Katie Street
Mokomakau 9590"
"Lilly Gilchrist"|"9 Arawhare Court
Puketautere 8858"
"Judith Gardner"|"994 Howard Highway
Wakatere 2522"
"James Moody"|"Suite 564
7 Horotaiara Point
Knightberg 9069"
"David Gibson-Morgan"|"Suite 151
673 Whakatangi Road
Rossiterberg 8657"
"Christina Smith"|"PO Box 580
Mataiti 5298"
"Benjamin Wills"|"4 Pukewhitu Broadway
Teremotukowhai 7804"
"Linda Lowe"|"Apt. 239
5 Mataroa Road
Woolleying 2010"
"Caleb Bell"|"PO Box 88
Smithland 6220"
"Daniel Stevens"|"679 Rongowhaka Circuit
North Carpenter Hill 2033"
"Wendy Patchett"|"PO Box 1
Lyonsville 3780"
"Bruce Anderson"|"96 Osborne-Beard Esplanade
Ngauruwhare 8951"
"Andrew Marfell-Willis"|"12 Kawapokoro Access
Smithberg 5576"
"Dylan Ward"|"Suite 127
71 Mokorongo Street
Aaronbury 8203"
"Madeleine Chandler"|"72 Wallace-McDonald Place
RD 2
Francisstone 6963"
"Huia Lyon"|"Suite 552
6 Wharemokokoro Copse
Donaldfort 5376"
"Christopher Williams-Spencer"|"971 Taimotutere Avenue
Taylorburn 8091"
"Thomas Morrison"|"PO Box 42
High Williamson Hill 2466"
"Caleb Hewitt"|"Level 9
165 Bradley Pass
Pukengauru 6236"
"Ashleigh Knox"|"59 Rochelle Circle
Tangitau 9789"
"Hazel Burton-Craig"|"407 Gleeson Street
Dicktown 5820"
"Margaret Small"|"PO Box 546
Guardhaven 8879"
"Ruby Scott"|"PO Box 6
Graytown 5290"
"William Jones"|"5 Cox Street
Whangarotonui 5533"
"George Shaw"|"71 Maungatangi Street
Baldwin Flats 8473"
"Brittany Anderson"|"29 Manawapotai Highway
RD 7
Port Jensenport 8243"
"Aaron Gardiner"|"278 Wakatipu Cutting
Wharekawaweka 7447"
"Carl Parker"|"PO Box 2
Knight Flats 9896"
"Caleb Humphrey"|"Level 8
49 Manawarongowhenua Crescent
Barystone 2121"
"Graeme Herd"|"Flat 45
2 Morris Anchorage
Mokowai 9344"
"Craig Freeth"|"Unit 72
28 Drake Beach Road
Tomshaven 2129"
"Joanne Murphy-Brown"|"55 Parsons Crossing
RD 5
Motuwai 8649"
"Stuart O'Brien"|"820 Waimata Corner
Matanuku 7687"
"Aiden Hansen"|"427 Horowhenua Road
Poiti 5163"
"William Neal"|"PO Box 2
Wharetai 9701"
"Carolyn Elliott"|"155 Campbell Point
Rush Hill 9261"
"Samantha Bradley"|"9 Koropapapamotu Road
Carterings 8857"
"Hayley Moore"|"Suite 853
352 Waikoro Street
Motukororongo 5260"
"Caleb Meads-North"|"PO Box 21
Millering 9620"
"Claire Smith-Landon-Lane"|"PO Box 7
Tereweka 9488"
"Toni Hodson"|"245 O'Brien Drive
Robertburgh 2380"
"Nikau McCarthy"|"Suite 536
7 Boniface Rise
Awatipu 3589"
"Suzanne O'Neill-Anderson"|"783 Julia Drive
Upper Simpsonburgh 2027"
"Barbara Fowler"|"36 Thomas Mews
Koromaungaara 4794"
"Luke Harris-O'Brien"|"554 Payne-McDowall Place
RD 4
Tipuhororoa 5834"
"Jennifer MacDonald"|"1 Morris Range Road
Brownside 2153"
"Toni Jacques"|"73 Dixon-Carr Track
Brooksville 2177"
"Laura Chapman"|"1 McMahon Street
RD 6
Tangiroheawa 8222"
"Caleb Twidle"|"6 Matamaunga Place
Papapaiti 2035"
"Emma Howell"|"PO Box 1
Brownland 0353"
"Rachel Watts"|"81 Fairhall-Edwards Street
RD 2
Kathleenside 2331"
"Alan Gill"|"Suite 459
669 Green Broadway
Taitipuwhenua 5077"
"Kylie Boyce"|"6 Diana Keys
Reganville 6266"
"Catherine Smith-Carter"|"PO Box 400
Matahorohope 8050"
"Kurt McCallum"|"3 Drake Esplanade
Christopher Hill 9328"
"Jordan Linton"|"239 Bishell Pass
Fieldneath 5832"
"Victoria McEwen"|"2 Gray-Williams Esplanade
Mokongauru 6103"
"Peter Johnston"|"98 Terekawawhaka Crescent
RD 2
Tereawaiti 9819"
"Caleb West"|"Level 1
9 Rongopapapatapu Causeway
Arapuke 5168"
"Heidi Waller-Edwards"|"4 Awarongotoa Road
RD 3
North Gilesville 8563"
"Chloe Dick-Cumming"|"1 Bush Street
Whangaara 5810"
"Raymond Pedersen"|"Level 1
7 Lloyd Plaza
Rotomanawa 8886"
"Sharon Simpson"|"Apt. 841
37 Pukemoko Park
Tangiiti 2337"
"Jennifer Knight"|"206 Shand Cutting
RD 8
Williamsoning 1986"
"Russell Watt"|"38 Oliver Ridge
Allan Flats 5791"
"Mya Hills"|"19 Pukekororoto Street
Northmouth 9072"
"Pamela Buick"|"43 Wood Esplanade
Port Cameron Hill 8409"
"Christopher McKay"|"Level 3
40 Rongotapu Court
Papapawhangarua 8814"
"Caleb Wood"|"PO Box 57
Scottburn 9305"
"Debra McEwen-Clarke"|"Unit 59
383 Boyle Road
Terehoro 9371"
"Lance Shaw-Williamson"|"500 Awatau Arcade
RD 3
South Stewartstone 5261"
"Philippa Warren"|"12 Atkinson-Peterson Crossing
Bellgate 9051"
"Oliver O'Brien-Smith"|"545 Wekawhakawhero Avenue
Horongauru 5859"
"Jessica Hughes"|"994 Ian Avenue
Tahitanga 5046"
"Janine Ham"|"474 Hughes-McManaway Place
Andersonneath 6424"
"Bernard Thompson"|"Unit 52
94 Taitoa Square
Susantown 2330"
"Tyler Thompson"|"Level 8
997 McIsaac Avenue
Whakataikowhai 9744"
"Jordan McEwen"|"97 Tereiti Anchorage
Stevensoning 5268"
"Callum Baker"|"Level 5
87 Reardon Rise
Potipuroa 8876"
"Pamela Smith"|"761 Tiputahi Street
Pokawaara 7964"
"Peter Wratt"|"PO Box 7
Waitautoa 9447"
"Michael Middleton-Muir"|"Level 1
79 Newton Pass
Tahinui 8149"
"Matthew Anderson"|"731 Arakawahanga Street
Gibsonleigh 5349"
"Michael Barr"|"Unit 11
859 Brown Terrace
Burrellmouth 8863"
"David Gibbons-Stevens"|"44 Seymour Place
Laneside 5174"
"Lily Barker"|"895 Coleman-Middleton Street
Neilgate 6997"
"Leah Allen"|"246 Ngaururototahi Drive
Rotomata 9209"
"Edward Smith"|"61 Rongohoro Crossing
Horoweka 0145"
"Callum Thompson"|"329 Kawakowhai Beach Road
RD 6
Lower Gore Flats 9394"
"Edward Fowler"|"1 Miller Road
Rongorohe 2548"
"Nathan Paterson"|"94 Matateretahi Road
Georgeing 6909"
"Alexander Davey"|"Apt. 102
967 Jensen Road
Geeing 5040"
"Shona Webby"|"86 Stewart Mews
Sarahburgh 5864"
"Hugo Smith"|"19 Ngaurutau Rise
Wharerongorongo 5275"
"Joseph Hamilton-Arnott"|"41 Oliver Street
Jeffreyside 2633"
"Jennifer Thomas"|"39 Jeffries Mews
RD 2
Mitchellleigh 8155"
"Barbara Jamieson-Shaw"|"Level 1
8 Rohemoko Crest
Maungaawa 5063"
"Jade Jordan"|"89 Tipuwakanui Avenue
Wekawhangatere 2272"
"Cameron Armstrong"|"125 Tiputapu Street
RD 2
Rohetaitau 2099"
"Lilly Mitchell-Harris"|"4 Gilbert Avenue
Taitanga 5092"
"Sally Bell"|"Suite 684
9 Rotopukehope Street
Nelson Hill 5786"
"Peter Barnes"|"79 Matakowhai Drive
Kowhainui 9890"
"Emily Armstrong"|"13 Holland-MacDonald Road
RD 1
Waiwai 9544"
"Mark Baker"|"PO Box 9
Andersonmouth 8209"
"Timothy Arnott"|"111 Taimanawa Street
Pokoro 7724"
"Julie Porter"|"PO Box 482
Costellobury 9415"
"Jeanette Smith"|"Unit 37
139 Saunders-Brown Corner
Jonesville 9836"
"Patrick Foley"|"251 Thomas Way
Russell Hill 2424"
"Cameron Baker"|"PO Box 429
Papapawhangangauru 2002"
"Angel Walsh"|"78 Sullivan Arcade
Gardinerside 8890"
"Rachel Campbell-Scott"|"5 Manning Flats
Rongoiti 8919"
"Elizabeth Rogers-Parker"|"66 Rongomatawai Street
Tipupo 1487"
"Steven Chambers"|"5 Leslie Mews
RD 6
Wallaceborough 5380"
"Ruby Reeves"|"PO Box 309
Whakawharetoa 5848"
"William Baker"|"73 Ngaurumanawa Bypass
Benjaminings 8824"
"Olivia Williams"|"3 Kowhaimakau Parade
Arapapapa 9522"
"Paul Peters"|"149 Wharewhitu Avenue
Phillipsland 8841"
"Lauren Morrison"|"5 Freeth Drive
RD 3
Rangihope 6174"
"Cameron Coley"|"25 Johnston Avenue
Drakeing 5759"
"Samuel Martin"|"PO Box 2
New Phillipsland 8996"
"David Burr-Southee"|"367 Coutts Crescent
Smithings 5119"
"Natasha Parsons"|"306 Poroto Cove
RD 5
Woodsburn 8275"
"Hana Martin"|"78 O'Connor-Williams Esplanade
Taukowhaikawa 8564"
"Michelle McDowall-Hickey"|"494 Pukewai Street
Sullivan Hill 3494"
"Laura Godfrey"|"3 Mokotauroa Avenue
Motuawa 9428"
"Sophie O'Sullivan"|"205 Bassett Rise
RD 8
Pukearawhanga 9377"
"Willow Fitzgerald"|"PO Box 184
Rotohoro 9317"
"Sandra Hansen-Williams"|"Flat 56
5 Porua Circuit
Jamesfort 6448"
"Cameron Edwards"|"PO Box 48
O'Sullivangate 5360"
"Michael Harrison"|"837 Papapawhare Road
RD 6
Manawatipuroto 5820"
"Hope Rowe"|"36 Alve-Wood Mews
Ngaurukowhai 7108"
"Robert Griffin"|"PO Box 3
Scottside 5713"
"Joseph Pike"|"PO Box 68
Matthewsborough 6288"
"Sophie Burnett"|"9 Horowhaka Avenue
Wekaawa 7891"
"Lesley Tucker"|"606 Kowhaiwhero Terrace
RD 7
High Martinville 8018"
"Gregory Barnett-Field"|"1 Mokotaikowhai Street
RD 8
Horopapapakawa 4078"
"Mark Davis-Harrison"|"2 Johnston Street
RD 9
Wharewaka 1948"
"Sarah O'Leary"|"Level 1
78 Tauwhitu Street
Mitchellings 8543"
"Carlos McEwen"|"371 Arawhaka Place
Wekatipu 8940"
"Kirsty Smith"|"PO Box 134
Taylorberg 9651"
"Sarah Jones"|"5 Paton Cove
Papapatoa 6090"
"Wendy Holmes"|"28 Rotowhero Copse
RD 2
Kowhairua 7886"
"Marie Ward"|"41 Neal Road
Tangihoro 9863"
"Kim Wratt"|"768 McCallum-Hansen Line
Rohetipuroa 1407"
"Harper Cresswell"|"9 Ramsay-Lewis Circuit
McKinnonburn 2208"
"Jennifer Hardy-Powell"|"19 Smith-Reed Heights
Wakapuke 6942"
"Cheryl Hamilton-Morgan"|"20 Sandra Ridge
Tahipo 2154"
"Bruce Johnston"|"199 Ham Street
Morganstone 9724"
"Carmen Waghorn"|"Suite 213
143 Holland Parade
Wekawhaka 4350"
"Kayla Rowland-Williams"|"99 Johnston-Anderson Crescent
RD 3
Tahirohe 9663"
"Benjamin Wall"|"6 Scott Amble
Horopapapa 9372"
"Kelsey Bartlett"|"Unit 69
35 Araawawhero Road
Horotangipapapa 6028"
"Joseph Irving-Fowler"|"2 Evans Circuit
Turnerburn 2698"
"Lindsay Brown"|"9 Botham Drive
Phillipburn 6206"
"John Thompson"|"4 Long Mews
Mitchellmouth 3100"
"Julie O'Neill"|"925 Fowler Street
Robertside 5309"
"Jade Barnes"|"PO Box 2
High Parker Hill 2288"
"Harry Thomas"|"Suite 415
43 Bella Road
Rangiwaipuke 5301"
"Carol Berry"|"3 Edward Street
RD 8
Matthews Hill 9879"
"Brian Stewart-Gaskin"|"512 Roheweka Crossing
South Stratfordleigh 8838"
"Sean Morrison"|"449 Forrest Crescent
Mannington 8486"
"Pamela Scott"|"1 Waiponui Rise
RD 8
Websterhaven 9792"
"Danielle Orr"|"339 Martin-Middleton Crescent
East Bowaterville 2282"
"Victoria Wheeler"|"Level 3
9 Bryant Road
Bellland 8290"
"Lisa Carson"|"1 McManaway-Jones Street
Rototererohe 9646"
"Douglas Price"|"Level 3
7 Caldwell Approach
Whangarangihope 2407"
"Heidi Simpson"|"643 Smith Road
RD 2
Teretanga 6440"
"Craig Thompson"|"PO Box 15
Awanui 9293"
"Carol Cragg"|"1 Manawataipo Street
Wharenui 5728"
"Jeremy Warren"|"PO Box 428
Powhitu 5126"
"Amber Taylor"|"Unit 48
4 Baker Beach Road
Benjaminstone 9801"
"Joanne Taylor-Corbett"|"273 Araweka Street
Wharenui 9350"
"Aaliyah Munro"|"659 Lyon Crescent
Danielneath 2449"
"Judith Best"|"179 Weston Street
Pukewhareawa 9718"
"Harper Jackson-Chambers"|"4 Darryn Terrace
RD 7
Whangamotu 6004"
"Nicholas McDonald"|"PO Box 434
Taikowhai 1868"
"Mark Rees"|"8 Ngauruwaka Road
Awanui 9607"
"Nicholas Cameron"|"965 Flood Way
RD 1
Wakangaurutai 6968"
"Carol Higgins"|"6 Rohetahitangi Crescent
Waimotu 8168"
"Mia Burke-Buchanan"|"PO Box 1
Tahiwhenua 8209"
"Aaron Craven"|"Flat 12
306 Horopapapawhare Circuit
Wayborough 9287"
"William Stevens"|"Level 8
562 Benjamin Mews
Popeing 5229"
"Suzanne McGill"|"92 Mokowakawhare Terrace
RD 10
Motumata 5100"
"Rachel Fisher"|"47 Linton Crescent
RD 8
Fullerburgh 3572"
"Gillian Carter"|"887 Wharenuku Avenue
RD 2
Smith Flats 8547"
"Stephen Lucas-Burton"|"6 Korokawa Drive
RD 2
Sowmanberg 9738"
"Alison Turner"|"30 Warren Arcade
Corletthaven 6990"
"David McMurray"|"PO Box 80
Holdawayings 9251"
"Carol Jones"|"26 Burt-Sutton Avenue
RD 4
Maungamaunga 9282"
"Mikayla Black"|"381 Adams-Donald Park
Roheiti 3959"
"Douglas Beattie"|"48 Awawhare Street
RD 2
Lake Hewittburgh 2437"
"Gary Scott"|"Level 5
2 Porohe Way
Kim Flats 0852"
"Sandra Horn"|"231 Tracey Rise
Rongotangi 5332"
"David O'Brien"|"5 Ritchie-Drummond Street
RD 8
Grayland 2623"
"Mark Judd-Smith"|"Level 2
579 Taumoko Crescent
Taihoro 6129"
"Jasmine Anderson"|"2 Taumanawa Corner
RD 2
Shepherdton 2314"
"Morgan Scott"|"543 Mokoroa Alley
RD 10
Ashleighbury 8617"
"Michelle Carpenter"|"973 Scott Street
RD 6
Wongberg 5036"
"Carol Kenny"|"531 Black Street
Wakarongoiti 7854"
"Patrick Lawson"|"Flat 32
71 Barnes Street
Beattietown 2389"
"Tania Lyons"|"PO Box 2
Motuiti 8573"
"Phillip Gibbs-Parsons"|"2 Tiputangiwaka Gardens
RD 7
Waitipu 2234"
"Brent Blair"|"1 McDonald Broadway
Aimeeberg 9270"
"Michael McPherson"|"1 Whangawai Terrace
Mitchellgate 2119"
"Kim O'Donnell"|"PO Box 17
Andersoning 3186"
"Hamish Moore"|"8 Rotopuke Concourse
Tahiawa 1378"
"Donald Waghorn"|"9 Anna Cove
Adamsland 9236"
"Laura Middleton-Smith"|"17 Murphy Alley
Koronui 4578"
"Carol Saunders-Smith"|"PO Box 93
Schwasstown 2094"
"Kylie Fitzgerald-Cooksley"|"2 Murphy Road
RD 10
Tangiwai 2255"
"George Whittaker"|"707 Baker Keys
Jenkinsbury 1213"
"Clinton Paul-Scott"|"565 Webby-Ward Street
Irvingville 4692"
"Wayne Burt"|"PO Box 350
Coleyfort 6467"
"Sophie Hawkins"|"4 Motuwhitu Keys
Jenkinsberg 9735"
"David Jamieson"|"Apt. 159
4 Kawawhangakoro Street
Willsgate 2057"
"Murray Martin-Hart"|"798 Rotomanawa Street
Maungapapaparongo 8253"
"Richard Scott"|"214 Rangihorowhitu Avenue
Rotowharewhitu 2421"
"Lisa Stewart"|"5 Tangitaipo Cove
Russellstone 2116"
"Carol Taylor"|"Flat 76
137 Rotopuke Street
Grayfort 9206"
"Jessica Black"|"38 Morrison-Fletcher Beach Road
Tipurongo 9696"
"Janine Grant-Barr"|"8 McEwen Arcade
Watershaven 6070"
"Gary Morgan"|"1 Bailey Grove
Papapatahiweka 6291"
"Austin Larsen"|"Apt. 499
204 Poole-Stace Arcade
Pukeiti 6141"
"Deborah Bryant"|"503 Awatapu Street
Carrside 6100"
"Lynne Bassett"|"PO Box 74
Taitahiroa 2036"
"Lucas Oliver-Taylor"|"886 Kathryn Ridge
Nielsenborough 5093"
"Mason Moody"|"709 Matawhanga Quay
Lower Bookergate 7669"
"Samantha Smith"|"5 Davis Street
Johnstoneing 8808"
"Carol Thompson"|"PO Box 71
Porua 2097"
"Troy Sullivan-Bary"|"PO Box 10
Turnerings 6206"
"David McNabb"|"52 Kay-McKay Copse
Patchetting 6434"
"Mason Page"|"89 Wairongo Drive
Brown Flats 5078"
"Kyle Way"|"PO Box 4
Smithland 7092"
"James Brooks"|"Suite 498
16 Wairongo Road
Rotohanga 8064"
"Vanessa Jones"|"PO Box 5
Marfellside 2582"
"Jennifer Brooks"|"846 McDonald Avenue
RD 2
Trask Hill 8144"
"Pamela Turnbull"|"291 Rongowharewhanga Drive
Webster Flats 2616"
"Sarah Cole-Woolley"|"431 Fletcher Drive
Gleesongate 9346"
"Caroline Hadfield"|"9 Butcher Road
Amanda Hill 8940"
"Elizabeth Carr"|"756 Pike Road
Westonburgh 6231"
"Shannon Fuller-Anderson"|"67 Wharewhaka Street
Neiltown 3240"
"Benjamin Stewart-Hoare"|"176 Alan Way
RD 7
Taimaungakawa 9561"
"Tracy Ramsay-Adams"|"509 Woods Crescent
Coleymouth 9439"
"Philip Gardner"|"PO Box 7
Southeeside 8180"
"Scott Rowland-Allan"|"Level 6
155 Patchett Concourse
Arnottbury 8294"
"Brooke Buchanan"|"28 Campbell Square
Fergusonberg 9031"
"Kauri Jackson"|"3 Rohemata Street
Aramokotai 9053"
"Andrew Horton"|"805 Whakatahi Avenue
Riamouth 5155"
"Caroline Williamson"|"8 Ward Access
Rongotai 5825"
"Paul Waugh"|"20 Matthews-Smith Street
RD 4
Simmondsneath 9839"
"David Barrett"|"Suite 739
94 Jessica Drive
Porterbury 5189"
"Sally Saunders"|"4 Fairhall-Coutts Place
Goodwinfort 6910"
"Molly McDonald"|"34 Tahipapapa Lane
Thomasside 8095"
"Laura Gardiner"|"767 O'Sullivan-Boyd Range Road
Tipuawa 9560"
"Callum Kenny"|"3 Lloyd Copse
Madelinetown 8938"
"Carl Manson"|"2 Taungaurumanawa Rise
RD 9
Lawsonport 2601"
"Thomas Horn-Peters"|"9 Kate Crossing
Papapawhenua 9425"
"Karen Taylor"|"Flat 20
8 McPherson-Barnett Quay
Rotorangi 2130"
"Carolyn Edwards"|"80 Michael Arcade
Papapatau 5532"
"Abigail Fleming"|"458 Cooke Keys
Terepuke 7879"
"Jessica McCormick-Stevens"|"581 Mary Street
McIntosh Hill 6489"
"Denise Lane"|"Suite 461
31 Martin Reserve
Whangamata 2281"
"Shane North"|"591 Little Circle
Taikorotere 2566"
"Tayla Marshall"|"8 Rotowhakarua Range Road
RD 1
Arapuke 9433"
"Charlotte Gordon"|"89 Burton-West Anchorage
Davies Hill 9490"
"Tama McIntyre"|"48 Bailey Amble
Korotaiara 6230"
"Daniel Herd"|"Unit 39
389 Hart Street
Ngaurumata 6280"
"Waimarie Hopkins"|"PO Box 39
Keithmouth 6208"
"Carolyn Evans"|"8 Cumming Square
Lower Gledhillside 1947"
"Janice Bishop"|"2 Thompson Mews
RD 4
Olsengate 4587"
"Jane Scott"|"7 Rotonui Street
Banksbury 9257"
"Paige Carroll"|"2 Arapapapakawa Avenue
RD 7
Pokowhai 5840"
"Samuel Edwards"|"946 Brown-Gordon Street
Wairoto 9650"
"Kaia Jones-Carter"|"735 Hart Road
RD 7
Tipupapapamaunga 7771"
"Paris Perano-Banks"|"Level 9
738 Gregory Road
Burrhaven 3242"
"Jordan Brown"|"7 Prentice Way
Kowhaikowhai 6487"
"Corey O'Connell"|"71 Leslie-Watkins Mews
RD 8
Hendersoning 5540"
"Caleb Howard-Harrison"|"5 Porua Track
RD 8
Awapuke 5792"
"Carolyn Hoskins"|"7 Coley Street
Hortonbury 2023"
"Shirley Pritchard"|"7 Christiansen Street
Taitburn 9732"
"Patricia Curtis"|"Suite 766
1 Lloyd Approach
Whangapukeiti 2661"
"Stephen Shepherd"|"PO Box 9
Maungatau 8505"
"Peter O'Brien"|"8 Brown-Smart Drive
Carolynside 2009"
"Andrea Wood"|"PO Box 777
Potau 8518"
"Deborah Mercer-Cole"|"Unit 57
452 Matarohe Street
Whakaiti 6205"
"Joanne Doherty"|"1 Scott Copse
Maungapukekowhai 9621"
"Rebecca Stevenson"|"60 Samuel Street
RD 5
Maungarotorongo 6164"
"Susan McIntosh-Price"|"6 Reed-Rossiter Point
Rototere 5859"
"Carolyn Pope"|"14 Findlay Street
RD 1
Deborahton 5877"
