"Albina Begonja"|"Kapucinske 8
75605 Duga Resa" 
"Ljiljana Kopjar"|"Bakačeva 5
76952 Ludbreg"
"Maja Marić"|"Jezuitski trg 8a
89275 Pakrac"
"Rudolf Raljević"|"Lisinskoga 3
19089 Mursko Središće"
"Ika Kralj"|"Palmotićeva 5
49916 Sinj"
"Sanja Žuvela"|"Jurkovićeva 3a/1
73714 Obrovac"
"Domagoj Marinković"|"Tošovac 22
18403 Dubrovnik"
"Ika Šoštarić"|"Jabukovac 8b/4
83705 Glina"
"Franciska Peroš"|"Gračanska 01
54343 Biograd na Moru"
"Milena Skupnjak"|"Zamenhofove 562
57200 Ilok"
"Zora Brcko"|"Krvavi most 8b
22986 Zaprešić"
"Vedran Prtenjača"|"Dvoranski prečac 2b/1
51044 Ozalj"
"Ane Jurjević"|"Skalinska 8b
96568 Slavonski Brod"
"Erik Žužić"|"Gradec 8b/3
89685 Knin"
"Ika Krčelić"|"Mlinovi 7b
82154 Slavonski Brod"
"Aldo Čargonja"|"Kraljevečki odvojak 1a/5
60891 Opatija"
"Božena Pokas"|"Remetska 7b/2
98145 Vrbovsko"
"Dragica Stošić"|"Lobmayerove 9b
31137 Popovača"
"Hana Vučin"|"Mlinovi 2a
53166 Poreč"
"Dražen Petek"|"Kapucinske 2
02275 Kaštela"
"Mladen Čudić"|"Kraljevečki odvojak 0c/7
14309 Sinj"
"Anka Perčić"|"Istarska 3
64448 Sveta Nedelja"
"Matej Miletić"|"Palmotićeva 0b
94167 Delnice"
"Mare Paradi"|"Kraljevec II. 3c/0
79703 Pula"
"Ika Mihaljević"|"Mašekova 0a/1
00858 Kaštela"
"Franciska Kevo"|"Jurišićeva 45
13926 Belišće"
"Nada Kraljić"|"Jurišićeva 2b
82013 Trogir"
"Josip Guberović"|"Demetrova 39
90362 Poreč"
"Ljubica Hrastinski"|"Tkalčićeva 2c
32879 Kutjevo"
"Julijana Zeba"|"Dubravkin 1c
28761 Popovača"
"Slavko Turudić"|"Šilobodov put 6c/1
37783 Solin"
"Iva Maričević"|"Šestinski vrh 4b
42435 Đakovo"
"Janko Herout"|"Goljak 9c/0
50092 Makarska"
"Alen Vranić"|"Jagodnjak 6b
43212 Rovinj"
"Ika Pavičić"|"Medvedgradska 0
87374 Komiža"
"Dušan Kresonja"|"Gradec 9c/4
34234 Sveta Nedelja"
"Manda Crneković"|"Gračanska 71
25300 Bjelovar"
"Jana Čuček"|"Nemetova 6b
02789 Makarska"
"Jozo Dobrić"|"Zvonarnička 8
41969 Zagreb"
"Ružica Ćosić"|"Vitezovićeva 5
33304 Lepoglava"
"Ivan Bićanić"|"Perivoj srpanjskih žrtava 6a/3
50152 Bakar"
"Mijo Halambek"|"Harmica 3a/4
40256 Ilok"
"Mirko Nišević"|"Medveščak 2c
85967 Ploče"
"Hana Kosanović"|"Dverce 46
76518 Koprivnica"
"Ika Pribanić"|"Rokov perivoj 4c
96756 Kutjevo"
"Fran Ribić"|"Harmica 8a
55336 Crikvenica"
"Marica Kosić"|"Višnjičke 67
43845 Vrgorac"
"Dragica Jelić"|"Pod zidom 729
46399 Gospić"
"Manda Husnjak"|"Lisinskoga 2a/8
56314 Požega"
"Boris Mardešić"|"Kapucinske 4b
87454 Zadar"
"Mate Huljev"|"Demetrova 277
76613 Popovača"
"Milan Buljan"|"Nemetova 035
31272 Daruvar"
"Anto Marinković"|"Kraljevec 1a/1
37686 Garešnica"
"Zdravko Rijetković"|"Kapucinske 9
80834 Rijeka"
"Ika Vela"|"Ksaverska 8a
05972 Ivanec"
"Stjepan Vugec"|"Zmajevac 7c
86385 Samobor"
"Snježana Popović"|"Zmajevac 0a/3
01781 Labin"
"Zvonko Gotić"|"Pod zidom 65
93929 Solin"
"Jure Stančin"|"Petrova 0b
78058 Sveti Ivan Zelina"
"Ane Šantić"|"Opatovina 66
84653 Zaprešić"
"Dejan Načinović"|"Mesnička 1a/0
57894 Trogir"
"Matea Zeba"|"Ljubinkovac 4b/4
01501 Virovitica"
"Rudolf Borak"|"Višnjičke 3b
40251 Mali Lošinj"
"Marijana Žagar"|"Lisinskoga 725
54993 Buzet"
"Ika Ćosić"|"Zelengaj 1b
16473 Vrlika"
"Saša Ciganović"|"Wickerhauserova 0b/2
97325 Stari Grad"
"Danijel Hrženjak"|"Rikardove 3b
05307 Virovitica"
"Anka Jagečić"|"Pantovčak 4b/7
76773 Ilok"
"Božica Jovanovac"|"Strossmayerovo šetalište 8a/9
64313 Knin"
"Patrik Bunčić"|"Šestinski vijenac 2b/7
00162 Kutina"
"Hrvoje Jonjić"|"Streljačka 850
32916 Lipik"
"Marijan Risek"|"Zvonarnička 9c
54981 Đakovo"
"Petar Tisaj"|"Istarska 1
77471 Kaštela"
"Slavica Botica"|"Ilica 4
93518 Obrovac"
"Ilija Andrašek"|"Kraljevec II. 7b/1
61739 Čabar"
"Anđa Dragojević"|"Golubovac 9a
06221 Novi Vinodolski"
"Dražen Dragojević"|"Glogovac 5b/0
37826 Klanjec"
"Božica Balić"|"Hercegovačka 44
94568 Kutjevo"
"Matija Štrbac"|"Šestinski vrh 9b
04120 Otok"
"Igor Medić"|"Opatička 218
90775 Crikvenica"
"Terezija Drakulić"|"Visoka 30
90380 Varaždin"
"Ivan Mičetić"|"Petrova 5b/8
20538 Ozalj"
"Julijana Tušek"|"Ksaver 1a/9
95006 Šibenik"
"Ljubica Čargonja"|"Mlinske 476
74840 Pregrada"
"Ilija Barnaba"|"Višnjičke 7a/9
78109 Pag"
"Alen Golubić"|"Zvonarnička 4b
31201 Benkovac"
"Marija Boljkovac"|"Davor 7c/0
43704 Umag"
"Marijan Šipić"|"Jabukovac 560
44039 Mali Lošinj"
"Đurđica Abramović"|"Dubravkin 049
12539 Korčula"
"Milan Vukobratović"|"Podgaj 0c
21937 Slavonski Brod"
"Mile Ivanović"|"Dvoranski prečac 395
06590 Stari Grad"
"Kate Novosel"|"Jagodnjak 445
62043 Kutjevo"
"Zoran Vučin"|"Mlinske 4
49762 Nin"
"Mihael Ilijić"|"Gornje Prekrižje 3
51121 Obrovac"
"Ilija Botica"|"Mlinovi 00
25004 Ivanić-Grad"
"Sandra Botić"|"Perivoj biskupa Stjepana II. 3a
04997 Čabar"
"Božica Vorkapić"|"Kaptol 5
88189 Samobor"
"Roko Britvec"|"Donje Prekrižje 1b/4
52631 Glina"
"Danijel Jerković"|"Voćarsko naselje 42
16718 Osijek"
"Rudolf Magić"|"Nova Ves 6c
77407 Virovitica"
"Marina Preočanin"|"Bakačeva 8b
91583 Vodice"
"Biserka Pamić"|"Naumovac 5c/5
97613 Samobor"
"David Mamula"|"Kozarčev vijenac 6c
83951 Opuzen"
"Aldo Herout"|"Kozarčev vijenac 0c
77609 Bakar"
"Ilija Božičević"|"Mirogojska 6c
13643 Grubišno Polje"
"Šime Miličić"|"Harmica 6a
43707 Stari Grad"
"Hana Koščević"|"Kraljevečki ogranak 192
13495 Grubišno Polje"
"Božena Semialjac"|"Male 6b/8
00020 Sisak"
"Igor Šelendić"|"Gupčeva zvijezda 1c/6
83297 Ploče"
"Sara Lazar"|"Zelenjak 4
08001 Bjelovar"
"Dragan Valjetić"|"Opatička 0a
27705 Makarska"
"Martina Tepeš"|"Mlinovi 2a
64817 Slatina"
"Janko Kraljević"|"Kozarčev vijenac 2b
97987 Slavonski Brod"
"Božo Rastija"|"Dolac 894
48291 Duga Resa"
"Ilija Derežić"|"Mirogojska 8a/0
56619 Mali Lošinj"
"Iva Šurina"|"Vinogradska 8
66741 Orahovica"
"Ema Sršen"|"Arnoldova 9c
69746 Slavonski Brod"
"Zlatko Mudronja"|"Wickerhauserova 9b/9
51147 Supetar"
"Mare Ivanović"|"Zamenhofova 4b
65235 Slunj"
"Alen Beletić"|"Mihaljevac 2b
47439 Čakovec"
"Albina Gracin"|"Rikardove 57
32930 Ludbreg"
"Mare Radović"|"Rokova 4b
97291 Daruvar"
"Rudolf Radolović"|"Vitezovićeva 98
64088 Samobor"
"Patrik Jugovac"|"Zvonarnička 7a/8
44757 Metković"
"Ilija Kunac"|"Mašekova 1c/4
11938 Pula"
"Jana Poljak"|"Medveščak 83
72577 Drniš"
"Matej Stolnik"|"Tošovac 6a
19115 Hvar"
"Antun Jaković"|"Perivoj srpanjskih žrtava 7a
14627 Ivanić-Grad"
"Ante Pintarić"|"Jurjeve 729
24301 Kaštela"
"Anica Šibalić"|"Hercegovačka 5a/4
70270 Varaždinske Toplice"
"Rozalija Staničić"|"Streljačka 63
27069 Zagreb"
"Barica Vučin"|"Ksaverska 3a
98848 Delnice"
"Jakov Birtić"|"Medveščak 1
36833 Benkovac"
"Dejan Buršić"|"Dubravkin 96
24805 Rab"
"Ilija Marasović"|"Cmrok 3c/9
06391 Poreč"
"Jakov Pedišić"|"Višnjičke 9b
79181 Obrovac"
"Lidija Šoštarić"|"Tkalčićeva 5c
20762 Poreč"
"Biserka Sinožić"|"Šestinski vijenac 071
98741 Sveti Ivan Zelina"
"Milka Dujmović"|"Rockefellerova 19
66572 Vodnjan"
"Leon Gracin"|"Vijenac 963
72379 Velika Gorica"
"Ilija Čiš"|"Jadranska 25
01767 Čakovec"
"Elvis Gegić"|"Golubovac 887
56907 Gospić"
"Elizabeta Županić"|"Goljak 282
03068 Kaštela"
"Šime Kosanović"|"Mala 0c
60291 Đakovo"
"Ilija Martinčević"|"Medveščak 4b/0
79369 Požega"
"Nika Tonc"|"Glogovac 6b
93341 Lipik"
"Slavko Ilić"|"Splavnica 1c/0
46790 Popovača"
"Jelena Kokorić"|"Novi Goljak 5c
05284 Benkovac"
"Suzana Ćosić"|"Vitezovićeva 8a/8
24520 Pula"
"Josipa Šalić"|"Tkalčićeva 8c
76947 Donji Miholjac"
"Ruža Fabijanić"|"Gračanska 9c/6
31737 Čabar"
"Kristijan Jurčić"|"Jadranska 5b/8
28328 Krapina"
"Tomislav Zubčić"|"Bučarova 12
19754 Komiža"
"Lorena Žeželić"|"Bučarova 0b/9
08332 Vodice"
"Ilija Mikulec"|"Paunovac 9a/6
90950 Krapina"
"Romano Miličić"|"Palmotićeva 4b/7
79718 Trilj"
"Marija Milas"|"Radnički dol 5
58217 Rovinj"
"Albina Roce"|"Petrova 490
94257 Karlovac"
"Sara Lakošeljac"|"Hercegovačka 1a/7
27440 Pleternica"
"Mate Vaci"|"Zamenhofova 2b/5
71266 Dugo Selo"
"Anto Turčinov"|"Wickerhauserova 0
45838 Benkovac"
"Željko Carić"|"Petrova 18
19988 Ivanić-Grad"
"Siniša Barišić"|"Srebrnjak 3a
88158 Ilok"
"Danica Pečur"|"Vončinina 879
64943 Korčula"
"Ilija Perić"|"Višnjica 1a
44102 Ploče"
"Mateja Hren"|"Krvavi most 128
20759 Ploče"
"Mijo Šipek"|"Zelenjak 9c
64849 Rijeka"
"Robert Pavić"|"Klesarski put 19
10322 Opatija"
"Đuro Škrtić"|"Rockefellerova 9c/7
74438 Čazma"
"Ljubica Rubinić"|"Jurjeve 662
74712 Sisak"
"Jadranka Tuškan"|"Lobmayerove 7
74787 Novalja"
"Josipa Pavković"|"Demetrova 1c/1
38638 Samobor"
"Mirjana Ivandić"|"Tošovac 3b
17298 Skradin"
"Jure Plažanin"|"Šilobodov put 3a/4
84166 Metković"
"Ilija Strinavić"|"Srebrnjak 6
92453 Sinj"
"Lovro Gotić"|"Wickerhauserova 0
09359 Vis"
"Luka Lučić"|"Mesnička 1
10587 Vinkovci"
"Iva Poropat"|"Medveščak 8a
56334 Senj"
"Zorka Barbić"|"Tkalčićeva 738
49566 Vrbovsko"
"Mirko Miše"|"Zavojna 5
18149 Klanjec"
"Suzana Grubišić"|"Grič 7c/8
40778 Vrbovec"
"Jelena Mustapić"|"Mala 0a/4
05594 Novi Marof"
"Vjekoslav Turudić"|"Ksaverska 7
44472 Ivanec"
"Lovre Cvetković"|"Horvatovac 1
89878 Čabar"
"Ilija Varga"|"Mlinske 34
75425 Duga Resa"
"Mihael Lukšić"|"Demetrova 80
24559 Gospić"
"Roko Stojčević"|"Vlaška 9a/0
39095 Umag"
"Milena Zgorelec"|"Voćarska 3
48154 Vrbovsko"
"Dejan Babić"|"Orlovac 3
83454 Labin"
"Ana Stojčević"|"Mala 9a/1
16513 Sveti Ivan Zelina"
"Marko Dabo"|"Harmica 4b
09491 Ivanić-Grad"
"Anđela Dominković"|"Jabukovac 2c/8
35053 Osijek"
"Ema Kralj"|"Horvatovac 827
99704 Sveta Nedelja"
"Niko Štrbac"|"Zeleni dol 0b/2
12993 Opuzen"
"Iva Dražić"|"Medveščak 5a
72038 Donji Miholjac"
"Mislav Šantić"|"Kapucinske 844
06792 Jastrebarsko"
"Dora Đurašević"|"Davor 1a/1
00848 Požega"
"Denis Džapo"|"Kamaufova 29
60021 Kaštela"
"Branka Rašeta"|"Tošovac 7c/8
25091 Komiža"
"Darko Mikić"|"Goljačke 7b/8
86218 Ivanić-Grad"
"Matej Perak"|"Davor 2b
24021 Omiš"
"Valter Borojević"|"Klesarski put 08
89100 Samobor"
"Nikša Drandić"|"Ružičnjak 7c
95631 Pregrada"
"Siniša Bolčević"|"Ilica 8c/1
96216 Crikvenica"
"Iva Godinić"|"Golubovac 1b
70623 Gospić"
"Lovre Moscarda"|"Demetrova 598
61200 Novi Marof"
"Slavko Gredičak"|"Demetrova 349
66081 Ogulin"
"Karlo Topić"|"Javorovac 22
70567 Vrgorac"
"Štefica Mikulčić"|"Krvavi most 9c
00947 Delnice"
"Niko Majdenić"|"Grič 4a
22605 Vodnjan"
"Tomo Koški"|"Zelenjak 33
78518 Slatina"
"Toni Kresonja"|"Kraljevečki odvojak 8c/4
00062 Otočac"
"Ana Plantak"|"Kamaufova 9b
04290 Nova Gradiška"
"Antonio Rumora"|"Rokov perivoj 8
93821 Senj"
"Iva Horvat"|"Kožarska 7b
22778 Dubrovnik"
"Božo Sokač"|"Zamenhofove 7b/3
10445 Pag"
"Marina Čotić"|"Bosanska 3a/2
99919 Hrvatska Kostajnica"
"Đuro Peterlik"|"Podgaj 2b
84701 Karlovac"
"Aldo Lojen"|"Mašekova 35
94336 Slatina"
"Mislav Oršolić"|"Petrova 1c/5
77511 Duga Resa"
"Slavica Kinkela"|"Rockefellerova 6c
08120 Vinkovci"
"Lovre Tomić"|"Perivoj srpanjskih žrtava 3b/4
19413 Stari Grad"
"Dominik Čotić"|"Hercegovačka 2
50426 Glina"
"Lorena Bingula"|"Harmica 1c
94837 Buje"
"Iva Katić"|"Radnički dol 4a/2
44372 Labin"
"Tomislav Birtić"|"Mala 4c
42502 Sisak"
"Manda Moslavac"|"Mlinarska 289
30878 Novska"
"Pavao Martinčević"|"Višnjičke 603
74050 Vodice"
"Bruno Friščić"|"Bijenička 027
18017 Sveta Nedelja"
"Maja Kuveždić"|"Petrova 8b
80349 Čazma"
"Leon Brlek"|"Opatička 2c
71548 Našice"
"Maja Ilijić"|"Wickerhauserova 1a
50286 Vis"
"Karlo Bunčić"|"Kraljevečki ogranak 5c
72310 Lepoglava"
"Vedran Peharda"|"Opatovina 3a/8
17223 Vis"
"Iva Mikulčić"|"Slavujevac 9c
94389 Zagreb"
"Milka Josipović"|"Kapucinske 3c
01488 Pleternica"
"Vesna Colić"|"Glogovac 8a/6
06293 Valpovo"
"Štefica Baničević"|"Kamaufova 2a
91713 Dugo Selo"
"Erik Birtić"|"Dubravkin 7b/0
66268 Kastav"
"Lara Kokorić"|"Zvonarnička 3a/9
31100 Ogulin"
"Leon Borošak"|"Rokov perivoj 8a
42496 Vodice"
"Nenad Tudor"|"Bosanska 3c
36652 Zadar"
"Toni Prelec"|"Vinogradska 2c
17117 Velika Gorica"
"Franciska Zubčić"|"Podgaj 3c
43697 Bakar"
"Iva Oršulić"|"Petrova 2
76914 Kaštela"
"Ljiljana Bogadi"|"Krvavi most 3a/6
20251 Zadar"
"Fran Rakela"|"Mašekova 342
05832 Korčula"
"Terezija Bučar"|"Streljačka 7b/6
23226 Bjelovar"
"Lara Vižintin"|"Tkalčićeva 7b
36795 Vis"
"Toni Stiperski"|"Jabukovac 0a
39654 Buzet"
"Elvis Špika"|"Paunovac 38
04787 Kutina"
"Jure Raspor"|"Cmrok 1c
01680 Varaždin"
"Marijana Šokčević"|"Gornje Prekrižje 8c
56365 Osijek"
"Valter Perić"|"Cmrok 4b/9
12487 Požega"
"Iva Pleše"|"Kamenita 5b/1
97319 Petrinja"
"Anđa Kereković"|"Kožarska 2b/3
04797 Kaštela"
"Štefica Kuveždić"|"Jurjeve 11
01133 Pregrada"
"Mateja Kupsjak"|"Kraljevec II. 9c/8
35193 Pag"
"Elizabeta Jelavić"|"Medvedgradska 1a
06398 Ploče"
"Franjo Gregov"|"Nemetova 6b
21642 Zagreb"
"Lovre Kostanić"|"Vitezovićeva 4c
47221 Kutjevo"
"Miroslav Medved"|"Višnjica 7a/5
70225 Varaždinske Toplice"
"Toni Grba"|"Pod zidom 7b
81806 Koprivnica"
"Slavko Dolić"|"Tkalčićeva 0b
65764 Dugo Selo"
"Iva Roso"|"Jezuitski trg 2b
52627 Knin"
"Filip Cvetnić"|"Šilobodov put 9c/5
28280 Belišće"
"Igor Ugrinić"|"Draškovićeva 342
91598 Senj"
"Lana Štefović"|"Petrova 2a/3
24716 Krk"
"Filip Bošnjaković"|"Šestinski vrh 5a/5
53348 Vrlika"
"Davor Oršulić"|"Bakačeva 610
47595 Novi Marof"
"Dragan Dautović"|"Svibovac 9c
62097 Ilok"
"Karla Ciganović"|"Rikardove 224
64368 Sisak"
"Ivan Ozimec"|"Grič 5
03862 Sveta Nedelja"
"Mihael Turk"|"Pantovčak 2c
13830 Čakovec"
"Iva Stanić"|"Rokov perivoj 3c/5
02902 Velika Gorica"
"Zvonko Pavičić"|"Draškovićeva 480
08108 Ogulin"
"Siniša Koščević"|"Šilobodov put 2c
84746 Kastav"
"Lorena Ivšić"|"Golubovac 7a
34873 Bjelovar"
"Nikša Friščić"|"Streljačka 88
09349 Donji Miholjac"
"Branka Jurčić"|"Jurjeve 0b
41723 Dugo Selo"
"Dejan Hranj"|"Splavnica 9b
17673 Sveti Ivan Zelina"
"Josipa Benić"|"Šestinski vijenac 8c
60336 Rovinj"
"Valentina Kosanović"|"Nemetova 034
86115 Sveti Ivan Zelina"
"Dejan Kosanović"|"Vončinina 7c/2
49457 Velika Gorica"
"Iva Čuček"|"Istarska 1a/9
39280 Daruvar"
"David Šokčević"|"Tuškanac 7
34159 Klanjec"
"Mira Matko"|"Kaptol 1b
76670 Đakovo"
"Dino Bunčić"|"Bakačeva 7a/9
18209 Kutjevo"
"Jasna Dubovečak"|"Davor 86
55017 Križevci"
"Šime Ferenac"|"Radnički dol 062
48042 Duga Resa"
"Robert Kučić"|"Mlinarska 2a
31965 Omiš"
"Mato Čudić"|"Rokov perivoj 3a/8
53638 Otok"
"Andrea Poropat"|"Svibovac 593
25303 Donja Stubica"
"Milan Kuveždić"|"Zamenhofova 7b/2
18580 Labin"
"Ivan Antonić"|"Šalata 6a
71326 Petrinja"
"Katica Klarin"|"Medveščak 67
75442 Daruvar"
"Ivka Cindrić"|"Dverce 8c/7
76282 Poreč"
"Jana Hećimović"|"Novi Goljak 7b/4
13572 Otočac"
"Martina Seničić"|"Čačkovićeva 9c
80320 Karlovac"
"Andrea Lucić"|"Nova Ves 3a
63735 Ivanić-Grad"
"Duje Kučić"|"Cmrok 6
06856 Stari Grad"
"Stana Čargonja"|"Petrova 0
09569 Delnice"
"Ivana Blažević"|"Grič 1
34844 Slavonski Brod"
"Ivana Ribarić"|"Kurelčeva 8c/6
63605 Opatija"
"Ivan Flego"|"Petrova 8a/1
83260 Pazin"
"Saša Mirosavljević"|"Cmrok 0a
62444 Koprivnica"
"Mislav Šupraha"|"Ružičnjak 8b/7
65254 Glina"
"Petar Adžijević"|"Kamaufova 3
94082 Umag"
"Draga Husnjak"|"Zelenjak 4a
63562 Solin"
"Božena Glavor"|"Bučarova 8
66681 Križevci"
"Anđa Šurbek"|"Krvavi most 2a/1
93232 Kaštela"
"Petra Dujmović"|"Pod zidom 8b/4
47473 Split"
"Vladimir Tuškan"|"Visoka 3b
03372 Čakovec"
"Milka Vukman"|"Ilica 1b/6
86422 Bakar"
"Ivan Huljev"|"Bakačeva 141
01602 Zlatar"
"Šime Kostelac"|"Lobmayerove 9
91192 Križevci"
"Pavao Špralja"|"Petrova 43
87830 Mursko Središće"
"Sandra Novak"|"Bosanska 298
80992 Makarska"
"Draga Matokanović"|"Jabukovac 4c/8
81066 Omiš"
"Slavica Ričko"|"Palmotićeva 68
40816 Petrinja"
"Štefanija Hardi"|"Orlovac 4a/7
78349 Knin"
"Anton Petrić"|"Ksaverska 2a
93899 Šibenik"
"Jozo Vidaković"|"Horvatovac 6
76019 Varaždinske Toplice"
"Mato Ivanović"|"Novi Goljak 4b/6
28253 Crikvenica"
"Ivan Licul"|"Tkalčićeva 568
21793 Bjelovar"
"Zora Jonjić"|"Bakačeva 1c
57839 Prelog"
"Željko Modrić"|"Jurjevska 8a
51946 Lepoglava"
"Andrija Bunčić"|"Jagodnjak 4b/3
95884 Solin"
"Ružica Tušek"|"Lobmayerove 7a
87656 Omiš"
"Mateja Čuček"|"Perivoj biskupa Stjepana II. 0c/2
84581 Skradin"
"Milica Poropat"|"Zavojna 4b/2
26592 Supetar"
"Mirko Dubovečak"|"Tošovac 55
80027 Čabar"
"Snježana Pešić"|"Rockefellerova 200
28437 Vrlika"
"Ane Lukinić"|"Wickerhauserova 2a/8
18297 Mali Lošinj"
"Ivan Martinić"|"Kamenita 4b/0
00524 Krapina"
"Katica Birkić"|"Magdićeve 6c/7
13628 Klanjec"
"Mate Ribić"|"Bučarova 6b
23418 Novi Marof"
"Zdravko Šeparović"|"Vinogradska 067
09622 Ozalj"
"Niko Žerjav"|"Krvavi most 1b
91215 Hrvatska Kostajnica"
"Mateo Pecotić"|"Jagodnjak 922
19880 Kutina"
"Đurđica Petrović"|"Lobmayerove 9a/7
57346 Opuzen"
"Luka Škoda"|"Perivoj srpanjskih žrtava 9a/7
39052 Novigrad"
"Mirjana Grgić"|"Vitezovićeva 2a
10430 Vrgorac"
"Gordana Balinčić"|"Splavnica 6
99987 Varaždin"
"Ivan Marušić"|"Višnjičke 5b
14349 Zaprešić"
"Anita Tuđa"|"Ružičnjak 030
60343 Čabar"
"Vladimir Klarin"|"Ljubinkovac 0a/5
58973 Prelog"
"Jasminka Derežić"|"Zamenhofove 8a
74037 Duga Resa"
"Štefanija Kuščević"|"Kaptol 69
39150 Ilok"
"Sara Karamarko"|"Kamenjak 2c/5
86363 Senj"
"Filip Knežević"|"Šalata 3a/0
05978 Opatija"
"Suzana Vorkapić"|"Mlinske 7b/8
41503 Kutina"
"Boris Macan"|"Perivoj srpanjskih žrtava 96
40371 Supetar"
"Nataša Šuran"|"Nova Ves 9a
26393 Zadar"
"Ivan Mihalić"|"Davor 529
36078 Valpovo"
"Marina Mihelčić"|"Orlovac 3a
63350 Senj"
"Nataša Starčević"|"Mlinarska 1a/8
07591 Zlatar"
"Josipa Zubčić"|"Jurkovićeva 2a/7
87246 Imotski"
"Suzana Šošić"|"Dvoranski prečac 2a/5
49600 Cres"
"Marko Stojanov"|"Slavujevac 683
45243 Velika Gorica"
"Mare Mavra"|"Bakačeva 9a
65450 Nin"
"Tomo Obratov"|"Demetrova 8
11598 Opuzen"
"Mate Dragičević"|"Petrova 4a
13039 Pag"
"Boris Petričević"|"Kamenita 4b
77039 Čazma"
"Ivan Modrić"|"Perivoj srpanjskih žrtava 4
34223 Split"
"Laura Miklečić"|"Ružičnjak 3
18926 Trilj"
"Kristina Glasnović"|"Kožarska 5
78699 Opuzen"
"Duje Starčević"|"Višnjica 96
85383 Vrbovsko"
"Ivka Meić"|"Vinogradska 77
60356 Velika Gorica"
"Juraj Čović"|"Ljubinkovac 6a/6
21039 Dubrovnik"
"Maria Šimunić"|"Voćarska 4a
45498 Požega"
"Lucija Galović"|"Višnjica 8
22015 Poreč"
"Suzana Ladavac"|"Jurjeve 6c/6
46030 Nin"
"David Šarić"|"Dolac 4a
67674 Koprivnica"
"Ivan Pavlović"|"Čačkovićeva 3b/6
30162 Rab"
"Đurđica Pamić"|"Ksaverska 8a
51010 Sveta Nedelja"
"Nenad Ladavac"|"Jabukovac 354
17637 Solin"
"Branko Horvatić"|"Jabukovac 5
48200 Gospić"
"Zoran Toić"|"Cmrok 7c
00588 Krapina"
"Nikša Sever"|"Ružičnjak 3
86032 Skradin"
"Joško Markovac"|"Gupčeva zvijezda 4a/0
22749 Vinkovci"
"Dalibor Gregov"|"Gradec 49
39231 Vis"
"Anita Baljak"|"Vitezovićeva 2b/7
42693 Popovača"
"Jozo Marković"|"Pantovčak 0b
76048 Vrbovsko"
"Ivan Ražov"|"Tuškanac 887
89911 Valpovo"
"Stana Štifanić"|"Šilobodov put 5b
29348 Otočac"
"Štefanija Poljak"|"Bijenička 2b/7
27040 Solin"
"Hana Matulin"|"Petrova 9c
06772 Slavonski Brod"
"Darko Barać"|"Bučarova 8c/1
55732 Samobor"
"Roko Bučar"|"Srebrnjak 5b/9
43192 Popovača"
"Stjepan Stošić"|"Šilobodov put 0c/1
44027 Šibenik"
"Stjepan Dautović"|"Demetrova 1a
39717 Zlatar"
"Rozalija Mateša"|"Streljačka 2a/3
32666 Imotski"
"Štefica Petrović"|"Novi Goljak 7c/0
73211 Sisak"
"Ivan Roca"|"Radnički dol 0b/3
39861 Trilj"
"Marin Tomljanović"|"Jezuitski trg 368
72609 Čakovec"
"Lana Grba"|"Vinogradska 8a
39051 Kaštela"
"Valter Bogadi"|"Goljačke 85
26053 Dugo Selo"
"Jana Rendulić"|"Grič 7
55623 Benkovac"
"Elvis Žufika"|"Ksaverska 813
76075 Đakovo"
"Toni Milevoj"|"Kamaufova 7
51297 Kutjevo"
"Zorka Šeparović"|"Kapucinske 431
31563 Bjelovar"
"Nikša Matković"|"Ružičnjak 8a
55216 Poreč"
"Josip Kevo"|"Srebrnjak 2b/3
86540 Ivanić-Grad"
"Ivana Baljak"|"Mletačka 6c/5
57866 Duga Resa"
"Božica Barešić"|"Horvatovac 7b
81389 Hrvatska Kostajnica"
"Alen Milotić"|"Višnjica 1c
25831 Zadar"
"Leon Matijaš"|"Vitezovićeva 9a
92143 Sveti Ivan Zelina"
"Božo Sakač"|"Voćarska 6c/5
65868 Kutina"
"Dora Maletić"|"Medvedgradska 0a/7
69185 Otok"
"Iva Belošević"|"Streljačka 30
19332 Čazma"
"Luka Sokol"|"Javorovac 412
14170 Rijeka"
"Joso Macan"|"Jurjevska 8
93039 Pula"
"Marija Hanžek"|"Perivoj srpanjskih žrtava 621
60235 Vrlika"
"Ivana Bićanić"|"Dubravkin 3b/9
78081 Zlatar"
"Jozo Andrašek"|"Mala 5
83130 Novalja"
"Zlatko Karmelić"|"Pantovčak 6c/2
13858 Buje"
"Kristina Sirotić"|"Opatovina 5a/3
33142 Ozalj"
"Nikola Kovačić"|"Kamaufova 9c
13449 Ivanić-Grad"
"Leon Štrbac"|"Istarska 8b
06576 Pula"
"Franjo Tolj"|"Streljačka 2c
36888 Požega"
"Janko Franušić"|"Vinogradska 49
01429 Drniš"
"Jana Marinković"|"Strossmayerovo šetalište 7c/7
09472 Čazma"
"Terezija Makovac"|"Hercegovačka 0b/2
48836 Popovača"
"Ivana Božić"|"Ljubinkovac 9c
35569 Knin"
"Renata Triplat"|"Radnički dol 95
03370 Nova Gradiška"
"Romano Štrljić"|"Zavojna 518
15129 Skradin"
"Ružica Antić"|"Svibovac 5c/1
33062 Hvar"
"Renata Pavelić"|"Dolac 8c
30953 Senj"
"Katica Halambek"|"Radnički dol 8b
51313 Varaždin"
