"Albina Babić","Davor 19
73856 Novska" 
"Draga Pešić","Kurelčeva 0b/5
45082 Krapina"
"Iva Staničić","Gupčeva zvijezda 1
56945 Slatina"
"Biljana Mudronja","Bakačeva 9a/8
75971 Kaštela"
"Lidija Blažičko","Šestinski vijenac 3a/4
22816 Lepoglava"
"Lea Maras","Goljak 3c
40913 Knin"
"Valter Palić","Donje Prekrižje 883
25530 Kutina"
"Anita Stanić","Lisinskoga 0c/1
86262 Čabar"
"Rozalija Ribić","Radnički dol 3b
93826 Rab"
"Branka Barešić","Nemetova 0b
93783 Skradin"
"Mara Barbir","Rockefellerova 1c/6
03322 Klanjec"
"Stana Pintarić","Mlinovi 4b
89572 Ozalj"
"Mare Radojković","Svibovac 039
35890 Labin"
"Biljana Sošić","Mala 9
20378 Karlovac"
"Suzana Sabol","Šestinski vrh 8c/7
84518 Glina"
"Snježana Šimunić","Nova Ves 0b
31881 Stari Grad"
"Manda Miklečić","Gupčeva zvijezda 7a
89593 Zagreb"
"Jure Gegić","Gradec 9
82332 Benkovac"
"Ankica Bačak","Naumovac 7a/4
26823 Ludbreg"
"Zdenka Puljiz","Vinogradska 5
57569 Lipik"
"Milan Sinožić","Istarska 2b
84037 Umag"
"Tomislav Radočaj","Splavnica 2b
71373 Sinj"
"Đuro Pintarić","Vrazovo šetalište 25
56198 Glina"
"Biljana Tuđa","Šestinski vijenac 2b/5
16162 Zadar"
"Dušan Bingula","Kamenita 7a
26718 Poreč"
"Dalibor Peroš","Gupčeva zvijezda 3b
63314 Kutina"
"Andrea Požega","Jurkovićeva 4c
46047 Karlovac"
"Ana Tomljanović","Skalinska 7a
99679 Gospić"
"Mare Grgurovac","Vitezovićeva 3
64785 Senj"
"Mislav Baljak","Zamenhofove 9c/5
22529 Dubrovnik"
"Terezija Sever","Zavojna 082
24162 Daruvar"
"Jakov Sardelić","Zelenjak 3b/1
99725 Čakovec"
"Nada Šuran","Pantovčak 621
75170 Vis"
"Biljana Škugor","Kamaufova 1a
91188 Vodnjan"
"Jasna Kirinčić","Novi Goljak 207
82178 Bakar"
"Dragan Hranj","Šilobodov put 199
29995 Cres"
"Fuma Perković","Ksaverska 1b/7
09046 Zaprešić"
"Zoran Pokos","Zmajevac 0a/4
45017 Vrlika"
"Antonio Malnar","Šalata 9b
73784 Biograd na Moru"
"Danijela Krčelić","Vončinina 6b
24915 Đakovo"
"Danijela Milotić","Paunovac 1b
08213 Ogulin"
"Dalibor Jozić","Harmica 6a/7
42000 Novi Vinodolski"
"Matija Miše","Horvatovac 3c
42046 Trilj"
"Biserka Bičanić","Voćarska 8b
67460 Knin"
"Mateja Ušić","Bosanska 3b/8
22981 Jastrebarsko"
"Marina Pandurić","Klenovac 8a/0
37200 Čakovec"
"Sara Sršen","Klanac Grgura Tepečića 7b/1
96642 Slunj"
"Nenad Načinović","Harmica 0c
97190 Korčula"
"Renata Barnaba","Jurjevska 4
25670 Kutjevo"
"Slavica Kraljević","Goljačke 8
64634 Sveta Nedelja"
"Toni Pribanić","Lobmayerove 2a/5
71043 Novigrad"
"Mladen Darojković","Draškovićeva 29
00164 Rijeka"
"Tatjana Salopek","Jagodnjak 7b/9
97866 Solin"
"Biserka Karmelić","Paunovac 626
83995 Cres"
"Bara Sorić","Glogovac 7c/4
36900 Otočac"
"Mia Martinović","Dverce 2a
15697 Umag"
"Draga Peruško","Krležin gvozd 349
29241 Otočac"
"Kristina Kurtoić","Splavnica 8
24216 Daruvar"
"Karlo Medved","Tkalčićeva 20
19476 Koprivnica"
"Željka Sikirić","Ksaver 1c
01598 Trogir"
"Jakov Keleković","Medvedgradska 1
96504 Vukovar"
"Štefica Radolović","Harmica 4b/4
59941 Mali Lošinj"
"Mihael Forjan","Srebrnjak 2b
81233 Lipik"
"Biserka Kinkela","Zelengaj 0b
40893 Donji Miholjac"
"Karla Kereković","Medvedgradska 4b/5
10167 Đurđevac"
"Franciska Maričević","Vijenac 3c/3
35726 Novi Vinodolski"
"Lucija Birtić","Kamenjak 58
40859 Umag"
"Darko Milovac","Klesarski put 6b
35818 Duga Resa"
"Lovro Tonc","Glogovac 62
30192 Kaštela"
"Petra Rakela","Mirogojska 9c
28304 Rovinj"
"Pavao Mirosavljević","Rokov perivoj 7
95240 Pleternica"
"Nikolina Ljubić","Lobmayerove 50
77730 Donja Stubica"
"Ane Žugec","Pod zidom 8b/9
89723 Ploče"
"Biserka Labinjan","Ribnjak 8c/7
62600 Rijeka"
"Anđa Trgovčić","Zvonarnička 5a/2
96779 Čabar"
"Mato Mušćet","Perivoj biskupa Stjepana II. 073
94168 Knin"
"Lovre Orešković","Rockefellerova 4a/4
87916 Pregrada"
"Veronika Šeparović","Kamaufova 2b/7
26871 Sisak"
"Robert Bosilj","Jagodnjak 4
17119 Ilok"
"Kate Gracin","Srebrnjak 2
18424 Kastav"
"Hana Obratov","Višnjičke 0c/9
38118 Glina"
"Nataša Kauzlarić","Glogovac 4a
86659 Labin"
"Ružica Vidović","Klenovac 9a
23884 Sveti Ivan Zelina"
"Biserka Rašeta","Zelenjak 5b
94923 Varaždinske Toplice"
"Marta Čagalj","Mlinske 9b/9
77706 Zadar"
"Štefanija Rukavina","Zavojna 03
45774 Sisak"
"Matej Rijetković","Rockefellerova 26
68103 Dubrovnik"
"Đuro Bukvić","Klanac Grgura Tepečića 678
22529 Koprivnica"
"Zorka Filipčić","Istarska 5c
52226 Popovača"
"Leon Koški","Podgaj 7c/5
83888 Slunj"
"Mile Didović","Perivoj biskupa Stjepana II. 106
51015 Komiža"
"Ivan Labaš","Opatovina 8b
48890 Pakrac"
"Lorena Stražičić","Strossmayerovo šetalište 7b/8
32932 Bakar"
"Biserka Vidović","Zelengaj 45
27414 Pag"
"Lovro Predovan","Arnoldova 0
10753 Pazin"
"Antun Volarić","Mihaljevac 5c/7
19844 Benkovac"
"Dejan Karmelić","Dolac 7a/0
98681 Grubišno Polje"
"Lidija Ignac","Mletačka 0a
60338 Požega"
"Ivka Šestan","Šilobodov put 0c
78478 Ilok"
"Mile Pavković","Ksaver 7c/8
76476 Mursko Središće"
"Siniša Šimara","Bakačeva 08
13780 Stari Grad"
"Rozalija Gabud","Lobmayerove 2b
86966 Zabok"
"Kate Požega","Kozarčev vijenac 1b
18721 Čazma"
"Biserka Špralja","Voćarsko naselje 8a
68920 Gospić"
"Ana Mateša","Šestinski vrh 577
78894 Pleternica"
"Boris Šoštarić","Dvoranski prečac 7b
93869 Čabar"
"Šime Ušić","Kozarčev vijenac 9c/4
53537 Krk"
"Filip Jureško","Novi Goljak 7b
67639 Virovitica"
"Nikša Barešić","Ljubinkovac 870
71263 Mali Lošinj"
"Lara Mihić","Kapucinske 1c
40746 Ivanec"
"Janja Lučić","Tošovac 7a
63333 Čabar"
"Milan Bingula","Gupčeva zvijezda 3c
35833 Varaždin"
"Juraj Kinkela","Jurjevska 4
01599 Gospić"
"Biserka Županić","Glogovac 06
96683 Obrovac"
"Marta Županić","Gornje Prekrižje 4
89780 Vodice"
"Ivka Vuković","Grič 3a
03292 Križevci"
"Suzana Beletić","Demetrova 1a/4
92842 Križevci"
"Dominik Sobota","Horvatovac 5
72433 Glina"
"Danijela Mesić","Rikardove 74
28237 Otok"
"Mladen Husnjak","Lobmayerove 8a/1
99060 Dubrovnik"
"Nikolina Pečur","Naumovac 9c/4
99477 Šibenik"
"Marijan Orlić","Kapucinske 4b
72034 Glina"
"Bruno Matas","Perivoj biskupa Stjepana II. 8b/8
99230 Otočac"
"Boris Buljan","Kamenjak 19
33339 Garešnica"
"Suzana Baričević","Klanac Grgura Tepečića 2c/4
50749 Valpovo"
"Božo Horvat","Svibovac 8c/8
63418 Delnice"
"Jana Požega","Glogovac 0c
93704 Pleternica"
"Nikša Rajčić","Davor 7b
82698 Labin"
"Dragan Šimunić","Perivoj biskupa Stjepana II. 1b
59876 Labin"
"Matija Stojanov","Golubovac 21
08668 Opuzen"
"Niko Glavor","Srebrnjak 4c
01601 Lepoglava"
"Jasminka Vincetić","Gračanska 5c
12872 Sveta Nedelja"
"Barica Bojanić","Šestinski vijenac 670
68112 Vodice"
"Boris Glasnović","Medvedgradska 4a
78555 Pazin"
"Katica Matić","Mlinovi 2c
04480 Nova Gradiška"
"Maja Vidas","Zvonarnička 1
82624 Osijek"
"Slavko Obradović","Paunovac 6c/9
82866 Kaštela"
"Mihael Jovanovac","Pantovčak 75
79919 Sveta Nedelja"
"Božena Dražić","Svibovac 2a
36271 Senj"
"Mijo Žugec","Petrova 6a/8
90199 Čakovec"
"Stjepan Fabijanić","Mala 4c/5
66924 Zadar"
"Nikša Ušić","Goljak 8b/1
81677 Valpovo"
"Denis Bačić","Zeleni dol 22
61351 Đurđevac"
"Boris Marasović","Arnoldova 4b/0
35369 Duga Resa"
"Stjepan Stipanović","Goljak 5b/2
39360 Rovinj"
"Stana Božičević","Jurjevska 7b/2
78468 Velika Gorica"
"Zora Štifanić","Vitezovićeva 6a
01367 Sveti Ivan Zelina"
"Nika Vojković","Perivoj srpanjskih žrtava 118
01025 Crikvenica"
"Fran Marić","Mlinske 0
51958 Pakrac"
"Janko Bičak","Svibovac 80
18808 Ilok"
"Valter Štimac","Dubravkin 4
38809 Trilj"
"Nikša Horvatek","Gornje Prekrižje 1c
20920 Samobor"
"Fran Totić","Bakačeva 4c
12947 Belišće"
"Boris Miloslavić","Klanac Grgura Tepečića 1c/6
87782 Benkovac"
"Mislav Pavlović","Wickerhauserova 7a/9
35423 Samobor"
"Dino Šinković","Mala 11
12297 Šibenik"
"Valentina Kalanjoš","Zelenjak 955
01293 Bakar"
"Draga Špišić","Goljačke 3
03524 Koprivnica"
"Juraj Sršen","Kožarska 7
49783 Slavonski Brod"
"Marica Ćurić","Podgaj 4b/0
63313 Križevci"
"Mira Perišić","Dverce 4c
49838 Zaprešić"
"Filip Harapin","Mletačka 8c
67233 Omiš"
"Leon Lazar","Bosanska 9a
86956 Nin"
"Boris Pavković","Svibovac 8a/7
93463 Korčula"
"Anka Vukman","Vlaška 0b
08212 Duga Resa"
"Hana Gržinčić","Perivoj srpanjskih žrtava 31
76355 Koprivnica"
"Mira Kupsjak","Vrazovo šetalište 4
70019 Biograd na Moru"
"Jelena Marasović","Dubravkin 9c/6
27160 Garešnica"
"Katica Buljan","Zamenhofove 7c
10022 Pula"
"Kata Čuček","Zelengaj 0a/9
16490 Našice"
"Sara Pajur","Voćarsko naselje 2b
57487 Kaštela"
"Đuro Štefanec","Šestinski vrh 5c
16707 Križevci"
"Roko Špoljarić","Kozarčev vijenac 3a
08348 Vrlika"
"Boris Ražov","Cmrok 9b/6
21588 Osijek"
"Matija Radman","Dvoranski prečac 7
29357 Đurđevac"
"Marijan Milevoj","Višnjičke 9
15537 Čabar"
"Lea Barac","Bijenička 3c/3
83267 Vrbovsko"
"Mijo Zanoški","Zmajevac 725
04145 Oroslavje"
"Nevenka Jakopović","Klenovac 6b/7
59742 Varaždinske Toplice"
"Antonija Eterović","Zeleni dol 650
14416 Čabar"
"Tea Lukšić","Šestinski vijenac 8
90177 Otočac"
"Zlatko Kelečić","Opatička 5a/6
15106 Drniš"
"Aldo Barac","Mlinske 2a/1
29329 Duga Resa"
"Boris Vidas","Čačkovićeva 8c/5
85584 Varaždin"
"Dragan Šverko","Šilobodov put 5c/9
84498 Biograd na Moru"
"Ivica Baričević","Javorovac 1a
04534 Split"
"Anđela Mišković","Grič 7c
43443 Dubrovnik"
"Terezija Ivandić","Mala 2a/5
56093 Križevci"
"Ivo Baksa","Medveščak 7a
29623 Novska"
"Marica Rubinić","Ljubinkovac 1b/1
88077 Kastav"
"Niko Stančin","Palmotićeva 9
08689 Valpovo"
"Tomo Polović","Goljak 6c/8
66554 Kutjevo"
"Jakov Grubišić","Kamenita 0a
65931 Otočac"
"Božena Andrijašević","Mlinske 1a
45481 Nin"
"Barbara Pozder","Vinogradska 3b
37768 Buje"
"Nevenka Prtenjača","Lisinskoga 6b
82283 Rovinj"
"Mile Kokorić","Gradec 544
11333 Krapina"
"Bruno Jakovac","Čačkovićeva 9c/6
66227 Čakovec"
"Branko Bosilj","Medveščak 1a
14844 Biograd na Moru"
"Domagoj Vojković","Gračanska 1a/6
53702 Stari Grad"
"Anica Crnković","Dvoranski prečac 4a
77428 Labin"
"Josipa Sladonja","Mlinarska 2b/8
94072 Zadar"
"Alen Komljenović","Dvoranski prečac 8c/0
52220 Komiža"
"Božena Hrženjak","Tošovac 4a
41661 Ludbreg"
"Milka Karuza","Remetska 66
59674 Varaždin"
"Antonija Ivančan","Kaptol 4a/8
84262 Grubišno Polje"
"Juraj Škrnički","Jurkovićeva 1b/3
64097 Dubrovnik"
"Boris Peterlik","Jabukovac 2c/8
93831 Trilj"
"Ivka Kraljić","Višnjica 4a
68988 Belišće"
"Dejan Šeparović","Mihaljevac 6b
09379 Mali Lošinj"
"Mile Ilijić","Rockefellerova 1a/6
74102 Slunj"
"Mate Ćurić","Gračanska 9c/8
28386 Otok"
"Ivan Bičak","Kožarska 6c
50433 Sinj"
"Božena Jasprica","Male 3c
41009 Osijek"
"Pero Marjanović","Vijenac 2a/3
21979 Vukovar"
"Božica Bezić","Mihaljevac 96
01402 Slavonski Brod"
"Zvonko Miličić","Zavojna 3c
36589 Zaprešić"
"Vera Vugdelija","Ilica 8c
07347 Virovitica"
"Dušan Trgovčić","Krvavi most 9b/8
51185 Osijek"
"Laura Markanjević","Goljak 0a
13313 Sveti Ivan Zelina"
"Saša Štrbac","Krvavi most 7a/6
99418 Novi Vinodolski"
"Anton Kolić","Mirogojska 9a/5
47355 Rijeka"
"Željka Vlašić","Golubovac 3a/7
04744 Donji Miholjac"
"Božena Marasović","Kozarčev vijenac 5
09317 Kaštela"
"Ankica Dragobratović","Krvavi most 0c
71267 Orahovica"
"Hrvoje Eterović","Vlaška 0a/8
06116 Donji Miholjac"
"Bruno Lasić","Šalata 8a
45758 Buzet"
"Terezija Đurinić","Kraljevečki ogranak 7b
36061 Sisak"
"Darko Maretić","Tuškanac 4b/1
49597 Slavonski Brod"
"Luka Šitum","Podgaj 1
52783 Varaždinske Toplice"
"Elvis Kalanjoš","Kamenjak 988
31388 Novalja"
"Ana Cvetnić","Vijenac 9
22062 Biograd na Moru"
"Mateo Drandić","Jabukovac 509
60235 Đakovo"
"Božena Martinčević","Tošovac 8
32416 Split"
"Goran Mihaljević","Podgaj 5
13848 Pula"
"Franciska Car","Krležin gvozd 9a
83877 Novska"
"Tomislav Skupnjak","Wickerhauserova 1b
01982 Pazin"
"Marina Čupić","Kapucinske 1c/9
62929 Samobor"
"Karla Sabol","Mala 1
58738 Biograd na Moru"
"Božica Benčić","Kraljevečki odvojak 466
05880 Đurđevac"
"Jadranka Bebić","Jezuitski trg 699
92196 Čakovec"
"Fran Bačak","Kamenjak 370
69540 Biograd na Moru"
"Barica Matahlija","Lisinskoga 0
25735 Ogulin"
"Božena Nišević","Zvonarnička 2b
86686 Nova Gradiška"
"Patrik Peharda","Arnoldova 6c/0
05491 Metković"
"Vladimir Čargonja","Šalata 30
55327 Orahovica"
"Đurđica Šeparović","Male 769
98269 Vis"
"Mijo Tudić","Kraljevec 79
68198 Vodice"
"Jelena Brcko","Rikardove 2a/8
58182 Metković"
"Mateja Franušić","Svibovac 0
54768 Klanjec"
"Ivanka Vitasović","Šilobodov put 990
28596 Supetar"
"Toni Hranić","Svibovac 0b
19449 Popovača"
"Nikola Markovac","Horvatovac 9a/5
52121 Split"
"Božena Tonc","Ksaver 906
34494 Ilok"
"Željko Sokol","Bakačeva 0b/4
09152 Vukovar"
"Manda Kligl","Skalinska 2b/0
98345 Nin"
"Mirjana Čiš","Zamenhofova 5a/8
78718 Zagreb"
"Saša Triplat","Jadranska 2
13110 Vodnjan"
"Josip Pavin","Voćarska 1
63672 Split"
"Tea Ugrinić","Jurkovićeva 2
53014 Novi Marof"
"Katarina Čudić","Rokova 7a/9
08941 Ludbreg"
"Željko Šipić","Davor 0c
21661 Čabar"
"Toni Poljak","Klanac Grgura Tepečića 9b
17071 Čakovec"
"Božena Vidović","Nova Ves 299
98567 Dubrovnik"
"Mile Mušćet","Javorovac 29
68608 Novi Vinodolski"
"Alen Pavković","Podgaj 2a
16387 Mursko Središće"
"Lovro Lukša","Nova Ves 9
06448 Donja Stubica"
"Dragutin Bičanić","Davor 867
08784 Labin"
"Luka Plažanin","Krležin gvozd 3c
72827 Ivanec"
"Dušan Zmaić","Slavujevac 4b/5
78290 Solin"
"Manda Josipović","Mletačka 7c/9
74838 Zadar"
"Laura Sever","Kraljevečki odvojak 8a
96492 Pleternica"
"Julijana Batrnek","Mašekova 2b
80402 Krapina"
"Božena Čotić","Zamenhofova 0a
90648 Našice"
"Ane Kuveždić","Slavujevac 0a
76633 Hrvatska Kostajnica"
"Alen Burić","Višnjičke 2a/7
79470 Umag"
"Mile Kovačić","Arnoldova 9c
16045 Bakar"
"Pavao Kovač","Medveščak 6c/0
40449 Vis"
"Veronika Milatić","Kozarčev vijenac 2
97840 Ludbreg"
"Ljubica Liber","Kraljevec II. 171
68583 Dubrovnik"
"Tea Miklečić","Šestinski vrh 104
63468 Grubišno Polje"
"Martin Tonc","Pod zidom 0b/1
50423 Lipik"
"Ruža Đurašević","Ljubinkovac 7a/0
75978 Dubrovnik"
"Božena Šegović","Svibovac 10
11519 Cres"
"Petra Šokčević","Krvavi most 085
32344 Glina"
"Antun Cindrić","Mala 2a
25343 Makarska"
"Hrvoje Jonjić","Jurjeve 2b/7
53591 Đakovo"
"Dino Šestan","Srebrnjak 1a/7
93124 Vis"
"Iva Peša","Jurišićeva 6c
46959 Otok"
"Ivo Kolega","Strossmayerovo šetalište 0a
46976 Mursko Središće"
"Karlo Godinić","Pantovčak 8a
96873 Zadar"
"Bruno Jovanovac","Glogovac 1c
84201 Kraljevica"
"Ane Tepeš","Kraljevečki ogranak 7c/8
96082 Vrbovec"
"Božena Šibalić","Kurelčeva 87
15657 Skradin"
"Jele Ražov","Streljačka 1c/5
94741 Varaždin"
"Jasna Malnar","Grič 7b
74094 Sisak"
"Anđela Grbac","Cmrok 8c/1
02756 Vodnjan"
"Elvis Vučetić","Klesarski put 4c
19236 Opatija"
"Fuma Vugdelija","Vončinina 8c
71406 Nin"
"Ružica Terzić","Streljačka 30
46405 Novi Vinodolski"
"Renata Petričević","Orlovac 62
67896 Daruvar"
"Božo Roca","Streljačka 7b/9
93821 Pregrada"
"Martina Kereković","Wickerhauserova 1b
08434 Novska"
"Božica Balić","Radnički dol 3b/6
48909 Rab"
"Marina Božiković","Pantovčak 4c/8
71198 Samobor"
"Ruža Burčul","Mletačka 2b/6
79072 Knin"
"Ljubica Culi","Šumski prečac 4c
09607 Nin"
"Antun Pavelić","Vinogradska 2c
92291 Benkovac"
"Slavica Blagaić","Šestinski vijenac 2a/1
10618 Labin"
"Jelena Cik","Zeleni dol 9
28575 Krk"
"Zdravko Čargonja","Klesarski put 5a/0
88460 Vukovar"
"Jozo Galešić","Zelengaj 0c
51670 Petrinja"
"Zdravko Lešković","Jurkovićeva 07
14495 Garešnica"
"Božica Božičević","Strossmayerovo šetalište 1b
25064 Sinj"
"Tomislav Norac","Mala 5
72205 Osijek"
"Ivanka Kukučka","Zavojna 0c
34173 Zlatar"
"Matija Jakovljević","Zelenjak 1a/4
32757 Zabok"
"Kata Božanić","Višnjičke 2a/3
28892 Prelog"
"Matej Kinkela","Jabukovac 5c/4
84078 Omiš"
"Ante Sirotić","Mlinovi 2c/4
48180 Zagreb"
"Eva Nakić","Nova Ves 5
76339 Opatija"
"Janja Radočaj","Ružičnjak 0a/2
43548 Sisak"
"Kristina Bogović","Zelengaj 6b/6
95470 Gospić"
"Božica Glasnović","Voćarsko naselje 2c/6
11200 Cres"
"Đuro Trgovčić","Voćarsko naselje 3c
05727 Samobor"
"Damir Vrhovec","Glogovac 990
50607 Vodice"
"Ankica Forjan","Kraljevec 2c
78260 Biograd na Moru"
"Anton Hrabar","Mletačka 9b/1
78609 Koprivnica"
"Igor Markanjević","Jurjeve 7b/8
62949 Stari Grad"
"Anita Stošić","Remetska 528
63796 Benkovac"
"Draga Kresonja","Mletačka 4c/2
56519 Donja Stubica"
"Dora Skupnjak","Voćarsko naselje 3b
87385 Supetar"
"Ane Madunić","Golubovac 2a
13974 Novi Marof"
"Božica Glavor","Bosanska 5a/1
51737 Supetar"
"Fran Norac","Mlinske 247
86660 Komiža"
"Lara Tepeš","Rokova 7b/9
34621 Ivanec"
"Mateo Čop","Jabukovac 0c
65093 Prelog"
"Ljiljana Jakopović","Jurišićeva 16
09209 Prelog"
"Lucija Jurjević","Javorovac 6
26368 Zagreb"
"Alen Ljubičić","Rikardove 9a
96564 Korčula"
"Antonija Dragičević","Vinogradska 02
09376 Koprivnica"
"Stjepan Begonja","Kraljevec 6
22157 Beli Manastir"
"Damir Beletić","Mala 0
89851 Donji Miholjac"
"Božica Kuzmić","Vlaška 9b
69478 Obrovac"
"Vladimir Semialjac","Wickerhauserova 1
96607 Daruvar"
"Veronika Matić","Slavujevac 6c/9
64889 Zaprešić"
"Viktor Preočanin","Jabukovac 0c
51782 Otok"
"Ivo Vidović","Krležin gvozd 9a/4
66884 Vrlika"
"Bara Marjanović","Kraljevec II. 35
91412 Hrvatska Kostajnica"
"Nataša Birtić","Ilica 3b
38603 Bakar"
"Tomislav Vučin","Streljačka 5b
86117 Slunj"
"Zoran Bačić","Višnjičke 9a
52144 Bjelovar"
"Karla Kolić","Kraljevec 0a/6
69948 Solin"
"Božica Lukić","Svibovac 8a/7
84901 Prelog"
"Lara Škrlin","Dvoranski prečac 0a/5
95269 Stari Grad"
"Sandra Šelendić","Splavnica 4b
79750 Klanjec"
"Denis Maretić","Vitezovićeva 1b
03215 Virovitica"
"Filip Žuvela","Dolac 4a/2
90599 Imotski"
"Mare Žužić","Goljačke 64
07978 Donji Miholjac"
"Julijana Petrić","Kamaufova 198
14467 Mali Lošinj"
"Mislav Risek","Ksaverska 41
49843 Ilok"
"Tomislav Maretić","Bijenička 4c
88381 Knin"
"Ljubica Amanović","Wickerhauserova 1b/9
44888 Ivanić-Grad"
"Božica Malnar","Šumski prečac 9a
96704 Nova Gradiška"
"Siniša Topić","Pod zidom 8a
26586 Ogulin"
"Nikola Bićanić","Nova Ves 39
06779 Vrbovec"
"Jelena Tisaj","Slavujevac 2a
22769 Hvar"
"Karla Nedić","Istarska 4c
51428 Vodnjan"
"Matija Puharić","Klesarski put 8b
82055 Koprivnica"
"Ivanka Ljubetić","Mirogojska 6a
94077 Novi Vinodolski"
"Vladimir Peharda","Dolac 8b/6
05525 Umag"
"Nika Rijetković","Slavujevac 668
94682 Čazma"
"Milica Šuran","Zmajevac 0b
73071 Samobor"
"Božica Meić","Rokova 0b/5
00744 Samobor"
"Dejan Guberović","Mihaljevac 2c/4
66681 Zabok"
"Marina Jelavić","Rokova 8a/5
63301 Duga Resa"
"Kate Zakinja","Jadranska 907
45894 Ogulin"
"Alen Jurišić","Tuškanac 888
97505 Koprivnica"
"Šime Stiperski","Medveščak 0a
00362 Labin"
"Katarina Kresonja","Višnjičke 3c/2
75833 Kraljevica"
"Dejan Valjetić","Mlinarska 4
15207 Metković"
"Jozo Petek","Mesnička 8b/9
22064 Novi Vinodolski"
"David Matulić","Mašekova 5c
08791 Imotski"
"Božica Mesarić","Vlaška 9b/1
62427 Crikvenica"
"Zora Šantić","Gornje Prekrižje 96
11963 Ilok"
"Ika Obradović","Ružičnjak 5a/2
29704 Pula"
"Pavao Čupić","Novi Goljak 09
27099 Ploče"
"Milica Šipić","Orlovac 8c/6
39267 Čabar"
"Nika Vukobratović","Kraljevečki odvojak 7c/5
02149 Dubrovnik"
"Barica Škugor","Bosanska 4c/5
55364 Vodice"
"Laura Markovac","Palmotićeva 1c/3
83250 Kaštela"
"Goran Turčinov","Male 2c
89884 Trilj"
"Zorka Vukman","Harmica 8c/7
56271 Vrbovec"
"Božica Poropat","Kozarčev vijenac 5a/8
58920 Omiš"
"Veronika Tuđa","Lobmayerove 0c
00274 Delnice"
"Bruno Lenić","Naumovac 712
16420 Opatija"
"Toni Strinavić","Svibovac 5
32578 Čabar"
"Anita Marinković","Vrazovo šetalište 1
76754 Vrbovsko"
"Elvis Martinić","Zmajevac 499
64034 Dugo Selo"
"Mato Čulina","Čačkovićeva 1b/8
54995 Jastrebarsko"
"Zoran Crevar","Ilica 8a
20439 Bjelovar"
"Juraj Lakošeljac","Glogovac 7a/5
44497 Varaždinske Toplice"
"Katarina Šarlija","Srebrnjak 5b/6
79318 Trilj"
"Božica Vugdelija","Jurišićeva 785
61477 Vodice"
"Danijela Bučar","Gupčeva zvijezda 9b
57013 Velika Gorica"
"Niko Karlović","Kraljevec 9a/4
50616 Čakovec"
"Ruža Božičković","Visoka 1c/5
19636 Labin"
"Ljubica Kupsjak","Ribnjak 8
04742 Varaždin"
