"Alain Balmat"|"chemin Badan 41
1834 Robadey" 
"Jacques Paschoud-Beurret"|"rue Kevin Marti 13
6021 Joye"
"Kevin Joye"|"rue de Privet
3412 Mottiez am Albis"
"Samuel Monnet"|"rue Gillièron 336
9571 Fonjallaz"
"Anna Cosendey"|"boulevard de Rosselat 8
4138 Duvanel (VD)"
"Charles Galland"|"boulevard de Peitrequin 93
9256 Corboz-sur-Isella"
"Jean-Claude Georges"|"rue Patrick Bavaud 32
1231 Bovet-la-Ville"
"Hélène Bourquin"|"rue Cornut 9
1352 Nüsslin"
"Jeanne Diesbach-Rey"|"rue Babey
3246 Besençon am Albis"
"Christophe Müller"|"chemin Cosendey 6
8978 Beurret-sur-Bochud"
"Anna Babey"|"rue Beguin 245
6039 Corboz-les-Bains"
"Suzanne Rapraz"|"avenue de Corboz 90
6813 Carron"
"Vincent Matile"|"boulevard Deladoëy
6394 Gubéran (UR)"
"Jean Pellet"|"avenue de Polla
5333 Vienne-près-Cosandey"
"David Piccand"|"avenue Anna Sansonnens 599
2813 Bujard-près-Robadey"
"Charles Pellet"|"rue Julliard 2
2103 Romanens"
"Marguerite Bovet"|"rue Isella 68
1144 Dubey"
"Sandrine Maire"|"rue Camille Cornut 79
3250 Beuchat am See"
"Camille Vonlanthen"|"boulevard Privet 2
8168 UnterRey"
"Jean Grojean"|"rue de Crevoisier 60
4531 Délèze-sur-Droz"
"Sarah Cornuz"|"avenue de Rapraz 96
8454 San Pasquier"
"Romain Wicht"|"avenue Emma Musy 59
7347 Aebi (OW)"
"Jonathan Julliard"|"chemin Nüsslin 95
7321 Gilliéron"
"Thomas Beurret"|"rue Michael Vienne 3
9773 Romanens am Rhein"
"Véronique Candaux-Muriset"|"avenue de Comman 47
3211 Cattin-sur-Sandoz"
"Charles Vermeil"|"boulevard de Jacot-Descombes
1607 Pachoud am See"
"Christophe Monnet"|"rue Paschoud 60
8721 Aeby"
"Gérard Beuchat"|"avenue Niquille 25
5034 Deshusses"
"Georgette Nüsslin"|"avenue de Uldry 13
2160 Dubey"
"André Carraud"|"avenue Jean-Pierre Crivelli 55
2457 Monnet"
"Marie Duvanel"|"rue Suzanne Balmat 429
6157 Polla"
"Sandra Bourquin"|"avenue de Chatriant 78
9416 Carraud"
"Madeleine Fonjallaz"|"boulevard Roland Bugnon 98
2560 Robadey-sur-Comte"
"Maria Diesbach"|"rue Thorens 45
5349 Candaux am See"
"Eliane Rapin"|"rue de Nusslé 18
7843 Rosselat"
"Charlotte Berberat"|"rue Boichat
5594 Masseron"
"Claudine Quartier"|"avenue Carraux
2825 Wicht"
"Robert Rapin"|"chemin Ana Badel
7666 Francillon am Albis"
"Catherine Rey"|"rue Germaine Isella 7
2435 Rapin an der Aare"
"Claude Bourquard"|"boulevard de Bujard 65
7345 Barman-les-Bains"
"Lucas Godet"|"boulevard Marty
1532 Carron-Dessus"
"Elodie Carraux"|"rue de Cousin
2862 Bujard"
"Isabelle Jacot-Guillarmod-Chatriant"|"avenue Jeanne Crivelli 88
1566 Joly-sur-Gilliéron"
"Madeleine Chatriand-Brandt"|"rue Cornut 1
6046 Martin am Rhein"
"Jeanne Carraud"|"boulevard Simone Deladoëy 72
9948 Galland"
"Charlotte Besençon"|"rue de Matile 17
8824 Rapin"
"Gabriel Chaudet"|"rue de Gubéran 44
6492 Niquille (BE)"
"Charlotte Deshusses"|"chemin Jeanne Coigny 25
8742 Musy-près-Béguelin"
"Isabelle Barillon"|"avenue de Comment 23
6843 Charpié-la-Ville"
"Léo Comte"|"rue Gilliéron 9
5204 Duvanel an der Aare"
"Eva Monnet"|"rue Bonvin 46
6808 Saudan-près-Peitrequin"
"Ana Rapin"|"chemin Vuille 63
3498 Julliard (OW)"
"Hélène Sandoz"|"chemin Paccot 78
5775 Niquille-sur-Deladoëy"
"Marianne Romanens"|"rue Babey 83
6639 Nusslé"
"Catherine Monnet"|"rue Matile
7522 Paschoud-sur-Bovet"
"Charlotte Besse"|"rue Anne Humbert
7800 Blanc"
"Charlotte Wicht"|"avenue de Corboz 9
5563 Cousin-près-Galland"
"Julien Evéquoz"|"boulevard de Carron 92
8045 Paccot (BL)"
"Roger Carraux-Chevrolet"|"avenue Clara Menthonnex 93
6772 Sainte Berberat"
"Hugo Berberat"|"avenue Marcel Muriset 3
4058 Niquille-des-Bois"
"Laurent Muriset"|"chemin Corboz 7
5840 Balmat"
"Maxime Saudan-Mottiez"|"boulevard Emilie Corboz 52
9110 Polla an der Aare"
"Pascal Morand"|"boulevard Balmat 13
7255 Sainte Barillon"
"Julien Chopard"|"rue Simone Duvanel 7
3556 Galland-près-Duvanel"
"Gilbert Comte"|"chemin Martin 53
1582 Délèze-des-Bois"
"Charlotte Bouvier"|"rue Mottiez
2197 Beurret-les-Bains"
"Isabelle Wicht"|"chemin de Monnard
9947 Jomini"
"Alain Beuret-Comte"|"rue Polla
6128 Bonvini"
"Simone Bujard"|"rue Laurence Comman 80
8625 UnterBourquin"
"Mathilde Deshusses"|"rue de Barillon 51
8142 Corbat-des-Bois"
"François Delèze"|"rue Grosjean 2
4102 Sainte Béguelin"
"Corinne Masseron"|"rue Christine Rosselat 8
5810 Carraud-près-Vuille"
"Patricia Saudan"|"boulevard de Rossellat 2
3378 OberRosselat"
"Emilie Aebi"|"boulevard de Nusslé 12
3935 Bouvier"
"René Cattin"|"chemin Marcelle Balmat 3
8897 Cretton"
"Charlotte Bovet-Müller"|"avenue de Cossy
7508 Rosselat-sur-Bugnon"
"Jacqueline Coigny"|"rue de Jacot-Guillarmod 48
6573 Besse am See"
"Marcelle Cornut"|"boulevard Danielle Mottiez 5
4937 Chappuis-les-Bains"
"Antonio Broquet-Monnard"|"chemin de Broquet 97
1791 Broquet-sur-Nusslé"
"Jean-Claude Piccand"|"rue Lisa Sansonnens 39
7961 UnterBarillon"
"Anna Joly"|"chemin de Crivelli 2
7767 Aebi"
"Sophie Grosjean"|"avenue Raymond Délèze 120
5378 Georges"
"Raymond Crivelli"|"boulevard Aeby 55
9797 Paschoud"
"Sandra Aebi"|"avenue Saudan
4894 Badel am See"
"Aurélie Bourquin"|"rue Jonathan Corpataux 81
6140 Bonvin-Dessous"
"Charlotte Brahier"|"boulevard de Bernasconi 4
6045 Botteron-près-Bovet"
"Olivier Boichat"|"rue de Vonlanthen
9064 Chapuis-les-Bains"
"Claudine Balmat"|"avenue Paschoud 858
4480 Vallélian"
"Loïc Monnet"|"avenue Nicole Sandoz 88
7179 Délèze-Dessus"
"Louis Boillat"|"rue Matteo Chenaux 12
2645 Sainte Romanens"
"Catherine Jomini"|"boulevard Olivier Nüsslin 781
9745 UnterBavaud"
"Bernard Bugnon"|"chemin de Besançon 11
6548 Fonjallaz-Dessous"
"Hélène Galland"|"rue Jacot-Guillarmod 7
6247 Masseron am Albis"
"Christiane Comment"|"boulevard de Pellet 32
7029 Bovet-près-Curdy"
"Samuel Gubéran"|"rue de Romanens 56
4978 Peitrequin-près-Sansonnens"
"Charlotte Candaux"|"avenue de Conrad
8351 Menthonnex"
"Elisa Rossellat"|"rue de Chapuis 411
8525 Sainte Masseron"
"Lisa Humbert-Bonvini"|"avenue de Corboz 89
2758 Grojean"
"Suzanne Thorens"|"chemin de Comte 57
6353 Cretton am Albis"
"Claudine Pachoud"|"avenue Grosjean
1149 Pasquier am Albis"
"Michel Botteron"|"boulevard Suzanne Pellet 58
7282 Bonvini"
"Sophie Barbey"|"avenue Vallélian 806
9901 Besençon (LU)"
"Suzanne Müller-Babey"|"avenue David Coigny 37
9010 Broquet-la-Ville"
"Frédéric Brandt"|"boulevard Ethan Deshusses
2166 Bourquin-sur-Nüsslin"
"Danielle Cornut-Romanens"|"rue Chloé Courvoisier 2
4063 Balmat-près-Galland"
"Charlotte Chaudet"|"rue Sansonnens 30
8608 UnterMottiez"
"Claude Cossy"|"avenue de Aeby 6
8515 Droz-les-Bains"
"Elisabeth Balmat"|"rue Cattin 3
5477 Bonvin (SH)"
"Frédéric Corboz"|"rue Jacot-Descombes 72
9518 Chevrolet"
"Simone Crivelli"|"avenue Olivier Chappuis 3
8203 Cosandey"
"Josiane Béguelin"|"rue Lucie Quartier 31
1582 Piccand (AR)"
"Manuel Comman"|"chemin Anna Musy 92
4455 Cornut"
"Noah Badan"|"boulevard Charles Chatriant 70
7074 Nusslé"
"Stéphanie Pasquier"|"rue Thérèse Jacot-Guillarmod 99
3271 Georges am See"
"Nicolas Corbat"|"chemin Danielle Tinguely 43
7995 Uldry-la-Ville"
"Charlotte Comman"|"rue Gérard Cretton 4
1344 Chevalley"
"Maria Pasquier"|"boulevard Elisa Chatriand 29
1541 Carraux-Dessous"
"Emilie Rappaz"|"rue Alain Robert 6
6368 Chatriant-des-Bois"
"Aurélie Robadey"|"rue de Délèze 56
3338 OberChevrolet"
"Eric Pellet"|"rue Balmat 3
5969 Bonvini-près-Botteron"
"Stéphanie Matile"|"avenue de Boichat
4655 Cousin-près-Nusslé"
"Jean-Pierre Boechat-Besse"|"rue Valérie Brandt 42
6676 Chapuis an der Aare"
"Madeleine Deladoëy"|"rue Denise Cattin 72
6898 Grand-près-Matile"
"Bernard Grojean"|"rue Bahon 76
3237 Monnard"
"Maurice Boichat-Chevalley"|"rue Joye 94
1983 Bahon"
"Charlotte Duvanel"|"chemin Alain Mottet 93
5273 Badan"
"Henri Boechat"|"rue de Grosjean 61
6417 Badel"
"Matteo Broquet"|"chemin Yvonne Carraud 83
7362 Deladoëy an der Aare"
"Manuel Bourquin-Grand"|"avenue Michel Mottiez 27
4324 Treboux-les-Bains"
"Danielle Comman"|"rue Delèze
9660 Comte am Albis"
"Sandrine Besse"|"rue Fonjallaz 3
4521 Aebi-près-Cosandey"
"Arthur Julliard"|"rue de Boechat 39
9605 UnterGrojean"
"Léo Barman"|"chemin de Béguelin 56
4170 Chatriand an der Aare"
"Henri Bernasconi"|"rue de Treboux 18
1544 Grand"
"Ana Candaux"|"chemin Jacot-Guillarmod 28
1113 UnterMottiez"
"Charlotte Evéquoz"|"rue Léo Godet 37
6911 Chevalley"
"Sophie Corboz"|"rue Marcelle Monnet 98
3833 Besançon am Albis"
"Monique Conrad"|"avenue Bujard 895
6859 Peitrequin"
"Nathalie Badan"|"rue de Chaudet 18
8691 Morand"
"Léo Joly"|"rue de Boichat 80
9667 Courvoisier"
"Bernard Marti"|"rue Nathan Fonjallaz
5120 Rosselet"
"Roland Blanc-Jacot-Descombes"|"rue Nicole Marty 851
3814 Bochud-Dessous"
"Marie Balmat"|"rue Patricia Delèze
4637 Paschoud"
"David Nüsslin"|"rue Jeanne Sandoz 19
2091 Pellet-des-Bois"
"Nelly Nusslé"|"avenue de Peitrequin 925
1984 Chenaux-sur-de Dardel"
"Charlotte Marty"|"boulevard de Chatriant 11
8784 de Dardel (SH)"
"Nicole Babey-Berberat"|"boulevard Bavaud 36
5617 Cretton"
"Jacqueline Beguin-Vermeil"|"rue Clara Rey 13
5091 San Barillon"
"Ana Carraud-Polla"|"chemin Boillat
8521 Joye am Rhein"
"Robert Comman"|"boulevard Bouvier 4
4153 Cousin-les-Bains"
"Pascal Bouvier"|"rue Philippe Musy 18
8892 Jacot-Guillarmod"
"Gérard Mottiez"|"avenue Jonathan Diesbach 28
3804 Robert (TI)"
"Françoise Rosselet"|"rue de Carraud 300
6852 Cosandey"
"Sandra Jacot-Guillarmod"|"rue Thierry Monnet 336
5320 Privet-la-Ville"
"Noah Bourquin"|"boulevard Piccand
8023 Conrad"
"Charlotte Mercier"|"rue de Conrad 18
4791 Cosandey-les-Bains"
"Vanessa Nusslé"|"boulevard Vienne 9
2570 OberCorboz"
"Catherine Robert"|"chemin Lisa Monnet 19
2007 Chaudet"
"Céline Cossy"|"avenue de Marti 5
5072 Comment"
"Clara Délèze"|"rue Eva Privet 21
5916 Chatriand"
"Nathan Chaudet"|"rue Mathieu Besançon 783
3721 Dubey-des-Bois"
"Germaine Meyer"|"rue Martin 2
5176 Deshusses"
"Louis Chaudet"|"avenue de Jacot-Descombes 18
8066 Barillon-près-Gilliéron"
"Alice Badan"|"rue Sophie Sansonnens 19
6561 OberBernasconi"
"Stéphanie Vermeil-Humbert"|"chemin Jeanne Vuille 116
3321 Chappuis (UR)"
"Charlotte Monnet"|"avenue de Chaudet 4
9187 Mottet-près-Beguin"
"Jessica Bujard"|"rue de Morand 54
4203 Corpataux am Albis"
"Gilbert Comman"|"chemin Germaine Treboux
4781 Carraud"
"Mathieu Bovet"|"chemin Boillat 76
1162 Bourquin-les-Bains"
"Patrick Rapin"|"avenue de Sandoz
4918 Paccot-les-Bains"
"Louis Matile"|"rue Christian Crevoisier 7
9317 Martin-des-Bois"
"Alicia Candaux"|"rue de Bovet
2411 Muriset-sur-Masseron"
"Manuel Curdy"|"chemin Botteron 15
2291 Vuille-près-Bonvini"
"Alain Bujard"|"boulevard Isella
4889 Tinguely-Dessus"
"Camille Robert"|"avenue Raymond Bovet 79
9903 Boillat"
"Charlotte Montandon"|"avenue de Chevalley 9
1712 Uldry-sur-Bochud"
"Marianne Cousin"|"chemin Léo Besançon 52
8552 Comte-près-Barman"
"Mathieu Charpié-Beurret"|"rue René Julliard 83
8376 Comte (JU)"
"Arthur Gilliéron"|"chemin Cattin 56
7003 Maire-la-Ville"
"Georgette Besençon"|"avenue Diesbach
6846 Nusslé-près-Chappuis"
"Thérèse Robadey"|"rue de Bonvini 7
8574 Francillon"
"Frédéric Joly"|"boulevard Emilie Cossy 53
3245 Chevalley (ZG)"
"Simone Pasquier"|"boulevard Pierre Deshusses 27
3962 Polla-des-Bois"
"Pierre Rapraz"|"boulevard Monnard 4
9236 Curdy"
"Jean-Pierre Nusslé"|"boulevard Jacot-Guillarmod
7320 Vonlanthen-sur-Masseron"
"Charlotte Rapin-Menthonnex"|"rue de Badan 1
7382 Meyer-Dessous"
"Sarah Robadey"|"boulevard Nicolas Conrad 886
3600 Grand"
"Nelly Cousin"|"chemin Vuille 1
5774 Tinguely"
"Loïc Bonvini"|"avenue Maire 35
9742 Babey"
"Françoise Gubéran"|"avenue Denise Boechat 68
2769 Gubéran"
"Isabelle Delèze-Cretton"|"chemin Nelly Bouvier
3795 Nüsslin (JU)"
"Sandra Matile"|"boulevard de Muriset 34
2560 Délèze-sur-Bonvin"
"Thierry Boillat"|"boulevard de Brahier 6
2097 Besse"
"Emma Quartier"|"rue Maria Chenaux 35
1433 Joye (BL)"
"Guillaume Uldry"|"boulevard Laurent Bugnon
7472 Muriset-sur-Brahier"
"Charlotte Vallélian-Jomini"|"rue de Vienne 5
9454 Mottet an der Aare"
"Pierre Robert"|"chemin de Romanens
7832 Diesbach am See"
"Frédéric Bourquard"|"rue Elisa Vienne 74
3012 Chenaux-Dessus"
"Antonio Carron-Tinguely"|"rue Aebi 40
2303 Rapin"
"Isabelle Béguelin"|"boulevard Grojean 18
2474 Rossellat-sur-Bouvier"
"Marianne Wicht"|"chemin de Boillat 204
4396 Nüsslin-la-Ville"
"Frédéric Bavaud"|"rue de Brandt 12
4006 Barman"
"Paul Mottet"|"boulevard Polla 96
8323 Niquille-Dessous"
"Christine Uldry"|"rue de Cosandey
3764 Saudan-près-Chevalley"
"André Charpié"|"avenue Antonio Godet 61
9531 Piccand (BS)"
"Chloé Balmat-Gillièron"|"chemin Sarah Humbert 89
1249 Sainte Sansonnens"
"Caroline Rapraz"|"chemin de Joye
5129 Comment"
"Nicolas Paschoud"|"boulevard Cornut 21
9463 Aeby-sur-Vonlanthen"
"Elisa Brandt"|"rue Louis Babey 83
9142 UnterChapuis"
"Elodie Chopard"|"boulevard Daniel Fonjallaz 86
4913 Bonvini-la-Ville"
"Corinne Beguin"|"rue Charpié
2587 Müller"
"Florian Niquille-Rappaz"|"boulevard Julliard 66
1982 Besse"
"Théo Robadey"|"chemin Jacqueline Pellet 836
6423 Beuchat-sur-Pasquier"
"Romain Cousin"|"chemin de Rapin 715
6460 Galland (OW)"
"Claude Beuret"|"chemin de Boichat 81
3715 Sainte Vermeil"
"Chloé Broquet"|"rue Privet 86
9207 Evéquoz an der Aare"
"Gérard Jomini"|"boulevard Emma Diesbach 66
6062 Bahon"
"Danielle Botteron"|"rue François Jomini 801
6740 San Chappuis"
"Laura Menthonnex"|"rue Pierre Bugnon 44
4950 Robadey"
"Christian Niquille-Aeby"|"chemin Deshusses 9
7961 Bourquin"
"Elodie Cretton"|"chemin de Montandon 94
4694 Masseron"
"Jessica Joye-Brahier"|"boulevard Laurence Théraulaz 14
1043 Müller (JU)"
"Jean-Claude Monnard"|"rue Suzanne Bovet 38
2777 Rapin"
"Sylvie Boechat"|"rue Brahier 944
4838 Bujard-près-de Dardel"
"Vincent Niquille"|"chemin de Morand 71
2645 Beuchat-la-Ville"
"Chloé Chopard-Morand"|"avenue de Délèze 6
3172 Cosendey (ZH)"
"Jean-Pierre Masseron"|"chemin Zoé Berberat
3682 Aebi"
"Matteo Courvoisier"|"rue de de Dardel 3
9018 Chevalley"
"Patrick Besse"|"avenue de Bourquard
9279 Georges"
"Hélène Grand"|"boulevard de Bonvin 875
9638 Sainte Dubey"
"Alain Mercier"|"rue Elodie Cosandey 66
1830 Bugnon-près-Bovet"
"Guillaume Thorens"|"boulevard de Godet 40
2879 Pasquier am Rhein"
"Georges Droz"|"boulevard Carraud 49
9852 Comte"
"Thierry Cosendey"|"rue Gabriel Treboux 4
4652 Grand am See"
"Théo Besançon"|"chemin Patricia Jacot-Descombes 297
9048 Berberat"
"Chloé Comman"|"boulevard de Joye
8892 Curdy"
"Gilbert Chapuis"|"rue Marcel Coigny 897
4419 Saint Isella"
"Mathieu Dubey"|"rue Loïc Cossy
3359 Mayor (ZG)"
"Noah Thorens"|"boulevard Bochud 50
5752 Curdy"
"Vincent Crivelli"|"rue Gillièron 17
5955 Peitrequin-sur-Délèze"
"Julie Vuille"|"avenue Jomini 1
4908 Vonlanthen"
"Céline Duvanel"|"avenue Bourquin 137
1665 Chevrolet-la-Ville"
"Clara Deladoëy"|"rue de Niquille 7
7855 Grojean-Dessus"
"Eric Chatriand-Candaux"|"chemin Rossellat 77
4788 Chaudet-sur-Rappaz"
"Sarah Conrad"|"rue Comte
5812 Isella-Dessus"
"Chloé Pasquier"|"rue de Bourquard 51
8304 Botteron-Dessous"
"Emilie Beuret"|"rue Claude Sansonnens 73
1039 Vermeil an der Aare"
"Christiane Rey"|"rue Antonio Francillon 75
1972 San Masseron"
"Nolan Crevoisier"|"boulevard Cosandey 80
1137 Cattin-sur-Rapin"
"Romain Romanens"|"chemin Jomini 88
2499 Rosselet (AR)"
"André Cornut"|"rue Isabelle Monnet 44
8442 Beuret-Dessus"
"Stéphane Wicht"|"avenue Peitrequin 48
8566 Mottiez-près-Cattin"
"Raymond Bavaud"|"boulevard Lucie Comment 1
6574 Besençon"
"Anna Evéquoz"|"avenue Daniel Chatriand 62
9495 Maire"
"Maria Bernasconi"|"rue Laetitia Cousin 20
4473 Paccot"
"Chloé Rey"|"rue Chappuis 7
9518 Conrad-les-Bains"
"Nolan Marti"|"chemin de Aebi 943
3055 Broquet-sur-Brahier"
"Claudine Bouvier"|"rue Laurent Bovet 65
5979 Cosendey (SH)"
"Jeanne Mottet"|"rue Muriset 97
2292 Crivelli-sur-Cretton"
"Stéphanie Chevrolet"|"chemin Mottet 2
2824 Bonvini"
"Christophe Chaudet"|"avenue de Saudan 1
1651 Menthonnex am See"
"Manuel Thorens"|"rue de Coigny 9
1760 Sandoz"
"Gérard Rappaz"|"rue Monney 7
6774 Bujard"
"Patricia Chapuis"|"chemin de Chapuis
4152 Cossy"
"Germaine Chevrolet"|"chemin Lisa Barman 790
6363 Monney-des-Bois"
"Christian Aebi"|"rue Rapin 30
7209 Gillièron-Dessus"
"Josiane Grand"|"rue Olivier Georges 26
1415 Paschoud"
"Anne Gubéran"|"rue Nicole Grosjean 88
1013 Courvoisier (BE)"
"Christiane Romanens"|"rue Broquet
9693 Joye"
"François Rapin"|"avenue Courvoisier 616
2486 UnterComte"
"Christian Brahier"|"chemin de Monney 76
5992 Bujard-sur-Nüsslin"
"Kevin Mottiez"|"boulevard Anne Piccand 2
9907 Chapuis-près-Maire"
"Chantal Carron"|"avenue Marianne Corboz 63
3979 Uldry"
"Luca Vallélian"|"chemin Isabelle Francillon 55
9084 Duroux-sur-Montandon"
"Danielle Nüsslin"|"chemin Henri Candaux 48
5718 Evéquoz"
"Christian Besençon"|"rue Noah Mottiez 265
8348 Bavaud"
"Maxime Comman"|"rue de Rappaz 6
1309 Saint Bernasconi"
"Marie Fonjallaz"|"rue Sandra Carraud 85
2682 Evéquoz-des-Bois"
"Stéphane Berberat"|"rue Jomini 72
9755 Morand-Dessous"
"Caroline Curdy"|"rue Marguerite Duroux 6
6751 Monnet-Dessous"
"Elisabeth Chappuis"|"chemin de Carraux 49
3939 Joye-sur-Aebi"
"Jean-Pierre Délèze"|"rue Laurence Vonlanthen 1
9227 Bouvier-la-Ville"
"Manuel Delèze"|"rue Elodie Treboux 83
9714 Mercier"
"Bernard Jomini"|"rue de Delèze 17
3435 Nusslé am Rhein"
"Josiane Carraux"|"chemin Bahon
9025 Paccot-les-Bains"
"Christian Candaux"|"rue Kevin Marty 77
1180 Rossellat-Dessus"
"Hélène Cousin-Treboux"|"boulevard de Rey 959
7479 Martin"
"Michael Godet"|"rue Emma Beuchat 9
3785 Crevoisier-la-Ville"
"Hélène Botteron"|"avenue Vincent Tinguely 8
2295 Chevrolet (SZ)"
"Fabienne Thorens"|"chemin de Berberat 785
4636 Paschoud-sur-Bourquin"
"Alicia Bonvini"|"chemin de Vonlanthen 10
2615 Crevoisier-Dessous"
"Gabriel Dubey"|"avenue Nüsslin 85
3361 Cretton"
"Thérèse Meyer"|"avenue de Badel
5262 Morand-près-Bochud"
"Nelly Bernasconi"|"rue de Aebi
8652 Quartier am Rhein"
"Guillaume Droz"|"boulevard Masseron 6
6680 Conrad-Dessous"
"Christian Candaux-Polla"|"rue Romanens
8367 Isella-la-Ville"
"Thérèse Beuchat"|"avenue Droz
2077 UnterBadan"
"Sébastien Crivelli"|"avenue Cossy 76
9686 Corpataux"
"Monique Grosjean"|"chemin Sophie Brandt 64
8153 Deladoëy-sur-Bourquard"
"Mathilde Chappuis"|"avenue Simone Crivelli 89
4451 Alber"
"Alain Montandon"|"rue Boillat 2
9553 Béguelin-sur-Saudan"
"Julien Aeby"|"rue Privet 252
9826 Rapin-près-Jacot-Descombes"
"Madeleine Chapuis-Chatriant"|"avenue Frédéric Bourquin 98
1153 Brandt-près-Morard"
"Catherine Nusslé"|"rue Bovet 13
5431 Théraulaz"
"Lucas Délèze"|"chemin Luca Pellet
5061 Thorens"
"Christian Cattin"|"rue de Cossy 96
6710 Nüsslin-près-Piccand"
"Georges Jomini"|"rue de Bonvin 417
1349 Morand"
"Thomas Humbert"|"rue Olivier Montandon 50
7838 Godet-sur-Chopard"
"Robert Curdy"|"boulevard de Corboz 397
1285 Vienne"
"Bernard Morand"|"rue Cossy 505
1298 Piccand-sur-Evéquoz"
"Josiane Corbat"|"avenue de Comman
1387 Chenaux-près-Beuret"
"Vincent Humbert-Beguin"|"rue Jean-Claude Alber 62
9273 Niquille-près-Besse"
"Marcel Rossellat"|"rue de Humbert 34
2365 Rosselat"
"Pascal Charpié"|"rue Rappaz 683
7525 OberMeyer"
"Pierre Morard"|"rue Isella 95
2296 Galland-des-Bois"
"Christian Chappuis"|"rue Thomas Pachoud 49
6107 Corpataux"
"Roger Polla"|"avenue Babey 27
6274 Thorens"
"Maurice Vallélian-Piccand"|"avenue Cornut 36
2644 Sainte Menthonnex"
"Maxime Bourquin"|"boulevard Bugnon
7771 Courvoisier"
"Samuel Blanc-Barbey"|"avenue Laura Broquet 91
6191 Julliard-sur-Julliard"
"Chloé Thorens"|"boulevard Yvette Bahon 35
9124 Bonvini-les-Bains"
"Nathan Privet"|"chemin de Balmat 350
2555 Morand an der Aare"
"Claudine Cattin"|"boulevard Beuret
1266 Besençon (FR)"
"Philippe Bavaud"|"avenue Privet 74
2304 Fonjallaz (OW)"
"Sylvie Bourquard"|"rue de Rapraz 36
4318 Droz am Albis"
"Christian Chatriant"|"boulevard Chappuis 1
7330 Galland (VD)"
"Marguerite Mottet"|"rue Maxime Badel 65
6839 Evéquoz am See"
"Jessica Broquet"|"rue Yvette Paccot 32
8947 Maire am See"
"Christine Duvanel-Chappuis"|"rue Christophe Bourquin 26
7547 Morard-la-Ville"
"Sophie Muriset"|"rue Mathilde Barbey 73
1039 Chappuis am Albis"
"Patricia Chenaux"|"rue de Badel 3
5741 Sainte Babey"
"Louis Delèze-Rey"|"rue Charpié 57
1027 Aebi-sur-Chapuis"
"Vincent Paschoud"|"boulevard Mélanie Mercier 959
2702 Cosandey"
"Marianne Chevrolet"|"chemin Corpataux 87
9861 Vallélian-la-Ville"
"Monique Gubéran"|"boulevard de Duroux 128
5816 Boechat am See"
"Christian Chenaux"|"boulevard Léo Barman 1
9887 Chaudet-sur-Sansonnens"
"Sarah Menthonnex-Aeby"|"boulevard Polla 38
7284 UnterMonnet"
