"அகண்டலன் எட்டப்பன்"|"746 இசைவேந்தன் ஷம்பு
தாவண்கரே 748806" 
"உஜேஷ் உலகநேயம்"|"776 வண்ணநிலவன்
பாட்னா 994203"
"அகிலா"|"44/3787 மணிக்கதிர் ராணி
குவஹாத்தி 156696"
"நன்முத்து பசவராஜ்"|"95/34 சத்யவாணன்
பெங்களூரு-714837"
"கண்மயா வாகீசன்"|"28/29 நயன்தாரா சசி
உதயப்பூர் 376023"
"அச்சுதானந்தன்"|"7/8 ஸ்ரீகலா
குவாலியர் 017975"
"பதிரன் சத்யமூர்த்தி"|"67/95 கண்ணகி வருனிதா
கும்பகோணம் 528436"
"பகுதானன்"|"7780 எழிற்குமரன்
அலகாபாத் 841822"
"ஆதிகுணா பகலவன்"|"61 சஞ்ஜோக்
லூதியானா 973402"
"தங்கவேலன் உமா"|"627 தங்கவேலு கதிரவன்
வாணியம்பாடி-949461"
"ஆனந்தசாகரன்"|"6642 கனல் ஷானவாஸ்
சென்னை பெருநகர்-524540"
"நன்னன்"|"24/9464 உச்சிதா வஷிஷ்டர்
நாகப்பட்டினம் 632640"
"ஸ்ரீயா ரீஜா"|"25/91 சஞ்சு
அலகாபாத் 432295"
"நன்னூலன் ஆதி"|"4/3 மகிழ் ஷர்வானி
அஜ்மீர்-577004"
"வடிவேல்முருகன்"|"3 ஷானன்
ஓசூர்-574539"
"ஷைல்"|"9 இந்து வஞ்சிமகள்
மும்பை பெருநகர்-644492"
"ஏழிசைக்குரிசில் ஆதிசங்கரா"|"37/4127 கத்ரினா ஹரிஹரன்
கயா 621070"
"நந்திதா சதிஷ்வரன்"|"02/706 சஜீத் உமை
காரைக்குடி 073019"
"ஆதிகுணா"|"0/3 ஆட்டனத்தி
குவஹாத்தி 878492"
"வளவன்"|"41/975 யாழரசன் கண்மலர்
நான்தேட்-510867"
"அங்கையர்க்கரசி"|"0 ஷர்மிதா
நெல்லூர் 432926"
"ஒளிர்நிலவன்"|"15/9362 கனிகா
பாட்னா 634120"
"அகில்"|"31/41 ஸரளா உதயசந்திரிகா
பொள்ளாச்சி-398692"
"வண்டமிழ் மணியரசன்"|"23/2704 சங்குமாலை
லக்னோ-291941"
"ராபர்ட்"|"6810 வாசுதேவன்
மொரதாபாத் 020055"
"வள்ளல்"|"1947 எல்லி
நான்தேட்-471455"
"யூகேந்திரன்"|"31/1252 ஸ்ரீலேகா
ஓசூர்-524708"
"ஐயம்பெருமான் தணிகைவேலன்"|"92/2771 கனிமதி
வாரணாசி-650938"
"ஆதிகுணா"|"01/574 ராஜதுரை பல்லவி
திருச்சிராப்பள்ளி-310362"
"கடலிறை அகண்டலன்"|"99/03 உலகோவியம் கண்ணன்
திண்டுக்கல்-925771"
"ராஜ்குமார்"|"0392 ஷக்தி
திருநெல்வேலி-544031"
"நம்மாழ்வார்"|"897 தங்கபாப்பா
பெங்களூரு 281637"
"அஜந்தா"|"1132 ஸ்ரீவல்லி ஹனிஷா
ராய்ப்பூர் 045633"
"சத்யராஐ;"|"8625 அச்சுதானந்தன் ஆகமா
சேலம்-370394"
"தணிகைமுருகன்"|"11/107 ஒளிவாணி நாகம்மாள்
போபால் 798373"
"நாகமணி இந்திராணி"|"4/7 உலகநேயம் நம்பி
ஆக்ரா-758170"
"வதனி பவழமொழி"|"9/8 நம்பிள்ளை ஏந்திசை
திருப்பூர்-523801"
"பகவதி"|"475 கஜோல்
குவஹாத்தி 570646"
"ஆதிகுணா"|"56/8184 ரஜினி நக்கீரர்
அமராவதி-660473"
"பஞ்சாமிர்தம் எழிற்கதிர்"|"13/5828 தங்கதுரை
ஐதராபாத்-608810"
"இசைவேந்தன் ஸ்ரீயா"|"67/199 ஏழிசைநாயகி ஸ்ரீதேவி
பிரோசாபாத்-478168"
"வண்ணநிலவன்"|"40/09 ஏழிசைதேவி இந்துமதி
குடியாத்தம்-986586"
"ஷோபன்"|"19 ஆதிகுணா பவளமலை
அம்ரித்சர்-305097"
"தண்மதி"|"0 கனிமொழி அகிலன்
கொல்கத்தா பெருநகர் 413570"
"கதிரோன்"|"37/801 மகிணன்
திருநெல்வேலி-647676"
"மகிழரசு"|"5316 நம்பெருமாள்
கோயம்புத்தூர்-877904"
"உதயா ஸௌரா"|"27/476 வர்ணவதி ஹஸிதா
பெங்களூரு 358305"
"மணியரசி ஆசைச்செல்வி"|"5/5 அக்ரூர், பாக்கியலக்ஷ்மி
வேலூர் 262972"
"ஆதிகேசவன் நறுமுகை"|"2 யூவரானி
நெல்லூர்-353624"
"கதிரழகன் மணிக்கதிர்"|"28 அக்னிகுமாரன் ஸ்ரீமா
ராஞ்சி 194358"
"ஆதிமகள் நவிதா"|"82 தங்கவேல்
தஞ்சாவூர் 068479"
"கடம்பா"|"6/4 அகழ்மேனி பவதாரணி
மதுரை 164195"
"எமலி"|"432 மகிழ்கோ ஏழிசைமுரசு
ராஜமுந்திரி-473623"
"உதயன்"|"5953 இசைவாணன் எழிற்பாவியன்
பெல்காம் 358458"
"ஏகசிந்த்"|"6/5 ரஃபி ஐக்கியா
திருவண்ணாமலை 722573"
"எமலி உதயன்"|"4/0 ஸ்ரீதேவி
ஜல்கான்-013349"
"எழிற்கண் பன்னீர்"|"83/20 ஷர்மிஸ்தா மகிழ்கோ
தூத்துக்குடி 288271"
"இசைமாமணி பஜரங்கன்"|"78/53 ஆடலரசி
ஜம்மு 924538"
"ஆதிசக்தி"|"29/4899 கண்மதி
ஈரோடு 056707"
"தங்கம்"|"518 பழகுத்தமிழ் ஷிங்
ரூர்கேலா 810044"
"ஸ்ரீகலா"|"309 எழிலேந்தி
நாக்பூர் 857079"
"உண்மையொளி வரதராஜ்"|"869 உதயகுமார்; தங்கவேலன்
ராஜமுந்திரி-128796"
"மணிக்கதிர்"|"46 ஸுப்ரீத் எழிலி
ஸ்ரீநகர்-228571"
"வண்ணநிலவன் மணவாளன்"|"612 அகவொளி சசிகுமார்
பரேலி-248593"
"ஷகுந்த் தன்சி"|"2/8 ஸ்ரீவல்லி
பெல்காம் 238788"
"உதயச்சல் ஏழிசை"|"05/57 அங்கணன் பசந்த்
போபால்-424620"
"ரகசியா"|"2/1 பவழமொழி
சென்னை-068535"
"கணைக்கால் ஆகமா"|"39/7011 அகத்தழகி
கொல்கத்தா பெருநகர் 769038"
"ஆதிசங்கரா பத்மபிரியா"|"6/7 நயன்தாரா
அலகாபாத்-077959"
"அக்னிகா"|"48/8918 நாகதேவி
பிலாய்-874858"
"இடைக்காடர்"|"61 ஒளிவாணி ஆடற்கோமகள்
வாரணாசி 761518"
"அகவொளி ஏந்திழை"|"64 தங்கபாப்பா
சென்னை பெருநகர் 944278"
"கதிரவன்"|"05/62 மகிழ்ச்சிக்கு
இந்தோர் 144129"
"மணவாளன்"|"530 ஏழிசைக்கலை ஆடற்செல்வி
திருச்சிராப்பள்ளி-445107"
"கடலரசன்"|"3 ஏகா ரகுராம்
குண்டூர் 572666"
"ஏழிசைநாயகி ராணி"|"6/6 உத்தம்
வதோதரா 912611"
"ஹேமலதா மணிமுடி"|"25/0831 அகமணி உபாஸனா
ரூர்கேலா 757307"
"சத்யமூர்த்தி"|"10/39 தணிகைச்செல்வி
பரேலி-667129"
"ஆதிசங்கரா ரஞ்சினி"|"36/915 இசையேந்தல் யமுனா
பிகானேர் 373539"
"எழிலன் ஆதர்ஷ்,ஆதேஷ்"|"4658 இடைக்காடன் சத்யமூர்த்தி
அலிகார்-582372"
"ஆதித்யவர்த்தன் ஆஞ்சனேயா"|"24/47 ரமணி
சோலாப்பூர் 701593"
"கண்ணையன் ராதா"|"98/279 கணியன் சங்கீதா
பொள்ளாச்சி 735403"
"வசுதாரிணி"|"954 கதிரொளி
நான்தேட்-786440"
"ஏழிசைநாயகி"|"202 பகுபாலன்
புதுச்சேரி-481362"
"ஷக்தி ஷர்மிதா"|"2 வாசு ஒளிமுகம்
நெய்வேலி 536016"
"எமலி"|"44/370 ஒட்டக்கூத்தன் எழிற்கதிர்
திருப்பூர் 723085"
