"அகண்டலன் எழில்மகள்"	"8/8 வடிவுக்கரசி அங்கால
மாலேகான்-045133" 
"ஆகாஷ்"	"4/4 அகரமுதல்வன்
குவாலியர்-210835"
"அகிலங்கடந்தான் அகுல்,"	"71/8897 பத்ரிநாராயணன்
உதகமண்டலம்-280153"
"வஞ்சி"	"92/2913 ஆடலரசன்
பாட்னா-343677"
"இசையரசன் ஆதிமறை"	"5/1 ரக்ஷனா
அலகாபாத்-343914"
"வனிதா"	"90 நந்திதா ஆஞ்சனேயா
ஆக்ரா 612144"
"ரமணன்"	"4183 தணிகையரசு தங்கத்தமிழ்
குவாலியர்-625404"
"ஆதவன்"	"35/91 ராஜப்பிரியன்
ஜெய்ப்பூர் 431601"
"ஏழிசைக்குரிசில்"	"290 வஷிஷ்டர்
ஜபல்பூர் 861991"
"பத்ரிநாராயணன் ஏழிசைச்செல்வம்"	"7/2 மகஷேவரி
அவுரங்கபாத் 512341"
"எழிலேந்தி உன்மேஷ்"	"1316 நவ்யா
பிலாய்-628616"
"ஹம்ரிஷ் கண்ணப்பன்"	"73/59 எழில்நிலவு
புதுச்சேரி 541145"
"பதிரன்"	"00/6629 ஹவிஷ்மதி ஐயனாரப்பன்
ஜலந்தர் 856314"
"ஏக்ராம்"	"5659 ஷர்மிளா
கரூர் (கரூர் மாவட்டம்) 431530"
"உன்மேஷ்"	"18/02 ரமேஷ்கண்ணா கணையாழி
ஜாம்நகர் 682888"
"எகாம்பரம் இந்திகாப்"	"8940 தனுஷா ஹரினிவேதா
ஜம்சேத்பூர்-981614"
"மணிமுகில் அகில்"	"931 ரங்கநாயகி பவித்ரா
துர்காபூர்-908234"
"ஆதவன்"	"44/00 கடர்
கோரக்பூர்-504549"
"நப்பசலையார்"	"9/3 ஆதிசக்தி வதனி
ஜல்கான்-818980"
"இசைக்கோ"	"815 மணிமாறன்
இராஜபாளையம், விருதுநகர் மாவட்டம்-287923"
"தணிகேவேலன் இசைவேந்தன்"	"67/007 தங்கம்மா
மொரதாபாத் 559288"
"பரமேஷ்வரி நளாயினி"	"9/6 பத்ராகன் பத்மா
மதுரை-893673"
"உதயச்சல் ஸுமா"	"974 ஏக்ராம்
ராய்ப்பூர் 173581"
"கஜோல் ஷாலு"	"9/2 நடவரசி தணிகைமுருகு
போபால் 837311"
"எகாம்பரம் ஹம்சவர்த்தினி"	"76/85 வமகேஷி
சூரத்-299212"
"எழிலோவியம்"	"61 ஹரிதா ஆட்டநத்தி
பாவ்நகர் 002257"
"ராஜசேகர்"	"342 ஸத்யா நம்பிகுட்டுவன்
அஜ்மீர்-879766"
"ஆதவன்"	"6/4 நன்மொழியன் வசுதாரிணி
ஜம்சேத்பூர் 503573"
"ஷர்மிஸ்தா உத்தவ்"	"6/0 ஆடலரசு ரகுபதி
குடியாத்தம் 843568"
"ரீனா தங்கமணி"	"2963 ஸ்ரீகமா
பிரோசாபாத் 405322"
"உபதேஷ்"	"01/0843 ஆடற்கோமகள்
குண்டூர்-918606"
"ஏழிசைப்பாமகள்"	"9/8 நல்லிசை
காஞ்சிபுரம் 131448"
"கடம்பன்"	"2/6 இசையாளன் ஆடற்செல்வி
மொரதாபாத் 987151"
"இசைச்செல்வம்"	"079 ரங்கநாயகி ஆண்டர்ஸன்
அகமத்நகர்-390274"
"ஏலா"	"25 ஆதித்தி
குமாரபாளையம் 057999"
"ஸுப்ரீத் வத்ஸலா"	"63 ஆதிகுணா
கோயம்புத்தூர் 001482"
"வத்ஸலா"	"3772 பஜன் உமாமகேஷ்வரி
அஜ்மீர் 940195"
"ஆதவன்"	"69/4936 ஆதிசங்கரா இசையறிவன்
மதுரை-976277"
"வமகேஷி வடிவரசி"	"71/7527 கண்ணையன் இசையாளன்
ஜாம்நகர்-845233"
"பத்ரநிதி"	"47/635 ஸஹிரா தணிகைமுருகு
தில்லி 538156"
"ஷ்ராவண்"	"0/8 சத்தியலிங்கம்
கயா-090094"
"உதயசந்திரிகா கங்கைகொண்டான்"	"9 ஆதித்தமிழ் ஷிகா
மும்பை பெருநகர்-406870"
"அகில்"	"7 சச்சிதாநந்தம் பகவத்
திண்டுக்கல் 680021"
"ஏந்திழை"	"87/3870 ஷோபன்
அகமத்நகர்-390566"
"ஷத்ருஞ்ஜய்"	"46/7637 சஜனி
ஆசன்சோல்-328444"
"வடிவேலன்"	"8/3 ஆசைத்தம்பி வரதராஜ்
தன்பாத்-970393"
"பவளக்கொடி"	"8 ஒளியவன்
சென்னை 679677"
"ஆதி"	"12/625 ஷபீர் சங்கரி
காஞ்சிபுரம் 068852"
"ஏழிசைக்கலை நறுமுகை"	"1/9 ரம்யா உத்பலா
பெல்காம்-169848"
"பவித்ரா"	"62 ஐஸ்வர்யா
திருநெல்வேலி-774230"
"எழிலேந்தி ரமணி"	"0/0 ஸ்ரீகமா
மங்களூர் 151223"
"கதிர் யோகேஷ்"	"0611 இசையமுதம் ஆடலரசி
ஆசன்சோல் 279109"
"ஹேமந்தினி"	"15/6992 ஷபீர் பகலவன்
கோலாப்பூர்-858871"
"ஸ்ரீநிவாஸ்"	"976 உலகிறை
ரூர்கேலா-761646"
"எழிலாம்பல் தங்கவேல்"	"4/4 ஹம்சா
காஜுவாகா-938970"
"உன்மேஷ்"	"0/7 கனியமுது ராஜீவ்
புவனேசுவர்-735168"
"ரித்திகா"	"9 ஆதியரசி
பிகானேர்-712232"
"ஆதி"	"3 ராணி
ஜம்மு 507821"
"அகலன்"	"50/68 கடம்பன் உதயவன்
ராமகுண்டம்-062601"
"ஏகலைவன்"	"6/5 இசைமறை
அம்ரித்சர் 103856"
"கனிகா"	"5/4 ஒளி சகுண்
குடியாத்தம்-143938"
"ஸ்ராவந்தி சங்கீதா"	"049 ஸ்ரீகமா
கடலூர்-956008"
"நன்னூலன் மணிக்கதிர்"	"6/3 எழிற்குவளை வள்ளிமணாளன்
அகமத்நகர்-089892"
"தணிகைமுருகு"	"55 யோகவல்லி அங்கம்மாள்
சண்டிகர் 408888"
"இசை"	"17/06 மணியரசன்
ஜல்கான்-827647"
"யூகேஷ்"	"08/93 ஷாந்தி
திருப்பூர் 733920"
"ராகினி நக்கீரர்"	"0/7 அக்ரோதனன்
ஜம்சேத்பூர்-599054"
"ஆதி"	"429 ரஃபி
அலிகார் 148011"
"யூவரானி"	"5/9 ஏகாபரனா
வேலூர்-960724"
"வரதராஜ் இக்ஷூ,"	"963 இசைச்செல்வம்
மதுரை-018121"
"வசுமதி அச்சுதானந்தன்"	"089 தனக்கோட்டி ஒளியவன்
பிரோசாபாத் 634511"
"இசையாளன்"	"7 சங்கு ஸ்ரீவல்லி
பரேலி 654203"
"இசையழகன்"	"941 நந்தா
கோரக்பூர் 803480"
"யோகமலர்"	"1/7 ரக்ஷிதா கதிர்க்குமரி
தாவண்கரே 757815"
"நன்னாடன் யோகமலர்"	"17/28 அகில் ஏழிசைக்கனல்
ஹுப்ளி-தர்வாத்-511181"
"தங்கவேல் தங்கபாப்பா"	"98/27 கதிர்மாமணி இந்துகலா
பாவ்நகர்-950201"
"அகமதி"	"30/1228 ஆதியரசி ஆதிமூர்த்தி
விசாகப்பட்டினம் 731426"
"ஆதிகேசவன் அகோரா"	"9 அச்சலா
கொச்சி-534574"
"ஸ்ராவந்தி"	"3767 இசையேந்தல்
கோர்பா-329637"
"ஒள்ளறிவன் நவீனா"	"58/8573 தங்கம்மா
திருப்பூர் 026444"
"ஷாமினி ஒட்டக்கூத்தர்"	"33/9012 மணியம்மை எழிலழகி
இராணிப்பேட்டை 331069"
"கணையாழி அக்னி"	"38 நாகவல்லி பத்ரிநாராயணன்
திருப்பூர்-065938"
"நன்னாயகம்"	"08/454 ஸரயூ ஆதிமகள்
காஜுவாகா 837168"
"உதர்"	"811 கனிகா எட்டப்பன்
அவுரங்கபாத்-155520"
"ஷதா"	"16/3308 சங்காரம்
ஈரோடு-295291"
"சத்யமூர்த்தி"	"427 தங்கமுத்து
கோரக்பூர்-947738"
"உமாமகேஷ்வரி வரதராஐன்"	"1/1 இடைக்காடர்
பாவ்நகர்-588898"
"ஆதிகேசவன் அங்கவை"	"8 தனபாக்கியம்
இராணிப்பேட்டை-394815"
