"Adrian Aasen"|"Bøeplassen 64, 8771 Aas" 
"Espen-Thor Evensen"|"Olsenjordet 4, 4943 Haug"
"Per-Pål Rasmussen"|"Hansenskrenten 45A, 2782 Holm"
"Hege Kristiansen"|"Jakobsenlyngen 447, 2109 Abrahamsen"
"Asbjørn Olsen"|"Myhrealléen 75F, 5539 Jacobsen"
"Sander Rønning"|"Ellingsenåsen 327, 4469 Steinbø"
"Dag Gundersen"|"Aasenhøgda 7, 8604 Sisselvik"
"Anne Ellingsen"|"Amundsenalléen 704, 6961 Olavstad"
"Jørgen Abrahamsen"|"Gulbrandsenstranda 28, 7104 Halvorsen"
"Solveig Engen"|"Lundjordet 6, 1419 Ninavær"
"Camilla Ruud"|"Karlsenbråten 4C, 8009 Dagnes"
"Sondre Olsen"|"Knudsenrøa 6, 3654 Ellingsen"
"Finn Hauge"|"Ahmedtunet 77, 1953 Dahl"
"Reidun-Jenny Moen"|"Gulbrandsenskogen 9, 9062 Hagen"
"Sebastian-Kjell Vik"|"Paulsengropa 5, 4797 Myklebust"
"Sigurd Iversen"|"Ahmedtunet 51, 4878 Liseeid"
"Dag Jakobsen"|"Myklebustkroken 10, 4398 Myklebust"
"Kjetil Holm"|"Paulsengrenda 89, 3850 Knutsen"
"Håkon Henriksen"|"Fredriksenfaret 5A, 8099 Asbjørnøy"
"Sander Arnesen"|"Mikkelsenlia 17, 7058 Gundersen"
"Nils Berge"|"Jakobsenskrenten 8G, 4060 Annavik"
"May-Nora Johansen"|"Jakobsenløkka 59, 2517 Berge"
"Siv Mikkelsen"|"Hagentoppen 46, 6022 Tonefjord"
"Odd Olsen"|"Bøeholtet 89C, 1739 Brekke"
"Dr. Tor Johnsen"|"Aaslyngen 25, 2196 Sondreø"
"Håkon Solheim"|"Christensenåsen 5, 5979 Jakobsen"
"Dag-Asbjørn Karlsen"|"Bergskrenten 6, 5114 Bjørgstad"
"Solveig Sørensen"|"Lundlunden 46, 2682 Gulbrandsen"
"Hege Abrahamsen"|"Knutsenhagen 4, 3226 Trineberg"
"Alf Eide"|"Solbergroa 38C, 2852 Markusø"
"Tove Abrahamsen"|"Eideholtet 9, 4665 Christensen"
"Alf-Magnus Hagen"|"Andreassenhaugen 1, 2137 Bentefoss"
"Nina Johannessen-Vik"|"Halvorsenmoen 93, 2614 Gundersen"
"Thor Mikkelsen"|"Edvardsenjordet 6, 9315 Berge"
"Bjørg Fredriksen"|"Aasbakken 02, 6864 Birkeland"
"Asbjørn Myhre"|"Hagenmyra 84, 7656 Solheim"
"Dag-Bjørn Sæther"|"Simonsenkroken 193, 1713 Kristensen"
"May Andreassen"|"Bakkengata 2D, 8559 Siljestrand"
"Vilde Bakken"|"Ahmedtjernet 65H, 5019 Kristindal"
"Dr. Jon Evensen"|"Nilsenskrenten 8, 7947 Hagen"
"Martin Lien"|"Iversenvika 86C, 2398 Berntsen"
"Alf Ali"|"Tveitflata 9, 9328 Malineid"
"Kjetil Johansen"|"Nilsenvika 53B, 7724 Martinby"
"Randi Mikkelsen"|"Svendsenplassen 32, 0306 Abrahamsen"
"Jon Kristiansen"|"Kristianseneggen 4, 5094 Iversen"
"Jørgen Lund"|"Danielsenrøa 89, 4867 Nilsbø"
"Dag-Morten Isaksen"|"Lundstien 298, 2196 Hagen"
"Tove Eide"|"Kristensentoppen 6, 9625 Espenstad"
"Kåre Ødegård"|"Fredriksenskrenten 2, 0014 Paulsen"
"Vilde-Reidun Mathisen"|"Kristoffersenskogen 715, 3425 Johannessen"
"Jan Sørensen"|"Rasmussenvika 60F, 7312 Thomassen"
"Øystein Ali"|"Martinsenstranda 74, 2793 Håvardhamn"
"Johan Andersen"|"Johannessenlyngen 736, 2976 Frodefoss"
"Sebastian Aune"|"Aasbråten 003, 3054 Ninavik"
"Maren Johnsen-Andreassen"|"Johnsenkollen 19, 5993 Anetteås"
"Stein Hagen-Solheim"|"Hauglandgjerdet 4, 8276 Jacobsen"
"Daniel Aas"|"Brekkebråten 42B, 1610 Kristoffersjøen"
"Johannes Rønning"|"Strandflata 24A, 4467 Jorunnsund"
"Tore Jensen"|"Bergestykket 429, 9830 Næss"
"Solveig Sørensen"|"Nilsengata 021, 2532 Tonjesand"
"Alf Jørgensen"|"Ellingsenstien 5, 0765 Mikkelsen"
"Malin Dahl"|"Ahmedstubben 5, 0937 Kjerstistrøm"
"Marie Karlsen"|"Amundsenengen 8, 0427 Bakke"
"Dr. Einar Aasen"|"Haugenvika 62E, 2676 Annstrand"
"Johan Hanssen"|"Gulbrandsenplassen 8, 9113 Reidunsjøen"
"Kristoffer Lie"|"Strandspranget 01, 7778 Knutsen"
"Daniel Eliassen"|"Paulsenrøa 8B, 5289 Rolfbø"
"Johannes Mikkelsen"|"Solheimhøgda 6, 9407 Irenesjøen"
"Eivind Karlsen-Haug"|"Knutsenmyra 8C, 7156 Paulsen"
"Roger-Stian Birkeland"|"Eriksenmarka 9, 2270 Bakke"
"Emma-Marie Simonsen"|"Solbergroa 2, 3384 Sandvik"
"Kjell Sæther"|"Strandhøgda 8, 9501 Isaksen"
"Jenny Hagen"|"Mathisenstykket 7, 3491 Sveindal"
"Roy Berge"|"Fredriksenbråten 4, 8015 Ingeborgsand"
"Per Jenssen"|"Moenskrenten 7, 5152 Olsen"
"Finn Sivertsen"|"Isaksenalléen 3, 6732 Antonsen"
"Daniel Jenssen"|"Karlsenhagen 3, 4346 Kjerstihelle"
"Astrid Amundsen-Knudsen"|"Nielsengrenda 3C, 4841 Ceciliesund"
"Hanna Ahmed"|"Lundtjernet 55B, 2243 Gulbrandsen"
"Kjersti Fredriksen"|"Rønningeggen 1, 6001 Dahl"
"Tommy-Stein Svendsen"|"Andreassenbråten 9, 6967 Johnsen"
"Irene Fredriksen"|"Haugenringen 528, 1429 Thomassen"
"Svein Bakken"|"Moengropa 4C, 9907 Danielø"
"Inger Mikkelsen"|"Nielsenbakken 7B, 3189 Kristensen"
"Kirsten-Emma Haugen"|"Pedersenbakken 2B, 3316 Jensen"
"Janne Jensen-Haug"|"Liehøgda 13A, 1607 Steinsand"
"Daniel Nguyen"|"Martinsenhaugen 02E, 1284 Haug"
"Anne Engen"|"Hauglandstien 1, 6947 Isaksen"
"Ola Knudsen"|"Bakkesvingen 928, 8651 Thomassen"
"Anette Johnsen"|"Jakobsentoppen 61, 8271 Halvorsen"
"Emilie Martinsen"|"Jenssenkroken 2, 1907 Runeeid"
"Elin Bøe"|"Bakkenroa 3, 4120 Ødegård"
"Sander Ahmed"|"Ahmedgjerdet 85C, 9869 Sebastiansjøen"
"Roger-Øystein Knutsen"|"Knudsenhøgda 8, 2363 Randiø"
"Gro Hauge-Kristiansen"|"Lundstubben 11, 3644 Jacobsen"
"Laila Myhre"|"Evensenroa 9, 7836 Solberg"
"Daniel Sandvik"|"Arnesenskogen 4, 4640 Ingridgrunn"
"Torill Henriksen-Thorsen"|"Bakkenvollen 4F, 7155 Strand"
"Siri Berntsen-Rasmussen"|"Larsenmoen 6, 1156 Kennethsand"
"Kåre Madsen"|"Moetunet 3C, 6028 Gulbrandsen"
"Solveig Helland"|"Næssholtet 7, 3924 Halvorsen"
"Åse Andresen"|"Hellandfaret 04, 4754 Karenfoss"
"Olav Abrahamsen"|"Kristensentoppen 81, 7355 Mikkelsen"
"Kjetil Jakobsen"|"Sæthergjerdet 6, 1715 Mathiasodden"
"Julie-Janne Iversen"|"Solheimmarka 818, 1495 Strand"
"Ida Sæther"|"Moebråten 51, 2078 Kristiansen"
"Daniel-John Karlsen"|"Alibakken 43, 0098 Madsen"
"Marius Bøe"|"Nilsenplassen 768, 5816 Jørgensen"
"Hilde-Karin Solberg"|"Fredriksenmoen 7G, 4512 Karenhavn"
"Nina Hansen"|"Simonsenmyra 4, 4760 Myhre"
"Sara Johannessen"|"Strandstubben 65D, 9492 Kristoffersen"
"Kirsten-Sigrid Mikkelsen"|"Nguyengata 591, 8827 Andresen"
"Rita Moe"|"Nilsenskrenten 1C, 2552 Cathrineodden"
"May Bakke"|"Edvardsenalléen 012, 9441 Karenhavn"
"Ole Gulbrandsen"|"Sætherholtet 85, 5510 Kristiansen"
"Stine Brekke"|"Halvorsenmoen 5, 0819 Hauge"
"Dr. Adrian Martinsen"|"Kristiansenkroken 7, 4517 Karlsen"
"Sondre Ali"|"Dahllia 89, 5360 Grogrunn"
"Joakim Solheim-Eide"|"Ahmedplassen 8, 6321 Moen"
"Emma Eliassen"|"Kristoffersenmarka 01C, 4848 Bakke"
"Laila-Randi Martinsen"|"Tangenkollen 2, 9426 Eirikvåg"
"Heidi-Martine Kristiansen"|"Mikkelsenskogen 522, 9571 Moe"
"Tor Myklebust"|"Pedersenstykket 3G, 5690 Iversen"
"Gro Hauge"|"Bakkeholtet 6C, 7874 Cecilieodden"
"Reidun Moen"|"Brekkespranget 4, 9521 Larsmark"
"Frode-Knut Myklebust"|"Gundersenhavna 307, 8737 Solberg"
"Dr. Anders Kristiansen"|"Simonsenløkka 2A, 7373 Vegardnes"
"Julie Haugen"|"Hagenbråten 4, 7016 Eide"
"Emil Iversen"|"Nguyenvollen 68, 3859 Egilhamn"
"Stig Sæther"|"Engenstien 02C, 4646 Pedersen"
"Steinar Christensen"|"Solheimtjernet 05C, 2718 Nilsen"
"Johan-Kim Jakobsen"|"Bergeløkka 8, 9515 Pettersen"
"Daniel Andresen"|"Eideeggen 972, 6700 Nilsen"
"Gerd Sivertsen"|"Halvorsentjernet 480, 1349 Birkeland"
"Martin Ødegård"|"Bergebakken 9, 3603 Holm"
"Ingrid Birkeland"|"Simonsengata 83, 4065 Egilfoss"
"Dr. Anders Sørensen"|"Jacobsenhagen 4, 4923 Iversen"
"Håkon-Andreas Thomassen"|"Edvardsenplassen 1F, 4454 Paulsen"
"Steinar-Morten Bøe"|"Sivertsenfaret 504, 7731 Kennethby"
"Prof. Frank Nielsen"|"Pedersengrenda 7, 9375 Sivertsen"
"Linn Berge"|"Sørensenmoen 4B, 5239 Gulbrandsen"
"Lene Lunde"|"Andersenhøgda 97, 4027 Tveit"
"Emma-Ann Haugen"|"Kristiansengata 6B, 4559 Marteø"
"Jonas Aune"|"Hanssenengen 9, 0388 Åseodden"
"Karen-Inger Karlsen"|"Olsenstien 71, 1651 Sindregrunn"
"Sander Ahmed"|"Brekkemoen 5, 4726 Henriksen"
"Dr. Arild Christensen"|"Abrahamsenløkka 8, 4357 Pettersen"
"Geir Halvorsen"|"Bergvollen 4, 8785 Siljevåg"
"Kari Andresen"|"Jakobsenmarka 54, 9602 Kristensen"
"Anders Hagen"|"Sørensenløkka 26E, 8616 Mathisen"
"Marte Nielsen"|"Sivertsenfaret 4, 1206 Knudsen"
"Thea Hanssen"|"Brekkeengen 8, 6736 Arnesjøen"
"Emilie Aune"|"Strandengen 4, 7998 Haraldby"
"Dr. Kim Ruud"|"Andersengjerdet 10, 6825 Nguyen"
"Synnøve Lie"|"Pettersenbråten 5, 3092 Knudsen"
"Heidi-Unni Larsen"|"Liestranda 3, 2305 Berge"
"Dr. Arne Haugland"|"Sandvikbråten 4, 9818 Idaby"
"Inger Lien"|"Eidetjernet 7C, 8388 Jennyfjell"
"Marie Svendsen"|"Amundsenfaret 883, 6201 Torfjord"
"Hanna Eriksen"|"Thorsenbakken 7, 4751 Tommystad"
"Tommy-Jens Ahmed"|"Næssmarka 52, 0776 Tveit"
"Hilde-Sara Gulbrandsen"|"Kristensenrøa 3, 1786 Marithamn"
"Prof. Sindre Nilsen"|"Myklebusttunet 14F, 9263 Jorunnberg"
"Sara Ahmed"|"Hanssenengen 1, 0714 Stinestrand"
"Kjetil Ruud"|"Evensengropa 2, 1834 Mortenhamn"
"Prof. Stig Karlsen"|"Lienflata 960, 7936 Sindrehavn"
"Dr. Bjørn Pettersen"|"Knutsenbakken 46C, 7212 Bjørnmark"
"Britt Johnsen"|"Simonsengata 82, 2321 Mikkelsen"
"Åse Jacobsen"|"Haugeringen 56, 6259 Kristinesand"
"Jan Gundersen"|"Auneflata 11, 7896 Martinsjøen"
"Ivar Knutsen"|"Iversengropa 07, 5886 Brekke"
"Hans-Daniel Kristoffersen"|"Eideskrenten 2, 1240 Sofiedal"
"Hege Sæther"|"Knutsengrenda 2C, 3396 Bakken"
"Cathrine Lien"|"Abrahamsenmarka 77E, 7018 Aas"
"Sigurd Nilsen"|"Moenflata 4A, 7302 Sanderstrand"
"Hanna Hauge"|"Næssmarka 12G, 6721 Bjørnøy"
"Dr. Eirik Sæther"|"Martinsenroa 2, 0456 Jakobsen"
"Hege Karlsen"|"Hansenlia 4B, 9838 Sæther"
"Irene Jenssen"|"Eliassenrøa 6, 7393 Ahmed"
"Kristian Brekke"|"Moenhavna 1, 4537 Jacobsen"
"Ola Larsen"|"Nguyenstranda 41, 7764 Bøe"
"Svein Amundsen"|"Iversenhøgda 8, 0144 Kennethhamn"
"Henrik Eliassen"|"Bakkejordet 691, 9493 Næss"
"Terje Christensen"|"Vikekra 22, 7359 Olsen"
"Terje Jacobsen"|"Halvorsenløkka 3, 8257 Alexanderøy"
"Dr. Eivind Solberg"|"Vikåsen 924, 4603 Solheim"
"Dr. Erik Mikkelsen"|"Arnesenberget 784, 8736 Haug"
"Steinar Eliassen-Ellingsen"|"Eidestubben 46, 0874 Rasmussen"
"Julie Moe"|"Bakkelunden 15, 2985 Nygård"
"Robert Solheim-Thomassen"|"Ahmedgjerdet 7B, 0645 Jakobsen"
"Dag Strøm"|"Dahlåsen 3, 5075 Jensen"
"Hanna Kristiansen"|"Evensenvollen 3E, 7608 Hansen"
"Julie Andersen"|"Jenssenstien 76C, 4446 Evensen"
"Ellen-Else Jakobsen"|"Thorsenskrenten 22, 5169 Eliseby"
"Sigrid Hagen"|"Aliløkka 68, 6958 Ingerstrøm"
"Siv Solheim"|"Eidehavna 5, 9255 Mathisen"
"Dr. Erling Haug"|"Strømsvingen 5, 1218 Tonestad"
"Camilla-Marianne Sørensen"|"Hanssengjerdet 47C, 2146 Eiriksand"
"Helene Johansen-Lunde"|"Bergstien 74, 2024 Sigurdø"
"Silje Evensen"|"Lundåsen 4, 7880 Solveigås"
"Jørgen-Svein Berg"|"Hauglandplassen 4, 8943 Olavdal"
"Eirik Iversen"|"Edvardsenkollen 2, 0749 Kirstenås"
"Arne Myklebust-Jenssen"|"Simonsenjordet 084, 4107 Bjørghelle"
"Ivar-Robert Nilsen"|"Aliringen 140, 9541 Trinehelle"
"Dr. Joakim Eriksen"|"Danielsengata 46, 1019 Pedersen"
"Frank Nielsen"|"Solbergholtet 1, 9829 Paulsen"
"Dr. Finn Arnesen"|"Ellingsenmyra 9, 9718 Turidstad"
"Hans Eide"|"Jørgensenstubben 85, 0520 Edvardsen"
"Hege Berg"|"Alistubben 3, 2421 Alexanderbø"
"Grethe Nygård"|"Aasbakken 6, 3754 Steinarås"
"Heidi-Kjersti Strøm"|"Ruudvollen 7, 4930 Ellingsen"
"Espen Evensen"|"Rasmussenalléen 3, 2725 Jannesjøen"
"Kristoffer-Henrik Simonsen"|"Bakkenhagen 877, 8330 Moe"
"Finn-Johan Amundsen"|"Hauglandplassen 2, 7379 Ødegård"
"Arild-Erik Jørgensen"|"Edvardsenmyra 3, 4754 Ruud"
"Vegard Tangen"|"Andersenhavna 99H, 0844 Strøm"
"Dr. Finn Birkeland"|"Andersenmyra 9, 2022 Hanssen"
"Kim Thomassen"|"Moejordet 7E, 0474 Jensen"
"Egil Ali"|"Liestranda 20, 0584 Vik"
"Dr. Odd Moen"|"Pettersenfaret 92, 6936 Tveit"
"Astrid Vik"|"Vikgrenda 10, 2223 Geirnes"
"Trond Christensen"|"Lienhøgda 7, 9656 Sivertsen"
"Kirsten Kristensen"|"Sørensenstykket 3F, 9807 Myhre"
"Stian Olsen"|"Christensenstykket 18, 9439 Knudsen"
"Stine Myklebust"|"Jacobsenbråten 11H, 4872 Turidmark"
"Jens Gulbrandsen"|"Hauglandroa 59B, 8435 Johnsen"
"Dr. Frank Andersen"|"Ellingsengata 9A, 7673 Myhre"
"Knut Strøm"|"Knutsenmyra 10B, 6475 Ceciliemark"
"Grete Nguyen"|"Nguyenfaret 84, 2790 Finnby"
"Ola Engen"|"Aasflata 8, 9012 Solheim"
"Liv-Trine Fredriksen"|"Knutsenløkka 54, 9156 Siljeøy"
"Sebastian Lund"|"Jacobsenstien 7F, 3358 Tovevik"
"Gunn Arnesen"|"Berntsentunet 63, 4578 Kjerstines"
"Daniel Kristoffersen-Myhre"|"Svendsenberget 9, 2741 Haugland"
"Nora Svendsen"|"Hansenvika 7C, 7376 Sisseldal"
"Kirsten Eliassen"|"Bergekra 4, 2700 Ali"
"Dr. Frank Sæther"|"Holmstien 61C, 6749 Eliassen"
"Trond Nielsen"|"Haugstykket 7, 2365 Kåreborg"
"Gunn Kristoffersen"|"Ahmedrøa 07D, 9109 Jensberg"
"Ellen Christensen"|"Antonsenstranda 7, 3327 Tangen"
"Dr. Terje Haugland"|"Nilsenfaret 6C, 9745 Abrahamsen"
"Sverre Ødegård-Edvardsen"|"Bakkestykket 5, 8706 Einarfjord"
"Stein Sæther"|"Kristiansenhagen 62, 9919 Moe"
"Karoline Thorsen"|"Mathisenmarka 5C, 9176 Monaås"
"Vegard Gulbrandsen"|"Engengrenda 83, 7699 Lie"
"Einar Holm"|"Bakkenhaugen 9, 5193 Tommyvåg"
"Dr. Frode Kristiansen"|"Haugevika 33, 8562 Nilsen"
"Siri Moe"|"Myklebusthavna 60, 8255 Reidunsjøen"
"Johannes Iversen"|"Antonsenspranget 2, 9000 Haug"
"Andreas Aas"|"Olsenbråten 3, 6996 Knutsen"
"Lars Kristensen"|"Knudsenstranda 8, 1397 Knudsen"
"Knut Hansen"|"Solbergekra 24F, 5777 Ivarfoss"
"Hilde Thomassen"|"Johannessentjernet 6, 5417 Berge"
"Kenneth Kristiansen"|"Johansenskrenten 999, 2207 Helland"
"Bjørg Arnesen"|"Nygårdeggen 5, 3710 Helgegrunn"
"Roger Nilsen"|"Bakkenplassen 99, 5065 Knutsen"
"Dr. Geir Kristensen"|"Rasmussenengen 1G, 3364 Berg"
"Elisabeth Iversen"|"Mathisenskogen 9B, 3749 Lien"
"Marius-Erik Bøe"|"Strømhaugen 396, 2766 Rønning"
"John Jørgensen"|"Tangenberget 6, 1246 Christensen"
"May Holm"|"Thorsenlunden 13B, 0713 Andreassen"
"Anders Sæther"|"Pedersenrøa 60, 0374 Mortenstad"
"Petter Sivertsen"|"Fredriksenhagen 03E, 7284 Helland"
"Knut Gulbrandsen"|"Karlsenbråten 53, 6778 Emmastrand"
"Irene Moe"|"Bergåsen 3E, 8369 Larseid"
"Arild Lunde"|"Aassvingen 40A, 8251 Karlsen"
"Dr. Jens Hanssen"|"Thorsengrenda 1, 7862 Sivertsen"
"Karl Halvorsen"|"Ødegårdmoen 288, 0564 Iversen"
"Vegard-Frank Gulbrandsen"|"Moeløkka 6, 9959 Pedersen"
"May Jenssen"|"Hellandvollen 20, 1867 Haug"
"Anette Henriksen-Ali"|"Hagenstykket 3D, 8185 Janfjell"
"Kjell Amundsen"|"Kristoffersenflata 476, 9902 Jorunngrunn"
"Nils-Harald Thomassen"|"Mathisentjernet 56A, 8872 Bøe"
"Markus Haugland"|"Engenlia 6, 1497 Bakke"
"Sofie-Bjørg Jenssen"|"Rasmussengjerdet 7, 6443 Nguyen"
"Grete Pettersen"|"Lundeåsen 74A, 8411 Magnegrunn"
"Dr. John Madsen"|"Jenssenløkka 5, 9332 Berge"
"Emilie Lie"|"Tveitskrenten 45, 1959 Perhamn"
"Britt-Nina Lien"|"Nielsenmarka 44A, 0705 Stianhamn"
"Sondre Evensen"|"Sætherhaugen 81, 2022 Ødegård"
"Sigurd-Tor Lunde"|"Vikgropa 38E, 1420 Markushelle"
"Kjersti Lund"|"Holmstien 29E, 2699 Halvorsen"
"Kirsten Aas-Andersen"|"Vikvollen 3, 9205 Tveit"
"Jens-Tom Gundersen"|"Evensenstubben 20F, 0538 Eide"
"Frank Kristensen-Simonsen"|"Madsengjerdet 746, 7296 Johansen"
"Harald Thomassen"|"Henriksenmyra 36B, 6181 Alfvik"
"Dr. Jørgen Moen"|"Kristiansenjordet 034, 1847 Adrianhavn"
"Dr. Helge Sørensen"|"Eliassenringen 87C, 3768 Thomassund"
"Anita Helland"|"Knudsenbakken 3, 8117 Roarfjord"
"Johannes Isaksen"|"Eliassenjordet 865, 8963 Hildeås"
"Jorunn Kristensen"|"Nygårdringen 9, 5211 Haugland"
"Karen Paulsen"|"Halvorsenstien 1, 2385 Mikkelsen"
"Ruth Evensen"|"Jørgensenhaugen 22, 2863 Vidarvåg"
"Anders-Martin Karlsen"|"Lienplassen 12F, 4074 Adrianstrøm"
"Arild Edvardsen"|"Hellandstien 729, 2297 Thomassen"
"Lars-Andreas Martinsen"|"Berntsenmoen 1H, 7441 Lund"
"Dr. Kim Mathisen"|"Hagenstykket 83G, 3064 Haugland"
"Ragnhild-Hilde Jakobsen"|"Pedersenløkka 45C, 0566 Norastad"
"Maria Kristensen"|"Andresenlia 37, 2897 Birkeland"
"Alexander Sørensen"|"Pederseneggen 6, 9695 Ritavær"
"Prof. Vidar Fredriksen"|"Dahlspranget 070, 6833 Lie"
"Tove Bakken-Aasen"|"Lienalléen 39, 7238 Rønning"
"Julie-Nina Tveit"|"Petterseneggen 88, 5364 Nguyen"
"Sigrid Eide"|"Bakkegrenda 14, 8485 Gundersen"
"Maren Rasmussen"|"Hansenmoen 1B, 0769 Wenchesand"
"Morten Gulbrandsen"|"Ødegårdengen 990, 2873 Johnstrøm"
"Dr. Kjetil Andersen"|"Nguyenstubben 54B, 6241 Emilieø"
"Laila-Sigrid Olsen"|"Jørgensengata 215, 0127 Bjørgøy"
"Reidun Jensen"|"Jørgensenlunden 79, 1654 Andersen"
"Sander Strand"|"Lundevika 8, 0932 Brittås"
"Ivar Arnesen"|"Lientoppen 56C, 8851 Eriksen"
"Odd Kristoffersen"|"Andresenstien 2A, 8871 Audfjell"
"Trond Tveit"|"Jenssenmyra 17A, 6158 Nilsen"
"Hanne-Lise Nilsen"|"Nielsenfaret 1, 0349 Elsegrunn"
"Jenny Jenssen"|"Næssmoen 998, 6981 Elisabethhamn"
"Elisabeth Andresen"|"Gundersenplassen 31C, 0587 Haug"
"Dr. Kjetil Gulbrandsen"|"Knutsenlyngen 5B, 2004 Cathrinestrøm"
"Laila Rasmussen-Aasen"|"Abrahamseneggen 2C, 5856 Tveit"
"Solveig Sandvik-Andreassen"|"Hauglandbråten 2, 1849 Sørensen"
"Thor Halvorsen"|"Andresenåsen 9, 3536 Gunnvær"
"Sebastian-Thor Jørgensen"|"Ellingsenalléen 7, 4726 Christensen"
"Torbjørn Berg"|"Berntsenringen 084, 1541 Moen"
"Arne Eide"|"Johnsenhøgda 2B, 7398 Martinefjell"
"Ola Hauge"|"Eriksenlunden 5, 0065 Magnevik"
"Kari Berntsen"|"Antonsenalléen 110, 1260 Svendsen"
"Cathrine Næss"|"Jacobsengjerdet 54, 1201 Johnsen"
"Dr. Kjetil Halvorsen"|"Andresenkroken 52, 4942 Karlstrand"
"Kenneth Andresen"|"Rønningjordet 6, 4521 Berntsen"
"Tonje Myklebust"|"Moelia 5B, 7306 Bøe"
"Espen Ruud"|"Nguyenflata 60A, 9654 Magnehelle"
"Helene Andresen"|"Sandviksvingen 8, 8333 Strand"
"Geir-Alexander Fredriksen"|"Sørensentunet 9, 8155 Beritøy"
"Kjetil Ruud"|"Mikkelsenåsen 4C, 6544 Tomberg"
"Marte-Anne Strand"|"Aasenlia 9, 1766 Jonassjøen"
"Tommy-Olav Ruud"|"Pettersenåsen 460, 0727 Edvardsen"
"Anita-Martine Jenssen"|"Johansentoppen 11D, 5088 Ali"
"Dr. Kjetil Haugen"|"Halvorsenhaugen 04, 4770 Rogernes"
"Jan Eide"|"Evensenberget 1, 5698 Moe"
"Svein-Finn Myhre"|"Danielsenberget 16A, 9747 Øysteinfjord"
"Marianne Hansen"|"Jensentunet 31, 2628 Vegardby"
"Kristin-Grete Hanssen"|"Pettersenmarka 06, 2680 Isaksen"
"Alf Ahmed"|"Lundemyra 03A, 5531 Lie"
"Gunn Pedersen-Mathisen"|"Abrahamsenmyra 198, 9061 Hegefjell"
"Stig Dahl"|"Sandvikmarka 1, 8383 Håvardfoss"
"Arild Ødegård-Svendsen"|"Ruudplassen 596, 5581 Nilsen"
"Mette Haug"|"Berntsenlunden 06D, 4391 Jansand"
"Dr. Knut Henriksen"|"Eliassenkollen 2, 9467 Beritsand"
"Sondre Kristiansen"|"Solheimplassen 196, 1113 Sarafoss"
"Sara Martinsen"|"Jenssenholtet 2, 0810 Stiansand"
"Ivar Evensen"|"Christensenløkka 6, 6085 Christianstrand"
"Elisabeth Myhre"|"Pedersengropa 4, 3390 Gretesund"
"Turid Bakken"|"Hauglandvika 52, 8646 Næss"
"Jørgen Berg"|"Sætheralléen 7, 9080 Ragnhildgrunn"
"Andreas Larsen"|"Strandhagen 3H, 7111 Gulbrandsen"
"Einar Danielsen"|"Aliengen 4, 2874 Birkeland"
"Cecilie-Liv Eriksen"|"Tveitringen 2, 5122 Sæther"
"Dr. Knut Isaksen"|"Martinsenvika 60, 4636 Eirikgrunn"
"Elisabeth Arnesen"|"Amundsenstykket 55, 5982 Johanvik"
"Jorunn Sandvik-Karlsen"|"Lundeplassen 01, 3378 Rolffjell"
"Stine-Bjørg Bakken"|"Amundsengrenda 2, 7344 Sørensen"
"Henrik-Rune Strand"|"Kristiansengropa 9, 8834 Lailabø"
"Karoline Eriksen"|"Andreassenhagen 06, 5084 Vildestrand"
"Gunnar Moen"|"Johnsenstranda 3, 0500 Eide"
"Arne Strøm"|"Sætherkollen 44E, 0079 Ali"
"Stein Lund-Johannessen"|"Vikmarka 9, 2063 Jakobsen"
"Ivar Lunde"|"Mikkelsenroa 8D, 9363 Mariesjøen"
"Dr. Knut Mathisen"|"Pettersenengen 11A, 1713 Martinsen"
"Tone Hauge"|"Hansentjernet 40, 5754 Lien"
"Odd Isaksen-Antonsen"|"Aliskogen 82, 6381 Ceciliesjøen"
"Sigurd Kristensen-Hanssen"|"Myklebuststykket 09C, 6183 Stineodden"
"Sander Nielsen"|"Sandvikhøgda 99, 0911 Steinarås"
"Eli-Marit Gulbrandsen"|"Madsenskrenten 9, 0134 Terjedal"
"Julie Eide"|"Haugroa 03B, 4322 Ingerstad"
"Dr. Kim Eriksen"|"Sivertsenlia 1, 8984 Reidunby"
"Anette-Berit Jensen"|"Lienhavna 24H, 0150 Vik"
"Rune Bakken"|"Edvardsenplassen 8, 6146 Danielfoss"
"Dr. Kristoffer Evensen"|"Lundlunden 1, 0483 Berntsen"
"Stine Rasmussen"|"Ruudrøa 30, 6554 Sveinø"
"Sebastian-Johan Nilsen"|"Eliassenekra 8B, 8785 Camillagrunn"
"Dr. Sander Henriksen"|"Haugebråten 4, 5996 Steinbø"
"Sverre Næss"|"Edvardsenspranget 8, 3450 Egilfoss"
"Anders-Tommy Moen"|"Engenmoen 3B, 3565 Tveit"
"Mette-Trine Bakke"|"Thorseneggen 9D, 9960 Martinehavn"
"Ingeborg Isaksen"|"Næssvollen 14, 4114 Gundersen"
"Linn-Unni Ruud"|"Nielsenhagen 14, 2865 Tveit"
"Sara-Ingeborg Arnesen"|"Haugehavna 3D, 4859 Antonsen"
"Dr. Lars Henriksen"|"Hanssenbakken 2, 0264 Martinsjøen"
"Daniel Ødegård"|"Ødegårdekra 36, 5610 Runehavn"
"Martin Sørensen"|"Jakobsenlia 50B, 2181 Ingerstrand"
"Trond Evensen"|"Fredriksenflata 81, 2570 Elinborg"
"Emilie Strøm-Nielsen"|"Lundestranda 3, 9506 Vegardstad"
"Dr. Morten Sivertsen"|"Larsenhaugen 08B, 2134 Sivmark"
