"Adrian Aasen","Myklebustflata 540, 1216 Johnsen" 
"Ann-Andrea Bakken","Bakkenhavna 8, 1620 Olasjøen"
"Eirik Birkeland","Evensenmyra 9, 5547 Britthamn"
"Dr. Tom Holm","Thorsenmarka 9B, 6277 Berg"
"Ole-Kim Sæther","Edvardsenskogen 24D, 6041 Evahelle"
"Tonje Sandvik","Engengata 76, 6777 Holm"
"Rolf-Stian Tveit","Halvorsenmarka 296, 1924 Steinnes"
"Magnus Thorsen","Lundskogen 8D, 7762 Siljeeid"
"Randi Knutsen","Moesvingen 1, 9342 Danielsen"
"Roar Rasmussen","Pedersenstranda 08, 0421 Hauge"
"Elisabeth Ruud-Eliassen","Jakobsenmoen 75A, 7378 Gundersen"
"Tommy Olsen","Tangenhøgda 12E, 4057 Bøe"
"Jenny Arnesen","Tangenvollen 3H, 1049 Strand"
"Dr. Tommy Bakken","Gundersenstykket 86, 6355 Mathiasstad"
"Jens Myklebust","Strømskogen 2, 1259 Heleneberg"
"Leif Mikkelsen","Andresenroa 3, 3402 Petterodden"
"Vilde Hagen","Ruudløkka 7, 5693 Grobø"
"Stian Bøe","Bergstien 497, 5867 Solberg"
"Marie Olsen","Næsstjernet 1, 0105 Torillgrunn"
"Elin-Ruth Johnsen","Johnsenberget 01F, 3529 Karigrunn"
"Arild Olsen","Nilsenlia 2, 4754 Christensen"
"Daniel Engen","Haugvollen 6, 5954 Gunnnes"
"Sigrid-Bente Solberg","Myhreplassen 8, 6736 Pedersen"
"Dr. Torbjørn Danielsen","Knudsengropa 6, 2377 Torillvær"
"Robert Lien","Lundmarka 74, 0077 Fredrikstrand"
"Stig Gundersen","Pettersenfaret 28, 5476 Øysteinsand"
"Prof. Svein Thorsen","Pettersenroa 24F, 9846 Arnesen"
"Thomas Kristoffersen","Sørensenringen 9C, 9323 Rønning"
"Grete-Malin Myklebust","Bakketunet 9B, 3851 Rasmussen"
"Thor Isaksen","Andersenfaret 74B, 0812 Tommyfjell"
"Tone-Reidun Tangen","Nguyenengen 33, 8751 Henrikborg"
"Håkon Nygård","Engenskogen 2F, 4234 Gunndal"
"Johan Solberg","Lundejordet 8, 4328 Haugen"
"Dr. Torbjørn Madsen","Edvardsenvika 166, 5226 Emmahavn"
"Arild Martinsen","Rønningstranda 5, 9626 Steinarhamn"
"Fredrik Dahl","Knutsenflata 5, 3657 Moen"
"Stig Evensen","Myklebuststubben 2, 5462 Sæther"
"Petter Næss","Evensenfaret 14, 7266 Hansstrand"
"Håvard Aasen","Amundsenlia 5, 5746 Andersen"
"Anna Johnsen","Svendsenstranda 315, 8170 Gerdstrand"
"Mari-Nora Moe","Moenlunden 2, 1731 Ireneås"
"Tonje-Helene Karlsen","Alistubben 6, 6111 Hagen"
"Karin Antonsen","Nilsenlyngen 45, 6260 Jannesund"
"Dr. Trond Andreassen","Henriksenspranget 74D, 2493 Trondgrunn"
"Ragnhild-Astrid Mikkelsen","Sørensenengen 78, 6754 Kariborg"
"Kristine-May Berntsen","Eliassenringen 5, 2616 Saravåg"
"Tobias Solberg-Ødegård","Kristoffersenhavna 7, 3159 Noraberg"
"Øystein Rønning","Hauglandberget 2B, 5796 Groodden"
"Aud-Anita Gulbrandsen","Larsentjernet 4, 2543 Anetteås"
"Kjell Martinsen","Ahmedåsen 85C, 2697 Saraborg"
"Stine Lie","Holmkroken 8, 2621 Thorø"
"Sondre Birkeland","Moenjordet 8C, 4029 Sivhamn"
"Thomas Mathisen","Knudseneggen 3C, 7276 Karlsen"
"Dr. Øystein Johnsen","Strømstranda 03, 2904 Vildestrøm"
"Emma Simonsen","Jacobsenbakken 144, 8490 Leifberg"
"Sverre Engen","Danielsenengen 5, 3142 Torilldal"
"Roger Mathisen","Mikkelsenmarka 84, 8527 Mortennes"
"Fredrik Brekke","Haugfaret 9E, 9803 Geirberg"
"Gunnar Karlsen","Eideskrenten 7, 7463 Christianvåg"
"Sigrid Tangen-Johannessen","Birkelandekra 4A, 2751 Pålnes"
"Reidun Thorsen","Andreasseneggen 833, 4635 Sørensen"
"Åse Madsen","Henriksenbakken 6, 0663 Benteberg"
"Cecilie Haug","Birkelandtjernet 51A, 2576 Monicaø"
"Dr. Øyvind Jacobsen","Kristiansenflata 413, 9904 Kårestrand"
"Solveig-Marte Vik","Aaseggen 9, 1188 Kristiansen"
"Kim-Terje Hagen","Eriksenekra 9D, 2719 Arnesen"
"Karen Sivertsen","Edvardsenlunden 72C, 2164 Camilladal"
"Eva Johansen","Eriksenstranda 4, 3764 Hanssen"
"Grethe Johansen","Eideberget 69F, 8557 Bjørnstad"
"Monica-Cathrine Holm","Johnsengrenda 44, 2010 Siridal"
"Else-Elisabeth Solberg","Sandvikstien 59C, 8958 Ali"
"Anita Haugland-Lund","Martinsenplassen 74, 7131 Ruud"
"Robert Johansen","Moeskogen 11, 3536 Mariaby"
"Dr. Øyvind Johnsen","Rasmussenflata 46, 1595 Nygård"
"Linn Sandvik-Dahl","Holmgrenda 70, 0558 Nielsen"
"Dr. Vegard Aasen","Næssmoen 70, 7150 Strand"
"Ola Nygård","Strømkroken 53, 7293 Alexanderborg"
"Dr. Kjell Andersen","Tangengata 8C, 1761 Asbjørnmark"
"Astrid Nielsen","Hansentunet 515, 1248 Rogerstrand"
"Dr. Adrian Aasen","Haugeflata 45, 6269 Jenssen"
"Tonje Ruud","Eideberget 1, 5257 Amundsen"
"Maria-Thea Kristiansen","Birkelandskogen 231, 0783 Strand"
"Emma Sæther","Lundbakken 10A, 8879 Adrianfjord"
"Egil Danielsen","Jørgensenroa 30, 3793 Jenssen"
"Marianne-Thea Jacobsen","Olsenhagen 677, 3390 Martestad"
"Kristine Sivertsen","Fredrikseneggen 6H, 7914 Nielsen"
"Turid Lien","Evensenhaugen 04G, 1060 Nilsen"
"Bjørn-Tore Nilsen","Nygårdbakken 5, 9481 Pettersen"
"Adrian Sørensen","Viktjernet 9, 8399 Jensen"
"Asbjørn Knudsen","Simonsentunet 41, 1512 Olasand"
"Kristine Andresen","Johansenmoen 52, 5924 Solheim"
"Berit Hansen","Paulsenskogen 5A, 5149 Martehavn"
"Marius Sørensen","Nielsenlia 54A, 0459 Mariastrand"
"Egil Madsen-Sæther","Antonsenhøgda 385, 0481 Tangen"
"Else Lien-Gundersen","Svendsenberget 136, 6030 Leneborg"
"Siv Helland","Hellandhaugen 9, 2623 Sverresand"
"Åse-Vilde Jenssen","Berntsenjordet 9D, 7609 Monicavik"
"Dr. Stein Tangen","Haugelunden 7, 5207 Haug"
"Karl Birkeland","Knutsenbråten 565, 5483 Næss"
"Alexander Haugen","Karlsenmoen 8, 4123 Ahmed"
"Kim Hauge","Hauglandberget 12B, 7714 Strøm"
"Eli Martinsen","Christensenhøgda 5, 2177 Einarvær"
"Silje Sivertsen","Antonsentunet 396, 4823 Lindavik"
"Egil Moen","Bakkeholtet 11, 4748 Torillsand"
"Thea Jensen","Moehavna 6, 1384 Magnedal"
"Liv Madsen-Henriksen","Tangenløkka 2, 2559 Johansen"
"Finn Jenssen","Birkelandholtet 2B, 6820 Myklebust"
"Finn Aas","Næssberget 181, 8382 Hildehelle"
"Frank Holm","Birkelandtjernet 1, 2867 Sivsund"
"Randi Olsen","Bergeggen 71, 7526 Lunde"
"Sofie-Ann Evensen","Jacobsenholtet 913, 7209 Hannanes"
"Kristoffer Moen","Brekkelyngen 9, 2287 Magnusdal"
"Karin Sørensen","Jakobsenbakken 83, 2874 Gunnarstad"
"Egil Nygård","Jensenløkka 3, 6979 Knudsen"
"Liv-Solveig Aune","Strandhagen 2, 3006 Hannaås"
"Tobias Rønning","Jacobsenspranget 8, 2128 Ingridvær"
"Kari Pettersen","Lundmarka 3, 0605 Noravåg"
"Cecilie Abrahamsen","Jakobsenalléen 5, 8689 Evensen"
"Janne Hanssen","Vikplassen 6, 0420 Øysteinø"
"Kristine Hansen","Bergfaret 40D, 0568 Henriksen"
"Else Mathisen","Holmberget 29E, 6060 Kristinesund"
"Håkon Andersen","Bakkenplassen 47, 0994 Sondredal"
"Trine Ellingsen","Birkelandtoppen 9A, 0441 Ødegård"
"Egil Olsen","Nygårdmoen 970, 8349 Kristoffersen"
"Daniel Pedersen-Aasen","Karlsenskogen 77, 5591 Idaberg"
"Gro Halvorsen","Eideringen 3, 4446 Andreanes"
"Gerd-Camilla Aune","Haugenstien 2, 2204 Berntsen"
"Ivar Rasmussen","Karlsenskrenten 8, 2234 Karinstrand"
"Asbjørn Karlsen","Fredriksenkollen 8, 3425 Hanssen"
"Steinar Dahl","Sandvikberget 64, 3830 Frodeø"
"Line Vik","Strandengen 50, 4289 Karolineberg"
"Heidi Eriksen","Hanssenskogen 3, 8120 Erlingfoss"
"Stig-Steinar Engen","Kristoffersenløkka 7, 5466 Nielsen"
"Egil Sæther","Moenløkka 84, 4104 Andreassen"
"Marius Dahl","Eliassenstranda 2D, 1981 Amundsen"
"Alf Halvorsen","Olsenlyngen 64B, 8851 Andersen"
"Erling Brekke","Eriksenrøa 51, 7038 Olestrand"
"Ingrid Svendsen","Hauglandrøa 2C, 9161 Bakken"
"Rita-Eva Fredriksen","Thomassenkroken 98A, 2365 Torehavn"
"Einar Antonsen","Fredriksenvollen 48, 3589 Antonsen"
"Siri Halvorsen","Vikstien 348, 6035 Sandvik"
"Linn-May Sandvik","Simonsenrøa 37B, 4061 Ødegård"
"Espen Karlsen-Lunde","Ruudmyra 17, 8065 Andreassen"
"Egil Sørensen-Nguyen","Gulbrandsenlunden 94, 4237 Gundersen"
"Ingeborg Bøe-Aune","Vikringen 70, 9395 Mathisen"
"Solveig Moen","Sandvikmoen 3, 6193 Myhre"
"Christian Hansen","Brekkeåsen 7, 3649 Marihelle"
"Berit-Sigrid Christensen","Iversenberget 8, 9618 Nilsen"
"Tove Fredriksen","Edvardsenhagen 03, 4219 Alfvær"
"Siv Haug","Madsensvingen 4E, 2649 Fredriksen"
"Laila Sørensen","Johansengata 7, 7728 Olavåg"
"Trond Strand","Bakkerøa 82, 5477 Fredrikstrand"
"Ellen-Heidi Larsen","Nilsenkollen 2A, 9421 Jakobsen"
"Egil-Stian Abrahamsen","Simonsenroa 4, 7501 Andreassen"
"Torill Haug","Hagensvingen 3E, 2479 Eliassen"
"Lars Strand","Rasmussentoppen 8, 2480 Helland"
"Kristian Paulsen","Dahlrøa 2, 1280 Annaby"
"Monica Myklebust","Kristoffersenvollen 7, 0255 Turidberg"
"Ole Brekke","Danielsenløkka 13B, 9603 Stianborg"
"Tore-Terje Larsen","Thomassengrenda 88, 5089 Maritodden"
"Line Lunde","Aasflata 8, 6537 Pettersen"
"Bjørn Sandvik","Sandvikskogen 6G, 0445 Sørensen"
"Gerd Jensen","Lundhaugen 2D, 0823 Cathrineborg"
"Einar Aas","Lundjordet 44, 2585 Gundersen"
"Erling Paulsen","Madsenrøa 85, 6516 Perborg"
"Morten Ahmed","Sørensenstien 83C, 8296 Jacobsen"
"Elisabeth Ødegård","Johnsenflata 264, 6624 Christiansund"
"Turid Ødegård","Tveitsvingen 361, 6880 Berg"
"Liv Moen","Haugenflata 8, 8280 Eriksjøen"
"Reidun-Anna Sandvik","Simonsenhagen 3, 7536 Mariabø"
"Sofie Pettersen","Viktunet 94C, 4783 Nielsen"
"Gro Holm","Holmåsen 9, 2488 Bakke"
"Grete Andersen","Simonsenbakken 7, 0336 Håkonvik"
"Einar Amundsen","Gulbrandsenvika 593, 0987 Ivarbø"
"Grethe Edvardsen","Ahmedhøgda 5C, 6261 Ellingsen"
"Linda Edvardsen","Isaksenmyra 2, 8203 Camillastad"
"Thomas Isaksen","Nguyenhaugen 4, 8945 Sørensen"
"Silje Eriksen","Jensenskrenten 6A, 3419 Tobiasborg"
"Sebastian Edvardsen-Hauge","Hellandbakken 2B, 0135 Lailagrunn"
"Jorunn Eliassen","Bergemoen 1, 7431 Knutvær"
"Kristine Thorsen","Strandalléen 02, 8368 Gunnnes"
"Rolf Aune","Lundehaugen 019, 7905 Bakken"
"Kenneth-Frank Gundersen","Jacobsenroa 7, 2579 Bentehavn"
"Einar Antonsen","Myhrekroken 97, 4957 Sæther"
"Synnøve Holm","Nielsentoppen 8, 1149 Thorsen"
"Eva Christensen","Eliassenbråten 367, 2525 Eliseø"
"Eivind Andersen","Næssstubben 2, 5624 Linedal"
"Aud Aune","Kristiansentunet 62, 4398 Andersås"
"Prof. Eirik Jensen","Madsenekra 8, 1074 Hanssen"
"Harald-Rolf Ahmed","Sørensenberget 79G, 6373 Markushelle"
"Alf Johansen","Iversenberget 3, 4801 Knutdal"
"Olav-Svein Johansen","Aashagen 589, 0843 Martinevær"
"Trine Johannessen","Amundsenmyra 925, 9314 Christensen"
"Einar Bakken","Karlsenengen 8, 5201 Siljefjell"
"Adrian Isaksen-Helland","Antonsenengen 5, 5721 Kristinesund"
"Siv Ahmed","Tveitåsen 240, 7605 Moe"
"Olav Aasen","Edvardsenlunden 4, 6366 Olsen"
"Solveig-Berit Lund","Jensenspranget 37, 1235 Strøm"
"Silje Nygård","Bakkenbråten 5, 4204 Roarodden"
"Marianne Eriksen-Ali","Kristensenrøa 03, 5913 Ellenhelle"
"Jørgen Hanssen","Moenfaret 8, 8636 Lindavik"
"Eivind Tveit","Hansenrøa 5, 7179 Hagen"
"Berit Berntsen","Knutsenmoen 54, 8390 Jørgensen"
"Einar Eliassen","Paulsengropa 5, 7310 Halvorsen"
"Christian-Sindre Tangen","Jensengrenda 7, 9763 Andreassen"
"Gerd-Inger Ali","Lundehagen 6, 2594 Hannastrøm"
"Mari Johnsen","Danielsenberget 6B, 9983 Kristoffersen"
"Jens Nguyen","Ødegårdgata 76E, 9815 Tveit"
"Thea Andersen-Holm","Gundersenspranget 96, 8115 Geirborg"
"Finn Gundersen","Sivertsenlia 3C, 7366 Torbjørnvær"
"Markus Jensen","Jørgensenjordet 61, 3341 Evensen"
"Sindre Pettersen","Iversenlyngen 7, 3383 Ellengrunn"
"Jenny-Heidi Berntsen","Mikkelsenskrenten 1A, 6544 Olsen"
"Einar Knudsen","Nielsenringen 9, 0001 Thomasnes"
"Karl Ahmed","Kristiansenengen 4, 5399 Jonasfjell"
"Thor Ruud","Eidestranda 02F, 2678 Magnushelle"
"Line Engen","Ruudhavna 608, 3323 Pålfjell"
"Hilde Ødegård","Lielunden 28, 3014 Ødegård"
"Odd-Petter Engen","Hagenmarka 4, 8379 Bjørnodden"
"Martine Rasmussen","Hauglandbakken 24F, 8743 Asbjørnmark"
"Inger Knutsen","Edvardsenflata 26B, 9842 Holm"
"Kristin-Kristine Sørensen","Holmhaugen 7, 2072 Camillaborg"
"Christian Moen","Eidegata 96, 9890 Hildebø"
"Einar Kristensen-Moe","Isakseneggen 73, 9162 Aas"
"Håvard Andresen","Myklebustekra 6, 6920 Toresand"
"Jørgen Moen","Jacobsenhøgda 52, 1017 Monavåg"
"Dr. Vegard Birkeland","Paulsenåsen 6, 5472 Ninadal"
"Stig Karlsen","Arnesenåsen 98E, 7473 Ragnhilddal"
"Turid Kristoffersen","Paulsenstien 253, 8339 Haraldby"
"Karl Haugen","Eriksenhøgda 68, 7111 Egilhavn"
"Gunnar-Odd Nilsen","Aashagen 56, 8833 Sebastiangrunn"
"Magnus Gulbrandsen","Kristensenroa 5B, 5875 Gulbrandsen"
"Trine Moen","Dahlmarka 03, 3133 Danielsen"
"Einar Sørensen","Andersenstubben 15, 6122 Haugen"
"Jan Nielsen","Nilsenåsen 079, 1472 Pålvær"
"Eli Lund","Larsenskrenten 128, 3798 Ninasund"
"Prof. Øyvind Lund","Andersengjerdet 7D, 7992 Isaksen"
"Kenneth Larsen","Danielsensvingen 8, 0875 Trinestad"
"Kjersti-Hege Iversen","Abrahamsenskrenten 759, 9674 Joakimby"
"Linda Moen","Nielsengata 3B, 6219 Einarstrøm"
"Vegard Jacobsen","Henriksenhavna 969, 4673 Alfhelle"
"Rune Jacobsen-Strøm","Arnesentjernet 35, 9002 Kristianstrøm"
"Emil Aas","Ruudvika 9, 9585 Lien"
"Einar Vik","Mathisenvika 5, 0021 Berge"
"Erling Hagen","Auneeggen 4, 6277 Hansen"
"Stine Madsen","Næssroa 967, 4404 Ruud"
"Erling Eliassen","Eliassenalléen 68, 5921 Håvardstad"
"Karin-Gunn Ahmed","Haugengjerdet 479, 3513 Kristineodden"
"Siv Edvardsen","Bakkenekra 08, 1197 Abrahamsen"
"Jørgen Bøe","Tangenhagen 5H, 7788 Sisselbø"
"Siri Lund","Brekkeflata 00, 5997 Sigridstad"
"Rolf Pettersen-Andresen","Næssalléen 11, 4938 Antonsen"
"Kenneth Ellingsen","Tangenroa 2, 6524 Rogerfoss"
"Einar Ødegård","Nilsenstykket 22, 0634 Berge"
"Svein Antonsen","Berntsenlunden 992, 6025 Sindremark"
"Elisabeth-Sofie Haugland","Engengrenda 7, 2353 Engen"
"Silje-Liv Andreassen","Olsenalléen 9, 2228 Magnusgrunn"
"Finn Bakke","Hagenhøgda 627, 9406 Magnefoss"
"Ola-Øystein Christensen","Bergvollen 2, 7501 Sveinsand"
"Maren Bakke","Sivertsenåsen 211, 3688 Mariahamn"
"Ingeborg Haugland","Mikkelsenlia 82, 1334 Sveinbø"
"Sofie Strand","Moehagen 9, 8299 Kristoffersen"
"Nils Danielsen","Evensenkroken 86F, 4851 Larsvåg"
"Einar-Espen Bakke","Fredriksenbråten 22, 6183 Nielsen"
"Janne Fredriksen-Johnsen","Thomassenvollen 59C, 4639 Aune"
"Ann Vik","Haugløkka 7, 3772 Eivindhelle"
"Magne Andresen","Madsenlia 9, 5123 Eliassen"
"Gunn Thorsen","Engenhøgda 77, 7880 Karolinemark"
"Maria Vik","Amundsenhaugen 9B, 0700 Toreodden"
"Ole Nilsen","Larsenalléen 9, 8098 Jacobsen"
"Bjørg-Maria Christensen","Bakkeholtet 9D, 3806 Sondrevær"
"Tonje-Eli Edvardsen","Bøegjerdet 1, 5882 Bakke"
"Grete Rasmussen","Knutsenvollen 6, 1944 Erlingberg"
"Einar-Roy Danielsen","Knutsenmoen 6E, 9473 Dahl"
"Karen-Else Lunde","Kristoffersenbråten 8, 7791 Haugland"
"Inger Lien-Moe","Strandlunden 1, 8418 Andresen"
"Dr. Øyvind Tveit","Lundgata 3, 0810 Gundersen"
"Stig-Tommy Berg","Nygårdbråten 9, 0584 Mariusodden"
"Inger Ahmed","Johnsenjordet 8, 1546 Stinedal"
"Asbjørn-Eirik Ahmed","Madsentoppen 8, 5476 Toneø"
"Kristian Bøe","Ødegårdjordet 67, 4835 Thorsen"
"Malin Berge","Lielyngen 102, 6936 Sanderhavn"
"Line Tveit","Brekkemyra 04, 8479 Olahelle"
"Einar-Steinar Svendsen","Holmhavna 445, 0852 Maritsjøen"
"Britt Martinsen-Andresen","Kristensenhaugen 11, 2896 Berg"
"Sofie Jørgensen","Tangentoppen 134, 0381 Lund"
"Cathrine Jensen","Halvorsenskogen 3C, 5040 Petterdal"
"Grethe-Britt Holm","Tveittunet 02B, 1320 Tovefjord"
"Emilie-Tove Knutsen","Myklebusthagen 79, 8330 Sebastiangrunn"
"Tor Knutsen","Evensenengen 8, 8342 Synnøveborg"
"Aud Paulsen","Nguyenlunden 20, 1912 Knutsen"
"Roar Solberg","Myklebuståsen 5C, 8006 Kjerstieid"
"Ragnhild Brekke","Antonsenalléen 6, 4798 Birkeland"
"Eirik Ali","Bøegrenda 7, 4382 Sivstrøm"
"Anne-Else Strand","Henriksenmoen 2, 4404 Adrianvik"
"Alexander Rønning","Sandvikrøa 5, 6141 Rønning"
"Sigrid Pettersen","Bøevika 6, 8307 Anettefjell"
"Thea Evensen","Bakkevollen 525, 4566 Simonsen"
"Åse Haugen","Næssberget 84D, 4616 Jakobsen"
"Lars Gulbrandsen","Strømmyra 9, 2572 Markuseid"
"Marte-Eli Solberg","Sæthermyra 26, 2601 Johansen"
"Leif Myhre","Lundløkka 1, 4106 Unnisand"
"Eivind Abrahamsen","Mathisenberget 46, 7233 Pettersen"
"Eirik Edvardsen","Amundsenlyngen 65, 1100 Ruud"
"Dr. Nils Mikkelsen","Strømfaret 28, 2477 Henriksen"
"Sander Pettersen","Kristensenroa 9, 8094 Nilsen"
"Vidar Ellingsen","Andresenhagen 51, 8653 Gundersen"
"Kjersti Johansen","Kristiansenjordet 84C, 1726 Myklebust"
"Finn-Markus Nguyen","Strømlyngen 47D, 9989 Ruthberg"
"Øystein Isaksen","Berntsengjerdet 63C, 9876 Markussund"
"Stian Myklebust","Hagenhaugen 620, 2200 Tonjeø"
"Sofie-Nina Martinsen","Myhretunet 9, 7405 Marenstrand"
"Jorunn Gulbrandsen-Haugen","Strømstien 8B, 7091 Kennethsjøen"
"Eirik Jenssen","Thorsengrenda 51, 2200 Jorunnberg"
"Kenneth Larsen","Jacobsengrenda 2, 9737 Jensen"
"Kristoffer Sandvik","Rønningstykket 7, 6627 Ali"
"Kjell Johansen","Nielsenlyngen 2, 9327 Thorsen"
"Simen-Håkon Myhre","Karlsenkroken 3, 3461 Tovestad"
"Emil Henriksen","Solheimhavna 93F, 6040 Johansen"
"Line Kristoffersen","Olseneggen 1C, 1988 Sandvik"
"Nora Holm","Paulsenvika 5B, 0732 Iversen"
"Nils Thomassen","Rasmussenhagen 66, 3144 Jørgenhamn"
"Hanne Mathisen","Jørgensenflata 6, 0813 Isaksen"
"Eirik Knutsen","Paulsenplassen 3, 9300 Royås"
"Reidun Abrahamsen","Hanssenhagen 205, 4422 Tovemark"
"Joakim Johannessen","Tveitengen 22, 2086 Andersmark"
"Stig Thorsen","Bakkeroa 332, 4943 Ingridfjell"
"Maria Hauge-Holm","Holmlunden 7, 5559 Jakobsen"
"Thea Haugland","Halvorsenmarka 91A, 2617 Strand"
"Thomas-Per Fredriksen","Ødegårdstien 1, 2495 Mathisen"
"Anne Eliassen","Nilsenroa 88D, 1720 Ali"
"Hilde Jørgensen","Andersenjordet 4, 7167 Egilstad"
"Helene Sørensen","Johnsenbråten 90, 7900 Jenssen"
"Eirik Lien","Isaksensvingen 1, 3850 Andersen"
"May-Silje Rasmussen","Abrahamsenmyra 1, 2401 Kristiansen"
"Unni Kristiansen","Solheimstien 67, 5577 Karenby"
"Sander Berge","Haugenalléen 06, 0450 Rønning"
"Morten Andresen-Simonsen","Gundersenlia 8, 1018 Gundersen"
"Prof. Geir Rasmussen","Rønninghagen 95, 7874 Kristensen"
"Dr. Morten Tangen","Paulsenskrenten 5, 8273 Toveeid"
"Alf Tveit","Iversenberget 44E, 2931 Vidarsund"
"Erling Hagen","Jørgensenjordet 1A, 7087 Johannessen"
"Helge-Kristian Kristiansen","Rønningplassen 3, 8144 Ritanes"
"Eirik Lund","Sivertsenengen 7, 8015 Wenchevær"
"Cecilie-Karoline Arnesen","Solbergringen 93C, 3591 Aune"
"Siri Hanssen-Martinsen","Jenssenskogen 92, 5536 Martineodden"
"Marianne Eliassen","Hanssenhagen 12, 0822 Sivertsen"
"Prof. Morten Moe","Isaksenmyra 71, 3957 Jacobsen"
"Øystein Karlsen","Knudsenskrenten 7C, 3850 Kristoffersen"
"Helene Kristensen","Haugenroa 6D, 4733 Cathrinevik"
"Jorunn Hagen","Kristiansenstubben 2, 5069 Lunde"
"Bente Nygård","Myklebusthavna 2, 0592 Brekke"
"Marit Mathisen","Bakkensvingen 1A, 6104 Berntsen"
"Eirik Nygård","Myklebustmoen 06B, 1962 Kjetilø"
"Helge Christensen","Aasenmyra 7F, 5546 Marenfoss"
"Randi Berntsen","Næssgropa 45, 1398 Åsesjøen"
"Maria Knudsen","Henriksenfaret 9, 5198 Isaksen"
"Kristian Isaksen-Kristensen","Haugenstien 47, 5068 Olestad"
"Jenny Aune","Evensentoppen 066, 3235 Mikkelsen"
"Christian-Einar Karlsen","Brekkegropa 3, 3039 Sverregrunn"
"Hanna Svendsen","Knudsengata 7, 6569 Randiø"
"Marianne Eliassen","Lundskrenten 09, 2995 Danielsen"
"Dr. Per Myklebust","Eriksenlia 4, 8093 Svendsen"
"Eirik Sandvik","Svendsenhagen 56, 1961 Greteodden"
"Sigurd Jakobsen","Abrahamsenberget 80, 2971 Kårefjord"
"Astrid-Marte Bakke","Hellandrøa 9, 7044 Torbjørnborg"
"Karen Halvorsen","Johnsenholtet 6, 0684 Berg"
"Stig-Lars Halvorsen","Tangenkroken 3, 6861 Hildeborg"
"Emma Andreassen-Nygård","Nielsenekra 31, 4847 Amundsen"
"Finn-John Johnsen","Aliskrenten 5D, 4119 Nielsen"
"Linn Hagen-Knutsen","Birkelandskogen 80, 2512 Lailabø"
"Wenche Ali-Nygård","Larsenmoen 03, 4654 Vik"
"Håvard Pettersen","Gundersenmarka 463, 9854 Mettefjord"
"Eirik-Arild Strøm","Mathisenstykket 6, 1238 Danielås"
"Janne Solberg","Mathisenlyngen 75H, 8514 Antonsen"
"Jenny Aasen","Myhrevollen 4, 5996 Kirstenbø"
"Cecilie Helland","Solberghavna 2, 2085 Martinesand"
"Steinar Lunde","Engenlunden 35, 5821 Kristinås"
"Jon Ahmed","Andreassentoppen 38A, 9368 Elisabetheid"
"Kjell Simonsen","Pedersenhaugen 8, 5793 Lund"
"Kirsten Lunde","Christensenmarka 02, 6366 Larsen"
"Alexander-Kenneth Evensen","Solbergroa 2E, 1308 Madsen"
"Gunn Ahmed","Næssgropa 88, 1892 Thomassen"
"Eivind Birkeland","Madsenlyngen 99C, 9351 Lunde"
"Marianne Hagen","Kristensenhaugen 558, 8235 Pedersen"
"Nils Tveit-Birkeland","Johnsenringen 3, 0046 Engen"
"Hanna Sandvik","Birkelandgjerdet 7, 5519 Kristensen"
"Adrian Fredriksen","Hellandeggen 8, 3951 Einarsand"
"Else Engen","Jenssenhøgda 8, 1422 Moen"
"Martine-Else Kristensen","Aasenekra 89, 1140 Paulsen"
"Andreas-Kristian Thomassen","Kristensenhøgda 8, 0225 Tommysjøen"
"Sissel Aas","Nygårdlunden 2, 0533 Myhre"
"Roger Ali","Danielsenroa 2B, 9044 Ingeborgås"
"Eivind Eliassen","Halvorsenhagen 8, 4333 Lie"
"Kjersti Ødegård","Strømkollen 42, 6960 Thomassen"
"Sara Amundsen","Hansenbakken 332, 4013 Kristofferberg"
"Ingrid Larsen","Sivertsenplassen 3G, 0794 Kristofferøy"
"Bente Nilsen","Eliassenplassen 010, 7073 Johnsen"
"Anne-Cecilie Pedersen","Myhrelyngen 4, 8051 Annhamn"
"Randi Abrahamsen","Larsenalléen 4, 5841 Karolineø"
"Simen Andersen","Holmvollen 1A, 4378 Tveit"
"Kenneth Christensen","Solheimhavna 46, 0324 Lie"
"Kristoffer Ahmed","Birkelandgropa 3, 0380 Bakke"
"Eivind Hanssen","Andresenhagen 69, 7678 Haraldbø"
"Espen Aasen","Jakobsenalléen 3, 3022 Fredriksen"
"Trond Sæther","Johansenhavna 37, 1779 Mayhelle"
"Geir-Arild Gulbrandsen","Solheimberget 2F, 5532 Jensfjell"
"Thomas Andreassen","Evensengjerdet 73, 0648 Hagen"
"Einar Henriksen","Strandplassen 59, 3565 Jorunnfjell"
"Markus Danielsen","Hanssenvollen 505, 5409 Terjehavn"
"Anita Berge","Aasåsen 8A, 0785 Stiansund"
"Berit Knudsen","Moestranda 5, 1847 Sveinsund"
"Eirik-Sondre Lien","Kristoffersenfaret 2, 9417 Ireneby"
"Eivind Jacobsen","Johansengropa 038, 2758 Maynes"
"Marte Eide-Mikkelsen","Solheimalléen 4, 7808 Sandvik"
"Lise Ahmed","Sætherstubben 9, 0071 Fredriksen"
"Kristine Helland","Halvorsenstien 8, 8629 Iversen"
"Svein Pedersen","Isaksenskogen 657, 9977 Jørgenvik"
"Reidun-Emilie Jacobsen","Berglyngen 6, 2482 Tommyodden"
"Jørgen-Daniel Berntsen","Haugerøa 2G, 1012 Sandvik"
