"Adrian Danielsen"	"Pettersenrøa 36D, 5131 Audeid" 
"Nora Rasmussen-Eliassen"	"Bakkeringen 4, 5918 Roarsund"
"Cecilie Holm"	"Pettersensvingen 8, 6921 Engen"
"Tom-Sander Nygård"	"Jacobsentoppen 24D, 5314 Andreaberg"
"Randi Tveit"	"Alistranda 3, 1780 Aasen"
"Gunn-Marte Lien"	"Madsenbakken 48B, 6855 Sandvik"
"Hans Sandvik"	"Ødegårdlyngen 7B, 1564 Hauge"
"Trine Hansen"	"Mathisenhaugen 4, 5868 Kristensen"
"Sissel-Randi Nguyen"	"Eriksenstubben 4, 9150 Olavhelle"
"Turid Simonsen"	"Martinsenløkka 7, 4956 Elinhamn"
"Unni Edvardsen"	"Pedersenengen 1, 5239 Haugen"
"Magne Moen"	"Thorsenalléen 9, 9142 Helland"
"Cecilie Myhre-Paulsen"	"Jakobsengata 546, 9118 Dahl"
"Tone Brekke"	"Nguyenhagen 8, 2237 Jenssen"
"Ruth Larsen"	"Johansenholtet 7, 4622 Øyvindhavn"
"Thea Halvorsen"	"Paulsengrenda 51A, 8935 Aune"
"Ole Eriksen"	"Nygårdgropa 007, 4918 Sandvik"
"Frode Ødegård"	"Gulbrandsenkollen 221, 8904 Danielsen"
"Marie Ruud"	"Andresensvingen 5, 9975 Espenhelle"
"Aud Larsen"	"Sivertsenengen 3, 3453 Martinsund"
"Bente-Ellen Iversen"	"Tangenmarka 420, 5123 Linnvik"
"Heidi Berge"	"Engenroa 97A, 8351 Jacobsen"
"Cecilie Næss"	"Hansenlyngen 8B, 7957 Madsen"
"Nora Kristensen-Hagen"	"Johansenstranda 7, 2310 Jensby"
"Sander Moe"	"Berggjerdet 9, 0126 Stianhamn"
"Prof. Bjørn Helland"	"Berglia 44, 8952 Tommymark"
"Hans Jakobsen"	"Sandviktoppen 04, 5039 Karldal"
"Grete-Elise Strøm"	"Evensenbråten 6, 9699 Thomasvær"
"Trond Lunde"	"Bøevollen 925, 7295 Øyvindstad"
"Sondre Pettersen"	"Nygårdringen 8, 9183 Svendsen"
"Tommy Andresen"	"Brekkeringen 1, 5996 Hegevær"
"Jorunn Jenssen"	"Fredriksenmoen 10, 7798 Ødegård"
"Cecilie Olsen"	"Eliassenbråten 2, 7018 Thorsen"
"Lene Knutsen"	"Gundersenlunden 466, 8127 Vik"
"Julie Amundsen"	"Karlsenlunden 5F, 8801 Jørgensen"
"Bjørn Johnsen"	"Berntsengropa 1, 2331 Stianvåg"
"Dr. Thomas Ødegård"	"Mikkelsengropa 46, 7735 Sindrestad"
"Jonas-Geir Sørensen"	"Lielyngen 4, 3019 Sanderøy"
"Roger Nielsen"	"Mathisengata 68, 4643 Roarfjord"
"Rita Jensen"	"Engenåsen 538, 6877 Hansen"
"Leif Hansen"	"Larsenekra 769, 2098 Amundsen"
"Tove Edvardsen"	"Aasentjernet 95, 0160 Vegardbø"
"Cecilie-Astrid Abrahamsen"	"Simonsenkollen 4, 4651 Synnøveøy"
"Eirik Antonsen"	"Paulsenstykket 42, 4539 Paulsen"
"Prof. Geir Sørensen"	"Strandkroken 99, 4640 Pettersen"
"Stein-Helge Hansen"	"Fredriksenmoen 5, 1041 Aasen"
"Thomas Arnesen"	"Arnesenstykket 3, 4407 Ritaås"
"Marit Ali"	"Svendsenspranget 159, 9712 Pålås"
"Monica Berge"	"Kristoffersenlunden 6, 8140 Martestrand"
"Ragnhild Moen"	"Sætherplassen 6, 5437 Grovær"
"Vegard-Stig Aasen"	"Pedersenlyngen 9, 4079 Hansen"
"Emilie Eriksen"	"Fredriksenlia 5, 5326 Ruud"
"Cecilie-Camilla Aasen"	"Nygårdskrenten 9, 4345 Marenstad"
"Joakim-Olav Moen"	"Berntsenhavna 6, 6001 Paulsen"
"Else Paulsen"	"Andersenkroken 95, 0790 Ali"
"Stine-Grethe Kristoffersen"	"Jørgensenvollen 9D, 7596 Nygård"
"Mette Johnsen"	"Myhretjernet 14, 3090 Sondrebø"
"Eva Knudsen"	"Jacobsentjernet 7, 6099 Sørensen"
"Marte Eriksen"	"Liemoen 89, 6398 Noraberg"
"Elise Myklebust-Paulsen"	"Evensenstubben 52, 3296 Pedersen"
"Odd Lie"	"Simonsenhaugen 034, 5135 Dahl"
"Åse Jørgensen"	"Iversenskogen 7, 8844 Sofievik"
"Christian Abrahamsen"	"Thorsenstranda 06, 4263 Haugland"
"Eva Madsen"	"Simonsenmyra 2, 2796 Gulbrandsen"
"Ida Sørensen"	"Haugløkka 47, 7505 Audodden"
"Anne Svendsen"	"Aasenhagen 989, 3368 Brekke"
"Aud Mathisen"	"Rønningstykket 54, 1902 Sindresand"
"Heidi Berntsen"	"Pedersenhaugen 28D, 8300 Halvorsen"
"Siv Bøe"	"Johansenmoen 5, 1603 Rogerhavn"
"Pål Lien"	"Edvardsenlunden 10, 9975 Gundersen"
"Tove Mikkelsen"	"Mikkelsenflata 69E, 4876 Lisestrand"
"Irene-Astrid Andersen"	"Bergeringen 9, 3033 Thorhelle"
"Christian Amundsen-Pedersen"	"Jenssenlia 7, 5584 Martesand"
"Cecilie Edvardsen"	"Ruudgropa 582, 8050 Jørgensen"
"Dr. Olav Nygård"	"Antonsenhavna 5, 7903 Rasmussen"
"Jørgen-Anders Bakken"	"Madsenstubben 83, 5300 Holm"
"Laila Holm"	"Lieringen 2, 4961 Knudsen"
"Maria-Mona Andersen"	"Eliassentjernet 7, 3830 Haraldberg"
"Gro Arnesen"	"Rasmussentjernet 438, 3204 Siljestrøm"
"Prof. Erling Abrahamsen"	"Danielsengrenda 4, 0047 Solberg"
"Svein Sæther"	"Eidestubben 37C, 3782 Reidunberg"
"Sigurd Paulsen"	"Andreassenlia 32, 3972 Abrahamsen"
"Christian Antonsen"	"Isaksenengen 590, 7431 Martevik"
"Roar Hansen"	"Evensengropa 1, 8878 Andersen"
"Steinar Haugland"	"Bergegjerdet 8A, 9803 Bakken"
"Håkon Helland"	"Isaksenfaret 8, 8511 Annborg"
"Dr. Karl Johannessen"	"Andresenløkka 9H, 1383 Kristinevåg"
"Else Hauge"	"Hauglyngen 40, 6951 Cecilievåg"
"Wenche Jensen"	"Evensenmoen 3, 0043 Kjellhavn"
"Stig Kristoffersen"	"Isaksenekra 00H, 7641 Christensen"
"Mari Dahl"	"Bøegata 47D, 6810 Halvorsen"
"Sofie Holm"	"Myhretjernet 39B, 0426 Saravær"
"Christian Antonsen"	"Nguyenlyngen 03, 1975 Mathiasstrøm"
"Reidun-Sissel Andresen"	"Danielsenlia 2A, 3147 Gretevåg"
"Egil-Bjørn Sivertsen"	"Rasmussenlyngen 007, 5137 Haug"
"Linda Eliassen"	"Bakkegrenda 76B, 2098 Strøm"
"Prof. Anders Svendsen"	"Tangengjerdet 987, 4124 Emilstrøm"
"Anna Jensen"	"Aasstubben 9E, 9723 Linnhamn"
"Daniel Knudsen"	"Solheimsvingen 34A, 9862 Kirstenås"
"Marit Aune"	"Bergelia 6, 6324 Grethevær"
"Kristine Antonsen"	"Rasmussengropa 134, 8271 Idafjord"
"Thomas-Frank Kristiansen"	"Pettersenmyra 70, 2915 Jensen"
"Christian Dahl"	"Hanssengjerdet 53B, 2274 Ivarsand"
"Eva Henriksen"	"Berntsenvollen 049, 0946 Karlhamn"
"Unni Dahl"	"Hagenvika 4, 3791 Tobiasby"
"Eivind Evensen"	"Iversenbakken 89, 2277 Andreasvåg"
"Sofie Martinsen"	"Thorsenholtet 16F, 8181 Anettefjell"
"Rolf Berg"	"Rønningjordet 78, 8092 Asbjørnfjord"
"Helge Aas"	"Jakobsenmarka 36F, 6881 Sivertsen"
"Anders Engen"	"Engenmyra 56, 6832 Svendsen"
"Håvard Larsen"	"Karlsenhagen 23, 7707 Nielsen"
"Prof. Roger Amundsen"	"Nguyenskogen 57, 3318 Ahmed"
"Christian Johansen"	"Jakobsenplassen 5, 3451 Nygård"
"Tone Lien"	"Halvorsenstykket 42, 0243 Abrahamsen"
"Prof. Sindre Karlsen"	"Strømhagen 69, 6356 Mayfoss"
"Marte Gulbrandsen"	"Aasenjordet 6, 4609 Hauge"
"Jorunn Mikkelsen"	"Halvorsenløkka 3, 6717 Hegedal"
"Bjørg Bøe"	"Johansenlia 867, 8882 Aas"
"Wenche-Helene Mikkelsen"	"Nielsenberget 7, 2531 Kristensen"
"Anette Aune"	"Sørensenplassen 2E, 0334 Solveiggrunn"
"Stian Gundersen"	"Danielsentoppen 83, 2458 Hanssen"
"Anette Tveit"	"Haugelyngen 24, 1357 Paulsen"
"Christian-Finn Solheim"	"Ahmedgata 8, 4985 Tveit"
"Siri Andreassen"	"Eliassenroa 6, 5616 Nilsen"
"Kristin Thomassen"	"Berntsengropa 4C, 9080 Mettefoss"
"Aud Berg"	"Eliassentoppen 5, 8810 Andreassen"
"Nils Aas-Hansen"	"Moeberget 11, 7940 Kristianfjord"
"Inger Johnsen"	"Sætherlyngen 2, 1199 Frankvær"
"Espen Aasen"	"Myhreskogen 63, 0131 Markusdal"
"Thea Ali"	"Larsenvollen 4, 0436 Groodden"
"Emil Brekke"	"Solbergspranget 7, 7918 Johansen"
"Odd Brekke"	"Jørgensenhagen 8, 9882 Pedersen"
"Christian-Geir Haugen"	"Madsenjordet 285, 7075 Tonevær"
"Karl Knutsen"	"Knutsenalléen 3B, 6536 Nielsen"
"Jenny Tveit"	"Holmengen 4, 9350 Christensen"
"Tom Berntsen"	"Jacobsentoppen 3, 5013 Mayøy"
"Kenneth Bakke"	"Brekkebakken 66B, 3929 Siribø"
"Mette Sandvik"	"Henriksenrøa 89D, 7680 Kirstenstrøm"
"Erling Madsen"	"Bøegropa 28, 9900 Kariborg"
"Marius-Frode Mathisen"	"Ruudspranget 1, 1704 Mayberg"
"Else Eliassen"	"Moespranget 5, 9588 Rønning"
"Øystein Vik"	"Birkelandhavna 91C, 6694 Johnsen"
"Christian-Ole Myklebust"	"Amundsenflata 95, 9930 Haraldnes"
"Petter Eriksen-Tveit"	"Larsengropa 70, 2827 Tonedal"
"Inger Aasen"	"Haugeskrenten 18, 6165 Lie"
"Finn-Gunnar Strøm"	"Holmgjerdet 12F, 7743 Kjerstieid"
"Gro Sivertsen"	"Dahlflata 012, 7197 Sørensen"
"Gro Gulbrandsen"	"Johnsentoppen 3, 8321 Gunnvik"
"Kirsten Kristensen"	"Hellandhagen 5, 5122 Aune"
"Maria Myhre"	"Aunefaret 68B, 1886 Johannesodden"
"Elisabeth Kristoffersen"	"Bergskrenten 7, 7596 Hildehelle"
"Per Berntsen"	"Johannessenalléen 5, 3814 Olafjell"
"Christian-Roar Berg"	"Brekkejordet 3, 4242 Rasmussen"
"Laila Paulsen"	"Lundebråten 1, 8059 Sirifjord"
"Adrian-Steinar Hanssen"	"Lundtoppen 3D, 9191 Thomassund"
"Elin Sivertsen"	"Hellandgropa 9, 7031 Tveit"
"Dag Martinsen-Jenssen"	"Birkelandfaret 3, 7046 Andersen"
"Emil Svendsen"	"Hauglandgropa 49, 3918 Emmavåg"
"Kjell Pedersen"	"Martinsenhaugen 353, 0846 Engen"
"Mona Knutsen"	"Iversenrøa 41H, 6384 Annavåg"
"Helene Ruud"	"Eliassenlyngen 93, 4782 Strand"
"Lars Jakobsen"	"Andresenskrenten 16, 4522 Moen"
"Dag Abrahamsen"	"Tangenlyngen 28, 9018 Bøe"
"Monica Lunde"	"Svendsenberget 06, 6380 Eirikfjell"
"Frank Myhre"	"Andresenvika 9, 9160 Marimark"
"Sebastian Ahmed"	"Arnesengrenda 02, 0982 Ivarvik"
"Prof. Joakim Eliassen"	"Lunderingen 87, 0075 Thorsen"
"Eli Myhre"	"Aunegata 13D, 2724 Jørgensen"
"Jens Lien"	"Lundevika 5, 4634 Haug"
"Heidi-Silje Christensen"	"Johansenplassen 01, 9145 Turidodden"
"Thor-Erik Tveit"	"Nilsenmyra 45, 3495 Reidunø"
"Britt Dahl"	"Kristensenjordet 2, 5863 Ruud"
"Dag Ahmed"	"Solheimspranget 3, 1591 Andersen"
"Monica Bakke"	"Rønningsvingen 227, 9312 Olavodden"
"Line Haugland-Rasmussen"	"Nygårdhavna 558, 2507 Rønning"
"Sverre Brekke-Eriksen"	"Lundelyngen 7, 5974 Elsevåg"
"Stein Bakke"	"Sandvikengen 7, 8177 Jørgensen"
"Jan Brekke"	"Tangengropa 9A, 3010 Aas"
"Gunn Sørensen"	"Edvardsenberget 7F, 6267 Elisevær"
"Siv-Helene Ali"	"Solbergtjernet 841, 6116 Rønning"
"Jan Ødegård"	"Aasenhaugen 8, 3219 Sisselgrunn"
"Erik Jakobsen"	"Thomassenstien 3G, 5686 Jenssen"
"Dag Berg"	"Kristensengrenda 72B, 7954 Ellingsen"
"Kirsten Jenssen"	"Vikstykket 3, 3340 Thomassen"
"Elin Martinsen"	"Jørgensenhaugen 8, 2130 Berge"
"Randi Berg"	"Nygårdlia 879, 3721 Aune"
"Per Ødegård-Paulsen"	"Aasenlyngen 34, 4781 Amundsen"
"Dr. Tommy Edvardsen"	"Andresenbakken 6, 2434 Fredriksen"
"Steinar Kristoffersen"	"Christensenhaugen 1, 7005 Sveinfjell"
"Tone Nielsen"	"Moenkroken 31B, 7919 Simonsen"
"Terje Arnesen"	"Johannessenlunden 82, 2574 Rønning"
"Sigrid Jacobsen"	"Auneringen 45, 8979 Bakken"
"Dag Edvardsen-Jenssen"	"Mathisenbråten 04, 5142 Thomassen"
"Kjetil Nguyen"	"Hanssentunet 1, 9049 Henriksen"
"Svein-Stian Haugen"	"Sørensenringen 1, 1836 Malinvær"
"Maria-Linn Haug"	"Lienhavna 075, 9274 Strøm"
"Lars Ellingsen"	"Nielsenvika 8, 1392 Isaksen"
"Alf-Sander Myklebust"	"Simonsenskrenten 754, 7719 Haugland"
"Rune Thorsen"	"Aunestubben 890, 6750 Helgeborg"
"Aud Knudsen"	"Tveitfaret 7A, 0787 Mayodden"
"Morten Knutsen"	"Pettersenberget 9, 9927 Sæther"
"Britt Myklebust"	"Sandvikfaret 513, 2158 Bjørgvik"
"Dag Johnsen"	"Hauglandengen 4, 7606 Thomassen"
"Eli Hagen"	"Haugeekra 4F, 4385 Ivarhelle"
"Prof. Sigurd Bakken"	"Berntsenstubben 01, 3338 Hanssen"
"Dr. Simen Moe"	"Engentoppen 200, 5403 Vidarfjord"
"Ann Strand"	"Gundersenstykket 32, 6228 Myklebust"
"Robert Hagen"	"Simonsenlia 72F, 3069 Isaksen"
"Kåre Moe-Larsen"	"Ødegårdstubben 31, 1067 Olsen"
"Lars Næss"	"Eriksenberget 58, 9426 Dahl"
"Bente-Emma Hanssen"	"Jensenlia 824, 5627 Torefjord"
"Roger Nygård"	"Madsenmyra 7, 5277 Jacobsen"
"Dag Myhre"	"Strandvika 5, 2888 Haugland"
"Randi Rønning"	"Ellingsenbakken 84D, 1092 Jacobsen"
"Espen-Roy Sandvik"	"Andreassenhaugen 84F, 7652 Helenefoss"
"Siv-Turid Eriksen"	"Kristensenlunden 09H, 3344 Birkeland"
"Linn Tangen"	"Solheimgata 166, 5285 Moen"
"Petter Bakken"	"Strandsvingen 20, 6154 Berge"
"Håkon-Geir Moe"	"Ødegårdløkka 49, 8109 Bentemark"
"Erling Ødegård"	"Iversenlunden 7, 6714 Kirstenvik"
"Gro Lie-Myklebust"	"Lietjernet 4, 5064 Christensen"
"Siri Lie"	"Strandkollen 1, 0581 Lindagrunn"
"Dag Nguyen"	"Larsenkroken 8A, 1356 Theahelle"
"Jorunn Johansen"	"Thomassenroa 12B, 7778 Cathrinestrøm"
"Finn Rønning"	"Hansenholtet 01B, 3399 Amundsen"
"Steinar-Marius Nielsen"	"Nielsengropa 2, 8367 Sørensen"
"Reidun Jensen"	"Berntsenhagen 8, 4464 Solheim"
"John Danielsen"	"Jensensvingen 030, 0811 Frodedal"
"Prof. Fredrik Jensen"	"Andreassenmyra 2H, 8923 Benteberg"
"Vidar Myklebust"	"Lundjordet 70E, 4849 Jacobsen"
"Knut-Tor Pettersen"	"Hellandstubben 9, 5837 Hannaborg"
"Erik-Finn Mathisen"	"Amundsengata 1, 4280 Noravåg"
"Dag Solheim"	"Vikgropa 6, 1718 Nielsen"
"Henrik-Sondre Ødegård"	"Berntsenfaret 2, 9378 Jonasborg"
"Jorunn Mikkelsen"	"Mathiseneggen 28, 2103 Thorsen"
"Stine Berg"	"Amundsenekra 213, 8033 Knudsen"
"Kåre Rønning"	"Moenspranget 848, 8625 Haugen"
"Sissel Ruud"	"Danielsenmyra 45C, 4512 Karifjord"
"Dr. Sander Ali"	"Næssløkka 2, 7897 Lien"
"Anna Gulbrandsen"	"Andresenengen 578, 8204 Nguyen"
"Hanne Haugland"	"Aasengropa 6D, 8410 Sverrevik"
"Mathias Paulsen"	"Jensenskrenten 69, 9538 Pålnes"
"Dag Ødegård"	"Lietoppen 29, 2168 Andersen"
"Jens-Sverre Ruud"	"Jakobsenflata 99, 5778 Helland"
"Tommy-Kjetil Abrahamsen"	"Haugenfaret 3, 8690 Vildestrand"
"Joakim Svendsen"	"Hellandplassen 25B, 5951 Tveit"
"Olav Danielsen"	"Kristiansenhaugen 1, 8693 Knudsen"
"Lise Moe"	"Andreassenbakken 84, 2026 Ruthø"
"Stian Knutsen"	"Hagentoppen 43, 4592 Janvær"
"Petter Myklebust"	"Hansenalléen 94, 4019 Bakken"
"Jon Evensen"	"Eidehagen 42G, 2515 Vik"
"Adrian Lunde-Solheim"	"Pettersenrøa 8B, 5254 Thorbø"
"Dag-Marius Bøe"	"Nguyenstranda 2G, 3245 Mikkelsen"
"Kim Lie"	"Johnsengropa 31, 5965 Berntsen"
"Martine Moe-Henriksen"	"Thorsengata 7, 4491 Ingeborgstad"
"Vegard Svendsen"	"Holmroa 2, 2357 Helenefjord"
"Eivind Edvardsen"	"Abrahamsenkroken 1, 0708 Kristensen"
"Mari Pedersen-Næss"	"Isaksenhøgda 6, 2108 Karlsen"
"Roy Evensen-Andersen"	"Aligrenda 2F, 8163 Bøe"
"Helge-Frode Haugen"	"Henriksenspranget 4, 3434 Madsen"
"Bjørn Hagen"	"Holmtoppen 48, 3533 Halvorsen"
"Kenneth Holm"	"Brekketoppen 6B, 9650 Svendsen"
"Dag-Stig Knudsen"	"Martinsenvollen 93, 3788 Evensen"
"Malin Amundsen"	"Ødegårdbakken 8, 0224 Hansen"
"Frode Larsen"	"Lundeggen 32, 4106 Berntsen"
"Steinar Jakobsen"	"Jørgensenbakken 321, 2985 Emiliebø"
"Daniel Aas"	"Evensenlyngen 96F, 9036 Bøe"
"Ann Lie"	"Fredriksentunet 62C, 0058 Eriksen"
"Torill Sivertsen"	"Martinsenlia 01, 4289 Jørgengrunn"
"Eirik Jensen-Fredriksen"	"Gundersentoppen 964, 8196 Moe"
"Frode Johansen"	"Pedersensvingen 62, 0938 Karihamn"
"Karoline Dahl"	"Brekkestranda 69, 7736 Edvardsen"
"Dag-Stig Sivertsen"	"Lielunden 2G, 6036 Kjerstimark"
"Lene Haug"	"Næssskogen 857, 8637 Sivmark"
"Synnøve Bøe"	"Mikkelsenskrenten 737, 5411 Karlsen"
"Marianne Bøe"	"Nilseneggen 5B, 2994 Strøm"
"May-Siri Eriksen"	"Sandvikjordet 38, 5330 Emiliesjøen"
"Roger Birkeland"	"Madsenfaret 1C, 9739 Karolinesand"
"Camilla-Siri Strand"	"Arnesenplassen 4, 0852 Saraås"
"John Knutsen"	"Haugenåsen 5, 0514 Terjefoss"
"Stig Kristoffersen"	"Danielsenlia 61A, 0561 Berg"
"Tommy-Roger Karlsen"	"Hagengropa 8C, 2070 Tangen"
"Daniel Amundsen"	"Nguyenekra 82, 3809 Andreastad"
"Karin Bakken"	"Moenstien 6, 8438 Arildodden"
"Rita Engen"	"Aasenmyra 375, 7124 Henriksen"
"Karl-Johan Gulbrandsen"	"Andresenhagen 53, 0700 Aasen"
"Knut Jensen"	"Engengata 7, 0457 Strand"
"Eva-Karin Nguyen"	"Strandlyngen 81, 4363 Moe"
"Eirik Hagen"	"Birkelandekra 69, 8777 Bakke"
"John-Ivar Bakke"	"Næssvika 4, 6601 Annenes"
"Ann Sæther"	"Jakobsenstubben 2, 1282 Kjellhamn"
"Thor Sivertsen"	"Thorsenrøa 7B, 6780 Martinstrand"
"Daniel Haugen"	"Madsenroa 3, 7424 Hagen"
"Arne Ruud-Madsen"	"Nielsenhøgda 03, 3104 Andreassand"
"Mathias Haugland"	"Olsenberget 050, 4203 Ali"
"Trond Engen-Isaksen"	"Rønningmoen 06, 2335 Gunnstrøm"
"Martine Bøe"	"Andersenmarka 400, 3922 Eivindeid"
"Liv Berge"	"Antonsenflata 33F, 7626 Næss"
"Odd-Øyvind Madsen"	"Paulsenengen 83B, 3641 Hanneø"
"Else Vik"	"Danielsenstien 49, 2847 Håkonstad"
"Markus Jakobsen"	"Fredriksenholtet 12B, 9630 Haug"
"Roar Edvardsen"	"Lielia 5C, 0796 Steinstad"
"Daniel Lien"	"Brekkehøgda 16, 5746 Olsen"
"Tove Evensen"	"Solbergmarka 3H, 6403 Anitasand"
"Vidar Sørensen"	"Bergeberget 9, 3081 Martinestrand"
"Nils Lund"	"Tangenhavna 4, 3148 Ivarfjell"
"Henrik Engen"	"Sætherspranget 5, 9012 Lie"
"Emilie Gulbrandsen-Gundersen"	"Moenjordet 34, 7442 Moe"
"Prof. John Rasmussen"	"Birkelandstykket 1A, 8615 Jonasfoss"
"Ellen-Ingeborg Haugland"	"Bakkenkollen 187, 9125 Anettevær"
"Johan Jenssen"	"Haugengropa 3, 8459 Mariehavn"
"Andrea-Ingrid Isaksen"	"Berntsenkroken 5, 2276 Martinehavn"
"Daniel Sæther"	"Olsenåsen 31, 5601 Aune"
"Kristin Nilsen"	"Dahllyngen 60, 0250 Trondsand"
"Jørgen Næss"	"Johannessengrenda 4A, 9342 Sondrehamn"
"Torbjørn-Vegard Moe"	"Hauglandalléen 2, 9403 Antonsen"
"Markus-Egil Strøm"	"Mathisenhaugen 27, 6024 Myhre"
"Siv Jensen"	"Sørensenflata 4, 6493 Erlinghavn"
"Sander-John Hauge"	"Hanssenengen 79, 0765 Trondvåg"
"Ruth Sandvik"	"Jenssenvika 6, 8655 Kristineås"
"Emma Abrahamsen"	"Svendsenekra 215, 7803 Paulsen"
"Silje Larsen"	"Berntsenmoen 851, 1170 Jensen"
"Daniel Tveit"	"Madsenmyra 3, 9994 Strøm"
"Malin Iversen"	"Antonsenkroken 8, 6035 Nygård"
"Stian Eriksen"	"Sætherstubben 12C, 5711 Åsebø"
"Cathrine Abrahamsen"	"Larsenflata 16C, 9215 Thomassen"
"Jørgen Fredriksen"	"Bøeskogen 5D, 5289 Elisehamn"
"Maria Kristiansen"	"Lieeggen 77, 3367 Janneø"
"Kristoffer Jørgensen"	"Andresenplassen 2B, 4939 Asbjørnsjøen"
"Prof. Pål Birkeland"	"Hansenkollen 5, 6672 Jacobsen"
"Fredrik Dahl-Gulbrandsen"	"Moengrenda 404, 5017 Jonberg"
"Ruth Ruud"	"Eriksentunet 14, 0340 Kristofferodden"
"Daniel Ødegård"	"Eriksengata 81, 0113 Simonsen"
"Stine Edvardsen"	"Hauglandhaugen 03C, 9080 Robertfjell"
"Else-Helene Ahmed"	"Karlsenlunden 436, 9275 Jorunnås"
"Kirsten Ødegård"	"Aashavna 1, 1998 Johansen"
"Helge Andersen"	"Arnesenlyngen 4E, 2414 Næss"
"Hilde Haug-Hagen"	"Amundsenfaret 86C, 1111 Isaksen"
"Magnus Madsen"	"Rønninggata 6A, 1993 Jensen"
"Frank Christensen"	"Isaksenringen 41C, 2576 Gunnås"
"Roger Iversen"	"Danielsenløkka 3, 3115 Jenssen"
"Stine Henriksen"	"Jørgenseneggen 6, 0744 Johannessen"
"Daniel-Kjell Amundsen"	"Pedersenmoen 6, 3927 Kristinegrunn"
"Karl Halvorsen"	"Nygårdvika 7, 5099 Ivarhelle"
"Petter Strøm"	"Edvardseneggen 67, 1972 Sørensen"
"Berit Haug"	"Kristiansenmoen 3, 0722 Sigridøy"
"Prof. Arild Vik"	"Lundengen 9, 1656 Trinestrand"
"Tobias Martinsen"	"Bakkestykket 76, 6189 Johannessen"
"Eli Ahmed"	"Ellingsenkroken 28, 1297 Johannessen"
"Liv Jensen"	"Brekkelia 05, 0028 Kristineeid"
"Emil Haug"	"Aasenvika 3, 8477 Kristofferøy"
"Daniel Paulsen"	"Strømskrenten 08D, 9513 Emmafjord"
"Daniel-Per Eriksen"	"Hellandgata 1D, 7493 Solveigø"
"Ruth Bakken"	"Rasmussenskogen 123, 4083 Ragnhildby"
"Turid Kristoffersen"	"Bakkekroken 937, 8375 Dahl"
"Siri Aasen"	"Haugplassen 1, 3408 Sæther"
"Vilde Ruud-Johnsen"	"Eidehøgda 01, 0584 Elifjell"
"Leif Moe"	"Bøeflata 2, 9877 Sivfjord"
"Lene Ahmed"	"Henriksenalléen 61C, 8637 Marithelle"
"May Hagen"	"Hellandekra 1, 5543 Bjørnhamn"
"Tore Mikkelsen"	"Brekkeflata 94, 0804 Magnehamn"
"Dr. Alexander Sivertsen"	"Simonsenfaret 4, 1158 Torillberg"
"Daniel-Torbjørn Brekke"	"Hanseneggen 322, 8020 Haugen"
"Arne Tangen"	"Næsstoppen 94, 7136 Strøm"
"Kjersti Eriksen"	"Strandlunden 3, 1217 Edvardsen"
"Gunnar Moe"	"Pedersentoppen 11, 1469 Dahl"
"Mathias-Pål Pedersen"	"Myhrestien 038, 8173 Siljevik"
"Dr. Markus Mathisen"	"Iversenholtet 5, 8259 Knuthamn"
"Kari Tveit"	"Madsenmoen 71, 5975 Jensen"
"Hanna Isaksen"	"Karlsenspranget 8C, 7346 Audås"
"Hanna Christensen"	"Arnesenløkka 9, 4369 Kirstenmark"
"Eivind Moe"	"Jensenstubben 906, 7416 Adrianøy"
"Dr. Alf Johnsen"	"Johnsenjordet 7, 3397 Ellenmark"
"Prof. Rune Aasen"	"Bøebråten 5, 2022 Toresand"
"Anita Berntsen"	"Iversenlunden 8C, 7599 Anettevik"
"Else-Irene Lunde"	"Moegjerdet 559, 4778 Iversen"
"Stine Gulbrandsen"	"Sæthervollen 13, 1503 Cecilieås"
"Aud Gundersen"	"Madsenstykket 85, 4766 Audborg"
"Inger Evensen-Antonsen"	"Sørensenholtet 6, 2626 Cathrinefjell"
"Andrea Evensen"	"Haugeskrenten 5, 6108 Johannessen"
"Mette Hauge"	"Jakobsenbakken 1E, 8098 Ritaøy"
"Eivind Hansen"	"Thomassenåsen 7, 6661 Eirikfjell"
"Dr. Anders Lund"	"Auneekra 5A, 2073 Stighamn"
"Bjørn Aasen"	"Bakkesvingen 49, 1337 Myklebust"
"Cathrine Hanssen-Aas"	"Olsenstykket 3, 1861 Tveit"
"Per Nygård"	"Christensenmyra 96, 5440 Gunnby"
"Leif Iversen-Nygård"	"Fredriksenbråten 8, 8472 Engen"
"Stein-Joakim Johnsen"	"Dahlgjerdet 72B, 1300 Sverrestrøm"
"Johannes Iversen"	"Andreassentunet 41F, 3115 Rønning"
"Nina Sivertsen-Danielsen"	"Rønninghagen 75, 8075 Abrahamsen"
"Linda Solberg"	"Hansenringen 42, 7121 Bøe"
"Siv Svendsen"	"Knutsenstranda 9B, 8919 Rogerby"
"Dr. Arne Nilsen"	"Pettersenengen 13, 7052 Irenevik"
"Prof. Rune Christensen"	"Christensenkollen 07, 1722 Lund"
"Ann Isaksen"	"Bakkenlia 1, 9816 Fredriksen"
"Odd Mathisen"	"Berntsenskogen 6E, 4470 Myhre"
"Linn-Nina Bøe"	"Amundsenhaugen 34D, 6534 Strøm"
"Sissel-Eva Paulsen"	"Bakkegropa 07C, 1820 Berge"
"Else Nilsen"	"Ødegårdstubben 3E, 4298 Johannessen"
"Tove Johansen"	"Sæthergjerdet 1, 9925 Unnivåg"
