"अंजली अहेरजी","599 चव्हाण
नवी मुंबई-385520" 
"शिल्पा साळुंखे","4 कुलकर्णी
नवी मुंबई-681759"
"रोहित कोल्हेजी","8/4 फडके
नवी मुंबई 264526"
"अपर्णा शिरसाट","8 आगरकर
यवतमाळ-841242"
"पूजा पाटील","9163 निखिल गायकवाड
हिंगोली 836165"
"श्रीमती अभिजीत महाजन","1/2 अंजली ओक
ठाणे 349367"
"गौरव ओकजी","19/172 पाटील
नवी मुंबई 189339"
"श्रीमती अनिता गवळी","82/00 जितेंद्र राऊत
मिरज-822287"
"कीर्ती कदम","1779 आगरकर
अकोला 830084"
"प्रकाश चव्हाण","9 कुलकर्णी
यवतमाळ-854252"
"श्री सचिन जोशी","87/6561 स्मिता राऊत
वसई 764137"
"ईश्वर चौगुले","768 भूषण चौगुले
यवतमाळ-395347"
"मानसी भोसलेजी","0/5 मिलिंद गवळी
अमरावती-617141"
"प्रशांत राऊत","7964 अनिरुद्ध ओक
सोलापूर-691819"
"श्रीमती रोहिणी पवार","8 अंजली ओक
अकोला-612289"
"अरुण जोशीजी","3656 कविता आगरकर
पिंपरी-चिंचवड-842385"
"गौरव कुलकर्णीजी","902 चेतना साळुंखे
नागपूर 886823"
"कुमारी अशोक जाधव","4 अहेर
वसई-547861"
"सचिन चव्हाण","168 साळुंखे
नागपूर 647079"
"किरण सावंतजी","46/898 कोमल माने
अकोला 338940"
"रीमा जगतापजी","0/7 उमा जाधव
वसई 198549"
"दत्तात्रेय कुलकर्णीजी","746 लता चव्हाण
सातारा-066022"
"स्मिता पाटील","3359 आदित्य महाजन
वसई 522097"
"कुमारी अरुण गवळी","19 साळुंखे
चंद्रपूर-306513"
"आशा मोरेजी","3/3 माने
अहमदनगर-376870"
"श्री अरुण साळुंखे","52/4776 आगरकर
मिरज-325414"
"गौरव गायकवाड","90/674 राऊत
पुणे-295322"
"कुमारी रेणुका आगरकर","1/7 अभिजीत चौगुले
परभणी 043267"
"श्री आकाश सावंत","55 कदम
औरंगाबाद-193399"
"मीनल कांबळे","63/70 कोल्हे
धुळे-678204"
"चेतना शिंदेजी","8/4 निलेश मोरे
अकोला-819285"
"प्रिया ओक","76/3639 गायकवाड
कोल्हापूर 103323"
"कुमारी आदित्य शिंदे","07 पाटील
अमरावती-315466"
"मिलिंद कुलकर्णी","9 गवळी
अमरावती 277845"
"हर्षद देशपांडे","22 धनंजय कांबळे
रत्नागिरी-168486"
"दत्तात्रेय राऊतजी","1/8 मानसी कुलकर्णी
सातारा 061568"
"गौरव जगतापजी","33 अहेर
धुळे-307478"
"कुमारी पंकज राऊत","38 कदम
अकोला 606007"
"श्रीमती गणेश देशपांडे","8/7 फडके
कोल्हापूर-032609"
"समीर कांबळेजी","83/18 मिलिंद आगरकर
अमरावती 805155"
"श्री दीपक साळुंखे","74/9576 पाटील
गोंदिया 019879"
"श्री हर्षदा शिंदे","8/4 ईश्वर कांबळे
औरंगाबाद 058790"
"रोहित अहेरजी","60/841 पवार
नागपूर-705833"
