"अंजली अहेरजी","6/9 अनिल आगरकर
अमरावती-978757" 
"अंजली महाजन","9 मिलिंद पवार
कोल्हापूर 504610"
"नेहा कदमजी","6372 देशपांडे
ठाणे 832741"
"हर्षदा फडकेजी","87 पाटील
ठाणे-983534"
"मानसी सावंतजी","43/88 दीपाली चव्हाण
चंद्रपूर 555971"
"श्रीमती निलेश देशपांडे","35/52 नेहा भोसले
परभणी 479132"
"कुमारी मंगेश जोशी","7 माने
अमरावती-259879"
"कुमारी नेहा कांबळे","9094 शिल्पा फडके
वसई 866382"
"अंजली साळुंखेजी","893 धनंजय देशमुख
बीड-824648"
"श्री सुनील फडके","93/4529 पाटील
पिंपरी-चिंचवड 111351"
"मंगेश पाटील","21/026 अमित देशमुख
बीड 534761"
"श्री आकाश चौगुले","5 कोल्हे
नाशिक 839686"
"मोहन जगताप","1 गायकवाड
मुंबई 503550"
"कीर्ती माने","466 अभिजीत साने
गोंदिया-230217"
"कुमारी रोहिणी पाटील","9982 भोसले
मिरज 224972"
"प्रशांत मोरेजी","180 जोशी
पिंपरी-चिंचवड 125235"
"राहुल शिरसाट","86/146 प्रवीण देशपांडे
वसई 673864"
"कुमारी नेहा देशपांडे","23 महाजन
औरंगाबाद 703036"
"मेघा फडके","0 श्रुती साने
उस्मानाबाद 374509"
"मोहन ओकजी","4 अमित देशपांडे
धुळे 220097"
"मोहन आगरकरजी","88/810 अमोल चव्हाण
वसई 992780"
"कुमारी मोहन मोरे","0 आकांक्षा माने
नांदेड 299644"
"अभिषेक भोसलेजी","14/32 गवळी
चंद्रपूर-817207"
"पूजा साळुंखेजी","18 संदीप कदम
अमरावती-565913"
"आकाश जाधव","106 प्रवीण माने
मुंबई-540253"
"सचिन जाधवजी","966 शिरसाट
गोंदिया-720156"
"हर्षदा पाटीलजी","4982 रीमा साने
धुळे 098769"
"कुमारी नेहा फडके","3 आकांक्षा सावंत
गोंदिया-154165"
"विवेक जगतापजी","85 प्रवीण जाधव
सातारा-084674"
"कविता राऊत","03/4841 पूजा शिरसाट
अमरावती 274999"
"ज्योती भोसलेजी","03/216 मेघा देशमुख
लातूर 170502"
"श्री समीर सावंत","6 गवळी
अकोला-476635"
"श्रीमती अनिरुद्ध गायकवाड","49/90 रोहित शिरसाट
लातूर-090509"
"अंजली चव्हाण","25 देशपांडे
पुणे 429651"
"कोमल शिंदेजी","7/9 कीर्ती कदम
मिरज-321591"
"पूजा देशमुख","6 मिलिंद शिंदे
धुळे 747691"
"प्रवीण कोल्हेजी","06/79 लता महाजन
नागपूर-208238"
"कुमारी नेहा माने","99/094 मंगेश गायकवाड
सातारा-447682"
"श्रीमती आशा जोशी","78 माधुरी ओक
जळगाव-240496"
"विनायक ओकजी","268 जगताप
नाशिक-044913"
"विनायक देशपांडेजी","66/38 शिरसाट
परभणी 977297"
