"अंजली आगरकर"|"7225 जाधव
नांदेड-416315" 
"अनिल चौगुलेजी"|"43/016 चव्हाण
औरंगाबाद-976904"
"पंकज आगरकर"|"246 रीमा गवळी
रत्नागिरी-636660"
"कुमारी समीर माने"|"02/94 कुलकर्णी
यवतमाळ-093917"
"अनिल अहेर"|"3/2 सुनील आगरकर
चंद्रपूर-639073"
"निलेश शिंदे"|"6540 अमित पवार
अकोला 426713"
"राहुल साळुंखे"|"35/05 रेणुका माने
मुंबई 819971"
"श्रीमती शिल्पा ओक"|"8 कुलकर्णी
अमरावती-770192"
"विनायक राऊत"|"25/8822 महाजन
अमरावती-613287"
"निखिल आगरकर"|"19/921 माधुरी ओक
हिंगोली-363911"
"अपर्णा कांबळे"|"9/2 देशपांडे
गोंदिया-898783"
"चेतन शिरसाट"|"83/7676 कुलकर्णी
नवी मुंबई 257561"
"कुमारी अमित गवळी"|"87/93 ओक
ठाणे 983446"
"कुमारी समीर शिरसाट"|"392 कांबळे
परभणी-455711"
"कल्पना चव्हाणजी"|"751 अरुण गायकवाड
नांदेड 942424"
"माधुरी कोल्हेजी"|"85/271 राऊत
मुंबई-084239"
"अमित चौगुलेजी"|"94/90 पवार
नाशिक 767794"
"स्मिता साळुंखेजी"|"59 चेतन राऊत
ठाणे 021021"
"प्रज्ञा माने"|"3730 मानसी चव्हाण
नांदेड-301249"
"श्रीमती हर्षद ठाकूर"|"9985 इशिता पवार
अमरावती 239002"
"कुमारी दीपक महाजन"|"1725 पूजा चौगुले
वसई 948737"
"कुमारी प्रिया अहेर"|"30/16 गवळी
उस्मानाबाद 108515"
"मानसी मानेजी"|"2955 साळुंखे
लातूर-720217"
"कुमारी सुनील ओक"|"831 शिरसाट
नवी मुंबई 470994"
"श्री उमेश जाधव"|"25/91 मिलिंद जोशी
वसई-165560"
"वैशाली फडकेजी"|"255 आदित्य आगरकर
मुंबई 718382"
"स्मिता जगतापजी"|"98/70 अपर्णा माने
मिरज-215639"
"श्रीमती स्वाती आगरकर"|"703 पाटील
यवतमाळ-086502"
"कुमारी हर्षद देशमुख"|"4917 स्नेहा मोरे
धुळे-223104"
"कुमारी शिल्पा पवार"|"952 शिंदे
नवी मुंबई-459551"
"कुमारी मानसी फडके"|"23/682 निलेश आगरकर
हिंगोली-489282"
"श्रीमती कैलास माने"|"1/9 सावंत
अमरावती 568001"
"इशिता पवारजी"|"09/750 धनंजय ओक
कोल्हापूर-287436"
"कुमारी सुनील जाधव"|"49/879 विनायक चव्हाण
बीड-086312"
"कविता महाजनजी"|"8/2 राऊत
नागपूर-700164"
"श्रीमती रोहित चौगुले"|"785 गायकवाड
वसई 154596"
"कुमारी दीपक साने"|"0655 माने
कोल्हापूर-004141"
"श्री रीमा महाजन"|"25 मकरंद पाटील
अकोला 748131"
"कविता कांबळेजी"|"2 अहेर
औरंगाबाद-353775"
"पल्लवी पाटीलजी"|"7 मेघा देशपांडे
ठाणे 417015"
"जितेंद्र ओकजी"|"6578 साळुंखे
कोल्हापूर 112804"
"तन्वी कुलकर्णी"|"1268 शिंदे
पिंपरी-चिंचवड-727179"
"अपर्णा कुलकर्णीजी"|"13/1515 किरण मोरे
वसई 148677"
"कुमारी सुनील महाजन"|"8 जाधव
नांदेड-286911"
"भूषण जगतापजी"|"11/2635 अनुष्का देशपांडे
नाशिक 737633"
"कुमारी अनिरुद्ध भोसले"|"09/92 राऊत
जळगाव-160879"
"चेतना ठाकूर"|"03/53 जगताप
कोल्हापूर 323528"
"कुमारी अनिरुद्ध जोशी"|"4 प्रवीण शिंदे
नाशिक 792720"
"श्रीमती रीमा शिरसाट"|"166 सावंत
कोल्हापूर-034633"
"प्रज्ञा साळुंखे"|"7/0 माधुरी साने
सांगली-308451"
"कविता सावंतजी"|"20/143 सावंत
धुळे 102134"
"इशिता कांबळेजी"|"0/3 पूजा जाधव
औरंगाबाद 994902"
"अमित पवार"|"29 नेहा चौगुले
औरंगाबाद 789740"
"कुमारी सुरेश सावंत"|"69/3679 मोहन आगरकर
मुंबई 402773"
"स्वाती मोरेजी"|"2 गायकवाड
औरंगाबाद-647936"
"निलेश देशमुखजी"|"15 चौगुले
नांदेड-618826"
"कुमारी विनायक चव्हाण"|"62/7796 कुलकर्णी
कोल्हापूर-003654"
"समीर महाजनजी"|"9/8 रोहिणी पाटील
सांगली 971838"
"कैलास चौगुलेजी"|"916 आगरकर
चंद्रपूर 614654"
"आकाश सानेजी"|"442 भोसले
परभणी 037065"
"कल्पना जाधवजी"|"1/8 मोरे
नागपूर-797858"
"श्रीमती प्रिया पाटील"|"04/768 धनंजय जगताप
जळगाव-689960"
