"अंकिता कुमार"|"253 नेहा छेत्री
मोकामा-151646" 
"संमानित सोहेल दासगुप्ता"|"5 छेत्री
सभापतिने 692125"
"दिनेश सक्सेनाजी"|"64/035 गोयल
अहमदाबाद-878758"
"आदरसूचक राकेश मिश्रा"|"9 शुक्ला
लखनऊ 721335"
"आदरवाचक सीता छेत्री"|"54/411 रंगराजन
विस्तारण 893122"
"राजीव गुरुंगजी"|"3 महेन्द्रा खत्री
सभापतिने 680875"
"श्रेष्ठ गुप्ता"|"1046 कला चटर्जी
पाकाला-730990"
"सम्मानसूचक सुरेश मजूमदार"|"987 रेड्डी
करना-878102"
"प्रभाकर प्रधानजी"|"8/7 चोधरी
अमरावती 394212"
"आदरवाचक वसन्ता ताम्बे"|"3 मोहना मैती
फतेहगढ 414838"
"सम्मानात्मक अरुंधती सेन"|"44/42 भरद्वाज
अगरतला 183983"
"सम्मानसूचक चण्ड कुमार"|"90 लीना सरीन
दालखोला-443053"
"देवी जयरामनजी"|"73 सिंह
मुंबई-032059"
"माननीय शिवाली नायर"|"8 शिवाली तमांग
जिलोंपर-672934"
"इला त्रिवेदीजी"|"8/9 संदीप गावडे
देवास 365677"
"जयन्ती सिंह"|"37/3450 कैलाश खान
मोकोकचुंग-015988"
"लक्ष्मी कुमारजी"|"5093 चोपरा
चित्तूर-048594"
"विष्णु आहूजाजी"|"7/6 धवल यादव
अखनूर-343989"
"जय घोषजी"|"23 अर्जुन अरोरा
बहादुरगढ-842604"
"आदरवाचक वसन्ता महरा"|"93/640 गोपीनाथ सिन्हा
मोतिहारी 059893"
"भारत मल्होत्राजी"|"77/63 मैती
दालखोला 003087"
"संमानित कान्ता मिस्त्री"|"281 जयदेव बलासुब्रमानियम
देवास-106321"
"दिलीप शाहजी"|"6484 झादव
फतहपुर-462999"
"नीरव झाजी"|"18/993 विनय सिन्हा
देवगढ़ 422041"
"पीताम्बर गुप्ता"|"96/01 रचना सरकार
सभापतिने 742115"
"माननीय श्रीपति झादव"|"59/97 कशोर गावडे
चित्रदुर्ग 353916"
"स्वर्ण जयरामन"|"2/8 कुमारी छेत्री
चंबा-529566"
"माननीय दिनेश तमांग"|"7 सीमा गुहा
फतेहपुर 406320"
"सुनील जयरामन"|"29 गोपाल मेहता
अहमदनगर 268734"
"आदरवाचक विजया नायर"|"6693 शर्मिला चतुर्वेदी
भागलपुर 557151"
"सीमा प्रसादजी"|"5 कदम
चित्तूर-671028"
"मानदीप वर्मा"|"28/27 रत्न नायर
अमरोहा 633363"
"मञ्जुनाथ रॉय चौधरीजी"|"9 राजीव गावडे
अनन्तपुर 863583"
"कौशल्या पवार"|"11/124 सुनीता मिश्रा
जिससेबेलारी-470168"
"आदरसूचक शिव घोष"|"7769 सिंह
हैदराबाद-694935"
"शनि महराजी"|"36/4409 अशोक शाह
अलीगढ-127560"
"राजेश मेहता"|"7/2 रवि अरोरा
मुंबई-219883"
"प्रदीप यादवजी"|"8 रति बुरुाह
फतेहगढ-542609"
"विपुल शुक्ला"|"31/59 कौल
जिससेबेलारी 510054"
"आदरवाचक विजया रॉय"|"0/3 आहूजा
देवगढ़ 438970"
"संमानित रघु सरीन"|"7/2 अदिती बुरुाह
इलाहाबाद-834399"
"आदरसूचक लीलावती बनर्जी"|"623 अनिश थापा
अनन्तपुर-122831"
"संमानित जय जेटली"|"2/8 बुरुाह
अनंतनाग-634118"
"अमला रोद्रिगुएसजी"|"97 शुक्ला
मोकामा-154950"
"संमानित आदित्य गोयल"|"99/270 सोहेल जयरामन
चंबा-838404"
"राजन श्रीवास्तव"|"85/3866 लावण्या खत्री
देवगढ़-653366"
"सम्मानात्मक मुकेश शर्मा"|"48/504 राव
धारवाड 656925"
"संमानित राजेन्द्र रंगराजन"|"86/869 कल्पना मालिक
देवगढ़-495748"
"धनञ्जय गुप्ता"|"60/1029 पाटिल
अहमदनगर 159240"
"आदरवाचक विद्या नायर"|"6 हर्शल सुब्रमण्यम
देवगढ़-529882"
"विक्रम गावडे"|"8/1 मनीश सरकार
अमरावती 558319"
"संमानित सुनीती राव"|"22 चक्रवर्ती
फतेहगढ-984924"
"आदरसूचक दीपाली पाटिल"|"5 प्रसन्न कौल
चित्रदुर्ग 832627"
"आशा आहूजाजी"|"54 विशाल भटनागर
धारवाड-655689"
"सम्मानात्मक हरि रॉय चौधरी"|"18 राव
अलांग 823275"
"कम्बोज रावजी"|"7 विनय मजूमदार
अकोला-799970"
"चण्ड जेटली"|"5 मिस्त्री
अमरावती 915371"
