"ავთანდილ აბდულაევი"|"აკურის ქ. 12, ყვარელი" 
"კონსტანტინე ვასაძე"|"ტუსკიას ქ. 64, ტყიბული"
"გოდერძი კონცელიძე"|"რატილის ქ. 42, აბაშა"
"ამირან თავართქილაძე"|"აბაკელიას ქ. 40, წალენჯიხა"
"ვერა კაკულია"|"ჩახრუხაძის ქ. 62, ქობულეთი"
"ვერიკო გოგიძე"|"სხირტლაძის ქ. 07, ქობულეთი"
"ეკა ჩხეიძე"|"წინანაურის ქ. 68, ქარელი"
"თინა ცეცხლაძე"|"კურსკის ქ. 82, ზუგდიდი"
"თეა სარქისიანი"|"მუსხელიშვილის ქ. 27, ლანჩხუთი"
"ჟენია ბახტაძე"|"ახვლედიანი გიორგის ქ. 61, კასპი"
"ფატი კოპაძე"|"დუტუ მეგრელის ქ. 42, გარდაბანი"
"ვეფხვია სვანიძე"|"ტარიელის ქ. 93, გურჯაანი"
"გენადი ნარიმანიძე"|"რიონის ქ. 88, ვანი"
"გიული კიკვაძე"|"შენგელაიას ქ. 34, კასპი"
"ბელა კილასონია"|"ნაქერალას ქ. 73, ფოთი"
"ჯუმბერ სალუქვაძე"|"მებაღიშვილის ქ. 84, გუდაუთა"
"ეკატერინე ბიწაძე"|"მიშველაძე არჩილის ქ. 80, ნინოწმინდა"
"ივანე გეგეშიძე"|"ვერცხლის ქ. 27, ყვარელი"
"თინათინ გოგიაშვილი"|"ბზიფის ქ. 39, სოხუმი"
"მამუკა ქევხიშვილი"|"ფაბრიკის ქ. 12, ბოლნისი"
"თეა დევიძე"|"ხახანაშვილის ქ. 89, ოზურგეთი"
"ია კიკვაძე"|"შავთელის ქ. 46, დმანისი"
"გოჩა მახარაშვილი"|"ხრესილის ქ. 08, წყალტუბო"
"ნადია კალანდაძე"|"კვერნაულის ქ. 94, თელავი"
"ირმა კირკიტაძე"|"კიევის ქ. 23, ხონი"
"ლუდმილა ქანთარია"|"ტრაქტორის ქ. 59, მარტვილი"
"ეკატერინე გოგიჩაშვილი"|"თხინვალის ქ. 08, ცხინვალი"
"ოლია ხორავა"|"რიონჰესის ქ. 87, წყალტუბო"
"ზაზა შალამბერიძე"|"ანტონ კატალიკოსის ქ. 90, ოზურგეთი"
"იური გრიგალაშვილი"|"ჩაქვის ქ. 19, წალკა"
"ელიზა ღვინჯილია"|"ლარსის ქ. 02, სამტრედია"
"გოგა ნაბიევი"|"ინანიშვილი რამაზის ქ. 52, გალი"
"ლაშა ჭანტურიძე"|"აბოვიანის ქ. 97, ფოთი"
"ლია ჯაფარიძე"|"გურიის ქ. 59, ქობულეთი"
"ვალენტინა რუხაძე"|"აბაშის ქ. 35, ოზურგეთი"
"კახა რუხაძე"|"უბილავას ქ. 10, გარდაბანი"
"ეკატერინე კოპაძე"|"გელათის ქ. 72, კასპი"
"ბელა ბეგიაშვილი"|"ორთაჭალის ქ. 63, წალკა"
"მიხეილ ყოლბაია"|"მარაბდის ქ. 73, კასპი"
"მარიკა მერაბიშვილი"|"მამრაძის ქ. 76, აბაშა"
"ჟანა ნიჟარაძე"|"წინამძღვრიშვილის ქ. 74, წალენჯიხა"
"იზოლდა როსტიაშვილი"|"დუტუ მეგრელის ქ. 74, გორი"
"თეიმურაზ ჩადუნელი"|"ლენტეხის ქ. 86, ხონი"
"იაგო ახობაძე"|"შორაპნის ქ. 85, თეთრიწყარო"
"ანა არაბიძე"|"დ. ყიფიანის ქ. 85, ცაგერი"
"ბონდო გაჯიევა"|"ბერძენიშვილის ქ. 89, ახმეტა"
"ელგუჯა ბასილაძე"|"დარკვეთის ქ. 30, თერჯოლა"
"მარიკა ჯაიანი"|"ეკალაძის ქ. 63, საჩხერე"
"ბიძინა კერესელიძე"|"მელიქიშვილის ქ. 90, კასპი"
"ხათუნა ფარტენაძე"|"თეთრიწყაროს ქ. 01, ბაღდათი"
"ანზორ ნადირაშვილი"|"გომბორის ქ. 93, ლანჩხუთი"
"მარგალიტა კაციტაძე"|"სამშვილდეს ქ. 35, გუდაუთა"
"მზია ახალაია"|"ლამის ქ. 36, ცხინვალი"
"ლამზირა რაზმაძე"|"ზუბალაშვილების ქ. 26, ოჩამჩირე"
"ნაირა მამულაშვილი"|"რიონის ქ. 50, სენაკი"
"ბექა გურგენიძე"|"ლაზოს ქ. 49, ხობი"
"ელგუჯა გაბუნია"|"აბაკელიას ქ. 53, თერჯოლა"
"ილია ტაბატაძე"|"ლ. ელიავას ქ. 10, გალი"
"ზაურ კუპატაძე"|"300 არაგველის ქ. 79, ბაღდათი"
