"Abdullah Bachmann","Sutterstrasse 86
5460 Arbon" 
"Leni Stocker","Hunzikerstrasse 31
9450 Oftringen"
"Franco Favre","Betschartstrasse 17
2063 Illnau-Effretikon"
"Debora Weibel","Kunzstrasse 49
6441 Aarau"
"Blerina Wagner","Ackermannstrasse 1
7753 Altstätten"
"Enzo Hofstetter","Lehmannstrasse 49
5961 Spiez"
"Céline Burri","Lanzstrasse 541
5956 La Tour-de-Peilz"
"Isabel Wehrli","Benzstrasse 99
8039 Gossau"
"Coralie Bader-Kern","Meierstrasse 74
8781 Basel"
"Marcelo Kälin","Jäggistrasse 7
3979 Wettingen"
"Nicoletta Weber","Staufferstrasse 4
3265 Sursee"
"Assunta Mäder","Schlatterstrasse 23
5588 Olten"
"Jetmir Wenger","Martistrasse 996
5095 Langenthal"
"Prof. Neo Moser","Bättigstrasse 59
6226 Basel"
"Ken Hafner","Islerstrasse 66
3986 Wohlen"
"Erhard Huber","Stutzstrasse 3
8648 Buchs"
"Yannik Huber","Käserstrasse 9
1601 Küssnacht"
"Pedro Wenger-Knecht","Bärstrasse 44
7059 Freiburg"
"Vanessa Vogel-Peter","Hoferstrasse 88
6180 Delsberg"
"Rebekka Wenger-Marti","Braunstrasse 116
1374 Münsingen"
"Frédérique Bauer","Schärerstrasse 85
7451 Siders"
"Niklas Martin","Pfisterstrasse 6
9398 Morges"
"Christine Stucki","Spörristrasse 60
6340 Steffisburg"
"Erika Sigrist Merz","Schulerstrasse 82
1837 Wettingen"
"Sébastien Schürch","Weberstrasse 1
1054 Bellinzona"
"Eric Lüscher","Mettlerstrasse 26
3942 Oftringen"
"Simeon Häfliger","Maierstrasse 5
4105 Rapperswil-Jona"
"Blerta Aebi-Schäfer","Stockerstrasse 8
2583 Meyrin"
"Tamás Betschart","Ritterstrasse 9
6179 Brig-Glis"
"Prof. Magali Portmann","Hessstrasse 52
9540 Suhr"
"Kemal Hafner","Hermannstrasse 50
5591 Morges"
"Prof. Ulrike Michel","Freistrasse 79
9710 Baar"
"Fanny Schaller","Steinmannstrasse 6
7891 Neuhausen"
"Endrit Sigrist","Stadelmannstrasse 46
6626 St. Gallen"
"Slobodan Lustenberger","Stöcklistrasse 29
5332 Suhr"
"Eric Schneider","Mettlerstrasse 584
7110 Winterthur"
"Fridolin Iten","Fehrstrasse 14
7627 Möhlin"
"Vreneli Müller Weber","Kellerstrasse 64
1282 Horw"
"Luciana Egli","Herzogstrasse 97
7120 Belp"
"Niklas Kern","Zbindenstrasse 81
9958 Maur"
"Marie-Claire Grob","Schumacherstrasse 81
3991 Uzwil"
"Ramiz Flückiger","Studerstrasse 6
9306 Muttenz"
"Marianna Baumgartner Gross","Weibelstrasse 30
5260 Aesch"
"Giuseppina Arnold-Schuler","Felberstrasse 7
1146 Vevey"
"Bashkim Ott","Zürcherstrasse 80
4508 Thalwil"
"Erica Stocker Schwab","Hessstrasse 17
6569 Solothurn"
"Ophélie Bieri","Siegriststrasse 87
2596 Vernier"
"Yara Wolf Vogel","Ackermannstrasse 89
6240 Payerne"
"Marlis Gut","Kochstrasse 7
5842 Cham"
"Domenico Bär","Eggerstrasse 255
4674 Sarnen"
"Gregor Kunz","Suterstrasse 796
7110 Reinach"
"Isabel Hunziker Hofstetter","Baumannstrasse 908
9581 Reinach"
"Besart Friedli","Eglistrasse 71
9434 Möhlin"
"Tim Meyer-Bär","Bachmannstrasse 89
2944 Maur"
"Dr. Jill Tobler","Lehmannstrasse 12
1307 Wetzikon"
"Erich Steinmann","Scheideggerstrasse 78
7322 Onex"
"Ruzica Stucki","Schneiderstrasse 652
6764 Biel/Bienne"
"Rosmarie Brunner","Lanzstrasse 3
6058 Flawil"
"Kaan Bianchi","Hugstrasse 48
5011 Baar"
"Michela Wenger","Felberstrasse 64
6747 Bassersdorf"
"Stephen Erni","Haasstrasse 6
5518 Adliswil"
"Tiffany Giger","Seilerstrasse 80
6056 Crans-Montana"
"Elmar Roth","Fehrstrasse 80
6385 Baden"
"Eleni Felder","Seilerstrasse 57
3707 Richterswil"
"Odile Sutter","Jennistrasse 79
5903 St. Gallen"
"Erika Forster","Gloorstrasse 60
4929 Köniz"
"Prof. Jaron Tobler","Weberstrasse 7
2966 Uster"
"Lucy Ammann","Islerstrasse 543
8275 Pfäffikon"
"Niclas Hürlimann","Scheideggerstrasse 75
5215 Gland"
"Nuno Pfister-Leu","Studerstrasse 75
4976 Baden"
"Sandrine Hauser","Zinggstrasse 52
2838 Möhlin"
"Susanne Hafner","Portmannstrasse 153
6144 Wohlen"
"Zahra Frei","Hoffmannstrasse 95
6061 Allschwil"
"Edgar Stocker","Hafnerstrasse 75
5378 Buchs"
"Pedro Hess","Brunnerstrasse 43
9847 Thônex"
"Erion Bauer","Zbindenstrasse 56
5941 Baden"
"Kiara Walder Gloor","Eglistrasse 4
3349 Wohlen"
"Dr. Jannis Schmidt","Küngstrasse 92
7007 Horw"
"Carol Steinmann","Moserstrasse 16
8044 Möhlin"
"Sónia Frick Thommen","Scheideggerstrasse 86
3988 Maur"
"Kushtrim Blaser","Huberstrasse 223
6435 Rapperswil-Jona"
"Valentina Grob","Aebistrasse 35
1843 Freienbach"
"Dr. Nada Schnyder","Meilistrasse 34
1180 Zürich"
"Eloïse Tanner-Hafner","Ferraristrasse 71
1820 Pully"
"Daniel Arnold","Ottstrasse 14
8018 Küsnacht"
"Erkan Häfliger","Meierstrasse 527
7322 Baar"
"Niels Steinmann","Hoferstrasse 48
7505 Ecublens"
"Camille Berger","Kaiserstrasse 63
8771 Regensdorf"
"Dr. Aisha Hartmann","Walderstrasse 82
2952 Rapperswil-Jona"
"Albulena Gloor Albrecht","Wyssstrasse 96
8390 Sarnen"
"Ignaz Frey","Eglistrasse 371
2388 Birsfelden"
"Giulia Wenger","Zieglerstrasse 954
9007 Allschwil"
"Beatrix Benz","Roosstrasse 22
7816 Birsfelden"
"Siro Schlatter","Zinggstrasse 55
3453 Prilly"
"Jerome Bär","Itenstrasse 207
5935 Chêne-Bougeries"
"Erna Hotz","Staubstrasse 989
9225 Zug"
"Yasemin Gfeller","Haslerstrasse 94
1963 Brig-Glis"
"Mathilda Müller","Hartmannstrasse 8
2911 Wohlen"
"Dr. Aylin Seiler","Bühlmannstrasse 39
6857 Altstätten"
"Silvia Mäder-Hoffmann","Michelstrasse 97
8636 Bern"
"Marina Fischer","Tannerstrasse 8
2892 Chur"
"Jeannette Maier","Zürcherstrasse 5
2809 Freienbach"
"Ema Huber Walter","Stutzstrasse 90
8343 Locarno"
"Samanta Friedli","Schulerstrasse 85
6451 Einsiedeln"
"Stefan Schlatter","Sidlerstrasse 45
9391 Arth"
"Erna Schmidt-Herzog","Ferraristrasse 19
9119 Stäfa"
"Tessa Ziegler Schäfer","Friedlistrasse 38
1698 Steinhausen"
"Dr. Lily Lang","Schäferstrasse 607
7162 Davos"
"Jean-Luc Fehr","Hugstrasse 13
8974 Morges"
"Josef Imhof","Wehrlistrasse 809
7191 Worb"
"Leticia Wirz-Schneider","Wettsteinstrasse 82
8819 Freiburg"
"Nelson Roth","Grafstrasse 8
1339 Münchenstein"
"Emma Vogt Merz","Meyerstrasse 7
3988 Freienbach"
"Elea Giger","Bättigstrasse 13
8859 Riehen"
"Nadja Wehrli","Felderstrasse 5
5072 Horgen"
"Erna Wagner-Merz","Gfellerstrasse 888
6976 Aarau"
"Emina Sidler","Leunbergerstrasse 1
7612 Bülach"
"Enis Lang","Winklerstrasse 806
3396 Emmen"
"Pia Stadelmann","Bühlerstrasse 24
2036 Meyrin"
"Alfons Steiner","Steinmannstrasse 98
1865 Gossau"
"Roswitha Zollinger Walder","Hürlimannstrasse 36
2219 Wetzikon"
"Prof. James Christen","Näfstrasse 41
6236 Pfäffikon"
"Kristian Hirt","Hafnerstrasse 60
5245 Biel/Bienne"
"Mariette Grob","Staufferstrasse 19
8988 Wettingen"
"Prof. Juliana Kern","Reystrasse 91
8190 Illnau-Effretikon"
"Ernest Forster","Pfisterstrasse 805
7360 Nyon"
"Idriz Wagner-Giger","Schnyderstrasse 758
6808 Wohlen"
"Sam Käser","Steffenstrasse 50
9448 Val-de-Ruz"
"Susi Ernst","Ammannstrasse 6
1872 Buchs"
"Elfriede Ziegler Leunberger","Frickstrasse 32
6675 Liestal"
"Ines Schumacher","Baurstrasse 27
7392 Baar"
"Lean Fankhauser","Schumacherstrasse 163
7764 Cham"
"Meinrad Wenger-Meier","Stuckistrasse 85
2470 Buchs"
"Lucas Jäggi","Furrerstrasse 67
6221 Dübendorf"
"Attila Bernasconi","Schochstrasse 28
5645 Ecublens"
"Ernesto Forster","Bolligerstrasse 68
2125 Genf"
"Gino Wolf","Amreinstrasse 5
6993 Aigle"
"Anne-Marie Häfliger","Pfisterstrasse 57
8013 Yverdon-les-Bains"
"Nelly Peter","Kohlerstrasse 76
5410 Stäfa"
"Angélique Schmid","Schaubstrasse 6
7042 Monthey"
"Luigia Frick Herzog","Jäggistrasse 35
6406 Maur"
"Simeon Gross","Grafstrasse 49
9937 Küssnacht"
"Nebojsa Leunberger","Thommenstrasse 63
9341 Amriswil"
"Fabio Keller","Frickstrasse 797
4471 Oftringen"
"Tara Kunz","Vogelstrasse 11
3647 Wald"
"Ernesto Stauffer","Portmannstrasse 8
7787 Adliswil"
"Miodrag Bühler","Steffenstrasse 35
2972 Freienbach"
"Fritz Arnold","Ammannstrasse 27
7663 Köniz"
"Hüseyin Gross","Baumgartnerstrasse 4
5516 Bülach"
"Jose Bättig","Suterstrasse 855
2483 Wettingen"
"Sadik Stauffer","Eglistrasse 37
2865 Oftringen"
"Suzanne Weibel Senn","Sidlerstrasse 62
9935 Uzwil"
"Prof. Flamur Hartmann","Sutterstrasse 78
2456 Weinfelden"
"Giuseppa Mäder","Hirtstrasse 6
5616 Richterswil"
"Florin Isler","Hoffmannstrasse 9
9884 Val-de-Ruz"
"Erol Sigrist","Bucherstrasse 52
2039 Prilly"
"Prof. Rachel Grob","Kellerstrasse 65
3521 Wohlen"
"Muhamet Lutz","Zinggstrasse 76
4165 Ostermundigen"
"Yvette Ammann","Gasserstrasse 6
2425 Liestal"
"Priscilla Schenk","Haasstrasse 26
4015 Wohlen"
"Lionel Felber","Mayerstrasse 3
8196 Wädenswil"
"Sandy Gasser","Fischerstrasse 953
6372 Bassersdorf"
"Jaël Zollinger","Kunzstrasse 4
9793 Allschwil"
"Alexandre Kälin","Fischerstrasse 57
8502 Münchenstein"
"Kay Wyss","Hofstetterstrasse 532
6244 Val-de-Ruz"
"Esma Maier","Jennistrasse 58
3746 Mendrisio"
"Ardian Seiler","Kernstrasse 40
8664 Gossau"
"Prof. Jack Rüegg","Betschartstrasse 74
4760 Le Grand-Saconnex"
"Sabina Rey-Steinmann","Hodelstrasse 45
4867 Villars-sur-Glâne"
"Didier Schweizer","Wirthstrasse 3
7626 Gland"
"Sasa Steinmann","Merzstrasse 1
1239 Onex"
"Ariana Hafner-Schneider","Stöcklistrasse 28
9779 Einsiedeln"
"Arthur Hodel","Scheideggerstrasse 41
5148 Allschwil"
"Silke Gfeller Hug","Itenstrasse 53
5128 Luzern"
"Tiziana Blum","Bolligerstrasse 87
3303 Nyon"
"Esma Meyer","Fischerstrasse 32
1967 Zollikon"
"Kata Winkler","Schallerstrasse 16
9951 Urdorf"
"Gerda Schneider","Maierstrasse 311
6049 Lancy"
"Francis Ammann","Schärerstrasse 21
9407 Illnau-Effretikon"
"Vivienne Hartmann","Stuckistrasse 574
5962 Stäfa"
"Janik Jäggi","Vogelstrasse 75
6013 Wettingen"
"Katerina Flückiger","Steigerstrasse 57
5076 Maur"
"Giovanna Meili-Steffen","Brunnerstrasse 1
8043 Lutry"
"Margret Hürlimann","Zinggstrasse 1
3725 Bassersdorf"
"Lily Jäggi","Furrerstrasse 739
9293 Bassersdorf"
"Esra Mäder Ammann","Meisterstrasse 26
4606 Möhlin"
"Eugenio Egli","Bieristrasse 3
4441 Brugg"
"Marcella Schwarz","Wyssstrasse 92
8462 Reinach"
"Pirmin Maurer","Hafnerstrasse 11
8820 Thalwil"
"Aude Amrein","Meyerstrasse 22
4617 Burgdorf"
"Elsbeth Haas","Schürchstrasse 6
8710 Arth"
"Dr. Lias Schlatter","Sennstrasse 405
7786 Binningen"
"Mischa Knecht","Stuckistrasse 24
9114 Zug"
"Antonina Hartmann","Bauerstrasse 48
7138 Altstätten"
"Dr. Manfred Thommen","Studerstrasse 62
1280 Aesch"
"Ester Stalder-Schmid","Winklerstrasse 7
1010 Zürich"
"Pawel Felder","Geigerstrasse 743
5586 Zollikon"
"Antonino Bauer","Seilerstrasse 22
4757 Urdorf"
"Noah Schaller","Haslerstrasse 41
9280 Genf"
"Ylenia Berger","Walterstrasse 33
7989 Schlieren"
"Bruna Meili","Schmidtstrasse 35
4332 Ebikon"
"Jaron Bättig","Hugstrasse 97
1364 Küsnacht"
"Margarita Martin Huber","Ottstrasse 72
8056 Val-de-Travers"
"Stephanie Meili","Steinerstrasse 2
3830 Meyrin"
"Lionel Fankhauser-Leu","Freystrasse 639
1627 Morges"
"Ester Zingg Hotz","Hoferstrasse 19
2656 Zofingen"
"Cyril Schmidt","Grossstrasse 41
5964 Veyrier"
"Graziella Schweizer","Hofstetterstrasse 3
6039 Muttenz"
"Prof. Tiago Wolf","Jäggistrasse 9
4517 Villars-sur-Glâne"
"Antonietta Hofer Schärer","Burristrasse 711
9035 Chêne-Bougeries"
"Inès Ammann Studer","Blumstrasse 9
4882 Liestal"
"Rodolfo Mettler-Lutz","Schlatterstrasse 1
4119 Emmen"
"Ivano Ritter","Bergerstrasse 38
8069 Küsnacht"
"Hermine Giger","Schulerstrasse 92
8690 Birsfelden"
"Annemarie Felder","Bergerstrasse 842
8737 Dietikon"
"Esther Peter","Merzstrasse 5
2200 Davos"
"Ingo Hauser","Frickstrasse 91
9988 Ebikon"
"Carolina Berger","Mettlerstrasse 743
2677 Siders"
"Julie Betschart","Stöcklistrasse 90
6246 Thônex"
"Charlotte Weibel-Stettler","Stockerstrasse 9
2085 Baden"
"Raoul Schuler","Kaiserstrasse 17
7023 Wallisellen"
"Lias Leu","Schärerstrasse 48
3411 Männedorf"
"Horst Baumann","Kochstrasse 63
9944 Bellinzona"
"Ardit Meili","Kägistrasse 35
7519 Muttenz"
"Myrta Seiler-Fischer","Friedlistrasse 17
2521 Sursee"
"Etienne Haas","Tannerstrasse 115
6369 Wallisellen"
"Albina Hotz","Felderstrasse 3
1340 Wohlen"
"Ludivine Felder","Portmannstrasse 387
3927 Arth"
"Prof. Annelies Knecht","Eglistrasse 41
4189 Le Grand-Saconnex"
"Jost Stadelmann","Mäderstrasse 966
2790 Gossau"
"Marcos Amrein","Grafstrasse 84
1603 Grenchen"
"Ian Fankhauser-Stocker","Lehmannstrasse 93
4084 Kloten"
"Prof. Wendelin Bucher","Vogtstrasse 84
4755 Zollikon"
"Sina Felder Kaiser","Leustrasse 23
9722 Altstätten"
"Gabrielle Portmann Scheidegger","Reystrasse 90
5315 Langenthal"
"Eugenia Bosshard","Kägistrasse 3
4815 Vevey"
"Henriette Christen","Fehrstrasse 53
7747 Basel"
"Margrit Stadelmann Frick","Imhofstrasse 191
5561 Ittigen"
"Hermann Näf-Staub","Bergerstrasse 5
6175 Spreitenbach"
"Ajla Grob","Beckstrasse 6
6389 Oberwil"
"Reto Kuhn","Zürcherstrasse 3
9202 Birsfelden"
"Marcela Wagner","Arnoldstrasse 314
8868 Sitten"
"Dr. Claudine Mayer","Burristrasse 54
6708 Bassersdorf"
"Marjan Brun","Islerstrasse 52
7891 Olten"
"Andrej Hasler-Bolliger","Hotzstrasse 78
8750 Freienbach"
"Eugenia Bühlmann","Näfstrasse 96
2277 Männedorf"
"Janina Beck","Kälinstrasse 42
5034 Glarus"
"Pietro Maurer","Baurstrasse 5
8273 Locarno"
"Osman Jenni","Bergerstrasse 87
7315 Thalwil"
"Hubert Moser","Rothstrasse 21
7763 Zollikofen"
"Fatime Hug","Bärstrasse 5
7343 Münchenstein"
"Ina Näf","Felderstrasse 54
7578 Münchenbuchsee"
"Leslie Stettler","Martistrasse 6
1649 Spreitenbach"
"Tony Schwab","Mayerstrasse 21
7862 Thalwil"
"Anja Schumacher","Hürlimannstrasse 881
4795 Aesch"
"Eugenia Hermann","Jennistrasse 89
1406 Davos"
"Stéphane Martin","Fischerstrasse 34
4127 Wettingen"
"Nico Aebi","Steffenstrasse 503
7649 Meilen"
"Prof. Sean Blum","Lüscherstrasse 29
8277 Münchenstein"
"Coralie Hürlimann","Schürchstrasse 558
2483 Spreitenbach"
"Kemal Iten","Hermannstrasse 88
3800 Allschwil"
"Jade Ackermann","Zbindenstrasse 83
8496 Villars-sur-Glâne"
"Claude Hoffmann-Knecht","Gfellerstrasse 729
3801 Baden"
"Kathrin Ziegler","Eglistrasse 15
3233 Freiburg"
"Federica Lüthi","Baderstrasse 64
5492 Oberwil"
"Eva Wirth","Schwarzstrasse 414
1802 Spreitenbach"
"Inês Hoffmann","Scheideggerstrasse 312
3153 Buchs"
"Luis Burri-Lustenberger","Kochstrasse 79
6623 Zofingen"
"Günther Hürlimann","Eichenbergerstrasse 6
4413 Zollikon"
"Nicholas Siegrist","Zbindenstrasse 754
2110 Weinfelden"
"Ivica Schneider","Hafnerstrasse 92
6444 Bern"
"Pauline Hasler","Bolligerstrasse 1
2847 Baar"
"Zlatko Herzog","Jennistrasse 14
7328 Schlieren"
"Marie-Jeanne Stutz","Bühlmannstrasse 21
1546 Belp"
"Erina Wirz","Hunzikerstrasse 561
9365 Morges"
"Evan Mettler","Häfligerstrasse 525
8535 Zug"
"Mélissa Meili","Lutzstrasse 61
3166 Sarnen"
"Dr. Bluette Tanner","Schochstrasse 125
7174 Rapperswil-Jona"
"Derya Gut","Flückigerstrasse 2
1700 Oberwil"
"Manon Senn Zehnder","Pfisterstrasse 188
4284 Sitten"
"Rolf Seiler","Zehnderstrasse 76
7206 Affoltern"
"Nada Stocker Müller","Lanzstrasse 51
1038 Neuhausen"
"Tiziana Albrecht","Hirtstrasse 54
7876 Frauenfeld"
"Gudrun Ackermann Koch","Gasserstrasse 33
2048 Risch"
"Colin Stöckli","Käserstrasse 1
9303 Wetzikon"
"Evelin Siegrist","Schlatterstrasse 253
1633 Altstätten"
"Ricardo Bernasconi","Staufferstrasse 79
8632 Lugano"
"Prof. Leni Bosshard","Betschartstrasse 95
3678 Wettingen"
"Lorena Brun Hartmann","Schmidstrasse 7
6540 Schaffhausen"
"Prof. Lotti Roth","Häfligerstrasse 8
3995 Münchenstein"
"Cecilia Wegmann","Kälinstrasse 10
4734 Spiez"
"Simona Häfliger","Seilerstrasse 616
1752 Onex"
"Nicola Hermann-Weibel","Zbindenstrasse 92
6401 Binningen"
"Bastian Lüthi","Gerberstrasse 48
2359 Gossau"
"Kristijan Graf","Blaserstrasse 223
5145 Nyon"
"Evelyn Portmann","Martinstrasse 627
3816 Horgen"
"Kamil Ziegler","Blaserstrasse 512
3285 Ittigen"
"Carl Studer","Mäderstrasse 92
2076 Arth"
"Luz Kessler Gerber","Staubstrasse 3
8452 Le Grand-Saconnex"
"Dr. Raphaël Hasler","Hoferstrasse 17
1442 Zollikofen"
"Fabia Martin","Albrechtstrasse 92
8386 Zollikon"
"Berta Probst Walter","Hodelstrasse 99
4330 Sitten"
"Ardian Weber","Pfisterstrasse 31
1944 Dietikon"
"Magdalena Friedli","Felberstrasse 31
2049 Arbon"
"Sérgio Steiner","Schürchstrasse 83
2434 Küsnacht"
"Fabia Herzog Schärer","Langstrasse 34
6282 Montreux"
"Benno Zimmermann","Amreinstrasse 27
9419 Binningen"
"Prof. Jacqueline Fuchs","Scheideggerstrasse 28
6746 Aigle"
"Ardian Benz","Fankhauserstrasse 951
6297 Le Grand-Saconnex"
"Vivian Egger Portmann","Thommenstrasse 4
8704 Ostermundigen"
"Klara Mayer","Studerstrasse 252
6964 Aesch"
"Brigitta Bär","Studerstrasse 79
1585 Spreitenbach"
"Dr. Alexis Leu","Braunstrasse 27
7459 Locarno"
"Noel Siegrist","Bauerstrasse 5
8348 Allschwil"
"Prof. Diogo Geiger","Joststrasse 134
6718 Richterswil"
"Fabia Vogel","Gloorstrasse 62
6212 Möhlin"
"Dr. Driton Hirt","Mäderstrasse 1
8132 Brig-Glis"
"Prof. Silvia Seiler","Weberstrasse 95
7510 Brugg"
"Amina Wegmann","Zürcherstrasse 465
6358 Muri"
"Tina Burri-Wüthrich","Wirzstrasse 2
3947 Einsiedeln"
"Jost Baumgartner","Grobstrasse 15
6535 Wetzikon"
"Sabine Tanner Staub","Ammannstrasse 72
6766 Prilly"
"Géraldine Hirt","Brunnerstrasse 4
5716 Glarus"
"José Sidler","Ottstrasse 450
1951 Rheinfelden"
"Janick Hürlimann","Schallerstrasse 5
7325 Lenzburg"
"Fabian Käser","Kellerstrasse 498
7021 Pratteln"
"Giuseppina Ferrari-Bolliger","Sennstrasse 3
5453 Baden"
"Prof. Kristian Wettstein","Geigerstrasse 58
2892 Burgdorf"
"Dr. Estelle Lehmann","Schwarzstrasse 64
2754 Münchenstein"
"Lenny Weber","Toblerstrasse 72
6372 Hinwil"
"Prof. Nadège Michel","Martinstrasse 6
2792 Versoix"
"Fatih Blum","Wehrlistrasse 12
3231 Monthey"
"Lias Schaller","Wehrlistrasse 8
9696 Oftringen"
"Graziella Schuler","Rothstrasse 11
9786 Luzern"
"Dr. Admir Suter","Herzogstrasse 3
7589 Liestal"
"Fabiana Fehr Hafner","Michelstrasse 12
6038 Wallisellen"
"Käthi Ott Hofer","Eggerstrasse 36
6508 Bülach"
"Ida Schär Schneider","Gfellerstrasse 590
5714 Plan-les-Ouates"
"Hansjürg Bosshard","Martistrasse 537
7234 Glarus"
"Markus Eugster","Schwabstrasse 9
3618 Arth"
"Elif Schärer","Rüeggstrasse 70
7181 Wallisellen"
"Vito Jenni","Toblerstrasse 64
1907 Vevey"
"Lorenz Huber-Kern","Favrestrasse 30
8407 Wil"
"Faruk Hofer","Käserstrasse 51
7875 Thalwil"
"Hedwig Mayer-Flückiger","Stalderstrasse 81
5062 Monthey"
"Fabienne Hartmann","Schärerstrasse 958
6773 Luzern"
"Ottilia Lutz","Ernistrasse 250
7699 Martigny"
"Dr. Brian Moser","Scherrerstrasse 78
3263 Oftringen"
"Ute Brun","Bärstrasse 1
8291 Gossau"
"Faruk Schnyder","Hoferstrasse 49
9236 Winterthur"
"Norma Bühler","Sigriststrasse 2
1324 Köniz"
"Camilla Hug","Amreinstrasse 31
3582 Cham"
"Dr. Renzo Rey","Leustrasse 281
1493 Lutry"
"Dr. Maëlle Lehmann","Huberstrasse 32
8061 Baar"
"Aferdita Haas-Bieri","Ackermannstrasse 39
4523 Luzern"
"Fabienne Schürch","Ottstrasse 6
5858 Villars-sur-Glâne"
"Leona Egli-Winkler","Hunzikerstrasse 74
6574 Lenzburg"
"Soraya Braun","Zimmermannstrasse 57
5869 Morges"
"Dr. Flurina Gfeller","Suterstrasse 805
4436 Locarno"
"Ella Steinmann","Küngstrasse 97
7436 Affoltern"
"Amira Tobler","Schaubstrasse 2
2979 Horw"
"Albulena Christen-Schneider","Wagnerstrasse 9
6216 Köniz"
"Yann Bättig","Steinmannstrasse 564
4938 Villars-sur-Glâne"
"Mia Hirt","Baurstrasse 23
9357 Bellinzona"
"Elke Ammann-Sutter","Martistrasse 9
7361 Altstätten"
"Fabienne Tanner","Hotzstrasse 95
8061 Aarau"
"Beatrix Bühler","Bieristrasse 41
4419 Val-de-Ruz"
"Dr. Giulio Wenger","Martistrasse 57
1114 Brugg"
"Anita Frick","Wirthstrasse 51
5617 Wald"
"Enver Schnyder","Schärerstrasse 70
7793 Aesch"
"Gladys Wirz","Wegmannstrasse 17
4398 Aesch"
"Louisa Fehr Blaser","Eglistrasse 80
4256 Ebikon"
"Roger Ziegler","Imhofstrasse 99
9714 Lugano"
"Aylin Hirt","Freystrasse 4
2848 Chêne-Bougeries"
"Alois Hauser","Kuhnstrasse 5
2645 Risch"
"Fabio Ferrari","Geigerstrasse 22
9834 Schwyz"
"Gaëlle Hürlimann","Staubstrasse 81
9235 Wohlen"
"Hannelore Kägi","Bianchistrasse 136
9576 Wallisellen"
"Jade Schlatter","Scherrerstrasse 90
7033 Rheinfelden"
"Alexandra Schwarz","Lehmannstrasse 9
1056 Möhlin"
"Aloisia Stadelmann Kuhn","Kaufmannstrasse 69
2181 Villars-sur-Glâne"
"Rose-Marie Schürch Wolf","Zimmermannstrasse 20
9079 Gossau"
"Gertrude Iten","Bühlmannstrasse 916
1948 Thun"
"Manuel Schürch","Sennstrasse 33
3307 Pratteln"
"Lothar Ziegler","Suterstrasse 87
6949 Ecublens"
"Fabio Steinmann","Schürchstrasse 629
7057 Delsberg"
"Prof. Marijana Stauffer","Reystrasse 976
2900 Olten"
"Andrin Fehr","Blumstrasse 4
4214 Ebikon"
"Jason Isler","Roosstrasse 19
1731 Arbon"
"Regula Hafner","Fischerstrasse 536
4373 Reinach"
"Balthasar Jäggi","Kälinstrasse 59
7478 Affoltern"
"Brian Thommen","Ernistrasse 3
2913 Volketswil"
"João Scheidegger","Kesslerstrasse 3
6850 Flawil"
"Shaban Mettler","Kaiserstrasse 86
8024 Gossau"
"Laila Braun Fischer","Kunzstrasse 29
6260 Suhr"
"Fabiola Lüscher","Zimmermannstrasse 45
2086 Glarus"
"Milka Gloor","Blumstrasse 753
8774 Riehen"
"Raphaela Scheidegger","Kunzstrasse 296
7369 Biel/Bienne"
"Fatmire Betschart Zimmermann","Hotzstrasse 58
2193 Opfikon"
"Dr. Artur Senn","Bärstrasse 7
3145 Cham"
"Jonas Furrer","Bühlerstrasse 3
2700 Wetzikon"
"Ian Kaiser","Eglistrasse 54
3900 Wallisellen"
