"אביאל אברמוב"|"צוקית 29, ברקת, 9769678" 
"ליאם מנסור"|"מירון 27, מעונה, 7194923"
"עילי ביטון"|"הולצברג שמחה 71, מלאה, 8228800"
"שרה זועבי"|"יחזקאל הנביא 27, צורית, 8805508"
"בן סואעד"|"צובה 49, האון, 3433109"
"תהל ליפשיץ"|"אל הודא סמ3 42, ריינה, 0652132"
"זינה שחר"|"מרחביה )מושב( 40, חשמונאים, 6860534"
"אביטל עמרם-אגבאריה"|"השיח 91, עדי, 4881707"
"איתמר מנצור"|"צור 35, נטע, 1726276"
"יונתן גרינברג"|"רח 1238 06, עמקה, 1276601"
"נועם בר"|"הברדלס 76, תלמי אליהו, 8088096"
"אלין נתשה"|"סמ מאלה 79, אודם, 7972813"
"עילאי ביטון"|"הר צרור 03, שפר, 4525228"
"אברהם סבן"|"חיים וייצמן 44, גדות, 7600873"
"אימאן טולדנו"|"הרב עוזיאל 33, אבו רובייעה )שבט(, 4677078"
"ישראל עבאס"|"המסגר 15, הסוללים, 6534328"
"שקד אהרן"|"אלמנשיה-מושירפה 36, משמר העמק, 0836110"
"תום שרון"|"יחזקאל הנביא 27, בני ציון, 8793693"
"איתמר סלע"|"שני 07, שיטים, 6258330"
"אריאל איפרגן"|"הגפן 57, מרחביה )מושב(, 5783586"
"אדם שמעון"|"מורן 27, נורדיה, 3798524"
"פלג יוסף"|"אשל 56, מלאה, 9177429"
"דוד הררי"|"יונה 38, גרופית, 7737490"
"אחמד בן דוד"|"המנוע 27, אל סייד, 7390521"
"אהרון הרוש"|"חצב 60, העוגן, 0935783"
"מאיר אברהם"|"אזור תעשייה מזרח 19, גיתית, 3233306"
"אושר מחאמיד"|"הפעמון 72, יד רמב""ם, 4277081"
"הודיה מנסור"|"חיים וייצמן 64, גבעת השלושה, 7529841"
"איתמר קליין"|"טביב 99, רחוב, 5205099"
"מוחמד קדוש"|"צפת 82, ריינה, 5815546"
"אריאל חדד"|"מבוא חמה 17, מגאר, 5261626"
"רעות גולן"|"סמ מסילה א 71, שדות מיכה, 9442904"
"אדם פרץ"|"לביא אריק 92, בית חנן, 4044996"
"מוריה אהרון"|"דריפוס 48, דוב""ב, 2341904"
"שי מיכאלי"|"התאנה 76, בית חשמונאי, 7299730"
"שילה כהן"|"אל-מחאג'ר סמ4 54, אורטל, 2398203"
"תמר הללי אסרף"|"יכין 23, עדי, 0577595"
"יואל סאלח"|"שושנה דמארי 82, עמוקה, 7784927"
"איתן אהרן"|"העבודה 82, באר מילכה, 7830562"
"רות בן דוד"|"שכ קחאוש 80, נווה חריף, 3774790"
"מלכה ימין"|"הזיתים 09, כפר סירקין, 2502381"
"אלחנן לוי"|"לביא אריק 80, שפר, 9767062"
"בת טולדנו"|"חזן יעקב 95, גנות הדר, 5593066"
"ליאור כץ"|"בית אבות 10, כפר מסריק, 7437312"
"תמר מחאג'נה"|"צמחי היהודים 28, משמר העמק, 5173121"
"לאה אבו טיר"|"המלאכה 22, בית חנן, 5624628"
"עופרי סואעד"|"שד גת 87, בני ציון, 2951843"
"רועי דוד"|"ברגמן אליעזר 09, צורית, 4776977"
"איתן אוחנה"|"אל-מחאג'ר סמ3 78, גנות הדר, 8502950"
"עלמה פוגל"|"אשדוד 49, שתולים, 1112368"
"חנה כהן"|"דרך חלמית 37, ברקאי, 9876207"
"עידו טל"|"חתוכה יורם 97, מלאה, 6384361"
"דניאל סבן-אביטל"|"האצטדיון 10, בית חנן, 7473742"
"יעל עאסלה"|"מבצע הראל 70, צורית, 2065240"
"עדן חיון"|"משואות יצחק 62, גדות, 6786220"
"אליה קאופמן"|"רח 5041 48, תלמי אליהו, 6064511"
"עדי גולדנברג"|"הקישון 32, גנות הדר, 8216908"
"רוני עליאן"|"אל-חראיק סמ3 68, משמר העמק, 0030537"
"איתן אלבז"|"עבד אל-גני 07, שפר, 9618225"
"אהובה גרבאן"|"שכ 14 96, מסד, 0582951"
"שחר מנצור"|"מבוא חיים מקובנה 42, שדי תרומות, 7526265"
"אלרואי שאהין"|"כפר ילדים נרדים 12, צורית, 6893422"
"עומר רחמים"|"ש רמת אביב 94, מכמורת, 0758677"
"אושר שולמן"|"אזור תעשייה 47, כפר הנוער הדתי, 3227562"
"נועם סלאמה"|"בשמת 14, נתיב השיירה, 0241181"
"רומי פורת"|"לח""י 11, כפר הנוער הדתי, 3259075"
"ג'וד חדאד"|"האודם 03, עמקה, 4556137"
"יעקב זינגר"|"טאבליא 67, נורדיה, 4925555"
"איתן ארז"|"דרך חלמית 49, באר מילכה, 9500862"
"שרה יצחק"|"פרי חדש 45, כפר יונה, 2248631"
"נוה אלמלח"|"שכ הפועל המזרחי ג' 74, מגאר, 6206561"
"מוחמד גור"|"בילינסון 99, כסלון, 1177061"
"אליהו כרמי"|"מרכז 56, שיטים, 1469399"
"רפיף פנחס"|"המגינים 82, נירן, 5321910"
"מוחמד פוקס"|"האצ""ל 88, שדות מיכה, 2752824"
"עדי יאסין"|"זכרון יעקב 13, מגן, 8774995"
"תאלא עמית"|"מבוא הזיתים 83, לקיה, 5486227"
"חיה ברמן"|"מעלה כגן הלנה 33, עזר, 9543737"
"איתן בכר"|"אגוז 42, נורדיה, 1658205"
"אריאל אליהו"|"עמוס הנביא 28, עין השופט, 5967050"
"ליאור קרמר"|"הר יהל 24, בית הלוי, 5283123"
"מעיין אלקובי"|"טביב 37, כפר סירקין, 8043532"
"יואל אוחנה"|"יואב 90, כפר הנוער הדתי, 4119085"
"תאלא מלאק רוזנפלד"|"אל-ט'הרה סמ7 59, צורית, 0439683"
"מיקה עטיה"|"המצודה 14, נטע, 3089219"
"חוה ביטון"|"כוכב הצפון 66, ברקאי, 8099744"
"מרדכי בשיר"|"סמבורסקי דניאל 26, שיטים, 3481667"
"יוסף מחמוד סואעד"|"רקפת 76, אודם, 4530491"
"איתן בן חמו"|"דולצ'ין אריה 37, אור הנר, 8340252"
"דניאל ירושלמי"|"החליל 61, חצור-אשדוד, 6457566"
"נטע חאג' יחיא"|"המגינים 46, אביבים, 8072011"
"יצחק דהן"|"החצב 52, בית ברל, 7471392"
"אלמה הורוביץ"|"בן צבי יצחק 08, שתולים, 2309223"
"שחר מוזס"|"שז""ר זלמן 78, בית חנניה, 6526863"
"אלרואי עאמר"|"גיבתון חנוך 93, פוריידיס, 4489188"
"משה חלבי"|"אלעמשקה 57, מכמורת, 5477298"
"שולמית איפרגן"|"אלמנשיה-מושירפה 69, סער, 4510976"
"דפנה זילברמן"|"רמת האירוסים 26, דוב""ב, 9257528"
"איתן ברזילי"|"המפרש 35, לקיה, 5217303"
"אחמד אנגל"|"הרב ניסים 97, גבעת כ""ח, 3347015"
"לאה מסרי"|"האורנים 51, עין צורים, 8623275"
"אביגיל ברוך"|"בית היוצר 50, רמות מנשה, 0067757"
"כפיר מסרי"|"רח רז 24, תלמי אליהו, 0329148"
"פרח כהן"|"המשור 00, בית הלוי, 3969397"
"הודיה אליהו"|"החלוצים 27, נחלה, 1536197"
"אופיר זכריה"|"משעול התפוח 61, רחוב, 8863049"
"אלימלך בר"|"ביל""ו 50, הסוללים, 5722535"
"לירז רוזנברג"|"התקוה 24, אבו רובייעה )שבט(, 9491980"
"איתן ברנשטיין"|"שאר ישוב 26, מכמורת, 6376225"
"שרה כהן"|"שכ עראק אלשבאב 93, ורד יריחו, 4817195"
"אגם שמעון"|"לסקוב חיים 51, בני ציון, 4096762"
"גלי שמואלי"|"דרך הארץ 02, הסוללים, 2909063"
"נעמי סגל"|"דולב 22, בני ציון, 1368198"
"נגה סאלח-חאג'"|"נתן 21, נתיב השיירה, 7958890"
"מוחמד עטיה-פוקס"|"מזל שור 83, נטע, 2358570"
"הלל אוחיון"|"העבודה 54, מעונה, 9320648"
"איתמר אוחיון"|"נחל נחשון 28, פוריה - נווה עובד, 3667779"
"ינאי לוגסי"|"אלכרום 24, ברקאי, 2380647"
"איתן גאנם"|"לוטם 42, שתולים, 7527888"
"יהונתן מזרחי"|"פרופס 96, בית הלוי, 3040685"
"אביגיל אלסייד"|"עומר 56, אודם, 1219734"
"רהף וינברג"|"התאנה 31, מגן, 6158416"
"הדר רחמים"|"אל זיתון סמ2 98, בית חשמונאי, 4974107"
"חלא גאבר"|"שכ קחאוש 77, שדות מיכה, 4935514"
"טוביה ויצמן"|"שמחוני אסף 37, משמר העמק, 4512957"
"סהר יפה"|"טביב 18, עמיר, 8253521"
"נחמה כהן"|"פטדה 88, ריינה, 2980813"
"אריאל חג'אזי"|"ההגנה 87, עדי, 6164321"
"איתן גבארה"|"החבל 00, שפר, 2340310"
"אלה גאנם"|"כפר ילדים נרדים 49, שעב, 1806248"
"מוריה שלו"|"בשמת 06, אבו רובייעה )שבט(, 2068927"
"ג'ורי כהן"|"הפרדס 15, אביחיל, 2265086"
"אלמה סגל"|"פרופס 09, פוריידיס, 4812969"
"נטע טוויל"|"סביונים מכבים רעות 68, גבעת כ""ח, 8547203"
"אחמד פלדמן"|"מצדה 32, עצמון שגב, 0040244"
"שון אופיר-גדיר"|"אלסריס 64, שיטים, 3947732"
"נעמי גרוס"|"אהרון מאיר מזיא 09, פקיעין חדשה, 2087423"
"לירוי חביבאללה"|"השיח 85, חיננית, 1813826"
"איתן הירש"|"אזור תעשיה א' 75, סער, 7169136"
"ליה מאיה אבו סאלח"|"הרשת 85, עמוקה, 4554352"
"נועה מנחם"|"המנוע 61, בית הלוי, 7661158"
"אסתר משיח"|"רש""י 64, רגבה, 3818484"
"רומי לוין"|"שקד 06, יד רמב""ם, 0042493"
"מוחמד שקד"|"ישועת דוד 96, בית ברל, 3669825"
"הודיה מוסקוביץ"|"עין שביב 88, אטרש )שבט(, 4350492"
"עופרי חסון-עבוד"|"גיבתון חנוך 42, כפר מסריק, 8303749"
"רפאל מנחם"|"גבעת חיים )מאוחד( 84, רגבה, 5089855"
"נתנאל סופר"|"הל""ה 08, נתיב השיירה, 2212994"
"איתן וולף"|"כרם חמד 36, עזר, 2196322"
"יעקב ברקוביץ"|"כרם חמד 12, נוקדים, 9076046"
"עמית כהן"|"דימיטר פשב 94, אור הנר, 9685412"
"עומר שמואל"|"אזור בית הקברות 07, רימונים, 4665433"
"אביה מחאמיד"|"אל הודא סמ3 88, דוב""ב, 5350112"
"אלי אברהם"|"נתיב הפורצים 92, גבעת כ""ח, 4501288"
"אדל כהן"|"חושן 43, אורטל, 0345413"
"מעיין שרון"|"צופית 22, ברקאי, 5959586"
"אביאל פרץ"|"חלמיש 44, כפר הנוער הדתי, 7426704"
"הראל אזולאי"|"הרדוף 88, סער, 9003761"
"איתן חדאד"|"מעונות ים 92, מגן, 8552007"
"בת שבע אלקרינאוי-מנצור"|"ברקת 69, אור הנר, 8111235"
"שמחה עמית"|"איילת השחר )מ ק( 25, מרחביה )מושב(, 0692797"
"מרדכי פלג"|"מרווה 57, ברקת, 7665181"
"מיכל גרוסמן"|"דרך הגן 88, שדי תרומות, 9471502"
"הודיה אליענה דוד"|"אלסריס 93, זוהר, 6480989"
"יהב בן שבת"|"מזרחי יוסף 68, עלי זהב, 5800806"
"אלחנן סלימאן"|"אל-מחאג'ר סמ3 74, גונן, 9936747"
"שני רות בר"|"שכ מחניים 46, גדות, 7786929"
"נעמה חזן"|"קרית עקרון 82, מלאה, 9639531"
"איתן חיימוב"|"אל-לימון 92, כפר יונה, 7955100"
"איילה בדארנה"|"כנרת 42, גן שורק, 5440176"
"ישראל כץ"|"המלאכה 51, ברקאי, 4355498"
"שמעון ששון"|"טביב 15, מכמורת, 9796206"
"אורי כרמי"|"התאנה 07, מלאה, 7272713"
"אביגיל רז"|"נחל סרפד 51, עמיר, 8336705"
"תהילה הייב"|"הגפן 11, עמוקה, 8484575"
"מג'ד קאסם"|"שמעון המכבי 48, סער, 1218307"
"נוה אזולאי"|"בית יצחק-שער חפר 40, נתיב השיירה, 8837786"
"שמואל גרינברג"|"הרבי מליובאוויטש 03, שדות מיכה, 3286132"
"איתן חן"|"סלא איירין 08, עין השופט, 7609458"
"ליעד מועלם"|"ע הלל 70, כפר סירקין, 4587292"
"אלרואי שחר"|"בשמת 05, גבעת כ""ח, 8546669"
"רימא מלכה"|"ש""ץ גרשון 40, גן שורק, 3364526"
"שרה מחאמיד"|"ש אסבסטונים 32, ברקת, 8105469"
"הניה משה"|"הפעמון 14, אל סייד, 2998441"
"רפיף מחאמיד"|"סמ מסילה א 66, סער, 0727840"
"הילה רוזנברג"|"צור 31, שפר, 1148699"
"מאיה ותד"|"המלאכה 16, בני ציון, 9104203"
"אריה לנדאו"|"ש""ץ גרשון 70, הסוללים, 1849764"
"איתן כהן"|"שכ היובל 38, גנות הדר, 5452122"
"זואי שניידר"|"יכין 42, מלאה, 2727672"
"מוחמד שכטר"|"רש""י 52, האון, 2627738"
"יוסף שטרן"|"ברזיל 23, עין צורים, 5171363"
"עמנואל מחאג'נה"|"הורדים 61, עלי זהב, 2146896"
"סלמא ממן"|"ככר נחשון 19, אביחיל, 7692772"
"שרה ח'טיב"|"אלזאבוד 97, רגבה, 4658099"
"אמיתי אדרי"|"הרדוף 58, מירון, 3142962"
"זיו פריד"|"רבקה אמנו 11, מסד, 6496075"
"יוסף כץ"|"חוחית 04, גיתית, 1468085"
"איתן לוי"|"החשמל 13, חשמונאים, 6230957"
"שמואל גולן"|"רח 12 16, ברקאי, 8994930"
"מוחמד גאבר"|"מצדה 50, חצור הגלילית, 9695462"
"אדם קרן"|"אלכתאב 54, כסלון, 5662965"
"יאמן שניידר"|"תל חי 92, צפרירים, 5419844"
"שרה עובדיה"|"אתגר 78, האון, 4367658"
"מאי עואד"|"אשל 91, לקיה, 7448385"
"אליה אמסלם"|"שז""ר זלמן 72, חשמונאים, 9211450"
"אדל בן שושן"|"קנין הארץ 56, מזכרת בתיה, 7502575"
"מוחמד נגר"|"הצבעוני 37, מזכרת בתיה, 9779726"
"איתן לוי"|"שומרון 22, רחוב, 9426567"
"ליבי אבו ליל"|"כרם חמד 43, גיתית, 4371006"
"ירדן פרץ"|"שכ החלוצים 19, פוריה - נווה עובד, 8129959"
"מלאק פוקס"|"סמ שפיפון 57, שדי תרומות, 0133506"
"עלמה שטיינברג"|"ש ציונים כלליים 76, כסלון, 4772876"
"שלום אבו עראר"|"אלישר 54, צורית, 3638564"
"מעיין אדרי"|"האורן 38, שדי תרומות, 0776791"
"גליה רובין"|"אל-פארוק סמ2 58, נווה חריף, 3988812"
"בילא נגר"|"ההגנה 49, מלאה, 3347796"
"איילה סואעד"|"סמ מאלה 20, גבעת כ""ח, 2869795"
"איתן מרדכי"|"זיגורד 55, רימונים, 0195889"
"אלון אלימלך"|"אח""י אילת 61, שדות מיכה, 1615677"
"הראל חמדאן"|"הדרך האמריקאית סמ12 75, פוריה - נווה עובד, 0281823"
"נועם כהן"|"רח 124 43, גנות הדר, 0042174"
"הלל לב"|"סמ שפיפון 46, שפר, 8929399"
"אריאל דוד"|"תרצ""ו 35, דוב""ב, 2381583"
"פערל אבו ריא"|"מירון 83, שדות מיכה, 0745742"
"אורי חיימוב"|"אברבנאל 67, פוריידיס, 2834462"
"אוריה לביא"|"סמ השחף 65, חיננית, 1996898"
"שירה אברהם"|"היוזם 34, עין צורים, 7403937"
"אלה אברמוביץ"|"מבצע עובדה 12, חצור הגלילית, 6466672"
"סהר גרוס"|"שכ רסקו 38, נירן, 4815452"
"נהוראי דניאל חיון"|"מישאל 28, כפר יונה, 7936578"
"ברכה עיסא"|"לוד הצעירה 51, אביבים, 3219301"
"ליאן מזרחי"|"כזיב 86, חצור-אשדוד, 4402008"
"שמואל חיון"|"הפרדס 73, מלאה, 3557297"
"רבקה מסרי"|"הל""ה 88, עין צורים, 4192428"
"מאיר ראובן"|"גרטרוד קראוס 89, דולב, 8526346"
"נעמה מילר"|"שד העצמאות 08, נטע, 5666348"
"הלל חזן"|"פדויים 65, צורית, 3968563"
"אלה בוחבוט"|"יאפא 58, אורטל, 1641093"
"יהונתן כהן"|"הצבעוני 74, גדות, 5897739"
"איילה מנשה"|"שבזי 95, דוב""ב, 7681845"
