"Aada Viitala"|"Fallpakankatu 8
84238 Lohja" 
"Marjatta Silvennoinen"|"Laurinniitynbulevardi 2
74634 Rantasalmi"
"Juhani Laurila"|"Haahkakatu 5
01849 Lemland"
"Sari Kulmala"|"Fallpakankatu 8
51511 Pyhäjärvi"
"Tuulikki Pulkkinen"|"Tuohikoivunbulevardi 760
16344 Kankaanpää"
"Sanna Hakala-Matikainen"|"Bergankuja 4
71470 Ypäjä"
"Annika Turunen"|"Betonikatu 6
30088 Muonio"
"Tuomas Kivimäki"|"Birger Kaipiaisen bulevardi 998
30119 Parkano"
"Emilia Palomäki"|"Veropellonkatu 02
81926 Kihniö"
"Daniel Heikkinen"|"Laakavuorentie 53
99710 Siuntio"
"Tapio Eklund"|"Orvokkipolku 230
74595 Paimio"
"Tapani Karppinen"|"Capellan puistotie 945
74205 Muhos"
"Maria Tuominen"|"Sapilasbulevardi 04
07049 Kuortane"
"Kai Ronkainen-Kosonen"|"Niitynperänkatu 14
38613 Kangasniemi"
"Johannes Virta"|"Verkkokuja 35
70548 Kemijärvi"
"Jaakko Holmberg"|"Hannukselankatu 845
86047 Kuortane"
"Maria Lehikoinen"|"Yrttimaanpolku 10
83520 Lemland"
"Susanna Aho"|"Jäkäläkuja 5
54039 Keitele"
"Maria Helenius"|"Gadolininkuja 2
77541 Pirkkala"
"Eelis Nylund"|"Veräjämäenkuja 390
11362 Hyrynsalmi"
"Taina Lehtinen-Ahola"|"Chydeniuksentie 6
50176 Kustavi"
"Marika Koistinen"|"Caloniuksenpolku 30
34066 Lahti"
"Kullervo Vesterinen"|"Elonkuja 201
38764 Miehikkälä"
"Alexandra Kemppainen"|"Poikasaartentie 661
34061 Tornio"
"Tapio Valtonen"|"Taavinkatu 4
06382 Soini"
"Aleksi Alatalo-Ranta"|"Wecksellinpolku 9
81240 Koski Tl"
"Seppo Tiainen"|"Pohjolantie 44
78307 Janakkala"
"Taneli Martikainen"|"Jätkäsaarenkuja 038
67662 Pedersören kunta"
"Heli Holappa"|"Agroksenpolku 177
88952 Pori"
"Eelis Voutilainen-Kemppainen"|"Uunisepänkuja 734
82490 Juva"
"Olavi Juntunen"|"Wavulininkuja 57
71551 Luhanka"
"Teemu Saari"|"Jännetie 40
41948 Kokemäki"
"Juhana Eskelinen"|"Rukoushuoneenkuja 233
48718 Nousiainen"
"Hillevi Moilanen"|"Ilmattarenkatu 4
65033 Ranua"
"Sakari Pehkonen-Mikkola"|"Osmonpolku 3
32589 Haapajärvi"
"Jarmo Eskola"|"Rantavarastonkuja 434
49513 Kauhava"
"Kaarlo Laiho"|"Benktankuja 51
07849 Rautjärvi"
"Päivi Savolainen"|"Laurinniityntie 7
11740 Valkeakoski"
"Ilona Kovanen-Ojala"|"Rantavarastonkatu 067
44114 Mikkeli"
"Eemeli Kainulainen"|"Niitynperänkatu 70
86519 Kirkkonummi"
"Sakari Aho"|"Bengalinbulevardi 8
95656 Maarianhamina"
"Elisabet Mustonen"|"Urputie 176
45110 Siuntio"
"Juhani Lappalainen-Suominen"|"Poikasaartenkatu 23
51103 Oripää"
"Mirjam Kaikkonen"|"Jälsikatu 943
10207 Lapua"
"Matti Kuusela"|"Uunilinnunkuja 946
79675 Saarijärvi"
"Juha Sihvonen-Saarinen"|"Ilmattarenbulevardi 7
56145 Karkkila"
"Antero Puhakka-Ronkainen"|"Tukkisillantie 19
16723 Rautavaara"
"Lotta Sirviö"|"Nervanderinkuja 629
44091 Rautjärvi"
"Pentti Hartikainen"|"Immolankatu 414
13056 Ylöjärvi"
"Eemeli Keränen"|"Fallkullankatu 13
18565 Jokioinen"
"Petteri Heino"|"Saanatunturinkuja 60
49596 Kalajoki"
"Tapio Kärkkäinen"|"Chydeniuksentie 103
19505 Polvijärvi"
"Veli Mäkelä"|"Kimmonkatu 3
64829 Marttila"
"Alisa Jokinen"|"Zaidankatu 23
26416 Parikkala"
"Liisa Aho"|"Gunillanpolku 149
13600 Ranua"
"Mikael Rautiainen"|"Haagan pappilanpolku 26
92367 Pirkkala"
"Outi Mäki"|"Rapakivenkuja 964
16658 Iisalmi"
"Markus Mattila"|"Mamsellimyllynpolku 217
94545 Valtimo"
"Antero Kumpulainen"|"Bertel Jungin kuja 733
05319 Maarianhamina"
"Eemeli Lahtinen"|"Böstaksenpolku 360
35139 Hammarland"
"Juuso Ruotsalainen"|"Hankasuonkuja 6
72768 Tammela"
"Pauliina Hakkarainen"|"Tyynylaavanbulevardi 829
67668 Kemi"
"Johannes Karvonen-Timonen"|"Malminkartanontie 2
53172 Vihti"
"Olavi Lehto"|"Haakoninlahdenkuja 278
07097 Keminmaa"
"Eelis Lehtonen"|"Biologinkuja 08
98187 Kivijärvi"
"Anneli Karjalainen"|"Jägerhorninkuja 1
19550 Keitele"
"Susanna Järvinen"|"Saanatunturinbulevardi 3
64243 Kivijärvi"
"Jorma Salonen"|"Gunillantie 18
94558 Pedersören kunta"
"Hilkka Järvenpää-Mäkelä"|"Nelikkokatu 6
27508 Suomussalmi"
"Eemeli Nieminen"|"Fahlanderin puistopolku 628
48183 Siikajoki"
"Kalevi Virta"|"Rantavarastonbulevardi 8
89534 Masku"
"Maria Tanskanen"|"Gadolininkuja 672
02284 Eura"
"Maria Kukkonen"|"Niittylänbulevardi 8
21561 Isojoki"
"Johannes Kukkonen-Haavisto"|"Saanatunturinbulevardi 550
23201 Kaskinen"
"Roope Viitala"|"Porebulevardi 64
81523 Padasjoki"
"Tuuli Heiskanen"|"Fredrikinbulevardi 9
58747 Liminka"
"Marjo Karjalainen"|"Agnetanbulevardi 26
94475 Jämsä"
"Jari Haapaniemi"|"Pyörökivenbulevardi 034
80456 Veteli"
"Kalevi Leskinen"|"Uurtajanpolku 1
07174 Värdö"
"Eemeli Nyman"|"Gyldéninkuja 54
01238 Varkaus"
"Tuomo Penttilä"|"Kolsinpolku 091
69125 Kolari"
"Milla Koivisto"|"Iespolku 024
26159 Rautavaara"
"Joel Kosonen"|"Degermosanpolku 277
90167 Pyhäranta"
"Jukka Tolvanen"|"Haahkakatu 14
48192 Askola"
"Minna Lehtinen-Pulkkinen"|"Elonbulevardi 1
94879 Lemland"
"Akseli Seppänen"|"Niitynperänpolku 72
92636 Ilomantsi"
"Tuulikki Niemelä"|"Jäkälätie 4
76969 Joutsa"
"Rauno Toivanen"|"Jägerhorninbulevardi 49
30197 Kivijärvi"
"Valdemar Mäkinen"|"Oravapolku 824
04471 Vieremä"
"Eemil Karppinen"|"Rukkilantie 85
32827 Imatra"
"Anna Andersson-Eriksson"|"Lemunkatu 41
93726 Ilmajoki"
"Tapio Kanerva"|"Ahdekaunokinbulevardi 2
02570 Ylitornio"
"Aleksi Koivisto"|"Haakoninlahdenkuja 9
58875 Luhanka"
"Veli Miettinen"|"Fredrikintie 5
26184 Sottunga"
"Juhani Räty"|"Jämsänbulevardi 0
01850 Kökar"
"Liisa Manninen"|"Oraskatu 144
79390 Ilmajoki"
"Petteri Koponen"|"Ahvenkoskenbulevardi 41
23863 Keitele"
"Jari Lassila"|"Rantavarastonpolku 6
95489 Orivesi"
"Katariina Ahonen"|"Elonbulevardi 879
39350 Varkaus"
"Eemil Kukkonen-Huttunen"|"Purjetuulenpolku 67
62398 Ristijärvi"
"Joel Virta"|"Iltaruskontie 625
37936 Pieksämäki"
"Erkki Jaatinen"|"Agroksenbulevardi 54
83026 Keminmaa"
"Sofia Väisänen-Koskinen"|"Wecksellinkatu 218
06677 Askola"
"Jukka Mäki"|"Salamatie 3
60575 Heinävesi"
"Yrjö Tuomi"|"Runebergintie 8
49641 Heinävesi"
"Henna Sirén-Aaltonen"|"Tuomarinkylänbulevardi 39
44480 Jokioinen"
"Ida Virtanen"|"Jäkälätie 9
21626 Pyhäntä"
"Ella Niemelä"|"Iltaruskonkatu 2
78018 Riihimäki"
"Heikki Aaltonen"|"Veropellonkuja 15
10521 Lappeenranta"
"Eemil Nykänen"|"Otermantie 74
79983 Nivala"
"Hannu Rissanen"|"Jänkäbulevardi 29
64007 Virrat"
"Kasper Tuovinen"|"Rukotie 1
12283 Urjala"
"Mikael Lehtola"|"Ylänkökatu 36
23873 Tampere"
"Laura Kiuru"|"Cygnaeuksenkuja 65
08366 Sastamala"
"Erik Pöllänen"|"Saanatunturinpolku 2
46100 Suonenjoki"
"Anneli Tiainen"|"Döbelninkuja 34
13595 Närpiö"
"Katri Lehikoinen"|"Kolvibulevardi 96
02773 Kotka"
"Kaarina Lehto"|"Graniittibulevardi 276
91919 Luoto"
"Helena Rinne"|"Uurtajantie 3
40264 Hanko"
"Eemil Väisänen"|"Maneesikatu 910
92875 Myrskylä"
"Väinö Vuori"|"Oravakatu 186
89531 Pudasjärvi"
"Kaarina Ollila-Salo"|"Wecksellintie 75
53172 Kokemäki"
"Aino Auvinen"|"Zaidankuja 0
32173 Kaskinen"
"Tommi Markkanen-Rajala"|"Kolubulevardi 5
72430 Kontiolahti"
"Irene Huhtala"|"Uskalikonkuja 172
13908 Tyrnävä"
"Jukka Hakala-Niemi"|"Freesenkuja 33
65830 Föglö"
"Marjatta Karvinen"|"Kimalaistie 14
56029 Värdö"
"Marja-Liisa Salo-Nykänen"|"Fredrikinkuja 5
70291 Marttila"
"Tapani Kujala"|"Haravatie 19
79803 Siikalatva"
"Eerik Huhtala-Räsänen"|"Tuulilasinkuja 286
69163 Säkylä"
"Antero Virtanen"|"Lemunbulevardi 053
65134 Tuusula"
"Kaija Matilainen"|"Tukkisillanbulevardi 694
72381 Turku"
"Peter Salonen"|"Vaarnapolku 795
96150 Punkalaidun"
"Jaakko Lahtinen"|"Ylipalonkatu 37
67898 Juuka"
"Reino Karttunen"|"Rukoushuoneentie 404
03193 Sauvo"
"Kaarina Hirvonen"|"Hannukselanbulevardi 4
32817 Harjavalta"
"Mervi Meriläinen-Vuori"|"Saanatunturinkuja 45
08220 Tornio"
"Katariina Koskinen"|"Benktanbulevardi 850
63937 Multia"
"Ari Koivunen"|"Wallininpolku 279
00369 Alavus"
"Eerik Lahti"|"Orasbulevardi 3
80865 Paimio"
"Päivi Laitinen"|"Wäinö Aaltosen polku 3
71521 Kihniö"
"Olavi Linna"|"Betlehemintie 46
46493 Ranua"
"Pentti Mikkonen"|"Wavulininpolku 0
38468 Karkkila"
"Johannes Laukkanen"|"Uudenkaupunginkuja 37
61458 Jämijärvi"
"Sebastian Salminen-Pitkänen"|"Kolsinbulevardi 12
54532 Petäjävesi"
"Anita Toivanen"|"Nordenskiöldinbulevardi 4
08673 Tammela"
"Seppo Heiskanen"|"Willebrandinpolku 63
04381 Sonkajärvi"
"Tuomo Hietala"|"Versokuja 00
20447 Valtimo"
"Noora Ylinen"|"Maapadontie 384
33700 Jyväskylä"
"Eerik Nylund"|"Purjetuulenkatu 32
73393 Keminmaa"
"Esteri Kilpeläinen"|"Veräjämäenkuja 059
76770 Kouvola"
"Reijo Laitinen-Mäkelä"|"Kimmontie 4
62396 Keitele"
"Petteri Tuominen-Salonen"|"Haagan pappilankatu 1
87509 Ylöjärvi"
"Toivo Holappa"|"Kilpolanpolku 22
26595 Saarijärvi"
"Kristiina Halonen"|"Haaksibulevardi 06
38478 Rantasalmi"
"Onni Pirinen-Pennanen"|"Birger Kaipiaisen polku 48
67374 Karijoki"
"Noora Viitanen"|"Ahdekaunokinkuja 252
82192 Karvia"
"Kauko Rauhala-Kyllönen"|"Maneesipolku 59
43461 Lappeenranta"
"Päivi Laukkanen"|"Neonbulevardi 4
26675 Laitila"
"Eero Jussila"|"Uskalikonkatu 16
98577 Salla"
"Erkki Suominen"|"Rukoushuoneenkuja 1
40515 Sipoo"
"Pirjo Aho"|"Kilpolankuja 744
81400 Kuopio"
"Jarmo Kinnunen"|"Gyldéninbulevardi 3
24498 Humppila"
"Rainer Riikonen"|"Cygnaeuksenkatu 389
56674 Sauvo"
"Eila Aaltonen"|"Damaskuksenkatu 827
26788 Virrat"
"Maija Saarinen"|"Eljaksentie 4
29700 Alajärvi"
"Antti Hakala"|"Nikonbulevardi 718
02299 Hyvinkää"
"Vilho Salmela-Kärkkäinen"|"Jännekuja 7
56563 Maalahti"
"Seija Hämäläinen"|"Winqvistintie 6
45482 Sievi"
"Eero Kemppainen"|"Ida Ekmanin tie 928
51462 Lumparland"
"Elisabeth Lehtonen"|"Disanpolku 90
72887 Keminmaa"
"Ritva Korhonen"|"Urpukatu 37
14599 Valkeakoski"
"Eino Laine"|"Kiitäjänkatu 839
88642 Sonkajärvi"
"Pirjo Tikkanen"|"Urputie 23
19226 Uusikaupunki"
"Elina Asikainen"|"Werner Wirénin bulevardi 7
11110 Lumparland"
"Mikael Kivimäki"|"Fredrikinkuja 0
07923 Oripää"
"Timo Lehtinen"|"Eino Leinon katu 684
30527 Pomarkku"
"Petteri Kainulainen"|"Louhikkopolku 3
89929 Parainen"
"Mikael Anttila"|"Wavulinintie 17
58185 Pukkila"
"Eero Räsänen"|"Wavulininkuja 88
28463 Muurame"
"Kalevi Saarela"|"Salavapolku 05
02887 Pomarkku"
"Sofia Elo"|"Edelfeltinbulevardi 372
72130 Pori"
"Tapio Puhakka"|"Kolupolku 3
74045 Pihtipudas"
"Olavi Lahtinen"|"Laurinniitynkatu 89
25536 Pudasjärvi"
"Elina Peltola"|"Kolutie 9
09154 Nokia"
"Mika Moilanen-Alatalo"|"Maneesikuja 90
02770 Miehikkälä"
"Juhani Rissanen"|"Santerlankatu 8
70101 Vimpeli"
"Joni Marttila"|"Porekatu 773
39183 Föglö"
"Jouni Kivelä"|"Böstaksenkuja 3
81897 Mäntyharju"
"Eero Tiainen"|"Waseniuksen puistopolku 5
66985 Savitaipale"
"Karoliina Tervo"|"Iltaruskonbulevardi 15
43293 Parkano"
"Anne Mikkola"|"Aidasmäenbulevardi 74
66585 Raisio"
"Matti Salmi"|"Järkälebulevardi 4
90613 Mustasaari"
"Julia Asikainen"|"Lukkarimäentie 635
82383 Savukoski"
"Anna Taskinen"|"Tukkisillanpolku 834
32188 Kauniainen"
"Olavi Tirkkonen"|"Tyynylaavankuja 36
13930 Lappajärvi"
"Anniina Tuovinen"|"Waseniuksen puistokatu 85
01433 Luoto"
"Mira Nieminen"|"Agroksenkuja 2
23673 Uusikaarlepyy"
"Antero Salo"|"Fallpakanbulevardi 773
64615 Seinäjoki"
"Eero Välimäki"|"Jägerhorninbulevardi 9
13670 Kustavi"
"Johannes Mäkelä-Partanen"|"Ilkanpolku 640
23786 Kajaani"
"Jukka Laakkonen"|"Uunilinnunbulevardi 73
21291 Alajärvi"
"Sirkka Niskanen"|"Elisabeth Kochin kuja 36
29837 Brändö"
"Anneli Mikkola"|"Runokylänkuja 9
52825 Toivakka"
"Matti Viljanen-Pakarinen"|"Granfeltinkatu 4
58624 Paimio"
"Daniel Kulmala"|"Salamatie 980
84454 Tornio"
"Petteri Erkkilä"|"Versokatu 80
99518 Pomarkku"
"Joni Haapala"|"Agnes Sjöbergin bulevardi 421
39926 Oulainen"
"Kirsti Savolainen"|"Betleheminpolku 113
65158 Tampere"
"Eetu Laakkonen"|"Ylä-Fallin kuja 7
16952 Kökar"
"Maritta Blomqvist"|"Usvakuja 06
62164 Laihia"
"Mari Korhonen"|"Kolukuja 25
88688 Kurikka"
"Anna-Liisa Turunen"|"Freesenkatu 432
91284 Keminmaa"
"Erkki Koskela"|"Tuomarinkylänpolku 32
15848 Kerava"
"Olivia Oinonen"|"Salamakuja 92
19141 Karkkila"
"Eerik Tikkanen"|"Fallinkuja 5
86290 Evijärvi"
"Kari Laiho"|"Kimalaisbulevardi 492
22871 Pello"
"Ilkka Alatalo"|"Ieskuja 719
03109 Muonio"
"Armas Kinnunen"|"Agnes Sjöbergin kuja 611
19821 Karvia"
"Eetu Pääkkönen-Helenius"|"Birger Kaipiaisen katu 58
11410 Savitaipale"
"Vesa Hautamäki"|"Iltaruskonbulevardi 03
76884 Loimaa"
"Maria Kanerva"|"Ylänköpolku 71
39413 Jyväskylä"
"Eeva Paavola"|"Edelfeltinpolku 809
60013 Kumlinge"
"Niklas Turunen"|"Wäinö Aaltosen polku 98
51583 Kihniö"
"Pekka Markkanen-Martikainen"|"Jämsänkatu 82
30839 Enonkoski"
"Juho Mäkelä"|"Wavulinintie 0
26297 Porvoo"
"Ville Takala"|"Vaarnabulevardi 57
70011 Kristiinankaupunki"
"Anton Leino"|"Agroksenpolku 1
30339 Jämsä"
"Johanna Rautio-Keinänen"|"Yläkaskentie 961
54167 Nurmes"
"Eetu Räsänen"|"Orisaarenbulevardi 439
95981 Laitila"
"Jonna Lehtinen"|"Ahdekaunokinpolku 0
20944 Pöytyä"
"Tuulikki Rauhala"|"Agronominpolku 9
99380 Sonkajärvi"
"Kimmo Syrjälä"|"Lepolanpolku 2
29657 Hirvensalmi"
"Markus Ronkainen"|"Lautamiehenpolku 31
22712 Vieremä"
"Simo Nousiainen-Eloranta"|"Franzéninkuja 647
41339 Vaala"
"Heidi Aho"|"Cygnaeuksenkatu 8
45331 Kuhmoinen"
"Kalervo Keränen"|"Nordenskiöldinkuja 256
11431 Ylitornio"
"Johannes Kiviniemi"|"Nervanderintie 00
15605 Salla"
"Eveliina Karjalainen-Keinänen"|"Maakatu 8
03034 Kalajoki"
"Eeva Hämäläinen-Pitkänen"|"Haagan pappilanbulevardi 11
96360 Maalahti"
"Irene Salmela"|"Elisabeth Kochin tie 721
25255 Parikkala"
"Ilmari Mattila-Haavisto"|"Tukkisillanbulevardi 322
18985 Juuka"
"Eerik Aalto-Repo"|"Taavetti Laitisen kuja 18
24935 Lappajärvi"
"Peter Lindberg"|"Ahomäenkuja 980
38896 Utsjoki"
"Elisabet Paananen"|"Wäinö Aaltosen bulevardi 26
44677 Pyhäranta"
"Elina Pitkänen"|"Willebrandinkuja 17
83549 Isojoki"
"Maria Lehtonen"|"Eerik Pyhän kuja 4
31783 Ristijärvi"
"Aila Väisänen"|"Lemunpolku 8
86238 Lestijärvi"
"Marja Takala"|"Jägerhorninbulevardi 353
21725 Hattula"
"Eeva Järvinen"|"Yhteiskoulunpolku 489
88250 Pieksämäki"
"Jyrki Lehtinen"|"Nikonbulevardi 615
65301 Muonio"
"Antero Kankaanpää-Backman"|"Ahdekaunokinbulevardi 032
33663 Taipalsaari"
"Veijo Kuusisto"|"Elisabeth Kochin bulevardi 514
68869 Kuhmoinen"
"Liisa Leppänen-Suominen"|"Malminkartanonkatu 3
09795 Porvoo"
"Matias Niskanen"|"Bengalinkatu 67
33441 Ylitornio"
"Mikael Määttä"|"Tuulilasinkuja 18
97732 Leppävirta"
"Seppo Tarvainen"|"Orisaarenkuja 4
37542 Sulkava"
"Elias Heino"|"Ilmattarenbulevardi 6
00026 Kemijärvi"
"Kaarina Tuominen"|"Kolvikatu 949
09642 Savukoski"
"Eeva Karvonen"|"Usvakatu 3
47260 Kokkola"
"Kaisa Salonen"|"Veräjämäenpolku 62
71205 Luhanka"
"Matias Karhunen"|"Freesenpolku 28
32253 Taivassalo"
"Marjatta Muhonen-Lehtola"|"Ida Ekmanin bulevardi 51
12195 Somero"
"Pauli Mustonen"|"Aidasmäenkatu 298
05011 Kaarina"
"Kaisa Jokinen"|"Jälsikuja 814
10645 Lempäälä"
"Johanna Holm-Savolainen"|"Elisabeth Kochin tie 44
12091 Hankasalmi"
"Johannes Härkönen"|"Bergantie 695
92334 Pornainen"
"Alisa Heinonen"|"Katajaharjunpolku 36
81313 Saltvik"
"Susanna Mäenpää-Nylund"|"Vaarnatie 5
04204 Hausjärvi"
"Eeva Lahtinen"|"Saparontie 8
55572 Lapua"
"Ulla Lassila"|"Lentokapteenin bulevardi 0
57131 Kivijärvi"
"Ville Anttila"|"Ahomäenkatu 48
15575 Utsjoki"
"Arto Kaikkonen-Leinonen"|"Hannukselankatu 98
98733 Inari"
"Hannele Immonen"|"Agnetanpolku 6
64415 Ristijärvi"
"Aila Heikkinen"|"Tuulilasinkuja 9
23207 Lieksa"
"Marja Kiviniemi-Kangas"|"Yrjöntie 3
29527 Pietarsaari"
"Pekka Ahokas"|"Hannukselanpolku 23
89980 Ylöjärvi"
"Samuel Sillanpää"|"Kuhankeittäjäntie 45
63410 Lohja"
"Johanna Nevalainen"|"Willebrandintie 472
39851 Lapua"
"Eeva Lindholm"|"Gadolininkuja 5
98065 Pälkäne"
"Aili Lappalainen"|"Puroniitynkatu 4
49815 Ulvila"
"Mika Haapanen"|"Puusepänpolku 6
07807 Kuopio"
"Veikko Jääskeläinen-Marttila"|"Bergankatu 629
96350 Rovaniemi"
"Birgitta Hiltunen-Koskinen"|"Poikasaartenkuja 947
95198 Eurajoki"
"Tapio Huhtala"|"Birger Kaipiaisen katu 661
94813 Turku"
"Armas Koskela"|"Ilkanpolku 05
91998 Lumijoki"
"Päivi Salo"|"Runeberginkuja 656
10757 Muonio"
"Sofia Leinonen"|"Bergankuja 687
11861 Rauma"
"Lea Leinonen-Peltonen"|"Iespolku 53
13386 Salo"
"Eeva Mäkelä"|"Vellikellonpolku 430
34600 Kotka"
"Juhani Peltoniemi"|"Gyldéninkuja 886
88698 Kokkola"
"Emma Niemi"|"Gneissikuja 3
24008 Iitti"
"Joni Saarinen-Koskela"|"Ylätuvankatu 42
59242 Simo"
"Heikki Honkanen"|"Saanatunturintie 181
13637 Muonio"
"Päivi Aho"|"Elimäentie 70
15459 Enontekiö"
"Tiina Luoma"|"Ilotulitusbulevardi 719
68635 Kankaanpää"
"Toivo Korpi-Heiskanen"|"Haravapolku 47
90628 Laihia"
"Oskari Perälä"|"Bertel Jungin bulevardi 84
50089 Parainen"
"Johannes Pitkänen"|"Uskalikontie 984
48004 Kerava"
"Eeva Mäkinen-Tolvanen"|"Maatullinkuja 54
83298 Vihti"
"Tero Peltonen"|"Agnes Sjöbergin bulevardi 658
66114 Seinäjoki"
"Keijo Suhonen"|"Ehrensvärdinbulevardi 22
90104 Tornio"
"Eeva Helin"|"Edelfeltinkuja 4
68529 Ruokolahti"
"Helena Häkkinen"|"Benktanpolku 1
39418 Hankasalmi"
"Marjut Mikkonen"|"Urheilutie 02
10215 Ylitornio"
"Kaarina Jääskeläinen"|"Dunckerinpolku 608
38703 Lempäälä"
"Marjatta Kangas"|"Fallinbulevardi 3
46260 Utajärvi"
"Marjut Saarinen"|"Castrénintie 731
33795 Uusikaupunki"
"Tarja Ojala"|"Dosentinkatu 964
87554 Nokia"
"Eeva Salmi"|"Fabianintie 3
34390 Alajärvi"
"Oliver Virtanen"|"Sahaajantie 16
96286 Luoto"
"Johannes Koivula"|"Elimäenkatu 154
75537 Inari"
"Ville Ikonen-Laaksonen"|"Ilmattarenkatu 929
62070 Kalajoki"
"Emilia Tuominen"|"Haagan pappilanbulevardi 074
40104 Hailuoto"
"Sakari Rytkönen"|"Kiitäjänkatu 3
96633 Mäntyharju"
"Henrik Suominen-Penttilä"|"Taavinbulevardi 914
43050 Raasepori"
"Timo Halonen"|"Neulapadonkuja 18
81300 Pyhäntä"
"Tapio Rönkkö"|"Wallininbulevardi 1
95421 Enontekiö"
"Asko Hänninen"|"Gunillanpolku 84
46588 Muonio"
"Eija Haataja"|"Jäkäläkatu 154
11350 Loviisa"
"Tapio Hytönen-Komulainen"|"Agricolanpolku 6
09275 Nurmijärvi"
"Johannes Alatalo"|"Disanbulevardi 94
02819 Evijärvi"
"Lassi Häkkinen"|"Gyldéninpolku 97
63007 Kontiolahti"
"Leila Kinnunen"|"Castrénintie 605
76423 Pori"
"Venla Ahola"|"Cygnaeuksenbulevardi 220
18176 Veteli"
"Ilmari Haapala"|"Salakkatie 45
96245 Inkoo"
"Eemil Kyllönen"|"Vesakkobulevardi 987
42372 Porvoo"
"Jan Mustonen-Elo"|"Bertel Jungin kuja 86
03149 Vaala"
"Helena Alanko"|"Maapadonbulevardi 0
42543 Luoto"
"Eija Heikkilä"|"Walentin Chorellin polku 2
58937 Hankasalmi"
"Birgitta Salminen-Laakso"|"Yläkaskenkuja 655
20369 Tohmajärvi"
"Maria Kuusela-Lindström"|"Freesenpolku 40
62713 Hyvinkää"
"Jaana Hämäläinen"|"Jänkäpolku 931
40809 Finström"
"Niina Laine"|"Louhenkatu 03
74393 Hämeenlinna"
"Tiina Kantola"|"Ormuspolku 4
60346 Sysmä"
"Kalevi Laakkonen-Saarinen"|"Kolukatu 4
83608 Kärkölä"
"Lotta Saarinen"|"Runonlaulajanpolku 658
97122 Pornainen"
"Sirpa Ylönen-Jansson"|"Saanatunturinbulevardi 48
84618 Pukkila"
"Maarit Erkkilä"|"Veropellonkuja 375
54563 Mikkeli"
"Eija Rantanen"|"Sadekatu 6
49370 Lahti"
"Juhani Virtanen"|"Fallpakankuja 49
92372 Kaavi"
"Henrik Hyvärinen"|"Sapilasbulevardi 3
69964 Turku"
"Juhani Lehtonen"|"Disankatu 5
73864 Lieksa"
"Laura Hirvonen"|"Edelfeltinkuja 2
05565 Kolari"
"Anneli Aalto"|"Maanmittarinpolku 718
17526 Kajaani"
"Ensio Kauppinen"|"Haravatie 62
72504 Joensuu"
"Antti Koivunen"|"Disankuja 9
83281 Hailuoto"
"Minna Puustinen"|"Ylätuvantie 1
19772 Sievi"
"Sisko Lampinen"|"Graniittitie 0
91299 Kökar"
"Eija Saastamoinen"|"Uussillanbulevardi 8
34165 Ähtäri"
"Juhani Markkanen"|"Aidasmäentie 1
29109 Brändö"
"Marika Timonen"|"Agronominpolku 16
21081 Kaskinen"
"Kaarina Kähkönen-Vartiainen"|"Kimmonbulevardi 774
46825 Kristiinankaupunki"
"Johannes Berg-Salonen"|"Elimäenpolku 220
53069 Kajaani"
"Onni Partanen"|"Gotlannintie 2
91590 Kemijärvi"
"Milla Partanen"|"Ilmattarentie 781
04207 Sodankylä"
"Jaakko Moilanen"|"Dunckerinkatu 796
56608 Teuva"
"Niklas Heikkinen"|"Eduskuntatie 6
50919 Oulu"
"Eelis Ojala-Keränen"|"Elonpolku 33
52539 Merijärvi"
"Eila Anttila"|"Urputie 3
34721 Siikajoki"
"Matti Salo"|"Yläkaskentie 32
70946 Soini"
"Juha Laitinen"|"Tuomarinkyläntie 054
89606 Myrskylä"
"Tuula Salminen"|"Dagmarinkatu 9
54538 Posio"
"Marjaana Johansson"|"Ida Ekmanin tie 2
64353 Jyväskylä"
"Mikael Airaksinen"|"Maakatu 296
21128 Kankaanpää"
"Mika Miettinen-Lehtonen"|"Orisaarenkatu 4
42197 Saarijärvi"
"Hannele Nuutinen"|"Biologinkuja 2
99739 Merijärvi"
"Emilia Raatikainen"|"Saramäentie 284
90352 Kärkölä"
"Janne Laitinen"|"Salavabulevardi 079
14393 Lempäälä"
"Eila Henriksson"|"Runeberginkuja 650
59543 Alavieska"
"Jorma Salmela"|"Gotlanninpolku 128
76667 Hanko"
"Mari Pennanen"|"Tahtibulevardi 2
14746 Vesanto"
"Kalevi Hyvönen"|"Eino Leinon kuja 2
05356 Nurmijärvi"
"Anneli Leino"|"Mamsellimyllynkuja 9
62142 Vantaa"
"Johanna Haataja"|"Elimäenbulevardi 8
38696 Mikkeli"
"Armas Hakala"|"Oravabulevardi 0
03601 Koski Tl"
"Liisa Heikkilä"|"Haaksikatu 18
83625 Asikkala"
"Tapani Manninen"|"Fallpakanbulevardi 6
28612 Luumäki"
"Jari Koivunen"|"Jänkäkatu 37
85829 Heinävesi"
"Eila Jaakkola"|"Agronomintie 2
89987 Jyväskylä"
"Anna Laiho-Huttunen"|"Eino Leinon kuja 000
12306 Lohja"
"Petteri Mäkelä-Mikkola"|"Järkälekatu 80
44842 Pyhäjärvi"
"Petteri Ojanen"|"Iestie 46
73310 Suomussalmi"
"Maija Laaksonen"|"Caloniuksenkuja 3
22213 Rautalampi"
"Heikki Tuominen-Auvinen"|"Ahvenkoskenkuja 978
20241 Seinäjoki"
