"Ada Bazydło"|"ul. Jagodowa 52
84-438 Żyrardów" 
"Blanka Kornek"|"pl. Długosza 13/68
23-279 Stalowa Wola"
"pani Ewelina Grzeszkowiak"|"plac Gałczyńskiego 45
07-231 Krosno"
"pani Agnieszka Kusio"|"ulica Miła 50/48
15-873 Turek"
"pan Tomasz Procek"|"al. Plater 10
26-954 Zgorzelec"
"Błażej Derek"|"pl. Powstańców Śląskich 67
55-131 Racibórz"
"Jędrzej Grys"|"pl. Paderewskiego 48/50
26-419 Będzin"
"pan Cezary Suchoń"|"al. Dąbrowskiej 87/86
66-767 Sieradz"
"pani Klara Golan"|"pl. Sawickiej 31
64-613 Biała Podlaska"
"Grzegorz Czak"|"aleja Mazurska 44
51-062 Wyszków"
"Kaja Domowicz"|"ul. Stycznia 24/23
33-410 Giżycko"
"pani Julita Mik"|"aleja Jaskółcza 56/22
29-297 Piekary Śląskie"
"Marianna Raszkiewicz"|"al. Kossaka 707
33-047 Zakopane"
"pani Aurelia Hanus"|"aleja Wróblewskiego 07/38
77-949 Wrocław"
"Anna Maria Antoń"|"pl. Kopernika 44/83
41-835 Inowrocław"
"Błażej Durlej"|"pl. Daszyńskiego 74
75-314 Piastów"
"Ewelina Ludwisiak"|"al. Topolowa 84/51
23-915 Tychy"
"Maurycy Puła"|"aleja Konstytucji 3 Maja 977
28-417 Wrocław"
"Robert Szyja"|"ul. Mickiewicza 50/61
32-376 Rybnik"
"Albert Kurzydło"|"plac Paderewskiego 94/32
39-937 Gniezno"
"pan Juliusz Lisoń"|"aleja Wąska 169
30-359 Włocławek"
"Róża Supeł"|"aleja Koralowa 41
38-411 Leszno"
"Apolonia Kohnke"|"aleja Narcyzowa 13/74
23-439 Łowicz"
"pani Krystyna Prawdzik"|"plac Jana Pawła II 331
64-627 Gniezno"
"Urszula Matraszek"|"pl. Jana Pawła II 100
23-577 Racibórz"
"Błażej Jaszcz"|"pl. Powstańców Śląskich 46/73
66-875 Polkowice"
"Konstanty Zys"|"plac Kusocińskiego 51
13-237 Turek"
"Angelika Fleszar"|"aleja Norwida 99
05-195 Lubliniec"
"Olgierd Misiuk"|"aleja Niepodległości 42/90
70-388 Zakopane"
"Jędrzej Bystroń"|"pl. Staffa 973
75-939 Radomsko"
"Ksawery Milej"|"al. Widokowa 96
14-446 Białystok"
"Mateusz Stoltmann"|"ulica Łąkowa 97
80-391 Jawor"
"Ewelina Piekarek"|"ulica Łanowa 115
24-876 Skawina"
"Roksana Szarpak"|"al. Rolna 241
07-920 Elbląg"
"Krystian Kuśmider"|"al. Nałkowskiej 76/01
99-003 Jarocin"
"Błażej Józwik"|"ul. Niepodległości 01/58
29-363 Świnoujście"
"Bianka Hasiak"|"al. Zdrojowa 852
73-198 Żyrardów"
"Ernest Drewicz"|"plac Nałkowskiej 002
08-991 Środa Wielkopolska"
"pani Apolonia Wyrobek"|"al. Piaskowa 54/51
64-792 Września"
"Klara Muc"|"ul. Sowia 822
58-811 Wągrowiec"
"Ewa Ornat"|"aleja Czarnieckiego 910
68-458 Pabianice"
"Adrianna Staś"|"plac Powstańców Wielkopolskich 80
78-349 Płońsk"
"Apolonia Małysiak"|"aleja Malinowa 65/19
92-849 Puławy"
"Gaja Marchlewicz"|"pl. Kasprowicza 23
05-039 Wołomin"
"Janina Sadza"|"al. Powstańców Wielkopolskich 55
29-618 Wałcz"
"Błażej Maruszczyk"|"plac Dąbrowskiej 29/98
01-084 Pszczyna"
"Eryk Czesak"|"pl. Reja 61
15-589 Czeladź"
"pan Dominik Kościesza"|"ul. Władysława Łokietka 60/01
57-798 Lubin"
"Konstanty Szałas"|"plac Popiełuszki 57/70
75-607 Giżycko"
"Jędrzej Smagała"|"plac Waryńskiego 31
09-768 Sochaczew"
"Ada Kucewicz"|"al. Wiślana 094
02-221 Giżycko"
"Hubert Dziczek"|"ulica Willowa 07
62-023 Kalisz"
"pani Karina Korzeniak"|"plac Sikorskiego 67/31
40-036 Biała Podlaska"
"Ewa Truchan"|"plac Konopnickiej 66/88
57-257 Zakopane"
"Antoni Członka"|"ul. Plater 540
65-074 Mława"
"Błażej Olkowicz"|"aleja Żeromskiego 11/88
62-649 Opole"
"Róża Steckiewicz"|"pl. Rejtana 78/26
09-463 Marki"
"pani Dagmara Ogonek"|"ul. Lawendowa 28
30-320 Żory"
"Ewa Januchta"|"pl. Moniuszki 04
74-712 Ostrów Wielkopolski"
"Mariusz Winnik"|"al. Chełmońskiego 430
16-347 Płońsk"
"Bianka Wieja"|"al. Floriana 673
18-530 Żary"
"Alex Lepka"|"pl. Orzeszkowej 14/33
51-691 Płońsk"
"pan Jan Olesiejuk"|"aleja Truskawkowa 810
15-222 Września"
"pani Sylwia Knapek"|"aleja Wojska Polskiego 63/49
15-723 Września"
"Kacper Kiciak"|"aleja Skargi 88/08
90-673 Jarocin"
"Błażej Przewoźny"|"al. Koralowa 18/42
15-510 Lublin"
"Karol Penkala"|"aleja Jarzębinowa 09/02
70-305 Stalowa Wola"
"Nikodem Pachnik"|"al. Słowackiego 78/74
45-686 Oława"
"Krystian Miszkurka"|"ul. Broniewskiego 799
66-681 Wołomin"
"pan Hubert Miecznik"|"pl. Konarskiego 55/02
67-676 Gdańsk"
"Przemysław Kukier"|"pl. Słowackiego 549
78-856 Goleniów"
"pan Sebastian Wrochna"|"al. Bema 246
31-552 Brzeg"
"Oskar Klus"|"ul. Mazurska 66/20
98-397 Łódź"
"Marek Ciołczyk"|"al. Wspólna 089
50-515 Malbork"
"Liwia Mućko"|"al. Poziomkowa 632
88-036 Rumia"
"Błażej Szczesiak"|"aleja Długa 168
20-943 Tarnowskie Góry"
"Eryk Kononowicz"|"pl. Reja 34
04-819 Lublin"
"Anita Kwapis"|"aleja Szczęśliwa 28
19-063 Radom"
"Fabian Żółkiewicz"|"aleja Solidarności 04
97-063 Żywiec"
"Borys Mendyka"|"aleja Mazowiecka 11
31-086 Stalowa Wola"
"pani Aniela Brodowicz"|"pl. Sucharskiego 22
35-111 Skawina"
"Jakub Hejna"|"plac Moniuszki 31/38
28-511 Łomża"
"pani Aurelia Dworniczak"|"plac Moniuszki 47/95
27-312 Sandomierz"
"Paweł Koral"|"ulica Zielona 09/76
21-408 Nowa Sól"
"Tymoteusz Lampa"|"ul. Zamkowa 52/74
11-221 Szczytno"
"Błażej Ładziak"|"aleja Okrzei 87/32
94-059 Kędzierzyn-Koźle"
"Eliza Mijas"|"pl. Kruczkowskiego 124
22-431 Bielsk Podlaski"
"Ada Staśko"|"pl. Kraszewskiego 97
62-850 Ostrowiec Świętokrzyski"
"pan Radosław Zapora"|"al. Glówna 91/23
63-602 Kalisz"
"Bruno Rudowicz"|"plac Jana Sobieskiego 84
33-331 Kalisz"
"pani Inga Słabosz"|"aleja Piłsudskiego 33/65
01-504 Dąbrowa Górnicza"
"Karol Kawiak"|"ul. Pszenna 77/77
75-583 Świecie"
"Maks Gros"|"pl. Matejki 09
21-303 Stalowa Wola"
"Mariusz Szumiec"|"plac Korczaka 94/20
79-306 Lubartów"
"Marek Szywała"|"pl. Piłsudskiego 549
30-580 Opole"
"Błażej Śmieszek"|"ulica Diamentowa 725
83-029 Wyszków"
"Sebastian Ptok"|"al. Wieniawskiego 46/61
37-755 Rybnik"
"Leon Kurach"|"pl. Fredry 92
42-109 Kraśnik"
"Gaja Beker"|"pl. Mickiewicza 39
85-021 Bolesławiec"
"Marcin Jaśko"|"ulica Fredry 50
99-313 Koło"
"Stefan Maciejuk"|"aleja Myśliwska 067
41-929 Gliwice"
"pan Witold Sroga"|"plac Asnyka 291
87-333 Łomża"
"Józef Kolman"|"pl. Sikorskiego 11
19-084 Gdańsk"
"Julianna Borejko"|"pl. Kołłątaja 14/52
65-286 Krosno"
"Angelika Kosz"|"al. Chełmońskiego 55
69-613 Rzeszów"
"Cezary Blank"|"pl. Miłosza 98/14
73-416 Ostrołęka"
"Bartek Oleszko"|"ul. Wyszyńskiego 89
13-673 Kraków"
"pan Jan Goś"|"pl. Fredry 227
27-668 Brzeg"
"Inga Młotek"|"pl. Krasińskiego 11
79-806 Krosno"
"Klara Fąferek"|"ul. Sowia 77/91
59-729 Wągrowiec"
"Kacper Dorna"|"plac Mieszka I 93
77-604 Wodzisław Śląski"
"Maksymilian Orkisz"|"pl. Drzymały 68
11-551 Nowy Dwór Mazowiecki"
"Kamil Kozica"|"plac Kraszewskiego 654
45-905 Kościan"
"pani Elżbieta Pytlarz"|"pl. Jana III Sobieskiego 14
20-300 Stargard Szczeciński"
"Melania Gasz"|"plac Norwida 56/56
32-939 Świętochłowice"
"Cezary Hrynkiewicz"|"al. Górnicza 49/27
83-043 Pruszków"
"Fryderyk Miśkowiec"|"ul. Młynarska 59
18-331 Zduńska Wola"
"Kamila Nazar"|"al. Średnia 13
95-187 Chojnice"
"Sonia Pęciak"|"pl. Kosynierów 48/45
58-569 Ciechanów"
"Maciej Dycha"|"al. Wróblewskiego 02
03-994 Jaworzno"
"Ignacy Kocoł"|"pl. Kusocińskiego 61
25-637 Biała Podlaska"
"Monika Dziób"|"al. Kilińskiego 729
80-492 Kościerzyna"
"Ewelina Han"|"al. Mazurska 50
04-147 Mielec"
"Jerzy Kudra"|"pl. Rynek 661
20-451 Wejherowo"
"Hubert Stelmasiak"|"al. Popiełuszki 16/41
58-363 Żywiec"
"Cezary Kijanka"|"ulica Powstańców Śląskich 09
13-368 Rzeszów"
"pani Rozalia Ulfik"|"pl. Drzymały 27
61-839 Jarosław"
"Franciszek Ligas"|"al. Staszica 902
81-257 Ostrów Wielkopolski"
"Kaja Roch"|"ul. Kościuszki 97
02-646 Przemyśl"
"Janina Laszczyk"|"ulica Władysława Łokietka 696
72-465 Knurów"
"pan Andrzej Hejduk"|"ul. Orzeszkowej 37
30-293 Łuków"
"Artur Pazik"|"plac Partyzantów 438
94-323 Przemyśl"
"Kornelia Szczepaniec"|"pl. Staszica 18
29-893 Będzin"
"Olga Lejk"|"pl. Krasińskiego 824
79-856 Brzeg"
"Lidia Greszta"|"pl. Piłsudskiego 596
55-723 Puławy"
"Cezary Pajek"|"ul. Rataja 70/27
77-609 Piotrków Trybunalski"
"Blanka Barłóg"|"al. Reja 80/91
20-597 Kraków"
"Maksymilian Mikosz"|"ulica Morcinka 667
87-171 Jaworzno"
"pani Elżbieta Dobrosz"|"pl. Wyszyńskiego 59/06
35-503 Racibórz"
"Sandra Buczko"|"ulica Skośna 497
50-096 Żory"
"Sonia Kidawa"|"al. Robotnicza 528
52-455 Lubliniec"
"pani Kaja Szymańczyk"|"plac Sienkiewicza 23/69
31-398 Radomsko"
"pani Róża Pakos"|"pl. Jana Pawła II 78/01
11-796 Kraśnik"
"Mateusz Gozdur"|"ulica Starowiejska 88/27
04-084 Rzeszów"
"Mateusz Gregorczuk"|"aleja Moniuszki 048
64-603 Ełk"
"Cezary Paździora"|"ulica Krasińskiego 14/99
27-754 Piekary Śląskie"
"pan Oliwier Mainka"|"ul. Brzechwy 12
11-220 Turek"
"Kazimierz Darłak"|"ulica Olchowa 56
82-663 Kluczbork"
"Bruno Zbroja"|"plac Kopernika 87/42
16-678 Grudziądz"
"Borys Piekara"|"ul. Plażowa 55
24-507 Nowy Dwór Mazowiecki"
"Jakub Bródka"|"ul. Kazimierza Wielkiego 68
68-280 Racibórz"
"Ada Kukier"|"aleja Cisowa 01/63
70-324 Reda"
"Karina Rzeźniczek"|"aleja Broniewskiego 489
92-139 Gdynia"
"Justyna Burchardt"|"aleja Rubinowa 51/98
68-481 Świdnica"
"pani Marcelina Szyda"|"pl. Czarnieckiego 89/22
28-068 Kołobrzeg"
"Cezary Szłapa"|"aleja Norwida 81
25-287 Ostrołęka"
"Klara Bejm"|"aleja Malczewskiego 152
62-102 Żagań"
"Elżbieta Wałaszek"|"ul. Kossaka 32
12-252 Kluczbork"
"Sara Woźniczko"|"al. Jaskółcza 71/82
99-632 Wejherowo"
"Stanisław Dobroń"|"al. Wczasowa 810
45-437 Legnica"
"Tobiasz Naczk"|"al. Daszyńskiego 095
27-136 Gdańsk"
"Natan Łokietek"|"al. Grottgera 63/73
23-076 Śrem"
"Stefan Geisler"|"aleja Olchowa 46
73-445 Ząbki"
"Sara Litwinowicz"|"al. Rynek 041
81-730 Grodzisk Mazowiecki"
"pani Ida Pasztaleniec"|"aleja Armii Krajowej 37/53
99-068 Wejherowo"
"Cyprian Danilczuk"|"aleja Bociania 308
61-361 Kalisz"
"Krzysztof Pasiak"|"aleja Pułaskiego 50
53-739 Mysłowice"
"pani Marianna Grabczak"|"al. Kraszewskiego 33
31-360 Lublin"
"Jerzy Bak"|"al. Podmiejska 49/86
47-220 Iława"
"Karol Pagacz"|"aleja Spacerowa 26
15-910 Świnoujście"
"Inga Kulczak"|"ulica Perłowa 01/77
90-884 Sandomierz"
"Leonard Ludwin"|"ulica Daszyńskiego 12/87
30-135 Elbląg"
"Kajetan Gołota"|"ulica Prusa 43/73
81-870 Wałcz"
"Elżbieta Puła"|"ulica Narutowicza 31
34-145 Inowrocław"
"Dorota Kotlarek"|"ulica Srebrna 63
54-229 Inowrocław"
"Cyprian Dobrosz"|"plac Brzechwy 451
72-133 Kluczbork"
"Klara Feliksiak"|"ulica Bociania 81/35
97-162 Konin"
"Norbert Świt"|"plac Sienkiewicza 26/02
39-962 Świętochłowice"
"pani Aurelia Kuszyk"|"al. Staffa 77/76
23-203 Tarnowskie Góry"
"Konstanty Andrukiewicz"|"aleja Plażowa 20
35-209 Świdnik"
"Rafał Subocz"|"ul. Letnia 63/58
21-413 Oława"
"pan Borys Otremba"|"al. Gajowa 383
02-811 Giżycko"
"pan Jeremi Goliasz"|"pl. Makuszyńskiego 74
16-366 Płock"
"Cyprian Trojanowicz"|"aleja Powstańców 181
88-648 Kraków"
"pan Karol Kazimierczyk"|"aleja Sawickiej 96
77-612 Bolesławiec"
"Cyprian Graban"|"aleja Dworska 07/17
53-072 Krotoszyn"
"Wojciech Osica"|"pl. Kosynierów 00/97
82-830 Bydgoszcz"
"Fryderyk Parus"|"pl. Daszyńskiego 73
16-533 Tomaszów Mazowiecki"
"Natan Podleśna"|"pl. Daszyńskiego 33
65-498 Reda"
"Klara Moryc"|"plac Sawickiej 461
33-125 Będzin"
"pani Sonia Prochownik"|"ulica Powstańców 42
92-837 Skarżysko-Kamienna"
"Kaja Salawa"|"aleja Cegielniana 21
32-878 Lubartów"
"Alex Andrzejuk"|"plac Solidarności 221
39-607 Bochnia"
"Juliusz Barłóg"|"pl. Moniuszki 51
86-112 Białystok"
"pan Adam Mitera"|"al. Rubinowa 81
15-551 Biłgoraj"
"Cyprian Kowalak"|"pl. Traugutta 38/26
37-644 Słupsk"
"pan Rafał Jonik"|"plac Szymanowskiego 664
73-533 Włocławek"
"pan Fryderyk Korab"|"aleja Cmentarna 99
89-551 Skawina"
"Ewa Hanusiak"|"plac Kościuszki 977
31-184 Sieradz"
"Leonard Pietrek"|"al. Makuszyńskiego 73/30
04-085 Biłgoraj"
"Ada Krzysiek"|"aleja Przechodnia 588
91-780 Jelenia Góra"
"pani Aniela Jarema"|"plac Plater 96/48
13-862 Tarnobrzeg"
"Hubert Klęczar"|"aleja Wiatraczna 227
56-534 Skierniewice"
"Jacek Trzop"|"aleja Daszyńskiego 29/31
55-876 Rybnik"
"Cezary Sypuła"|"plac Kruczkowskiego 438
50-808 Żary"
"Cyprian Litwinowicz"|"aleja Młynarska 618
58-261 Będzin"
"pan Eryk Elsner"|"al. Pułaskiego 70/13
24-431 Zakopane"
"pan Michał Andrejczuk"|"ulica Powstańców 89
22-410 Ełk"
"Nela Front"|"al. Batalionów Chłopskich 94/20
76-412 Czerwionka-Leszczyny"
"Oliwier Plich"|"ulica Lwowska 88
28-030 Mielec"
"pan Damian Peszko"|"ulica Solidarności 42/40
21-695 Gliwice"
"Gustaw Fac"|"plac Jana Sobieskiego 61/30
72-396 Katowice"
"pan Mateusz Kajdan"|"ul. Wrocławska 44
11-862 Kościerzyna"
"Dorota Woźniczko"|"al. Rejtana 54/70
48-944 Reda"
"pani Eliza Klyszcz"|"ul. Powstańców 38
80-845 Tychy"
"Cyprian Micał"|"ul. Wysoka 80/05
73-655 Oleśnica"
"pan Olgierd Gomoła"|"aleja Magnoliowa 82
86-062 Olkusz"
"Kacper Franc"|"al. Opolska 029
81-222 Oświęcim"
"Antoni Budrewicz"|"ul. Kaliska 792
71-993 Ostrowiec Świętokrzyski"
"Sandra Mak"|"aleja Jarzębinowa 022
04-225 Tczew"
"Rafał Dziopa"|"ul. Średnia 89
07-707 Czerwionka-Leszczyny"
"Marcin Panasewicz"|"ulica Tuwima 67/28
91-383 Ciechanów"
"Adrianna Feliksiak"|"plac Jana Sobieskiego 23
53-073 Będzin"
"Mateusz Swiątek"|"pl. Wyszyńskiego 00/59
91-606 Zawiercie"
"Norbert Lang"|"al. Morcinka 85
41-738 Gdynia"
"Cyprian Pietrasiak"|"ul. Jaskółcza 23
28-854 Słupsk"
"pan Tymoteusz Ochał"|"al. Głowackiego 15
16-970 Żory"
"Lidia Dębniak"|"plac Drzymały 642
78-596 Szczecin"
"pan Julian Deluga"|"ul. Zbożowa 28/72
40-333 Krotoszyn"
"Konrad Wawrzyńczyk"|"ulica Kazimierza Wielkiego 478
49-506 Malbork"
"pani Marcelina Pastuszko"|"aleja Konstytucji 3 Maja 21
23-828 Opole"
"Jakub Opioła"|"ulica Kraszewskiego 19/79
87-813 Bochnia"
"pani Eliza Mamcarz"|"aleja Skłodowskiej-Curie 10
68-131 Nowy Dwór Mazowiecki"
"Blanka Wyrostek"|"ulica Krasińskiego 843
38-129 Nowy Targ"
"pani Agnieszka Walkusz"|"plac Broniewskiego 868
59-825 Płock"
"Cyprian Zadora"|"plac Stefana Batorego 06
12-432 Ełk"
"Leon Szpyra"|"pl. Moniuszki 12/98
86-641 Żagań"
"Julita Lipok"|"aleja Dworcowa 457
17-460 Poznań"
"pan Sebastian Bazydło"|"pl. Tysiąclecia 87/71
07-228 Kościan"
"Ignacy Tomys"|"al. Makuszyńskiego 005
56-630 Gorlice"
"Cezary Jędryczka"|"al. Szeroka 89
15-320 Ostróda"
"Iwo Mielcarz"|"plac Konstytucji 3 Maja 20
82-486 Łomża"
"Sonia Smektała"|"al. Pułaskiego 668
21-210 Świnoujście"
"pan Arkadiusz Zach"|"pl. Bolesława Chrobrego 54
15-749 Suwałki"
"pan Marcel Nitek"|"aleja Leszczynowa 55
05-106 Siedlce"
"Dagmara Fronczek"|"ulica Mostowa 53
62-703 Iława"
"Cezary Rutowicz"|"aleja Orzeszkowej 53/86
55-114 Nowa Sól"
"Józef Kordus"|"ul. Skargi 785
81-630 Kielce"
"pan Rafał Stawowczyk"|"al. Piękna 17/07
36-770 Pruszków"
"Sylwia Durma"|"ul. Sawickiej 499
63-508 Kraków"
"Marcel Błaziak"|"pl. Batalionów Chłopskich 293
84-854 Dzierżoniów"
"Wojciech Jurczuk"|"plac Paderewskiego 346
19-067 Nowy Dwór Mazowiecki"
"Ewa Grzelczyk"|"plac Miłosza 403
75-442 Tczew"
"Marcin Furgał"|"pl. Kossaka 06/44
88-518 Żary"
"Róża Wojtach"|"al. Jałowcowa 347
71-038 Ostróda"
"Dagmara Jarosiewicz"|"pl. Powstańców 55/10
60-536 Polkowice"
"pan Julian Zawalich"|"ul. Agrestowa 68/64
94-564 Sieradz"
"Agnieszka Tałaj"|"ul. Kilińskiego 041
10-184 Puławy"
"Gabriel Kazimierczuk"|"al. Borowa 30/31
10-845 Oława"
"Eryk Garncarek"|"al. Wyzwolenia 28/98
08-919 Będzin"
"pani Olga Stawowczyk"|"al. Wieniawskiego 60/94
14-214 Świnoujście"
"pan Tymon Malon"|"pl. Plater 43/18
95-236 Radom"
"Marek Dorobisz"|"aleja Wiązowa 43
89-686 Piekary Śląskie"
"Aniela Kubów"|"ul. Zakątek 46/82
34-889 Starogard Gdański"
"pan Jacek Forma"|"ul. Tartaczna 081
40-830 Kościan"
"Dagmara Krzeszowiec"|"ulica Dąbrowskiego 81/18
49-253 Kwidzyn"
"Malwina Stefanik"|"aleja Targowa 652
84-983 Krotoszyn"
"Emil Gryska"|"ulica Krasińskiego 17
99-886 Oświęcim"
"Józef Plak"|"ulica Opolska 43
61-981 Włocławek"
"Ignacy Kasak"|"ul. Perłowa 539
48-880 Starogard Gdański"
"Dagmara Namysło"|"pl. Batalionów Chłopskich 58
50-303 Żory"
"Anna Maria Herda"|"al. Modrzewiowa 215
85-573 Gliwice"
"pan Gabriel Wujec"|"ulica Tysiąclecia 283
71-473 Głogów"
"Kamil Pleśniak"|"aleja Częstochowska 55/60
41-304 Warszawa"
"Józef Kidoń"|"ulica Diamentowa 73/82
18-325 Chełm"
"Dagmara Kumorek"|"al. Widokowa 487
34-862 Oleśnica"
"pan Miłosz Bracha"|"plac Staszica 728
67-010 Augustów"
"Dagmara Goik"|"plac Wyzwolenia 63/24
83-333 Świętochłowice"
"pani Klara Nazimek"|"al. Narutowicza 784
59-243 Jarocin"
"pani Anna Maria Danisz"|"plac Listopada 65/09
68-493 Świnoujście"
"Wiktor Bona"|"pl. Broniewskiego 523
44-577 Wałbrzych"
"pan Paweł Kornak"|"ul. Wiejska 153
30-167 Giżycko"
"Elżbieta Żelasko"|"ulica Dąbrowskiego 044
74-705 Luboń"
"Andrzej Preś"|"aleja Częstochowska 44/40
87-906 Koło"
"Justyna Fiedorczuk"|"pl. Słowackiego 437
81-391 Poznań"
"Dagmara Madzia"|"plac Stefana Batorego 43
48-419 Piotrków Trybunalski"
"Stanisław Kosman"|"aleja Jana Sobieskiego 34
16-707 Zakopane"
"Józef Dejneka"|"plac Czarnieckiego 71/30
38-440 Zgierz"
"Nela Bartłomiejczyk"|"ulica Pocztowa 76
35-858 Czerwionka-Leszczyny"
"Stefan Kłysz"|"aleja Stefana Batorego 919
56-394 Świecie"
"pan Robert Majdan"|"ul. Lwowska 388
45-477 Skierniewice"
"pan Dawid Buszko"|"al. Okrężna 381
99-898 Świętochłowice"
"Nikodem Mądrzyk"|"al. Zdrojowa 98
40-730 Myszków"
"Fabian Muc"|"plac Stycznia 71/58
53-482 Września"
"pani Adrianna Glanc"|"pl. Kasprowicza 044
83-232 Bartoszyce"
"Dagmara Ochal"|"al. Jana III Sobieskiego 95
84-042 Lubartów"
"Hubert Strządała"|"aleja Kochanowskiego 874
78-210 Łaziska Górne"
"Krzysztof Gąszczak"|"aleja Żytnia 663
65-476 Świecie"
"Alan Rysz"|"pl. Batalionów Chłopskich 457
32-216 Siemianowice Śląskie"
"pani Sara Szyc"|"aleja Fiołkowa 75/99
10-615 Śrem"
"pan Jan Mikita"|"ulica Torowa 88/72
71-688 Starogard Gdański"
"pan Witold Bujko"|"al. Przechodnia 242
19-652 Szczecin"
"Jakub Bałdys"|"pl. Kilińskiego 23
72-788 Sochaczew"
"pani Gaja Ludwik"|"aleja Wolności 03
07-506 Warszawa"
"Marek Bronka"|"pl. Sawickiej 68
73-280 Świdnica"
"Dagmara Oczkowicz"|"al. Sucharskiego 377
54-225 Częstochowa"
"Jakub Piwowarek"|"pl. Jana 118
64-615 Jaworzno"
"Malwina Zmarzły"|"ul. Słowicza 688
39-506 Ełk"
"Maks Złotek"|"al. Słowianska 63
93-495 Ostrołęka"
"pan Tymon Jeszke"|"plac Korczaka 11/71
89-388 Knurów"
"pan Norbert Judek"|"aleja Niecała 98/93
17-413 Brodnica"
"Natan Paliga"|"pl. Długosza 16
67-521 Krosno"
"Gaja Zawalich"|"pl. Żeromskiego 092
69-500 Wodzisław Śląski"
"Lidia Kudra"|"aleja Niepodległości 77
20-125 Wągrowiec"
"Damian Zacharek"|"plac Chopina 97
73-340 Kalisz"
"Dagmara Wiak"|"ul. Gałczyńskiego 22
07-494 Łuków"
"Michał Lula"|"aleja Władysława Łokietka 16/95
02-485 Mikołów"
"pani Apolonia Krajniak"|"ul. Jaworowa 15
73-620 Biała Podlaska"
"Wojciech Nocek"|"al. Jadwigi 37/38
77-946 Kutno"
"pan Daniel Kobak"|"pl. Malczewskiego 10/00
56-490 Leszno"
"Mikołaj Sady"|"al. Grottgera 95/18
80-162 Pruszków"
"Mariusz Kędziorek"|"plac Poniatowskiego 89
16-106 Stalowa Wola"
"Piotr Szlęk"|"ulica Wrzosowa 265
91-490 Wałbrzych"
"Olga Mueller"|"ul. Irysowa 73
84-706 Bochnia"
"Krystyna Łasica"|"ul. Jeziorna 624
22-375 Świętochłowice"
"Dagmara Wiech"|"pl. Kazimierza Wielkiego 66/05
56-581 Jaworzno"
"Sylwia Wysota"|"al. Witosa 00/24
70-063 Czerwionka-Leszczyny"
"Gabriel Bodziony"|"ul. Grottgera 89/14
54-087 Lubin"
"pani Rozalia Kurant"|"ulica Pomorska 765
07-375 Tarnowskie Góry"
"Daniel Morys"|"al. Powstańców Wielkopolskich 84
14-926 Kościerzyna"
"Marcin Tatarek"|"ulica Stefana Batorego 58/40
04-627 Zabrze"
"Adrianna Rutowicz"|"al. Zaciszna 699
08-862 Świnoujście"
"Janina Giel"|"aleja Norwida 71/88
55-729 Olkusz"
"Fryderyk Dobosiewicz"|"pl. Baczyńskiego 95
27-365 Warszawa"
"pan Hubert Piekara"|"ul. Górska 048
45-724 Świętochłowice"
"Damian Misiurek"|"pl. Jadwigi 790
10-311 Sandomierz"
"pan Szymon Jeka"|"pl. Kopernika 24
35-793 Gniezno"
"Ernest Gaś"|"pl. Traugutta 184
45-310 Zduńska Wola"
"pani Blanka Sobkiewicz"|"ulica Nałkowskiej 84/71
34-146 Wałbrzych"
"Tola Folga"|"pl. Drzymały 827
99-253 Pszczyna"
"Artur Bodek"|"pl. Reja 284
12-615 Jawor"
"Mateusz Buszkiewicz"|"aleja Jagodowa 595
91-443 Piastów"
"pani Aniela Wojnicz"|"ulica Bema 363
32-873 Legionowo"
"Grzegorz Pielach"|"aleja Ściegiennego 65/38
68-805 Pabianice"
"Karina Glenc"|"aleja Dobra 89/12
73-311 Chorzów"
"Damian Pastuła"|"aleja Piwna 258
32-367 Biała Podlaska"
"pan Grzegorz Ligas"|"ul. Armii Krajowej 299
50-033 Iława"
"pani Aurelia Żymełka"|"pl. Konarskiego 03/64
69-121 Siemianowice Śląskie"
"Patryk Sudnik"|"plac Chopina 57
01-801 Jaworzno"
"Albert Gramza"|"pl. Gałczyńskiego 62/04
72-906 Piekary Śląskie"
"pani Melania Zybura"|"ul. Grzybowa 51
14-242 Radomsko"
"Stefan Breguła"|"aleja Batalionów Chłopskich 611
07-748 Starachowice"
"Kazimierz Stupak"|"al. Poniatowskiego 05/84
31-910 Zduńska Wola"
"Jan Sajnóg"|"al. Księżycowa 41
96-900 Przemyśl"
"Sandra Wasążnik"|"ul. Bolesława Krzywoustego 25
63-206 Bielawa"
"Damian Srokosz"|"al. Plażowa 51
56-867 Świnoujście"
"Emil Czosnyka"|"ulica Tulipanowa 49/41
70-534 Krosno"
"Nela Kubina"|"ulica Azaliowa 42/41
10-926 Otwock"
"Oliwier Burchard"|"pl. Kosynierów 586
10-605 Oświęcim"
"Przemysław Idzi"|"al. Narcyzowa 46/17
41-928 Żagań"
"Błażej Gałat"|"ulica Hallera 173
80-936 Ostrołęka"
"Tadeusz Szarejko"|"ulica Niepodległości 86
64-162 Bełchatów"
"Julianna Semik"|"al. Kossaka 95
85-724 Giżycko"
"Sonia Pikula"|"pl. Władysława Jagiełły 26/72
83-647 Wałcz"
"Mikołaj Dziopa"|"plac Sikorskiego 80
18-300 Koszalin"
"Damian Staniewicz"|"plac Jadwigi 07
30-452 Dąbrowa Górnicza"
"Róża Sieg"|"plac Powstańców 248
23-691 Zgierz"
"Kornel Krenc"|"ulica Wojska Polskiego 629
71-174 Jarocin"
"Krystyna Zegar"|"ul. Północna 67
74-796 Tarnobrzeg"
