"Ada Balcewicz","ul. Miłosza 613
53-927 Chojnice" 
"Damian Łabno","ul. Batalionów Chłopskich 974
24-050 Skarżysko-Kamienna"
"pan Krystian Wrochna","ulica Złota 376
35-912 Żory"
"Oliwier Usarek","ulica Przemysłowa 20/61
15-103 Biłgoraj"
"pani Dagmara Rozmiarek","plac Norwida 429
76-019 Będzin"
"Roksana Ochnio","pl. Wojciecha 950
28-216 Olkusz"
"pani Marika Solarek","plac Słowicza 23/41
13-762 Świdnik"
"Norbert Maron","ul. Zacisze 84/02
90-200 Kłodzko"
"Olaf Flaga","pl. Stycznia 06/38
78-844 Wieluń"
"Aleksander Hyży","ul. Cisowa 906
84-128 Zduńska Wola"
"Liwia Dobrosz","aleja Nałkowskiej 629
41-190 Włocławek"
"Damian Łusiak","pl. Lelewela 21/00
56-438 Wałbrzych"
"Kacper Frączkiewicz","aleja Lazurowa 24/59
07-895 Łaziska Górne"
"Apolonia Majos","ulica Wieniawskiego 830
58-727 Nowa Sól"
"Krystian Kopik","plac Władysława Łokietka 61/82
04-510 Siedlce"
"pan Józef Wódka","aleja Głowackiego 016
70-550 Łódź"
"Kalina Borysiuk","pl. Paderewskiego 20/73
72-249 Wrocław"
"Hubert Rode","plac Powstańców Wielkopolskich 80/06
60-193 Ostrołęka"
"Kazimierz Myszk","aleja Konopnickiej 81
93-361 Toruń"
"Nela Helak","ulica Orzeszkowej 626
68-418 Nowy Sącz"
"Sara Usarek","plac Baczyńskiego 87/35
73-370 Żywiec"
"Daniel Barłóg","ulica Czarnieckiego 181
97-365 Szczecin"
"Miłosz Michnik","aleja Zielna 40/76
24-988 Brzeg"
"pani Kaja Hamrol","plac Bolesława Chrobrego 45
47-530 Siedlce"
"Kacper Serzysko","pl. Wyzwolenia 810
14-541 Stalowa Wola"
"pani Klara Żelasko","pl. Armii Krajowej 89
53-515 Ostrów Mazowiecka"
"pan Kazimierz Stuglik","aleja Konarskiego 73
12-981 Biłgoraj"
"Bruno Majdak","plac Stefana Batorego 702
78-171 Starogard Gdański"
"Jan Bok","ulica Nadrzeczna 379
30-507 Pszczyna"
"pani Anna Maria Feliniak","pl. Kosynierów 124
88-824 Suwałki"
"pani Marcelina Rajtar","ulica Spacerowa 825
57-262 Przemyśl"
"Daniel Hajdas","ulica Słoneczna 808
07-898 Nowy Sącz"
"Kazimierz Seta","aleja Broniewskiego 668
57-058 Nowy Sącz"
"Julian Mesjasz","plac Jana Pawła II 31/97
72-406 Żagań"
"pan Aleks Mirgos","plac Słowicza 488
98-398 Bochnia"
"Leonard Krajniak","aleja Pułaskiego 13/98
98-969 Marki"
"Michał Kutera","aleja Tulipanowa 64/83
22-117 Kwidzyn"
"Natasza Skocz","al. Radosna 858
43-169 Czerwionka-Leszczyny"
"Angelika Wołk","aleja Handlowa 14/30
54-233 Knurów"
"Agnieszka Ruszel","al. Tuwima 743
59-338 Nowy Targ"
"Malwina Prystupa","ulica Chmielna 42/01
98-028 Zamość"
"Daniel Kempny","aleja Podleśna 775
32-653 Ciechanów"
"Olaf Szklarek","ulica Floriana 40
67-370 Bochnia"
"pan Konstanty Kurzyna","aleja Bankowa 30
76-375 Bolesławiec"
"Dagmara Pędzik","ul. Żwirki i Wigury 89
71-803 Bydgoszcz"
"Karol Szczerek","pl. Tuwima 53/02
44-166 Konin"
"Szymon Owczarczak","al. Mickiewicza 74
38-477 Oława"
"Wiktor Achtelik","plac Kilińskiego 482
52-160 Lubartów"
"pan Nataniel Zacharewicz","plac Narutowicza 64
56-838 Jarocin"
"Patryk Dorna","ul. Kusocińskiego 085
06-545 Augustów"
"Krzysztof Kozubal","ulica Okrzei 40/16
07-170 Świętochłowice"
"Daniel Magier","aleja Rejtana 50
70-102 Wołomin"
"pan Dariusz Jama","pl. Maczka 80/57
67-401 Wejherowo"
"Robert Block","plac Witosa 02/12
05-731 Bełchatów"
"Jędrzej Odrzywołek","ulica Mazurska 36/63
80-307 Olkusz"
"Cezary Klin","ulica Głogowa 92
26-538 Mława"
"Bartek Gładka","al. Wąska 59/37
71-290 Legnica"
"Ada Wardzała","ulica Zdrojowa 728
30-563 Stargard Szczeciński"
"Ignacy Plebanek","pl. Słowackiego 49
79-359 Wągrowiec"
"Kornel Kwapisiewicz","ul. Królewska 95/01
80-684 Pszczyna"
"Maksymilian Łyś","ulica Jana 31
93-692 Radomsko"
"Daniel Matus","ul. Kazimierza Wielkiego 544
92-620 Nowa Sól"
"Malwina Tyka","al. Sokola 888
93-537 Giżycko"
"Antoni Heleniak","ulica Bydgoska 35
73-722 Czeladź"
"pani Nicole Bajko","aleja Szewska 73
90-294 Mielec"
"Jan Włodyka","ulica Miłosza 03/69
39-354 Czeladź"
"Anna Maria Jaszcz","al. Miłosza 786
17-738 Kielce"
"Marika Krzyśko","ulica Maja 772
75-599 Tarnów"
"Nikodem Gebauer","ul. Wczasowa 919
75-763 Gdańsk"
"Konstanty Romankiewicz","pl. Paderewskiego 38/56
42-620 Czerwionka-Leszczyny"
"pani Dagmara Malewicz","ulica Piaskowa 797
45-416 Gorlice"
"Daniel Nogieć","al. Długosza 261
01-012 Cieszyn"
"Tola Kryszczuk","al. Pułaskiego 02/05
48-755 Inowrocław"
"Marcel Piaścik","pl. Tuwima 122
87-248 Sochaczew"
"Tobiasz Zagożdżon","ulica Rzemieślnicza 75/70
83-028 Mielec"
"Kornelia Cymer","aleja Sawickiej 72/18
33-215 Wałcz"
"pani Eliza Brzeźniak","ulica Chopina 49/67
33-393 Szczecin"
"Bartek Krzyśko","al. Zamkowa 35
21-220 Lębork"
"Ryszard Halama","pl. Dąbrowskiej 88/65
53-850 Sopot"
"Melania Jędrak","plac Matejki 580
68-411 Ełk"
"Lidia Jarmużek","ulica Kruczkowskiego 257
45-840 Żyrardów"
"Daniel Olkowicz","ulica Rubinowa 042
61-080 Legnica"
"pani Julita Sumera","ul. Cedrowa 31/66
04-107 Nowy Targ"
"Artur Mizgała","al. Wesoła 30
87-916 Zgorzelec"
"Tola Chyb","ul. Miła 80
71-906 Ostróda"
"Tomasz Kontny","aleja Matejki 928
15-343 Lębork"
"Nicole Trzop","al. Odrzańska 49/69
71-902 Biała Podlaska"
"Olaf Mzyk","pl. Gałczyńskiego 11
77-475 Zielona Góra"
"Hubert Makar","aleja Krokusowa 12
73-940 Chrzanów"
"Maks Węgrzynek","al. Długosza 58
71-226 Nowa Sól"
"Piotr Dulik","ulica Kilińskiego 32/28
21-142 Oświęcim"
"Daniel Pilich","ul. Wyspiańskiego 52/19
18-043 Włocławek"
"Julita Barej","plac Witosa 63/04
37-312 Gdańsk"
"Aleks Rakus","pl. Jana 71
84-223 Ruda Śląska"
"Roksana Osada","aleja Norwida 18/09
47-647 Pabianice"
"Gabriel Hornik","ulica Szymanowskiego 999
52-189 Zamość"
"Tola Paszkowiak","ulica Ceglana 44
62-368 Przemyśl"
"Marcel Skotarek","aleja Szarych Szeregów 25/70
62-434 Żory"
"Dagmara Hyży","pl. Kochanowskiego 10/67
15-191 Puławy"
"Lidia Stefankiewicz","al. Krzywa 25
56-175 Częstochowa"
"Iwo Jędruszczak","aleja Zielona 364
05-523 Jarocin"
"Daniel Rembisz","aleja Piwna 96
47-272 Otwock"
"pan Aleks Siergiej","pl. Narutowicza 01/10
78-802 Głogów"
"pani Angelika Doruch","al. Glówna 84
23-912 Tarnowskie Góry"
"Apolonia Karalus","al. Prusa 579
01-841 Kutno"
"Maksymilian Romankiewicz","ulica Szymanowskiego 210
34-762 Giżycko"
"pan Konrad Kwapis","ul. Okulickiego 95/45
01-538 Żyrardów"
"Krystyna Majtyka","ulica Osiedlowa 95
05-478 Kielce"
"Sonia Ciapa","ulica Jana Sobieskiego 90/41
42-179 Sochaczew"
"Szymon Sabała","ul. Malinowa 481
75-998 Ostrowiec Świętokrzyski"
"Dominik Koleśnik","aleja Krucza 54/61
54-361 Kędzierzyn-Koźle"
"Daniel Samoraj","plac Krasińskiego 88
83-137 Słupsk"
"Filip Jankowicz","ulica Ogrodowa 11/00
88-168 Polkowice"
"Piotr Rosada","al. Wyzwolenia 424
63-443 Śrem"
"Kajetan Kielich","aleja Moniuszki 01/44
29-030 Elbląg"
"pan Jeremi Stożek","pl. Asnyka 00
05-637 Jaworzno"
"Kaja Łachacz","plac Orzeszkowej 21
05-111 Gdynia"
"Antoni Muc","plac Władysława Jagiełły 50/44
21-431 Bełchatów"
"Róża Siwczak","ul. Plażowa 68
52-434 Ostrowiec Świętokrzyski"
"Norbert Smolec","al. Baczyńskiego 80
56-551 Inowrocław"
"pan Maks Kusa","ulica Dębowa 90/16
20-246 Wieluń"
"Daniel Sterna","plac Staszica 41
78-740 Jastrzębie-Zdrój"
"pan Olgierd Drop","plac Stefana Batorego 12/54
12-498 Szczytno"
"Sonia Grześków","al. Handlowa 91
38-693 Kwidzyn"
"pani Eliza Bieleń","ulica Gałczyńskiego 59
66-250 Chojnice"
"Emil Milka","ulica Malczewskiego 12/49
58-391 Sochaczew"
"Ewa Darłak","pl. Słowicza 82/73
37-940 Mielec"
"Urszula Wochnik","ul. Szafirowa 81
18-216 Polkowice"
"Adam Piksa","plac Ściegiennego 35/31
07-946 Przemyśl"
"Przemysław Jakubiuk","plac Traugutta 48/09
16-769 Świecie"
"Ada Basista","plac Grottgera 941
95-018 Oleśnica"
"Daniel Sularz","pl. Kopernika 436
91-526 Kędzierzyn-Koźle"
"Maksymilian Salwin","ul. Andersa 29/39
84-898 Łódź"
"Arkadiusz Jędrusiak","aleja Parkowa 339
68-518 Piastów"
"Dominik Sarosiek","ulica Daszyńskiego 39
79-913 Rybnik"
"Dawid Matura","aleja Baczyńskiego 24
81-641 Polkowice"
"Mariusz Wojnicz","plac Wyzwolenia 41/55
75-272 Lębork"
"pani Kamila Wereda","al. Grabowa 97
32-263 Zielona Góra"
"pani Aniela Tecław","pl. Nałkowskiej 20/45
04-313 Kościerzyna"
"Gaja Smoczyk","ulica Zbożowa 54/69
41-343 Skarżysko-Kamienna"
"Kamila Guziak","aleja Hallera 56/09
21-682 Szczecinek"
"Daniel Tomaszkiewicz","ulica Sokola 383
37-492 Nowy Sącz"
"Kacper Skocz","pl. Pułaskiego 20
96-345 Kętrzyn"
"pani Aurelia Perka","al. Armii Krajowej 69/88
93-286 Turek"
"Ryszard Wojtyna","plac Orzeszkowej 359
71-223 Płońsk"
"Ada Tondera","ulica Poziomkowa 07
13-488 Racibórz"
"Cyprian Tworzydło","plac Poniatowskiego 18
06-983 Zamość"
"Sara Brejnak","al. Rubinowa 637
92-431 Wodzisław Śląski"
"pani Angelika Niewola","plac Grottgera 87
74-932 Dzierżoniów"
"Maciej Sobuś","ulica Baczyńskiego 87/31
32-044 Bielawa"
"Oliwier Popielarczyk","aleja Drzymały 512
39-899 Żyrardów"
"Daniel Wiatrak","aleja Bema 42
23-170 Cieszyn"
"pani Inga Linek","pl. Waryńskiego 11/69
80-744 Jasło"
"pani Ewa Job","ul. Kielecka 75
90-083 Szczytno"
"pani Anita Kudlak","aleja Jana Pawła II 87/75
75-523 Kędzierzyn-Koźle"
"pani Róża Deszcz","aleja Orzeszkowej 108
28-330 Otwock"
"pan Alan Hadam","pl. Hallera 95
17-120 Poznań"
"pani Bianka Kawulok","ul. Wiatraczna 31
06-076 Mińsk Mazowiecki"
"pani Sandra Szyma","aleja Floriana 46/25
23-446 Goleniów"
"Filip Oleksik","al. Korfantego 89
91-382 Legionowo"
"Witold Pompa","pl. Słowicza 31
54-692 Wałcz"
"Daniel Zagożdżon","pl. Wyspiańskiego 332
75-209 Września"
"Adam Pęciak","plac Floriana 781
81-155 Szczecinek"
"pani Agnieszka Szaruga","pl. Reja 94/75
60-440 Białogard"
"Witold Saj","ulica Witosa 70/12
89-697 Czerwionka-Leszczyny"
"Maksymilian Morka","ulica Młyńska 57
01-599 Koszalin"
"Wiktor Dziugieł","ul. Gdańska 85/01
54-630 Myszków"
"Aleksander Wnuczek","ulica Lwowska 656
28-773 Biłgoraj"
"Anna Maria Jarczak","al. Armii Krajowej 42
42-941 Lubliniec"
"Ksawery Garncarek","pl. Szymanowskiego 77
13-948 Zielona Góra"
"pani Ida Wódka","al. Rolna 355
96-210 Polkowice"
"Daniel Zbroja","aleja Hutnicza 68
38-195 Głogów"
"Marianna Siewert","ul. Rynek 34
62-030 Puławy"
"Andrzej Doroszkiewicz","plac Kruczkowskiego 76
31-100 Goleniów"
"Julianna Andziak","aleja Skargi 76
71-319 Gorlice"
"Witold Trochimiuk","aleja Kopernika 561
23-523 Gniezno"
"Aurelia Pudełek","al. Daleka 182
72-535 Kościan"
"pan Kajetan Wereda","ulica Sucharskiego 828
32-239 Dzierżoniów"
"Aleks Ropiak","ul. Tartaczna 02
57-303 Olkusz"
"Dominik Pleśniak","al. Mickiewicza 369
64-700 Zgorzelec"
"Sonia Kursa","al. Kasprowicza 450
62-159 Środa Wielkopolska"
"Dariusz Andrukiewicz","ul. Jana Sobieskiego 018
93-330 Szczecinek"
"pan Tymoteusz Rosołek","ul. Wieniawskiego 163
38-364 Łomża"
"Karina Lemanowicz","aleja Kopernika 10/89
12-025 Kościerzyna"
"Kacper Płaneta","plac Sucharskiego 88/06
03-100 Tomaszów Mazowiecki"
"Liwia Żołądź","ul. Skrajna 427
37-239 Kłodzko"
"pan Konstanty Gumuła","ulica Urocza 41/46
40-051 Płońsk"
"Liwia Droździk","pl. Mieszka I 91
36-638 Dębica"
"Kamil Becker","ul. Piwna 136
42-994 Skawina"
"Paweł Majczyna","aleja Jałowcowa 40/64
08-743 Oleśnica"
"Juliusz Mak","aleja Konarskiego 22
19-706 Dębica"
"Dariusz Ciak","aleja Jarzębinowa 97/82
14-893 Piekary Śląskie"
"Jakub Ostapiuk","ulica Piastowska 19/27
91-298 Gorlice"
"Łukasz Wojtunik","pl. Krasickiego 975
72-150 Kwidzyn"
"pan Kamil Obiała","ul. Irysowa 50
11-954 Kwidzyn"
"Konstanty Jakiel","al. Władysława Łokietka 180
75-586 Zamość"
"Błażej Szałaj","ul. Grzybowa 980
93-820 Wągrowiec"
"Rozalia Podeszwa","al. Pułaskiego 18
50-419 Gdynia"
"Kornel Bulanda","plac Kościuszki 83/48
59-878 Wołomin"
"Sebastian Dubel","aleja Śląska 50/75
92-176 Legionowo"
"Jan Bernatek","ulica Wróblewskiego 41/12
23-551 Jelenia Góra"
"Dariusz Merda","plac Baczyńskiego 31
97-083 Skarżysko-Kamienna"
"Angelika Topa","aleja Wczasowa 13
75-127 Gorlice"
"Borys Chadaj","aleja Poziomkowa 765
36-507 Olsztyn"
"Eryk Kapcia","pl. Jana Sobieskiego 50
39-107 Sochaczew"
"Łukasz Gregorek","plac Floriana 14/63
90-704 Siemianowice Śląskie"
"Dawid Molek","aleja Piaskowa 56
19-022 Stalowa Wola"
"Juliusz Gęsiarz","ulica Wojska Polskiego 15
45-305 Wyszków"
"Wojciech Kuster","ul. Władysława Jagiełły 591
89-013 Żyrardów"
"Cezary Gałęza","ul. Narutowicza 578
29-330 Nowy Targ"
"pan Mateusz Ciesielczyk","ulica Plater 71/05
80-322 Wejherowo"
"Dariusz Puto","ulica Opolska 39/53
56-838 Olkusz"
"pan Jan Adrian","plac Jana Pawła II 86
03-965 Płońsk"
"pani Adrianna Kanarek","ul. Koralowa 83/51
53-588 Inowrocław"
"Tadeusz Brejnak","ulica Paderewskiego 67
22-037 Łomża"
"Anita Biesaga","ulica Jasna 96/87
50-836 Nysa"
"Sebastian Sadłocha","pl. Niepodległości 24/99
51-333 Wodzisław Śląski"
"Blanka Lepak","ulica Wrocławska 15
20-602 Piaseczno"
"Emil Fit","al. Żwirki i Wigury 13/31
66-884 Kraków"
"Janina Fyda","plac Moniuszki 19
86-131 Dębica"
"Inga Zagrodnik","ul. Malinowa 242
51-065 Kędzierzyn-Koźle"
"Dariusz Sochaj","plac Kusocińskiego 241
23-583 Jawor"
"Olga Gryszkiewicz","pl. Jadwigi 72/03
62-994 Ciechanów"
"Jan Symonowicz","al. Wiklinowa 692
10-376 Wrocław"
"Stanisław Zielke","pl. Norwida 137
32-403 Wodzisław Śląski"
"Dominik Glanc","plac Mickiewicza 46/21
29-595 Jawor"
"Mariusz Duras","aleja Harcerska 70
75-006 Bielsk Podlaski"
"Nicole Przewoźniak","al. Narutowicza 70
08-020 Piaseczno"
"Nikodem Bluszcz","ulica Krokusowa 65
01-920 Łomża"
"Wiktor Jeszke","ul. Tuwima 24/60
52-010 Września"
"Tadeusz Wypchło","ul. Pałacowa 86/55
65-598 Świecie"
"Dariusz Szmelter","al. Łanowa 624
90-169 Malbork"
"Janina Koral","plac Maczka 443
46-161 Oświęcim"
"Franciszek Kajdan","ul. Zaciszna 50
31-412 Włocławek"
"Natasza Toś","plac Witosa 38
98-175 Jarosław"
"Antoni Dybał","ulica Tysiąclecia 39/28
18-091 Kielce"
"Janina Hamerla","aleja Torowa 43
89-440 Chrzanów"
"Jerzy Osial","al. Turystyczna 165
91-432 Polkowice"
"Błażej Podeszwa","al. Brzechwy 75
54-147 Tczew"
"pan Józef Kołak","pl. Żeromskiego 01/06
82-140 Radom"
"Adrian Abramczuk","aleja Willowa 11/50
36-304 Czeladź"
"Dariusz Łepek","ul. Akacjowa 69
60-549 Inowrocław"
"Józef Matyka","aleja Ściegiennego 35/23
49-035 Gliwice"
"Ida Trybuś","al. Jadwigi 85
44-402 Mława"
"Nela Pabiś","ulica Krótka 550
35-527 Opole"
"pan Kazimierz Rychert","plac Konarskiego 933
40-092 Tomaszów Mazowiecki"
"Nela Kołsut","ul. Ściegiennego 852
88-333 Poznań"
"Karol Szóstak","ulica Koralowa 92
61-858 Bytom"
"Marcin Chaba","plac Tysiąclecia 03/99
11-541 Jarosław"
"Jakub Grzebyk","ul. Daszyńskiego 77
50-738 Żagań"
"pani Kamila Ziemkiewicz","ul. Norwida 40/96
55-717 Chorzów"
"Dariusz Żuchowicz","ulica Stefana Batorego 98/28
74-285 Wołomin"
"pan Krzysztof Królikiewicz","aleja Korczaka 27
74-011 Tarnowskie Góry"
"Norbert Wielgo","ul. Tuwima 63
24-804 Gdynia"
"pani Blanka Zdonek","pl. Jana 52/09
49-708 Nowy Dwór Mazowiecki"
"pan Artur Armatys","pl. Wyspiańskiego 43
76-730 Giżycko"
"Igor Pilarek","ulica Piłsudskiego 91/58
68-918 Zakopane"
"pan Tymoteusz Amanowicz","ulica Żeromskiego 71/03
03-145 Jarocin"
"Oliwier Białka","pl. Powstańców Śląskich 538
10-193 Myszków"
"Krzysztof Boduch","aleja Dworcowa 99
42-435 Police"
"Marek Helman","pl. Lelewela 619
33-131 Żagań"
"Dawid Cydzik","ulica Rzemieślnicza 25
80-247 Wieluń"
"pani Elżbieta Miękina","pl. Wyszyńskiego 24/35
74-231 Płock"
"Alan Jas","ul. Chabrowa 21/27
76-931 Żary"
"Grzegorz Filusz","al. Jana Sobieskiego 94/41
16-186 Sieradz"
"Jakub Buszkiewicz","al. Wiklinowa 885
39-900 Kalisz"
"Krystian Gołoś","pl. Prusa 42/73
52-313 Łaziska Górne"
"pan Wojciech Ziegler","al. Lawendowa 68
69-082 Zakopane"
"pani Nicole Proć","ul. Niepodległości 918
45-553 Zawiercie"
"Tadeusz Bazela","plac Kopernika 866
83-408 Malbork"
"Kajetan Stawowczyk","ul. Krasickiego 17
77-104 Ruda Śląska"
"Dawid Franc","al. Powstańców Śląskich 17
31-760 Biała Podlaska"
"Borys Łyjak","plac Lelewela 03/60
84-475 Iława"
"Nataniel Kazimierczyk","plac Maja 254
94-004 Czechowice-Dziedzice"
"pan Hubert Bobko","pl. Makuszyńskiego 17
25-034 Iława"
"Marika Drożdżal","ul. Bema 15/85
82-985 Głogów"
"Sylwia Węgrzynek","plac Słowackiego 838
85-288 Września"
"Jacek Morek","aleja Krasickiego 05
36-139 Reda"
"Mariusz Flisiak","aleja Lipca 249
85-026 Łódź"
"Aniela Rosada","plac Wojska Polskiego 35
44-671 Słupsk"
"Rozalia Roch","pl. Asnyka 183
26-866 Zgierz"
"Dawid Giża","ulica Orzeszkowej 01
70-640 Piła"
"Rozalia Pryszcz","pl. Bema 89
48-416 Będzin"
"Marcel Obuchowicz","ulica Solidarności 500
59-184 Jarosław"
"pan Michał Brojek","plac Malczewskiego 97/67
89-601 Mława"
"Nikodem Bartuś","ulica Wyszyńskiego 26/53
54-991 Kościerzyna"
"Bruno Kosela","al. Norwida 80/64
39-010 Kościan"
"pani Natasza Dulewicz","pl. Floriana 44/79
15-367 Mikołów"
"Artur Sajnóg","plac Hallera 67/92
12-016 Opole"
"Kornel Pracz","ul. Fredry 89/21
69-577 Ostróda"
"pan Kacper Kubów","al. Chełmońskiego 566
86-602 Czerwionka-Leszczyny"
"Dawid Greszta","aleja Leszczynowa 39/71
63-343 Konin"
"Gabriel Łukowicz","ulica Słowicza 69/99
77-312 Kętrzyn"
"pani Anita Puch","aleja Kopernika 93
37-263 Częstochowa"
"pani Tola Danieluk","ulica Floriana 595
57-091 Jaworzno"
"Sylwia Tatarek","ul. Mała 654
66-146 Gorlice"
"Stefan Mućko","al. Powstańców Śląskich 55/35
05-203 Bełchatów"
"Tola Pryszcz","ulica Bolesława Chrobrego 36/27
57-737 Nysa"
"Ksawery Ryguła","pl. Świerczewskiego 50
64-615 Wałbrzych"
"Blanka Bernatowicz","al. Poziomkowa 597
13-722 Świdnik"
"Michał Ziółko","ulica Cmentarna 559
24-665 Wągrowiec"
"Dawid Harasimiuk","pl. Konarskiego 90
32-301 Suwałki"
"pan Kacper Raba","aleja Wyspiańskiego 69/13
71-766 Zielona Góra"
"pan Eryk Pieczarka","plac Jana III Sobieskiego 41
43-083 Kielce"
"Olgierd Hynek","al. Zakątek 888
22-843 Kutno"
"Bartek Trzop","aleja Mokra 26
84-785 Lubartów"
"Justyna Zyzik","al. Plażowa 70/23
36-429 Białogard"
"Marianna Pal","plac Malczewskiego 73
07-931 Cieszyn"
"Eliza Berg","aleja Szmaragdowa 356
45-942 Tomaszów Mazowiecki"
"Julianna Bobik","plac Partyzantów 89/55
56-224 Płońsk"
"Tymoteusz Kubasiak","pl. Partyzantów 38/92
16-388 Świnoujście"
"Dawid Sibiga","al. Armii Krajowej 177
95-301 Łowicz"
"Dariusz Sysło","ul. Witosa 12
98-914 Biłgoraj"
"Przemysław Wasyluk","ul. Rumiankowa 43/48
33-098 Ruda Śląska"
"Sonia Klisz","pl. Mieszka I 95
24-889 Opole"
"Nicole Glazik","plac Chełmońskiego 43
19-732 Grodzisk Mazowiecki"
"Robert Siewiera","pl. Powstańców 979
55-597 Starachowice"
"Jerzy Kostera","pl. Andersa 96
34-948 Tychy"
"pani Sonia Jop","plac Świerczewskiego 11/16
19-068 Sandomierz"
"Kornel Łuszczyk","ulica Brzechwy 236
15-403 Wejherowo"
"Tobiasz Kukawka","ulica Sokola 80
16-461 Nysa"
"Dawid Wichary","plac Słowicza 43
92-790 Police"
"pan Norbert Schubert","aleja Tartaczna 74/58
03-993 Żary"
"Fabian Wlizło","aleja Powstańców Wielkopolskich 906
12-388 Koszalin"
"Angelika Piłka","pl. Wojska Polskiego 57/38
62-429 Oleśnica"
"pani Roksana Rakus","al. Jadwigi 48
64-816 Bartoszyce"
"Roksana Zarzeczna","plac Stefana Batorego 025
41-572 Żory"
"pani Tola Żok","al. Słowianska 97/84
67-755 Dzierżoniów"
"pan Olaf Sztuba","ul. Andersa 808
72-927 Będzin"
"pani Gaja Jaszczyszyn","pl. Chełmońskiego 689
34-154 Lębork"
"Paweł Otremba","ul. Stefana Batorego 567
91-523 Zielona Góra"
"Dominik Franiak","al. Rataja 758
51-384 Elbląg"
"Gabriel Mila","ul. Szymanowskiego 97/82
95-223 Leszno"
"Szymon Leszkiewicz","pl. Staszica 517
85-479 Łuków"
"pan Ksawery Łyczak","plac Rynek 21
67-266 Starogard Gdański"
"Julita Żmija","al. Mickiewicza 35
75-896 Wyszków"
"Roksana Zadora","aleja Kruczkowskiego 86
15-049 Kłodzko"
"Michał Ptok","aleja Dąbrowskiej 52/82
70-383 Wałbrzych"
"Piotr Kielan","plac Konarskiego 42
84-764 Jasło"
"Marika Saczuk","aleja Powstańców Wielkopolskich 022
85-348 Krotoszyn"
"Damian Makar","aleja Browarna 83
66-703 Zgorzelec"
"Dominik Matulka","ul. Pogodna 34
25-793 Zambrów"
"pani Apolonia Wierzchoń","aleja Mieszka I 18/34
94-618 Dąbrowa Górnicza"
"Jerzy Szajek","ul. Hallera 31
34-021 Wołomin"
"Jerzy Walencik","ulica Jana Sobieskiego 68
16-440 Warszawa"
"Róża Ryndak","aleja Rolnicza 962
60-999 Rumia"
"Marek Soczówka","aleja Kilińskiego 87/39
41-421 Chojnice"
"Aniela Słonka","aleja Mazurska 34/84
20-121 Sochaczew"
"Emil Mazan","ulica Brzechwy 94
07-675 Sanok"
"Ryszard Błądek","plac Baczyńskiego 75/44
79-771 Chrzanów"
