"Aaron Lercher"|"Anabella-Pilz-Gasse 7
7053 Schwechat" 
"Mona Mandl-Steinwender"|"Soraya-Lampl-Weg 323
2747 Kindberg"
"Univ.Prof. Rebecca Wechselberger"|"Hornstraße 9/6
8331 Sankt Pölten"
"Ella Schober"|"Benedict-Bartl-Platz 734
3496 Ferlach"
"Marcus Huter"|"Schneiderplatz 3/0
1527 Bad Vöslau"
"Calvin Winter"|"Josef-Mörth-Straße 0
6713 Wien"
"Richard Sagmeister"|"Siebererstraße 6/6
8014 Geras"
"Matteo Lenz"|"Lilia-Feichter-Platz 1
6038 Wien"
"Marcel Kolb-Bischof"|"Veronika-Moser-Weg 587
3193 Eisenstadt"
"Manuel Geisler"|"Michelle-Kern-Platz 4
1589 Salzburg"
"Prof. Nika Lampl"|"Johanna-Ebner-Weg 163
4690 Sankt Andrä im Lavanttal"
"Angelo Scholz"|"Bernhard-Penz-Weg 9
8392 Lilienfeld"
"Eva Holzinger"|"Neumayrweg 5
7779 Zistersdorf"
"Dr. Nikola Hermann"|"Seitzweg 1/4
5544 Eggenburg"
"Annabella Kirchmair-Bachmann"|"Carlotta-Jenewein-Straße 491
6453 Bleiburg"
"Carina Kral"|"Spieglplatz 7/8
6344 Neumarkt am Wallersee"
"Amanda Juen"|"Danglring 409
6633 Köflach"
"Andreas Brandstätter"|"Elisa-Beer-Ring 3
9522 Gleisdorf"
"Elvira Mayer"|"Mariella-Huter-Platz 87
2597 Güssing"
"Selena Jahn"|"Domenica-Schachinger-Weg 510
6668 Haag"
"Dr. Xavier Reichel"|"Louise-Nöbauer-Platz 6
5849 Freistadt"
"Nick Adler"|"Mina-Lassnig-Ring 83
7673 Lienz"
"Nicole Paul"|"Weissenböckstr. 455
7032 Vöcklabruck"
"Joshua Ritter-Lerch"|"Selina-Schneider-Gasse 3/0
7794 Maissau"
"Leander Kern-Zechmeister"|"Beckstraße 2
6517 Perg"
"Carina Reinthaler"|"Harrerstraße 1/5
7340 Schwaz"
"Joel Rossmann"|"Wurmweg 30
8777 Bruck an der Mur"
"Leander Kirchner"|"Lilian-Schaffer-Ring 2
8654 Retz"
"Aron Geier-Rauter"|"Schulzgasse 7/2
7032 Traismauer"
"Felix Kerschbaum-Leeb"|"Ilias-Gasser-Platz 3
1421 Gloggnitz"
"Nicolas Leber"|"Helmring 299
1411 Mannersdorf am Leithagebirge"
"Florin Wechselberger"|"Bayerweg 3/0
5371 Enns"
"Daniel Neugebauer"|"Gregor-Marte-Platz 31
9762 Schwaz"
"Johanna Lipp"|"Brennerstraße 50
7175 Gallneukirchen"
"Raffael Frick"|"Ariana-Egger-Platz 7
4983 Dornbirn"
"Carina Zeller"|"David-Gabriel-Ring 889
2836 Sankt Valentin"
"Ing. Fabio Schmuck"|"Scharfstraße 23
1730 Kufstein"
"Gloria Lettner"|"Lino-Martin-Straße 3
2500 Rottenmann"
"Ing. Julian Oberhauser"|"Stockingerweg 6/4
9000 Freistadt"
"Dr. Martha Sigl"|"Gstreinring 32
1699 Mariazell"
"Timon Walser"|"Domenica-Grünwald-Weg 1/3
9572 Salzburg"
"John Gangl"|"Sonja-Hammerer-Straße 52
5079 Heidenreichstein"
"Dr. Filip Maurer"|"Bruggerplatz 333
6165 Gmunden"
"Linus Philipp"|"Annabella-Kraft-Straße 34
5675 Wolkersdorf"
"Nikola Trummer"|"Nick-Herrmann-Weg 9/1
7862 Schwechat"
"Carl Fürst"|"Zotterstr. 2
8974 Eisenstadt"
"Mathilda Dietrich-Steidl"|"Schandlplatz 2
9844 Frauenkirchen"
"Teodor Krall-Wilfinger"|"Sofie-Scherz-Ring 1
7994 Hartberg"
"Ing. Aleksander Hager"|"Oskar-Streicher-Ring 8
2807 Ried im Innkreis"
"Laila Prinz"|"Paula-Heger-Platz 2/4
9930 Schrattenthal"
"Sophia Holzknecht"|"Marklgasse 841
5817 Vöcklabruck"
"Nicole Vogl-Fröschl"|"Andrea-Riener-Weg 7
6792 Retz"
"Carl Hebenstreit"|"Lara-Sophie-Schlosser-Weg 0
6958 Imst"
"Jana Knapp"|"Ela-Handl-Platz 3
7943 Bleiburg"
"Carina Reich"|"Dirnbergerplatz 6/6
1518 Köflach"
"Carl Hosp"|"Boris-Wimmer-Gasse 6
3396 Stadtschlaining"
"Melisa Stock"|"Voglerweg 66
6973 Oberpullendorf"
"Rene Hacker"|"Aleksandra-Klaus-Weg 4
2502 Wolkersdorf"
"Prof. Beatrice Höfler"|"Patricia-Weninger-Ring 8/8
2980 Neulengbach"
"Viola Bichler-Hagen"|"Tiefenbachergasse 5
3419 Bad Vöslau"
"Teodor Radl-Raab"|"Höglingerring 2
7908 Oberwälz"
"Tanja Scheer"|"Manuel-Reichel-Platz 861
5273 Ternitz"
"Aleksander Neumeister"|"Linda-Pointner-Weg 23
9802 Pregarten"
"Ilias Kössler"|"Hacklweg 360
8074 Dornbirn"
"Julia Handl"|"Tom-Röck-Weg 5/3
3941 Radenthein"
"Carl Jovanovic"|"Rauchstr. 680
2876 Hainburg an der Donau"
"Univ.Prof. Maurice Klaus"|"Lola-Baumann-Weg 4/2
1291 Raabs an der Thaya"
"Lea Weinberger"|"Zöchlingweg 3/7
1178 Weitra"
"Eduard Bischof"|"Meyerstraße 40
2001 Traismauer"
"Adelina Sieber"|"Marcel-Fellinger-Straße 4/0
7522 Ebenfurth"
"Philipp Schinnerl"|"Naomi-Böhler-Weg 0
1995 Litschau"
"Sandro Lammer"|"Justus-Schauer-Straße 1
8926 Mank"
"Univ.Prof. Martha Wilhelm"|"Rieserweg 16
6353 Althofen"
"Damian Dorner"|"Stieglerweg 86
2204 Purkersdorf"
"Mathias Eichinger"|"Böhlerring 26
2126 Krems an der Donau"
"Carl König"|"Schmidtgasse 874
8045 Villach"
"Melina Hafner-Heim"|"Justin-Burtscher-Platz 570
8123 Oberwart"
"Rachel Heinz"|"Hegerstraße 381
8338 Feldkirch"
"Oliver Haiden"|"Karina-Hackl-Ring 3/0
6234 Fürstenfeld"
"Univ.Prof. Felix Holzer"|"Hausbergerplatz 96
3981 Kufstein"
"Friedrich Ecker-Krainer"|"Emilian-Holzinger-Gasse 230
6696 Schrems"
"Dipl.-Ing. Alex Stock"|"Norah-Mayerhofer-Straße 9
5751 Rottenmann"
"Danilo Kloiber"|"Lebergasse 0/1
5045 Althofen"
"Ariane Buchner"|"Achleitnerplatz 1/0
9635 Klosterneuburg"
"Dipl.-Ing. Nikolaus Neubauer"|"Tischlerstraße 199
6010 Marchtrenk"
"Carl Leitner"|"Kesslerweg 94
8637 Mannersdorf am Leithagebirge"
"Matheo Parzer"|"Sebastian-Kain-Weg 3
7433 Sankt Valentin"
"Fernando Lichtenegger-Seitz"|"Claire-Hirschmann-Ring 02
8130 Freistadt"
"Anita Rauter"|"Boris-Freitag-Gasse 26
9037 Perg"
"Jan Lechner-Obermayr"|"Kellnerweg 8
6947 Melk"
"Valentin Eberl"|"Eduard-Riegler-Weg 451
8438 Retz"
"Mariana Stocker-Schatz"|"Nisa-Pühringer-Ring 6
7207 Amstetten"
"Herr Nikolas Muhr"|"Linnea-Zechner-Platz 343
2541 Bad Hall"
"Luisa Glück"|"Mathilda-Marx-Ring 159
3647 Allentsteig"
"Andrej Jungwirth"|"Andrej-Röck-Straße 5
4982 Villach"
"Carl Nagele"|"Grillgasse 11
3217 Lienz"
"Jana Fürst"|"Sieglstr. 8/7
6988 Lienz"
"Elisa Schubert"|"Nikolina-Schwendinger-Ring 0/2
4250 Gleisdorf"
"Kevin Denk"|"Voglergasse 7
8682 Stadtschlaining"
"Dipl.-Ing. Amelia Kirschner"|"Neumayerstr. 8/1
4708 Klosterneuburg"
"Domenica Kurzmann"|"Winterring 072
7750 Stockerau"
"Tim Krainer"|"Denggstraße 41
6594 Mattersburg"
"Nathalie Nöbauer"|"Dorfergasse 31
2393 Dornbirn"
"Maurice Schulz"|"Holzerplatz 694
3093 Zwettl"
"Alan Hölzl"|"Noel-Schramm-Ring 4/8
2340 Gmunden"
"Carla Hebenstreit-Böhm"|"Juliana-Achleitner-Gasse 4/5
6751 Mattersburg"
"Clara Zenz-Pfeffer"|"Jasmina-Rinner-Gasse 3
9812 Hartberg"
"Teodor Himmelbauer"|"Nathan-Höller-Ring 38
4789 Bad Leonfelden"
"Kilian Taucher"|"Mariam-Lengauer-Weg 3/3
9758 Weitra"
"Sandra Kriegl"|"Reichlgasse 42
6277 Schrattenthal"
"Tristan Bartl"|"Erlacherstraße 4/1
1614 Schwanenstadt"
"Aurelia Klug-Pollak"|"Mona-Zehetner-Gasse 90
2882 Weiz"
"Juliana Reisner"|"Fabianstr. 04
9730 Hartberg"
"Sara Pieber"|"Victor-Gattringer-Ring 6/5
7298 Weitra"
"Antonia Kriegl"|"Adam-Pölzl-Platz 42
1554 Sankt Pölten"
"Carla Mitterlehner-Bruckner"|"Reschstraße 13
2358 Frohnleiten"
"Lara Hübner"|"Maximilian-Grünwald-Weg 9
2445 Weitra"
"Ben Schlögl"|"Deutschmannstraße 1/2
1056 Bludenz"
"Nathalie Heigl"|"Sabrina-Scheiber-Gasse 4
1192 Voitsberg"
"Dario List"|"Weissplatz 0/2
2713 Sankt Andrä im Lavanttal"
"Dipl.-Ing. Marko Zöchling"|"Ariana-Schrenk-Ring 36
6750 Grein"
"Christina Heigl"|"Amannring 0/5
4969 Purbach am Neusiedler See"
"Herr Richard Janisch"|"Marie-Ladner-Weg 824
1429 Bad Aussee"
"Selma Kucera"|"Pammerring 3/3
4389 Fehring"
"Noel Lampert-Stolz"|"Felderstr. 9/7
6646 Rottenmann"
"Carla Pohl"|"Stephanie-Plattner-Gasse 92
5508 Schrattenthal"
"Mika Erber"|"Lena-Maurer-Weg 40
8134 Hainburg an der Donau"
"Francesca Schneider"|"Hellstraße 1/8
9060 Bruck an der Leitha"
"Henrik Maurer"|"Tom-Steindl-Weg 541
9206 Pregarten"
"Prof. Justin Taferner"|"Emilie-Humer-Platz 66
7175 Ebenfurth"
"Norah Gritsch-Mitteregger"|"Schäferweg 026
7421 Schwanenstadt"
"Ing. Isabell Seiser"|"Klara-Puchner-Straße 586
6434 Altheim"
"Dario Sattler"|"Lukas-Buchegger-Platz 940
3517 Neumarkt am Wallersee"
"Mila Held"|"Gutmannplatz 7
4896 Friedberg"
"Dr. Edda Doppler"|"Geislerring 70
9083 Schrattenthal"
"Carla Wechselberger"|"Raffael-Müller-Straße 44
5069 Marchegg"
"Clarissa Sieber"|"Eiblweg 776
8536 Zistersdorf"
"Bernhard Loibl"|"Vargastr. 00
2863 Allentsteig"
"Maryam Brugger"|"Pascal-Fritsch-Straße 8
5011 Bad Ischl"
"Sophie Leibetseder-Lammer"|"Soraya-Foidl-Gasse 2
7656 Hainburg an der Donau"
"Julius Kitzler"|"Sophie-Unterberger-Weg 85
8715 Frohnleiten"
"Gustav Unger-Bittner"|"Stefanstr. 6/5
1791 Spittal an der Drau"
"Helene Groß"|"Zachgasse 1
1465 Bad Radkersburg"
"Anabella Bacher-Steger"|"Chris-Jank-Straße 3
4905 Waidhofen an der Ybbs"
"Dipl.-Ing. Lara-Sophie Schneeberger"|"Gabrielplatz 9
1900 Allentsteig"
"Carlo Dobler"|"Nadin-Riener-Platz 5
6201 Eggenburg"
"Florentin Lagler"|"Obermüllerring 15
5012 Güssing"
"Univ.Prof. Romy Toth"|"Rohrmoserplatz 99
4462 Allentsteig"
"Mariana Bernhard"|"Hammerlstraße 1/0
4338 Raabs an der Thaya"
"Nelly Schiller-Gahleitner"|"Diana-Baumgartner-Ring 686
7821 Dürnstein"
"Evelyn Trauner"|"Damian-Lehner-Straße 70
7238 Gmünd"
"Luca Schröder-Stecher"|"Frickring 7/7
4250 Gmünd"
"Univ.Prof. Sophia Schweitzer"|"Marlene-Salzmann-Gasse 1
3692 Lienz"
"Marius Karl"|"Geyerplatz 3
3281 Raabs an der Thaya"
"Univ.Prof. Lina Barth"|"Karina-Heigl-Straße 820
2093 Klosterneuburg"
"Carlo Penz"|"Aurora-Hager-Weg 171
1730 Kapfenberg"
"Constantin Hörl"|"Marijana-Günther-Ring 556
2506 Ybbs an der Donau"
"Alma Mitteregger"|"Yvonne-Kreuzer-Ring 7/3
7771 Friedberg"
"Ferdinand Buchberger"|"Konstantin-Ladner-Ring 15
8558 Rohrbach in Oberösterreich"
"Henrik Fabian"|"Spieglstraße 224
5179 Eferding"
"Rosalie Heinz"|"Marta-Sattler-Gasse 844
4604 Ried im Innkreis"
"Rene Rauter"|"Carl-Kolm-Straße 398
7931 Gmünd"
"Herr Franz Zeller"|"Annabella-Neumeister-Weg 094
3546 Laakirchen"
"Alexia Schröder"|"Lorena-Gschwandtner-Gasse 07
3957 Wolfsberg"
"Christine Schuler"|"Tanja-Reicher-Gasse 080
9108 Oberpullendorf"
"Carlo Rettenbacher"|"Fankhauserstraße 108
1064 Bludenz"
"Dr. Elisa Pammer"|"Lotte-Gassner-Gasse 3/9
1256 Gerasdorf bei Wien"
"Carlo Kaspar"|"Kaiserweg 9/3
8870 Attnang-Puchheim"
"Dr. Cristiano Forstner"|"Hellweg 3/1
8926 Sankt Andrä im Lavanttal"
"Dipl.-Ing. Florian Göschl"|"Froschauerring 70
8035 Ried im Innkreis"
"Anna-Lena Urban"|"Hofstetterstr. 4/5
8736 Schwaz"
"Anabella Gasser"|"Tamara-Sorger-Weg 36
3338 Oberpullendorf"
"Oliver Kucera"|"Stöcklgasse 840
7430 Bleiburg"
"Tamara Simon"|"Leberweg 5
7864 Drosendorf-Zissersdorf 1"
"Philip Kirchmair"|"Braunring 660
7689 Pregarten"
"Carlotta Haslinger"|"Leitgebstraße 4/8
6740 Friesach"
"Marie-Louise Bichler"|"Grossgasse 20
4152 Litschau"
"Matteo Glatz"|"Nikolai-Beck-Weg 7/9
8893 Attnang-Puchheim"
"Dipl.-Ing. Timo Obermayr"|"Anna-Maria-Bittner-Ring 46
7383 Steyregg"
"Esther Hütter"|"Wagnerweg 8
5529 Köflach"
"Aurora Strobl"|"Marijana-Schöpf-Platz 8
1247 Baden"
"Lilian Schwarzl"|"Hofstettergasse 5
9747 Mistelbach an der Zaya"
"Elma Kummer"|"Pokornygasse 9
2330 Laa an der Thaya"
"Filip Hirschmann"|"Fischerstraße 176
7065 Wels"
"Luca Kuhn"|"Loidlring 790
7713 Rattenberg"
"Carolina Haberl-Engl"|"Stegerstraße 4
1803 Ybbs an der Donau"
"Laurin Berthold-Stockhammer"|"Schlöglplatz 8/9
5088 Ebenfurth"
"Natalie Holl"|"Wilfingerring 77
6936 Mank"
"Elina Kollmann"|"Adriana-Streicher-Gasse 43
9950 Oberndorf bei Salzburg"
"Andjelina Paier"|"Gabrielgasse 58
1449 Sankt Pölten"
"Univ.Prof. Fridolin Wurzinger"|"Wiednerplatz 202
5395 Klosterneuburg"
"Julian Stadlbauer"|"Stögerring 53
9994 Mistelbach an der Zaya"
"Irma Kölbl"|"Kremserplatz 8
8617 Marchegg"
"Univ.Prof. John Höglinger"|"Alena-Mühlbacher-Straße 90
6118 Schrattenthal"
"Josef Neumüller"|"Weissring 55
3588 Fehring"
"Carolina Höglinger"|"Felicitas-Gritsch-Ring 490
2039 Bad Vöslau"
"Isabelle Jank"|"Rauchplatz 4/8
8063 Ebreichsdorf"
"Theodor Mark"|"Kalina-Käfer-Weg 5/7
4532 Frauenkirchen"
"Nele Juen-Schmidl"|"Biedermannplatz 03
7194 Langenlois"
"Prof. Xavier Trinkl"|"Burgerstraße 060
1536 Leoben"
"Univ.Prof. Zoe Klement"|"Mairplatz 4/6
7903 Grein"
"Prof. Leontina Sonnleitner"|"Jungwirthplatz 6
1339 Herzogenburg"
"Dr. Johannes Doppler"|"Lampertweg 9
4736 Purbach am Neusiedler See"
"Lisa-Marie Steinböck"|"Stöcklstraße 331
4857 Grein"
"Prof. Sabine Schöberl"|"Barbara-Braun-Platz 9/1
3543 Wörgl"
"Carolina Marx"|"Gollnerstr. 483
2113 Voitsberg"
"Erina Zauner"|"Trimmelstr. 9
5445 Altheim"
"Ylvie Schrempf"|"Kalina-Eberl-Gasse 8
9599 Friedberg"
"Elona Bruckner"|"Rabitschplatz 2
3366 Perg"
"Sofia Trimmel"|"Michael-Steiner-Gasse 3
9869 Langenlois"
"Yvonne Mittermayr"|"Manuel-Felber-Ring 4/7
2622 Friesach"
"Nils Trummer"|"Romy-Mitter-Ring 082
8500 Hartberg"
"Leander Mader-Mittermayr"|"Jägerweg 59
7099 Neunkirchen"
"Mona Steinböck"|"Wallnerring 717
9334 Feldkirchen"
"Frau Ruth Blum"|"Stockstr. 67
1228 Hartberg"
"Carolina Pollak"|"Hannah-Rotter-Platz 840
1428 Rohrbach in Oberösterreich"
"Sandra Steinkellner"|"Filip-Wimmer-Platz 395
9934 Neusiedl am See"
"Mateo Mayr-Heger"|"Kraftplatz 2/1
3995 Raabs an der Thaya"
"Ing. Maria Forster"|"Martin-Stiegler-Platz 46
7152 Ybbs an der Donau"
"Timo Rauscher"|"Jovanovicring 453
2081 Kapfenberg"
"Leandra Jovanovic"|"Haidring 1/0
8786 Schwanenstadt"
"Marlene Lutz"|"Ringhoferring 9/2
9359 Spittal an der Drau"
"Mariam Pammer"|"Lechnerplatz 1/8
5166 Neumarkt am Wallersee"
"Niklas Lammer"|"Mona-Ertl-Weg 34
5482 Friedberg"
"Ing. Constanze Prager"|"Annika-Simon-Gasse 6
5244 Peuerbach"
"Caroline Brugger-Kloiber"|"Mayrring 3/9
4729 Hartberg"
"Nils Hermann"|"Feichterring 039
9650 Retz"
"Rene Fitz-Lerch"|"Estelle-Stückler-Straße 97
2741 Mautern an der Donau"
"Sven Häusler"|"Mario-Kloiber-Straße 2/0
5790 Spittal an der Drau"
"Melissa Luttenberger-Heissenberger"|"Eichhornring 96
8673 Lienz"
"Paulina Laimer-Seiwald"|"Franz-Pieber-Ring 968
8485 Groß-Enzersdorf"
"Kyra Sammer"|"Windischweg 0
6692 Sankt Andrä im Lavanttal"
"Elisabeth Mann"|"Obermayrstraße 84
9804 Groß-Siegharts"
"Martin Lutz-Grünberger"|"Nicolas-Strohmayer-Platz 9
5675 Wolfsberg"
"Thomas Hager"|"Emanuel-Stöger-Ring 6/8
4245 Güssing"
"Caroline Draxler"|"Ajna-Baier-Straße 754
6703 Voitsberg"
"Fiona Prem"|"Gabriela-Schuh-Ring 07
5634 Althofen"
"Erina Pollak-Schrenk"|"Yvonne-Frank-Straße 37
5601 Pregarten"
"Iris Köhler"|"Reitererring 68
4819 Wolkersdorf"
"Prof. Raffaela Riedl"|"Rene-Wurzinger-Straße 5/1
2351 Attnang-Puchheim"
"Richard Kaspar"|"Annabelle-Sonnleitner-Ring 2/7
3963 Sankt Johann im Pongau"
"Dennis Strasser-Wiesner"|"Constanze-Riedl-Straße 0/8
2199 Raabs an der Thaya"
"Magdalena Kopp"|"Eislstr. 6
7351 Groß-Enzersdorf"
"Ing. Nicholas Heim"|"Markplatz 0/4
1710 Heidenreichstein"
"Sahra Haid"|"Stefanie-Gritsch-Ring 689
1804 Knittelfeld"
"Caroline Gratzl-Geiger"|"Hufnaglgasse 5/5
5999 Grieskirchen"
"Dipl.-Ing. Alena Hagen"|"Hellerplatz 64
1312 Oberwälz"
"Dilara Sperl"|"Daniel-Hütter-Platz 4
5754 Attnang-Puchheim"
"Dr. Isabelle Strobl"|"Filip-Schinagl-Gasse 27
2939 Weiz"
"Herr Josef Hirschmann"|"Weißring 090
7185 Purkersdorf"
"Ruben Kral-Stummer"|"Eichbergerweg 67
7055 Gleisdorf"
"Nino Feichtenschlager"|"Timo-Leitgeb-Ring 95
3900 Schladming"
"Erik Paul"|"Ricardo-Schrittwieser-Straße 023
3853 Sankt Andrä im Lavanttal"
"Nico Sorger"|"Hödlplatz 19
6559 Oberpullendorf"
"Antonia Lenz"|"Eduard-Kargl-Weg 7/4
4499 Hainfeld"
"Caroline Hermann"|"Jeneweingasse 34
9973 Herzogenburg"
"Manuela Wilhelm"|"Julian-Köck-Gasse 5/2
7123 Bad Aussee"
"Alexandra Windisch"|"Jasmina-Kocher-Ring 2
1369 Haag"
"Sigrid Mair"|"Fischerplatz 3
8915 Kufstein"
"Christina Kohler"|"Kochgasse 0
3492 Trofaiach"
"Valentino Oberhofer"|"Carl-Felder-Platz 394
6721 Bleiburg"
"Philipp Ferstl"|"Wolfplatz 2/2
9518 Vöcklabruck"
"Barbara Müllner-Heim"|"Wurzingerstraße 1/7
3196 Rohrbach in Oberösterreich"
"Lily Kerschbaumer-Kaltenbrunner"|"Burgstallerweg 8
9275 Feldbach"
"Ing. Sabine Frank"|"Kollerweg 93
1705 Rattenberg"
"Caroline Konrad-Kahr"|"Wirthring 9
3073 Lilienfeld"
"Ruben Hollaus"|"Höflerring 32
5572 Rust"
"Lisa Grasser"|"Franz-Lackner-Platz 82
8681 Kufstein"
"Sebastian Plank"|"Ava-Sorger-Gasse 12
1576 Heidenreichstein"
"Mario Stöckl"|"Arda-Pock-Platz 63
7744 Scheibbs"
"Claudia Reif"|"Hofingerweg 41
4062 Klosterneuburg"
"Ava Metzler"|"Jana-Richter-Straße 41
8859 Drosendorf-Zissersdorf 1"
"Adriano Bacher-Pfleger"|"Domenica-Seidl-Straße 726
4596 Hainburg an der Donau"
"Sophie Rottensteiner"|"Mariella-Zehetner-Ring 1
8643 Sankt Pölten"
"Ing. Melina Herrmann"|"Deckerring 9/2
6100 Waidhofen an der Ybbs"
"Catharina Fröhlich"|"Nikolina-Fuhrmann-Platz 73
4765 Melk"
"Eric Schmidt-Himmelbauer"|"Chris-Stelzl-Weg 28
8986 Sankt Johann im Pongau"
"Andrea Rieger"|"Bucheggerplatz 06
8713 Eisenstadt"
"Dr. Maya Zöchling"|"Hutterstr. 6/2
9512 Krems an der Donau"
"Theodor Krug-Bäck"|"Nina-Berchtold-Weg 7/2
6023 Zell am See"
"Petra Schinnerl-Grundner"|"Stögerplatz 9
9471 Frohnleiten"
"Univ.Prof. Felicitas Berchtold"|"Erwin-Bogner-Gasse 2
3782 Attnang-Puchheim"
"Christoph Gutmann"|"Pieberplatz 547
9744 Groß-Gerungs"
"Emilia Meyer"|"John-Ecker-Straße 06
7635 Feldbach"
"Amelie Stefan"|"Ullmannplatz 9
2871 Bad Sankt Leonhard im Lavanttal"
"Cecilia Hirschmann"|"Chris-Fiedler-Ring 548
7536 Allentsteig"
"Mateo Pesendorfer"|"Finkstraße 927
2817 Murau"
"Alice Kremser"|"Sascha-Schiestl-Weg 554
6816 Litschau"
"Fernando Stöckl"|"Edlingerring 8
7061 Retz"
"Karla Rinner"|"Daniel-Dietrich-Gasse 34
1869 Radstadt"
"Louis Sorger"|"Nathalie-König-Gasse 57
6374 Zell am See"
"Adam Brandtner"|"Maria-Reinbacher-Ring 7/7
7887 Pulkau"
"Gabriel Köll"|"Scherzweg 273
4392 Gleisdorf"
"Raphael Waldner"|"Claire-Pölzl-Weg 690
7120 Waidhofen an der Thaya"
"Benedikt Winkler"|"Dana-Schönberger-Straße 842
2651 Sankt Johann im Pongau"
"Cecilia Hirschmann"|"Elisa-Seebacher-Straße 325
1319 Ried im Innkreis"
"Cecilia Seebacher"|"Stolzgasse 5/0
3986 Laakirchen"
"Erik Heller-Blum"|"Paul-Gollner-Weg 47
8166 Sankt Veit an der Glan"
"Christopher Klocker"|"Mina-Feichtenschlager-Platz 6
5138 Lienz"
"Lea Laimer"|"Domenica-Ertl-Ring 829
6564 Freistadt"
"Sigrid Schweighofer"|"Hirschmannplatz 32
4816 Allentsteig"
"Linda Jungwirth"|"Karla-Rausch-Straße 882
3634 Radenthein"
"Univ.Prof. Lean Heinz"|"Haidingerstraße 80
8510 Ternitz"
"Amelia Fiedler"|"Rossmanngasse 7
8957 Althofen"
"Anne Prantl"|"Hofingergasse 172
3170 Mautern an der Donau"
"Cecilia Lehner"|"Lora-Staudacher-Weg 19
6053 Grein"
"Adriano Linder"|"Kolbstraße 510
3755 Amstetten"
"Nisa Wachter"|"Rebecca-Schwaighofer-Platz 52
4796 Wörgl"
"Prof. Mathias Springer"|"Sara-Spreitzer-Straße 8/8
8418 Lilienfeld"
"Dr. Raphael Schiller"|"Heiglgasse 189
1029 Lienz"
"Florin Burgstaller"|"Franz-Putz-Ring 718
8049 Gmünd"
"Robin Windisch-Singer"|"Dengggasse 3/5
6319 Gmünd in Kärnten"
"Dr. Viola Steinbauer"|"Mert-Groß-Weg 2/0
1197 Schladming"
"Dipl.-Ing. Sonja Perner"|"Kaingasse 428
1136 Fürstenfeld"
"Frau Hannah Hacker"|"Philip-Eder-Gasse 8/3
2639 Pregarten"
"Cecilia Prohaska"|"Schubertgasse 11
1128 Traismauer"
"Julia Heiss"|"Jungwirthstr. 9
1951 Innsbruck"
"Bastian Walch"|"Christian-Fleck-Gasse 072
6284 Tulln an der Donau"
"Therese Wechselberger"|"Oskar-Lichtenegger-Straße 9
2621 Bad Leonfelden"
"Mario Salzmann-Himmelbauer"|"Damian-Fichtinger-Weg 59
9970 Waidhofen an der Ybbs"
"Johann Eisl-Krainz"|"Franziska-Bischof-Gasse 37
1928 Sankt Pölten"
"Lilly Pfeiffer"|"Sara-Hartl-Weg 1/1
1564 Feldkirch"
"Aaron Mittermayr"|"Hannah-Schweiger-Ring 185
5419 Groß-Gerungs"
"Phillip Lassnig-Köll"|"Timon-Beer-Platz 6
1084 Waidhofen an der Ybbs"
"Nikita Mader-Hinteregger"|"Martin-Hirschmann-Ring 97
4791 Traun"
"Charlotte Eibl"|"Juliana-Pauer-Ring 9
6566 Saalfelden am Steinernen Meer"
"Nicolas Zöchling-Krainz"|"Lydia-Huemer-Ring 5/2
7406 Bärnbach"
"Stephan Buchegger"|"Sammerring 09
8881 Steyregg"
"Lucia Deutschmann"|"Tiffany-Ringhofer-Platz 7/3
2269 Sankt Veit an der Glan"
"Roman Kössler"|"Rieserstr. 9/7
5756 Grieskirchen"
"Charlotte Dünser"|"Handlergasse 8
8564 Pulkau"
"Aaron Dorfer-Reinbacher"|"Hollerstr. 0/7
5563 Sankt Pölten"
"Elvira Knoll"|"Schweighofergasse 32
5234 Mattersburg"
"Jasper Neuhauser"|"Michelle-Blum-Straße 9
8465 Sankt Pölten"
"Igor Hirschmann"|"Neuwirthstraße 1/7
1909 Steyr"
"Charlotte Neureiter"|"Huttererring 399
4891 Gmunden"
"Matheo Bachinger"|"Matthias-Strauss-Platz 68
5346 Rohrbach in Oberösterreich"
"Lilia Dengg"|"Deckerweg 3
5310 Landeck"
"Friedrich Mayr"|"Geigergasse 20
7899 Hall in Tirol"
"Ruben Meusburger"|"Höferstr. 533
1456 Bad Radkersburg"
"Maida Becker"|"Stoiberring 89
8096 Bad Leonfelden"
"Sophie Bogner-Riener"|"Sarah-Berchtold-Platz 28
1100 Villach"
"Timo Neumayer"|"Vivian-Spiegl-Straße 9/6
7719 Fischamend"
"Nikolaus Wild"|"Radlweg 006
4150 Berndorf"
"Bastian Gartner"|"Nikolina-Urban-Weg 4
4517 Judenburg"
"Charlotte Strobl"|"Arthur-Dallinger-Gasse 4
4944 Neumarkt am Wallersee"
"Joshua Doppler-Gartner"|"Maya-Gattringer-Straße 28
2459 Pinkafeld"
"Viktor Reindl"|"Rohrerring 6/4
8526 Litschau"
"Frau Felicitas Horn"|"Haidgasse 89
8320 Tulln an der Donau"
"Alena Hofer"|"Huttererplatz 765
6730 Bleiburg"
"Alexia Frick"|"Lionel-Guggenberger-Weg 9/8
2711 Traun"
"Johannes Hahn-Hufnagl"|"Reichstr. 8
1790 Rohrbach in Oberösterreich"
"Lilli Zeiner"|"Jasper-Kreuzer-Ring 600
3939 Hardegg"
"Larissa Hammerl"|"Traxlerweg 4
7875 Bludenz"
"Selena Wieland"|"Grillstraße 2/1
7778 Friedberg"
