"अंजली कुलकर्णी"	"861 चव्हाण
मिरज 990346" 
"श्री मीनल गवळी"	"22/713 सावंत
नवी मुंबई-930415"
"उमेश मानेजी"	"6 शिंदे
सातारा-157492"
"अनिल देशपांडे"	"4432 अरुण शिंदे
रत्नागिरी 245844"
"आशा गायकवाड"	"5 देशमुख
जळगाव 083078"
"श्री कीर्ती मोरे"	"9 सुनील भोसले
मुंबई-073636"
"श्री कीर्ती मोरे"	"86 शिंदे
नागपूर 651821"
"कुमारी नेहा पाटील"	"3 ओक
नवी मुंबई 208491"
"स्मिता चौगुलेजी"	"35/830 ज्योती गवळी
नाशिक-208933"
"कुमारी विवेक फडके"	"73 चव्हाण
नागपूर-074121"
"पूजा कुलकर्णीजी"	"42 पंकज गायकवाड
कोल्हापूर 031081"
"श्री स्वाती शिरसाट"	"41 प्रशांत महाजन
अकोला-335501"
"उमेश मोरेजी"	"345 जाधव
नवी मुंबई 637666"
"श्रीमती धनंजय देशपांडे"	"33/71 कल्पना चौगुले
अकोला 959096"
"चेतन कोल्हे"	"06 कदम
नवी मुंबई 573152"
"अरुण सावंतजी"	"02 देशपांडे
धुळे 058652"
"श्रीमती हर्षद गायकवाड"	"805 मेघा कुलकर्णी
हिंगोली 299604"
"अशोक शिंदे"	"75 चव्हाण
यवतमाळ-877443"
"कुमारी प्रकाश अहेर"	"966 अंजली चौगुले
लातूर 270722"
"श्रीमती माधुरी जगताप"	"6991 जितेंद्र मोरे
धुळे 680073"
"मकरंद गायकवाड"	"19/2581 कदम
पिंपरी-चिंचवड 891639"
"कुमारी हर्षद देशपांडे"	"27 शिल्पा मोरे
अहमदनगर-615355"
"उमेश राऊत"	"51/50 कदम
सातारा 176392"
"निखिल ठाकूरजी"	"62/7517 मोहन अहेर
अकोला-564395"
"विनायक मानेजी"	"1 कोल्हे
बीड 037837"
"श्रीमती प्रज्ञा मोरे"	"2/4 आकांक्षा कांबळे
ठाणे 567777"
"श्रीमती अमोल ओक"	"57 आगरकर
औरंगाबाद 003050"
"श्रीमती उमेश जाधव"	"17/42 भूषण शिरसाट
सांगली 795585"
"कुमारी नेहा साळुंखे"	"6/9 स्वाती जगताप
मिरज 644526"
"श्रीमती मानसी शिंदे"	"5911 चव्हाण
मिरज 785490"
"गौरव फडके"	"74/04 मेघा जगताप
जळगाव 806883"
"कल्पना सावंतजी"	"8/1 रोहित अहेर
सोलापूर-945195"
"उमेश शिरसाट"	"04 तन्वी साने
पुणे-977212"
"सुरेश चव्हाण"	"65/36 पूजा कोल्हे
चंद्रपूर 992409"
"कुमारी निलेश चव्हाण"	"5/4 लता ओक
वसई 176975"
"अनिरुद्ध जाधवजी"	"27/3595 सचिन साळुंखे
वसई 422841"
"ईश्वर गायकवाडजी"	"833 धनंजय ओक
यवतमाळ 890217"
"अभिजीत जगतापजी"	"2569 कांबळे
वसई 267494"
"श्री संदीप साळुंखे"	"0/3 सावंत
कोल्हापूर-952858"
"कुमारी दीपक साने"	"8 ओक
हिंगोली 564313"
"अनिरुद्ध गायकवाड"	"8 ठाकूर
जळगाव-325544"
"पंकज फडके"	"06/5334 अंजली मोरे
उस्मानाबाद-810050"
"उमेश साळुंखे"	"27/3627 विकास राऊत
नाशिक 521846"
"अनिरुद्ध चव्हाण"	"6 फडके
पुणे 018369"
"चेतन चव्हाणजी"	"01/81 पवार
उस्मानाबाद 441131"
"अमोल शिरसाटजी"	"9/0 पूजा शिरसाट
ठाणे 326590"
"ईश्वर फडकेजी"	"65 प्रवीण साने
बीड-808082"
"श्रीमती श्रुती चौगुले"	"947 गौरव सावंत
पिंपरी-चिंचवड 975849"
"श्री जितेंद्र ओक"	"99/266 मानसी जाधव
अहमदनगर 614645"
"कुमारी आशा देशपांडे"	"0582 ओक
नांदेड 608456"
"वैशाली कोल्हे"	"556 मोरे
नाशिक-890481"
"कुमारी राहुल गवळी"	"2/5 जाधव
उस्मानाबाद-408456"
"उमेश सावंत"	"7 सावंत
वसई-441981"
"माधव कुलकर्णीजी"	"2 मोहन साळुंखे
नाशिक 535656"
"कुमारी रोहिणी जोशी"	"41/22 स्वाती सावंत
नागपूर-440260"
"स्वाती ठाकूरजी"	"5 कांबळे
लातूर-801612"
"मकरंद जोशीजी"	"189 राहुल कुलकर्णी
अमरावती 918018"
"कुमारी गौरी माने"	"1/3 मानसी शिरसाट
मिरज 201527"
"प्रज्ञा साळुंखेजी"	"04/36 आदित्य साळुंखे
अकोला-325398"
"गणेश चव्हाणजी"	"3/8 वैशाली चौगुले
उस्मानाबाद-405482"
"लता जगताप"	"7522 पाटील
बीड 946519"
"पंकज अहेरजी"	"9010 शिरसाट
अकोला-760826"
"कल्पना अहेरजी"	"038 गायकवाड
अमरावती-134678"
