"Aaron Ceulemans","Lisasteeg 10
6043 Tertre" 
"Hanne Blommaert Daems","Maaikebaan 029
8051 Herent"
"Deborah Geerts","Lucsingel 4
2994 Berchem"
"Emma Verdonck","Cynthiasteeg 19
8261
Lissewege"
"Stijn Segers","Noëllahof 3
5552 Kain"
"Lydia Vandendriessche","Michaelring 82
5499 Bevekom"
"Bernard Verlinden","Hermanbaan 065
1406
Humbeek"
"David Kaya","Mariahof 90
7712
Pottes"
"Jurgen Smet","Denisebaan 417
8378 Limbourg"
"André Maes","Eduardring 8
2357
Tielen"
"Dirk Yilmaz","Michaëldreef 7
8055
Forêt"
"Brigitte Callens","Lievenbaan 1
2918
Brussegem"
"Maria De Sutter","Janbaan 85
4045 Croix-lez-Rouveroy"
"Eric Ahmed","Dirkbaan 856
7665 Vresse-sur-Semois"
"Kimberly De Decker","Charlottebaan 70
4443 Vilvoorde"
"Simon Belmans","Vincentpad 38
9724
Bleid"
"Jan Laenen","Benpad 388
9492 Estinnes"
"Stefanie Cools","Achiellaan 56
8441
Heuvelland"
"Anita De Groof","Richardsingel 49
9894
Richelle"
"Tineke Vinck De Backer","Hannelaan 14
9103
Bizet"
"Tim Bauwens","Joliensteeg 79
8434 Meeswijk"
"Jesse De Backer","Margotsingel 81
4632 Bever"
"Bianca Geens","Kellyring 054
9452 Wortel"
"Eric Claes","Eviweg 65
4309
Mormont"
"Matteo Casier","Richardhof 6
9115 Saive"
"Xavier David","Larasingel 6
9579
Marche-les-Dames"
"Merel Willems","Bartlaan 654
3622
Werken"
"Anja Bruneel","Romainhof 07
4515
Moxhe"
"Elena Temmerman Van den Broeck","Christianering 7
1439
Dranouter"
"Anton Moerman Verbeeck","Lindalaan 436
5290 Rochehaut"
"Laurent Bruyninckx","Monicasingel 3
8247
Somme-Leuze"
"Geert De Sutter","Isabellepad 09
6756 Liedekerke"
"Rebecca Degroote Vanneste","Dieterlei 842
5280
Hechtel-Eksel"
"Eric Denys","Arthurpad 38
6080 Mévergnies-lez-Lens"
"Kim De Clercq","Marclaan 6
5506 Hastière"
"Christian De Clercq","Oliviersteeg 907
2872
Chastrès"
"Manon Van Daele Coppens","Christianlei 85
1335
Dilsen-Stokkem"
"Rita Meersman","Lindeboulevard 90
3862
Bourseigne-Neuve"
"Anne Claes","Marclei 5
6101 Nobressart"
"Pascale Wauters","Thomasstraat 0
1163
Kain"
"Chris Van Impe","Moniqueboulevard 193
9021
Le Mesniel"
"Wendy De Pauw","Alainweg 42
1175
Quartes"
"Samuel Moreels","Sophiering 60
2012
Hannut"
"Eric Eeckhout","Roelandsingel 135
1287
Orbais"
"Dries Raeymaekers","Lieselotboulevard 87
9063 Meulebeke"
"Eddy Verhoeven","Alexring 983
2039 Aaigem"
"Robert Mertens","Margarethapad 530
8111
Saint-Sauveur"
"André Van Hecke","Geertweg 31
6898 Anvaing"
"Maria Lambrechts","Pierreboulevard 8
2808
Wortegem-Petegem"
"Lieselot Wouters","Ahmetweg 006
2009 Bonheiden"
"Noor Jonckheere","Daansteeg 59
8036
Opitter"
"Hendrik Cools","Björnring 24
6469
Saint-Gérard"
"Norbert Lievens","Victordreef 302
8914 Borchtlombeek"
"Eric Nijs Hermans","Tinekepad 86
8241
Dentergem"
"Jeannine Maertens","Ilsering 1
2538 Bouge"
"Chantal Poppe","Thierrylei 923
9830
Merelbeke"
"Kristel Roels","Georgebaan 0
2753
Ayeneux"
"Liesbet Baetens","Josephring 980
4726
Marchovelette"
"Lydia Peeters","Lucsingel 9
5154
Meix-le-Tige"
"Wim Vandaele","Krisring 28
8348
Porcheresse"
"Francis Vandenbroucke Declerck","Ahmadweg 4
9625
Weert"
"Roy Engels","Tomsteeg 959
2913 Sint-Truiden"
"Patrick Vermeulen","Elisabethlaan 78
7937 Grammene"
"Eric Van Daele","Laurapad 751
8728 Baisy-Thy"
"Maria De Ridder","Karenpad 897
1947 Desselgem"
"Dirk D'hondt","Danielpad 512
3363
Noduwez"
"Wesley Huysmans","Ingridlei 9
4917
Lacuisine"
"Carlo Coppens","Erikaboulevard 220
2629
Merbes-Sainte-Marie"
"An Lambrecht","Johandreef 69
6557 Parike"
"Christine Vaes Maes","Yannickstraat 1
5546 Jauchelette"
"Laurent Wouters","Samsteeg 455
8730
Dottenijs"
"Jacques Van Loon","Mariaring 396
2259 Virelles"
"Sebastian Verbeke","Katelijnepad 028
4179 Darion"
"Eric Verstraete","Marcelsingel 27
3033
Cordes"
"Anja Pieters","Marthasingel 6
6435 Rijkhoven"
"Christel Verbiest","Romainboulevard 8
5019 Guirsch"
"Maria Huyghe","Emielsteeg 4
8416
Chantemelle"
"Catherine Mertens","Aliceboulevard 26
7159 Stambruges"
"Rune Hoste","Timdreef 4
5664
Flavion"
"Anne Van den Bossche Beyens","Ayoublei 0
4593 Belgrade"
"Peter Vercammen","Xanderpad 07
4581 Beveren-aan-den-Ijzer"
"Erik Van Lierde","Dannyweg 44
7633 Nieuwenhove"
"Miel De Meester","Kurtsingel 5
1119 Horebeke"
"Eric Willems","Louislei 5
5059 Henis"
"Yves Verboven","Kathleenstraat 3
2154
Heverlee"
"Sarah Depuydt","Simonneweg 55
8575 Grote-Spouwen"
"Marc Mertens","Josephinedreef 144
8420
Bonnert"
"Cindy Hermans","Jenniferring 02
1584 Termes"
"Natalia Goossens","Lucienneweg 13
1498 Bevercé"
"Sabine De Cock","Carolineboulevard 2
2800
Baisy-Thy"
"Rita Smets","Marijkepad 7
8884 Harzé"
"Johan Beeckman Theunis","Hildeboulevard 6
8207
Trivières"
"Luc Naessens","Alfonslaan 22
7049
Fayt-le-Franc"
"Erik Van Genechten","Martineweg 7
3808
Haren-Borgloon"
"Sam Cuyvers","Annelei 46
8147
Kapelle-op-den-Bos"
"Laura Vandekerckhove","Miekeweg 756
5699
Forchies-la-Marche"
"Stephanie Vanbrabant Van den Bossche","Barbarasteeg 1
6296
Moorsele"
"Tobias Rutten","Jozefbaan 612
3747 Walem"
"Mohamed Devolder","Paullaan 760
3839
Grotenberge"
"Emiel Vercruysse Govaerts","Milanboulevard 4
7755
Baasrode"
"Lynn Dupont","Felixbaan 1
8645 Lamontzée"
"Simonne Cools","Françoisdreef 757
1853 Tollembeek"
"Rune Verheyden","Paulbaan 0
6178 Assebroek"
"Erna Faes","Jelleweg 0
6638 Wiers"
"Cindy Simoens Goethals","Brianlaan 441
7305 Attre"
"Ines Van Loon","Jeandreef 935
2473 Dworp"
"Nathalie Maes","Lucsingel 09
3387
Ingelmunster"
"Ann De Bock","Lydiastraat 51
1097
Holsbeek"
"Ben Janssens","Georgessingel 7
6863
Fronville"
"Sabrina Maes","Gustaafstraat 76
4467 Obigies"
"Stefanie Baeten","Agnessingel 14
9968 Mortier"
"Alain Van Laere","Kimweg 81
8158
Mouzaive"
"Jonas Carlier","Sanderweg 9
4101
Steenokkerzeel"
"Erna Gielen","Stefanlaan 40
7958 Hemelveerdegem"
"Kobe Mertens","Mohammadsteeg 0
7753 Jollain-Merlin"
"Marc Geeraerts","Oscarlaan 871
9967 Chantemelle"
"Karin Pieters","Ingridsingel 977
2780
Wibrin"
"Jolien Willaert","Martinelaan 731
6705
Lummen"
"Henriette Vereecken","Dannyhof 263
2202
Baudour"
"Dries Wauters","Martinestraat 48
3043
Montroeul-au-Bois"
"Emily Smolders","Felixhof 295
5191 Tamines"
"Hilde Vervaet","Renésteeg 5
4845 Kozen"
"Els Bollen","Lottebaan 98
7072
Baugnies"
"Erwin Boone","Joëlleweg 2
7765 Beervelde"
"Patrick Heyvaert","Norbertdreef 6
6053 Bois-de-Villers"
"Peter Lammens","Mathiasdreef 2
8447 Moresnet"
"Philippe Driesen","Christianalei 50
9204 Kumtich"
"Frans Bruneel","Mohamedring 6
9247 Templeuve"
"Brent De Boeck","Miekelei 993
3312
Kwaremont"
"Katia Cox","Annaboulevard 63
7789 Winksele"
"Christiane Deckers","Christofsingel 924
2417 Piéton"
"Sandra Thys","Françoissteeg 439
8573 Balâtre"
"Jimmy Ramaekers","Jellepad 86
5300 Melsen"
"Erwin Van Goethem","Driesboulevard 342
8467
Koekelberg"
"Lynn Cuyvers","Arnaudweg 5
8846 Stave"
"Eva Bouckaert","Mariering 067
7790 Kampenhout"
"Stan Vanhee","Emmabaan 7
6317
Estinnes"
"Emiel De Vos","Catherinehof 3
5586
Bellevaux"
"Geert Smits","Francishof 842
3523 Westmeerbeek"
"Wim Peeters","Louisboulevard 6
8838 Gottem"
"Kevin Van Raemdonck","Jordyhof 2
3514 Bierwart"
"Thomas Van Belle","Yasminasteeg 312
1357
Louveigné"
"Maria Vissers","Janbaan 465
7619 Ittre"
"Estelle Huybrechts","Juliasteeg 3
5804
Boignée"
"Godelieve Van Laer","Didierweg 251
4063 Jandrain-Jandrenouille"
"Amber Peters","Laurasteeg 681
2125
Moorsele"
"Geert Adriaensen","Kimbaan 87
2982
Gingelom"
"Siebe Van Assche","Dirkhof 6
3081 Isières"
"Patrick Ahmed","Anaslei 21
3710 Vance"
"Juan De Graeve","Mariapad 2
5701 Neupré"
"Johannes Peeters","Chantallaan 7
1327
Fize-le-Marsal"
"Jimmy Van den Eynde","Mariepad 67
5048 Thines"
"Edmond Pauwels","Anitaboulevard 2
5697
Hodister"
"Estelle Van Dooren","Melaniehof 361
7618
Chaineux"
"Steven De Meyer","Zitaring 5
5363
Hanret"
"Paul Mees","Florisstraat 1
9081 Gistel"
"Wout Smet Degryse","Dannystraat 84
8719 Sprimont"
"Mats Mertens","Anjastraat 36
7123 Noorderwijk"
"Mieke Schepens Aerts","Zoëlei 588
5919
Longchamps"
"Wout Vermeylen","Jeanboulevard 272
9174
Rienne"
"Luc Kenis","Carinebaan 070
7194 Malèves-Sainte-Marie-Wastines"
"Joke Wuyts","Nicolelei 7
7503 Schönberg"
"Maria Van den Bossche","Jeroenhof 5
7507
Lanaken"
"Estelle Wynants","Bennysingel 258
5601
Slins"
"Lode Marien","Norabaan 0
1958 Franchimont"
"Marijke Baert","Lottelei 608
4264
Nothomb"
"Marie-Rose Hoste","Riadreef 897
9089 Boirs"
"Nancy Verhaegen","Luclei 0
1810
Anseremme"
"Charlotte De Backer","Joachimlei 899
8083
Blandain"
"Roger Van Damme","Antoonbaan 88
6957 Wingene"
"Thibault Van Belle","Carlostraat 18
9320
Elewijt"
"Véronique Declercq","Elisabethstraat 09
9969
Ravels"
"Pieter Hermans Mertens","Thibaultlei 12
5512 Marcinelle"
"Esther De Cock Swinnen","Fatmalei 6
9475 Lummen"
"Dirk Claes Smeets","Renéering 10
7147
Heppignies"
"Nele Beckers","Bramweg 60
2869
Ciney"
"Pauline Bosmans","Lynnsteeg 58
3383
Zwijndrecht"
"Rachid Stevens","Katrienlei 64
5536 Abolens"
"Guido Moens","Jordyring 66
6916
Puurs"
"Michèle Van den Bosch","Thomaslei 400
9629 Tintange"
"Micheline Verbeke","Karelring 313
8719 Fourbechies"
"Mario Ramaekers","Wimsingel 932
7576
Overhespen"
"Dirk Bervoets","Tessapad 74
9927
Appels"
"Eva Bosmans","Elisestraat 7
6993
Franchimont"
"Hugo De Clerck","Geertboulevard 716
8077
Montignies-Saint-Christophe"
"Monique Vervoort","Matsstraat 1
3215
Kemexhe"
"Robert Maes","Patriciaboulevard 1
7880 Ethe"
"Anke Bollen","Nathalielaan 360
6359
Bienne-lez-Happart"
"Sabine Tack","Noapad 246
2232
Achet"
"Laurent Aerts","Franciscusdreef 7
8552
Blaregnies"
"Steven Aerts","Koenlei 9
7977 Wavreille"
"Sofie Singh Moons","Anne-Mariestraat 550
3371
Messelbroek"
"Olivier Leemans","Benjaminpad 79
9415
Henis"
"Eva Engels","Karinesingel 6
9817 Lille"
"Wannes Goris","Nicostraat 73
2355 Zoutleeuw"
"Vanessa De Groote","Jokering 42
4563
Corswarem"
"Josephus Dupont","Arthurpad 692
6592
Lissewege"
"Laurent Maes","Ingering 290
8520
Lettelingen"
"Siebe Maris","Andyboulevard 63
2377 Sint-Baafs-Vijve"
"Roger Van den Broeck","Davystraat 1
7214 Jumet"
"Lotte Timmermans","Samhof 8
1851
Westrozebeke"
"Rita Hoste","Helenadreef 8
5482
Walcourt"
"Marie-Louise Pieters","Carolinedreef 56
4938
Thy-le-Bauduin"
"Eva Nuyts","Sofiestraat 0
1265
Morlanwelz-Mariemont"
"Tom Van den Bosch","Ludodreef 74
9571 Varendonk"
"Joseph Van Genechten","Inelaan 266
2840 Bourseigne-Neuve"
"Christel Janssens","Patricksingel 18
5441
Rocourt"
"Mohammad Maes","Marclaan 835
8975
Jodoigne"
"Thierry Declerck","Juliadreef 9
2289 Steendorp"
"Rita Jacobs","Willystraat 57
3750
Herten"
"Paul Nuyts","Christapad 6
5480 Groot-Loon"
"Lien Callens","Judithstraat 4
4544
Hampteau"
"Arno De Wulf De Groote","Ivosingel 12
4398 Sint-Huibrechts-Lille"
"Eva Poppe","Annelieslei 5
5972 Rulles"
"Kristien Huybrechts","Andrésingel 7
7087
Thommen"
"Ali Eeckhout","Jeroenboulevard 795
6867 Habay-la-Vieille"
"Julie De Pauw","Michielweg 276
1603 Rebaix"
"Aaron Christiaens","Dirksteeg 7
4425
Somzée"
"Ine Martens","Gilbertdreef 447
2278 Hermeton-sur-Meuse"
"Helga De Backer De Laet","Mohamedlaan 52
7681 Meeuwen-Gruitrode"
"Dirk De Cock","Alicering 6
6603 Serinchamps"
"Lydia Van Hove","Marleenhof 5
7136 Koolkerke"
"Maarten Smets","Geertpad 75
3536 Nevele"
"Eva Van Dyck","Manuelboulevard 86
9599 Oplinter"
"Léon Boon","Kurtsingel 32
6572 Steendorp"
"Björn Engels David","Norberthof 461
9035
Loenhout"
"Katleen Houben","Gerdalei 585
8563
Auby-sur-Semois"
"Vince Everaert","Drieslei 0
2250 Kuringen"
"Gilberte Everaert Mestdagh","Jacobweg 7
7700 Kozen"
"Martina Pieters","Lukassteeg 5
7228 Sint-Margriete"
"Jean Kenis","Elspad 57
2971
Wangenies"
"Hannelore De Roeck","Patriciaweg 4
8374
Bierbeek"
"Lodewijk Daniels","Brigittehof 929
6639 Bon-Secours"
"Eva Vandendriessche","Bartsteeg 701
3145 Sart-Eustache"
"Dirk Vansteenkiste","Heidisteeg 4
8365
Puurs"
"Veerle Van Loock","Florelaan 2
8376
Serskamp"
"Germaine Yildirim","Godelievedreef 592
1956
Tielrode"
"André Van den Broeck","Chloésingel 648
5213
Herfelingen"
"Marc Janssens","Tomstraat 022
4759
Bure"
"Luc Van Acker","Tomsteeg 4
8868 Mechelen-Bovelingen"
"Hans Govaerts","Natascharing 2
5111
Hanzinelle"
"Ann Broeckx","Ritasteeg 17
8072 Cheratte"
"Frans Casier","Gabriellelei 2
7469 Veurne"
"Evelien De Wolf","Matteodreef 75
5779 Péronnes-lez-Binche"
"Marc Van Gorp","Axellesteeg 80
5086
Bevercé"
"Eric De Smedt","Ginosingel 4
9644 Harveng"
"Stan Van de Voorde","Larasteeg 0
4677
Hechtel"
"Freddy Roels","Norahof 3
9323 Eernegem"
"Marie-Thérèse Liekens Rogiers","Cindylaan 4
8961
Sint-Martens-Latem"
"Dorine Bracke","Luchof 853
5981
Presles"
"Magdalena Lambrecht","Anjasingel 06
2726
Bertem"
"Guido Lambrechts","Cédricboulevard 840
6869 Spontin"
"Simonne Callens","Maartenbaan 81
9851 Queue-du-Bois"
"Evelien Vermeire Deceuninck","Sarahsingel 024
6501
Gonrieux"
"Krista Blondeel","Marleensingel 96
4614 Moerzeke"
"Margaux Ali","Hansweg 581
2914
Ogy"
"Reinhilde Stroobants","Jansingel 2
7192
Heule"
"Jan Van Hecke Janssens","Koenhof 9
1946
Sibret"
"Joseph Hendrickx","Danielboulevard 9
4487 Romerée"
"Monique Maes","Arlettehof 1
4991
Baarle-Hertog"
"Roger De Vos","Kiararing 6
2005 Gavere"
"Joseph Kerkhofs","Tuursingel 9
5458
Oelegem"
"Frédéric Hendrickx Op de Beeck","Janhof 76
7472 Marchovelette"
"Evelien Wynants","Timsingel 180
7934
Merksem"
"Jean Verhelst","Ilselei 566
9239 Aiseau"
"Christiana Swinnen","Tijssingel 400
2242 Meerbeke"
"Wendy Stevens","Jellebaan 753
1407
Le Mesniel"
"Matthias Moerman","Connylaan 516
5151
Laakdal"
"Tim Vanhoutte","Rogerstraat 160
9608
Hulshout"
"Greta De Smet","Dirkdreef 942
7917 Thimister"
"Adrian De Schutter","Sarahring 801
9968
Arendonk"
"Robbe Blomme","Adamlei 764
9686
Orcq"
"Frederik Van Hove","Geoffreylei 864
1386 Villers-la-Loue"
"Eveline Peeters","Valériesingel 2
5095 Alle"
"Oliver Geens","Ninalei 36
7800 Mesnil-Eglise"
"Bart Claes","Christinepad 873
9640
Bouffioulx"
"Simone Heylen","Mariaboulevard 98
6759 Wange"
"Brigitte Gielen","Krisstraat 32
6077
Batsheers"
"Mariette Matthijs","Richardlaan 34
8751 Gelrode"
"Johan Vandenberghe Cornelis","Pieter-Janlei 24
6355 Clermont-sous-Huy"
"Jean Demeulenaere","Irisdreef 892
7874
Strombeek-Bever"
"Emma Maes","Erikweg 8
6897
Hives"
"Ilse Vermeulen","Ronnydreef 39
4145 Hauset"
"Eveline Van Gorp","Annyboulevard 94
8241 Anvaing"
"Robert Callebaut Michiels","Martinelaan 980
2664 Villers-Notre-Dame"
"Tine Segers","Huguettepad 19
2292
Silenrieux"
"Jan Callebaut","Youssefring 0
4900
Frameries"
"Sandra Willems","Hanshof 9
2209 Villers-Notre-Dame"
"Michel Kenis","Thijslaan 60
3744
Boussoit"
"Marie-Thérèse Moerman","Rafdreef 86
2289
Vitrival"
"Ronny Claes","Frankboulevard 676
7408 Oosterzele"
"Martine Claus","Jeanninedreef 274
4584
Donceel"
"Catherine Rutten","Fernandstraat 672
8717
Nil-Saint-Vincent-Saint-Martin"
"Evelyn Adriaensen","Christianeboulevard 07
4428
Marche-lez-Ecaussinnes"
"Linda Neven","Jean-Pierrebaan 487
4302 Kruishoutem"
"Xavier Goossens","Loresteeg 00
3640 Gerdingen"
"Dylan Van Hoof","Victorweg 5
3055
Gougnies"
"Thomas Vandaele","Nadiabaan 0
7024 Grivegnée"
"Suzy Cools","Jasperbaan 44
1896
Watermaal-Bosvoorde"
"Annita Claus Pauwels","Marthepad 691
7230 Dampicourt"
"Sara De Coster","Kamieldreef 94
8406 Meeffe"
"Carlos Lammens","Marcusboulevard 81
9094
Forrières"
"René Beeckman","Marcodreef 219
6418
Hermalle-sous-Huy"
"Evelyn Goris","Franbaan 8
1675
Abée"
"Raymond Maes","Ingepad 45
8948
Knokke"
"Viviane Rottiers","Jurgenstraat 0
6979
Basècles"
"Jozef Vanderlinden","Claudinesingel 9
7558
Fize-Fontaine"
"Etienne Verstraete","Charlottepad 776
9586
Poesele"
"Kevin Verheyen","Ronyboulevard 059
4125
Veurne"
"Godelieva Dierckx","Brigittebaan 08
4194 Biesme-sous-Thuin"
"Alexandre Timmerman","Barbararing 1
7111
Lasne-Chapelle-Saint-Lambert"
"Linda Pollet","Rooslei 510
6669 Waasten"
"Martha Andries","Raymondhof 7
4084 Villers-Sainte-Gertrude"
"Evi Verdonck","Ericstraat 744
1310 Beuzet"
"Lara Pauwels","Lodewijksteeg 78
2226
Turnhout"
"Gabriel Andries","Carmenstraat 49
4504 Zwevezele"
"Rudy De Rycke","Melissapad 75
3054 Redu"
"Joris Hermans","Lisastraat 5
7079 Beveren-Roeselare"
"Rosette Verbruggen","Joeristraat 41
2743
Louette-Saint-Denis"
"Pascale De Greef","Dimitrihof 96
8649
Zarren"
"Jan Van Parys","Xavierring 98
9422 Sint-Agatha-Berchem"
"Robin Vermeulen","Emilyring 4
2488
Hooglede"
"Diana Bosmans","Christianasteeg 493
1480
Mesnil-Saint-Blaise"
"Evi Verhoeven","Pauldreef 475
8178 Dréhance"
"Sylvie Debruyne","Corneliahof 9
7307
Amberloup"
"Lotte De Wit","Mohammadboulevard 0
6646 Lamorteau"
"Pierre Vervaet","Suzanneweg 472
5117 Les Waleffes"
"Patrick Lemmens","Dirkboulevard 104
8076 Hody"
"Juliette Wouters","Martinesingel 300
6244
Laforêt"
"Roland Vandendriessche","Jorenhof 82
7814 Overpelt"
"Maria Janssens","Anneboulevard 8
9819
Hélécine"
"Alicia Moreels","Elsbaan 06
4250
Vorselaar"
"Emiel Michiels","Irmadreef 20
1769 Fauroeulx"
"Evy Peeters","Larasingel 0
2928
Renlies"
"Fabian Janssen Baert","Livring 660
6882
Borchtlombeek"
"Wout Coppens","Jansingel 790
6113 Bihain"
"Jessica Vanhove","Luciedreef 2
9719 Bossière"
"Ismail Heylen","Célinesingel 43
2710 Boutersem"
"Johan Meeus","Eddysteeg 3
2289 Matagne-la-Grande"
"Lode Govaerts","Josephinaboulevard 21
9423
l'Escaillère"
"Petrus De Paepe","Gerardaring 32
5400 Heestert"
"Luc Decock","Dorienstraat 8
2954
Morville"
"Lucienne Claes","Suzanneweg 443
7940 Steenkerque"
"Fabian Van Poucke","Rogerhof 1
2672 Duras"
"Josiane Roose","Christelsingel 0
2937 Velaines"
"Marie Blomme","Karelpad 152
3299 Doische"
"Dirk Reynaert","Bjornring 21
6988 Bellevaux-Ligneuville"
"Amir Moreels","Ericweg 11
6197 Bihain"
"Mila De Backer","Didierhof 1
3369
Sint-Pieters-Rode"
"Anna Peeters","Juulweg 46
6267
Hotton"
"Bart De Roo","Kimberlypad 028
8307 Eindhout"
"Eline Bruggeman","Robinboulevard 777
8424
Sint-Martens-Lennik"
"Rosette Verboven","Hendriklei 96
8964
Oupeye"
"Fabienne Carlier","Richardbaan 9
8488 Neufvilles"
"Myriam Cornelis","Yvonnehof 682
3671
Gochenée"
"Sam De Cuyper","Alfonsdreef 09
2322 Chevron"
"Edwin Verheyden","Nadinebaan 39
4321 Deftinge"
"Alexandra Declercq Verbeke","Hildadreef 6
5538
Vaucelles"
"Amber Dubois","Marijkestraat 795
6615
Saint-Germain"
"Paul Peeters Bruyninckx","Florentlaan 5
9618
Gages"
"Viviane Callewaert","Martinehof 03
5546
Moignelée"
"Florence Michiels","Anniesingel 61
4528 Libin"
"Ine Pollet","Michaëlboulevard 92
5916 Rocherath"
"Fabienne Claes","Fransstraat 029
6649
Saint-Remy"
"Diana Van Dooren","Karelstraat 50
6971 Leest"
"Eddy De Smet","Rudihof 53
6345
Autreppe"
"Joannes Debruyne","Matthiasstraat 4
9867 Rivière"
"Luc Van Landeghem","Annpad 99
5408 Nettinne"
"Carine Smet Goossens","Kareldreef 390
8143
Nouvelles"
"Brecht Blomme","Ludovicsteeg 9
5595
Spiere-Helkijn"
"Michèle Jans","Rogerpad 0
3337
Momalle"
"Danielle Verheyen","Wimhof 5
2401
Oudegem"
"Els De Ridder","Wilhelmusstraat 1
6086
Jandrain-Jandrenouille"
"Fabienne Ramaekers Claesen","Emmaweg 6
4637
Zandvliet"
"Joseph Pauwels","Matthewhof 653
9017
Hooglede"
"Freddy Cools","Christopheweg 482
5639 Saint-Servais"
"Tristan Mertens","Mariasteeg 19
1066
Crisnée"
"Julie Goossens Verhoeven","Veerleweg 93
1857 Manderfeld"
"Jacqueline Janssens","Pietersteeg 578
4421 Koolkerke"
"Dirk Huybrechts","Marcring 101
5091 Wijshagen"
"Yvonne Govaerts","Jeanlaan 08
8528 Hensies"
"Louisa Van Belle","Ronaldlei 3
7646 Peer"
"Angelo Van Poucke","Stijnlaan 311
8588
Anthisnes"
"Fanny Maes","Carolinaboulevard 298
8030
Wingene"
"Sven De Backer Merckx","Mustafasingel 0
6798 Lontzen"
"Monique Bekaert","Mariasingel 59
9676 Walsbets"
"Tania Lievens","Willyboulevard 6
9058
Hélécine"
"Alain Boeckx","Nadiasteeg 6
5297 Hechtel-Eksel"
"Christine Verhaeghe Rutten","Levilaan 83
2156 Vrasene"
"Marc Bogaerts","Mariasingel 01
4626 Veltem-Beisem"
"Hilda Derycke","Pierredreef 729
3061
Lettelingen"
"Mila Yilmaz","Elisebaan 63
4222 Houthalen-Helchteren"
"Christiana Vermeiren","Elzalaan 74
5403 Plombières"
"Fatima De Greef","Véroniquedreef 43
9230 Tertre"
"Jasper Willekens","Gretaboulevard 485
2007
Matagne-la-Petite"
