"Aaron Bruneel","Mauricesteeg 94
2260 Rijkhoven" 
"Josiane Yilmaz","Erikdreef 75
9791 Lamain"
"Georgette Diallo Claeys","Wimsingel 7
4548
Reuland"
"Juliette Maes","Marleensteeg 21
5576 Gérompont"
"Lize Stevens","Timoring 32
3603
Rienne"
"Stefan Roelandt","Olivialaan 9
4049 Buvrinnes"
"Els Parmentier","Jochenweg 1
6086
Ambresin"
"Carine Lammens","Veraboulevard 7
4262
Reuland"
"Simon Demeulenaere Ceulemans","Larshof 230
7763
Dinant"
"Tom Pattyn","Godelievehof 95
8797 Kerksken"
"Ine Smets","Linahof 2
8298
Baardegem"
"Stefanie Degroote","Anniestraat 324
3256
Hollebeke"
"Freddy Pattyn","Annhof 4
2227
Tourinnes-Saint-Lambert"
"Ken De Groote","Jeanlaan 44
8284
Batsheers"
"Sandra Mahieu","Peterpad 878
2783
Marbaix"
"Emilia Vinck","Ruthdreef 415
5995
Bassevelde"
"Christian Aerts","Dirkstraat 749
7359
Leval-Trahegnies"
"Carine Stas","Ilyasweg 3
3956
Vaux-Chavanne"
"Anita De Clercq","Gabriellasteeg 27
9171
Fronville"
"Lea Eeckhout","Inesboulevard 447
8899 Hermeton-sur-Meuse"
"Carine Heymans","Dannysteeg 07
3173 Evrehailles"
"Sofie Peeters","Liesbethstraat 77
1922
Kaprijke"
"Justine Matthys","Marcweg 590
7293 Wijer"
"Veronique Swinnen","Elisepad 4
5175 Bost"
"Liliane Joos","Valériering 17
9423
Malempré"
"Nand Janssen","Saidsteeg 68
4405
Antwerpen"
"Tatiana Verstraeten","Anpad 13
9602
Harnoncourt"
"Carine Van Damme","Jimmylaan 2
2265 Marchovelette"
"Sam Cornelis","Kirstensteeg 31
9765 Haltinne"
"Gustaaf Daniels","Kathleenpad 703
3141 Le Roux"
"Anne Verschueren","Richarddreef 66
1256 Foy-Notre-Dame"
"Helga Vanhove","Shanapad 21
6035
Leuze-en-Hainaut"
"Rita Maes","Juliapad 38
5212
Vellereille-le-Sec"
"Luc Dewulf","Arnodreef 629
1577 Couture-Saint-Germain"
"Annie Janssens","Georgespad 7
6058 Petit-Roeulx-lez-Nivelles"
"Rita De Cock","Kevinlaan 7
8826 Saint-Servais"
"Melanie Jacobs","Tomsteeg 0
5432 Wortegem"
"Carla De Ridder","Ahmedstraat 36
5090
Jallet"
"Thibo Van den Eynde","Christelhof 454
6091 Membruggen"
"Robbe Baeten","Tinepad 6
3645 Petegem-aan-de-Schelde"
"Bjorn Bosmans","Elenastraat 96
4279 Farciennes"
"Lydia De Wilde","Kobehof 5
5751 Neerlinter"
"Anna Heylen","Nicklaan 961
6507
Elverdinge"
"Wim Lievens","Stefaniehof 609
8479
Lonzée"
"Jan Van Hoof","Annicksteeg 3
3535
Florée"
"Marcel Willems","Dirkdreef 883
4992
Kolmont-Tongeren"
"Marie Declerck","Ninabaan 536
2142 Loker"
"Carlos Van Loo","Gabriellaan 9
8007 Molenbeek-Wersbeek"
"Kelly Op de Beeck","Williamhof 92
7549 Beausaint"
"Ivan D'Hondt","Vicring 3
2232
Steenokkerzeel"
"Johan Mertens Huybrechts","Nathaliesteeg 794
1977 Seloignes"
"Eric Van den Eynde","Magdahof 5
9410
Mullem"
"Eline Goethals Van de Velde","Cindybaan 29
4249 Clabecq"
"Marthe Poppe","Laurasingel 41
3213
Kaaskerke"
"Josephus Vandekerckhove","Andrésteeg 92
5268 Elst"
"Geert Joris Desmet","Nadiahof 0
9199 Jeneffe"
"Chantal Verhelst","Guillaumelaan 6
9166 Outgaarden"
"Carlos Willems","Carlobaan 462
5937 Ecaussinnes-d'Enghien"
"Wendy Janssens Braem","Philippelaan 5
5703 Les Waleffes"
"Marcel Callebaut","Biancalei 975
9346
Malèves-Sainte-Marie-Wastines"
"Kevin Vandeputte","Leadreef 76
6684
Kerkhove"
"Jan Andries","Henkpad 0
3225 Merbes-Sainte-Marie"
"Joseph De Sutter","Davidweg 2
4310 Rotselaar"
"Tom Verhaeghe","Daanhof 3
8805 Barry"
"Els De Smet","Geertweg 8
9820
Renlies"
"Stephanie Aerts","Olgaboulevard 9
1282 Brasschaat"
"Rudi Smeets","Gerritbaan 2
6165
Gosselies"
"Carmen De Pauw Wuyts","Guillaumesteeg 3
6035 Landenne"
"Sarah Kerkhofs","Helenadreef 5
3343 Vyle-et-Tharoul"
"Willy Van Gorp","Jennylei 817
5442
Bourseigne-Vieille"
"Evelyn Temmerman","Fleurweg 91
9459
Bettincourt"
"Christophe Dillen","Larslaan 6
4855 Mellier"
"Wout Lippens","Nadinehof 77
1728
Loverval"
"Kathleen Van de Velde","Martinesteeg 3
1897 Waterland-Oudeman"
"Antoon David","Aliceboulevard 5
6788
Neufvilles"
"Herman Janssens","Lindaboulevard 264
4212 Willerzie"
"Marleen Van Dessel","Brunostraat 075
1449
Braibant"
"Carmen Lievens","Andrésingel 68
3713 Pontillas"
"Karin Maertens","Elsboulevard 74
5635 Bellecourt"
"Kelly Vandekerckhove","Royweg 7
2262
Guirsch"
"Nathalie De Vos","Gerardboulevard 9
1200 Tilleur"
"Franciscus Lemmens","Noëllalaan 364
8006 Zelzate"
"Lea Smet","Anniedreef 561
9217
Warnant-Dreye"
"Laura Bogaerts","Simonneboulevard 28
8362
Soumagne"
"Cynthia Verdonck","Jacquelinepad 6
3761
Tontelange"
"Wim De Witte","Karimsteeg 6
1764
Pommeroeul"
"Gina Snauwaert","Benjaminring 75
3222
Basse-Bodeux"
"Carmen Verhaeghe De Block","Alicelaan 297
1997
Sint-Lenaarts"
"André Raes","Biekebaan 4
2344
Herchies"
"Jana Verelst","Vicpad 0
6648 Rebecq"
"Maryam Samyn","Cédriclei 2
9604 Guirsch"
"Quinten Hoste","Ninaring 224
3857
Warnant-Dreye"
"Nancy De Sutter Lambrechts","Catharinalei 271
5408
Ottergem"
"Bart Smets","Julietteboulevard 7
3333 Modave"
"Nathalie Smet","Karinehof 649
1009
Hensies"
"Diana Heyvaert","Yannickstraat 4
2941 Gits"
"Suzanna Wauters","Jorisweg 1
9610 Bavegem"
"Carolien Martens","Heleenlei 66
6666
Tilff"
"Joris Goossens","Pieterpad 8
5369 Opwijk"
"René Cools Bruggeman","Kevinlaan 80
5459
Hotton"
"Hilda Van Raemdonck","Ivanlaan 08
3625 Westmalle"
"Virginie Vaes","Zakariabaan 119
1083
Wulveringem"
"Johan Bogaerts","Anitapad 2
5846 Mont-Gauthier"
"Nancy De Keyser","Jürgenring 4
3387 Ecaussinnes"
"Sandra Kerkhofs","Liezepad 569
2815 Sint-Amands"
"Freddy Van Hecke","Anadreef 8
7568 Beuzet"
"Sophie Neven","Stijnsingel 845
4514
Lavacherie"
"Carolien Van Gorp","Miekelaan 30
5669
Maarke-Kerkem"
"Maryam Boeckx","Sebastianring 19
5426 Sijsele"
"Sonja Verlinden","Elsweg 7
4918
Ouwegem"
"Christoph Verbeke","Pascaleweg 533
8319 Quevaucamps"
"Wouter Van Loon","Hannesteeg 58
1071
Gimnée"
"Yvonne Timmermans","Erichof 65
3912 Havré"
"Erna Hermans","Vanessalei 6
2197 Opvelp"
"Annemie Wauters Verhoeven","Michelring 1
5272 Tiegem"
"Patricia De Keyser","Marcolaan 61
3036
Bavegem"
"Marieke Voet","Rosasteeg 18
9203
Vivy"
"Carolina Peeters","Arnopad 04
3267
Amonines"
"Mohamed Vandamme","Nicoleboulevard 1
8636 Rance"
"Femke Casier","Eddyboulevard 3
4389
Forrières"
"Patrick Denys","Briandreef 0
4487 Harveng"
"Flore Lemmens","Kimsteeg 84
3065
Pollinkhove"
"Stéphanie Blomme","Sofiesteeg 532
3470 Sint-Lambrechts-Herk"
"Liam Aerts","Geertboulevard 967
1510 Roselies"
"Lotte Jacobs","Pauldreef 38
8518
Limal"
"Zoë Moens Carlier","Luciennehof 4
9978
Brûly-de-Pesche"
"Jeanne Van Driessche","Janweg 8
6282 Vaux-sur-Sûre"
"Carolina Wouters","Loessteeg 7
9436
Meyerode"
"Peter Peeters","Lisalei 361
1030
Sart-Eustache"
"Ilias De Boeck","Patrickstraat 946
7939 Kleine-Spouwen"
"Lou Segers","Annehof 1
4608 Smeerebbe-Vloerzegem"
"Manuel Nys","Andrésingel 1
8916 Seloignes"
"Marie Swennen","Lieshof 018
4668
Ghoy"
"Febe Vermeylen","Tomring 2
2911 Koekelare"
"Elke Andries Peeters","Vanessaring 6
2022
Dion"
"Clara Simons","Cynthiaboulevard 80
3886
Lambermont"
"Ellen Matthys","Peterbaan 7
6323 Elsegem"
"Caroline Borremans","Sébastienboulevard 734
8671 Dion"
"Omar De Smedt","Evysteeg 25
5018 Welkenraedt"
"Louis Van Goethem","Noorpad 5
4901
Terhagen"
"Rita Pauwels","Rosasingel 304
6455 Cornimont"
"Walter Vandamme","Xandersteeg 124
7728 Calonne"
"Herman Dobbelaere","Martindreef 69
3292
Joncret"
"Sandra De Cock","Annestraat 4
7697 Waasten"
"Anna Janssen","Jeanpad 10
3447
Fays-les-Veneurs"
"Joren Gevaert","Ronnylei 3
3358 Fraire"
"Maria Heylen","Georgettering 5
7271
Wansin"
"Caroline Claus","Kobeboulevard 684
5569
Vissenaken"
"Monique Dhondt Van Acker","Marie-Louisebaan 767
3544
Tarcienne"
"Katia Dierckx","Landerpad 949
2366
Aalst"
"Bernadette Vercruysse","Jeroenlaan 92
6612 Mariekerke"
"Elisabeth Peeters","Noorring 384
7922
Sainte-Cécile"
"Liesbet Geens","Annsteeg 8
1431
Zomergem"
"Antonio Vercammen","Bartstraat 050
9502 Fronville"
"Diego De Ridder","Georgesweg 4
3233 Zoutleeuw"
"Geert Verstraeten","Louisweg 86
9817 Miécret"
"Romain Maes","Marcsingel 75
9958 Sint-Lambrechts-Herk"
"Caroline Cools","Barbarapad 796
6144 Fagnolle"
"Patrick Verheyen","Mariahof 08
2913 Egem"
"Raphaël Van den Berghe","Lucashof 66
5765 Poppel"
"Ellie Dewaele","Pascalring 78
4434 Oostkerke-Diksmuide"
"Patricia Adriaensen","Pierrering 65
6482
Teralfene"
"Gino Nelissen","Ericbaan 9
4620 Fauroeulx"
"Julien Verbruggen","Lisaweg 758
6433 Gutschoven"
"Paul Verstraete Bervoets","Erikbaan 4
4216 Izenberge"
"Norbert Somers","Ayoubdreef 50
2072 Massenhoven"
"Dina Maertens Deconinck","Christadreef 28
1220
Grammene"
"Caroline Holvoet","Filippad 82
9609 Braffe"
"Willem Claeys","Pieterlaan 449
7270
Gorsem"
"Margareta Vercruysse","Marieweg 38
3204 Baarle-Hertog"
"Maria Claes Hanssens","Fabiennesingel 8
4809 Zarlardinge"
"Koenraad Peeters","Arnesingel 8
5557 Wortel"
"Greta Bracke","Germainestraat 82
5276 Maillen"
"Tim De Smet Thijs","Mariaring 305
7420 Sint-Gillis"
"Willy Vandewalle","Lilystraat 6
9337 Yernée-Fraineux"
"Yara Coenen","Larastraat 629
3367
Fernelmont"
"Rosette Adams","Stephanieweg 127
7228
Smeerebbe-Vloerzegem"
"Caroline Smeets","Luclaan 5
2817 Lens-Saint-Remy"
"Luc Engelen","Andréstraat 6
2294
Kessel-Lo"
"Nicole De Coninck","Lotteboulevard 452
9834 Kerniel"
"Helga De Pauw","Liensingel 405
1104
Wandre"
"David De Leeuw","Jorislei 01
4982
Balegem"
"Viviane Van den Broeck","Robinweg 0
9583
Flémalle-Haute"
"Anke Rombouts","Jeanlaan 8
3407 Noorderwijk"
"Ellen Heremans Van Camp","Dirkring 19
3356 Bellefontaine"
"Liliane Vercammen","Woutsteeg 1
8783
Neerharen"
"Els Van Lierde","Michellesteeg 1
6746 Sint-Maria-Lierde"
"Caroline Vandamme","Kristofsteeg 795
8129
Wellen"
"Matthias Engelen","Jorislei 373
8146 Florennes"
"Paul Debruyne","Evelienlaan 0
5227 Haasrode"
"Karin Devolder","Tessadreef 523
6041
Dworp"
"Kathy Lievens","Irisweg 950
6115
Vierves-sur-Viroin"
"Amber Torfs","Marnixhof 2
4678 Arlon"
"Tomas Moreels","Sandrabaan 1
1590
Berzée"
"Kimberly De Bock","Marleenhof 334
8373 Hemiksem"
"Angela Claessens","Mathiaslei 40
5985
Ehein"
"Eliane Aerts Beckers","Dannybaan 622
7010 Kleine-Brogel"
"Catherine De Maeyer","Samring 4
4234 Rouvroy"
"Isabel Jonckheere","Frédériclaan 271
6816 Herenthout"
"Frank Heylen","Loustraat 864
6202 Booitshoeke"
"Remi Vandecasteele","Hildepad 327
1522 Kapellen"
"Victoria Moors","Frankstraat 28
5561 Tremelo"
"David Vandenberghe","Runeweg 8
5926 Neerijse"
"Lydia Vandamme","Pascaleweg 2
9103
Roeselare"
"Mohammad De Decker","Farahpad 357
7860 Honnelles"
"Davy Van Parys","Brambaan 752
4549 Villers-Saint-Amand"
"Floris Wauters","Willyboulevard 95
2212
Morville"
"Catherine Goyvaerts","Jensdreef 4
9098
Lennik"
"Chloé Maes","Livpad 91
6456
Gedinne"
"Guido Thomas","Martinebaan 28
9371 Seneffe"
"Joannes Willems","Hildapad 692
7806 Kobbegem"
"Agnes Staelens","Nicohof 74
5742
Reningelst"
"Sofie Van Daele Kaur","Sarahweg 352
8122
Héron"
"Elke Lippens","Kevinboulevard 071
3675 Afsnee"
"Anna Van Roy","Lisettedreef 14
9509
Oizy"
"Marc Geudens","Nellybaan 4
8243
Noduwez"
"Maria Simoens","Lilianestraat 23
1807 Letterhoutem"
"Catherine Leemans","Arnoring 8
5714 Munte"
"Luc Vranken","Lucring 63
4432 Kersbeek-Miskom"
"Herman Torfs","Marcpad 507
9182
Averbode"
"Kobe Lippens Dekeyser","Michielhof 1
2733 Cul-des-Sarts"
"Erwin Engelen Thijs","Lorenzolei 049
2688 Romershoven"
"Louisa Adriaenssens","Jeffreybaan 7
2601 Lavacherie"
"Thierry Hermans","Kristienweg 1
5979 Waltwilder"
"Eddy Reynders","Audreylaan 221
8430 Ieper"
"Liliane Rogiers","Guidopad 4
1416 Freux"
"Wilhelmus Diallo","Margarethaboulevard 84
6501
Hainin"
"Catherine Nuyts","Annielei 6
7364
Duras"
"Heidi Vermeulen Simons","Christeldreef 2
8686 Beek"
"Elise Theunis","Odettedreef 32
3528 Ukkel"
"Marie-Rose Bruggeman Yilmaz","Christiaanring 390
7629
La Hestre"
"Etienne Lenaerts","Ginettebaan 2
5261 Schönberg"
"Joanna Pauwels","Daanstraat 296
6194 Sinaai-Waas"
"Willy Van Hoof","Eriksteeg 0
8682 Ittre"
"Manon Renders Dhondt","Björnweg 736
8225 Wanne"
"Raymond Van den Bergh","Bennysingel 1
5169 Anthisnes"
"Guy Torfs","Lauraboulevard 453
6975 Jehay"
"Cathy Hermans","Bartlaan 8
4388
Jodoigne"
"Paula Verbiest","Peggypad 22
1950 Anderlecht"
"Maria Matthys","Hugohof 4
6110 Beloeil"
"Laure Degroote","Kurtdreef 41
3956
Godarville"
"Anne Debruyne","Noahpad 45
2656
Leers-Nord"
"Andy Maes De Cock","Suzannering 63
1135
Marche-lez-Ecaussinnes"
"Gerard Pauwels De Pauw","Mohammeddreef 919
9492
Rekem"
"Jozef Van den Bossche","Ellenlei 3
9301
Grand-Hallet"
"Erik Vandamme Samyn","Krislaan 4
8457 Gerin"
"Elly Carlier","Woutweg 209
8337
Wolvertem"
"Cecile Adriaensen","Mohammedsingel 7
5446
Strombeek-Bever"
"Nadia Van den Berghe Tanghe","Seppelaan 1
6387
Falaën"
"Ann Verhoeven","Danielbaan 820
7041 Dudzele"
"Nathalie De Moor","Hannelorelaan 997
1157
Beauraing"
"Alexandre Vanhee","Mauriceboulevard 9
3156 Henri-Chapelle"
"Sarah Van Damme","Clairedreef 7
3269 Aartselaar"
"Mehmet Verbeke","Edithweg 41
5722
Ogy"
"Vincent Vanderstraeten","Christiaansteeg 217
3254
Morville"
"Guy De Neve","Jeanninehof 61
4256
Sint-Kwintens-Lennik"
"Tim Martens","Dominiquelei 400
6990
Nederename"
"Cedric Demuynck","Mariasteeg 8
7474
Hensies"
"Martijn Vervaet","Sophielei 5
9512
Kemmel"
"Danny Bogaert Janssens","Thomashof 915
6695
Herten"
"Nancy Verbeeck","Paulhof 388
3715 Chassepierre"
"Pascal Gielen","Milandreef 6
3531
Lotenhulle"
"Marcel De Vos Mertens","Davidweg 014
8198
Ath"
"Pieter Smeets","Erwinboulevard 876
7015 Gerin"
"Kobe Depoorter","Gerdaring 66
2503 Eprave"
"Greta Van Dessel","Patrickweg 41
3240
Hofstade"
"Valérie Kaur Vermeulen","Mariedreef 92
6742 Gors-Opleeuw"
"Chantal De Paepe","Aaronsteeg 18
4714 Signeulx"
"Charles Knockaert","Ianring 0
8703 Moxhe"
"Jeroen Viaene","Frankysingel 4
2430
Awans"
"Kevin Dewulf","Lottehof 319
8442 Henis"
"Linda Raes","Vincelei 2
1704 Appels"
"Maria Kenis","Johnring 9
4401 Hompré"
"Benjamin Geuens","Nataliesteeg 64
3419
Gibecq"
"Monique Vinck","Angèleweg 447
4342 Sart-Bernard"
"Eddy Claes","Vivianelaan 28
9981
Achet"
"Michael Goossens","Antoinestraat 506
4402
Sourbrodt"
"Chantal De Wolf","Paulaboulevard 3
8103
Saint-Amand"
"Yana Vermeulen","Carineweg 537
4553
Erwetegem"
"Dorien Verhoeven","Sofielaan 603
8617
Wontergem"
"Fien Gielen","Mariaweg 112
3566 De Pinte"
"Pascal Willems","Anneliesring 1
8365
Thieulain"
"Malika Vandenberghe","Jürgenlaan 554
4050
Waha"
"Lara Reynaert","Davidhof 9
7251 Mellery"
"Geert Van den Bergh","Daveweg 253
5060 Moen"
"Marie-Christine Swinnen","Francinesingel 33
8998
Sugny"
"Nathalie Denys","Tonystraat 899
2806 Gages"
"Chantal Lenaerts","Riapad 152
4958 Haut-Fays"
"Jozef Jacobs","Runedreef 02
3361 Villers-sur-Semois"
"Yvonne De Vos","Thomasweg 56
2102
Saint-Servais"
"Dirk Mertens","Sabrinahof 30
7940
Marche-en-Famenne"
"Lodewijk Claes","Fransbaan 452
7782 Marchienne-au-Pont"
"Erna D'Hondt","Katrienbaan 9
5268 Eliksem"
"Didier Van Roy","Amberstraat 056
9912 Linkebeek"
"Josiane De Coster","Dimitrihof 10
3632
Vaux-sous-Chèvremont"
"Thomas Vermeiren","Zoëhof 351
8563
Baasrode"
"Veronique De Smet","Cédricstraat 86
5858 Sint-Gillis-bij-Dendermonde"
"Chantal Raeymaekers","Nicobaan 74
2798
Faimes"
"Nicole De Muynck","Toonhof 256
3982
Boussoit"
"Anaïs Vercruysse","Kimlei 062
5463 Mere"
"Bart Van Dessel","Bartsteeg 81
7254
Queue-du-Bois"
"Maria Cox","Ninasteeg 044
6012 Sint-Martens-Lennik"
"Sebastian Van den Broeck","Alineboulevard 017
1298
Moerbeke"
"Jan Dewaele","Frédéricdreef 846
8960 Brûly"
"Anaïs Yilmaz","Youssefdreef 4
5311 Jemeppe-sur-Meuse"
"Nicolas Van Lierde","Josdreef 44
8295 Hamont"
"Christiane De Jonghe","Christianeboulevard 97
5922 Rognée"
"Chantal Roels","Jeannebaan 6
6633 Suxy"
"Inge Smet","Tomhof 5
8654
Zandhoven"
"Hendrik Van Rompaey","Mikedreef 85
1950 Jollain-Merlin"
"Christelle Stevens","Sophielei 359
5124
Jamioulx"
"Alina De Cuyper","Lisettedreef 7
1076 Thieulain"
"Nadine Mortier Verschueren","Liseweg 084
4942 Otrange"
"Norbert Christiaens","Femkelaan 2
2008 Mont-Saint-André"
"Denis Dubois","Marnixhof 0
5692 Heinsch"
"Thomas Janssens","Elhof 5
2610
Neufchâteau"
"Axelle Verheyen","Hansring 4
5969
Sint-Pauwels"
"Chantal Torfs","Pieterhof 9
8868
Wemmel"
"Kenny De Neve","Thomasboulevard 60
8899 Vaux-lez-Rosières"
"Dylan Vereecke","Marieboulevard 126
1496
Philippeville"
"Sophie Jans Verstraete","Marielei 569
1211 Le Mesniel"
"Nathalie Dewulf","Stijnsingel 35
8081
Bevekom"
"Eveline Coppens","Katiapad 99
4213 Sint-Maria-Horebeke"
"Fatima De Schrijver","Lievebaan 012
5593 Meldert"
"Annie Heylen","Renéelaan 3
9426
Saint-Remy-Geest"
"Geert Voet","Geertbaan 275
1127
Wijchmaal"
"Briek Pauwels","Hélènelei 64
3050
Overboelare"
"Charles Hermans","Celinebaan 7
6771 Amougies"
"Lotte Maes","Johanweg 64
3476 Les Avins"
"Lise Peeters","Timpad 386
3551
Welle"
"Pieter Vermeire","Grietboulevard 9
5881 Jemappes"
"Laurens Depuydt","Arletteboulevard 61
4627
Villers-en-Fagne"
"Arno Jans","Henricusring 1
4694
Zuidschote"
"Frederick Colpaert","Krissingel 2
7220
Wulpen"
"Jean Stroobants","Rubenstraat 9
7291
Montenaken"
"Erwin De Jonghe","Ellenboulevard 517
7844 Hainin"
"Veerle Huys De Witte","Charlottehof 8
5707
Gilly"
"Charles Mertens Van den Eynde","Alfonssteeg 86
8739 Damme"
"Andreas Bonte Maes","Erwinring 783
2510 Temse"
"Bart Leroy","Stephaniestraat 193
7577
Muizen"
"Lieve Devos","Jorisweg 2
6148
Bierwart"
"Lore Peeters","Michellesingel 4
7687 Daknam"
"Viviane Huysmans","Irmaweg 49
1994 Kerkom"
"Ivan De Ridder","Christiaanlei 66
8702 Gesves"
"August Willems","Lisettering 2
5166
Kortenaken"
"Luc Lenaerts","Zakariastraat 1
5247
Charleroi"
"Michel Van de Velde","Lenaboulevard 831
7340 Villers-Poterie"
"Charles Michielsen","Raphaëlpad 709
2989
Pulderbos"
"Hassan Verbiest","Laurentweg 8
7497 Montignies-sur-Roc"
"Etienne Bekaert Cools","Ceciliaweg 01
6932
Familleureux"
"Wim Hermans","Sabrinasingel 25
5539 Athus"
"Lucien De Schepper","Petrastraat 02
1514
Houthulst"
"Karl Willems","Michellei 372
7319 Vielsalm"
"Anne-Marie Mestdagh","Hannedreef 046
3677 Habay-la-Neuve"
"Carine Maes","Jeaninesteeg 85
7497 Lombardsijde"
"Yusuf Mertens","Melissapad 1
5194 Biesme-sous-Thuin"
"Peter Geens","Fernandring 76
7540
Maldegem"
"Charles Reynaert","Robertlaan 92
8770 Bassenge"
"Robert Reynders","Josephsteeg 4
4320 Sint-Michiels"
"Barbara Knockaert","Kristofring 5
3910
Samart"
"Sarah Dejonghe Vansteenkiste","Vickyring 4
2579 Assebroek"
"Frans Beyens","Barbarabaan 701
5011 Dion"
"Petra De Wilde","Joannabaan 76
1080 Maizeret"
"Isabella Daniels","Davidsingel 81
1263 Onze-Lieve-Vrouw-Waver"
"Silke Bonte","Driesdreef 4
4767
Nederokkerzeel"
"Nathalie Martens","Christinestraat 1
6010 Monceau-en-Ardenne"
"Benjamin De Bruyne","Karimring 120
1583 Leignon"
"Charlotte Aerts","Sandraboulevard 00
7100
Juseret"
"Daisy Moens","Johanhof 062
9871
Parike"
"Ilse Devos","Thomasdreef 2
3817
Overwinden"
"Guido Vanneste","Peterhof 56
9915
Houyet"
"Harry Thomas","Celinelei 967
4243
Bovekerke"
"Ellen Eeckhout","Mariaboulevard 8
4396
Sart-lez-Spa"
"Karel Bogaerts","Maaikesteeg 58
9946
Bekegem"
"Olivier Goossens","Martinedreef 437
9368 Le Roux"
"Marie De Vos","Nicoleboulevard 1
4578 Kerkom-bij-Sint-Truiden"
"Louise De Schryver","Sofielaan 504
5664
Tielt-Winge"
"Charlotte Goossens","Mariepad 61
4417
Poucet"
"Irena De Smet Vandenbussche","Fransweg 649
9153 Lille"
"Louis Verstraeten","Michèlebaan 1
3379 Kolmont-Tongeren"
"Mireille Verbruggen","Jellebaan 7
9107
Ferrières"
"Henriette Pauwels","Frankdreef 2
8069 Saint-Médard"
"Claire De Winter","Jeroensingel 025
1568 Surice"
"Paula Claeys","Marie-Jeannering 090
1363
Lens-sur-Geer"
"Annick Vermeire","Anjasingel 32
1341 Waregem"
"Jozef Bruyninckx","Rosetteboulevard 2
6572 Mettet"
"Catherine Joos","Andypad 59
9043 Sint-Kornelis-Horebeke"
"Charlotte Janssen","Lucsingel 4
6570
Deftinge"
"Inge Vanbrabant","Wimstraat 147
3878 Wespelaar"
"Marlies Yilmaz","Stevendreef 6
2204 Deinze"
"Fien De Cuyper","Hassanboulevard 189
5505
Lommersweiler"
"Christiane Wauters","Joanneshof 41
8439 Bocholt"
"Finn De Keyser Vereecke","Nellydreef 722
3361
Warquignies"
"Ali Moonen","Sandypad 13
1864
Mabompré"
