"Ѓорги Јовановски"|"Никола Вапцаров 711
87858 Битола" 
"Димка Андоновска"|"Никола Карев 7в
06129 Виница"
"Г-н Иван Дешановски"|"Македонија 5в
83996 Демир Хисар"
"Симона Ѓоргиева"|"Виенска 5а
83354 Берово"
"Ѓорче Дамјановски"|"Воденска 72
51878 Гостивар"
"Г-ца Елена Зафировска"|"Никола Карев 625
72172 Македонски Брод"
"Кристина Јанева"|"Хелсинки 4в
74199 Кавадарци"
"Влатко Ристовски"|"Свети Климент Охридски 0
07756 Делчево"
"Др. Драган Крстев"|"Јован Хаџи Константинов Џинот 7б/0
84240 Гевгелија"
"Проф. Трајче Андоновски"|"Перо Наков 5б/9
34621 Кичево"
"Милена Јовановска"|"Воденска 6а/5
43816 Ресен"
"Проф. Благој Марковски"|"Ибрахим Темо 4а/2
23273 Прилеп"
"Г-н Игор Велков"|"Благој Давков 6а/1
17341 Ресен"
"Дарко Мусијановски"|"Будимпештанска 3
36281 Битола"
"Митко Наумовски"|"Партизански одреди 3б
23420 Гостивар"
"Г-н Трајан Лазов"|"Природна 7б/6
66880 Радовиш"
"Драган Стефановски"|"Перо Наков 8а
37648 Берово"
"Г-н Жарко Иванов"|"Кеј Димитар Влахов 812
44880 Радовиш"
"Василка Тодоровска"|"Трета македонска бригада 396
98336 Македонска Каменица"
"Проф. Катерина Заева"|"Самоилова 3б/3
92269 Дебар"
"Г-ца Сања Спасовска"|"Зелезничка 3б/3
51588 Демир Хисар"
"Тања Ристовска"|"Крсте Мисирков 4б
70199 Ресен"
"Г-н Игор Заев"|"Гоце Делчев 9в
82658 Кавадарци"
"Марко Стефановски"|"Никола Вапцаров 7а
87785 Делчево"
"Др. Жарко Глигоров"|"Дојранска 5б/6
18076 Штип"
"Василка Георгиева"|"Крсте Мисирков 81
73774 Валандово"
"Павле Донев"|"Пролетерска 193
68715 Валандово"
"Г-н Влатко Заев"|"Виенска 3б/2
93722 Неготино"
"Ѓорче Климовски"|"Одбранбена 3в
79547 Демир Хисар"
"Г-ца Елена Јанева"|"Николај Коперник 6
58775 Неготино"
"Лука Апостолов"|"Зелезничка 3б/0
38302 Штип"
"Кристина Василева"|"Васил Главинов 7б/0
62645 Неготино"
"Г-н Игор Митревски"|"Димитар Влахов 3
70476 Скопје"
"Др. Трајче Глигоров"|"Булевар Никола Карев 6а/1
82886 Радовиш"
"Анета Стојановска"|"Михаило Апостолски 7а
48597 Тетово"
"Драгана Донева"|"Благој Давков 1
81290 Куманово"
"Др. Дарија Крстеска"|"Питу Гули 2а/9
44476 Македонска Каменица"
"Василка Шакири"|"Лондонска 8в
14407 Пробиштип"
"Виолета Младеновска"|"Маршал Тито 5а/5
20798 Делчево"
"Стефанија Гроздановска"|"Георги Димитров 2в
66487 Демир Капија"
"Иванка Гроздановска"|"Булевар Александар Македонски 9а/9
16622 Кичево"
"Наум Лазаревски"|"Јован Хаџи Константинов Џинот 7а
99446 Пехчево"
"Г-н Игор Петковски"|"Михаило Пупин 5а/1
57215 Делчево"
"Оливера Ѓоргиева"|"Лондонска 1а/6
38360 Виница"
"Јован Пановски"|"Димитар Влахов 7в
74951 Радовиш"
"Драган Мартиновски"|"Ибрахим Темо 12
77527 Неготино"
"Антон Михајловски"|"Питу Гули 4б
75857 Прилеп"
"Бранко Ристовски"|"Славеј Планина 8б
13520 Кичево"
"Г-н Трајан Заев"|"Булевар Цветан Димов 0а/3
71987 Гостивар"
"Весна Тодоровска"|"Хелсинки 46
79591 Македонски Брод"
"Ѓорги Крстев"|"Македонија 7а
29780 Дебар"
"Дарија Спасова"|"Петар Поп Арсов 298
93038 Валандово"
"Г-н Илија Јовчев"|"Аристотел 8в
32711 Гостивар"
"Проф. Магдалена Зафировска"|"Кеј Македонија 2а
49448 Македонски Брод"
"Андреј Јовчев"|"Ленинградска 8в
26375 Охрид"
"Г-н Горан Иванов"|"Илинденска 9б/8
20753 Прилеп"
"Г-ѓа Софија Гавриловска"|"Кирил Пејчиновиќ 7б
84903 Велес"
"Сара Симоновска"|"Петар Поп Арсов 1в
93214 Богданци"
"Г-н Дејан Спасовски"|"Гоце Делчев 81
30114 Пехчево"
"Тихомир Апостолов"|"Јасминска 9б
86899 Богданци"
"Др. Марјан Бојаџиев"|"Виенска 897
65213 Делчево"
"Г-ца Мартина Петковска"|"Орце Николов 3б/6
92630 Охрид"
"Г-н Илија Апостолов"|"Ленинградска 2б/7
71286 Радовиш"
"Проф. Михаил Андоновски"|"Партизански одреди 5б
24003 Кавадарци"
"Г-ца Теодора Христова"|"Орце Николов 6а/2
31783 Берово"
"Г-н Ристо Донев"|"Лондонска 037
98356 Охрид"
"Г-н Доне Матевски"|"Димитар Влахов 5б/8
18909 Куманово"
"Проф. Сања Чулева"|"Тодор Александров 2б
54946 Радовиш"
"Томе Јовчев"|"Свети Климент Охридски 2б/2
64924 Берово"
"Г-ца Невена Дешановска"|"Крсте Мисирков 2в
40643 Радовиш"
"Мартина Трајковска"|"Илинденска 763
64292 Кичево"
"Мартина Мојсова"|"Кеј Македонија 4б/0
27497 Велес"
"Г-н Илија Поповски"|"Женевска 55
40620 Кочани"
"Симона Арсовска"|"Женевска 297
37770 Пробиштип"
"Кузман Христов"|"Свети Климент Охридски 2в
21385 Виница"
"Г-н Тихомир Ѓоргиев"|"Јане Сандански 6
98965 Штип"
"Др. Крсте Лазов"|"Никола Карев 2
88758 Берово"
"Проф. Јовче Јанев"|"Шарпланинска 6в
22648 Македонски Брод"
"Иванка Марковска"|"Букурешка 4а
79622 Тетово"
"Весна Стојановска"|"Никола Вапцаров 2а/3
59208 Валандово"
"Симона Гавриловска"|"Кирил Пејчиновиќ 9в
13487 Ресен"
"Павле Спасовски"|"Крушевска 5а
05800 Пробиштип"
"Г-н Илија Цветковски"|"Свети Климент Охридски 3б
20982 Македонски Брод"
