"Albina Dolić"	"Mesnička 8c
01290 Šibenik" 
"Anto Ušić"	"Paunovac 5b
98667 Orahovica"
"Karla Marić"	"Wickerhauserova 6c
52156 Vrlika"
"Zvonko Žic"	"Kamenjak 3b
33053 Vis"
"Patrik Čotić"	"Gradec 9c/2
79519 Lepoglava"
"Damir Radić"	"Golubovac 7a/2
99473 Zagreb"
"Darko Mudri"	"Šilobodov put 1b/9
29138 Labin"
"Darko Glasnović"	"Mesnička 00
88159 Vukovar"
"Veronika Batrac"	"Goljak 142
10586 Lepoglava"
"Đurđica Peterlik"	"Mlinarska 7
29789 Benkovac"
"Nika Krpan"	"Hercegovačka 7a
53043 Omiš"
"Nina Radočaj"	"Hercegovačka 4b/3
04913 Knin"
"Željko Maras"	"Jurišićeva 1b
51459 Korčula"
"Barbara Govorčinović"	"Palmotićeva 9
07411 Senj"
"Antun Čović"	"Gornje Prekrižje 5
79411 Kutina"
"Zorka Mimica"	"Paunovac 5c/9
14616 Karlovac"
"Dušan Špralja"	"Jezuitski trg 3a
36109 Zlatar"
"Darko Hadrović"	"Jurjeve 0b/8
45426 Novigrad"
"Franjo Zanoški"	"Klenovac 4
15411 Čakovec"
"Dominik Škrnički"	"Jurjeve 8b/0
74356 Biograd na Moru"
"Dejan Šimičić"	"Kraljevečki odvojak 549
72566 Garešnica"
"Lea Stolnik"	"Kraljevec II. 1c
30336 Orahovica"
"Veronika Jagarinec"	"Opatička 5c/6
79832 Poreč"
"Mladen Rašeta"	"Ribnjak 7c/0
44081 Opatija"
"Robert Gracin"	"Mirogojska 2a/6
93799 Križevci"
"Alen Leščić"	"Tkalčićeva 1b
21663 Lipik"
"Dario Cik"	"Šalata 0c/2
83279 Novalja"
"Darko Matahlija"	"Novi Goljak 0a/5
07941 Opuzen"
"Anđela Horvatek"	"Gornje Prekrižje 3c
20262 Daruvar"
"Jelena Ričko"	"Krvavi most 3c
17554 Ilok"
"Nenad Baričević"	"Horvatovac 5c
61954 Požega"
"Fuma Kokorić"	"Vrazovo šetalište 2b
60131 Vrlika"
"Sanja Fabijanić"	"Šumski prečac 3a/1
00983 Novalja"
"Denis Matijević"	"Dvoranski prečac 096
42713 Vrgorac"
"Viktor Pedišić"	"Medveščak 908
28249 Jastrebarsko"
"Branko Poropat"	"Jagodnjak 2
05625 Senj"
"Branko Obradović"	"Bijenička 9c/5
28203 Hvar"
"Darko Norac"	"Kurelčeva 3c/8
15054 Supetar"
"Marta Šokčević"	"Wickerhauserova 4a
08389 Supetar"
"Pavao Mudri"	"Kamenjak 4
61290 Vis"
"Manda Čizmić"	"Medveščak 0b
01779 Labin"
"Suzana Pecotić"	"Ljubinkovac 1b/5
12602 Slavonski Brod"
"Katica Šošić"	"Bosanska 01
18950 Karlovac"
"Ljiljana Ivančan"	"Bijenička 8c/0
94239 Drniš"
"Rudolf Pešić"	"Pod zidom 168
47905 Hvar"
"Anđa Josipović"	"Jabukovac 4c/1
05335 Čabar"
"Matija Ćosić"	"Grič 607
41724 Nin"
"Darko Peša"	"Zvonarnička 9a/0
24870 Pregrada"
"Renata Petrović"	"Mletačka 8
28930 Novigrad"
"Branko Majdenić"	"Kraljevec II. 1c
13852 Mali Lošinj"
"Petra Erceg"	"Jagodnjak 8
87727 Vukovar"
"Anton Maričević"	"Grič 3c
54537 Supetar"
"Jakov Šimunović"	"Magdićeve 9b
42869 Valpovo"
"Mato Mihelčić"	"Lisinskoga 2b/3
54804 Popovača"
"Juraj Ban"	"Pod zidom 29
66581 Sveta Nedelja"
"David Plantak"	"Tošovac 5b
93087 Đakovo"
"Toni Andrašek"	"Krvavi most 1a/3
74829 Bjelovar"
"Darko Rijetković"	"Klenovac 9c
57559 Slunj"
"Ružica Sedlar"	"Gornje Prekrižje 244
69003 Opatija"
"Štefica Husnjak"	"Medvedgradska 1
42088 Pag"
"Vera Jelić"	"Opatovina 7b/5
01232 Oroslavje"
"Ilija Špoljarić"	"Orlovac 4c
08028 Duga Resa"
"Anto Barbieri"	"Javorovac 838
89927 Senj"
"Elizabeta Hardi"	"Ribnjak 7b
70246 Belišće"
"Đuro Cik"	"Zamenhofove 5a
95083 Orahovica"
"Alen Čović"	"Podgaj 1a/0
14862 Petrinja"
"Zdravko Županić"	"Kurelčeva 5c/5
62563 Dubrovnik"
"Darko Rukavina"	"Ljubinkovac 1c/2
55594 Čakovec"
"Pavao Borak"	"Arnoldova 9b/5
98024 Ivanec"
"Marijan Barušić"	"Ribnjak 7b/0
39470 Virovitica"
"Mario Makovac"	"Tkalčićeva 1b
29444 Vinkovci"
"Laura Kligl"	"Horvatovac 0c/8
11363 Zlatar"
"Danijela Marušić"	"Vijenac 8a
23979 Metković"
"Mateja Kukučka"	"Jadranska 463
31514 Opuzen"
"Dino Obradović"	"Bijenička 2a
84285 Glina"
"Vlado Orbanić"	"Jurjeve 84
11290 Vrgorac"
"Aldo Kopjar"	"Kamenita 79
95242 Zlatar"
"Darko Sedlar"	"Mlinarska 2a
42888 Kraljevica"
"Duje Govorčinović"	"Dverce 236
88966 Varaždin"
"Lidija Slavica"	"Jadranska 91
31505 Umag"
"Patrik Šipek"	"Mlinovi 1c
40556 Slavonski Brod"
"Joško Lucić"	"Jurkovićeva 1a/4
37923 Jastrebarsko"
"Marija Mihalić"	"Horvatovac 4a
33661 Ivanić-Grad"
"Anđa Skupnjak"	"Mlinarska 4c
11390 Metković"
"Đurđica Jonjić"	"Višnjica 2
67318 Cres"
"Nikša Marin"	"Voćarsko naselje 3c
95208 Đurđevac"
"Željka Kraljić"	"Ribnjak 9a/6
53318 Oroslavje"
"Darko Surać"	"Bosanska 6c/5
52857 Sveti Ivan Zelina"
"Branka Marijanović"	"Kraljevečki odvojak 7
01204 Novska"
"Lea Resanović"	"Splavnica 7b
29944 Klanjec"
"Vladimir Tuškan"	"Voćarska 8a/0
63502 Umag"
"Jure Vela"	"Zavojna 3b
47880 Prelog"
"Dragan Salopek"	"Harmica 1b/9
05007 Slavonski Brod"
"Duje Gligora"	"Rockefellerova 0
55240 Hrvatska Kostajnica"
"Matija Ćosić"	"Novi Goljak 5c
81835 Kraljevica"
"Lidija Vugec"	"Vrazovo šetalište 2a/9
26377 Ogulin"
"Erik Lenić"	"Cmrok 1a/6
55332 Hvar"
"Darko Vukušić"	"Cmrok 9c/7
67521 Varaždinske Toplice"
"Anita Štrljić"	"Vijenac 5c/5
38952 Kutjevo"
"Alen Dukić"	"Klesarski put 2b
36875 Čazma"
"Martin Peruško"	"Petrova 7a
50313 Bakar"
"Mirjana Matokanović"	"Magdićeve 2a/1
41644 Slavonski Brod"
"Anton Jagarinec"	"Jabukovac 4b/2
44556 Slavonski Brod"
"Domagoj Radović"	"Dolac 9b/8
02713 Sveta Nedelja"
"Bruno Šipek"	"Istarska 8
49376 Gospić"
"Sandra Milotić"	"Paunovac 7a
31873 Solin"
"Slavica Bunčić"	"Ribnjak 6b
12398 Rab"
"David Bošnjak"	"Demetrova 2b/1
26873 Trogir"
"Patrik Smoković"	"Dubravkin 5
65169 Novigrad"
"Božica Zeba"	"Klanac Grgura Tepečića 0b
88405 Stari Grad"
"Tatjana Matošević"	"Opatička 767
10945 Daruvar"
"Stana Kaniški"	"Medvedgradska 5c
96519 Dugo Selo"
"Aldo Jasprica"	"Višnjičke 5c
79783 Jastrebarsko"
"Ema Filipović"	"Jurjevska 0c/8
50073 Ludbreg"
"Davor Žeželić"	"Rokov perivoj 1
70005 Hvar"
"Slavica Varga"	"Jurjevska 3c
41521 Rovinj"
"Dražen Jakuš"	"Petrova 4c/5
21000 Knin"
"David Božiković"	"Jadranska 2b
44776 Bjelovar"
"Mile Krajcar"	"Bučarova 23
78479 Čazma"
"Niko Kaniški"	"Golubovac 6b/0
21403 Nin"
"Roko Plažanin"	"Orlovac 6a
95552 Solin"
"Zora Sladonja"	"Perivoj biskupa Stjepana II. 587
19552 Trilj"
"Hrvoje Križan"	"Šalata 5c
32589 Benkovac"
"Lovro Lučić"	"Wickerhauserova 7c/9
32939 Imotski"
"Goran Carić"	"Nemetova 1b/8
33621 Korčula"
"Sara Stolnik"	"Kaptol 951
22758 Novigrad"
"Kristijan Gredičak"	"Goljak 4c/3
60980 Duga Resa"
"David Jurić"	"Mala 8c
43894 Vinkovci"
"Vedran Tolj"	"Jurišićeva 08
89024 Opatija"
"Pero Načinović"	"Zavojna 2c
42299 Cres"
"Nikša Bolčević"	"Palmotićeva 411
57784 Vinkovci"
"Nina Herout"	"Bosanska 6
34365 Beli Manastir"
"Mario Radić"	"Lisinskoga 1b
03391 Cres"
"Boris Županić"	"Draškovićeva 3
91530 Cres"
"Siniša Kinkela"	"Novi Goljak 1c/1
67256 Kaštela"
"Tea Sobota"	"Svibovac 7b/4
11713 Vis"
"Antonija Novak"	"Istarska 8b
33201 Ivanec"
"David Kadija"	"Jurišićeva 8c
15292 Krk"
"Mijo Balić"	"Mirogojska 5a/1
21001 Kastav"
"Branko Kučić"	"Cmrok 8b
01433 Otok"
"Karlo Ivanović"	"Kraljevec II. 1c/4
71309 Novi Vinodolski"
"Marica Tuksar"	"Pod zidom 1c
88124 Pula"
"Dalibor Zrinski"	"Klanac Grgura Tepečića 8a
28158 Klanjec"
"Pavao Dobrić"	"Mihaljevac 1
34368 Umag"
"Ivan Ritoša"	"Nova Ves 452
65037 Zabok"
"Damir Stanić"	"Šilobodov put 3a/0
65065 Korčula"
"Laura Rebić"	"Ksaverska 0c
16063 Našice"
"David Markovac"	"Goljačke 3a
45054 Zlatar"
"Goran Semialjac"	"Kraljevečki ogranak 2a/0
86824 Đurđevac"
"Robert Filipović"	"Male 7c/6
94076 Garešnica"
"Vjekoslav Vuljak"	"Šilobodov put 5b/6
87021 Valpovo"
"Ivka Kostanić"	"Dolac 6b
57387 Senj"
"Andrija Kresonja"	"Mlinske 5b/5
29065 Solin"
"Zdenka Kuzmić"	"Splavnica 9b/7
36465 Novi Vinodolski"
"Suzana Špišić"	"Srebrnjak 991
39155 Split"
"Anđa Tomić"	"Palmotićeva 9c/3
12835 Mali Lošinj"
"Damir Ilijić"	"Davor 2
74544 Vrbovsko"
"David Mušćet"	"Podgaj 2c
13247 Novi Vinodolski"
"Nevenka Jugovac"	"Vlaška 6c
87860 Čabar"
"Matej Filar"	"Kurelčeva 3a/8
00118 Trogir"
"Martina Šestak"	"Tkalčićeva 3b
71270 Opuzen"
"Romano Bezić"	"Zeleni dol 3a/0
20226 Rab"
"Ljiljana Matulić"	"Tkalčićeva 482
69644 Samobor"
"Karla Šurina"	"Vijenac 6c
94300 Ploče"
"Joso Bukvić"	"Perivoj srpanjskih žrtava 853
10069 Split"
"Terezija Zrilić"	"Jezuitski trg 70
22549 Knin"
"Saša Mraović"	"Mirogojska 0a
46967 Garešnica"
"David Pedišić"	"Kraljevečki ogranak 4
77982 Požega"
"Dušan Matić"	"Voćarska 1c
47022 Orahovica"
"Nikolina Hren"	"Šalata 76
66908 Donja Stubica"
"Jana Jureško"	"Zmajevac 8c/3
07529 Osijek"
"Karla Plažanin"	"Ružičnjak 327
25333 Grubišno Polje"
"Dominik Kovačić"	"Zelenjak 2c
64541 Knin"
"Saša Božić"	"Mala 8b/4
10350 Bakar"
"Elvis Pongrac"	"Arnoldova 3a/4
79872 Virovitica"
"Niko Vrabelj"	"Kraljevec II. 89
56715 Varaždin"
"Jele Ukić"	"Pod zidom 2b/7
38176 Lepoglava"
"David Radočaj"	"Krležin gvozd 7c
29288 Rovinj"
"Jakov Buršić"	"Kamaufova 179
13757 Slunj"
"Milica Vrhovec"	"Lobmayerove 693
05372 Rijeka"
"Janja Cik"	"Horvatovac 0b
79587 Valpovo"
"Tatjana Dabo"	"Novi Goljak 0b
90351 Đurđevac"
"Ružica Čović"	"Arnoldova 0
73904 Novska"
"Robert Dončević"	"Dvoranski prečac 7
51209 Pula"
"Danijela Majstorović"	"Kapucinske 68
82350 Lepoglava"
"Laura Štifanić"	"Dvoranski prečac 4b/4
41948 Nin"
"Roko Jovanovac"	"Kurelčeva 1b/0
34116 Korčula"
"David Trutanić"	"Višnjica 7b
00286 Petrinja"
"Ane Stupalo"	"Mala 0b/9
11485 Petrinja"
"Darko Vuković"	"Šalata 1b/9
00249 Umag"
"Marko Urlić"	"Slavujevac 3a/7
96914 Sveti Ivan Zelina"
"Željko Škrnički"	"Mlinske 6c
77023 Vrlika"
"Anto Mustač"	"Pod zidom 8c/7
55607 Ozalj"
"Nada Tomljanović"	"Šilobodov put 2b/3
93010 Omiš"
"Rozalija Bojanić"	"Vinogradska 1
94967 Valpovo"
"Siniša Božičković"	"Tkalčićeva 7a/6
18998 Slunj"
"Milan Radočaj"	"Magdićeve 49
93959 Bakar"
"David Ugrinić"	"Svibovac 4c
38827 Metković"
"Nikolina Odobašić"	"Jurjeve 8c
12701 Grubišno Polje"
"Mislav Filipović"	"Mlinovi 3a
72505 Zagreb"
"Marica Rajn"	"Mirogojska 0a/6
01256 Skradin"
"Domagoj Resanović"	"Ksaverska 3b
38659 Kutina"
"Nada Borošak"	"Goljak 0c/6
08228 Velika Gorica"
"Mira Prpić"	"Gupčeva zvijezda 8
59344 Ozalj"
"Jakov Damijanić"	"Male 7
42440 Kastav"
"Fuma Britvec"	"Bosanska 1b
73044 Pula"
"Eva Fuček"	"Perivoj biskupa Stjepana II. 6a
00493 Daruvar"
"Davor Amanović"	"Vončinina 1c
12009 Obrovac"
"Marta Ban"	"Zeleni dol 8
79436 Daruvar"
"Juraj Grgurovac"	"Skalinska 5b
64827 Pakrac"
"Božo Dolić"	"Goljačke 5c/2
24728 Sveti Ivan Zelina"
"Zvonko Vukman"	"Hercegovačka 79
11929 Vrlika"
"Domagoj Viljevac"	"Arnoldova 05
93391 Ploče"
"Renata Turudić"	"Čačkovićeva 5c
39755 Trilj"
"Damir Mirt"	"Kamaufova 584
06350 Donja Stubica"
"Ruža Lučić"	"Glogovac 9c/6
35869 Jastrebarsko"
"Štefanija Kligl"	"Gupčeva zvijezda 2a/9
25959 Pleternica"
"Davor Barišić"	"Draškovićeva 6a
18598 Bjelovar"
"Manda Trbović"	"Klanac Grgura Tepečića 0c
34782 Novigrad"
"Ema Lukić"	"Jurjeve 3c/8
77889 Šibenik"
"Slavica Botica"	"Mirogojska 1a/8
59740 Ozalj"
"Božo Božičković"	"Rokova 0c
48292 Krk"
"Jana Radović"	"Mala 3a
13878 Osijek"
"Lana Makovac"	"Golubovac 7a
47891 Mali Lošinj"
"Petra Crneković"	"Davor 40
08770 Benkovac"
"Petra Milatić"	"Šestinski vrh 833
29246 Ploče"
"Mia Mihelčić"	"Goljak 8
68652 Virovitica"
"Davor Bertoša"	"Višnjica 9b
26494 Lipik"
"Nataša Lazar"	"Mirogojska 7c/1
86506 Umag"
"Stjepan Cik"	"Gračanska 6c
75302 Ivanec"
"Antonio Pavičić"	"Dubravkin 370
35362 Zaprešić"
"Dora Vlašić"	"Naumovac 02
25778 Opuzen"
"Ika Morić"	"Šestinski vijenac 0c
11539 Opatija"
"Luka Dominiković"	"Bijenička 9a
89752 Samobor"
"Anka Vincetić"	"Kapucinske 03
67995 Slatina"
"Draga Vidov"	"Rockefellerova 8a
81187 Obrovac"
"Dušan Kaniški"	"Draškovićeva 629
76551 Sveti Ivan Zelina"
"Davor Damijanić"	"Vinogradska 0b
17334 Vinkovci"
"Mirko Štrbac"	"Jagodnjak 2a/9
53925 Varaždin"
"Danijela Deže"	"Petrova 5a
55650 Belišće"
"Lorena Ugrinić"	"Perivoj biskupa Stjepana II. 1a/3
66756 Krapina"
"Anto Sirotić"	"Jabukovac 9a
59096 Pregrada"
"Vera Žužić"	"Glogovac 8b
31838 Trilj"
"Domagoj Vrban"	"Jurjeve 61
09960 Valpovo"
"Milan Norac"	"Svibovac 968
13704 Bakar"
"Jana Cestarić"	"Zamenhofova 20
11115 Mursko Središće"
"Ružica Čović"	"Perivoj biskupa Stjepana II. 1c
47825 Krapina"
"Davor Dubovečak"	"Mesnička 6
72619 Kraljevica"
"Željko Kaniški"	"Šestinski vijenac 1b
05429 Omiš"
"Tomislav Jurković"	"Ilica 2
35463 Bakar"
"Mijo Kunac"	"Mlinske 6b/4
35909 Sisak"
"Zdravko Vuk"	"Palmotićeva 6c
05927 Pula"
"Elizabeta Ozimec"	"Vlaška 84
21884 Kutjevo"
"Vlado Radović"	"Jezuitski trg 458
39557 Grubišno Polje"
"Biljana Miloslavić"	"Mirogojska 9a/8
10933 Vis"
"Hrvoje Mamula"	"Kozarčev vijenac 8a
09339 Našice"
"Kata Radelić"	"Bosanska 3a/2
28719 Vrbovsko"
"Davor Matulić"	"Kamaufova 2a
97353 Bakar"
"David Vučković"	"Lobmayerove 0b
15221 Dugo Selo"
"Nika Vuljak"	"Perivoj srpanjskih žrtava 1c/5
01537 Vrbovec"
"Ružica Brandić"	"Vinogradska 6
56097 Kutina"
"Martin Cvenić"	"Istarska 4c
12440 Pazin"
"Mile Grgurić"	"Mlinovi 71
57755 Komiža"
"Albina Rakuljić"	"Visoka 0b
19481 Mursko Središće"
"Kata Kukučka"	"Demetrova 2c/7
92958 Čakovec"
"Mate Milevoj"	"Gupčeva zvijezda 6a/8
45892 Hvar"
"Dario Matko"	"Javorovac 8b
17464 Krk"
"Davor Terzić"	"Ljubinkovac 862
76770 Beli Manastir"
"Julijana Predovan"	"Rokov perivoj 4
96365 Slavonski Brod"
"Nataša Dončević"	"Vitezovićeva 3c/6
46367 Grubišno Polje"
"Lana Vučković"	"Visoka 9a
14905 Obrovac"
"Tatjana Zubčić"	"Goljak 8a
16582 Hvar"
"Danijel Cvenić"	"Šestinski vrh 6c/2
26193 Mali Lošinj"
"Nikola Sorić"	"Podgaj 071
20448 Umag"
"Bruno Džapo"	"Vijenac 75
88825 Pleternica"
"Branka Marinović"	"Gupčeva zvijezda 6c/6
92272 Trilj"
"Siniša Kauzlarić"	"Novi Goljak 015
82639 Daruvar"
"Dejan Friščić"	"Rokov perivoj 9c
08365 Ogulin"
"Dragan Roce"	"Klanac Grgura Tepečića 2b/5
93934 Pag"
"Tea Bertoša"	"Hercegovačka 4b/9
07208 Delnice"
"Tatjana Pešić"	"Srebrnjak 1a/2
65331 Grubišno Polje"
"Mato Ilinović"	"Jagodnjak 747
86898 Samobor"
"Anđa Milas"	"Zmajevac 5b
74756 Pleternica"
"Milena Sedlar"	"Višnjica 7c/3
80972 Hvar"
"Milka Aničić"	"Istarska 0a/5
99867 Mali Lošinj"
"Gordana Lasić"	"Vijenac 4c
15418 Korčula"
"Anto Radinović"	"Kaptol 7
10683 Čazma"
"Dejan Hrženjak"	"Voćarska 6a
35312 Belišće"
"Marta Čudić"	"Vinogradska 1b/9
26466 Čakovec"
"Andrea Milovac"	"Ksaver 3b/9
58969 Vinkovci"
"Marijana Kopjar"	"Bakačeva 234
02376 Buzet"
"Erik Predovan"	"Kraljevec 9c
96010 Vis"
"Ivana Nikolić"	"Podgaj 1c/8
91350 Đurđevac"
"Vladimir Dragojević"	"Male 2b/6
16193 Solin"
"Štefica Marković"	"Cmrok 3
48022 Metković"
"Danica Šalić"	"Klenovac 048
53699 Velika Gorica"
"Franjo Medač"	"Mlinske 0a/1
01789 Hvar"
"Dejan Obratov"	"Jabukovac 7c
87846 Jastrebarsko"
"Siniša Matahlija"	"Tuškanac 74
38115 Lepoglava"
"Terezija Dubovečak"	"Mlinarska 8a
09355 Petrinja"
"Ema Pajur"	"Jagodnjak 48
83827 Ozalj"
"Marica Pamić"	"Gradec 2a
42845 Donji Miholjac"
"Sara Popović"	"Rokova 5c
81356 Pleternica"
"Suzana Matković"	"Šilobodov put 9
32615 Zagreb"
"Matija Botica"	"Dolac 1c
14085 Bjelovar"
"Mislav Rašeta"	"Mesnička 7b/7
21639 Vodnjan"
"Jasna Karmelić"	"Dolac 4b/5
70551 Lipik"
"Dejan Polović"	"Srebrnjak 7a/3
92517 Pakrac"
"Luka Hodak"	"Paunovac 0c/7
03443 Dugo Selo"
"Valentina Radić"	"Kaptol 0c/8
51130 Slavonski Brod"
"Zora Oršoš"	"Novi Goljak 596
14798 Novska"
"Antonio Obratov"	"Čačkovićeva 017
47692 Gospić"
"Franciska Matković"	"Šestinski vijenac 757
11504 Rijeka"
"Vesna Bičanić"	"Podgaj 9b
37456 Rijeka"
"Martina Fabijanić"	"Klanac Grgura Tepečića 3a/7
82673 Benkovac"
"Bara Matokanović"	"Srebrnjak 3
98456 Pag"
"Milan Kligl"	"Bijenička 6b/8
17344 Čabar"
"Dejan Prpić"	"Magdićeve 3a
99310 Poreč"
"Ilija Brezjan"	"Zvonarnička 33
77421 Lepoglava"
"Robert Kelić"	"Jurjevska 5a
65209 Ivanić-Grad"
"Vladimir Vretenar"	"Magdićeve 382
97646 Karlovac"
"Zdravko Matulić"	"Mesnička 835
56554 Buzet"
"Hrvoje Čotić"	"Nova Ves 4c/7
98488 Pag"
"Katica Jakupić"	"Svibovac 7a/0
01735 Čakovec"
"Snježana Cvetnić"	"Slavujevac 9a
29806 Zagreb"
"Pavao Kinkela"	"Šestinski vrh 886
56986 Čazma"
"Zdravko Galić"	"Svibovac 87
43707 Krapina"
"Dejan Tepeš"	"Srebrnjak 9a
75476 Zagreb"
"Albina Mamula"	"Perivoj biskupa Stjepana II. 9a/4
17206 Crikvenica"
"Nevenka Pešić"	"Klanac Grgura Tepečića 2c/3
70659 Virovitica"
"Miroslav Golubić"	"Goljačke 6b/2
09552 Karlovac"
"Dražen Urlić"	"Rokova 7b
51651 Đakovo"
"Fran Božanović"	"Dubravkin 731
92135 Dugo Selo"
"Karla Štimac"	"Krvavi most 7c/0
14508 Vodnjan"
"Martina Šelendić"	"Zelenjak 34
67162 Krapina"
"Romano Vrban"	"Golubovac 775
90625 Karlovac"
"Zora Beraković"	"Splavnica 935
60422 Sveta Nedelja"
"Denis Ilijić"	"Gradec 7a
87912 Vinkovci"
"Nina Radolović"	"Demetrova 9a
50321 Nova Gradiška"
"Dominik Jurić"	"Klanac Grgura Tepečića 322
09320 Valpovo"
"Dario Klarin"	"Vrazovo šetalište 12
00715 Opuzen"
"Barbara Vaci"	"Male 1c/0
06912 Korčula"
"Nevenka Jelavić"	"Mlinarska 9b/8
33137 Jastrebarsko"
"Anica Vojković"	"Gračanska 6b/6
47911 Koprivnica"
"Milica Birtić"	"Voćarska 5b
69377 Novalja"
"Maria Forjan"	"Ljubinkovac 2c/6
54426 Pag"
"Šime Božanić"	"Skalinska 1b/2
03056 Sveti Ivan Zelina"
"Denis Jureško"	"Zavojna 56
26924 Umag"
"Danijela Ilinović"	"Kapucinske 9c/7
08217 Mursko Središće"
"Marijan Ražov"	"Ksaverska 33
42702 Čazma"
"Zvonko Komljenović"	"Voćarsko naselje 8c/8
30372 Sinj"
"Duje Rendulić"	"Podgaj 0b/8
93872 Delnice"
"Božena Rendulić"	"Gračanska 18
44166 Hrvatska Kostajnica"
"Ljubica Polović"	"Mlinarska 3b
33166 Nova Gradiška"
"Ane Urlić"	"Kozarčev vijenac 2c
77582 Komiža"
"Nikolina Jovanović"	"Hercegovačka 2a
84175 Labin"
"Mile Labinjan"	"Voćarsko naselje 9c/9
72773 Vrbovec"
"Denis Kujundžić"	"Novi Goljak 8c/8
84969 Drniš"
"Mare Hanžek"	"Horvatovac 0a/1
16327 Stari Grad"
"Antun Blažek"	"Klesarski put 3c/0
31266 Umag"
"Roko Barbieri"	"Zelengaj 9b
10338 Vinkovci"
"Domagoj Govorčinović"	"Vijenac 0b/0
98784 Ogulin"
"Matija Benić"	"Kamaufova 7a/7
47519 Kastav"
"Milan Božanović"	"Horvatovac 4b
35112 Kutina"
"David Šipić"	"Vinogradska 7a
20144 Lepoglava"
"Danijela Prskalo"	"Zelengaj 63
23304 Opuzen"
"Dušan Vincetić"	"Kapucinske 6b/7
94033 Opatija"
"Denis Lukša"	"Rokova 875
03207 Pleternica"
"Dino Deže"	"Medvedgradska 4a/9
22652 Slatina"
"Đuro Fuček"	"Ksaverska 8
76661 Kastav"
"Mia Mahnet"	"Bosanska 0b
05899 Krk"
"Ema Vozila"	"Mlinarska 9a/3
55981 Obrovac"
"Robert Culi"	"Srebrnjak 8a
26786 Lepoglava"
"Joško Kelečić"	"Glogovac 4
52878 Križevci"
"Vera Šimunović"	"Glogovac 7a/6
41049 Sinj"
"Tea Kahlina"	"Kaptol 3
87240 Korčula"
"Šime Ukić"	"Lisinskoga 048
20371 Novi Marof"
"Denis Lučić"	"Skalinska 7c/6
27365 Buzet"
"Petra Barać"	"Rokov perivoj 0b
30415 Čabar"
"Mijo Vuljak"	"Voćarsko naselje 1c
27389 Ludbreg"
"Erik Zrilić"	"Naumovac 1c/8
75383 Mali Lošinj"
"Mislav Radočaj"	"Voćarska 0c
17485 Sisak"
"Jozo Karagić"	"Pod zidom 8a
16875 Čabar"
"Kate Obratov"	"Kraljevec II. 7a
02984 Vrgorac"
"Toni Medved"	"Dvoranski prečac 35
48964 Grubišno Polje"
"Saša Obradović"	"Jurjevska 0
56198 Zaprešić"
"Alen Baksa"	"Ksaverska 2c/4
66494 Kraljevica"
"Denis Medved"	"Zvonarnička 5b/6
03886 Vrgorac"
"David Glavor"	"Kaptol 9c
00949 Dugo Selo"
"Mara Paradi"	"Šilobodov put 4a
45949 Rovinj"
"Tea Mofardin"	"Streljačka 7b
85414 Drniš"
"Valter Bošnjak"	"Cmrok 2a
05130 Kutina"
"Maja Rađenović"	"Opatička 11
58310 Pregrada"
"Martin Pavin"	"Petrova 735
93527 Delnice"
"Katarina Lovrić"	"Kožarska 9c
57107 Labin"
"Božena Tešija"	"Šestinski vijenac 50
00185 Sveta Nedelja"
"Barbara Vugdelija"	"Kurelčeva 9
97111 Kastav"
"Denis Milina"	"Klenovac 9c
45916 Krapina"
"Vera Tudor"	"Bakačeva 99
92111 Samobor"
"Roko Štrbac"	"Ksaver 1
82955 Pleternica"
"Igor Stojnić"	"Zelenjak 9b
07640 Split"
"Sandra Koški"	"Horvatovac 2
39384 Varaždinske Toplice"
"Antonija Milevoj"	"Krvavi most 8b/0
21074 Komiža"
"Dragica Obratov"	"Kamenita 3
23707 Čabar"
"Fuma Blagaić"	"Dubravkin 1b
05266 Oroslavje"
"Mislav Klarić"	"Magdićeve 7b
96533 Buzet"
"Kate Čulina"	"Višnjičke 1a/6
62990 Novska"
"Denis Ribić"	"Jezuitski trg 375
12910 Đurđevac"
"Ivan Mahnet"	"Remetska 9b
14124 Pleternica"
"Robert Stošić"	"Svibovac 9a/2
46274 Cres"
"Janko Ukić"	"Splavnica 3a/9
26835 Omiš"
"Barbara Čović"	"Slavujevac 0b/9
55842 Donji Miholjac"
"Lidija Marjanović"	"Tkalčićeva 5c
67550 Slatina"
"Mladen Županić"	"Perivoj srpanjskih žrtava 4a
91921 Kutjevo"
"Anđa Kovačić"	"Vijenac 14
95660 Dubrovnik"
"Matea Baničević"	"Kraljevec 02
91806 Rovinj"
"Mira Čizmić"	"Klenovac 8a/2
42418 Trilj"
"Denis Vladislavić"	"Hercegovačka 5b/7
15552 Oroslavje"
"Anita Mateša"	"Zelengaj 5a/7
08989 Klanjec"
"Elizabeta Petričević"	"Radnički dol 2b
08071 Umag"
"Ruža Ozimec"	"Lobmayerove 6c
41306 Daruvar"
"Ilija Cindrić"	"Kraljevečki odvojak 1b
65247 Delnice"
"Andrija Dolić"	"Zelengaj 3a
86065 Belišće"
"Mateja Golubić"	"Glogovac 8b/1
00263 Stari Grad"
"Zdravko Oršoš"	"Donje Prekrižje 2
88325 Kaštela"
"Mato Kučić"	"Bijenička 1a/8
12680 Labin"
"Andrija Gabud"	"Opatovina 674
30388 Komiža"
"Denis Volarić"	"Zeleni dol 1a
90147 Vis"
"Martin Baričević"	"Vinogradska 8c/3
80140 Trilj"
