"Albina Barišić","Jurkovićeva 7
44983 Rovinj" 
"Davor Martinić","Krvavi most 45
17563 Velika Gorica"
"Zdravko Marušić","Ilica 4
53099 Crikvenica"
"Slavica Barac","Zamenhofove 204
38282 Kutina"
"Ema Cvetnić","Donje Prekrižje 5b/0
85321 Otok"
"Barica Colić","Jurjevska 1a
79551 Novi Vinodolski"
"Mislav Kokorić","Klanac Grgura Tepečića 8a/6
56436 Novalja"
"Antun Balatinac","Zelenjak 4a/3
28849 Pregrada"
"Vesna Baričević","Nemetova 029
15329 Stari Grad"
"Joso Puškarić","Pod zidom 0a
10540 Trogir"
"Lorena Obradović","Lobmayerove 9a
60925 Korčula"
"Davor Prtenjača","Opatička 0a/7
98031 Opatija"
"Mato Božić","Goljak 3c/9
36939 Supetar"
"Mara Mužina","Gradec 8a
97431 Garešnica"
"Dražen Blažević","Rikardove 3a
38994 Prelog"
"Nevenka Maraš","Višnjica 3b
83490 Senj"
"Pero Miličić","Gračanska 2b/4
19388 Lipik"
"Tatjana Ćorić","Gradec 7a/4
64737 Zabok"
"Lovre Kršanac","Dolac 5b/5
21486 Poreč"
"Igor Jemrić","Mlinovi 6b
72432 Rijeka"
"Jozo Šinković","Zelenjak 3a
82867 Omiš"
"Davor Trbović","Kraljevečki odvojak 7b/2
13748 Koprivnica"
"Antonio Šurina","Tkalčićeva 5a
32834 Sinj"
"Bruno Ražov","Voćarsko naselje 8c/4
41263 Lipik"
"Snježana Barić","Kožarska 1a/1
98955 Obrovac"
"Ivan Turčinov","Kamenita 6b/8
65958 Rovinj"
"Barica Gudelj","Ksaverska 72
12741 Zaprešić"
"Lucija Strinavić","Dubravkin 6
63978 Hrvatska Kostajnica"
"Bara Smoković","Zmajevac 4b
65061 Vrbovsko"
"Nikolina Perišić","Klanac Grgura Tepečića 9a/9
52741 Solin"
"Julijana Požega","Mirogojska 0a
47358 Daruvar"
"Davor Trutanić","Vitezovićeva 5c
75049 Hvar"
"Tea Šantić","Kurelčeva 43
89355 Čazma"
"Jadranka Norac","Hercegovačka 8
93422 Komiža"
"Lucija Kujundžić","Orlovac 3b/2
34417 Trilj"
"Željka Rastija","Cmrok 8c/9
67931 Split"
"Luka Zanoški","Nova Ves 2b
43222 Sveti Ivan Zelina"
"Ika Božičević","Svibovac 1b
94301 Popovača"
"Nikolina Matokanović","Dubravkin 4a/3
17325 Vis"
"Vera Marušić","Voćarska 5b
06559 Sisak"
"Patrik Škoda","Visoka 342
82034 Požega"
"Davor Vladislavić","Šilobodov put 581
03761 Rovinj"
"Nika Bašnec","Zamenhofova 3c/3
29447 Krapina"
"Marica Kelić","Magdićeve 7c/6
25459 Donja Stubica"
"Elizabeta Bičak","Dolac 0a
83997 Virovitica"
"Vera Maršić","Vlaška 4
90848 Vodice"
"Lara Maloča","Mlinovi 4c/6
96947 Lipik"
"Zdenka Klanac","Kraljevec II. 54
34738 Vodice"
"Andrija Glavor","Vinogradska 2c/6
61666 Kutina"
"Tomislav Špika","Opatička 9c/6
12347 Biograd na Moru"
"Ivka Varga","Male 849
15345 Metković"
"Dejan Bačić","Gradec 8a/5
84116 Popovača"
"Lara Žužić","Bosanska 667
65245 Našice"
"Željka Vučković","Orlovac 7b
97615 Vinkovci"
"Hana Vozila","Horvatovac 3
71383 Vinkovci"
"Mirjana Bošnjak","Zmajevac 2b
48346 Hrvatska Kostajnica"
"Maja Prtenjača","Petrova 3c
46768 Imotski"
"Đurđica Stojčević","Medveščak 1b
02684 Vis"
"Lana Božičković","Grič 0c/0
84185 Vis"
"Jasna Tisaj","Klenovac 7a/0
77404 Ploče"
"Dalibor Mamić","Kaptol 4c/6
09517 Skradin"
"Dejan Begonja","Draškovićeva 22
25928 Jastrebarsko"
"Vesna Pongrac","Slavujevac 473
51453 Požega"
"Dario Rastija","Zavojna 095
64832 Rijeka"
"Elvis Rahija","Davor 3b/6
12801 Požega"
"Barica Novosel","Klenovac 2c/7
96640 Knin"
"Marijan Radić","Jezuitski trg 5c/9
38330 Komiža"
"Jadranka Vojković","Mletačka 49
06317 Vukovar"
"Dušan Kostanić","Dverce 0b/2
25378 Gospić"
"Milka Čović","Kapucinske 3c/8
09072 Garešnica"
"Anđela Smolić","Vinogradska 5b/1
98216 Rijeka"
"Dejan Crevar","Lisinskoga 1c
90895 Donji Miholjac"
"Miroslav Tuđa","Dvoranski prečac 3a
68781 Đakovo"
"Vlado Forjan","Ribnjak 2a
75288 Karlovac"
"Zlatko Andrijević","Visoka 58
89212 Belišće"
"Antonija Hrvojić","Šumski prečac 4a/8
34746 Ludbreg"
"Marta Marić","Klesarski put 2a
52208 Pregrada"
"Dražen Koški","Zmajevac 5c
41519 Bakar"
"Mislav Hadžić","Gupčeva zvijezda 5a/0
29985 Karlovac"
"Jelena Polić","Javorovac 0a
72940 Ogulin"
"Zdenka Modrić","Kaptol 1b
17479 Vrbovec"
"Dejan Crnković","Ružičnjak 6b
10954 Zadar"
"Maja Perak","Jadranska 946
08721 Kutjevo"
"Mare Ergotić","Tkalčićeva 8b/0
18431 Ozalj"
"Dejan Kaniški","Donje Prekrižje 1b
25588 Metković"
"Zvonko Rendulić","Kraljevečki ogranak 6
73103 Biograd na Moru"
"Mate Žagar","Vlaška 0b/9
17334 Knin"
"Lucija Bašić","Naumovac 6c
69018 Valpovo"
"Marijana Batrnek","Jurjeve 2
17246 Pazin"
"Ivan Bučanac","Donje Prekrižje 19
39401 Donja Stubica"
"Filip Skupnjak","Jezuitski trg 2
47187 Pakrac"
"Dejan Dautović","Ilica 8c
99366 Gospić"
"Milan Buršić","Lobmayerove 99
08796 Ludbreg"
"Vladimir Colić","Golubovac 91
86020 Buje"
"Joško Resanović","Perivoj biskupa Stjepana II. 047
61061 Krk"
"Juraj Tolj","Orlovac 4b
97099 Novigrad"
"Romano Šargač","Jurišićeva 9a/3
15798 Koprivnica"
"Tomo Bučanac","Ružičnjak 7c/0
00663 Skradin"
"Nikša Čulina","Naumovac 19
15634 Prelog"
"Elizabeta Rojnić","Jabukovac 7b
48884 Rijeka"
"Mira Ban","Radnički dol 6a
06122 Senj"
"Dejan Dončević","Kurelčeva 7a/7
17208 Pregrada"
"Dragica Gregov","Zvonarnička 1a
63055 Mursko Središće"
"Antonio Stiperski","Ružičnjak 9a/2
35902 Sinj"
"Romano Gabud","Radnički dol 4a
83736 Kraljevica"
"Mladen Karlović","Šilobodov put 4c
65380 Hrvatska Kostajnica"
"Julijana Vučetić","Vrazovo šetalište 2b
75547 Križevci"
"Anita Obratov","Nemetova 2a
59064 Pakrac"
"Nataša Lucić","Davor 69
62733 Kraljevica"
"Eva Maričević","Kozarčev vijenac 4
31952 Rovinj"
"Mia Pečur","Goljak 0c
05216 Novska"
"Dejan Horak","Opatovina 9b
59611 Sveta Nedelja"
"Mislav Sinožić","Vinogradska 7b
85288 Kutjevo"
"Mato Herout","Tošovac 4b/4
67981 Petrinja"
"Martina Seršić","Grič 9a/5
91458 Pag"
"Ika Hanžek","Zeleni dol 3a
53078 Rovinj"
"Mia Belošević","Bučarova 5b/8
17055 Pregrada"
"Lucija Popović","Klesarski put 1b
36125 Metković"
"Lovro Kučić","Jagodnjak 07
05438 Krapina"
"Marija Matas","Zeleni dol 2c/8
23637 Šibenik"
"Petra Kalanjoš","Draškovićeva 9b/4
48145 Samobor"
"Dejan Hrvojić","Skalinska 5c
15863 Čakovec"
"Vjekoslav Perić","Šestinski vrh 1c/3
01164 Ilok"
"Andrija Hranić","Goljačke 61
26180 Mali Lošinj"
"Mato Ladavac","Zavojna 9b
41270 Zlatar"
"Igor Benić","Višnjica 7c
65661 Pag"
"Petra Barić","Harmica 6b/5
61452 Senj"
"Roko Dragičević","Voćarska 3c/3
43482 Rovinj"
"Mario Zanoški","Zeleni dol 1c/3
01408 Ivanec"
"David Živić","Kamaufova 945
93138 Bjelovar"
"Lorena Božanović","Radnički dol 47
47879 Bjelovar"
"Dejan Kelić","Jagodnjak 1a/8
80842 Pula"
"Ane Botić","Bučarova 7a/4
34881 Labin"
"Đuro Polić","Opatička 3
28701 Vukovar"
"Lorena Šimunić","Višnjica 9c
49847 Krk"
"Suzana Dragobratović","Petrova 1a/0
89911 Benkovac"
"Marta Kuzmić","Jadranska 0c/4
47052 Prelog"
"Toni Begonja","Vijenac 968
94405 Zadar"
"Dominik Andrašek","Bučarova 14
69293 Bjelovar"
"Zdravko Oršolić","Orlovac 5b
34373 Duga Resa"
"Mia Alković","Dvoranski prečac 0
29094 Obrovac"
"Dejan Kralj","Jurjevska 2c
84217 Križevci"
"Davor Bošnjaković","Višnjica 0c/7
20828 Kraljevica"
"Mia Hanžek","Klesarski put 156
28380 Vrlika"
"Andrea Galešić","Ilica 9b
65456 Petrinja"
"Karlo Mofardin","Zavojna 368
39753 Virovitica"
"Juraj Vukušić","Šestinski vijenac 946
32619 Osijek"
"Robert Cukon","Pantovčak 02
15643 Cres"
"Biserka Sikirić","Vijenac 5b/9
91629 Koprivnica"
"Zdenka Milatić","Lisinskoga 87
45057 Hvar"
"Marija Friščić","Krležin gvozd 03
49289 Sisak"
"Dejan Kresonja","Nemetova 80
63195 Novi Vinodolski"
"Dejan Vozila","Kozarčev vijenac 4c/6
94701 Kastav"
"Danica Benčić","Jurjeve 2b
45921 Zagreb"
"Robert Miočić","Jezuitski trg 8c/6
58224 Trogir"
"Đurđica Horak","Vijenac 4a
42401 Rijeka"
"Matija Komljenović","Wickerhauserova 363
26797 Čazma"
"Elvis Babić","Nova Ves 786
62195 Ludbreg"
"Mirjana Sorić","Novi Goljak 4c/1
95770 Kraljevica"
"Valentina Jakovljević","Tuškanac 7a
12012 Našice"
"Dalibor Ušić","Nemetova 9
04413 Vodice"
"Dejan Lovrić","Horvatovac 3
73342 Novska"
"Branka Kramarić","Jadranska 5a/3
42753 Bakar"
"Iva Tomljanović","Mesnička 31
65256 Opatija"
"Antun Marković","Opatovina 287
25994 Umag"
"Davor Lelas","Mašekova 92
54099 Beli Manastir"
"Nada Amidžić","Bijenička 9b
44079 Novi Vinodolski"
"Lovre Vorkapić","Goljačke 03
51111 Vinkovci"
"Valter Peterlik","Gradec 6c/3
32164 Čakovec"
"Stjepan Živić","Kraljevec II. 9c
61394 Omiš"
"Mateo Mihaljević","Jagodnjak 8b/8
90156 Pleternica"
"Dejan Lukša","Bučarova 8c
39913 Gospić"
"Jozo Risek","Horvatovac 3b/7
16611 Obrovac"
"Željka Maraš","Nemetova 398
24954 Nova Gradiška"
"Draga Stančin","Šestinski vijenac 0b
21654 Opatija"
"Zorka Kadija","Podgaj 4a/3
49940 Šibenik"
"Matej Mišković","Kamaufova 87
98061 Crikvenica"
"Nikša Cafuk","Bosanska 170
34645 Biograd na Moru"
"Biljana Brezjan","Kurelčeva 2b
89830 Zaprešić"
"Lovre Grba","Jagodnjak 2
51817 Karlovac"
"Anica Šibalić","Zelenjak 3c
98157 Sveti Ivan Zelina"
"Dejan Peša","Bakačeva 0a/6
38505 Pakrac"
"Anica Kovač","Mlinske 358
04436 Beli Manastir"
"Ane Orbanić","Wickerhauserova 5a
69486 Zabok"
"Vedran Stražičić","Istarska 12
63708 Ploče"
"Antonio Ražov","Glogovac 2a
65068 Sinj"
"Slavica Hanžek","Opatička 4a
02364 Opuzen"
"Lana Sršen","Klanac Grgura Tepečića 4a/7
31253 Ploče"
"Ane Mirosavljević","Kurelčeva 7c
14845 Orahovica"
"Kristina Sokač","Medveščak 1b
42008 Nova Gradiška"
"Đurđica Magić","Kozarčev vijenac 2a/7
46451 Šibenik"
"Dejan Plantak","Jurjeve 674
74830 Skradin"
"Milan Barbir","Mesnička 4a/1
51654 Trogir"
"Đurđica Lešić","Mirogojska 4b
11341 Čakovec"
"Nenad Sedlar","Kamaufova 4b
58808 Knin"
"Jakov Šantić","Dubravkin 69
93966 Orahovica"
"Danijela Zanoški","Cmrok 5b/8
36293 Supetar"
"Lidija Ribić","Harmica 537
30914 Virovitica"
"Toni Maretić","Voćarska 3
81605 Kraljevica"
"Robert Prtenjača","Voćarsko naselje 49
74999 Glina"
"Barica Ivandić","Rokov perivoj 3b
45714 Pregrada"
"Dejan Štefanec","Srebrnjak 9a
71041 Varaždinske Toplice"
"Alen Hećimović","Jabukovac 783
92944 Split"
"Janko Kolić","Kaptol 5a/6
85341 Požega"
"Karlo Erceg","Šilobodov put 8c/3
04738 Đurđevac"
"Dražen Licul","Kamaufova 2a
06339 Vodnjan"
"Mare Horak","Višnjica 1b
70562 Našice"
"Fran Zmaić","Perivoj srpanjskih žrtava 2c/3
45911 Trogir"
"Rozalija Šargač","Srebrnjak 3c
55693 Otočac"
"Božica Branković","Mirogojska 2a/3
65922 Čakovec"
"Domagoj Terzić","Svibovac 918
07561 Sinj"
"Denis Cindrić","Jabukovac 0c
64399 Velika Gorica"
"Matea Poljak","Lobmayerove 1a
89935 Ilok"
"Štefanija Matokanović","Kamenita 3c
49331 Bjelovar"
"Jadranka Legović","Visoka 0a/5
20969 Oroslavje"
"Željka Borojević","Jurišićeva 3b
75525 Valpovo"
"Marina Šimunić","Klanac Grgura Tepečića 5
80753 Donji Miholjac"
"Ane Mofardin","Orlovac 4a
63143 Vodnjan"
"Marko Grubišić","Zamenhofove 6a
79704 Biograd na Moru"
"Anita Eterović","Krležin gvozd 9c/7
89579 Sisak"
"Miroslav Grgić","Orlovac 4b
00183 Glina"
"Denis Komljenović","Dverce 9b
10511 Vodice"
"Slavko Cvenić","Svibovac 3c/9
75751 Vodnjan"
"Toni Grgurić","Svibovac 6b/3
83764 Novska"
"Snježana Keleković","Orlovac 2
30311 Novigrad"
"Marijana Hranj","Svibovac 7b
88775 Supetar"
"Igor Škrtić","Perivoj biskupa Stjepana II. 0
94128 Nova Gradiška"
"Terezija Marjanović","Mala 7a
05293 Labin"
"Saša Matahlija","Paunovac 27
14220 Poreč"
"Jele Šipić","Bakačeva 3a/1
54922 Dubrovnik"
"Slavica Rakuljić","Dvoranski prečac 28
37289 Petrinja"
"Denis Kovaček","Kraljevec 0b
13885 Sveti Ivan Zelina"
"Lucija Godinić","Paunovac 1
03595 Nin"
"Milena Lešković","Krvavi most 7a
53108 Sveti Ivan Zelina"
"Dora Radelić","Zelenjak 4a
04803 Duga Resa"
"Rudolf Eršek","Zamenhofova 9b
86319 Ivanić-Grad"
"Albina Čižmešija","Gornje Prekrižje 3
56941 Omiš"
"Tatjana Varga","Petrova 29
12690 Kastav"
"Kate Tomić","Skalinska 981
66634 Ivanec"
"Roko Barešić","Vrazovo šetalište 3a/6
87552 Požega"
"Martina Miočić","Orlovac 4c/2
89507 Požega"
"Denis Kramarić","Tošovac 009
74534 Đakovo"
"Anđela Ivšić","Kamaufova 9b/0
15443 Trilj"
"Jakov Kunac","Goljačke 8c/6
27215 Kutjevo"
"Albina Stupalo","Perivoj srpanjskih žrtava 3a/0
40082 Pregrada"
"Ana Lasić","Glogovac 2a
68097 Senj"
"Ljubica Maraš","Tošovac 567
62949 Čazma"
"Biserka Roso","Šumski prečac 6c
82897 Novska"
"Biljana Čop","Strossmayerovo šetalište 018
66485 Slavonski Brod"
"Branko Topić","Rikardove 3c
70402 Krk"
"Štefica Fuček","Nemetova 0a/2
45459 Krk"
"Denis Perčić","Golubovac 5b
56952 Split"
"Mate Bukvić","Orlovac 1b
52261 Senj"
"Ema Šeparović","Kraljevec II. 9a/7
09191 Daruvar"
"Nikša Mihalić","Male 30
78427 Cres"
"Sara Maloča","Mlinarska 653
52710 Bakar"
"Mario Hodak","Klenovac 0a/2
39110 Korčula"
"Marta Puharić","Novi Goljak 963
24456 Valpovo"
"Zdenka Topić","Dubravkin 3b/2
06831 Cres"
"Bruno Klasić","Medveščak 6b
40602 Split"
"Luka Hodak","Mesnička 4b/0
26114 Valpovo"
"Denis Peša","Opatička 5c
38183 Velika Gorica"
"Marija Bijelić","Jabukovac 7c
06685 Požega"
"Božo Pavin","Šumski prečac 60
29803 Čakovec"
"Đuro Modrić","Kraljevečki odvojak 3b/7
62791 Donji Miholjac"
"Nikolina Jović","Cmrok 0b
30053 Zlatar"
"Vjekoslav Mušćet","Jezuitski trg 1b
02166 Orahovica"
"Toni Jurjević","Jurišićeva 1b
04141 Buzet"
"Biljana Barić","Vončinina 236
77906 Ivanec"
"Tomislav Matošević","Goljak 6a
34631 Virovitica"
"Mia Pavlović","Glogovac 680
93880 Zadar"
"Denis Pikec","Podgaj 7c
82513 Duga Resa"
"Mara Petrović","Mala 7c/4
98087 Otok"
"Zora Peruško","Nemetova 6a
48031 Vrlika"
"Rudolf Bušljeta","Mirogojska 9a/9
10851 Rovinj"
"Ane Grgurić","Harmica 5a/5
08716 Mali Lošinj"
"Suzana Medić","Arnoldova 2a/3
09942 Mursko Središće"
"Niko Halambek","Kamenita 0b/1
40072 Ivanec"
"Lana Barnaba","Rokova 035
50319 Trogir"
"Željko Vidović","Jurjeve 684
56723 Varaždin"
"Ilija Bernardić","Remetska 8
01607 Oroslavje"
"Denis Zmaić","Šestinski vijenac 2a/8
56976 Đakovo"
"Duje Sabol","Dubravkin 994
32351 Buzet"
"Matej Guštin","Strossmayerovo šetalište 808
04857 Poreč"
"Tea Lojen","Goljačke 0c
72327 Cres"
"Matej Drandić","Kožarska 0a/8
47808 Skradin"
"Milena Amanović","Rikardove 9c
04709 Križevci"
"Dragan Žabjačan","Magdićeve 6a
66521 Oroslavje"
"Leon Dautović","Lobmayerove 5a
97711 Nin"
"Matea Sladonja","Čačkovićeva 22
98655 Pag"
"Vera Cvenić","Skalinska 325
25289 Rab"
"Dino Batrac","Kraljevec 4a
82944 Vrlika"
"Jele Drandić","Pantovčak 96
44475 Makarska"
"Jana Krznarić","Harmica 1c/5
39144 Ivanec"
"Jakov Dončević","Jurjeve 2a/1
74219 Karlovac"
"Zvonko Pavičić","Kraljevec II. 5c/6
77249 Cres"
"Lucija Štefanec","Dvoranski prečac 3a
09020 Kutina"
"Dejan Jugovac","Zeleni dol 2a
77995 Prelog"
"Ane Bušljeta","Bakačeva 5c
21916 Duga Resa"
"Marko Skupnjak","Wickerhauserova 9a/2
61919 Slunj"
"Terezija Meić","Kraljevec II. 7a/4
46768 Omiš"
"Dino Boljkovac","Ilica 2b
32737 Vis"
"Manda Lojen","Ksaver 0b/6
69206 Dugo Selo"
"Zora Orbanić","Streljačka 4b
04579 Samobor"
"Maria Simić","Pantovčak 361
61324 Dubrovnik"
"Mia Bogdan","Tošovac 7b
14991 Ivanić-Grad"
"Franciska Žužić","Hercegovačka 5b/8
45863 Benkovac"
"Jasminka Grgić","Šilobodov put 2c/5
31357 Prelog"
"Nikolina Stojnić","Draškovićeva 7c
96341 Klanjec"
"Karla Tešija","Dvoranski prečac 2c/7
89594 Otok"
"Sanja Grubišić","Visoka 5
39436 Imotski"
"Dino Horvatić","Cmrok 4b
62531 Pregrada"
"Milica Dizdar","Šestinski vrh 5b
31098 Grubišno Polje"
"Hrvoje Trutanić","Krležin gvozd 46
04270 Karlovac"
"Gordana Šokčević","Dolac 8a
32134 Donji Miholjac"
"Ivica Komar","Strossmayerovo šetalište 7a/9
49437 Benkovac"
"Vlado Žic","Slavujevac 7
73352 Novigrad"
"Zora Šimunović","Istarska 0
64186 Otočac"
"Lidija Grgurić","Šumski prečac 0c/7
33660 Makarska"
"Boris Begonja","Klenovac 8b
34265 Pregrada"
"Bara Bukvić","Zavojna 7a
71324 Lepoglava"
"Dino Juretić","Grič 9c/3
02838 Orahovica"
"Kate Kligl","Podgaj 7
20192 Zagreb"
"Lorena Pešić","Gračanska 5c
40209 Bakar"
"Mate Žufika","Glogovac 5
78208 Obrovac"
"Jure Gligora","Mašekova 5c/6
06523 Stari Grad"
"Viktor Mamić","Demetrova 222
04087 Cres"
"Jakov Maretić","Kozarčev vijenac 8b
62972 Hvar"
"Biljana Vuljak","Zelengaj 7b
94558 Belišće"
"Rozalija Lojen","Pod zidom 6c
20886 Dubrovnik"
"Ivo Rađenović","Visoka 6a
10382 Sisak"
"Dino Kurtoić","Kamenita 7c/5
29400 Đurđevac"
"Dalibor Pavelić","Zelenjak 402
60899 Makarska"
"Ika Baljak","Vitezovićeva 795
62975 Nin"
"Anton Mihić","Kamenjak 7b/4
31188 Kraljevica"
"Anton Vuk","Kozarčev vijenac 42
90193 Pula"
"Rudolf Tisaj","Višnjica 876
41766 Kraljevica"
"Marina Radović","Jurkovićeva 041
72720 Pag"
"Albina Bogadi","Medveščak 2b/2
10040 Ogulin"
"Mara Cvrtila","Svibovac 0a/5
30321 Virovitica"
"Ivana Poslon","Kaptol 92
02066 Komiža"
"Dino Marinković","Zelenjak 7a/8
38814 Mali Lošinj"
"Stana Bobanović","Šestinski vrh 9b/5
29959 Samobor"
"Mateja Horvatić","Nemetova 9
69670 Hvar"
"Joško Škunca","Srebrnjak 6b
24583 Osijek"
"Siniša Živković","Radnički dol 376
01322 Zabok"
"Milica Vrhovec","Kraljevec 6b/1
53528 Delnice"
"Marija Zgorelec","Opatička 3c/6
61032 Pregrada"
"Katica Hodak","Rokov perivoj 9a/6
65749 Gospić"
"Katica Orešković","Streljačka 051
02928 Varaždinske Toplice"
"Mare Bošnjak","Čačkovićeva 7c/4
00235 Slavonski Brod"
"Domagoj Bukvić","Ružičnjak 4a
75870 Opuzen"
"Ivana Kauzlarić","Kraljevečki odvojak 8b/5
97329 Daruvar"
"Igor Petrović","Magdićeve 3b/7
78621 Benkovac"
"Štefanija Pavičić","Tkalčićeva 1c/1
85940 Poreč"
"Aldo Pedišić","Šestinski vijenac 5a
25747 Orahovica"
"Ilija Palić","Zelenjak 0b
57869 Pakrac"
"Filip Buršić","Rokova 8c/5
32571 Vodnjan"
"Maja Banovac","Kraljevečki ogranak 7
49544 Korčula"
"Ilija Nimac","Skalinska 868
00460 Pula"
"Marica Ergotić","Dolac 5c
82464 Karlovac"
"Domagoj Horvatinec","Dverce 0b
63112 Novalja"
"Josipa Jonjić","Bučarova 3
73960 Požega"
"Roko Ljubetić","Klanac Grgura Tepečića 46
51098 Sinj"
"Kristina Barnaba","Goljačke 4c
66308 Slatina"
"Lucija Banovac","Jurkovićeva 665
47745 Samobor"
"Milena Matulin","Grič 158
47922 Makarska"
"Franciska Županić","Demetrova 2a/4
31744 Imotski"
"Zorka Matošević","Bučarova 0c
53761 Klanjec"
"Erik Maletić","Gradec 4c/6
68102 Donja Stubica"
"Marijan Hadrović","Arnoldova 5b/5
58973 Beli Manastir"
"Domagoj Jakopović","Rockefellerova 2a/3
71067 Grubišno Polje"
"Franjo Trgovčić","Gornje Prekrižje 9c
49847 Opatija"
"Pero Amidžić","Bučarova 9b/7
43803 Trilj"
"Joso Carić","Glogovac 955
01975 Đakovo"
"Joso Branković","Višnjičke 2b
04450 Opatija"
"Draga Dragojević","Voćarska 9b
61795 Nova Gradiška"
"Eva Špika","Nemetova 428
58685 Kutina"
"Ivo Krčelić","Opatička 28
71706 Slavonski Brod"
"Mirjana Orbanić","Draškovićeva 9b
74101 Opuzen"
"Ane Raspor","Gračanska 141
92681 Donja Stubica"
"Domagoj Jurjević","Dubravkin 94
39067 Komiža"
"Ika Borak","Klesarski put 5
14495 Otok"
"Eva Cvetnić","Zamenhofova 7b
85742 Ogulin"
"Bruno Perković","Medvedgradska 7a/3
64577 Makarska"
"Štefica Lisica","Ružičnjak 3a/2
48350 Vrlika"
"Fuma Galović","Palmotićeva 5b
91979 Osijek"
"Maja Legović","Draškovićeva 9c
45745 Đurđevac"
"Mihael Vincetić","Zavojna 2c/8
06529 Bakar"
"Siniša Čupić","Perivoj srpanjskih žrtava 49
85603 Vrbovec"
"Marina Katić","Svibovac 1b
88262 Đurđevac"
"Domagoj Karmelić","Bakačeva 7b/7
33755 Pakrac"
"Vlado Radović","Opatička 6a
69162 Zabok"
"Dražen Miše","Radnički dol 7a/3
11500 Našice"
"Alen Žic","Šilobodov put 7a/0
71969 Crikvenica"
"Slavko Žugec","Jezuitski trg 2
41282 Opuzen"
"Biserka Drakulić","Vlaška 1a
91534 Zlatar"
"Dragan Cvetnić","Strossmayerovo šetalište 9
76402 Poreč"
"Mate Blažević","Magdićeve 9
53098 Kaštela"
"Anita Đurašević","Šilobodov put 0c
07403 Mali Lošinj"
"Mia Pongrac","Ksaverska 9c/6
76989 Petrinja"
"Domagoj Majstorović","Draškovićeva 84
64975 Šibenik"
"Tea Krpan","Šumski prečac 3c/6
04848 Ivanić-Grad"
"Josip Malnar","Zelengaj 8b/5
15357 Varaždinske Toplice"
"Dario Skupnjak","Mlinske 0c/8
89594 Solin"
"Antonija Medved","Vrazovo šetalište 9a
93360 Vukovar"
"Martina Bunić","Višnjica 2a/2
54535 Našice"
"Sara Surać","Srebrnjak 7c
30528 Vodice"
"Tomislav Markovac","Jabukovac 7b/1
59457 Vrlika"
"Vera Kelečić","Vrazovo šetalište 1a
49485 Buje"
"Josipa Skupnjak","Višnjičke 328
16777 Trogir"
"Domagoj Matijević","Male 6
37144 Garešnica"
"Leon Cvetković","Ksaverska 9c
93070 Kraljevica"
