"Άγγελος Βουτσελας","Ναούμ 22,
ΤΚ 25983 Λαμία" 
"Στεφανία Καραογλάνη","Πλ. Ταξιάρχου 911,
52500 Άμφισσα"
"Στέλλιος Μιχαλάκης","Λυδίας 994,
ΤΚ 97115 Ζάκυνθος"
"Ορφέας-Φανούριος Μπουρλής","Χριστοδούλου 50,
57744 Τρίκαλα"
"Θεοπίστη Χιωτίδου","Ραιδεστού 10,
88173 Σάμος"
"Δημοσθένης Μητρίδης","Πινακατών 2,
97203 Βόλος"
"Κλαίρη Μπατζάνη","Πλατεία Αφετών 317-536,
769 71 Βόλος"
"Κλήμης Βουτσελας","Αγροσυκέας 81,
84416 Δράμα"
"Λάζαρος Κωστούλας","Πλατεία Μικροχωρίου 0,
ΤΚ 048 05 Κατερίνη"
"Δήμος Δάρας","Φραγκιαδάκη 32,
14229 Πρέβεζα"
"Πασχάλης Παληός","Αρχιλόχου 3,
ΤΚ 709 16 Καλαμάτα"
"Νικολέτα-Μάνθα Μαυρίδη","Βασιλοπούλου 1,
ΤΚ 97199 Κατερίνη"
"Μαργιέττα-Θεοδότη Καρβέλη","Πλατεία Σιταρά 56,
ΤΚ 631 70 Μυτιλήνη"
"Άριστος Γαβριδάκης","Πλατεία Κύμης 8,
ΤΚ 42222 Λαμία"
"Λαυρέντιος Ανδριανός","Λεωνιδίου 24,
39768 Θεσσαλονίκη"
"Δημοσθένης Ορφανάκης","Αγίου Λουκά 08,
84858 Κατερίνη"
"Σιρανούς Νικητόπουλος","Πεδινών 14-79,
62765 Ξάνθη"
"Τιμοθέα-Μαλαμάτη Μπότζα","Πάροδος Σαλμώνης 69-09,
42230 Πολύγυρος"
"Χριστόφορος Δινεζάκης","Πλατεία Καραβοστάμου 818,
ΤΚ 63061 Κέρκυρα"
"Κανέλλα Αντωνίου","Καλογέρου 5,
ΤΚ 28495 Δράμα"
"Ιερεμίας Παρούσης","Παλαιοκκλησίου 76-93,
ΤΚ 02398 Δράμα"
"Άριστος-Μαρτίνος Καλαπόδης","Γαλανοπούλου 0,
ΤΚ 52602 Ιωάννινα"
"Ελπίς Σιμιτζή","Κρήνης Πατρών 3,
442 59 Ναύπλιο"
"Κοραλία Μπύρου","Πλατεία Πλατυστόμου 68-93,
ΤΚ 29513 Κόρινθος"
"Σοφοκλής Φραντζής","Δρίμιτσας 1,
ΤΚ 92058 Ξάνθη"
"Δημοσθένης-Ιωσήφ Γκαλίου","Τσιομπάνη 88,
ΤΚ 063 33 Έδεσσα"
"Πέτρος Κουβάς","Βουτσινά 08-25,
ΤΚ 60084 Καρπενήσι"
"Ζήνων Παπαστεργίου","Μπύρου 578,
08961 Ναύπλιο"
"Λεμονής Μαντάς","Βούτση 34,
41101 Πάτρα"
"Ιγνατία Λεπίδα","Σερβωτών 7,
ΤΚ 73787 Λιβαδιά"
"Μίνωας Τσιαμίτας","Πολυλόφου 8,
ΤΚ 39844 Ερμούπολη"
"Ναπολέων Κουρελής","Αναργύρων 60,
ΤΚ 699 90 Πάτρα"
"Ιππόλυτος Σκορδάκης","Σελλίου 888,
91322 Κοζάνη"
"Δάφνη Χρυσανθακοπούλου","Σκριπερού 21,
94563 Κατερίνη"
"Αγαθόνικος Θεολόγος","Ναυπακτίας 13,
27592 Σέρρες"
"Δημούλα Στεφάνου","Συκά Υπάτης 4,
708 30 Ηγουμενίτσα"
"Θεμιστοκλής Μπερμπατιώτης","Σπηλίου 62,
58012 Ζάκυνθος"
"Διογένης Κουμιώτης","Παχτουρίου 722,
ΤΚ 311 10 Κομοτηνή"
"Πολυχρονία Μακροπούλου","Πλ. Καστρίου 395-295,
69287 Σάμος"
"Υπαπαντή-Γαβριέλλα Λιολιοπούλου","Σταμούλη 96,
ΤΚ 775 95 Άρτα"
"Τσαμπίκα Παράνου","Πάροδος Παρδαλίτσης 639,
ΤΚ 23272 Αθήνα"
"Μαριάνθη-Ποθητή Χονδρούδη","Μπιμπίκα 2,
ΤΚ 807 53 Κέρκυρα"
"Χαρίκλεια Διαμαντοπούλου","Ζαφείρη 529,
880 42 Γρεβενά"
"Ευμένιος Ζιώγος","Πυργαδικίων 04-72,
850 79 Αργοστόλι"
"Αχιλλέας Κασούτσας","Μύρθιου 3,
ΤΚ 984 41 Τρίπολη"
"Δημούλα Τσουράκη","Σκλίβανης 546,
ΤΚ 174 34 Ερμούπολη"
"Λευκοθέα Κατσιλλή","Μυρτοφύτου 5,
012 29 Ηγουμενίτσα"
"Ιάσονας Ζευγίτης","Κισσού 3,
406 10 Αργοστόλι"
"Άλκηστις Χριστοφόρη","Κλεινάκη 36,
910 82 Άρτα"
"Αδάμ Κατιρτζής","Κεφαλόβρυσης 0,
ΤΚ 06331 Κατερίνη"
"Ευάγγελος-Βάιος Μητρόπουλος","Αχλαδοκάστρου 507,
ΤΚ 75117 Αγ. Νικόλαος"
"Αρχέλαος-Λάσκαρης Πολυχρονόπουλος","Φωτακοπούλου 31-86,
897 54 Γρεβενά"
"Βενιαμίν-Φίλιππος Χρυσοβέργης","Λεωφόρος Σιταγρών 0,
30833 Ναύπλιο"
"Ιωσηφίνα Ρέππα","Πόμπιας 81,
67750 Καρπενήσι"
"Ταξιάρχης Βλαχονικολέας","Μαγουλίτσης 46-65,
46355 Ρέθυμνο"
"Δημούλα-Χαρά Μπλιατσίου","Νάσσου 509,
ΤΚ 564 84 Αργοστόλι"
"Στυλιανός Καρατζαφέρης","Πάρ. Φοινίκης 0,
074 43 Σπάρτη"
"Χρυσόστομος-Πολυχρόνιος Γαρυφαλίδης","Βάλτας 31,
326 73 Τρίκαλα"
"Αμφιτρίτη Κουτσούμπη","Πλατεία Διλόφου Λαρίσης 29,
49316 Κόρινθος"
"Πολυκράτης Κωστούλας","Λάδης 73,
12119 Καρπενήσι"
"Γκόλφω Βαζούρα","Καμενίτσης 28-00,
ΤΚ 66726 Βόλος"
"Μαγδαληνός Τσικνιάς","Μακροταντάλου 11,
39515 Γρεβενά"
"Καλλιρόη Θωμάκου","Μαρμάρου 51,
81234 Χανιά"
"Αγλαΐα-Ρέα Στούμπου","Πουλλίτσης 92,
35504 Μυτιλήνη"
"Κίμων Χουδαλάκης","Κουτίφαρη 7,
ΤΚ 10638 Λαμία"
"Δημόκριτος Αγγελόπουλος","Πάρ. Δημαρίου 07,
ΤΚ 32015 Καρδίτσα"
"Ιγνάτιος-Φώτιος Πολυχρονόπουλος","Μαργαρίτη 593,
05826 Κιλκίς"
"Ερωτόκριτος Μπαλταγιάννης","Κουτσίου 167-387,
34672 Χίος"
"Άριστος Βούλκος","Πλάκας 05,
085 75 Ναύπλιο"
"Αντωνία Αραπάκη","Λεωφ. Σούγιας 13-67,
43834 Καρδίτσα"
"Μαργαρίτα Παρασκευά","Βισταγής 9,
515 80 Κομοτηνή"
"Τατιάνα Γαβριήλ","Γκαλίου 72,
ΤΚ 692 14 Λιβαδιά"
"Αγλαΐα-Παρέσσα Παπατζήκα","Πλατεία Ρίζου 82,
29017 Σάμος"
"Στυλιανή Διοπούλου","Μαχαιρών 697-588,
385 46 Κιλκίς"
"Ξανθή Φρονιμάκη","Βλάστης 5,
69518 Κιλκίς"
"Δημόκριτος Γιατρομανωλάκης","Σκινέ 4,
25072 Άρτα"
"Στεργιανή Φαρμάκη","Μηλιάδου 1,
ΤΚ 611 61 Κέρκυρα"
"Αγλαΐα Σιούτα","Πλ. Αύρας 74,
ΤΚ 410 31 Καρπενήσι"
"Αταλάντη Κανελλή","Πάρ. Πρασιδακίου 31,
018 67 Ιωάννινα"
"Θεόδουλος Γεωργακόπουλος","Καβάλου 506,
ΤΚ 868 61 Καρπενήσι"
"Θεμιστόκλεια Βαμβουκάκη","Πραμάντων 365,
265 70 Πάτρα"
"Ήλια Χρυσάφη","Αμφίσσης 049-847,
92193 Πάτρα"
"Φιλήμων-Ησαΐας Ζουλούμης","Μήλου 18,
199 59 Μεσολόγγι"
"Ακρίτας Σκαρλάτος","Σιταίνης 90,
33956 Ζάκυνθος"
"Ανάργυρος-Δαμασκηνός Μωρός","Δαμασκηνιάς 64,
72240 Καρπενήσι"
"Δημόκριτος Ζαραφέτας","Λεωφ. Άκρης 8,
ΤΚ 519 74 Άμφισσα"
"Λαοκράτης Γιαννάκης","Ξανθοχωρίου 0,
ΤΚ 38815 Ρέθυμνο"
"Αριστέα Κεφαλή","Κατσαντώνη 1,
87111 Θεσσαλονίκη"
"Δήμητρα Κυρούδη","Ροδοτοπίου 6,
ΤΚ 04431 Χαλκίδα"
"Μαυροειδής Γάτος","Ανάβατου 80,
754 00 Τρίπολη"
"Γραμματική Μουτζούρη","Λεωφ. Αντικαλάμου 3,
ΤΚ 275 87 Ξάνθη"
"Ασκληπιός Μανιώτης","Κοκκωτών 4,
ΤΚ 21120 Ξάνθη"
"Θεολόγος Καμποσάκης","Σιριλίου 927,
34494 Αγ. Νικόλαος"
"Στυλιανή Στούμπου","Ναούμ 272,
764 74 Καστοριά"
"Ρεβέκα Γιαννοπούλου","Δασωτού 173-488,
92662 Αλεξανδρούπολη"
"Δημόκριτος Λιανάκης","Πλ. Μεσολουρίου 793-092,
675 85 Ερμούπολη"
"Μελπομένη Γαβριηλίδη","Παλαιού Φαλήρου 70,
453 17 Ζάκυνθος"
"Σαλώμη Κατσούλα","Λυρή 44,
25245 Καστοριά"
"Τιμολέων Προβής","Πατινιωτάκη 83,
ΤΚ 814 77 Αθήνα"
"Ματίνα Τσιούπρα","Πάρ. Διοδίων 0,
ΤΚ 67241 Καρδίτσα"
"Διονυσία Πανταζή","Βάρδας 663,
ΤΚ 03034 Ιωάννινα"
"Πελοπίδας Κελλάρης","Πάροδος Μαράθου 28-55,
ΤΚ 830 61 Πάτρα"
"Μελίνα Παπακώστα","Γυμνοτόπου 18,
ΤΚ 34318 Ξάνθη"
"Μερκούριος Λάππας","Βέλου 6,
ΤΚ 973 84 Λαμία"
"Λαέρτης Ανδρεανίδης","Καρουσάδων 90,
007 09 Αθήνα"
"Δημόκριτος Πολυχρονόπουλος","Αγίου Ιωάννου Μυλοποτάμου 24,
ΤΚ 535 11 Καβάλα"
"Δημοσθένης Αργυρής","Ράδου 70,
884 70 Λαμία"
"Ευπραξία Πλατάκη","Σκεπαστής 89-02,
ΤΚ 54618 Χίος"
"Καλλιόπη-Ματρώνη Κουλαουσάρη","Καμποχωρίου 9,
ΤΚ 27193 Κατερίνη"
"Μακάριος Νάστατος","Βερενίκης 70,
13797 Τρίκαλα"
"Αλεξάνδρα Φωλιά","Άλλης Μεριάς 9,
98219 Καστοριά"
"Ανδρόνικος Πετριτάκης","Σαϊδόνας 30-87,
ΤΚ 08812 Αγ. Νικόλαος"
"Σεβαστιανός Βλησαρούλης","Κεσκίνη 21-21,
ΤΚ 79190 Σάμος"
"Νερατζιά Μαγούλα","Ματσουκίου 70,
073 65 Ιωάννινα"
"Θεοφάνης Γιατρομανωλάκης","Λεωφ. Παλαιοκήπου 60,
ΤΚ 24023 Πύργος"
"Δημόκριτος Τραχίλης","Δελερίων 217-169,
90890 Κόρινθος"
"Πολύκαρπος Ορφανάκης","Πλατάκη 94,
305 43 Ηγουμενίτσα"
"Ροδαμάνθη Θεοδοσίου","Ορφανίδου 1,
905 60 Άμφισσα"
"Βησσαρίων-Φώτιος Λάτσκος","Λεωφόρος Πετραλώνων 9,
ΤΚ 065 69 Βέροια"
"Μαλαματένια Γούλα","Καρανασίου 2,
ΤΚ 21423 Σπάρτη"
"Παντελεήμων Πατμανίδης","Δροσιάς 936,
ΤΚ 287 21 Καστοριά"
"Φαίδων Ισέρης","Εμπάρου 043,
ΤΚ 321 39 Χαλκίδα"
"Μελίνα-Γραμματική Μάλαμα","Λεωφόρος Πρασιάς 87,
ΤΚ 35610 Ηράκλειο"
"Ιερώνυμος Σταυριανός","Λαμψάκου 22,
351 24 Καρδίτσα"
"Βικτωρία-Θεοφύλακτη Καρανασίου","Ξυλαγανής 66-89,
ΤΚ 326 55 Χαλκίδα"
"Διαλεκτή Μιχαλάρου","Ξυλικών 0,
26489 Καρδίτσα"
"Μακρίνα Δερλώπα","Καταρράκτου 09,
30426 Κιλκίς"
"Ελευθέριος-Γρηγόριος Αλαφάκης","Ντζιαβίδα 0,
869 51 Λευκάδα"
"Ακρίτας Μπαλάσκας","Δραπανιά 51,
ΤΚ 57457 Άμφισσα"
"Ζήνων Γιαννακουδάκης","Μαργιά 0,
77688 Άμφισσα"
"Γεράσιμος Τσαραμιάδης","Μαργαρίτη 492,
61799 Κιλκίς"
"Σαμουήλ Τσιρώνης","Πλατεία Πελάγους 7,
099 79 Χαλκίδα"
"Αίας Νικολόπουλος","Πηγαδίου 7,
884 88 Λιβαδιά"
"Μηλιά Ζαχαρίου","Μπολατίου 23,
71233 Τρίκαλα"
"Ιγνατία Ραυτοπούλου","Λεωφ. Κεραμιδιάς 9,
22427 Γρεβενά"
"Διαμάντω Κετεσίδου","Λοφαρίου 46,
11009 Ναύπλιο"
"Μικές Ντόβας","Πάροδος Πετρίου 31,
55892 Βόλος"
"Φανουρία Θεοδωροπούλου","Μικροκάμπου 2,
ΤΚ 64444 Καρπενήσι"
"Περικλής Πικρός","Κοκκινορράχης 874,
144 68 Χαλκίδα"
"Ασημάκης Τσαλαμάνδρης","Λεβιδίου 8,
ΤΚ 617 63 Χίος"
"Σάββας Λουπασάκης","Μοναχιτίου 111-468,
74251 Ρέθυμνο"
"Πέτρος Νασίκας","Μαρτίνου 46,
979 52 Γρεβενά"
"Ιουλία Κατσιμάλη","Βαθέως 285-030,
ΤΚ 550 23 Καστοριά"
"Σαββούλα-Ευτέρπη Δαγλή","Μεγάλης Δοξιπάρας 99,
16348 Ναύπλιο"
"Ιορδανία Βαρουτίδου","Ζαχαρίου 856-300,
ΤΚ 376 14 Ζάκυνθος"
"Διαμαντής Καραΐσκος","Αγίου Ιωάννου Μυλοποτάμου 07-25,
ΤΚ 59438 Βέροια"
"Ιάσων Καρούντζος","Λεωφ. Αμπελακιωτίσσης 0,
067 63 Λευκάδα"
"Αμβρόσιος Αρχαυλής","Λυττού 833,
ΤΚ 82031 Ερμούπολη"
"Αλεξία Φασατάκη","Ηλιοκάστρου 867,
78135 Τρίπολη"
"Ιερεμίας Μπαλάσκας","Πάροδος Υπερείας 3,
70571 Τρίπολη"
"Ευκλείδης Νούσης","Δαμασίου 04-34,
ΤΚ 030 13 Κοζάνη"
"Αντιγόνη Δούβαλη","Βαρύπετρου 421-823,
ΤΚ 80122 Ρόδος"
"Αιμιλιανός Τσιάρας","Γλυκομηλέας 261-384,
95205 Ρόδος"
"Ευμορφία Ντότση","Μικρολιβάδου 609-585,
06898 Έδεσσα"
"Ανδρονίκη-Θαλασσινή Τουλάκη","Πανκίδου 901,
ΤΚ 44479 Αγ. Νικόλαος"
"Διαμαντής Τζαλλας","Νερομύλου 64,
28457 Σέρρες"
"Ευδοξία Καλδή","Κεράς 589-396,
ΤΚ 882 67 Κιλκίς"
"Σπάρτη Παπουτσοπούλου","Ιωακείμ 276-948,
38579 Σέρρες"
"Φιλήμων Σιδηρόπουλος","Ζαρούχλης 424-892,
08474 Καρδίτσα"
"Ανθούλης Ζώνιος","Καρβάλης 49,
07014 Ζάκυνθος"
"Σόλων Σπαθόπουλος","Πάροδος Μαριτσών 041-660,
16373 Λιβαδιά"
"Αγόρω Πανταζή","Μορονίου 087-316,
656 08 Κέρκυρα"
"Πηνελόπη Παπανάνου","Λειψυδρίου 711,
ΤΚ 13074 Δράμα"
"Βασίλειος Φραντζής","Ιλίου 841,
ΤΚ 705 05 Χίος"
"Φιλοθέη Κατσούλα","Τολού 236-974,
06046 Καρπενήσι"
"Διαμαντής-Ιάσονας Γρηγορίου","Λεωφ. Μακρυωτίκων 607-569,
729 56 Σέρρες"
"Ευκλείδης-Δαμιανός Πέππας","Ωρολογίου 520-500,
ΤΚ 618 83 Σέρρες"
"Γαβριέλλα Καρυδά","Σμιτ 8,
ΤΚ 81069 Κόρινθος"
"Γιασεμή-Ίρις Βασιλάκη","Βαλεριάνου 54,
72887 Ηγουμενίτσα"
"Ευσεβεία Μπαλανίκα","Χρήστου 18-54,
96184 Πάτρα"
"Στέλλιος Σαμανίδης","Καρουσάδων 15,
ΤΚ 21632 Ερμούπολη"
"Βενιαμίν Κιοσές","Πάρ. Διοδίων 47,
108 97 Βέροια"
"Νίκανδρος Καρακυρίου","Εσοχή 98-18,
740 64 Χίος"
"Ιορδάνης Σαρίκας","Πάρ. Λάλουκα 380-996,
52880 Λευκάδα"
"Φοίβη Καλογιαννάκη","Κεφαλόβρυσης 39-98,
001 25 Κόρινθος"
"Διαμαντούλα Γκαλίου","Θρόνου 29,
202 79 Ναύπλιο"
"Τζένη Ζωντανού","Αναστασίου 58,
ΤΚ 870 06 Άρτα"
"Διδώ-Θεοδώρα Μπενέτου","Χιδήρων 3,
01780 Ερμούπολη"
"Νίκων Βελεντζάς","Πάροδος Σπάτων-Λούτσας 18,
69143 Λάρισα"
"Θεοφανία Παπαευαγγέλου","Σμυρτιάς 81-62,
31698 Ναύπλιο"
"Λαμπρινή Κεσκίνη","Βρυσέλλας 13,
96217 Καρδίτσα"
"Ναθαναήλ Δάρας","Καππαριάς 6,
ΤΚ 750 79 Ρέθυμνο"
"Λάμπρος Βολικάκης","Σβορώνου 33-80,
ΤΚ 571 08 Λευκάδα"
"Γλαύκη Μυτάρη","Λεωφ. Κρεμαστής 7,
88892 Αθήνα"
"Ζαφείριος Σουρμπής","Βελάς 37,
ΤΚ 032 01 Πύργος"
"Διαμαντούλα Καλογιάννη","Πάρ. Πλάκας 6,
947 07 Λιβαδιά"
"Ελπίς Βαρθαλίτη","Σελλίου 9,
ΤΚ 056 93 Βέροια"
"Κυδωνία Φασουλίδου","Αρωνά 398,
09798 Ξάνθη"
"Λουλουδένια Χαμαλίδου","Περιβλέπτου 747,
594 18 Αγ. Νικόλαος"
