"Ѓорги Велков","Крушевска 509
37695 Битола" 
"Душан Гроздановски","Димитар Влахов 1
67526 Тетово"
"Г-н Иван Гроздановски","Питу Гули 1а/1
89276 Свети Николе"
"Маја Атанасова","Булевар Гоце Делчев 9а
94967 Кавадарци"
"Цветанка Михајловска","Јасминска 4в
24106 Скопје"
"Проф. Трајче Дамјановски","Георги Димитров 1б/3
40761 Македонска Каменица"
"Стојан Василев","Христијан Тодоровски Карпош 37
99943 Македонски Брод"
"Др. Чедо Јанев","Орце Николов 69
34709 Богданци"
"Васка Шакири","Михаило Апостолски 0в
37589 Скопје"
"Марко Алексовски","Крсте Мисирков 3а
19484 Богданци"
"Проф. Зоран Николов","Јане Сандански 8а/5
65398 Гостивар"
"Анита Младеновска","Дојранска 6в
85980 Велес"
"Г-н Иван Христов","Бриселска 0б
35452 Кавадарци"
"Весна Лазова","Даме Груев 7а
59472 Берово"
"Мирјана Гавриловска","Лазар Личеноски 6
49512 Гевгелија"
"Проф. Милена Гавриловска","Наум Охридски 76
75133 Кавадарци"
"Др. Софија Чулева","Михаило Пупин 4б/3
06206 Струга"
"Проф. Валентина Крстева","Скупи 9
05396 Неготино"
"Др. Атанас Лазаревски","Аристотел 8б/3
31419 Кочани"
"Никола Младеновски","Природна 2б/3
89194 Куманово"
"Др. Павле Чулев","Хелсинки 4б/6
07933 Крушево"
"Проф. Стефанија Климовска","Македонија 8а
10747 Кратово"
"Г-н Игор Јовановски","Николај Коперник 8а/5
80052 Охрид"
"Др. Кузман Бојаџиев","Васил Главинов 5
17476 Делчево"
"Г-ца Валентина Цветковска","Виенска 4а/3
13913 Гостивар"
"Зоран Гроздановски","Гоце Делчев 40
44457 Пехчево"
"Влатко Арсовски","Бриселска 7а/0
52870 Македонска Каменица"
"Васил Лазаревски","Женевска 1в
65791 Пробиштип"
"Проф. Влатко Цветковски","Никола Вапцаров 6а/6
46136 Охрид"
"Проф. Цветан Дешановски","Михаило Пупин 1в
76925 Дебар"
"Др. Слободан Стојановски","Наум Охридски 9в
94814 Демир Капија"
"Чедо Јанев","Петар Поп Арсов 4б/1
42804 Струга"
"Г-н Игор Шакири","Партизански одреди 639
11762 Свети Николе"
"Г-н Чедо Матевски","Петар Поп Арсов 2б
50008 Радовиш"
"Г-н Јовче Христов","Виенска 4а/3
71336 Пехчево"
"Г-н Горан Ристовски","Природна 60
36299 Богданци"
"Соња Стефановска","Булевар Гоце Делчев 87
81674 Крушево"
"Г-ца Цветанка Шакири","Партизански одреди 9б
66947 Демир Хисар"
"Димка Коцева","Будимпештанска 3а
13549 Богданци"
"Г-ѓа Наташа Лазова","Булевар Блаже Конески 1б
33123 Куманово"
"Г-ца Софија Донева","Софиска 7в
70802 Делчево"
"Трајче Заев","Никола Русински 67
15478 Битола"
"Г-н Илија Апостолов","Славеј Планина 5б
94724 Крива Паланка"
"Г-ѓа Александра Мојсова","Софиска 5б/1
52179 Валандово"
"Проф. Горан Ѓорѓиевски","Радовишка 50
23043 Пехчево"
"Г-ца Сузана Гавриловска","Рибарска 0а/0
44140 Струга"
"Марјан Трајковски","Булевар Александар Македонски 13
62010 Охрид"
"Елена Крстева","Никола Вапцаров 6в
97232 Кичево"
"Др. Тања Јанева","Булевар Александар Македонски 7а/3
48508 Ресен"
"Проф. Влатко Матевски","Варшавска 6а
12970 Македонска Каменица"
"Ѓорги Митревски","Булевар Свети Климент Охридски 9б
67478 Прилеп"
"Дамјан Зафировски","Хелсинки 3
90695 Демир Хисар"
"Г-н Илија Димовски","Булевар Свети Климент Охридски 2в
11796 Крива Паланка"
"Даница Апостолова","Перо Наков 9б
82124 Гевгелија"
"Г-н Трајче Шакири","Волгоградска 3
04966 Битола"
"Емил Гроздановски","Самоилова 9б
75154 Пехчево"
"Гоце Митревски","Стоби 5б
11417 Тетово"
"Трајан Донев","Михаило Апостолски 5б/8
24035 Гевгелија"
