"Adriana Almeida","Av Leal, 59
8518-401 Funchal" 
"Isabela Nunes-Andrade","Alameda da Cruz, 3
2410-559 Vila Real de Santo António"
"Álvaro Macedo","R. de Cardoso, 40
5301-631 Agualva-Cacém"
"Leonor Loureiro","Travessa Leite, 77
4347-415 Figueira da Foz"
"Anita-Lorena Moreira","Travessa Sara Amaral, 5
5329-368 Valbom"
"Salvador Pacheco-Baptista","Av de Machado, 45
3150-270 Rebordosa"
"José de Campos","Avenida da Ponte da Lama, 27
6899-136 Moura"
"Emanuel Neto","Rua Roentgen, 85
8000-193 Tarouca"
"Dinis Mota","Travessa Pereira, 68
3009-038 Mêda"
"Pilar Lima-Pereira","Largo de Mendes, 1
6573-494 Vila Real de Santo António"
"Rodrigo Sá","Rua de Luiz I, S/N
5252-905 Tondela"
"Mário Leite","Alameda Guerreiro, 16
7677-262 Paredes"
"Eva Vaz","Av de Henriques, S/N
2156-940 Portimão"
"Gustavo Andrade-Brito","Travessa Moreira, S/N
8815-346 Torres Novas"
"Alice Mendes","Rua Nogueira, S/N
6608-689 Santiago do Cacém"
"Diogo Garcia","Rua do Brasil (Porto), 23
3756-879 Rebordosa"
"Benjamim Ramos-Alves","Praça de Miranda, 5
8742-955 Póvoa de Santa Iria"
"Mia Correia","Praça de Barbosa, 42
3764-161 Reguengos de Monsaraz"
"Dinis Nunes","Travessa Pinheiro, S/N
7780-465 Horta"
"Paulo Barbosa","Alameda Branco, 22
7068-675 Rio Tinto"
"António do Rocha","R. Batista, 9
8347-625 Santarém"
"Rodrigo Barbosa","Praça do Olival, 16
4040-458 Santiago do Cacém"
"Yara Pinto","R. Henriques, 638
2305-568 Chaves"
"Duarte Magalhães","Travessa Neves, S/N
3909-755 Marco de Canaveses"
"Paulo Brito","Largo de Machado, 29
6816-964 Queluz"
"Anita Esteves-Castro","Avenida do Levante, S/N
6885-439 Leiria"
"Jorge Tavares","Praça de Marques, 37
8664-233 Valpaços"
"Eduardo Cunha","R. de Domingues, 19
2205-963 Costa da Caparica"
"Dinis da Pinho","Avenida da Praia da Galé, S/N
1512-836 Seixal"
"Lorena Leite-Vicente","Largo de Esteves, 592
7505-727 Anadia"
"Violeta Moreira","Avenida do Cais das Pedras, 77
4118-389 Quarteira"
"Rafaela Sá","Avenida República da Colômbia, S/N
7492-130 Porto Santo"
"Artur de Torres","Av Camila Amorim, 52
2139-680 Marco de Canaveses"
"Ivo Faria","Travessa Andrade, 43
3324-695 Santarém"
"Tomás Rodrigues-Miranda","Avenida Carvalho, 68
6648-188 Estarreja"
"Isaac Coelho","Rua de Pacheco, S/N
8031-102 Lagoa"
"Nádia Jesus","Alameda Ferreira, 38
2003-255 Braga"
"Erica Marques","R. de Almeida, 31
2329-268 Olhão"
"Dinis do Castro","R. de Martins, 70
1935-619 Lagoa"
"Luís Araújo","R. de Belém, S/N
3425-996 Chaves"
"Renato Moreira","Avenida Borges, 324
6508-537 Póvoa de Santa Iria"
"Mariana Morais","Alameda de Mendes, 52
8828-325 Vale de Cambra"
"Paulo Gomes","Avenida Matias, 49
4912-711 Ribeira Grande"
"Kevin Tavares","Avenida de Matias, 16
6701-585 Estremoz"
"João Magalhães","Travessa Vicente, S/N
8960-354 Marco de Canaveses"
"Tomé Abreu","Rua de Nogueira, S/N
5881-766 Sacavém"
"César Ramos","Rua Petra Esteves, 4
3645-645 Portimão"
"Gaspar Sá","Praça Gaspar, 99
3816-634 Felgueiras"
"Diogo Cardoso","Travessa Erica Figueiredo, 95
8973-133 Mêda"
"César Andrade","Travessa Freitas, 686
7782-189 Paços de Ferreira"
"Nádia Correia","R. Nicole Baptista, 437
8411-953 Mirandela"
"Miguel Almeida","Praça do Colégio, S/N
4734-328 Vendas Novas"
"Nádia Reis","Largo do Mestre de Aviz, 28
9324-482 Ermesinde"
"Yara Sá","Largo Ariana Assunção, 32
9548-629 Ovar"
"Nuno Araújo","Avenida Mia Silva, 7
8848-349 Fiães"
"Sérgio do Vieira","Travessa Central, 90
5876-511 Vila do Conde"
"Isabel-Bárbara Lourenço","Av Marques, 3
6861-513 Santarém"
"Sebastião Torres","Avenida dos Olivais, 824
4957-357 Ribeira Grande"
"Diogo Jesus","Travessa de Pio XII, 58
8147-320 Esmoriz"
"Lourenço Tavares","Travessa de Amaral, 157
4302-341 São Mamede de Infesta"
"Ivo Pinheiro","Alameda Marcos Torres, 435
8821-613 Vila Nova de Santo André"
"Alexandre Araújo","Alameda de Mota, 28
2918-210 Sines"
"Henrique Nogueira","Avenida das Andorinhas, 99
8866-047 Seixal"
"Bernardo da Rodrigues","Largo Júlia Silva, 906
9397-626 Lixa"
"Cláudio Faria","Rua Faria, 8
2209-645 Loures"
"João Jesus-Pinheiro","Praça do Beato, 20
8785-302 Santa Maria da Feira"
"André Castro","Praça Amaral, 728
1574-835 Portimão"
"Joel Alves","Alameda Mia Vicente, S/N
3189-052 Rebordosa"
"Diogo Lima","Largo de João Augusto Ribeiro, 61
7660-209 Montemor-o-Novo"
"Mara-Salomé Batista","R. Madalena Miranda, S/N
3181-291 Covilhã"
"Bernardo Faria","Alameda Cruz, S/N
6740-449 Penafiel"
"Sofia do Lima","Praça de Vinte e Quatro de Agosto, 30
8446-190 Lamego"
"Álvaro Batista","Av do Carvão, 7
9651-980 Coimbra"
"Enzo Faria","Avenida Guerreiro, 3
3142-757 Praia da Vitória"
"Luísa Matos","R. Figueiredo, 78
7878-171 Paredes"
"Bernardo Vieira","Alameda Petra Correia, 30
7719-910 Vizela"
"Leandro Rocha","Rua Fonseca, 18
3346-411 Mealhada"
"Luna-Juliana Machado","Travessa de Azevedo, 2
1656-317 Amadora"
"Diogo Mendes","Av de Amorim, 77
6770-431 Leiria"
"Nuno Santos","Av Kyara Fonseca, 54
7039-554 Esposende"
"José Ramos","Praça de Nascimento, 10
9768-875 Lixa"
"Igor Barros","Av Jesus, S/N
9626-967 Agualva-Cacém"
"Lisandro Baptista","Largo de Eça de Queirós, 5
4305-653 Peniche"
"Mário do Fernandes","Travessa de Aquilino Ribeiro, 44
7130-556 Beja"
"William da Correia","R. Gonçalves, 19
1189-043 Miranda do Douro"
"Emma-Larissa Amaral","Avenida de Loureiro, 11
3374-312 Covilhã"
"Eduarda Reis","Av Diana Pinto, 794
4733-752 Maia"
"Enzo Martins-Amaral","Travessa de José Régio, S/N
5577-247 Porto Santo"
"Diogo Mendes","Avenida da Quinta do Guarda-Mor, 6
4021-284 Alcobaça"
"Rafael Azevedo","Avenida de S. Mamede, 729
9748-288 Marco de Canaveses"
"Érica Leal","Alameda Andrade, 11
6239-549 Freamunde"
"Frederico da Sá","Av Matilde Mendes, 52
6120-533 Vendas Novas"
"Luca Nogueira","Alameda do Campo, 92
8806-994 Seixal"
"Naiara Faria","Alameda de Vaz, 7
4421-491 Peniche"
"Cristiano de Leal","Praça Nicole Amaral, 51
7161-982 Barcelos"
"Flor de Rodrigues","Praça Marques, 75
8727-943 Santarém"
"Emma Costa-Silva","Largo Valentina Rodrigues, S/N
2613-418 Vila Real"
"Melissa Valente","Avenida Andreia Figueiredo, 478
6363-616 Oliveira de Azeméis"
"Diogo Paiva","Travessa Rui Antunes, 3
2577-904 Covilhã"
"Íris Antunes","Avenida de Andrade, 82
9140-056 Quarteira"
"Mariana Lima-Leite","Rua de Soares, 31
2997-111 Guarda"
"Sara Monteiro","Rua Vitória Vieira, 62
8231-672 Miranda do Douro"
"Ângelo Carvalho","Praça Monteiro, 45
9660-086 Quarteira"
"Francisca Vaz-Rocha","Avenida de Lopes, 7
2378-841 Rio Tinto"
"Mélanie Vaz","Alameda de Leite, 70
2219-662 Covilhã"
"Yara Ramos","Travessa Flor da Rosa, 904
6361-506 Vila Nova de Gaia"
"Rui Correia","R. de Esteves, 60
3114-637 Vizela"
"Juliana Anjos","Av das Cebolas, 24
4918-841 Ponta Delgada"
"Diogo Pinheiro","Rua Sá, 262
9981-785 Trofa"
"Sebastião Baptista","Alameda Silva, 894
8547-920 São Mamede de Infesta"
"Matilde Mendes","Travessa de Nogueira, 265
1557-888 Coimbra"
"Filipa Barros","Rua Beatriz Torres, 66
7961-779 Câmara de Lobos"
"Kyara da Garcia","Avenida Guilherme Leal, 128
7746-558 Olhão"
"Diana Neto-Figueiredo","Praça Valentina Sousa, 7
1284-051 Gafanha da Nazaré"
"Emanuel Melo","Travessa de Anjos, 722
6472-727 Seia"
"Noa Mota","Alameda Teófilo Ferreira, 56
6904-814 Vendas Novas"
"Lorena Esteves","Alameda de Cruz, 2
1631-202 Odivelas"
"Adriana-Luana Valente","Alameda de Macedo, 80
6142-992 Horta"
"Diogo Sousa","Travessa Tatiana Ramos, S/N
7077-627 Lagos"
"Erika Tavares","R. de Eduardo Soares, 59
8049-716 Cartaxo"
"Patrícia Pacheco","Avenida Moura, 5
3919-732 Porto Santo"
"Sara Pinho","Avenida Maria Costa, 890
6721-803 Mirandela"
"Santiago Vieira","Avenida Afonso Monteiro, 33
4774-683 Gouveia"
"Gustavo Nascimento","Alameda Anjos, 43
6181-898 Portimão"
"Fabiana Cardoso","R. de Freitas, 66
3760-519 Trofa"
"Iara Machado","Av do Codeçal, 42
8362-266 Abrantes"
"Gonçalo Gonçalves","Praça Rodrigues, S/N
3512-571 Pombal"
"Gaspar Campos","Av do Tejo, 491
8450-401 Vila Real"
"Diogo Torres","Largo Luca Figueiredo, S/N
3424-983 Seia"
"Noa Baptista","Avenida Tomé Fonseca, 2
7250-726 Rio Maior"
"Gonçalo Pinho","Largo do Anjo da Guarda, 719
2731-476 Peso da Régua"
"Francisco da Assunção","Av Tiago Esteves, 92
5781-434 Vila Nova de Gaia"
"Sandro Coelho","Avenida Mélanie Nogueira, 7
9658-420 Porto Santo"
"Isabel Ribeiro","Praça de Reis, 7
8938-396 Sintra"
"Lourenço Marques","Largo Fernandes, 88
8154-316 Póvoa de Varzim"
"Bernardo Santos","Rua Alexandra Rocha, 37
8400-599 Felgueiras"
"Samuel Rodrigues","Rua Matos, S/N
4594-246 Cantanhede"
"António Pereira","R. de Leite, 548
3150-066 Vila Franca de Xira"
"Diogo Vicente","Travessa Manuel Oliveira, 85
1036-095 Tarouca"
"Salvador Cruz","Alameda Anjos, 5
1242-006 Évora"
"Eduarda da Henriques","Av de Miranda, 71
9965-254 Olhão"
"Denis Machado","Largo de Barbosa, 586
9927-850 Tomar"
"Gonçalo de Santos","Rua Helena Ferreira, 5
2588-229 Fiães"
"Jéssica da Gonçalves","R. Matos, 715
8773-648 Tondela"
"Vítor Macedo","Avenida Prof. António José Saraiva, 741
7175-907 Sabugal"
"Lara-Miriam Gaspar","Avenida do Bicalho, 3
4062-486 Angra do Heroísmo"
"Sandro de Pacheco","Alameda de Tavares, 7
7938-326 Vila Real de Santo António"
"Ismael Amorim","Praça de Almeida, 1
5469-677 Santa Maria da Feira"
"Diogo Vieira-Domingues","Travessa do Maestro Afonso Valentim, 903
3694-049 Olhão"
"Ivo Simões","Av Reis, 67
9176-778 Viseu"
"Mateus do Pinho","Av Rafaela Anjos, 23
2806-999 Felgueiras"
"Bernardo Valente","Rua de Gonçalves, 24
1425-194 São Mamede de Infesta"
"Carlota da Batista","Rua de Pinheiro, 47
8483-105 Ovar"
"Melissa-Núria Batista","Rua de Neves, 81
3554-316 Vila do Conde"
"Vítor da Cruz","Alameda Reis, S/N
1444-125 Santa Maria da Feira"
"Júlia Ramos","Praça Álvaro Henriques, 35
6630-381 Aveiro"
"Pilar Nunes","Largo de Henriques, 742
3077-449 Horta"
"Jéssica Paiva","Largo Novo (à Travessa das Águas Boas), 3
2838-740 Oliveira do Hospital"
"Diogo da Magalhães","Av Costa, 50
8594-141 Sacavém"
"Bárbara Vicente","Rua Nacional 108, 63
8500-668 Elvas"
"Carlos Moura","Avenida Eduardo Pereira, 83
7918-319 Viseu"
"Carolina Carvalho","Avenida de Paiva Couceiro, 55
7590-552 Tavira"
"Bruna Cunha","Avenida de Branco, S/N
7953-272 Estarreja"
"Teresa Esteves","R. do Picoto, 92
6740-871 Castelo Branco"
"Cláudio Valente","Travessa Miguel Campos, 868
2958-263 Chaves"
"Kevin Antunes","Avenida Paulo Moura, 37
6320-516 Vila Nova de Foz Côa"
"Nicole Leal","Largo de Soares, 737
2546-114 Alcácer do Sal"
"Vítor Soares","Avenida Carvalho, 33
3782-918 Póvoa de Santa Iria"
"Diogo do Antunes","Travessa de Araújo, 24
3663-373 Almeirim"
"Catarina Gonçalves-Macedo","Avenida de Passos Manuel, 937
9763-575 Angra do Heroísmo"
"Ismael Leite","Praça Sebastião Vieira, S/N
3400-831 Guimarães"
"Rafaela Gomes","Largo Érica Neto, S/N
3488-798 Viseu"
"Fabiana-Juliana Freitas","R. Márcio Vieira, 59
9678-779 Oliveira de Azeméis"
"Carlos Leite","R. Futebol Clube do Porto, 14
1602-831 Odivelas"
"Vera Lima","Avenida Jorge Castro, 556
4300-834 Olhão"
"Naiara Lopes","Avenida das Japoneiras, 5
5219-515 Ponta Delgada"
"Kyara Vaz","Avenida de Torres, 223
9636-026 Cartaxo"
"Sérgio Neves","Av de Valente, 53
7733-076 Barcelos"
"Duarte Amorim","Av Egito Gonçalves, 306
3805-448 Amadora"
"Miriam Garcia","Avenida Vasco Ferreira, 78
6276-091 Tondela"
"Adriana Lopes","Alameda Diego Esteves, 28
3805-440 Tarouca"
"Gaspar Matias","Rua Victória Araújo, 4
6805-059 Gafanha da Nazaré"
"Nelson Araújo","Av de Rodrigues, 4
1429-782 Setúbal"
"Edgar Vicente","Alameda de Matias, 79
8547-214 Vale de Cambra"
"Emma Mota-Maia","Avenida Vítor Soares, 2
4839-195 Lourosa"
"Cristiano Figueiredo","Rua Domingues, 2
7132-114 Santiago do Cacém"
"Eduarda Assunção","Praça de Nogueira, 44
2733-061 Sintra"
"Rodrigo Almeida","Travessa de Morais, 88
6135-159 Guarda"
"Duarte Borges","Praça Pinto, 23
4578-006 Pinhel"
"Renata-Raquel Domingues","Praça Valentina Fonseca, 604
7178-836 Santarém"
"Hugo Abreu","Praça Nascimento, 48
6649-522 Viseu"
"Martim Figueiredo-Teixeira","Alameda das Comunidades Portuguesas, 79
4245-199 Santana"
"Carminho Garcia","Travessa de Barros, 41
2482-215 Aveiro"
"Sandro Ribeiro","Av de Neves, 420
6390-180 Ílhavo"
"Benjamim Campos","Av Jesus, 31
1215-987 Trancoso"
"Filipa-Irina Vaz","Travessa Afonso Miranda, 86
7916-057 Barreiro"
"Nádia Paiva","Avenida Ducla Soares, S/N
4400-941 Portimão"
"Ismael Cardoso","Travessa de Monteiro, S/N
1747-870 Freamunde"
"Duarte Carneiro","Avenida do Duro, 53
9465-315 Miranda do Douro"
"Érica Tavares","Travessa de Carvalho, 80
7592-363 Viseu"
"Nelson Araújo","Alameda Fabiana Andrade, 51
4756-513 Lagoa"
"Eduardo Coelho","Largo Esteves, 19
5574-761 Pinhel"
"Lisandro Santos","Avenida Isaac Figueiredo, 2
4102-868 Ponta Delgada"
"Violeta Cunha","Alameda do Varejão, S/N
1086-821 Amadora"
"Ricardo Rodrigues","Av Diana Simões, S/N
7975-916 Póvoa de Varzim"
"Brian Pinto-Amorim","Av de Soares, 64
4170-902 Vizela"
"Rafael Batista","R. Martins, S/N
4796-062 Alcobaça"
"Mauro Faria","Rua do Aleixo, 45
7809-788 Lamego"
"Duarte Correia","Av do Prof. Hernâni Monteiro, 41
9763-372 Vila Franca de Xira"
"Ema Batista","Avenida Sousa, 79
9077-497 Ílhavo"
"Melissa Amaral","Av de Reis, S/N
3439-827 Odivelas"
"Erika Garcia","Avenida Mara Ribeiro, 2
4143-953 Estarreja"
"David Abreu","R. de Henriques, 52
6718-622 Costa da Caparica"
"Mauro Cunha","R. do Carvalhido, 80
1704-926 Évora"
"Noah Pinheiro","Travessa Ribeiro, S/N
8618-803 Espinho"
"Luca Rocha","Avenida Almeida, 48
7326-675 Vendas Novas"
"Gustavo Pires","Avenida Miranda, 32
6456-887 São João da Madeira"
"Ema Leal","Praça Marta Carneiro, 42
8067-721 Câmara de Lobos"
"Duarte Gomes","Largo Azevedo, 59
7145-972 Costa da Caparica"
"Luísa Anjos-Baptista","R. Bárbara Ferreira, 41
5783-193 Entroncamento"
"Andreia-Matilde Moreira","Rua de Torres, 2
1914-799 Funchal"
"Lucas Correia","Travessa Sara Tavares, 13
4052-787 Paredes"
"Ana Magalhães-Pires","Rua de Fonseca, 12
3519-050 Cartaxo"
"Fabiana Amaral","Rua do Regado, 638
3396-243 Peso da Régua"
"Matilde Silva","R. de Pires, 183
3823-304 Tondela"
"Sandro Matos","Largo Rui Coelho, 397
5231-673 Sintra"
"Afonso Neto","Travessa de Magalhães, 1
8547-040 Ourém"
"Débora de Campos","Alameda Cuf, 758
3719-421 Queluz"
"Duarte Pereira","Rua de Jesus, 1
8568-325 Reguengos de Monsaraz"
"Vítor Marques","Largo de Moura, 95
6298-818 Vila Real"
"Joana Henriques","Largo do Adro, 31
5951-015 Ourém"
"Joana Reis","Alameda Melissa Cruz, 40
5944-150 Ílhavo"
"Pedro Andrade","Avenida João Martins, S/N
4551-670 Porto"
"Sérgio Pacheco","Avenida Lopes, 892
9265-803 São João da Madeira"
"Marcos Costa","Avenida de Neves, 46
9672-495 Fiães"
"Filipe Macedo","Travessa Cláudio Leite, 27
5346-656 Rebordosa"
"Kyara Barbosa","Praça de Sousa, 80
8445-517 Sabugal"
"Isaac Pacheco","Alameda de Gomes, 79
5303-100 Vila Nova de Foz Côa"
"Duarte Ribeiro","Avenida de Costa, 8
3970-181 Porto Santo"
"Júlia Silva","R. Andreia Matias, 75
2824-226 Vila do Conde"
"José Jesus","Alameda Ferreira, 56
7785-905 Vila Nova de Gaia"
"Emília Ferreira","Praça Hugo Abreu, 84
7019-062 Pinhel"
"Bernardo Cruz","Rua do Pinheiro, 56
9179-569 Santana"
"Matias Torres-Fonseca","Av João Glama, 476
1072-187 Caniço"
"Kyara do Figueiredo","Avenida de Carrilho Videira, 61
8614-400 Valbom"
"Iara Oliveira","R. dos Mártires da Pátria, 87
9279-816 Cantanhede"
"Constança da Carvalho","Av de Freitas, S/N
2257-954 Gafanha da Nazaré"
"Jéssica Guerreiro","Largo de Vaz, 31
5330-432 Amadora"
"Duarte Sousa","Largo de Leite, 43
4659-514 Amadora"
"Bruno Henriques","Rua Lucas Pereira, S/N
9364-453 Guarda"
"Gustavo Gomes","Av José Campos, 52
9530-792 Amarante"
"Cláudio Azevedo","Av de Borges, 2
4151-346 Santiago do Cacém"
"Tiago Pinto","Avenida de Augusto Gomes, 3
3971-885 Barcelos"
"Guilherme Macedo-Figueiredo","Av Silva, 28
5844-985 Trofa"
"Erika-Inês Correia","Alameda Silva Porto, 79
5921-896 Viseu"
"Isaac Neto","Travessa Assunção, 9
4666-550 Setúbal"
"Naiara Brito","Travessa Íris Tavares, 2
7346-805 Portimão"
"André Ribeiro","Alameda Matias, S/N
7392-805 Vila Nova de Gaia"
"Duarte Teixeira","Av Duarte Sousa, 563
8712-816 Santiago do Cacém"
"Manuel Pacheco","Travessa da Igreja, 7
8728-939 Silves"
"Ariana Matos","R. Carneiro, 71
2945-511 Vila Real"
"Alícia Nogueira","Travessa do Báltico, 16
5943-111 Paredes"
"Bryan Pinto","Av Caetana Alves, 25
6598-315 Miranda do Douro"
"Valentina de Rocha","Av de Nogueira, 645
2785-176 Horta"
"Fábio Paiva","Largo Miranda, 58
4622-957 Albufeira"
"Noah Brito","Alameda Teixeira, 5
8000-940 Valongo"
"Anita Soares","Avenida de Guedes de Oliveira, 41
6472-106 Sacavém"
"Núria Matias","Rua Ferreira, 812
6315-411 Évora"
"Duarte Vieira","R. José António Marques, 32
9743-921 Sacavém"
"Brian Pinho","R. Alves, 480
2899-448 Portalegre"
"Erika-Patrícia Azevedo","Praça de Pinto, 488
4350-175 Ponte de Sor"
"Ismael Paiva-Andrade","Avenida Juliana Carvalho, 58
2742-539 Vila Nova de Santo André"
"Camila Assunção","R. Rafael Nunes, S/N
7531-955 Vila Franca de Xira"
"Sara Freitas","Largo Ema Pires, S/N
9524-369 Lourosa"
"Gabriel de Lourenço","Rua de Bonjóia, 41
1144-069 Portalegre"
"Mário Leite","Alameda Ribeiro, 66
6277-447 Lourosa"
"Clara de Nascimento","Avenida Carolina Nunes, S/N
1211-498 Trancoso"
"Lisandro Cruz","R. Ivo Almeida, 974
3519-353 Vale de Cambra"
"Débora Assunção","R. Ribeiro, 27
9633-837 Tomar"
"Miguel Oliveira","Alameda Sul do Bairro da Encarnação, 80
4696-996 Braga"
"Kevin Azevedo","R. Moreira, 6
4972-586 Vila do Conde"
"Luca do Simões","R. Isaac Santos, S/N
2771-725 Gafanha da Nazaré"
"Lara-Anita Garcia","Largo Castro, 57
3064-336 Santiago do Cacém"
"Vítor Araújo","Largo Simões, 48
1269-947 Póvoa de Santa Iria"
"Ana Pereira","R. de Moura, 1
6303-380 Valpaços"
"Marco Matias","Travessa de Marques, 23
4552-859 Tarouca"
"Patrícia Leal","R. Ribeiro, 76
3601-208 Praia da Vitória"
"Rodrigo Garcia-Amorim","Travessa de Figueiredo, 53
5278-774 Matosinhos"
"Débora Faria","Alameda de Cunha, 35
7447-180 Ourém"
"Daniela Barbosa","Av de Fernandes, 100
9356-114 Póvoa de Santa Iria"
"Vasco Pinho","Praça Júlia Machado, 57
5489-087 Silves"
"Matias do Sousa","R. Igor Lopes, 6
8787-263 Maia"
"Camila Guerreiro","Avenida Guilherme Cardoso, 14
4889-793 Fundão"
"Paulo Antunes-Barros","Av Nuno Almeida, 33
7610-786 Guimarães"
"Emanuel do Matias","Travessa João Vaz, 31
9869-084 Lagos"
"Kevin Pinto-Gonçalves","Largo de Freitas, 49
3081-067 Santo Tirso"
"Núria Nogueira","Avenida de Costa, 20
5403-365 Alcácer do Sal"
"Fabiana Nascimento","Travessa Ramos, S/N
7211-378 Paredes"
"Débora Garcia","Avenida de Pereira, 8
9845-133 Aveiro"
"Frederico Morais","Largo Fabiana Magalhães, 5
8453-879 Castelo Branco"
"Lourenço Nascimento","Praça de Leite, S/N
9006-766 Castelo Branco"
"Henrique Moura","Praça Sousa, S/N
7514-113 Almeirim"
"Nicole Neves","Alameda Soraia Anjos, 4
3998-330 Vila do Conde"
"Melissa de Borges","Travessa Nascimento, 35
7213-943 Alcobaça"
"Gil Nogueira","Travessa Victória Fonseca, S/N
1818-861 Valongo"
"Juliana Baptista","R. de Lima, 449
5939-983 São João da Madeira"
"Artur Moreira","Rua Monteiro, 70
1999-132 Câmara de Lobos"
"Fernando Morais","R. Pinheiro, 14
5200-351 Vila do Conde"
"Débora Guerreiro","Largo Magalhães, 8
7181-834 Porto"
"Afonso Ramos-Ribeiro","Avenida Jesus, 318
1223-567 Portalegre"
"Mia Borges","Rua de Torres, 19
5819-959 Funchal"
"Diego Araújo-Gomes","Rua Marcos Reis, 66
2195-669 Viana do Castelo"
"Inês Fernandes","Av de Alves, 47
3718-289 Setúbal"
"Ariana Simões","Avenida Miranda, 661
4594-708 Póvoa de Varzim"
