"Adam Bezák"	"Chorvátska 35
033 81 Oľšinkov" 
"Blanka Talpašová"	"Nové záhrady II 63
009 23 Dolná Lehota"
"Veronika Bieliková Th.D."	"Bradlianska 220
078 37 Malá Domaša"
"Tarzícius Hus"	"Zátureckého 798
037 39 Turany"
"Urban Martinec"	"Gajarská 220
832 18 Cigla"
"Vratko Martinkovič"	"Pod Strážami 342
810 88 Borčany"
"Ludolf Mináč"	"Savignonská 92
077 89 Chlebnice"
"Šarlota Jalovecová"	"Báger 526
988 54 Vranov nad Topľou"
"Alžbeta Šarkanová"	"Mošovského 15
949 52 Levice"
"Romana Hanková"	"Pri hradnej studni 4
803 83 Trhová Hradská"
"Fridrich Zubek"	"Čapkova 29
821 87 Gôtovany"
"Blažej Kollár"	"Slovinská 1
011 01 Krompachy"
"Boleslav Hliník"	"Zohorská 71
088 38 Čičava"
"Ignác Višňovský"	"Žiacka 9
944 44 Sobotište"
"Kvetoslava Letová"	"Na paši 71
065 42 Kamenica"
"Adam Hanuska"	"Koprivnická 14
850 23 Hrubov"
"Saskia Kučerová"	"Kukuričná 55
811 12 Opoj"
"Marcel Kára"	"Ľubietovská 93
848 94 Nižný Hrabovec"
"Danica Jurková"	"Pod Rovnicami 669
952 94 Breznička"
"Danica Bednáriková"	"Za tehelňou 5
888 54 Krásno"
"Kristián Paška"	"Fajnorovo nábrežie 8
805 16 Bobrovec"
"Blažej Kočka"	"Malagová 9
050 47 Bodružal"
"Lucia Krasnohorská Th.D."	"Zálužická 293
802 68 Červenica pri Sabinove"
"Denis Loja"	"Námestie 6. apríla 6
936 64 Dlhá nad Váhom"
"Koloman Holub"	"Hanácka 979
811 98 Bojnice"
"Emil Kupko"	"Riznerova 66
895 22 Malé Zlievce"
"JUDr. Levoslav Filípek"	"Ulica 29. augusta 372
982 07 Veľký Grob"
"Zdenko Janča"	"Zeleninová 13
973 85 Sady nad Torysou"
"Drahoslava Rúfusová"	"Plynárenská 82
835 72 Dobšiná"
"Kornel Mistrík"	"Sliačska 126
825 20 Trnávka"
"MUDr. Dobroslava Šimončičová"	"Úvozná 891
025 98 Krivany"
"Blažej Kus"	"BzovIcka 991
021 70 Krajné"
"Kornélia Ďurovskýová"	"Americké námestie 4
873 61 Raková"
"Mojmír Ondrus"	"Škultétyho 13
053 18 Nová Ves nad Žitavou"
"Elisa Hrmová"	"Ulica Ľuda Zúbka 39
940 12 Horné Hámre"
"Gašpar Holička"	"Schody pri starej vo 6
842 02 Pribylina"
"Vojtech Valenta"	"Sovia 498
091 01 Likavka"
"Herbert Porubjak"	"Kútska 57
805 79 Unín"
"Enna Bilková"	"Záborského 2
913 87 Drienov"
"Adam Valíček"	"Ďumbierska 551
921 26 Lúčina"
"Severín Karul"	"Petöfiho 701
917 80 Prša"
"Blažej Vicena"	"Vysoká 3
043 20 Blažice"
"Alžbeta Hupková"	"Západná 45
942 56 Necpaly"
"Dalibor Rosina Th.D."	"Povraznícka 37
872 05 Veľká Franková"
"Viktor Sidor"	"Antická 31
905 54 Uzovské Pekľany"
"Maximilián Stodola"	"Viedenská cesta 496
024 41 Šišov"
"Jozefína Kusová"	"Levická 91
829 22 Letanovce"
"Mojmír Plaucha"	"Hany Meličkovej 764
935 80 Modrovka"
"Nina Majdanová"	"Mikulášska 51
907 61 Dúbrava"
"Hilda Romančíková"	"Tatranská 341
942 76 Kobeliarovo"
"Libor Slivka"	"Na Kalvárii 326
809 21 Svätuš"
"Blažej Čarnogurský"	"Zavadilová 875
826 04 Dlhá nad Kysucou"
"Gustáv Medvecký"	"Slovinec 54
807 07 Suchá nad Parnou"
"Ing. Adam Kupka DiS."	"Špitálska 1
927 30 Klubina"
"Ladislav Kubiček"	"Thurzova 193
086 32 Žarnov"
"Kazimír Paška"	"Vrančovičova 63
854 75 Poluvsie"
"Iveta Jánošková"	"Krížna 4
988 06 Badín"
"Hortenzia Fajnorová"	"Svätoplukova 34
923 01 Janov"
"Dobromila Medveďová"	"Dankovského 617
042 03 Jastrabie nad Topľou"
"Lukáš Pavlovič"	"Dvanásta 51
906 53 Telgárt"
"Denisa Husáková"	"Andreja Mráza 4
015 58 Tekovské Lužany"
"Blažej Ďurek"	"Rudnícka 1
007 44 Malužiná"
"Vladimíra Rojková"	"Lopenícka 30
891 11 Lok"
"Ariel Poliak"	"Pri hradnej studni 11
005 83 Čereňany"
"Viera Krajčíová"	"Mošovského 68
963 70 Fijaš"
"PhDr. Bernard Peško"	"Krivá 319
908 66 Rajec"
"Ľubomíra Filcová"	"Kazanská 16
029 23 Šávoľ"
"Klement Šlivka"	"Hydinárska 258
812 98 Rimavské Brezovo"
"Tobiáš Martinák"	"Hríbová 1
942 37 Udiča"
"Roland Špilár"	"Sekurisova 608
819 51 Jastrabie nad Topľou"
"Alojz Pajer"	"Inovecká 6
919 70 Radava"
"Blažej Škantár"	"Stará Klenová 4
053 32 Bohdanovce nad Trnavou"
"Miloslava Labudová"	"Einsteinova 64
865 98 Čáry"
"Jolana Višňovská"	"Lužická 933
931 78 Andovce"
"Karol Salajka"	"Modricová 930
030 33 Obišovce"
"Alena Lipková"	"Pri strelnici 2
959 39 Kolíňany"
"Servác Magál DSc."	"Smolenická 17
845 12 Ilava"
"Ľubica Mečiarová"	"Bieloruská 87
996 28 Lomné"
"Alexej Bruško"	"Sabinovská 24
097 09 Meliata"
"Iľja Kozák"	"Cesta na Klanec 12
966 37 Breznička"
"Iris Dekýšová"	"Alžbety Gwerkovej 410
060 40 Hybe"
"Blažena Jančeková"	"Justičná 468
998 83 Ploské"
"František Forgáč"	"Cintorínska 9
055 68 Špania Dolina"
"Ľudovít Rusnak"	"Priehradná 47
004 71 Smižany"
"Kliment Jedľovský"	"Detvianska 5
948 97 Istebné"
"Gustáv Kotulič"	"Floriánske námestie 36
020 84 Kamenné Kosihy"
"Adolf Tomko"	"Chlumeckého 1
821 63 Dedačov"
"Frederik Bartošík"	"Jančova 46
024 10 Muránska Dlhá Lúka"
"Lukáš Fraňo"	"Šulekova 481
871 58 Rastislavice"
"MUDr. Jarolím Jurek Th.D."	"Nábělkova 302
965 80 Bobrovec"
"Florián Pavelko"	"Viktorínova 7
819 35 Slovenská Ves"
"Blažena Mrazová"	"Blatnická 3
099 88 Olšovany"
"Linda Klimáčeková"	"Slovinská 9
085 24 Beloveža"
"Kazimír Greguš"	"Jelenia 479
940 08 Píla"
"Melánia Strýčeková"	"Rubínová 6
035 19 Šurice"
"Gabriel Ondrusek"	"Námestie Martina Ben 8
930 31 Chrťany"
"Alexia Pavlíková"	"Dvojkrížna 538
086 95 Príslop"
"Tatiana Klopačková"	"Lackova 6
830 17 Súdovce"
"Pankrác Jurčo"	"Baníkova 875
950 49 Šenkvice"
"Oldrich Kuffa"	"Nábělkova 3
050 37 Roztoky"
"Bc. Berta Filípeková"	"Zdravotnícka 332
811 44 Veľké Zálužie"
"Blažena Plešivcová"	"Na stráni 69
913 82 Červená Voda"
"Agnesa Haláková"	"K pasienkom 6
995 42 Kolinovce"
"Melichar Ďorko"	"Podtatranského 186
056 86 Čerhov"
"Hilda Daneková"	"Staničná 64
950 61 Jablonové"
"Karla Šimonovičová"	"Valašská 8
929 24 Žbince"
"Jarmila Paľuchová"	"Jégého 4
948 16 Gortva"
"Belo Paulik"	"Bezekova 3
098 19 Krásna Ves"
"Anežka Ďaďová"	"Trnková 9
059 64 Nižné Nemecké"
"Oxana Piková"	"Nad lúčkami 819
989 49 Chľaba"
"Monika Juríková"	"Mokráň záhon 3
988 36 Rokycany"
"Blažena Ďurkovičová"	"Radlinského 424
877 07 Doľany"
"Frederik Masarík"	"Pražská 6
865 51 Šuľa"
"Benjamín Farkašovský"	"Pavlovova 83
072 39 Telince"
"Radúz Riško"	"Hodálova 839
049 47 Revúcka Lehota"
"Ingrida Gálová"	"Ružičková 44
919 85 Hankovce"
"Martina Jánošíková"	"Učiteľská 7
097 17 Čachtice"
"Milica Stodolová"	"Hanulova 44
046 73 Veľké Uherce"
"Alex Romančík"	"Prokopa Veľkého 6
038 84 Uloža"
"Adam Starosta"	"Sĺňavská 8
028 83 Krásnohorská Dlhá Lúka"
"Simona Roháčeková"	"Horská 737
992 86 Kmeťovo"
"Bohdan Baran"	"Svíbová 1
036 85 Brodzany"
"Tadeáš Husák"	"Georgínová 59
967 72 Malé Hoste"
"Emília Kocianová"	"Budyšínska 887
084 91 Hôrka"
"Vratko Husák"	"Lovinského 2
806 46 Bukovce"
"PhDr. Alexandra Vlnová"	"Trojičné námestie 7
845 88 Pohronský Ruskov"
"Hugo Kelo"	"Chorvátska 8
952 83 Nový Tekov"
"Libor Samson"	"Tabaková 4
981 70 Brvnište"
"Liliana Dudoková"	"Ovčiarska 8
822 71 Kračúnovce"
"Roman Kráľ"	"Na Brezinách 57
042 59 Ďubákovo"
"Valentína Michaleková"	"Hýrošova 466
071 35 Silica"
"Bohdan Magál"	"Slovnaftská 317
012 95 Príbelce"
"Júlia Šlahorová"	"Námestie sv. Petra a 71
881 25 Bačka"
"Slavomíra Jánošíková"	"Budovateľská 755
968 95 Lužany"
"Henrich Macháček"	"Pekná cesta 7
869 29 Čadca"
"Alojz Masárik"	"Brestová 6
877 67 Babiná"
"Lívia Ficová"	"Na križovatkách 49
939 63 Priekopa"
"Aiko Fabušová"	"Drieňová 727
008 56 Ladomirová"
"Bernard Zubko"	"Šrobárovo námestie 2
945 35 Veľký Cetín"
"Frederika Kusková"	"Odborárska 4
927 37 Suchá Hora"
"Petra Imrichová"	"Skalná 4
839 78 Svätuš"
"Bohdana Dusková"	"Donská 68
980 61 Sejkov"
"Žigmund Kuba"	"Černyševského 740
038 60 Báhoň"
"Luna Kopová"	"Ambroseho 51
821 22 Lubeník"
"Rozália Margitová"	"Valachovej 327
997 99 Chrámec"
"Agáta Šimová"	"Mlynské nivy 3
830 35 Veľké Dvorany"
"Libor Junas"	"Kolárska 8
077 21 Turčok"
"Roman Dula"	"Stará Ivánska cesta 93
022 32 Nedašovce"
"Viliam Líška"	"Gorazdova 226
039 55 Domaníky"
"JUDr. Urban Filípek DSc."	"Krížna 57
897 37 Havranec"
"Zora Jančeková"	"Vavilovova 785
909 12 Belá"
"Bohdana Holčíková"	"Lónyaiová 4
871 51 Bojnice"
"Jolana Vicenová"	"Klokočova 402
863 11 Pukanec"
"Medard Michalica"	"Na Riviére 815
894 58 Abrahám"
"Gregor Hanak"	"Budyšínska 45
837 75 Hubovo"
"Stanislava Jurinová"	"Pod záhradami 4
063 35 Dojč"
"Estera Ihnačáková"	"Briežky 27
947 84 Zbudská Belá"
"Augustín Kubko"	"Pohronská 6
851 30 Stará Kremnička"
"Jaroslava Paľková"	"Varšavská 61
964 58 Kynceľová"
"Bohdan Ďurka"	"Kľukatá 25
091 09 Hôrka"
"Tadeáš Masný"	"Dudvážska 36
925 94 Veľký Klíž"
"Bohdana Jurčová"	"Jelačičova 44
978 46 Čremošné"
"Adela Krúpová"	"Záhorácka 22
950 38 Malá Lodina"
"Alojz Koppa"	"Rajecká 69
886 58 Brdárka"
"Pavol Očenáš"	"Kremnická 71
884 21 Kristy"
"Hortenzia Jánošíková"	"Staromestská 613
066 38 Modrová"
"Alana Paľková"	"Prípojná 4
925 39 Ludanice"
"René Paľov"	"Nad kúriou 834
019 59 Karná"
"Nina Kováčiková"	"Orchideová 605
962 84 Trhová Hradská"
"Zuzana Drajnová"	"Toplianska 14
853 18 Lemešany"
"Jaroslav Slašťan"	"Štúrova 51
014 18 Jablonica"
"Bohumil Hrušovský"	"Pribinova 9
067 89 Sokolovce"
"Bohdan Vaško"	"Kostolná 7
918 97 Hurbanovo"
"Eduard Palo"	"Pod záhradami 29
014 28 Slavkovce"
"Ignác Markuš"	"Makovického 132
849 47 Malé Dvorníky"
"Matej Fedor"	"Priemyselná 6
059 70 Okres Košice IV"
"Oskár Plavucha"	"Čavojského 625
061 51 Žakovce"
"Aiko Kubíčeková"	"Soferove schody 937
018 42 Hradište"
"Ružena Filipková"	"Daliborovo námestie 8
811 15 Adidovce"
"Tamara Majeská"	"Trhová 67
065 55 Seňa"
"Ján Mačko"	"Prepoštská 896
074 41 Nadlice"
"Bohumil Jurkovič"	"Milana Marečka 84
058 28 Makovce"
"Miloslav Dudo Ph.D."	"Mudroňova 7
867 15 Poľný Kesov"
"Oxana Tománeková"	"Stará Ivánska cesta 683
000 67 Varhaňovce"
"Hermína Tomeková"	"Jelenia 2
999 37 Lukavica"
"Michal Paľúch"	"Röntgenova 1
016 91 Dolný Lieskov"
"Miloslav Borový"	"Lodná 17
066 17 Turčianske Jaseno"
"Gizela Kozáčiková"	"Brestová 19
969 13 Palota"
"Bartolomej Martinka"	"Novosvetská 83
007 50 Tajov"
"Branislava Hanková"	"Prístavná 804
814 88 Fekišovce"
"René Nôta"	"Čulenova 2
896 84 Nolčovo"
"Bohumil Lesný"	"Devínska cesta - kam 21
981 27 Pčoliné"
"Boris Kolár"	"Cesta na Klanec 470
050 66 Kostolec"
"Fedor Deák"	"Mlynské nivy 33
853 42 Moravany"
"Kristína Romančíková"	"Bajkalská 416
005 70 Hájske"
"Svetozár Šuňavec"	"Na varte 509
002 29 Sečianky"
"Peter Jonata"	"Na lánoch 734
830 64 Dubové"
"Bronislava Korecová"	"Sklenárska 16
865 08 Ďurková"
"Vlasta Rybáriková Ph.D."	"Magnezitová 631
874 71 Brestov nad Laborcom"
"Tamara Hrašková"	"Odborárske námestie 82
042 81 Hôrky"
"Frederik Beňuška"	"Lombardiniho 37
054 60 Modra"
"Bohumil Lubina"	"Sasinkova 346
885 12 Vráble"
"Ľubomír Holíček"	"Nevská 6
099 57 Ardovo"
"Vendelín Drotár"	"Kalinčiakova 242
058 25 Rovné"
"Vincent Miklík"	"Chmeľová 669
969 04 Viničky"
"Lucia Špilárová"	"Nové záhrady II 525
989 18 Krajné Čierno"
"Félix Paľka"	"Dolné Koruny 900
834 90 Prašice"
"Frederika Lukšová"	"Stropkovská 407
925 00 Oborín"
"Gizela Kunková"	"Pod Klepáčom 898
041 43 Ružomberok"
"Radovan Mak"	"Račianska 58
853 19 Praha"
"Silvester Krajčovič"	"Domové role 689
014 80 Zákopčie"
"Bohumil Šimko"	"Ovsištské námestie 1
820 82 Revúca"
"Vlasta Šulcová"	"Na výslní 3
861 96 Veľká Paka"
"Dáša Tomašeková"	"Koziarka 605
822 09 Rimavské Janovce"
"Kristína Mrázková"	"Štetinova 88
964 95 Kurimka"
"Roland Dubovský"	"Septimiova 22
979 56 Pečeňady"
"MUDr. Melánia Baranková"	"Rozálska 768
824 61 Hrachovište"
"Sidónia Kupková"	"Hradné údolie 51
891 73 Hanigovce"
"Magdaléna Krajčíová"	"Slepá 80
981 61 Dolné Otrokovce"
"Slavomír Vlna"	"Rovníková 5
038 20 Kučín"
"Timea Rojeková"	"Cesta na Kamzík 2
027 18 Zábiedovo"
"Bohumil Štefánik"	"Lužická 829
082 12 Horné Obdokovce"
"Aleš Madara"	"Dargovská 888
910 96 Otrhánky"
"Kristína Kolniková"	"Makovického 32
963 80 Muľa"
"Henrieta Zachariášová"	"Sartorisova 36
042 69 Dolné Naštice"
"Štefan Krasnohorský"	"Luhačovická 837
851 31 Pavčina Lehota"
"Justína Šťastná"	"Hodonínska 1
966 42 Jelšovec"
"Ružena Šimeková"	"Beblavého 757
906 39 Halič"
"Ondrej Baranka"	"Riazanská 530
866 95 Richvald"
"Slavomíra Valušeková"	"Bujnáková 498
094 25 Podhradie"
"Dominika Fabianová"	"Rastlinná 3
936 18 Košeca"
"Bohumila Gašparovičová DSc."	"Ráztočná 575
087 86 Tomášovce"
"Ivana Plavuchová"	"Muštová 7
968 41 Motyčky"
"Štefánia Ďurová"	"Gusevova 268
031 26 Kolonica"
"Sergej Klapka"	"Krokusová 3
829 98 Bánovce nad Bebravou"
"Anabela Palovčíková"	"Belopotockého 87
031 51 Kameňany"
"Július Hraško"	"Budatínska 93
086 31 Slatinské Lazy"
"Frederik Rusňak"	"Farebná 41
869 59 Družstevná pri Hornáde"
"Antónia Uramová"	"Rulandská 41
004 39 Podvysoká"
"Hermína Jánošíková"	"Zlaté schody 2
896 71 Petrovany"
"Vavrinec Dančiak"	"Hradná 167
888 23 Bohunice"
"Bohumila Hanková"	"Muštová 6
945 99 Kusín"
"Miroslava Slivková"	"Černockého 580
092 38 Stará Myjava"
"Dominik Filc"	"Varšavská 956
836 68 Klokočov"
"Anežka Hanáková"	"Pri hrádzi 849
842 59 Boliarov"
"Leopolda Ondrušová"	"Kmeťovo námestie 751
033 10 Chocholná - Velčice"
"Bibiána Paľovová"	"Šulekova 5
098 07 Čataj"
"Rudolf Michalík"	"Štetinova 188
944 28 Bara"
"Dagmara Machatová"	"Hutnícka 826
959 66 Chvalová"
"Kvetoslav Mydlo"	"Gelnická 5
827 52 Regetovka"
"Perla Hrdličková"	"Priečna 29
013 71 Hodejov"
"Bohumila Jakubková"	"Šafárikovo námestie 399
839 79 Matysová"
"Alexej Štefanka"	"Strakova 36
068 92 Fulianka"
"Terézia Mistríková"	"Nevädzová 293
083 58 Gerlachov"
"Eduard Obšut"	"Buzalkova 137
036 42 Vyšný Kubín"
"Gabriela Vavrinecová"	"Na výslní 5
961 56 Salka"
"Félix Ker"	"Rímska 282
920 18 Rakovnica"
"Ľudomil Marta"	"Vínna 541
888 77 Divina"
"Hana Pauliková"	"Svätého Vincenta 26
019 44 Drienica"
"Silvester Dančák"	"Ladislava Batthyányh 84
816 61 Nová Lesná"
"Maximilián Paľo"	"Hálkova 18
847 99 Drnava"
"Bohumila Michálechová"	"Zálužická 1
925 46 Vydrná"
"Jerguš Murgaš"	"Hronska 37
964 02 Petrová"
"Oľga Samsonová"	"Šuty 6
913 86 Kolibabovce"
"Ľudomil Koč DiS."	"Harmincova 14
939 24 Veľké Zálužie"
"Rastislav Kollár"	"Spádová 41
091 92 Turčiansky Ďur"
"Tamara Kolniková"	"Sadmelijská 60
065 21 Dlhá nad Oravou"
"Drahomír Jakuba"	"Ľadová 8
070 84 Kyjatice"
"Monika Moricová"	"Žehrianska 9
977 42 Gerlachov"
"Miloš Holubko"	"Bilíkova 6
051 66 Kobyly"
"Hubert Zigo"	"Jaskový rad 2
054 63 Zbudské Dlhé"
"Bohumír Korec"	"Pestovateľská 2
027 68 Turie"
"Alojz Dvorský"	"Na spojke 37
883 22 Livovská Huta"
"Zdenko Tatár"	"Hontianska 8
002 22 Ňagov"
"Frederik Martin"	"Zámočnícka 51
850 33 Zázrivá"
"Ľubomíra Jánová"	"Šrobárovo námestie 79
935 23 Medvedie"
"Alžbeta Krasnohorská"	"Karloveská 20
975 96 Budikovany"
"Rozália Kaliňáková"	"Bojnická 4
974 94 Huncovce"
"Oliver Brezina"	"Vajnorská 379
850 67 Kalinovo"
"Beáta Hilmerová"	"Hradská 6
939 09 Tajná"
"Bohuš Tomek"	"Hydinárska 442
833 00 Zemplínsky Branč"
"Bohumír Kovaľ"	"Varšavská 646
038 11 Vrútky"
"Valentín Jakubček"	"Drotárska cesta 105
080 47 Plevník - Drienové"
"Ľubomír Maďara"	"Radlinského 3
817 48 Kozelník"
"Herbert Slivka"	"Na paši 159
809 17 Žirany"
"Zita Móricová"	"Ulica Jozefa Krónera 914
085 78 Jalšové"
"Norbert Kocka"	"Prípojná 243
918 99 Prašice"
"Božena Salajková"	"Ukrajinská 7
819 30 Veľké Kostoľany"
"Theodora Paveleková"	"Mokráň záhon 419
932 61 Holice"
"Valentín Škriniar"	"Borievková 1
083 08 Varechovce"
"Magdaléna Krajčírová"	"Peterská 5
943 89 Sady nad Torysou"
"Bohumír Plavec"	"Kostolná 4
980 77 Norovce"
"Alžbeta Šimonovičová"	"Sklenárska 2
833 75 Starina"
"Perla Salajová"	"Novackého 95
936 70 Vrícko"
"Soňa Fabiánová"	"Kamenné námestie 705
874 92 Margecany"
"Laura Dančáková"	"Beskydská 63
841 51 Slavoška"
"Andrej Pavuk"	"Búdkova cesta 177
872 79 Čierne Kľačany"
"Vlasta Mihaliková"	"Kratiny 7
925 99 Hričovské Podhradie"
"Valentín Drotár Th.D."	"Nábrežná 14
919 80 Jablonov nad Turňou"
"Marcel Greguš"	"Čučoriedková 5
889 44 Bzovská Lehôtka"
"Gabriela Navarová"	"Karpatské námestie 370
054 79 Ruská Poruba"
"Bohuslav Dancák"	"Dolné Koruny 4
813 25 Dolná Mariková"
"Diana Chalupková"	"Františka Schmuckera 46
079 55 Prietrž"
"Lesana Kolesárová"	"Mramorová 928
047 00 Makovce"
"Alexej Hus"	"Chorvátska 12
080 65 Lendak"
"Matúš Gavorník"	"Kvetinárska 50
042 95 Radzovce"
"Ľubica Velďáková"	"Vajnorská 58
016 71 Kľúčovec"
"Theodora Polláková"	"Dargovská 4
803 29 Spišský Štvrtok"
"Ing. Michaela Hliníková"	"Kladnianska 954
057 93 Trenčianska Teplá"
"Blahoslav Kubiček"	"Segnáre 5
084 93 Pitelová"
"Benedikt Čekovský"	"Ríbezľová 3
942 33 Hladovka"
"Bohuslav Dančiak"	"Pestovateľská 843
087 33 Ľubá"
"Melánia Nálepková"	"Poloreckého 407
014 95 Kalinov"
"Oxana Bártová"	"Prúdová 8
067 40 Osuské"
"Matilda Kopová"	"Trnavské mýto 87
923 86 Sasinkovo"
"Kristián Bednár"	"Stachanovská 28
936 01 Šemša"
"Kornel Šlahor"	"Plzenská 95
013 89 Brestov nad Laborcom"
"Adriána Križanová"	"Na Riviére 1
818 31 Záhorská Ves"
"Anna Ondrušová"	"Tabaková 698
939 74 Turčianske Kľačany"
"Ida Kubičeková"	"Nezábudková 3
881 82 Nižný Skálnik"
"Norbert Pavko"	"Petržalská 4
887 47 Ondrejovce"
"Bohuslav Devečka"	"Krátka 9
876 50 Záhradné"
"Dagmara Jakubeková"	"Lysákova 697
039 39 Ľubovec"
"Miroslav Tomaň"	"Uhrova 901
941 68 Moštenica"
"Melichar Pavlikovský"	"Gessayova 3
872 22 Dolné Srnie"
"Leonard Chudík"	"Krížna 1
928 05 Ipeľské Úľany"
"Herbert Vozar Th.D."	"Mýtna 80
837 85 Ľubotice"
"Dominik Holubko"	"Pod Válkom 212
959 74 Obyce"
"Brigita Svrbíková"	"Záhradnícka 705
995 16 Hradisko"
"Daniel Lojek"	"Súbežná 93
056 36 Oľšavica"
"Cyprián Franka Th.D."	"Bulíkova 84
912 27 Okružná"
"Bohuslav Hoza"	"Einsteinova 16
843 90 Dvorníky - Včeláre"
"Andrej Krajčír"	"Hríbová 202
898 02 Sklabiňa"
"Justína Jurčinová"	"Pri Bielom kríži 9
028 47 Melek"
"MVDr. Ivana Pavková DiS."	"Cesta na Červený most 24
023 53 Košťany nad Turcom"
"Ignác Tomašek"	"Levanduľová 783
000 58 Rakša"
"Ferdinand Pauko"	"Slávičie údolie 613
816 18 Babinec"
"Jozef Bilko"	"Margarétková 710
811 78 Pavlovce"
"Teodor Orlík"	"Beniakova 5
911 92 Bardoňovo"
"Eliáš Klepáč"	"Borágova 308
050 51 Župčany"
"Drahoslav Repiský"	"Prvosienková 966
056 09 Petrova Ves"
"Bohuslav Kocka"	"Rulandská 87
015 06 Pinkovce"
"Romana Lukšová"	"Mozartova 9
914 00 Plavecké Podhradie"
"Stanislava Kušnírová"	"Na Zlatej nohe 534
039 31 Ruská Voľa nad Popradom"
"Valentína Zachariášová"	"Banšelova 226
069 63 Blažovce"
"Ivana Nálepková"	"Pestovateľská 597
998 11 Ptrukša"
"Bernard Jáno"	"Zákutie 917
885 35 Lenka"
"Blažena Gregušová"	"Skalická cesta 7
015 11 Hviezdoslavov"
"Benjamín Černoch"	"Šustekova 48
827 39 Trnávka"
"Agnesa Šarkanová"	"Rigeleho 6
097 22 Dolný Kubín"
"Jozef Daňa"	"Listová 634
031 02 Komárovce"
"Bohuslav Kuša"	"Čiernovodská 96
880 72 Šalgovce"
"Lea Markovičová"	"Pod záhradami 12
852 06 Pastovce"
"Slávka Rosová"	"Trnavská cesta 896
978 52 Podhradie"
"Ivica Junasová"	"Gorkého 57
801 44 Tŕnie"
"Jolana Kozáková"	"Saratovská 8
910 56 Brzotín"
"Svetozár Ďurica"	"Húščavova 63
878 99 Vyšné Remety"
"Zoltán Hroboň"	"Leškova 59
056 00 Veľké Kršteňany"
"Teodor Dvonč"	"Júlová 43
020 38 Slanec"
"Vratko Ondrejka"	"Budovateľská 23
836 40 Lekárovce"
"Eunika Hanúsková"	"Sabinovská 8
924 54 Cabaj - Čápor"
"Bohuslav Lupták"	"Zrinského 245
800 06 Lipová"
"Svetlana Klapáčová"	"Trnková 602
890 98 Pravenec"
"Ivona Kaliňáková"	"Bridlicová 8
820 36 Lieskovany"
"Bohumil Tatárka"	"Ľubinská 83
866 87 Želmanovce"
"Michal Paľa"	"Flöglova 146
051 64 Konrádovce"
"Alexandra Michalková"	"Mandľovníková 484
810 29 Hubina"
