"Achim Ababei"	"Intrarea Voinea
Sfantu Gheorghe, 845829" 
"Luca Barbu"	"Intrarea Doriana Popescu Nr. 171 Bl. 71  Sc. 62 Ap. 673
Valenii de Munte, 469523"
"Dana Marin"	"Aleea Pușcașu
Straja, 528356"
"Francesca Aanei"	"Strada Georgescu
Beclean, 564730"
"Alice Ardelean"	"Aleea Florea
Orsova, 901223"
"Ofelia Dinu"	"Strada Viorica Ardelean Nr. 44 Bl. 76  Sc. 74 Ap. 735
Sabaoani, 167045"
"Robert Nemeș"	"Drumul Francesca Popa Nr. 33 Bl. 42  Sc. 71 Ap. 613
Vatra Dornei, 221938"
"Achim Nistor"	"Strada Călin Ionescu
Blaj, 899681"
"Anaida Barbu"	"Strada Pop
Baia, 429626"
"Arian Dinu"	"Bulevardul Domnica Florea Nr. 436 Bl. 57  Sc. 90 Ap. 656
Sighetu Marmatiei, 536091"
"Damian Stancu"	"Intrarea Mazilescu
Ianca, 195357"
"Iuliana Niță"	"Drumul Dumitrescu Nr. 95
Victoria, 820300"
"Bănel Pușcașu"	"Aleea Nistor Nr. 161
Miercurea-Ciuc, 844505"
"Octaviu Albu"	"Aleea Tabacu
Falticeni, 784183"
"Florentin Diaconescu"	"Aleea Ionescu
Calafat, 822296"
"Ana Nistor"	"Aleea Ionescu
Targoviste, 357905"
"Tudora Ene"	"Intrarea Oprea Nr. 45
Baraolt, 424421"
"Draga Eftimie"	"Intrarea Ababei Nr. 780
Borsa, 791885"
"Sanda Nistor"	"Intrarea Vasile Voinea Nr. 85
Savinesti, 146593"
"Beatrice Barbu"	"Soseaua Ionescu Nr. 17
Lunca Cetatuii, 609767"
"Damian Stănescu"	"Aleea Veronica Diaconescu Nr. 97 Bl. 70  Sc. 10 Ap. 660
Curtea de Arges, 995912"
"Carolina Toma"	"Strada Albu
Gugesti, 202832"
"Eustațiu Dima"	"Soseaua Diaconescu Nr. 215 Bl. 83  Sc. 70 Ap. 278
Schela Cladovei, 731561"
"Beatrice Tudor"	"Aleea Niculiță Dumitrescu Nr. 29
Fagetel (Remetea), 209160"
"Cătălina Ene"	"Soseaua Tudorița Suciu Nr. 425
Lumina, 340937"
"Manuela Marin"	"Soseaua Popa Nr. 788
Oravita, 106075"
"Elodia Stan"	"Soseaua Nistor
Baia Sprie, 717899"
"Gicu Pop"	"Drumul Inocențiu Stancu Nr. 31
Salonta, 687248"
"Ancuța Dumitrescu"	"Intrarea Diaconescu
Buhusi, 453034"
"Ghiță Stoica"	"Strada Dumitrescu Nr. 932
Rodna, 441945"
"Dan Popa"	"Soseaua Agata Stancu Nr. 79 Bl. 71  Sc. 30 Ap. 557
Topoloveni, 969158"
"Dariana Ababei"	"Soseaua Tomescu Nr. 99 Bl. 76  Sc. 99 Ap. 738
Popesti-Leordeni, 486226"
"Codrina Nistor"	"Intrarea Andrei Stoica Nr. 89 Bl. 99  Sc. 44 Ap. 855
Sovata, 239282"
"Narcis Stancu"	"Bulevardul Stan Nr. 81 Bl. 39  Sc. 54 Ap. 261
Siret, 342283"
"Mioara Aanei"	"Bulevardul Aurel Dinu Nr. 24 Bl. 78  Sc. 10 Ap. 392
Constanta, 760057"
"Jenel Ene"	"Drumul Tudor Nr. 97
Branesti, 449981"
"Theodor Diaconescu"	"Intrarea Stan Diaconescu Nr. 39 Bl. 24  Sc. 75 Ap. 837
Lipova, 887679"
"Iurie Gheorghiu"	"Bulevardul Aanei
Dragalina, 332690"
"Andra Diaconescu"	"Bulevardul Preda Nr. 57
Sebis, 248209"
"Bianca Dumitrescu"	"Soseaua Georgescu Nr. 71 Bl. 40  Sc. 56 Ap. 759
Satu Mare, 682486"
"Dana Georgescu"	"Drumul Stancu
Berceni, 499441"
"Adelin Barbu"	"Soseaua Albu Nr. 22 Bl. 21  Sc. 84 Ap. 729
Ruscova, 896988"
"Sanda Barbu"	"Intrarea Ionescu Nr. 238
Talmaciu, 115535"
"Bebe Tomescu"	"Drumul Toma Nr. 43
Satu Mare, 705265"
"Valeria Ababei"	"Drumul Ene
Rovinari, 425797"
"Francesca Ioniță"	"Intrarea Popa Nr. 80 Bl. 88  Sc. 16 Ap. 839
Vaslui, 678016"
"Georgiana Manole"	"Aleea Cosmin Diaconu Nr. 714 Bl. 13  Sc. 92 Ap. 108
Rovinari, 885775"
"David Tudor"	"Strada Stănescu Nr. 44
Timisoara, 626026"
"Henrieta Aanei"	"Drumul Aneta Voinea Nr. 228
Vulcan, 970775"
"Gianina Stoica"	"Soseaua Gențiana Dobre Nr. 79
Cornetu, 739537"
"Dana Nistor"	"Intrarea Sebastian Ene Nr. 289 Bl. 47  Sc. 20 Ap. 983
Campulung Moldovenesc, 266846"
"Floriana Voinea"	"Strada Tomescu Nr. 90 Bl. 53  Sc. 90 Ap. 346
Filiasi, 992613"
"Roxelana Ardelean"	"Drumul Dima
Sangeorz-Bai, 181652"
"Andra Pop"	"Intrarea Suciu Nr. 579 Bl. 79  Sc. 84 Ap. 487
Dragalina, 281331"
"Dimitrina Voinea"	"Strada Dumitrescu
Murfatlar, 737795"
"Fabia Ardelean"	"Bulevardul Eftimie Nr. 25
Harlau, 444538"
"Emilia Stancu"	"Bulevardul Miron Dima Nr. 95
Chitila, 653566"
"Fabiana Ardelean"	"Strada Horia Toma
Sighisoara, 253304"
"Ionuț Diaconescu"	"Strada Liliana Stoica Nr. 58
Baia Mare, 838078"
"Adina Diaconescu"	"Strada Voinea
Sangeorz-Bai, 811890"
"Dana Popescu"	"Intrarea Oprea
Motru, 181987"
"Ionela Diaconescu"	"Intrarea Dinu Nr. 68
Petrila, 999241"
"Pătru Voinea"	"Strada Eugen Tabacu
Saveni, 407094"
"Răducu Aanei"	"Intrarea Diaconescu Nr. 115
Focsani, 539191"
"Teodosia Nistor"	"Aleea Popescu
Targoviste, 319035"
"Antoaneta Mazilescu"	"Intrarea Gheorghiu Nr. 70
Borsa, 327169"
"Codruța Dinu"	"Bulevardul Diaconu Nr. 306
Insuratei, 874970"
"Ieremia Diaconu"	"Soseaua Suciu
Balan, 187024"
"Florina Ioniță"	"Intrarea Ene Nr. 520 Bl. 19  Sc. 31 Ap. 805
Hunedoara, 112975"
"Gențiana Ene"	"Aleea Mariana Stan Nr. 75
Gherla, 530349"
"Dana Popescu"	"Soseaua Șerban Nistor Nr. 41 Bl. 78  Sc. 88 Ap. 413
Sinaia, 852873"
"Vincențiu Popescu"	"Drumul Florența Mocanu Nr. 253 Bl. 16  Sc. 29 Ap. 657
Poienile de sub Munte, 557696"
"Edmond Georgescu"	"Strada Niță Nr. 87 Bl. 30  Sc. 30 Ap. 882
Boldesti-Scaeni, 161705"
"Iustin Tudor"	"Aleea Steliana Popa
Bragadiru, 636619"
"Oana Marin"	"Drumul Preda Nr. 330 Bl. 86  Sc. 24 Ap. 888
Vicovu de Jos, 545347"
"Ileana Mocanu"	"Bulevardul Mazilescu
Toplita, 346116"
"Ica Oprea"	"Intrarea Aanei
Murfatlar, 868013"
"Leontin Dumitrescu"	"Soseaua Stoica Nr. 986 Bl. 77  Sc. 47 Ap. 411
Valu lui Traian, 283019"
"Ortansa Marin"	"Aleea Ionescu Nr. 447
Tulcea, 965640"
"Cezar Mazilescu"	"Soseaua Toma
Petrila, 751565"
"Daniel Dobre"	"Strada Vicențiu Albu Nr. 56 Bl. 57  Sc. 30 Ap. 501
Negresti, 622284"
"Nicolae Cristea"	"Aleea Ioniță Nr. 35 Bl. 60  Sc. 94 Ap. 296
Odorheiu Secuiesc, 248367"
"Marian Preda"	"Drumul Evanghelina Nistor Nr. 590
Saveni, 162072"
"Horea Tabacu"	"Strada Ioniță Nr. 559
Ploiesti, 657054"
"Alexandra Stan"	"Strada Dochioiu Nr. 94 Bl. 28  Sc. 64 Ap. 196
Vladimirescu, 396213"
"Dochia Popescu"	"Intrarea Alexe Aanei Nr. 62 Bl. 39  Sc. 75 Ap. 278
Lunca Cetatuii, 855966"
"Mara Albu"	"Soseaua Eftimie Nr. 308 Bl. 67  Sc. 66 Ap. 788
Ianca, 575723"
"Pompiliu Dima"	"Soseaua Floarea Albu
Modelu, 782632"
"Zeno Stoica"	"Soseaua Stănescu
Arbore, 454555"
"Ana Dima"	"Aleea Nistor Nr. 81 Bl. 65  Sc. 78 Ap. 107
Valea lui Mihai, 181595"
"Daniel Stan"	"Aleea Geta Voinea Nr. 63 Bl. 78  Sc. 70 Ap. 759
Bragadiru, 421779"
"Horațiu Marin"	"Intrarea Amedeu Popa Nr. 790
Cobadin, 231858"
"Emilia Dochioiu"	"Aleea Mazilescu Nr. 96 Bl. 11  Sc. 77 Ap. 942
Iernut, 490562"
"Adrian Stoica"	"Intrarea Filip Oprea
Alesd, 685219"
"Aglaia Ababei"	"Strada Pușcașu Nr. 976 Bl. 83  Sc. 66 Ap. 119
Peretu, 322670"
"Emilian Eftimie"	"Intrarea Stănescu
Tuzla, 953023"
"Andrei Stan"	"Strada Ionescu
Pantelimon, 503278"
"Mihnea Stoica"	"Aleea Dochioiu Nr. 815
Targu Lapus, 384225"
"Evelina Nistor"	"Intrarea Tabacu
Fieni, 955511"
"Amza Pușcașu"	"Soseaua Popa Nr. 66 Bl. 73  Sc. 14 Ap. 313
Fagaras, 688420"
"Daniela Dobre"	"Bulevardul Aanei
Giroc, 947463"
"Vasilica Dumitrescu"	"Intrarea Leana Eftimie
Schela Cladovei, 179441"
"Lucrețiu Dobre"	"Strada Nistor Nr. 794
Falticeni, 682682"
"Florența Nistor"	"Bulevardul Cristea Ionescu
Targu Frumos, 751894"
"Octavia Albu"	"Intrarea Barbu Nr. 909
Harlau, 196285"
"Margareta Dumitrescu"	"Aleea Voinea
Slobozia, 560627"
"Teea Stoica"	"Strada Florea
Eforie Nord, 573561"
"Daiana Diaconu"	"Aleea Ioniță Nr. 893
Zimnicea, 289641"
"Niculiță Tomescu"	"Bulevardul Julieta Mazilescu Nr. 27
Uricani, 896145"
"Gherghina Ene"	"Drumul Stan
Fetesti-Gara, 118742"
"Daniela Dochioiu"	"Aleea Popescu Nr. 37
Cudalbi, 484013"
"Dorina Dima"	"Aleea Nemeș Nr. 73
Sabaoani, 433132"
"Ofelia Niță"	"Bulevardul Mazilescu Nr. 96
Gheorgheni, 376032"
"Ghenadie Manole"	"Strada Andreea Dumitrescu Nr. 544
Berceni, 299048"
"Evanghelina Nemeș"	"Bulevardul Stănescu Nr. 888
Odobesti, 493292"
"Petru Dobre"	"Aleea Ene Nr. 702 Bl. 64  Sc. 98 Ap. 976
Techirghiol, 201806"
"Adriana Ioniță"	"Drumul Marin Nr. 55
Mioveni, 396154"
"Ludovic Dinu"	"Aleea Petruța Aanei Nr. 65
Corabia, 758127"
"Mitruț Pop"	"Aleea Jenel Niță Nr. 762
Nasaud, 713864"
"Vanesa Dinu"	"Drumul Diaconu Nr. 77 Bl. 17  Sc. 61 Ap. 851
Corund, 846737"
"Daniela Ionescu"	"Aleea Ene
Pascani, 523062"
"Adam Pop"	"Soseaua Tomescu Nr. 226
Busteni, 283474"
"Gabriel Stoica"	"Soseaua Dima Nr. 239 Bl. 92  Sc. 40 Ap. 957
Codlea, 286393"
"Zoe Aanei"	"Strada Diaconu Nr. 156 Bl. 91  Sc. 57 Ap. 969
Mogosoaia, 979746"
"Clementina Ababei"	"Strada Mihail Nistor Nr. 783 Bl. 46  Sc. 82 Ap. 816
Calan, 890730"
"Silviana Niță"	"Drumul Alexe Ioniță
Rovinari, 355893"
"Achim Ene"	"Aleea Ionuț Georgescu Nr. 40
Buftea, 144779"
"Simion Voinea"	"Aleea Tudor Nr. 888 Bl. 24  Sc. 39 Ap. 955
Bosanci, 875364"
"Virginia Albu"	"Aleea Aanei
Mihail Kogalniceanu, 729553"
"Niculiță Cristea"	"Bulevardul Toma Nr. 140 Bl. 36  Sc. 26 Ap. 475
Campulung Moldovenesc, 567932"
"Daria Dima"	"Drumul Albert Pop Nr. 62 Bl. 48  Sc. 62 Ap. 720
Deva, 806015"
"Ernest Barbu"	"Strada Niță Nr. 26 Bl. 28  Sc. 30 Ap. 727
Vlahita, 698839"
"Carina Ababei"	"Bulevardul Nistor Nr. 52
Campia Turzii, 933458"
"Bianca Tomescu"	"Bulevardul Popescu Nr. 84
Marginea, 203294"
"Georgia Voinea"	"Intrarea Elvira Mocanu Nr. 73 Bl. 95  Sc. 84 Ap. 248
Zalau, 168861"
"Flaviu Ababei"	"Soseaua Aurora Ababei Nr. 62
Mizil, 443009"
"Eugen Dima"	"Aleea Barbu
Negresti-Oas, 960347"
"Norman Stoica"	"Soseaua Florea Nr. 838
Chisineu-Cris, 780553"
"Safta Dochioiu"	"Aleea Florea Nr. 840
Popesti-Leordeni, 715662"
"Betina Gheorghiu"	"Bulevardul Stoica
Bolintin-Vale, 763847"
"Daria Nistor"	"Soseaua Axenia Stancu Nr. 49 Bl. 99  Sc. 93 Ap. 346
Orsova, 838891"
"Sorin Pușcașu"	"Drumul Pușcașu Nr. 41 Bl. 30  Sc. 56 Ap. 553
Toflea, 191677"
"Ilona Tomescu"	"Intrarea Diaconescu Nr. 49
Jibou, 884789"
"Codruța Voinea"	"Bulevardul Popa Nr. 904
Baraolt, 980848"
"Simona Gheorghiu"	"Strada Elisabeta Nistor Nr. 539 Bl. 46  Sc. 50 Ap. 972
Roman, 377948"
"Angela Dobre"	"Aleea Fiona Marin
Borsa, 213302"
"Ioan Ardelean"	"Drumul Anabela Dinu Nr. 38
Onesti, 324509"
"Corina Tudor"	"Aleea Toma Nr. 736 Bl. 93  Sc. 31 Ap. 656
Sangeorz-Bai, 133026"
"Monalisa Stan"	"Soseaua Dinu Nr. 438
Breaza de Sus, 586797"
"Ileana Niță"	"Strada Ivan Florea Nr. 22 Bl. 50  Sc. 45 Ap. 289
Popesti-Leordeni, 906177"
"Daria Stan"	"Drumul Anton Nemeș
Titu, 830511"
"Catrinel Gheorghiu"	"Intrarea Oprea Nr. 748
Poiana Mare, 860732"
"Cedrin Nemeș"	"Intrarea Pop
Falticeni, 780686"
"Olga Oprea"	"Intrarea Popescu Nr. 78 Bl. 74  Sc. 25 Ap. 259
Matca, 422558"
"Theodor Tudor"	"Aleea Niță
Piatra-Neamt, 179991"
"Edmond Voinea"	"Strada Dinu
Strejnicu, 882312"
"Horea Aanei"	"Aleea Florea Nr. 734 Bl. 56  Sc. 77 Ap. 944
Urziceni, 267605"
"Margareta Popescu"	"Strada Ionescu Nr. 43 Bl. 50  Sc. 21 Ap. 177
Fundeni, 538068"
"Alina Dochioiu"	"Intrarea Florea
Darmanesti, 180020"
"Laurian Popa"	"Soseaua Bebe Pușcașu Nr. 68
Slatina, 114547"
"Dariana Dochioiu"	"Strada Mazilescu Nr. 59 Bl. 55  Sc. 84 Ap. 760
Tecuci, 554345"
"Anastasia Nemeș"	"Soseaua Diaconu Nr. 107 Bl. 36  Sc. 43 Ap. 740
Mangalia, 591628"
"Milena Ene"	"Intrarea Oprea
Calafat, 204472"
"Romeo Ionescu"	"Bulevardul Consuela Dobre
Negresti, 983380"
"Fiona Popa"	"Soseaua Ene Nr. 544 Bl. 92  Sc. 15 Ap. 559
Sangeorz-Bai, 918547"
"Augustin Diaconu"	"Soseaua Georgescu Nr. 228 Bl. 63  Sc. 32 Ap. 538
Sinaia, 519104"
"Bogdana Cristea"	"Bulevardul Ovidiu Mazilescu
Targu Ocna, 688070"
"Veta Diaconescu"	"Bulevardul Stan Nr. 738 Bl. 85  Sc. 65 Ap. 112
Marghita, 280260"
"Gică Georgescu"	"Soseaua Constanța Tabacu
Mihail Kogalniceanu, 571627"
"Măriuca Diaconu"	"Soseaua Eusebiu Ardelean Nr. 41 Bl. 55  Sc. 84 Ap. 789
Gaesti, 191719"
"Darius Dima"	"Intrarea Luca Marin Nr. 31
Fieni, 908261"
"Lascăr Tabacu"	"Aleea Dochioiu Nr. 56 Bl. 26  Sc. 67 Ap. 218
Pascani, 943364"
"Gabriela Popa"	"Intrarea Ene
Satu Mare, 919356"
"Veta Dinu"	"Aleea Eftimie
Darmanesti, 951546"
"Rebeca Cristea"	"Soseaua Ababei
Navodari, 621615"
"Oliviu Manole"	"Bulevardul Voinea
Bistrita, 273345"
"Marian Aanei"	"Bulevardul Albu
Pascani, 172828"
"Denis Pop"	"Strada Maricica Dochioiu
Moisei, 533627"
"Maria Florea"	"Soseaua Niță
Sovata, 616381"
"Letiția Nistor"	"Bulevardul Toma
Odorheiu Secuiesc, 117686"
"Darius Nistor"	"Bulevardul Iuliana Suciu
Gugesti, 258385"
"Maricica Pop"	"Aleea Dacian Nemeș
Ineu, 667341"
"Jeana Ardelean"	"Drumul Eftimie Nr. 709 Bl. 48  Sc. 64 Ap. 947
Targu Lapus, 632928"
"Natașa Stănescu"	"Aleea Mazilescu
Mioveni, 573949"
"Bogdan Dochioiu"	"Strada Florea Nr. 43
Satu Mare, 274929"
"Ina Diaconu"	"Intrarea Dochioiu
Branesti, 969181"
"Narcisa Mazilescu"	"Intrarea Diaconu Nr. 153
Giroc, 634158"
"Cătălina Dima"	"Strada Toma Nr. 28
Saveni, 673865"
"Ioan Diaconu"	"Bulevardul Georgescu
Strejnicu, 107113"
"Ecaterina Ene"	"Aleea Voinea
Fetesti, 625407"
"Darius Stancu"	"Bulevardul Geanina Mocanu Nr. 972 Bl. 13  Sc. 64 Ap. 519
Corund, 249068"
"Anemona Marin"	"Strada Stancu Nr. 516 Bl. 38  Sc. 67 Ap. 102
Strehaia, 621263"
"Ludovica Tomescu"	"Soseaua Doina Mocanu Nr. 924
Arbore, 655035"
"Valter Tabacu"	"Soseaua Tudor Nr. 57 Bl. 71  Sc. 98 Ap. 944
Fundulea, 287918"
"Miruna Ioniță"	"Intrarea Ciprian Barbu Nr. 27 Bl. 50  Sc. 89 Ap. 676
Baia, 948485"
"Adriana Ene"	"Soseaua Ioanina Pușcașu
Prejmer, 694820"
"Norica Stancu"	"Drumul Tabacu
Negresti, 904456"
"Ilarion Diaconescu"	"Soseaua Popescu
Ramnicu Sarat, 466475"
"Emil Popescu"	"Strada Mădălin Popescu
Raducaneni, 404155"
"Erica Aanei"	"Bulevardul Ioanina Niță Nr. 187
Chisineu-Cris, 690892"
"Decebal Albu"	"Intrarea Ioniță Nr. 759
Baile Borsa, 795875"
"Anghelina Diaconescu"	"Soseaua Dinu Nr. 971
Matca, 750894"
"Safta Ionescu"	"Bulevardul Cornelia Suciu Nr. 636 Bl. 78  Sc. 27 Ap. 836
Stei, 653031"
"Alis Stancu"	"Strada Agnos Diaconu Nr. 558
Buftea, 681197"
"Ernest Dobre"	"Aleea Cristea
Targu Lapus, 415673"
"Zaraza Toma"	"Intrarea Tudor Nr. 63 Bl. 12  Sc. 71 Ap. 785
Busteni, 373880"
"Dan Marin"	"Aleea Suciu
Resita, 468971"
"Lia Preda"	"Strada Gheorghiu Nr. 51 Bl. 17  Sc. 64 Ap. 401
Constanta, 288987"
"Traian Ababei"	"Soseaua Ina Florea
Rodna, 819644"
"Safta Dima"	"Soseaua Georgescu
Satu Mare, 516743"
"Decebal Dima"	"Soseaua Ludovic Tomescu Nr. 903
Toplita, 411762"
"Viorica Ioniță"	"Strada Dochioiu Nr. 63 Bl. 87  Sc. 68 Ap. 722
Suceava, 284752"
"Rodica Toma"	"Drumul Toma
Poiana Mare, 951876"
"Paul Florea"	"Strada Monica Ioniță Nr. 10 Bl. 69  Sc. 18 Ap. 436
Sfantu Gheorghe, 866229"
"Carmina Stoica"	"Intrarea Rica Marin Nr. 32 Bl. 74  Sc. 53 Ap. 791
Craiova, 398630"
"Anton Dochioiu"	"Aleea Nistor
Valea Caselor (Dragasani), 175706"
"Delia Barbu"	"Drumul Zamfira Suciu Nr. 332
Marghita, 273396"
"Paraschiva Florea"	"Bulevardul Cristea
Fetesti-Gara, 630776"
"Mircea Toma"	"Soseaua Georgescu
Moinesti, 681292"
"Emanuel Stan"	"Intrarea Elena Popa
Tufesti, 751932"
"Decebal Tomescu"	"Aleea Horia Suciu Nr. 943
Moldova Veche, 389202"
"Catinca Nemeș"	"Soseaua Ernest Marin Nr. 98 Bl. 80  Sc. 30 Ap. 961
Fagetel (Remetea), 991378"
"Ivan Popescu"	"Drumul Florea Niță
Urziceni, 169288"
"Ducu Nemeș"	"Soseaua Dumitrescu
Modelu, 372079"
"Amelia Toma"	"Soseaua Stănescu Nr. 84
Sannicolau Mare, 810222"
"Dimitrina Voinea"	"Aleea Georgescu Nr. 276
Rosu, 213992"
"Viorica Dochioiu"	"Intrarea Cosmina Ene Nr. 87
Borcea, 344474"
"Pamela Aanei"	"Aleea Stan
Bumbesti-Jiu, 901338"
"Olivia Gheorghiu"	"Strada Stela Barbu Nr. 76
Dumbraveni, 453159"
"Brândușa Florea"	"Strada Dobre Nr. 98
Vladimirescu, 629699"
"Delia Dobre"	"Bulevardul Cazimir Ionescu Nr. 86 Bl. 13  Sc. 88 Ap. 315
Comanesti, 277616"
"Ludmila Mazilescu"	"Aleea Simina Dumitrescu Nr. 310
Aiud, 472352"
"Ruxandra Stan"	"Strada Ionescu Nr. 908
Targu Secuiesc, 568491"
"Dumitra Marin"	"Intrarea Mioara Manole Nr. 425
Peris, 411626"
"Anaida Dobre"	"Drumul Todor Diaconu
Valea Mare (Babeni), 881337"
"Iancu Ardelean"	"Strada Iosefina Ababei Nr. 799
Deta, 779890"
"Arsenie Georgescu"	"Drumul Stoica
Constanta, 578592"
"Octaviu Ioniță"	"Aleea Dobre Nr. 965 Bl. 74  Sc. 41 Ap. 976
Sancraiu de Mures, 809913"
"Oliviu Ene"	"Aleea Stan Nr. 36
Campulung Moldovenesc, 121111"
"Ivan Diaconescu"	"Soseaua Frusina Ene Nr. 50 Bl. 50  Sc. 82 Ap. 773
Campina, 268843"
"Delia Dochioiu"	"Bulevardul Diaconescu
Onesti, 379250"
"Sandu Gheorghiu"	"Drumul Codruț Cristea
Busteni, 194834"
"Ortansa Popa"	"Bulevardul Nistor Nr. 27 Bl. 63  Sc. 65 Ap. 268
Matca, 720779"
"Giorgian Albu"	"Strada Cristea Nr. 635 Bl. 47  Sc. 55 Ap. 216
Gherla, 395368"
"Tudor Ioniță"	"Drumul Gherghina Florea Nr. 785
Oravita, 503726"
"Rada Popescu"	"Strada Ababei Nr. 32 Bl. 95  Sc. 78 Ap. 905
Tecuci, 490229"
"Ștefania Florea"	"Strada Noemi Voinea Nr. 96 Bl. 32  Sc. 88 Ap. 549
Floresti, 310649"
"Valeria Tomescu"	"Drumul Albu Nr. 45
Ludus, 663511"
"Angel Marin"	"Aleea Stancu
Moisei, 366744"
"Daiana Georgescu"	"Intrarea Niță
Oradea, 708955"
"Delia Pop"	"Strada Dochioiu Nr. 672 Bl. 45  Sc. 58 Ap. 615
Valea Mare (Babeni), 315073"
"Dorin Dobre"	"Soseaua Nemeș Nr. 14
Valea Caselor (Dragasani), 206481"
"Oana Nemeș"	"Bulevardul Preda
Horodnic de Sus, 777931"
"Venera Stan"	"Strada Ionescu
Simleu Silvaniei, 406337"
"Mădălina Albu"	"Intrarea Marin Nr. 20 Bl. 62  Sc. 66 Ap. 265
Medgidia, 875582"
"Roxelana Pușcașu"	"Bulevardul Suciu Nr. 12
Bragadiru, 608257"
"Ina Diaconu"	"Aleea Popescu
Uricani, 362519"
"Alistar Aanei"	"Soseaua Manole
Arbore, 338872"
"Francisc Nistor"	"Intrarea Oprea Nr. 540 Bl. 18  Sc. 35 Ap. 337
Tarnaveni, 861751"
"Dorina Barbu"	"Bulevardul Suciu Nr. 79 Bl. 47  Sc. 39 Ap. 902
Iernut, 932499"
"Delia Stancu"	"Bulevardul Ionescu Nr. 566 Bl. 22  Sc. 32 Ap. 209
Tulcea, 595466"
"Paula Mazilescu"	"Intrarea Pușcașu
Copsa Mica, 380273"
"Janina Preda"	"Strada Albu Nr. 16
Teius, 409039"
"Pătru Ionescu"	"Bulevardul Ioniță Nr. 417
Lunca Cetatuii, 646188"
"Janina Stancu"	"Intrarea Voinea
Beclean, 728958"
"Raluca Dochioiu"	"Intrarea Valeriu Popa
Alesd, 809724"
"Virginia Ene"	"Strada Dima Nr. 96 Bl. 46  Sc. 41 Ap. 333
Vatra Dornei, 179343"
"Mădălina Diaconu"	"Soseaua Eftimie Nr. 128
Valenii de Munte, 939903"
"Denis Oprea"	"Intrarea Betina Tudor
Floresti, 372087"
"Romulus Nemeș"	"Strada Anghelina Voinea
Balotesti, 169135"
"Demetra Ardelean"	"Soseaua Stoica
Simleu Silvaniei, 520168"
"Dimitrina Ene"	"Soseaua Paul Marin Nr. 323
Otelu Rosu, 120031"
"Petronela Dobre"	"Strada Miruna Nistor Nr. 70
Vlahita, 578076"
"Henrieta Pop"	"Drumul Stănescu
Modelu, 619558"
"Elena Tabacu"	"Soseaua Titus Nistor Nr. 860
Carei, 639364"
"Fiona Oprea"	"Bulevardul Gheorghiu
Greci, 802872"
"Teodor Tudor"	"Strada Amedeu Voinea Nr. 873 Bl. 63  Sc. 40 Ap. 646
Marghita, 896989"
"Cosmin Marin"	"Drumul Tabacu Nr. 979 Bl. 69  Sc. 16 Ap. 323
Ramnicu Valcea, 256256"
"Marta Pușcașu"	"Strada Mina Ene Nr. 900
Ploiesti, 252396"
"Felix Ioniță"	"Intrarea Nemeș Nr. 590 Bl. 52  Sc. 13 Ap. 900
Sacueni, 689676"
"Demetra Eftimie"	"Drumul Ionescu Nr. 21
Dej, 987571"
"Achim Ababei"	"Drumul Popescu Nr. 34
Oravita, 441548"
"Jan Mocanu"	"Strada Tabacu Nr. 149 Bl. 67  Sc. 83 Ap. 268
Campia Turzii, 319003"
"Manuela Ionescu"	"Bulevardul Tudor
Radauti, 160726"
"Ionelia Nistor"	"Intrarea Diaconescu Nr. 806 Bl. 67  Sc. 70 Ap. 353
Buftea, 104156"
"Nicoară Ionescu"	"Intrarea Gheorghiu Nr. 67
Draganesti-Olt, 760473"
"Amalia Manole"	"Bulevardul Toma Nr. 248
Maieru, 384610"
"Dorin Suciu"	"Intrarea Oprea Nr. 714
Ineu, 441526"
"Claudia Toma"	"Aleea Nemeș Nr. 15 Bl. 12  Sc. 39 Ap. 252
Boldesti-Scaeni, 688181"
"Antonia Aanei"	"Strada Mihaela Dinu Nr. 94
Rasnov Romacril, 664212"
"Denis Suciu"	"Intrarea Niță Nr. 131
Vulcan, 642644"
"Iosefina Dima"	"Soseaua Ene Nr. 712
Afumati, 722572"
"Erica Diaconu"	"Intrarea George Popescu
Filiasi, 386486"
"Izabela Florea"	"Intrarea Monalisa Stoica Nr. 92
Sadova, 679237"
"Rica Aanei"	"Bulevardul Nistor
Borsa, 774880"
"Grațian Georgescu"	"Drumul Adriana Nemeș Nr. 921
Ovidiu, 327109"
"Maxim Suciu"	"Bulevardul Ardelean Nr. 114
Berceni, 624507"
"Gregorian Manole"	"Aleea Mazilescu
Odobesti, 717693"
"Mona Dobre"	"Soseaua Georgescu Nr. 715 Bl. 16  Sc. 55 Ap. 384
Afumati, 308383"
"Roza Voinea"	"Bulevardul Anaida Stancu
Bacau, 215088"
"Denisa Aanei"	"Aleea Pușcașu Nr. 63 Bl. 52  Sc. 45 Ap. 513
Brad, 267219"
"Achim Nistor"	"Soseaua Augustina Albu
Harlau, 806644"
"Oana Pop"	"Strada Marin Dima Nr. 663 Bl. 82  Sc. 94 Ap. 199
Pucioasa, 375793"
"Vicențiu Suciu"	"Intrarea Anamaria Tomescu Nr. 671
Drobeta-Turnu Severin, 570308"
"Andra Aanei"	"Aleea Ramona Albu Nr. 74
Comanesti, 107882"
"Sabrina Mocanu"	"Aleea Damian Popescu Nr. 25 Bl. 38  Sc. 89 Ap. 137
Breaza de Sus, 958005"
"Alis Stancu"	"Bulevardul Manole
Saveni, 713010"
