"Ada Hamerla"	"pl. Świerczewskiego 98
76-081 Bielawa" 
"Anna Maria Baster"	"ulica Malczewskiego 30/65
26-453 Piotrków Trybunalski"
"Maksymilian Leszczyk"	"pl. Poniatowskiego 31/65
05-982 Marki"
"Olaf Pastucha"	"pl. Kopernika 93/99
54-072 Mysłowice"
"Sebastian Balas"	"aleja Widok 13
49-405 Tomaszów Mazowiecki"
"Fabian Skiepko"	"ulica Rzeczna 693
22-765 Piaseczno"
"Bartek Bodek"	"ul. Południowa 68/36
68-729 Ruda Śląska"
"Paweł Popielarczyk"	"plac Wyzwolenia 63
91-750 Białogard"
"Eliza Borysiewicz"	"ul. Powstańców Wielkopolskich 287
18-332 Świecie"
"Ewelina Lepa"	"ul. Krasickiego 04
64-060 Żyrardów"
"Iwo Fiołka"	"ulica Nałkowskiej 349
10-152 Kraśnik"
"Apolonia Stempin"	"ulica Kaliska 77
07-517 Malbork"
"Marek Kuffel"	"ulica Zachodnia 19
24-235 Gdynia"
"Sonia Andreasik"	"ul. Jana Sobieskiego 26/28
66-894 Wałcz"
"Liwia Mądrzyk"	"plac Staffa 00/72
03-195 Reda"
"pani Monika Bartel"	"ulica Chełmońskiego 82
96-320 Sanok"
"Bartek Bodych"	"pl. Żeromskiego 08/57
28-502 Goleniów"
"Ada Klimko"	"al. Spokojna 25/35
63-094 Toruń"
"Sandra Sudnik"	"ul. Władysława Łokietka 044
95-560 Czechowice-Dziedzice"
"pani Nicole Goik"	"ul. Zbożowa 31/83
48-593 Żagań"
"pan Kornel Męcik"	"ul. Sowia 757
26-924 Piekary Śląskie"
"Leonard Myk"	"ul. Zdrojowa 12/26
84-821 Bydgoszcz"
"Kalina Radzewicz"	"ulica Zakątek 12/39
80-775 Wołomin"
"Marcin Soroko"	"plac Bolesława Krzywoustego 61
48-048 Konin"
"Jerzy Duczek"	"pl. Nałkowskiej 27
40-114 Krotoszyn"
"Bartek Siewiera"	"aleja Średnia 423
43-086 Lublin"
"Bartek Kordus"	"al. Korczaka 734
23-364 Knurów"
"Anastazja Kosiec"	"plac Głowackiego 500
95-038 Jastrzębie-Zdrój"
"Ewelina Ostafin"	"ulica Kilińskiego 17/99
14-665 Mysłowice"
"Konstanty Dzienniak"	"aleja Mostowa 13
42-611 Biłgoraj"
"pani Róża Graj"	"aleja Fredry 377
16-429 Bochnia"
"Dagmara Symonowicz"	"aleja Słowicza 58/75
87-180 Bielsko-Biała"
"Nela Tomaszczyk"	"aleja Czarnieckiego 62
26-529 Krosno"
"pan Patryk Herba"	"al. Sarnia 390
25-103 Świnoujście"
"Olgierd Masny"	"plac Żeromskiego 95
85-832 Krotoszyn"
"pani Julianna Małycha"	"ulica Letniskowa 663
27-957 Tarnowskie Góry"
"Bartek Kwapień"	"plac Sucharskiego 941
42-463 Olkusz"
"pani Marianna Świątkiewicz"	"ulica Jana Pawła II 94/02
58-126 Suwałki"
"pani Inga Szumiło"	"plac Kosynierów 69/72
77-564 Grudziądz"
"Julian Dzikiewicz"	"ulica Hutnicza 664
22-028 Pabianice"
"Marcin Ważna"	"plac Bema 93
42-235 Szczytno"
"Ksawery Krysik"	"al. Kossaka 07/52
36-426 Warszawa"
"Dawid Leoniuk"	"ul. Liliowa 64
77-263 Malbork"
"Iwo Kolendo"	"al. Dobra 62/84
28-089 Bełchatów"
"pani Anita Herdzik"	"aleja Grabowa 75/92
30-616 Mysłowice"
"Kornelia Dymarczyk"	"ul. Bema 75
21-240 Żywiec"
"Bartek Langa"	"plac Stycznia 108
34-400 Piotrków Trybunalski"
"Kornelia Hus"	"ulica Kazimierza Wielkiego 986
91-053 Tarnowskie Góry"
"Anita Latoszek"	"ul. Lelewela 826
41-427 Czeladź"
"Ewa Fidura"	"pl. Niepodległości 73
12-875 Nysa"
"Blanka Żywica"	"plac Wojska Polskiego 31
21-061 Kutno"
"Olgierd Panasiewicz"	"ulica Kasztanowa 09
57-362 Ostrów Wielkopolski"
"Kamil Szaj"	"plac Kusocińskiego 98
15-871 Kutno"
"Cezary Łaś"	"ulica Daszyńskiego 866
26-956 Kętrzyn"
"pan Kornel Grab"	"plac Żeromskiego 00/75
09-915 Bytom"
"pan Artur Filus"	"aleja Zakole 376
63-633 Kielce"
"Bartek Nieroda"	"al. Rzemieślnicza 80
85-011 Stalowa Wola"
"Łukasz Witaszek"	"ul. Tartaczna 43/59
25-668 Kościan"
"Marek Lipowicz"	"ulica Grabowa 680
91-895 Kościerzyna"
"pan Olaf Samson"	"ul. Plater 54
51-952 Chojnice"
"Sylwia Strycharz"	"ul. Kosynierów 998
44-722 Kościerzyna"
"Kajetan Ufniarz"	"al. Konopnickiej 00/19
09-621 Malbork"
"Andrzej Pochroń"	"plac Krasickiego 22/56
36-728 Środa Wielkopolska"
"Łukasz Perczak"	"ulica Miła 775
47-731 Zambrów"
"Robert Janduła"	"pl. Mieszka I 00
20-814 Nysa"
"Tadeusz Pagacz"	"plac Jana Pawła II 36
20-857 Starogard Gdański"
"Bartek Orzeszek"	"al. Koralowa 63/83
88-326 Gorlice"
"Franciszek Gasik"	"plac Ściegiennego 58/62
42-969 Żagań"
"Sylwia Holc"	"pl. Narutowicza 78/88
06-775 Oława"
"Ryszard Kałek"	"aleja Starowiejska 28
40-116 Rybnik"
"pani Monika Kanarek"	"al. Matejki 24
61-075 Piła"
"Aleksander Kawula"	"al. Kaszubska 593
37-681 Środa Wielkopolska"
"Maksymilian Nieradzik"	"plac Kilińskiego 61
43-075 Kwidzyn"
"pan Tymon Parzonka"	"plac Bolesława Chrobrego 981
39-391 Kutno"
"Klara Wittbrodt"	"pl. Kusocińskiego 78/20
72-657 Ełk"
"Ada Zagozda"	"ulica Szkolna 42
52-629 Olsztyn"
"Bartek Podsiedlik"	"plac Floriana 591
37-306 Tarnobrzeg"
"Witold Kwarciak"	"ulica Asnyka 43/56
37-106 Olkusz"
"Norbert Kornek"	"ul. Bankowa 11
36-435 Nowa Sól"
"Adrian Nieszporek"	"al. Widok 65
12-336 Siedlce"
"Bruno Leks"	"ul. Maczka 64
14-773 Gorzów Wielkopolski"
"pani Ewa Śnieg"	"ul. Narutowicza 74/02
79-851 Nowa Sól"
"Kamila Kopytko"	"aleja Solidarności 955
48-020 Żyrardów"
"Leon Matyka"	"aleja Dolna 53/52
35-399 Starogard Gdański"
"Grzegorz Łapacz"	"plac Konstytucji 3 Maja 392
43-098 Reda"
"Filip Para"	"al. Paderewskiego 13
85-311 Ostrowiec Świętokrzyski"
"Bartek Szmelter"	"ul. Bursztynowa 23/96
05-184 Legionowo"
"pan Maciej Gniewek"	"aleja Rajska 74/98
73-099 Szczecinek"
"Anita Latek"	"plac Jana III Sobieskiego 41/69
89-318 Puławy"
"Maurycy Koźlak"	"plac Chopina 16
33-890 Września"
"Marcel Majewicz"	"ul. Staffa 61
57-623 Brodnica"
"Tola Wawszczak"	"aleja Słoneczna 55/30
42-104 Tychy"
"Iwo Lesiewicz"	"aleja Nowowiejska 61
65-424 Żagań"
"Natan Wojsław"	"ulica Wróblewskiego 46
82-304 Słupsk"
"pani Eliza Czosnyka"	"ulica Wąska 48/18
47-472 Ełk"
"Olaf Borzych"	"al. Orzeszkowej 358
86-653 Lublin"
"Bartek Szwaj"	"ul. Spokojna 77/08
10-560 Augustów"
"Julian Aleksander"	"pl. Wyszyńskiego 64
92-404 Sanok"
"Bianka Wita"	"aleja Żeglarska 29/86
33-011 Świętochłowice"
"Miłosz Galuba"	"plac Partyzantów 34
29-430 Biłgoraj"
"Mikołaj Strama"	"aleja Maczka 56
06-480 Warszawa"
"pani Kamila Bąbel"	"pl. Grottgera 68/77
19-189 Przemyśl"
"Lidia Sobel"	"aleja Miarki 87/03
66-573 Zgierz"
"Artur Doktor"	"ulica Jałowcowa 22
31-517 Radom"
"Olga Drost"	"aleja Radosna 60
30-744 Nowy Dwór Mazowiecki"
"Piotr Maruszczyk"	"aleja Narutowicza 77/19
73-647 Reda"
"Bartek Tyka"	"ul. Ceglana 157
34-194 Bełchatów"
"Radosław Sidorczuk"	"pl. Listopada 839
68-028 Częstochowa"
"Melania Gregorczuk"	"ulica Chełmońskiego 563
21-030 Starachowice"
"Rozalia Gadzina"	"al. Mała 39/43
89-051 Grodzisk Mazowiecki"
"Jędrzej Nicewicz"	"ul. Kopernika 69/27
24-170 Świecie"
"Tola Poreda"	"pl. Bema 831
08-379 Wągrowiec"
"Tymoteusz Frelek"	"plac Rynek 698
72-393 Gdańsk"
"pan Natan Hojka"	"pl. Jana 777
92-193 Dąbrowa Górnicza"
"Olaf Kasper"	"ulica Okrężna 781
34-110 Legnica"
"pan Nikodem Zegar"	"aleja Storczykowa 82/41
77-262 Czerwionka-Leszczyny"
"Bartek Uss"	"ulica Rumiankowa 458
14-372 Stargard Szczeciński"
"Maurycy Chomiak"	"pl. Konopnickiej 88/69
95-717 Wodzisław Śląski"
"Inga Hajduga"	"ulica Chopina 10/63
67-690 Kraków"
"Jędrzej Sibiga"	"plac Makuszyńskiego 072
65-713 Knurów"
"pan Sebastian Starek"	"al. Liliowa 38
42-667 Kościerzyna"
"Daniel Macha"	"pl. Asnyka 636
18-739 Olkusz"
"Rafał Woźniczko"	"aleja Traugutta 26/60
60-920 Zambrów"
"Marek Rubin"	"ulica Kochanowskiego 97
80-917 Wągrowiec"
"Stefan Kudlak"	"ulica Powstańców 28
73-519 Turek"
"Jakub Leśko"	"ulica Letnia 133
22-197 Racibórz"
"Bianka Chodak"	"ul. Żwirki i Wigury 97/76
70-671 Ełk"
"pan Aleks Chowaniak"	"ul. Lelewela 834
75-202 Polkowice"
"Juliusz Kurnik"	"ul. Krasińskiego 90/64
85-635 Toruń"
"Eryk Freitag"	"al. Kilińskiego 90/59
94-786 Sandomierz"
"pani Melania Czerwionka"	"ul. Polna 20/04
31-905 Siedlce"
"pani Kaja Baumgart"	"ul. Prosta 78/89
53-355 Nowy Targ"
"Kacper Walo"	"al. Owocowa 75
58-143 Grudziądz"
"Emil Zdonek"	"ul. Szeroka 38/51
60-411 Katowice"
"Hubert Majdak"	"aleja Bociania 97/10
92-041 Czerwionka-Leszczyny"
"pani Urszula Działo"	"ulica Tuwima 16/68
17-289 Zawiercie"
"Bianka Kawulok"	"ul. Dworska 920
41-084 Brodnica"
"Janina Kiwior"	"aleja Jadwigi 83
83-649 Gniezno"
"pani Kamila Aleksa"	"al. Makowa 72/53
59-280 Brzeg"
"Marcin Kara"	"aleja Nowowiejska 71/66
39-197 Elbląg"
"Alan Lenc"	"plac Partyzantów 456
24-609 Radom"
"Fryderyk Żuberek"	"aleja Wieniawskiego 882
42-284 Oświęcim"
"Adam Joszko"	"aleja Górna 29/36
54-600 Jarocin"
"pan Marcin Szoka"	"ul. Stroma 56/77
40-435 Bartoszyce"
"Marcel Gronostaj"	"al. Drzymały 09/57
01-578 Piastów"
"pan Kornel Gaś"	"ulica Rejtana 753
71-378 Giżycko"
"Bianka Klęczar"	"ul. Konopnickiej 726
23-900 Tomaszów Mazowiecki"
"Oliwier Szłapka"	"aleja Malczewskiego 87/62
90-577 Oświęcim"
"Karol Reichel"	"aleja Morska 91
43-516 Nowy Dwór Mazowiecki"
"pan Andrzej Działa"	"ulica Browarna 46
41-608 Jaworzno"
"Andrzej Kolka"	"ulica Drzymały 27
80-037 Dzierżoniów"
"Kajetan Nyk"	"al. Kruczkowskiego 12
87-480 Puławy"
"Marika Strycharz"	"plac Listopada 38
67-412 Siemianowice Śląskie"
"Nicole Bieniak"	"ul. Krucza 827
59-218 Bartoszyce"
"Alex Sypuła"	"ul. Stycznia 085
21-017 Luboń"
"pani Justyna Mijas"	"pl. Andersa 613
91-327 Luboń"
"Bianka Kozaczuk"	"ulica Kaszubska 652
01-563 Puławy"
"Dawid Dziełak"	"ul. Irysowa 12/14
63-865 Elbląg"
"pani Janina Sypień"	"plac Władysława Łokietka 44/26
83-368 Police"
"Kazimierz Oleśkiewicz"	"pl. Wolności 13
79-580 Tczew"
"Kornel Zadka"	"plac Kruczkowskiego 823
61-860 Oława"
"Olaf Dawidek"	"al. Jaskółcza 18/21
31-288 Płońsk"
"pan Paweł Mikoda"	"ulica Torowa 69/57
59-335 Dąbrowa Górnicza"
"pani Kornelia Drobisz"	"ul. Cmentarna 93
29-149 Koszalin"
"Witold Drózd"	"ulica Wyzwolenia 75
71-348 Kościan"
"pan Michał Trepka"	"pl. Prusa 27/92
88-574 Ełk"
"Bianka Kupś"	"ulica Okulickiego 734
39-944 Kielce"
"Marcel Paliga"	"ulica Glówna 670
12-634 Tarnowskie Góry"
"Kornel Graboń"	"pl. Staffa 19/99
30-559 Warszawa"
"Ignacy Dumin"	"ulica Głogowa 098
32-150 Łowicz"
"Ida Smykla"	"pl. Konarskiego 07
43-428 Piaseczno"
"Justyna Bubel"	"al. Wróblewskiego 72/72
45-719 Jarosław"
"pani Dagmara Gendera"	"plac Korczaka 16
05-983 Sandomierz"
"Ignacy Florian"	"pl. Szarych Szeregów 010
03-251 Kluczbork"
"Rafał Taczała"	"ul. Bankowa 09/28
70-133 Cieszyn"
"Ewa Kosman"	"ul. Żwirki i Wigury 19/83
84-557 Piaseczno"
"Bianka Rosada"	"aleja Zdrojowa 38/62
38-848 Koło"
"pani Roksana Grzelec"	"al. Władysława Łokietka 73
83-100 Świdnica"
"pan Tymoteusz Grębowiec"	"pl. Rejtana 74
18-787 Sandomierz"
"Konrad Grygorcewicz"	"ulica Lubelska 54
26-695 Marki"
"Tomasz Molek"	"al. Słowicza 51
19-121 Turek"
"Damian Drygas"	"pl. Hallera 082
74-089 Bytom"
"Melania Rodzeń"	"ul. Sikorskiego 23
81-516 Lubartów"
"Jakub Kubiaczyk"	"al. Słowianska 656
85-801 Swarzędz"
"Iwo Kubaczyk"	"ulica Tuwima 32/77
94-142 Ostrowiec Świętokrzyski"
"Liwia Kidoń"	"al. Piastowska 24/41
87-545 Łaziska Górne"
"Bianka Tomalik"	"ulica Skośna 42/51
05-198 Szczecinek"
"Sara Stochmal"	"aleja Brzechwy 807
62-171 Turek"
"pani Urszula Niebudek"	"ul. Składowa 698
80-673 Piastów"
"Kacper Różewicz"	"plac Żwirki i Wigury 94/70
24-284 Lubin"
"Nataniel Giezek"	"al. Żwirki i Wigury 316
69-145 Opole"
"Maks Ryfa"	"ul. Starowiejska 77
28-507 Śrem"
"pan Damian Starostka"	"ul. Bukowa 412
13-209 Jawor"
"pani Olga Domżał"	"ul. Orla 43/06
70-696 Przemyśl"
"Róża Tylus"	"plac Partyzantów 82/59
11-807 Malbork"
"Franciszek Roś"	"pl. Norwida 171
44-343 Tarnobrzeg"
"Bianka Zadora"	"plac Rynek 01/85
91-037 Radomsko"
"Błażej Gumienny"	"aleja Towarowa 00
38-689 Łomża"
"pani Ewelina Szatko"	"pl. Sawickiej 207
65-550 Zakopane"
"pani Elżbieta Romańczyk"	"ulica Żwirowa 10/04
30-219 Police"
"Maurycy Nastały"	"al. Bolesława Chrobrego 85
03-569 Siedlce"
"Robert Korniak"	"ulica Kusocińskiego 48/23
87-346 Kościan"
"Aniela Bobko"	"plac Witosa 453
86-126 Wałcz"
"Anna Maria Kłoczko"	"al. Kilińskiego 92
86-164 Bydgoszcz"
"pani Dorota Pych"	"aleja Jana Pawła II 56
32-226 Bolesławiec"
"pani Monika Ciepła"	"pl. Wolności 60/31
30-529 Czerwionka-Leszczyny"
"Bianka Zapaśnik"	"aleja Długosza 159
83-781 Wejherowo"
"Cezary Browarczyk"	"ul. Dworska 439
63-484 Lubin"
"Damian Sztuczka"	"ulica Krasińskiego 16
96-239 Zakopane"
"pani Marianna Myszak"	"ul. Kasprowicza 72
76-200 Zabrze"
"Olgierd Klyta"	"plac Miłosza 31/91
75-092 Pruszków"
"Róża Miąsko"	"aleja Rejtana 02/25
78-570 Wałbrzych"
"Jan Miksza"	"ulica Makuszyńskiego 56/10
31-854 Oświęcim"
"Julian Chojna"	"al. Młynarska 37
21-681 Ostrów Wielkopolski"
"Piotr Wijata"	"ulica Kusocińskiego 65/29
42-691 Gorlice"
"Janina Drynda"	"ul. Działkowa 79
83-398 Jawor"
"Blanka Aleksa"	"al. Kopernika 929
09-823 Rzeszów"
"pani Anastazja Bidas"	"ulica Bankowa 51
31-282 Nowy Targ"
"Anastazja Fiedler"	"ul. Kruczkowskiego 72/67
75-393 Oleśnica"
"Ewa Ochał"	"al. Żeromskiego 390
93-108 Świdnica"
"Wiktor Dyś"	"plac Grottgera 611
94-331 Mińsk Mazowiecki"
"pan Fabian Majtczak"	"al. Piękna 97
76-268 Kościan"
"Kornel Sobków"	"plac Żwirki i Wigury 943
53-490 Nowy Sącz"
"Mikołaj Zdonek"	"al. Waryńskiego 250
12-210 Kalisz"
"pan Jan Bystrek"	"pl. Kołłątaja 16/20
23-403 Iława"
"Oskar Bakalarczyk"	"ul. Słowianska 29
60-700 Mielec"
"Blanka Browarczyk"	"ulica Wyspiańskiego 269
31-795 Środa Wielkopolska"
"Olga Jarmużek"	"pl. Powstańców Śląskich 126
71-516 Ostrowiec Świętokrzyski"
"Julita Dudko"	"ulica Kilińskiego 33/33
06-431 Oleśnica"
"Jakub Sych"	"al. Reja 553
87-265 Zamość"
"pani Róża Darul"	"ulica Lazurowa 740
65-682 Mysłowice"
"Daniel Bartuś"	"aleja Sowia 22
98-489 Koło"
"Miłosz Golenia"	"plac Solidarności 97
46-856 Nysa"
"Ewelina Sommer"	"plac Piłsudskiego 31
51-394 Wałbrzych"
"pani Marianna Westfal"	"aleja Lelewela 831
39-845 Wałcz"
"pani Blanka Buszko"	"ulica Kusocińskiego 33/29
81-603 Zabrze"
"Blanka Ciechowicz"	"plac Floriana 60/66
46-302 Gdańsk"
"Anna Maria Urynowicz"	"pl. Poniatowskiego 65/81
88-372 Środa Wielkopolska"
"pani Anna Maria Jędruszczak"	"al. Mickiewicza 66
89-484 Koszalin"
"pani Ada Brojek"	"plac Drzymały 86/65
20-821 Tychy"
"Sylwia Orwat"	"ul. Wolności 674
65-653 Bartoszyce"
"Aurelia Jaśko"	"plac Staszica 917
33-242 Kościan"
"Tola Antoń"	"aleja Zdrojowa 41/66
44-287 Ciechanów"
"Maciej Fornalik"	"ulica Maczka 20/33
49-334 Bełchatów"
"Tola Małyszek"	"ulica Bolesława Chrobrego 19/42
64-594 Oleśnica"
"Malwina Wójcikiewicz"	"ulica Średnia 46/33
64-730 Iława"
"Blanka Drożdżal"	"pl. Szymanowskiego 62
98-322 Racibórz"
"pani Urszula Lato"	"aleja Sadowa 62
67-641 Leszno"
"Monika Borzych"	"pl. Kosynierów 219
82-630 Biłgoraj"
"Kajetan Kremer"	"plac Kraszewskiego 61
17-626 Turek"
"Robert Pusz"	"aleja Fiołkowa 46/87
89-317 Września"
"Witold Gosik"	"aleja Wąska 140
55-717 Wyszków"
"pan Kajetan Brodawka"	"ul. Świerczewskiego 77
04-524 Świdnik"
"Franciszek Buszko"	"plac Norwida 69/59
93-956 Bielsk Podlaski"
"pan Robert Zeman"	"plac Grottgera 54/68
80-739 Turek"
"pani Sara Niechciał"	"plac Kopernika 782
79-143 Żywiec"
"Blanka Iskierka"	"al. Armii Krajowej 93/26
29-723 Świebodzice"
"Maciej Tomalik"	"pl. Bolesława Chrobrego 59/07
72-670 Mińsk Mazowiecki"
"Anastazja Wojtasiewicz"	"ul. Zielona 47
69-554 Grodzisk Mazowiecki"
"Kacper Morka"	"ul. Jana Sobieskiego 06
77-659 Marki"
"Malwina Tryc"	"ul. Kusocińskiego 52
52-771 Lubliniec"
"Konrad Szymonik"	"pl. Kasprowicza 52/13
33-749 Jarocin"
"Krzysztof Józwik"	"ul. Kościelna 32
26-793 Piekary Śląskie"
"pan Albert Toś"	"ulica Drzymały 811
85-846 Piekary Śląskie"
"Agnieszka Eckert"	"plac Prusa 28/04
71-271 Świebodzice"
"Oliwier Wons"	"al. Torowa 56
36-535 Łomża"
"Blanka Klatka"	"ul. Strzelecka 509
54-046 Augustów"
"Nicole Dzidek"	"plac Kochanowskiego 15
15-634 Sopot"
"Artur Bochnak"	"ulica Rataja 31/42
22-841 Ostrołęka"
"pan Nikodem Zięciak"	"aleja Bolesława Chrobrego 14
26-878 Kalisz"
"Kacper Araszkiewicz"	"aleja Sawickiej 57
37-634 Białogard"
"Michał Foremniak"	"aleja Górska 490
86-178 Kutno"
"pani Nicole Rejek"	"plac Powstańców 42
40-849 Wyszków"
"Damian Goral"	"al. Sosnowa 41/25
13-907 Sieradz"
"Cyprian Gadzina"	"ulica Ptasia 906
83-720 Chrzanów"
"Aurelia Kłoczko"	"aleja Ptasia 33
42-680 Zambrów"
"Blanka Klaus"	"aleja Jana Sobieskiego 79/81
89-619 Tomaszów Mazowiecki"
"Olgierd Myrcha"	"plac Krasickiego 53
28-493 Toruń"
"Tomasz Borczyk"	"plac Makuszyńskiego 66
07-495 Białystok"
"Bruno Front"	"ul. Czarnieckiego 61
07-680 Świnoujście"
"pan Franciszek Bitner"	"pl. Żeromskiego 86/79
06-317 Tczew"
"pan Sebastian Chabior"	"aleja Norwida 42/96
64-803 Nowy Sącz"
"Norbert Myrcha"	"aleja Słowianska 318
20-392 Tarnów"
"Nikodem Wąsek"	"aleja Żwirowa 18
54-616 Łomża"
"Antoni Kulon"	"ulica Opolska 76
23-541 Piotrków Trybunalski"
"Jakub Guziak"	"ul. Tylna 157
01-386 Konin"
"Blanka Moj"	"plac Bolesława Krzywoustego 46
84-447 Ostróda"
"Sebastian Kazberuk"	"aleja Dębowa 25/92
68-430 Warszawa"
"pan Alex Wejman"	"pl. Sucharskiego 770
47-426 Opole"
"Bianka Kobak"	"ulica Lelewela 561
12-908 Wejherowo"
"Natan Młynarz"	"ul. Długosza 197
73-473 Bełchatów"
"pan Witold Drózd"	"aleja Kasztanowa 948
43-343 Zakopane"
"Daniel Pułka"	"pl. Miłosza 45
28-457 Jawor"
"Ida Cąkała"	"al. Orzeszkowej 71
03-826 Poznań"
"Daniel Skonieczka"	"ulica Andersa 592
26-914 Ostrołęka"
"Sonia Langier"	"ulica Spokojna 69
06-771 Pruszcz Gdański"
"Blanka Szymańczyk"	"ulica Bukowa 057
94-195 Kędzierzyn-Koźle"
"pan Maciej Hulbój"	"pl. Skłodowskiej-Curie 492
79-035 Toruń"
"Gabriel Sierżant"	"al. Piłsudskiego 576
21-749 Płock"
"Angelika Garbacik"	"plac Skłodowskiej-Curie 067
38-586 Świdnica"
"pani Bianka Reichel"	"ul. Dolna 29/19
46-515 Koło"
"pani Olga Stelmasiak"	"ul. Kielecka 574
60-057 Lubin"
"Konstanty Ofiara"	"al. Narcyzowa 807
02-530 Nowy Sącz"
"Leonard Monkiewicz"	"pl. Kraszewskiego 469
44-007 Czechowice-Dziedzice"
"Radosław Hewelt"	"ulica Wolności 452
05-941 Sochaczew"
"Gaja Grycz"	"aleja Jaskółcza 72/25
31-144 Dąbrowa Górnicza"
"Blanka Zasępa"	"aleja Krasickiego 68
85-756 Głogów"
"pan Michał Rajczyk"	"aleja Wróblewskiego 50
23-132 Legnica"
"pani Kalina Niedośpiał"	"al. Wysoka 27/84
03-665 Sandomierz"
"Iwo Wołoch"	"aleja Szeroka 82
91-374 Luboń"
"Urszula Sinkiewicz"	"plac Broniewskiego 916
91-738 Zawiercie"
"Robert Łabno"	"aleja Mazurska 46/41
01-033 Szczecinek"
"Blanka Pabisiak"	"ulica Sadowa 17/34
70-006 Skarżysko-Kamienna"
"Ernest Starostka"	"pl. Kusocińskiego 609
39-611 Lublin"
"Sylwia Moj"	"aleja Podwale 26/59
54-769 Oświęcim"
"Stefan Kuźnia"	"ul. Łączna 770
86-139 Gliwice"
"Borys Domka"	"plac Staszica 39/34
61-901 Kętrzyn"
"Dariusz Śliz"	"ulica Kolorowa 081
79-898 Będzin"
"Iwo Niesporek"	"plac Powstańców 92
04-527 Chojnice"
"Gaja Hubert"	"plac Grottgera 755
46-616 Ostrów Mazowiecka"
"Anita Mysior"	"ulica Paderewskiego 666
06-147 Kraśnik"
"Filip Lichoń"	"plac Grottgera 26/60
49-048 Suwałki"
"pan Fabian Klamka"	"plac Reja 65
36-534 Pszczyna"
"pani Gaja Bela"	"al. Wojska Polskiego 900
26-198 Świętochłowice"
"pan Natan Kenig"	"plac Paderewskiego 663
71-269 Lubartów"
"pani Kalina Klyszcz"	"aleja Powstańców Wielkopolskich 706
14-530 Nowa Sól"
"Borys Gosek"	"aleja Jana III Sobieskiego 502
28-240 Koszalin"
"Marcel Korpal"	"plac Gałczyńskiego 73
03-726 Kalisz"
"Damian Śnieg"	"ul. Plater 568
86-177 Biłgoraj"
"pani Anita Maćczak"	"ul. Maczka 767
56-079 Dębica"
"Maurycy Palus"	"ulica Miłosza 19
66-319 Luboń"
"Eryk Kretowicz"	"pl. Kraszewskiego 95/26
94-890 Łomża"
"pan Filip Szmaj"	"ulica Toruńska 63
40-701 Mysłowice"
"Monika Ruszczak"	"plac Konstytucji 3 Maja 68/58
76-998 Legionowo"
"pani Sonia Starzak"	"aleja Szkolna 26/54
42-460 Bielsko-Biała"
"pani Eliza Baszak"	"al. Powstańców Wielkopolskich 77
03-954 Opole"
"Borys Labudda"	"pl. Wyszyńskiego 945
18-040 Zduńska Wola"
"Tymon Grunt"	"al. Miłosza 082
91-218 Chełm"
"Aurelia Kulus"	"pl. Paderewskiego 937
99-964 Legionowo"
"Ewa Klos"	"aleja Kopernika 53
54-632 Nowy Targ"
"pani Lidia Sztuczka"	"al. Czereśniowa 07
76-750 Piastów"
"pani Adrianna Paluszak"	"ulica Widokowa 041
60-114 Konin"
"pan Miłosz Sąsiadek"	"al. Szarych Szeregów 01
42-085 Malbork"
"Julita Hass"	"aleja Zdrojowa 15
70-110 Sanok"
"Marcin Danisz"	"aleja Narutowicza 71/40
67-914 Wejherowo"
"Anita Kaja"	"aleja Sybiraków 05
32-233 Toruń"
"Borys Pasich"	"aleja Leśna 65
73-491 Bytom"
"pani Kaja Pacholak"	"ul. Broniewskiego 85
93-762 Jelenia Góra"
"pani Ada Połom"	"aleja Kossaka 98
89-567 Szczytno"
"Jan Kozaczuk"	"plac Makuszyńskiego 303
76-716 Police"
"Norbert Klęk"	"ulica Rycerska 63
68-458 Mysłowice"
"Kajetan Loska"	"aleja Bolesława Krzywoustego 205
37-590 Kwidzyn"
"pan Alan Danel"	"pl. Bolesława Chrobrego 00/82
26-633 Bełchatów"
"pani Ewa Steinke"	"ulica Bolesława Krzywoustego 015
92-330 Rybnik"
"Julianna Reiter"	"ulica Poprzeczna 075
64-787 Ostrów Mazowiecka"
"pan Daniel Rudolf"	"aleja Jaworowa 527
16-546 Brodnica"
"Borys Rogacz"	"aleja Bociania 70/23
04-178 Augustów"
"Krystyna Han"	"pl. Kochanowskiego 63/17
21-665 Konin"
"Ksawery Kulczak"	"aleja Pocztowa 58/93
24-210 Ostrów Wielkopolski"
"pani Lidia Korab"	"aleja Chabrowa 18/46
45-790 Goleniów"
"Filip Kwak"	"aleja Księżycowa 12/41
69-238 Kraśnik"
"Grzegorz Pogorzelec"	"ul. Norwida 42
14-716 Kętrzyn"
"pani Anita Steciuk"	"ulica Rejtana 84/85
82-743 Lębork"
"Anna Maria Węgrzynowicz"	"aleja Szarych Szeregów 78
94-437 Czerwionka-Leszczyny"
"Jędrzej Sierpień"	"ulica Okrzei 39/55
25-448 Nowy Targ"
"Mieszko Bazydło"	"ul. Staszica 899
79-627 Kościerzyna"
"Borys Ładniak"	"al. Jana Sobieskiego 74
83-594 Mikołów"
"Emil Wacławiak"	"al. Ludowa 07/10
42-431 Kielce"
"Jacek Rećko"	"aleja Bukowa 71
59-487 Chrzanów"
"Gaja Ławniczek"	"plac Żeromskiego 49
32-341 Pruszcz Gdański"
"Roksana Startek"	"al. Słowicza 92
18-012 Szczytno"
