"A. Fehér Gábor","Kereszthidai utca 215.
H-1269 Dunakeszi" 
"Balogh Máté","Arany jános utca 249.
H-6457 Tamásikőrös"
"Dr. Török Márton Erzsébet","Mosonkereszti utca 132.
H-4087 Nagykanizsa"
"Tóth Péter Attila","Arany jános utca 141.
H-4274 Vácszékfalu"
"Szabóné Dr. Kiss Judit","Mellékfalvai utca 37.
H-5985 Kaposvár"
"F. Kovács Róbert","Petőfi sándor út 210.
H-9446 Nagykanizsa"
"M. Faragó Rozália","Mártonnádasdi út 244.
H-4859 Zalaegerszeg"
"Tóth Sándor","Tóthalasi utca 238.
H-7382 Sopron"
"Dr. Németh É. Julianna","Salgótarjáni utca 232.
H-5709 Alsógyörgyfalva"
"Dr. Kiss Vilmos","Dunaújvárosi utca 52.
H-9097 Tatabánya"
"Dr. Horváth Farkas Gábor","Szolnoki utca 87.
H-6026 Pusztahídkövesd"
"Dr. Siposné Farkas Dóra","Ceglédi utca 92.
H-7002 Balatongyörgyhalas"
"Juhász Patrik","Szabadság utca 211.
H-9450 Oroszhídhalas"
"Dr. I. Balogh Imre","Mosonmagyaróvári utca 99.
H-3148 Szigetszentmiklós"
"Nagyné Dr. Kiss Tünde Rozália","Mindszentkövesdi utca 49.
H-6660 Debrecen"
"Sipos Gergőné Varga Rita","Kossuth utca 95.
H-3949 Mindszentfa"
"Dr. N. Horváth Ákos","Ady endre utca 186.
H-7194 Somogyligethalas"
"Kiss Máté","Györgyapátii utca 163.
H-2784 Székharaszti"
"Dr. Némethné Kovács Erzsébet Mária","Miskolci utca 45.
H-5041 Fürdőnádasd"
"Magyarné Papp Ilona","Petőfi sándor utca 246.
H-3259 Sopron"
"Gáspárné Dr. Oláh Judit","Ligethidai út 101.
H-9261 Hódmezővásárhely"
"Dr. Takács Ibolya","Szombathelyi utca 46.
H-5837 Bácstótapáti"
"Dr. Hegedűs A. Gabriella","Hátkőrösi utca 102.
H-6446 Debrecen"
"Horváth József","Kunhídi utca 147.
H-3539 Tamásiapáti"
"Dr. Balázsné Németh Klára","Ráchídi utca 175.
H-5863 Tapolcanémeti"
"Dr. Sárközi Tiborné","Ligetvárosi utca 82.
H-4791 Baja"
"Lakatos Anna","Hídnémetii utca 219.
H-4501 Hetvenhida"
"Farkas Lászlóné","Székesfehérvári utca 24.
H-9744 Debrecen"
"Dr. Némethné Orosz Mária","Borsodmártoni utca 196.
H-6200 Mosonmagyaróvár"
"Farkas Máténé Török Ágnes","Székfalui utca 105.
H-2238 Vár"
"Dr. A. Hajdu Marianna","Drávagyörgyi utca 187.
H-1657 Háthida"
"Dr. Balázs Ferencné","Szegedi út 140.
H-5431 Keresztnádasd"
"K. Balogh Gergő","Nagykanizsai utca 101.
H-4821 Mindszentkövesd"
"Horváth I. Lajos","Dunaújvárosi utca 207.
H-7094 Nyíregyháza"
"Biró Rudolf Miklós","Mátraligeti tér 207.
H-2851 Békéscsaba"
"Dr. Szabóné Tóth Réka Erzsébet","Salgótarjáni utca 165.
H-2118 Baja"
"Dr. Halász Tamás","Dunai utca 240.
H-6627 Fürdőapáti"
"Dr. Juhász Levente Dániel","Hídvárai út 236.
H-3155 Belsőgyörgyhida"
"Dr. Némethné Pintér Nikolett Krisztina","Kecskeméti utca 29.
H-2699 Hátharaszti"
"Szücs Szalai Bianka","Tamásihidai utca 148.
H-7227 Mindszentkőrös"
"Dr. Pásztor R. Júlia","Arany jános utca 59.
H-1833 Somogyligetdevecser"
"Szabó Z. Hajnalka","Nagykanizsai utca 106.
H-8339 Miskolc"
"Szőkené Dr. Szücs Ilona","Dózsa györgy út 163.
H-5263 Sopron"
"Kovácsné Dr. Szalai Terézia Margit","Balatonhídi út 56.
H-3725 Fürdőkőrös"
"Dr. Kiss Szabó Brigitta","Hódmezővásárhelyi utca 140.
H-2675 Békéscsaba"
"Dr. Feketené Gulyás Tünde Julianna","Szigetszentmiklósi utca 219.
H-2460 Hódmezővásárhely"
"Nagyné Szalai Renáta","Tatabányai utca 129.
H-3071 Dunaszéknémeti"
"Pál Zsombor Ádám","Ady endre tér 156.
H-5027 Cegléd"
"Dr. Némethné Szalai Magdolna","Keresztfalui utca 71.
H-3936 Keresztnádasd"
"Dudás I. Ágnes","Tótapátii utca 126.
H-9185 Székkövesd"
"Takács Major Krisztofer","Béke utca 195.
H-9753 Tamásikövesd"
"Fodor Mária","Hátfai utca 128.
H-9883 Kecskemét"
"Kerekes Zsolt","Arany jános utca 213.
H-7126 Dunaújváros"
"Dr. Szabó Bélané","Bakonytamásii út 203.
H-6592 Somogyhida"
"Mezei Istvánné Oláh Beatrix","Hajdúgyörgyi út 166.
H-7487 Zalaegerszeg"
"Dr. Kovács Molnár Renáta","Ceglédi utca 112.
H-4606 Györgyharaszti"
"Dr. Tóth B. Péter","Szolnoki utca 210.
H-7733 Tótapáti"
"F. Bodnár Attila","Györgyapátii út 188.
H-8064 Felsőmellékhalas"
"Dr. Némethné Szőke Brigitta Katalin","Somogyháti utca 62.
H-3966 Somogyhídhida"
"Dr. Varga Halász Edit","Keresztberényi út 163.
H-4732 Hajdúmellékfalva"
"Tóth Viktória Mária","Béke utca 216.
H-4803 Egyházasszékharaszti"
"Nagy Csaba Péter","Felsőtapolcai utca 247.
H-4540 Oroszmindszentváros"
"Tóth László Rudolf","Nyíregyházai tér 214.
H-2464 Németfürdőharaszti"
"Vargané Dr. Kiss Gizella","Borsodhetveni utca 56.
H-6052 Magyarligetháza"
"Fábiánné Dr. Kiss Bettina","Petőfi sándor utca 93.
H-3356 Györgyfalva"
"Dr. Kerekes Gyulané Németh Margit","Balatonháti utca 78.
H-8380 Mártonváros"
"Tóth G. Attila","Békéscsabai utca 213.
H-8246 Békéscsaba"
"Mészáros Katalin Erzsébet","Hátváradi utca 125.
H-4578 Felsőligethalas"
"Dr. Oláh Erzsébet Katalin","Kaposvári út 61.
H-1570 Kecskemét"
"Dr. Csonka Klára","Kossuth tér 115.
H-1571 Székváros"
"Dr. Horváth M. István","Székfalvai utca 98.
H-8201 Nyírfürdőkőrös"
"Dr. Szabó Deák Boglárka","Székberényi utca 116.
H-2373 Hídfalu"
"Nagy Péter Péter","Balatontamásii utca 43.
H-3379 Mártonbánya"
"Horváth István","Veszprémi utca 24.
H-9437 Hátfalu"
"Dr. Váradiné Horváth Edit","József attila tér 30.
H-9746 Tótháza"
"Oláh Krisztina Andrea","Béke tér 42.
H-1144 Vácszékvár"
"Tóth Varga Mónika","Dózsa györgy út 76.
H-1544 Vác"
"M. Balla András","Újtóti utca 248.
H-6740 Tapolcafalu"
"Dr. Oláh Gyula Béla","Békéscsabai utca 17.
H-4725 Györgykőrös"
"Horváth Kovács Zalán","Keresztvégi út 178.
H-7655 Györgyvár"
"Dr. Tóth Dániel Lajos","Váci utca 167.
H-8615 Oroszhetvenfa"
"Dr. G. Szilágyi József","Arany jános utca 163.
H-7996 Székvára"
"Dr. E. Mezei Ilona","Mátraszéki utca 20.
H-5339 Nyíregyháza"
"Török Antal","Kossuth utca 34.
H-8488 Mátramártonfa"
"Dr. Illés Vass Zsolt","Ózdi utca 163.
H-3706 Cegléd"
"Farkasné Dr. Halász Margit Barbara","Hídfalui utca 98.
H-4135 Dunaligetberény"
"Dr. Molnárné Vörös Anikó","Petőfi sándor utca 18.
H-3975 Bakonyligetfalu"
"Kiss E. Magdolna","Ady endre utca 134.
H-2657 Debrecen"
"Dr. Oláh Jánosné","Dózsa györgy utca 209.
H-7558 Vác"
"Nagy Emma Katalin","Egeri utca 242.
H-1925 Békéscsaba"
"Horváth Csilla","Hídkövesdi utca 200.
H-3793 Miskolc"
"Horváth Lakatos István","Kossuth utca 231.
H-7936 Eger"
"Dr. Pappné Varga Etelka","Ceglédi utca 230.
H-2041 Vácváros"
"Dr. Katona Jánosné","Belsőligeti utca 222.
H-4842 Nyékmindszentharaszti"
"Dr. Molnár Mária Brigitta","Ceglédi utca 69.
H-4154 Tapolcahalas"
"Novákné Rácz Jolán","Pécsi utca 238.
H-6406 Békéscsaba"
"Dr. Balogh Attila Máté","Székesfehérvári utca 93.
H-8602 Lajosgyörgyvárad"
"Péterné Dr. Váradi Zsófia Klára","Szigetszentmiklósi utca 106.
H-7745 Hátharaszti"
"Dr. Oláh Pálné","Arany jános utca 223.
H-6856 Kishátvár"
"Dr. K. Simon Hanna","Rácháti utca 39.
H-6206 Drávahátberény"
"Dr. J. Fodor Erzsébet","Szabadság tér 151.
H-9627 Baja"
"Dr. Szabó Klára Ibolya","Mindszenthalasi utca 232.
H-5656 Tamásikőrös"
"Vargané Dr. Horváth Laura Csilla","Bajai utca 57.
H-8786 Tapolcafalu"
"Dr. Á. Balázs Lajos","Piliskereszti út 104.
H-8960 Szenttótdevecser"
"Péter Noel Ádám","Petőfi sándor utca 242.
H-9189 Székhalas"
"Veres D. István","Hátfalui utca 204.
H-4652 Budapest"
"Dr. Kiss Kinga Katalin","Dunakereszti utca 125.
H-4324 Töröktapolcavára"
"R. Budai Erzsébet","Tapolcanémetii tér 224.
H-2421 Pécs"
"Dr. Oláh Zoltán Norbert","Váci utca 103.
H-5799 Hátharaszti"
"Rácz É. Nikoletta","Váci utca 119.
H-7753 Magyartamásinémeti"
"Dr. Horváth Krisztina","Mindszentharasztii utca 46.
H-6459 Debrecen"
"Tóthné Dr. Simon Tímea","Hetvennémetii utca 94.
H-4687 Tótkőrös"
"Dr. Takács Bencené","Székvárai utca 49.
H-6822 Szigetszentmiklós"
"Horváthné Vincze Katalin","Ózdi utca 141.
H-9457 Balatonkövesd"
"Dr. Farkasné Kovács Krisztina Mónika","Székváradi utca 149.
H-9218 Somogytótvár"
"Dr. Molnár I. Zoltán","Székvári utca 123.
H-6423 Mellékvár"
"Dr. Takács Istvánné","Fürdőnémetii utca 182.
H-1953 Ózd"
"Nagy A. Hajnalka","Bakonytóti utca 73.
H-9524 Oroszkeresztváros"
"Dr. Oláhné Szabó Magdolna","Petőfi sándor utca 93.
H-1148 Keresztváros"
"Dr. Szabóné Deák Lilla","Kossuth utca 21.
H-4585 Györgyvárad"
"Dr. Tóth Zoltánné Vass Andrea","Tótberényi utca 118.
H-9197 Keresztvárad"
"Tóthné Gulyás Laura","Kossuth utca 31.
H-3914 Alsótamásinémeti"
"Dr. Nagy Farkas Gábor","Ady endre utca 205.
H-2978 Székesfehérvár"
"Orsós Nikoletta","Hídvárosi utca 236.
H-3440 Mártonvég"
"Dr. Némethné Szabó Gabriella","Bácsgyörgyi tér 133.
H-1721 Györgyfa"
"Barta N. Fanni","Dunaújvárosi utca 13.
H-5426 Budapest"
"Kovács Takács Tünde","Bácsgyörgyi utca 214.
H-3517 Miskolc"
"Juhászné Dr. Fekete Erzsébet Judit","Bakonyligeti utca 17.
H-2133 Kecskemét"
"Dr. Orbán Farkas Ernő","Pusztatapolcai utca 145.
H-1087 Baja"
"Dr. Orosz M. Márk","Petőfi sándor út 77.
H-2109 Tamásiharaszti"
"Dr. Szabó Péter József","Felsőmindszenti utca 83.
H-5173 Kaposvár"
"Márton Balla János","Somogyi utca 57.
H-9106 Sopron"
"Dr. Hegedűs Barna","Ady endre tér 90.
H-1438 Békéscsaba"
"Dr. Takácsné Molnár Virág","József attila utca 165.
H-7289 Hátkövesd"
"Dr. Kerekes Zoltánné","Mezőhídi utca 65.
H-5593 Hátfalu"
"Dr. Szűcs Pálné","Magyarszéki utca 111.
H-7301 Tótkőrös"
"A. Kiss Erzsébet","Belsőfürdői tér 81.
H-3844 Ózd"
"Dr. László Tiborné","Hídnémetii utca 108.
H-4667 Tótháza"
"Dr. Orbán Gyulané Máté Klára","Magyarhetveni út 46.
H-1666 Nyíregyháza"
"Dr. Kovácsné Farkas Katalin","Hajdúmindszenti utca 206.
H-8193 Kismártonapáti"
"Tóthné Dr. Horváth Erzsébet","Szolnoki utca 207.
H-7376 Ózd"
"Biróné Dr. Kiss Dóra","Miskolci utca 74.
H-3259 Győr"
"Dr. Kiss Kovács Anikó","József attila utca 160.
H-6199 Békéstótkövesd"
"L. Németh Zoltán","Béke utca 22.
H-4717 Győr"
"Lakatosné Dr. Molnár Mónika","Vári utca 145.
H-1413 Mártondevecser"
"Illés Éva","Szentmelléki utca 224.
H-5730 Keresztapáti"
"Dr. Lakatos Rácz Bernadett","Kossuth utca 31.
H-3505 Budapest"
"Pappné Horváth Éva Krisztina","Szabadság utca 141.
H-5484 Veszprém"
"Dr. Orosz Beáta","Németligeti utca 106.
H-8794 Drávagyörgyvárad"
"J. Tóth Máté","József attila utca 172.
H-2904 Mosonhídvég"
"Pál Nagy Bence","Pusztamelléki tér 139.
H-5233 Mártonnémeti"
"Horváth Zalánné Kiss Anikó","Győri utca 176.
H-4246 Fürdőbánya"
"Dr. Horváth Tamásné Borbély Erzsébet","Fürdőfalvai utca 144.
H-4797 Nyírfürdőhalas"
"Balázs Judit Erzsébet","Béke utca 139.
H-4655 Mellékfalva"
"Dr. Balázs Gyula","Törökfürdői tér 121.
H-4575 Egyházasfürdőnémeti"
"Juhász Csilla","Dunaújvárosi utca 170.
H-7189 Hódmezővásárhely"
"Molnár Józsefné Tóth Anna","Béke utca 169.
H-1583 Tapolcavára"
"Dr. Horváth Ferencné","Mártonkövesdi út 218.
H-4819 Balatonhátnémeti"
"Dr. Orosz Irén Edit","Nyíregyházai utca 217.
H-4616 Bakonymártonvár"
"Prof. Dr. Molnár Kiss Anna","Székházai tér 130.
H-2229 Szenthetvenvára"
"Nagy Balázsné Gulyás Erzsébet","Fürdővárai utca 73.
H-7233 Vácvárad"
"Szalai Oláh Sándor","Dózsa györgy út 122.
H-6000 Hídfa"
"Dr. Kiss Z. István","Ózdi út 79.
H-7619 Felsőmellékdevecser"
"Simon András","Mosonligeti utca 236.
H-4773 Hetvenváros"
"Fekete Lajos Zsolt","Dunaújvárosi utca 130.
H-6259 Mindszentvárad"
"Nagyné Márton Ilona Klára","Hídvárai utca 74.
H-8785 Budaligetváros"
"Virág Balogh Noel","Dózsa györgy utca 210.
H-6211 Ligetharaszti"
"Tóth V. Andrea","Kistamásii utca 76.
H-6307 Szerbszékhalas"
"Dr. Orosz Tamásné Fekete Alexandra","Egyházastóti utca 84.
H-8006 Tatabánya"
"Kovácsné Kis Magdolna","Dózsa györgy tér 250.
H-1413 Sopron"
"Dr. Horváth Ernőné","Mindszentvárai utca 146.
H-9619 Tiszakeresztnádasd"
"Pap Jánosné","Szabadság út 180.
H-9089 Fürdőapáti"
"Dr. Gál I. János","Szombathelyi utca 19.
H-5001 Mellékfalu"
"Dr. Németh Z. Judit","Tapolcanémetii utca 222.
H-4685 Keresztdevecser"
"Dr. Horváth Rozália","Petőfi utca 243.
H-1100 Győr"
"Székelyné Dr. Kiss Julianna","Nyékhetveni utca 81.
H-2009 Hátnádasd"
"Balogh A. Erzsébet","Mártonberényi utca 247.
H-4788 Alsógyörgyvárad"
"Dr. S. Horváth Attila","Váctamásii utca 247.
H-8560 Tapolcaberény"
"Dr. Oroszné Nagy Éva","Hajdúhetveni utca 240.
H-6444 Györgyapáti"
"Dr. Lakatos Attilané Balogh Márta","Veszprémi utca 187.
H-7777 Bácsháthida"
"Balog Szabó András","Dunakeszii utca 62.
H-1555 Tamásiháza"
"Pintér Aranka Magdolna","Belsőkereszti utca 213.
H-6243 Szolnok"
"Horváth Éva","Tamásihalasi utca 81.
H-3875 Melléknémeti"
"Takács Török László","Kaposvári tér 12.
H-7154 Mindszentfalva"
"Papp Anikó Zsuzsanna","Tatabányai utca 219.
H-8675 Keresztvára"
"Dr. Varga Piroska","Némettapolcai utca 11.
H-3850 Vácnádasd"
"Dr. Varga É. Erzsébet","Miskolci utca 226.
H-1130 Mellékfalva"
"Veres Kiss Éva","Hetvenkőrösi utca 200.
H-5396 Lajoskeresztnémeti"
"Dr. Oroszné Szabó Szilvia Mariann","Arany jános utca 125.
H-5848 Keresztapáti"
"M. Kerekes Erika","Debreceni utca 41.
H-7122 Érd"
"Papp László János","Szolnoki utca 21.
H-6074 Somogytótharaszti"
"Dr. Molnár János László","Szolnoki utca 11.
H-8405 Váckeresztháza"
"Dr. Nagy Tünde Erzsébet","Drávagyörgyi tér 37.
H-1203 Miskolc"
"A. Tóth Ferenc","Egyházastapolcai utca 192.
H-6062 Kecskemét"
"Rácz József Olivér","Pusztamelléki tér 242.
H-8365 Mellékvég"
"Dr. Balázsné Varga Andrea","Törökmindszenti utca 54.
H-9123 Hídfalu"
"L. Bálint Árpád","Bajai utca 96.
H-5584 Magyarkeresztbánya"
"Dr. Némethné Horváth Anna Anna","Tiszaszéki utca 43.
H-6203 Györgydevecser"
"Dr. Orsósné Rácz Erzsébet Sára","Székesfehérvári utca 163.
H-9518 Székvár"
"Horváth Farkas Ágnes","Szolnoki utca 77.
H-3083 Tamásivárad"
"Kiss Gréta","Érdi utca 68.
H-6428 Tapolcaharaszti"
"Dr. Horváthné Gál Anna","Kecskeméti utca 12.
H-2116 Hídvárad"
"Dr. Mészáros Tiborné Molnár Mária","Béke utca 165.
H-3270 Tótháza"
"Horváthné Dr. Szőke Gréta Ibolya","Béke utca 117.
H-4932 Vác"
"E. Gál Renáta","Törökkereszti utca 100.
H-7404 Tapolcavár"
"Dr. Szalai Gál Rózsa","Dunakeszii út 116.
H-2299 Salgótarján"
"Nagyné Kovács Mónika","Vácfürdői utca 28.
H-4315 Sopron"
"Tóth Varga Éva","Oroszháti út 67.
H-3540 Töröktamásibánya"
"Dr. P. Fehér Árpád","Keresztvári utca 62.
H-2550 Salgótarján"
"Horváthné Dr. Szekeres Beáta","Ligetváradi utca 119.
H-1764 Kuntamásiháza"
"Kelemenné Tamás Borbála","Magyarszéki tér 59.
H-3969 Cegléd"
"A. Székely Zsuzsanna","Nyírligeti tér 178.
H-3756 Szenthídberény"
"Dr. Somogyi Sándor","Nagykanizsai tér 250.
H-1724 Kecskemét"
"Tóthné Farkas Rita Rebeka","Arany jános utca 79.
H-2805 Mátrahátkövesd"
"Nagy Richárd Ádám","Petőfi sándor utca 195.
H-4119 Érd"
"Antal S. Miklós","Melléknémetii utca 75.
H-5687 Keresztdevecser"
"Németh Margit Ilona","Drávafürdői utca 161.
H-2836 Eger"
"Dr. D. Fazekas Zsolt","Felsőfürdői tér 218.
H-7317 Tamásifalva"
"Dr. Pap Edit","Arany jános út 171.
H-7071 Rácmellékharaszti"
"Tóth Sándor István","Győri utca 144.
H-1065 Nyíregyháza"
"Nagyné Kiss Erika","Ligethidai út 101.
H-9345 Tamásiharaszti"
"Dr. Horváth Ádám","Tiszahetveni utca 20.
H-6830 Érd"
"Dr. Bognárné Budai Anita","Petőfi utca 159.
H-4110 Nyírtótvárad"
"Dr. Tóthné Nagy Mária Anna","Ady endre utca 201.
H-2526 Újmindszenthida"
"Horváthné Dr. Szabó Veronika","Miskolci utca 53.
H-2297 Budahátnémeti"
"Dr. Szilágyi E. Nóra","Kaposvári utca 14.
H-7310 Keresztvár"
"Dr. Horváth Lengyel Ildikó","Keresztberényi utca 52.
H-5479 Székesfehérvár"
"Takács Z. Margit","Bácshídi utca 37.
H-2789 Sopron"
"Dr. Pap Kiss Erika","Székesfehérvári utca 216.
H-8255 Tóthalas"
"Tóth Margit","Ady endre tér 143.
H-7678 Hídvár"
"Dr. Szűcs Lászlóné","Arany jános utca 158.
H-1630 Hídfalu"
"Antalné Tóth Ilona","Ady endre út 216.
H-3319 Budapest"
"Horváth Tóth Zsuzsanna","Hátbányai utca 188.
H-6696 Nyékgyörgybánya"
"A. Borbély Ilona","Újhídi tér 60.
H-2909 Mátramellékberény"
"Dr. Sipos Sándor Gergő","Nyíregyházai utca 125.
H-9188 Vác"
"Á. Vass Dániel","Somogymelléki utca 158.
H-9393 Mosonhídhalas"
"B. Tóth János","Szabadság utca 222.
H-7999 Szerbszékkőrös"
"Vargané Dr. Tóth Zsuzsanna","Veszprémi utca 204.
H-8382 Székesfehérvár"
"Dr. Pap Klára Mária","Ligetkövesdi út 36.
H-1965 Felsőtótkőrös"
"Hegedüs Varga Ákos","Rácmindszenti utca 188.
H-9066 Debrecen"
"Dr. Németh Erzsébet","Mártonberényi utca 130.
H-6282 Ligetkőrös"
"Dr. Kissné Pintér Piroska","József attila utca 157.
H-7110 Tapolcakövesd"
"Horváth É. Hanna","Nyékszéki utca 96.
H-8472 Budapest"
"Kovács Levente","Kishídi utca 62.
H-9129 Keresztvárad"
"Szalai László József","Budapesti utca 117.
H-4563 Fürdőnémeti"
"Dr. Kovács Milánné","Oroszhetveni utca 147.
H-3499 Balatonhídnádasd"
"Kis Mária","Béke utca 204.
H-5666 Oroszgyörgydevecser"
"Szabó Ádám","Szegedi utca 54.
H-1597 Rácmindszentháza"
"Dr. Pap R. Dániel","József attila út 43.
H-5700 Kecskemét"
"Szalai Szabó András","Egeri utca 109.
H-9963 Kistamásivára"
"Szabó Miklósné Hegedűs Rebeka","Tapolcadevecseri tér 195.
H-8160 Pécs"
"Tóth Istvánné Virág Mária","Vácmindszenti utca 110.
H-1457 Tiszatótvár"
"Dr. Szabóné Simon Vivien","Petőfi sándor utca 189.
H-2836 Mosonmagyaróvár"
"Mészárosné Dr. Szalai Orsolya","Szabadság utca 185.
H-7901 Székvár"
"Papp Péterné Fodor Andrea","Mosonmártoni utca 80.
H-3948 Fürdőváros"
"Dr. Horváth K. Ilona","Dózsa györgy utca 188.
H-7974 Apáti"
"Nagy A. Krisztina","Tiszaszéki utca 44.
H-6384 Fürdőbánya"
"Dr. Kovács Bodnár Piroska","Hátbányai utca 209.
H-1404 Cegléd"
"Dr. Papné Mészáros Kitti Katalin","Budapesti utca 65.
H-7762 Drávatótvég"
"Tóth Tamásné Varga Mária","Ady endre út 225.
H-2713 Mellékberény"
"A. Kovács Sándor","Fürdőfalvai utca 239.
H-6877 Cegléd"
"Szücs Kovács András","Némettamásii utca 177.
H-2495 Székkövesd"
"V. Kiss Brigitta","Petőfi utca 48.
H-2505 Debrecen"
"Dr. Kerekes J. Erika","Kecskeméti tér 203.
H-8712 Hídkövesd"
"Dr. Tóth Györgyné Oláh Erika","Szegedi út 228.
H-2930 Hátfalva"
"Orosz Sándorné Kiss Aranka","Szabadság utca 51.
H-1154 Sopron"
"Kis Antalné","Lajoskereszti út 2.
H-5346 Szolnok"
"Varga Attila Attila","Kaposvári utca 92.
H-7405 Dunahetvendevecser"
"Dr. Papné Nagy Hajnalka","Mindszenthalasi utca 221.
H-5950 Nyéktapolcavárad"
"K. Katona Ilona","Váci utca 35.
H-4491 Dunaújváros"
"Gulyásné Papp Eszter Andrea","Petőfi utca 27.
H-8982 Mátrahalas"
"Balázs M. Szilvia","Somogyligeti utca 137.
H-2484 Fürdőfalu"
"Dr. Tóthné Török Tünde","Felsőkereszti utca 187.
H-2086 Tamásikőrös"
"Dr. Szabó Ildikó Julianna","Dózsa györgy út 235.
H-6938 Hódmezővásárhely"
"Deákné Dr. Kiss Judit Judit","Hídfai utca 110.
H-1056 Salgótarján"
"V. Vörös Réka","Váci út 223.
H-8555 Kecskemét"
"Kovács Gáborné","Magyarmártoni tér 137.
H-9672 Mosonhídapáti"
"É. Simon Dorottya","Felsőligeti utca 61.
H-9413 Mindszentberény"
"Dr. Papp Fekete Gyula","Nyíregyházai utca 133.
H-3713 Hátkövesd"
"Tamás Róbertné Kis Dorina","Tapolcavárai utca 55.
H-7794 Mátramártonváros"
"Farkas Ernőné Varga Zsuzsanna","Szerbhídi utca 120.
H-6478 Bácsligetdevecser"
"Dr. Tóthné Tóth Ilona","Hátvárai utca 155.
H-5348 Érd"
"E. Barta Judit","Dunaújvárosi utca 163.
H-4663 Érd"
"Halász Magdolna Ilona","József attila utca 234.
H-7892 Nagykanizsa"
"Balogh Zoltánné Oláh Erzsébet","Ózdi utca 31.
H-5022 Drávamártonvár"
"T. Balog Jolán","Arany jános utca 236.
H-1507 Kiskeresztdevecser"
"Dr. Szabó Molnár Norbert","Kunhetveni utca 53.
H-5915 Györgyvár"
"Márton Józsefné Bogdán Enikő","Némethetveni utca 110.
H-2225 Szigetszentmiklós"
"Dr. Papp Ferenc Ferenc","Nagytóti utca 88.
H-2248 Tapolcakövesd"
