"A. Antal András"|"Törökligeti utca 40.
H-1287 Szeged" 
"A. Kovács Ádám"|"Ady endre út 87.
H-6577 Belsőmártonvára"
"Dr. Fazekas Mihály"|"Mellékfai utca 231.
H-4133 Hídváros"
"Faragó Istvánné Halász Annamária"|"Tapolcahalasi utca 83.
H-3123 Mosonmagyaróvár"
"Dr. Balogh E. Katalin"|"Rácszéki utca 64.
H-1936 Pécs"
"Dr. I. Novák Ágnes"|"Béke utca 195.
H-2921 Lajoshátváros"
"Balogh Tóth Erzsébet"|"Mezőhídi utca 97.
H-6138 Keresztváros"
"Dr. Váradi Szilágyi Nikolett"|"Nyírszéki utca 90.
H-1174 Budahídkőrös"
"Bogdán Zalán Ferenc"|"Hídházai utca 26.
H-4416 Mindszentvára"
"Szabóné Barna Márta"|"Dózsa györgy utca 194.
H-1816 Borsodmellékdevecser"
"Bogdánné Jónás Borbála Dorina"|"Hátházai út 106.
H-8229 Belsőmindszentháza"
"Dr. Fodor Gábor József"|"Ady endre utca 236.
H-8507 Szentligetkövesd"
"Dr. Orbán Kelemen Anna"|"Hídbányai utca 82.
H-5010 Mosonmindszentvár"
"Kovács Nagy Margit"|"Somogyi utca 192.
H-7373 Mártonvárad"
"Király Károlyné Szabó Henrietta"|"Ady endre utca 150.
H-4395 Debrecen"
"Orosz László"|"Kossuth utca 84.
H-6929 Györgyhida"
"Lukácsné Dr. Varga Lili"|"Fürdőkövesdi utca 35.
H-7832 Györgyhida"
"Farkas Erzsébet"|"Hídházai utca 209.
H-4771 Budatapolcavár"
"Péter József Tibor"|"Tapolcafai út 9.
H-2945 Budagyörgyfalu"
"Dr. Kovács J. Gábor"|"Oroszmindszenti utca 178.
H-2969 Székhalas"
"Bogdánné Kovács Ilona"|"Békésháti utca 28.
H-6359 Tamásiharaszti"
"Nagy Katalin Erika"|"Fürdőfai utca 43.
H-9407 Borsodgyörgyváros"
"Deák M. Rozália"|"Kossuth utca 7.
H-8139 Oroszfalu"
"Dr. Vass Szűcs Györgyi"|"Nagykanizsai utca 60.
H-9866 Tiszakeresztkövesd"
"Kiss T. Sándor"|"Szerbkereszti utca 205.
H-9096 Zalaegerszeg"
"Kovács Dávid László"|"Tapolcavári tér 77.
H-6968 Hátfalva"
"Dr. Novák Józsefné Tóth Rita"|"Belsőligeti utca 228.
H-3455 Ligethida"
"Sárközi D. József"|"Keresztkövesdi tér 210.
H-6366 Érd"
"F. Pap Zoltán"|"Széknádasdi utca 247.
H-9087 Lajosmellékháza"
"Borbély Lászlóné Oláh Marianna"|"Székvárosi utca 222.
H-8525 Salgótarján"
"Bognár Gézané Hegedűs Erzsébet"|"Ady endre tér 149.
H-5921 Hídharaszti"
"Dr. Orsós János Levente"|"Arany jános utca 15.
H-8836 Mindszentnémeti"
"Szalainé Horváth Irén Anna"|"Mezőhetveni utca 43.
H-3565 Mártonkövesd"
"Pintér Tibor Sándor"|"Hídkőrösi utca 198.
H-1644 Szerbligetvárad"
"Farkas A. Annamária"|"Györgyberényi utca 47.
H-5910 Sopron"
"Nagyné Dr. Rácz Erzsébet Dóra"|"Mellékdevecseri út 214.
H-8313 Győr"
"Varga Magyar Ferenc"|"Soproni út 86.
H-9008 Tamásikövesd"
"Dr. Kovács Gréta Adrienn"|"Budapesti utca 87.
H-9805 Tapolcakőrös"
"M. Tóth Balázs"|"Székvárai utca 186.
H-7127 Belsőtótapáti"
"Dr. Molnár Balog Mihály"|"Váctóti utca 210.
H-9646 Újhetvenhida"
"Bognár Horváth Tímea"|"Oroszmártoni utca 64.
H-7708 Keresztharaszti"
"Nagy J. Ádám"|"Székfalui utca 94.
H-2098 Oroszhídváros"
"Dr. Szabó M. Gyöngyi"|"Mellékfai út 105.
H-1454 Drávagyörgyvég"
"Nemes P. Attila"|"Ady endre utca 48.
H-8064 Hetvenhida"
"Dr. Szalai Ibolya"|"Pusztahídi utca 182.
H-3984 Tótnádasd"
"Dr. Fodor Imrené"|"Ligetnádasdi utca 207.
H-3789 Fürdőapáti"
"Dr. Pappné Tóth Erzsébet"|"Arany jános tér 37.
H-1759 Érd"
"Varga E. Anna"|"Petőfi út 48.
H-1241 Mátramártonváros"
"Deákné Prof. Dr. Farkas Mária"|"Tamásinádasdi tér 52.
H-6393 Fürdővára"
"Vargané Prof. Dr. László Noémi Veronika"|"Hajdúi utca 54.
H-1832 Mellékfa"
"Bognár Irén Tímea"|"Székesfehérvári utca 184.
H-4469 Hídharaszti"
"Mészárosné Dr. Jakab Rózsa"|"Egeri út 7.
H-8734 Mártonapáti"
"L. Novák László"|"Dunafürdői utca 106.
H-7446 Tapolcadevecser"
"Dr. Simonné Balogh Marianna Emese"|"József attila utca 58.
H-9802 Pilishetvennádasd"
"Horváth Király István"|"Kossuth út 154.
H-5509 Ligetnémeti"
"Dr. Oláh Jakab László"|"Magyartóti utca 203.
H-3497 Vác"
"Horváth O. Piroska"|"Ady endre utca 205.
H-2283 Nyékgyörgyapáti"
"Mészáros László Kevin"|"Györgyfalvai utca 173.
H-5242 Györgydevecser"
"Dr. Horváthné Juhász Gabriella"|"Székhalasi utca 86.
H-2084 Hídnádasd"
"Dr. Baloghné Farkas Zsófia Magdolna"|"Hetvenfalvai utca 110.
H-5261 Tótapáti"
"Bognár István"|"Szegedi utca 9.
H-6502 Somogyhídfalu"
"Kiss Kozma Viktor"|"Váci tér 78.
H-5423 Mellékharaszti"
"Szabóné Tóth Judit"|"Ózdi utca 78.
H-6868 Hajdúszékkőrös"
"Kovácsné Dr. Szabó Szilvia"|"József attila utca 60.
H-7756 Balatontamásivára"
"Soósné Farkas Viktória"|"József attila út 228.
H-6256 Békéscsaba"
"Kovácsné Lakatos Terézia"|"Oroszligeti utca 35.
H-9832 Békéshídvárad"
"Dr. J. Faragó Sándor"|"Ligetfai utca 172.
H-8912 Székhalas"
"Prof. Dr. Gál Hanna Éva"|"Petőfi sándor út 198.
H-9863 Bánya"
"Baloghné Dr. Nagy Ágnes"|"Törökmelléki út 243.
H-2305 Veszprém"
"Dr. Varga Lászlóné"|"Béke utca 155.
H-3516 Szigetszentmiklós"
"Bognár Sándorné"|"Miskolci utca 49.
H-6800 Ligetvég"
"Jakabné Molnár Edit"|"Drávamártoni utca 248.
H-2216 Mátrakövesd"
"Nagy I. Csilla"|"Nagykanizsai tér 84.
H-8436 Mellékháza"
"J. Horváth Péter"|"Arany jános utca 180.
H-7073 Szolnok"
"Dr. Kovács Zita"|"Kossuth utca 166.
H-6633 Némethetvenbánya"
"Dr. D. Kovács Nikolett"|"Hódmezővásárhelyi utca 45.
H-5328 Újfürdőharaszti"
"Z. Kozma Gábor"|"József attila utca 193.
H-4388 Pusztaligetkőrös"
"Molnár Sipos Péter"|"Ligetnémetii utca 118.
H-9877 Drávatapolcahalas"
"A. Nagy Dóra"|"Mártonvégi utca 126.
H-3056 Tiszatapolcafalu"
"Nagy Ferenc"|"Balatonháti utca 31.
H-8697 Hídharaszti"
"Bognár Tamásné"|"Dózsa györgy utca 149.
H-2606 Szigetszentmiklós"
"Szalai Erzsébet"|"Debreceni utca 84.
H-1085 Eger"
"Dr. Pap Sándorné Szabó Zsuzsanna"|"Györgybányai utca 42.
H-9249 Székvárad"
"Dr. Varga Zoltán"|"Mártonfalui utca 246.
H-9376 Györgybánya"
"Dr. Nagy D. László"|"Tiszamelléki utca 145.
H-9166 Mátragyörgyberény"
"K. Nagy Enikő"|"Dózsa györgy utca 234.
H-1635 Szombathely"
"Dr. Kovács Lászlóné Szabó Anna"|"Hátváradi utca 193.
H-5829 Nyírfalu"
"Dr. Biró I. Mihály"|"József attila utca 233.
H-8917 Hátkőrös"
"Dr. Szabó Béla"|"József attila út 216.
H-2760 Mezőtapolcaapáti"
"Dr. Farkas Attilané"|"Székfai út 104.
H-9411 Dunaújváros"
"Bognár Z. László"|"Törökhetveni út 57.
H-3210 Mindszentkövesd"
"Fodor Gyula József"|"Kossuth utca 82.
H-2131 Debrecen"
"Dr. Balázs Vincené"|"Kismártoni tér 124.
H-4959 Mezőmellékhida"
"Tóth Rácz Enikő"|"Béke utca 174.
H-6932 Tatabánya"
"Prof. Dr. Vargané Mezei Ilona"|"Nagytamásii tér 232.
H-9577 Mindszentfa"
"Dr. Tóth K. Valéria"|"Alsótóti út 97.
H-9023 Bácstamásidevecser"
"M. Pap Dániel"|"Dózsa györgy utca 41.
H-2222 Nagykanizsa"
"Tóth Z. András"|"Hídbányai utca 174.
H-8743 Pilismindszentvára"
"Dr. L. Tóth Sándor"|"Nagykanizsai utca 41.
H-5614 Tapolcaapáti"
"Dr. L. Horváth Gyula"|"Debreceni utca 45.
H-4256 Hátvár"
"Bognárné Dr. Fehér Erika Éva"|"Szigetszentmiklósi utca 4.
H-2916 Zalaegerszeg"
"Tóth Pál"|"Petőfi utca 62.
H-8945 Székberény"
"Sipos Zsoltné"|"Mártonváradi utca 48.
H-3851 Németi"
"Tóth Ferenc József"|"Ady endre tér 87.
H-1371 Hetvenkőrös"
"Papp Ernő Zsombor"|"Pusztamártoni tér 138.
H-4000 Nyíregyháza"
"Törökné Dr. Magyar Júlia"|"Arany jános utca 15.
H-8279 Nyírfürdődevecser"
"Dr. Fodor Sipos Jolán"|"Salgótarjáni út 16.
H-7268 Györgyfa"
"Z. Farkas Viktória"|"Tatabányai utca 189.
H-2835 Ózd"
"Juhászné Dr. Szabó Ibolya"|"József attila út 92.
H-7755 Ligetfalva"
"Szőke Gyula"|"Szerbgyörgyi tér 210.
H-5961 Zalaegerszeg"
"Borbély Erik Gyula"|"Székesfehérvári utca 61.
H-4156 Székkőrös"
"Molnár Dánielné Fekete Zsuzsanna"|"Székdevecseri utca 214.
H-8540 Vác"
"Virág László Bence"|"Bácshídi utca 194.
H-6778 Nyírszéknádasd"
"Dr. Németh Veronika Terézia"|"Alsótamásii utca 242.
H-4893 Kecskemét"
"Dr. Sárközi Sándor László"|"Mindszentvégi utca 247.
H-5089 Fa"
"Nagyné Somogyi Nóra Irma"|"Fürdőfalvai tér 173.
H-3833 Tiszaszékdevecser"
"Nagy M. Mária"|"Pusztaháti utca 220.
H-1436 Vác"
"Molnár Pál Dávid"|"Ady endre utca 121.
H-2358 Alsószékfa"
"Molnárné Németh Alexandra Kitti"|"Ady endre utca 144.
H-8761 Oroszmellékhalas"
"Dr. Horváth Csabané Kiss Margit"|"Békéscsabai utca 46.
H-1346 Tóthida"
"Borbély Ferenc"|"Ady endre utca 164.
H-2912 Cegléd"
"Kerekes Balázs Ferenc"|"Hídkőrösi utca 121.
H-6578 Nagykanizsa"
"Dr. Takács Lajos"|"Nyírfürdői utca 241.
H-6033 Oroszmindszentvárad"
"Dr. Kovács Judit"|"Debreceni utca 181.
H-5198 Mindszentbánya"
"Dr. Szabó Attila Miklós"|"Keresztvárai utca 230.
H-6844 Egyházasfürdőkőrös"
"Fekete Andrásné Balogh Edit"|"Petőfi utca 228.
H-3903 Szolnok"
"Dr. Boros Bettina Tímea"|"Nagykanizsai utca 90.
H-2149 Borsodszéknémeti"
"Dr. Magyar Zsolt"|"Székváradi utca 47.
H-8651 Pécs"
"Váradi Hajnalka Zsuzsanna"|"Arany jános utca 107.
H-8947 Tamásinádasd"
"Balog A. Viktória"|"Alsóhídi utca 10.
H-5710 Pilishídkövesd"
"Borbély Kiss Zoltán"|"Veszprémi tér 249.
H-5372 Debrecen"
"Juhász Ferencné Varga Ildikó"|"Kossuth utca 182.
H-8033 Szolnok"
"Biró Szilvia"|"Tótvégi utca 74.
H-6880 Szeged"
"Dr. Szilágyiné Szabó Anna"|"Budapesti utca 11.
H-8784 Hídfalu"
"Királyné Dr. Tóth Mária"|"Székhidai út 26.
H-4280 Bácshátvára"
"Dr. Pásztor Zoltánné Horváth Ilona"|"Mellékváradi utca 187.
H-5159 Mátrahátharaszti"
"Kovács Szőke Csaba"|"Arany jános tér 96.
H-6602 Fürdőháza"
"Z. Fehér Ilona"|"Hetvenvárosi utca 1.
H-1660 Hátváros"
"Nagyné Prof. Dr. Kiss Margit"|"Petőfi sándor út 117.
H-8770 Kecskemét"
"Dr. Vargané Pásztor Erika Klára"|"Egeri utca 6.
H-3644 Hátnémeti"
"Borbély László"|"Petőfi utca 76.
H-2167 Keresztvárad"
"Kiss Tünde Ildikó"|"Dunaújvárosi utca 242.
H-6848 Miskolc"
"Király Katalin"|"Szabadság utca 41.
H-4055 Ligetfalva"
"Nagyné Dr. Juhász Mónika Borbála"|"Mártonvégi utca 1.
H-6982 Mosonmindszentapáti"
"Kovács Zsolt Benedek"|"Arany jános utca 249.
H-8287 Székvár"
"Nagy Z. Mária"|"Hátfalui utca 141.
H-6690 Pusztamellékvár"
"Dr. Papp Sándor Ibolya"|"Mellékfai utca 185.
H-7328 Békéscsaba"
"Horváth M. Adrienn"|"Bajai utca 235.
H-4384 Drávahídharaszti"
"Kovácsné Dr. Nagy Éva"|"József attila út 151.
H-7551 Miskolc"
"Z. Orosz Andrea"|"Budapesti utca 78.
H-1057 Dunakeszi"
"Borbély Tamás Tibor"|"Szolnoki utca 216.
H-5135 Felsőmindszentberény"
"Németh Szabolcs Zsolt"|"Hódmezővásárhelyi utca 83.
H-8848 Drávatapolcabánya"
"M. Juhász Mária"|"Bakonyszéki utca 23.
H-9288 Dunagyörgyharaszti"
"Dr. E. Kovács Ilona"|"Petőfi utca 98.
H-2171 Nagykanizsa"
"Major Ágnes"|"Orosztóti út 122.
H-8771 Tapolcakőrös"
"Dr. Nagy Fekete Erzsébet"|"József attila út 78.
H-8438 Tótvár"
"Lengyel Katalin"|"Szolnoki utca 133.
H-1216 Tiszahátharaszti"
"Veres Tibor"|"József attila út 221.
H-8005 Kungyörgyapáti"
"Dr. Pál Balog Zoltán"|"Mindszentváradi út 58.
H-7744 Törökligetvárad"
"Kiss Pál László"|"Keresztvégi utca 157.
H-7196 Felsőmellékdevecser"
"Borbély Zsuzsanna"|"Hódmezővásárhelyi utca 224.
H-5020 Balatonhídharaszti"
"Kovács Gábor"|"Borsodi utca 159.
H-1503 Ráctapolcafalva"
"Dr. T. Sárközi János"|"Szentháti utca 109.
H-6275 Budamellékdevecser"
"Dr. L. Faragó Ádám"|"Petőfi sándor utca 20.
H-2687 Nagykanizsa"
"Juhász Novák István"|"Ceglédi tér 177.
H-7622 Szerbgyörgykövesd"
"Bogdán István"|"Tótnádasdi utca 203.
H-7978 Dunaújváros"
"Pintérné Antal Katalin"|"József attila utca 46.
H-5762 Székvárad"
"Nagy Z. Anna"|"Hátvárai utca 136.
H-3610 Egyházastapolcavára"
"Boros Katalin Zsuzsanna"|"Győri utca 240.
H-6145 Dunaújváros"
"Nagy Ádám"|"Zalaegerszegi utca 179.
H-1596 Veszprém"
"Borbélyné Dr. Tóth Rózsa Andrea"|"Hetvennádasdi tér 222.
H-5593 Bácsmindszentfalva"
"Kovács Annamária Erika"|"Szabadság utca 158.
H-9856 Kaposvár"
"Baloghné Kis Klaudia Júlia"|"Békésmelléki utca 127.
H-3908 Újtapolcavára"
"F. Rácz József"|"Székhidai utca 177.
H-8513 Kishídhida"
"Dr. Király Molnár István"|"Szegedi utca 207.
H-6490 Tapolcahalas"
"Dr. Horváth Jánosné Gál Adrienn"|"Belsőligeti utca 171.
H-3039 Hídhida"
"Nagy Tóth István"|"Arany jános út 236.
H-7270 Zalaegerszeg"
"Kiss Jenőné Bálint Julianna"|"Nagykanizsai út 189.
H-2701 Székesfehérvár"
"Prof. Dr. Jakab Balázs János"|"Széknádasdi utca 82.
H-5692 Debrecen"
"Dr. Balázs Józsefné"|"Arany jános utca 35.
H-9835 Tiszaligetnémeti"
"Boros Andrásné"|"Zalaegerszegi utca 143.
H-8210 Békéscsaba"
"Á. Nagy Krisztina"|"Kisi utca 24.
H-7704 Mosonmagyaróvár"
"Dr. Varga Kristóf"|"Szolnoki utca 227.
H-1047 Nyíregyháza"
"Székelyné Nagy Ildikó"|"Soproni út 75.
H-2056 Mindszentváros"
"Dr. Balázs Bencené Tóth Alexandra"|"Ady endre utca 142.
H-2459 Tapolcavára"
"Dr. Németh Gáborné"|"Győri út 76.
H-7354 Fürdővára"
"Takács Róza"|"Szabadság utca 189.
H-3997 Békéscsaba"
"M. Fodor Gabriella"|"Györgyfai utca 5.
H-2391 Székhalas"
"Gáspárné Boros Mária"|"Székvégi utca 3.
H-3291 Ligetvég"
"Kovács Lászlóné Nagy Erzsébet"|"Fürdőkőrösi utca 20.
H-6621 Györgyapáti"
"Boros Erzsébet Réka"|"Szabadság utca 28.
H-8820 Tiszagyörgyhalas"
"Dr. K. Papp Lajos"|"Felsőháti utca 241.
H-3000 Szeged"
"Molnár Biró Gergő"|"Béke tér 136.
H-2608 Budapest"
"Tóthné Barna Anna Jolán"|"Szombathelyi utca 230.
H-1570 Némettótvár"
"Dr. Tóth Takács Tibor"|"Pécsi utca 144.
H-6945 Hídháza"
"T. Szabó Jázmin"|"Szabadság utca 221.
H-3108 Salgótarján"
"Fülöp Tamás János"|"Hátfai utca 143.
H-7257 Tótberény"
"Dr. Szabó Kovács Éva"|"Mártonkövesdi utca 2.
H-9302 Székesfehérvár"
"Molnárné Dr. Varga Diána"|"Arany jános utca 58.
H-7214 Mátraszékberény"
"Kocsis Szabolcsné Tóth Szilvia"|"Petőfi út 33.
H-3934 Egyházasmindszentkőrös"
"Budai B. Ferenc"|"Bakonymelléki út 103.
H-4884 Pécs"
"Dr. R. Kovács István"|"Lajostóti utca 92.
H-4066 Cegléd"
"Dr. Lakatos Jánosné Horváth Alexandra"|"Ózdi utca 158.
H-7881 Hátbánya"
"Nagy Krisztina"|"Mosonmagyaróvári tér 63.
H-3649 Alsóhídfalva"
"Szűcs Lajosné Boros Viktória"|"Hajdúháti utca 26.
H-5857 Törökkeresztkövesd"
"Dr. Juhász Biró Éva"|"Hajdúmártoni utca 92.
H-3195 Salgótarján"
"Horváth Tiborné Kovács Boglárka"|"Szabadság út 89.
H-2272 Törökkereszthalas"
"Kovács Orosz Ágnes"|"Mosonmagyaróvári utca 69.
H-2636 Tótberény"
"Dr. Vincze É. Erika"|"Fürdőhidai utca 37.
H-8969 Hetvenkövesd"
"Kovácsné Dr. Fazekas Erzsébet"|"Fürdőbányai tér 11.
H-7396 Keresztnémeti"
"Budai I. Zoltán"|"Fürdőfalvai út 142.
H-8374 Hátkövesd"
"Z. Farkas Orsolya"|"Belsőmártoni utca 155.
H-9180 Györgyháza"
"Tóth Mónika"|"Dózsa györgy utca 250.
H-6487 Györgyberény"
"Kovács Zsolt György"|"Szabadság utca 163.
H-2450 Hátvára"
"M. Hegedüs József"|"Székhidai utca 38.
H-2587 Tamásinádasd"
"Nagy Eszter"|"Tamásivárai utca 197.
H-3447 Székfalu"
"Pap Vörös Zoltán"|"Veszprémi út 107.
H-9563 Budahídvárad"
"I. Csonka Andrea"|"Hátdevecseri tér 240.
H-4809 Budapest"
"Dr. B. Varga Norbert"|"Lajoshetveni utca 62.
H-7153 Kaposvár"
"Dr. Kovácsné Fodor Mariann"|"Arany jános utca 170.
H-1129 Háza"
"Budai N. Tünde"|"Petőfi utca 139.
H-7840 Lajostapolcafa"
"Balla András"|"Arany jános út 73.
H-4287 Fürdőhida"
"Deák G. Kinga"|"Mosonszéki utca 167.
H-6540 Érd"
"Dr. Lakatosné Szőke Terézia"|"Béke utca 106.
H-5930 Hetvenvárad"
"Gálné Dr. Tóth Rita"|"Székesfehérvári utca 30.
H-1288 Pilisligetberény"
"Dr. Nagy Rozália Ibolya"|"Szabadság utca 216.
H-2063 Fürdővár"
"Dr. Farkasné Kovács Irén Ágnes"|"Mosonhídi utca 246.
H-4187 Budatapolcaapáti"
"Dr. Kovács Máténé"|"Dózsa györgy utca 136.
H-4619 Tótfalu"
"Dr. Horváth Zoltánné"|"Petőfi utca 75.
H-2493 Fürdőberény"
"Váradiné Farkas Mária"|"Mosonhídi út 48.
H-4528 Újhídháza"
"Budai Sipos Gergő"|"Szolnoki utca 135.
H-8890 Békéscsaba"
"Kovács Attilané"|"Falvai utca 175.
H-2632 Tapolcafa"
"László Istvánné"|"Ligetnémetii utca 91.
H-7985 Mártonkövesd"
"Szilágyi Eszter Zsófia"|"Borsodháti utca 115.
H-4204 Zalaegerszeg"
"Hegedűs E. Virág"|"Felsőháti utca 184.
H-9751 Balatonfalva"
"Dr. Tóth Györgyné"|"Mártonkövesdi utca 64.
H-6095 Szolnok"
"Katonané Dr. Antal Erika"|"Györgyvégi utca 59.
H-6839 Balatonhídharaszti"
"Dr. Novák B. Szilvia"|"Tótvárai utca 61.
H-5617 Cegléd"
"Szabó R. András"|"Ady endre tér 39.
H-4960 Tapolcaháza"
"P. Juhász Roland"|"Béke tér 157.
H-8508 Hídfa"
"Budainé Szűcs Anna Gabriella"|"Tapolcafalui utca 81.
H-9116 Mindszentkőrös"
"Nagyné Nagy Viktória Anikó"|"Mosonligeti utca 208.
H-6733 Cegléd"
"Horváth Patrik Gábor"|"Pécsi utca 111.
H-5478 Tamásifa"
"Dr. Szabóné Kovács Erzsébet"|"Várai utca 19.
H-1254 Cegléd"
"Novák János Attila"|"Dunatamásii utca 228.
H-3190 Mindszentvég"
"Szabóné Dr. Tóth Rozália Andrea"|"Szabadság tér 103.
H-7644 Pécs"
"Kiss Szabó József"|"Kuntamásii tér 131.
H-3994 Bácsmindszentapáti"
"Dr. Farkas Horváth József"|"Székesfehérvári utca 209.
H-1312 Hídnádasd"
"Biró Mártonné"|"Bácsmártoni utca 89.
H-7607 Melléknémeti"
"Németh György Ernő"|"Kossuth utca 32.
H-5733 Vácmindszentkőrös"
"Bálint István"|"Béke utca 81.
H-4890 Magyarhetvenkövesd"
"Tóth Ildikó Ilona"|"Egeri utca 143.
H-2874 Szigetszentmiklós"
"Fodorné Dr. Kocsis Éva"|"Tóthalasi utca 117.
H-9864 Székberény"
"Kovács T. József"|"Székhidai utca 174.
H-7452 Újmártonfa"
"Oláhné Dr. Kelemen Viktória"|"Érdi utca 191.
H-4433 Kecskemét"
"Szabóné Kiss Mária"|"Borsodhídi út 147.
H-1876 Dunaújváros"
"Kovács L. László"|"Béke út 106.
H-5521 Szerbapáti"
"Dr. Bognárné Kiss Viktória"|"Békéscsabai utca 181.
H-1694 Magyarmártonhida"
"Dr. Tamás Norbert"|"Mártonnádasdi utca 227.
H-9303 Mellékhida"
"Farkasné Dr. Fehér Eszter"|"Kaposvári utca 28.
H-5390 Szerbtapolcanádasd"
"Bálint Tibor"|"Szabadság út 60.
H-1225 Nyíregyháza"
"Dr. E. Horváth Piroska"|"Arany jános út 70.
H-1453 Dunaújváros"
"F. Molnár Gábor"|"Kossuth utca 244.
H-3167 Győr"
"Bognárné Dr. Molnár Zsuzsanna"|"Váci utca 94.
H-7774 Zalaegerszeg"
"Lakatosné Török Mária"|"Békésszéki utca 245.
H-1100 Belsőhetvenhalas"
"Dr. Nagy Szabó Endre"|"Tamásiházai utca 189.
H-8611 Mellékbánya"
"B. Juhász Dorina"|"Béke utca 25.
H-8030 Salgótarján"
"Tóth Oláh Vivien"|"Kuni utca 237.
H-1286 Tapolcaharaszti"
"Prof. Dr. I. Deák László"|"Petőfi sándor tér 93.
H-6102 Zalaegerszeg"
"I. Kovács Judit"|"Fürdőkőrösi utca 55.
H-7128 Tótfalu"
"Bálintné Dr. Horváth Ágnes Margit"|"Mosonmagyaróvári utca 169.
H-3756 Keresztfalva"
"Lukács Edit Györgyi"|"Bakonyháti út 161.
H-8046 Széknádasd"
"Balogh Sándor Lajos"|"Magyarmelléki utca 209.
H-9337 Veszprém"
"Dr. G. Molnár József"|"Nagymelléki utca 152.
H-7587 Veszprém"
"Dr. Kiss Ildikó Anna"|"Györgyfalui utca 124.
H-2074 Újtamásivár"
"Kiss Katalin"|"Béke utca 17.
H-9167 Tatabánya"
"Tóth Dánielné"|"Fürdőhalasi utca 136.
H-3015 Salgótarján"
"Szabó Eszter Mária"|"Tótfai utca 99.
H-2846 Érd"
"Lakatosné Fehér Fanni Ágnes"|"Ceglédi út 139.
H-2588 Pusztafalva"
"Dr. Szabó Viktorné"|"Ady endre utca 46.
H-2630 Szerbtótvára"
"Bálintné Varga Erzsébet Magdolna"|"Dunaújvárosi utca 132.
H-5996 Pécs"
"Hajdu Zsolt Zsolt"|"Németgyörgyi utca 47.
H-2983 Váchetvennémeti"
"Dr. E. Németh Mária"|"Budapesti út 55.
H-6567 Tótkőrös"
"Prof. Dr. Németh V. Dóra"|"Salgótarjáni út 57.
H-1959 Drávaapáti"
"Tóth Á. Laura"|"Kossuth utca 114.
H-6691 Ligetvárad"
"Illés Lakatos Marianna"|"Dózsa györgy utca 8.
H-3927 Hetvennádasd"
"Vörös Máténé Nagy Éva"|"Miskolci utca 50.
H-8956 Hódmezővásárhely"
"Kovács Török Zsuzsanna"|"Székesfehérvári utca 219.
H-8527 Bácsligetkövesd"
"Dr. Török József Dominik"|"Petőfi sándor utca 191.
H-4429 Felsőgyörgyvég"
"Varga Horváth Margit"|"Mosonmártoni utca 5.
H-7545 Nyíregyháza"
"C. Pásztor Róbert"|"József attila tér 207.
H-2013 Hátkövesd"
"Dr. Gál I. Margit"|"Szigetszentmiklósi utca 91.
H-2370 Nyíregyháza"
"Dr. A. Mezei Erzsébet"|"Békéscsabai utca 85.
H-9245 Egyházasmindszentvára"
"Dr. Hajduné Simon Anna Mária"|"Budamártoni utca 103.
H-2247 Székesfehérvár"
"J. Molnár Zsolt"|"Tamásifalvai utca 107.
H-8152 Pécs"
"Németh Jakab Zsuzsanna"|"Ceglédi tér 131.
H-5062 Zalaegerszeg"
"Molnár Hajdu Dominik"|"Hídfalui utca 143.
H-8303 Felsőtamásihalas"
"Sándor Richárd Gábor"|"Szabadság utca 33.
H-9919 Nagykanizsa"
"Fehér Nóra"|"Dózsa györgy utca 168.
H-2841 Dunakeszi"
"Sárköziné Nagy Julianna Margit"|"Hajdúmártoni utca 80.
H-9032 Ligetnémeti"
"C. Somogyi Dániel"|"Mindszentvári utca 189.
H-4106 Tiszakeresztvára"
"Dr. Tóthné Hegedüs Erzsébet"|"Dunakeszii utca 25.
H-5896 Györgyváros"
"Nagy Szabó Éva"|"Pécsi út 229.
H-2903 Mellékvár"
"Dr. Szabó Gáborné"|"Mindszentváradi utca 67.
H-1349 Drávamellékdevecser"
"Dr. Veres Károlyné"|"Kossuth utca 91.
H-2824 Keresztvárad"
"K. Molnár Andrea"|"Rácligeti út 116.
H-8962 Debrecen"
