"A. Balog Lajos"	"Tamásiházai utca 81.
H-7599 Tatabánya" 
"Dr. Németh János"	"Petőfi sándor tér 184.
H-5202 Bakonygyörgyapáti"
"Dr. Kissné Kovács Viktória"	"József attila utca 205.
H-7872 Cegléd"
"Dr. Baloghné Takács Katalin"	"Békéstóti út 208.
H-7804 Mindszentharaszti"
"Mészáros B. Borbála"	"Belsőgyörgyi utca 59.
H-1605 Györgykőrös"
"Dr. Tóthné Péter Tímea Edina"	"Petőfi sándor utca 113.
H-1526 Hetvenvár"
"Juhászné Dr. Bakos Anita"	"Tamásihalasi utca 103.
H-3404 Újgyörgynádasd"
"Dr. Varga Major Arnold"	"Arany jános út 186.
H-4667 Hetvenváros"
"A. Kiss Vivien"	"Mártonfai utca 219.
H-9497 Nagymellékapáti"
"Dr. G. Nagy Anita"	"Györgyvárosi utca 100.
H-1336 Szolnok"
"Dr. Kovács Németh Luca"	"Kaposvári utca 250.
H-1286 Kishetvenvára"
"I. Kovács Katalin"	"Szolnoki utca 6.
H-9211 Szigetszentmiklós"
"Pap Takács Ádám"	"Pilisfürdői utca 14.
H-2837 Szerbligetvég"
"Dr. Balogné Kiss Mária"	"Kecskeméti utca 34.
H-4644 Nagykanizsa"
"Dr. T. Bognár Hunor"	"József attila utca 212.
H-5043 Devecser"
"Magyarné Németh Edina Ildikó"	"Békésszéki tér 28.
H-2772 Lajoshátvárad"
"Rácz G. Gyula"	"Hátberényi utca 4.
H-4982 Nagykanizsa"
"Dr. Péter E. Anita"	"Pusztakereszti utca 116.
H-2344 Nagyligetvég"
"Jakab Jolán"	"Egyházasháti utca 119.
H-8937 Magyarkeresztnádasd"
"Oláh Nagy Kitti"	"Lajosháti utca 237.
H-1755 Mindszentbánya"
"Vincze Józsefné Katona Ibolya"	"Pusztamártoni utca 139.
H-5739 Vác"
"M. Balogh Dorina"	"Budagyörgyi út 81.
H-8591 Sopron"
"Dr. Nagy Fehér Attila"	"József attila utca 202.
H-3403 Hajdúgyörgybánya"
"Dr. Balázs Diána"	"József attila utca 115.
H-8492 Balatonhídnádasd"
"Biró Csaba"	"Szabadság utca 184.
H-2287 Szentligetdevecser"
"Kiss Gáborné Tóth Henrietta"	"Ceglédi utca 81.
H-7178 Tamásifalu"
"Pappné Nagy Réka Magdolna"	"Kossuth utca 18.
H-6562 Mezőmártonfa"
"Farkas Novák Antal"	"Győri utca 233.
H-3188 Keresztnémeti"
"Dr. Horváth Kiss László"	"Mártonapátii út 164.
H-4514 Bácsmártonvára"
"Molnár Martinné"	"Váctapolcai utca 24.
H-3395 Budapest"
"Szabó Katalin Zita"	"Hátváradi utca 2.
H-8519 Mosonfürdőhida"
"Dr. Szilágyiné Németh Andrea Erzsébet"	"Miskolci utca 201.
H-3720 Miskolc"
"D. Hegedűs Rozália"	"Fürdőharasztii utca 85.
H-7809 Hátvár"
"Dr. Barna Szabó Péter"	"Bajai utca 182.
H-1955 Mindszentfa"
"Molnár Ferenc"	"Ligetnémetii utca 152.
H-3997 Székvég"
"Fekete Ilona"	"Zalaegerszegi utca 134.
H-2932 Borsodgyörgyvárad"
"Dr. Hegedüs Kerekes Zsolt"	"Békéstamásii utca 120.
H-1659 Mindszentkőrös"
"Gál Hanna"	"Váci utca 98.
H-4929 Hódmezővásárhely"
"Dr. Horváth Józsefné"	"Arany jános út 167.
H-1807 Bakonytóthalas"
"Dr. Tóth R. Tibor"	"Mellékberényi tér 92.
H-9217 Nagykanizsa"
"Dr. Veresné Kovács Katalin Nóra"	"József attila utca 250.
H-6386 Somogytapolcavárad"
"Horváthné Dr. Tóth Katalin Petra"	"Békésligeti utca 63.
H-3853 Hódmezővásárhely"
"Horváth Károly András"	"Mosonmagyaróvári utca 133.
H-3188 Várad"
"Dr. Barta V. Attila"	"Györgykőrösi utca 174.
H-5132 Apáti"
"Balázsné Nagy Ilona Ildikó"	"Petőfi utca 235.
H-6699 Tiszatótfalu"
"Orbán Mária"	"Balatontamásii utca 177.
H-2916 Fürdőbánya"
"Szalai Laura Éva"	"Mellékfalvai utca 100.
H-1721 Györgykőrös"
"Dr. P. Szalai István"	"Borsodtapolcai utca 48.
H-2226 Székesfehérvár"
"M. Szabó Klára"	"Érdi utca 118.
H-4386 Mellékberény"
"Dr. Nagy D. János"	"Dózsa györgy út 144.
H-9761 Nagykanizsa"
"Dr. Vincze Németh Mihály"	"Dózsa györgy utca 245.
H-2902 Györgyhida"
"S. Kiss Sándor"	"Debreceni tér 181.
H-4347 Somogytótkőrös"
"Budai Papp Ibolya"	"Ligethidai utca 171.
H-6786 Felsőmártonvárad"
"Dr. Biró B. Ákos"	"Mátramártoni utca 90.
H-2327 Mellékberény"
"Nagy Balogh Veronika"	"Hátfalvai utca 248.
H-5094 Baja"
"F. Tóth János"	"Mindszentfai utca 94.
H-3113 Belsőhetvenapáti"
"Dr. M. Kelemen Ibolya"	"Hátvári tér 110.
H-4682 Mellékháza"
"Dr. Katonané Horváth Margit"	"Szerbgyörgyi tér 91.
H-1632 Veszprém"
"Dr. Virágné Fodor Ilona"	"Petőfi sándor út 47.
H-2269 Nyékligetháza"
"Takács Tóth Rudolf"	"Dunatóti utca 72.
H-4448 Salgótarján"
"Dr. Kiss Zsuzsanna"	"Mindszentfalvai utca 105.
H-8480 Kaposvár"
"Vincze Béla Pál"	"Dózsa györgy tér 58.
H-9179 Dunakeszi"
"Dr. Fábiánné Szűcs Anna"	"Nyíregyházai út 209.
H-2382 Ráchídvár"
"Dr. Biró J. István"	"Fürdővégi utca 20.
H-6460 Kuntamásinádasd"
"Baloghné Németh Zsuzsanna Piroska"	"Veszprémi utca 69.
H-1360 Alsószékhalas"
"Dr. Nagy István László"	"Mosonmagyaróvári út 119.
H-9993 Szombathely"
"Somogyi Erzsébet"	"József attila utca 214.
H-7778 Tiszaszékharaszti"
"Dr. Kovács Richárdné"	"Mezőháti utca 191.
H-3769 Drávatamásidevecser"
"Dr. Szabó Nóra"	"Székkőrösi utca 192.
H-9717 Tiszagyörgyfalva"
"Dr. Fábiánné Bakos Sára"	"Mosonmagyaróvári tér 49.
H-3244 Mártonapáti"
"Dr. Szabó Sándorné Mészáros Krisztina"	"Petőfi sándor út 206.
H-8673 Baja"
"Borosné Dr. Fekete Mária Júlia"	"Ligetfalui út 172.
H-2965 Debrecen"
"Szabó Gábor Kevin"	"Béke utca 73.
H-9963 Tamásikőrös"
"Dr. Biró K. Judit"	"Hátvárai tér 3.
H-6366 Némethetvenhida"
"Dr. S. Balog Anita"	"Béke utca 225.
H-3354 Németligetváros"
"Dr. Juhász Varga Anikó"	"Miskolci utca 16.
H-4995 Magyarszékhalas"
"I. Horváth Orsolya"	"Szigetszentmiklósi utca 18.
H-9825 Baja"
"Simon Anna Boglárka"	"Ligethalasi utca 63.
H-8859 Szigetszentmiklós"
"Farkasné Dr. Balogh Erzsébet Ilona"	"Keresztfalvai utca 155.
H-6485 Belsőszékapáti"
"Dr. Papp János"	"Mezői utca 97.
H-3201 Szolnok"
"Dr. Molnár Kovács Terézia"	"Kistapolcai utca 2.
H-5975 Kecskemét"
"G. Kovács István"	"Pilistapolcai utca 61.
H-9602 Nyírtótváros"
"Török Attila András"	"Bakonymelléki utca 240.
H-3204 Város"
"Dr. Biró Miklósné"	"Székfai utca 73.
H-1549 Salgótarján"
"Szűcs István"	"Zalaegerszegi utca 153.
H-6105 Fürdővárad"
"Tóth Bálintné Fehér Krisztina"	"Fürdőkövesdi utca 192.
H-6784 Tótbánya"
"G. Borbély Ibolya"	"Ady endre utca 249.
H-2176 Kunfürdővárad"
"S. Tóth Gyula"	"Keresztfalvai utca 56.
H-7495 Tapolcafalva"
"Horváth Á. Sándor"	"Keresztházai utca 147.
H-7135 Tatabánya"
"Kovács Kocsis Benedek"	"Györgynémetii tér 66.
H-8428 Mellékfalva"
"Prof. Dr. Tóth E. Anna"	"Mártonhalasi út 32.
H-8875 Ligetnémeti"
"Horváth Anna Mária"	"Háthidai tér 215.
H-5195 Fürdőnémeti"
"Magyar József Dániel"	"Mindszentberényi út 161.
H-2328 Váctamásiapáti"
"Dr. Biró Orsós Erzsébet"	"Béke utca 150.
H-1022 Székfalu"
"Szalai Adrienn Fanni"	"Béke utca 156.
H-6738 Békéshetvenkövesd"
"Balogh Ferencné"	"Mártonapátii tér 77.
H-1693 Mezőhetvenhida"
"G. Simon István"	"Ligetbányai utca 77.
H-2640 Váctótbánya"
"Mészáros Noémi Etelka"	"Szolnoki utca 83.
H-5867 Dunaháthalas"
"Szabó Gyöngyi Lili"	"Magyarhídi tér 235.
H-9913 Hajdúszékvára"
"Tóth Mátyás"	"Mindszentbányai út 52.
H-9121 Szerbtapolcahida"
"Kovács Ilona"	"Bácsmelléki utca 123.
H-2100 Györgyhalas"
"Kissné Illés Erzsébet"	"Drávaligeti utca 31.
H-5410 Fürdőfalu"
"Dr. Szabó Edit"	"Arany jános utca 124.
H-7487 Mártonkövesd"
"Dr. Biró Szalai Kinga"	"Kossuth út 247.
H-3944 Dunatamásiberény"
"Dr. Takács Károly"	"Ady endre utca 241.
H-5242 Fürdőberény"
"Dr. Kovács Zsuzsanna Gabriella"	"Dózsa györgy utca 120.
H-5473 Hetvenhalas"
"Dr. Török P. Krisztián"	"Keresztvári út 244.
H-7984 Zalaegerszeg"
"Papp A. Zita"	"Újmelléki utca 33.
H-5931 Mosontamásiharaszti"
"Dr. J. Orosz Árpád"	"Dózsa györgy utca 249.
H-2539 Tatabánya"
"Prof. Dr. Nagy Nándor Norbert"	"Borsodhetveni út 18.
H-1458 Budapest"
"Katona E. Éva"	"Székesfehérvári utca 78.
H-1395 Oroszfürdővég"
"Varga Fehér Ágnes"	"Debreceni utca 144.
H-7395 Hídfalu"
"Simon I. János"	"Béke utca 174.
H-1126 Pécs"
"Dr. Biróné Lukács Éva"	"Tapolcaváradi utca 190.
H-6027 Kistamásivára"
"Dr. N. Antal Ádám"	"Tamásiberényi utca 236.
H-4817 Hídfalu"
"Dr. G. Magyar Fanni"	"Dózsa györgy utca 208.
H-3994 Nyékmellékkövesd"
"Juhászné Gál Mária"	"Alsómelléki utca 206.
H-4263 Lajoshídharaszti"
"Dr. Vargané Nagy Mária Terézia"	"Székapátii út 83.
H-2021 Ligetvárad"
"Horváthné Dr. Kozma Veronika Anikó"	"Hetvennémetii utca 141.
H-7340 Sopron"
"Dr. Juhászné Székely Mária"	"Mindszentfai tér 116.
H-8293 Hátfalu"
"Kozma K. Mónika"	"Somogyszéki utca 7.
H-2531 Vác"
"Sipos Attilané Farkas Erzsébet"	"Ózdi utca 145.
H-5360 Ózd"
"Katona Tamás"	"Dózsa györgy tér 17.
H-1406 Hátháza"
"Dr. Biróné Szabó Ilona"	"Mellékvárai tér 29.
H-5144 Fürdőhalas"
"Dr. Farkas Mária"	"Györgynádasdi tér 138.
H-7253 Szigetszentmiklós"
"Dr. Kiss Barnané"	"Felsőtapolcai utca 111.
H-4446 Tamásifa"
"Tóth Gábor"	"József attila utca 232.
H-6814 Hetvenhida"
"Fodor A. Éva"	"Dunakeszii utca 98.
H-6987 Tapolcakövesd"
"Dr. L. Kovács József"	"Ózdi utca 121.
H-1225 Felsőszékbánya"
"F. Juhász Zoltán"	"Pécsi utca 153.
H-6857 Vác"
"Mészáros Kovács Márta"	"Dunakeszii utca 181.
H-4660 Székváros"
"Váradi Farkas András"	"Kossuth tér 163.
H-3631 Érd"
"Dr. Balogh J. Gábor"	"Bajai utca 215.
H-4405 Mezőligethalas"
"Dr. Bodnár J. Balázs"	"Mindszentbányai utca 124.
H-4726 Törökszékharaszti"
"Dr. Tóth Sára Ildikó"	"Váci utca 243.
H-1536 Mosonmagyaróvár"
"Dr. Horváth Csaba"	"Némettamásii utca 44.
H-6413 Székvár"
"Dr. Gál Krisztina"	"Dózsa györgy utca 109.
H-7106 Sopron"
"Dr. K. Nagy Margit"	"Béke sétány 236.
H-8645 Salgótarján"
"Dr. Antalné Orosz Ágnes"	"Kunmelléki út 127.
H-9377 Érd"
"Kovácsné Dr. Balogh Katalin"	"Hajdúszéki utca 153.
H-7606 Ózd"
"T. Orbán Éva"	"Pilismelléki út 114.
H-9795 Hódmezővásárhely"
"Dr. Boros Zoltánné"	"Nagymindszenti utca 210.
H-7276 Tótkövesd"
"Horváthné Dr. Kiss Mária"	"Györgyvárai tér 121.
H-6707 Hátapáti"
"Dr. Bodnár Mészáros Erika"	"Magyarligeti utca 166.
H-4370 Veszprém"
"Dr. Balla Jánosné"	"Ligetberényi utca 159.
H-8393 Székvár"
"Dr. Szabó Jánosné"	"Dózsa györgy utca 188.
H-7675 Tapolcaváros"
"Dr. Balázs Szabó Bernadett"	"Dunakeszii utca 20.
H-4672 Budapest"
"Dr. Balázsné Török Lilla Mária"	"Oroszszéki tér 101.
H-3762 Falva"
"Barta K. Erzsébet"	"Budapesti utca 184.
H-5522 Nyíregyháza"
"Vincze M. Gréta"	"Borsodgyörgyi utca 138.
H-3052 Székesfehérvár"
"Kovács János"	"Kövesdi út 38.
H-4247 Mindszenthalas"
"Simon Terézia Csilla"	"Mátrahetveni utca 191.
H-1185 Salgótarján"
"Dr. Tóth Á. Anna"	"Mártonvári utca 165.
H-3519 Tótvára"
"Dr. Bogdán I. Róza"	"Híddevecseri utca 191.
H-8591 Ózd"
"Dr. Oláh Margit Mária"	"Mellékkövesdi utca 53.
H-9646 Balatontapolcahida"
"Kovács I. Dóra"	"Békéscsabai út 156.
H-5263 Bakonygyörgybánya"
"Dr. Kovács Emese"	"Ligetnádasdi út 198.
H-7004 Salgótarján"
"Szilágyi Kristóf András"	"Budapesti utca 137.
H-8340 Székesfehérvár"
"Dr. Kiss Lászlóné Török Anna"	"Béke utca 64.
H-5621 Mindszentkövesd"
"Nagy A. Mónika"	"Váci utca 47.
H-9773 Németmindszenthida"
"Dr. Z. Halász Tamás"	"Váci tér 141.
H-9608 Székesfehérvár"
"A. Tóth Margit"	"Balatoni út 63.
H-6828 Békésgyörgyvára"
"Dr. Fodor K. Ilona"	"Györgynémetii utca 185.
H-5954 Fürdőapáti"
"Dr. Bogdán M. Beáta"	"Melléknádasdi utca 152.
H-3852 Keresztharaszti"
"Szabó Györgyné Kiss Anikó"	"Fürdőapátii utca 24.
H-9278 Hajdúfürdőhida"
"Dr. Szabó Sándor László"	"Kecskeméti utca 162.
H-8357 Mindszentapáti"
"Dr. Kovácsné Jakab Szilvia"	"Pécsi tér 206.
H-1772 Hódmezővásárhely"
"Kovácsné Dr. Szabó Gyöngyi"	"Kecskeméti utca 206.
H-7539 Tapolcadevecser"
"Dr. Németh Jánosné"	"Arany jános utca 12.
H-5130 Hetvenvárad"
"Balogh Hegedüs Magdolna"	"Dunakeszii tér 106.
H-6347 Ligetkőrös"
"Kovács Dávid"	"Borsodtóti utca 112.
H-9548 Pusztafürdőhalas"
"Varga János László"	"Kossuth út 171.
H-1324 Mártonháza"
"K. Szabó Ilona"	"Mellékfai utca 110.
H-4321 Alsófürdővárad"
"Dr. Bogdán R. Mária"	"Petőfi utca 106.
H-2706 Hídnémeti"
"P. Farkas Gergő"	"Háthalasi utca 183.
H-7865 Békéscsaba"
"Dr. Soós Ádám Roland"	"Nyéktapolcai utca 56.
H-1149 Szombathely"
"Szabó Júlia Katalin"	"Mártonvégi utca 81.
H-5978 Tapolcaharaszti"
"Balázs József Zoltán"	"Mindszentkőrösi utca 49.
H-2229 Felsőtótvára"
"Vargané Dr. Horváth Anikó Mária"	"Nyíregyházai utca 179.
H-4939 Szeged"
"Orbánné Németh Beáta"	"Dózsa györgy utca 163.
H-9455 Szombathely"
"Fehér Á. Péter"	"Alsóligeti utca 39.
H-1373 Alsóháthalas"
"Balázs Tiborné Varga Andrea"	"Hátkövesdi utca 208.
H-4903 Szolnok"
"Rácz Z. Ferenc"	"Tamásikőrösi utca 249.
H-5618 Tiszamártonapáti"
"Dr. Bogdán Sándor Csaba"	"Székdevecseri út 220.
H-3312 Székesfehérvár"
"A. Kiss Sándor"	"József attila tér 109.
H-6157 Pécs"
"Dr. J. Kocsis Réka"	"Szegedi utca 144.
H-1057 Tapolcafalu"
"Dr. Biróné Barta Julianna"	"Borsodhídi utca 198.
H-8693 Hetvendevecser"
"Dr. Varga Attilané"	"Kereszthidai út 18.
H-9077 Hátkövesd"
"Dr. Tóthné Rácz Ágnes Anita"	"Ady endre utca 222.
H-6775 Keresztbánya"
"Dr. Katona Gyulané"	"Ózdi tér 73.
H-9542 Drávamártonapáti"
"Fehér V. Gabriella"	"Salgótarjáni utca 63.
H-4628 Érd"
"Dr. Z. Takács György"	"Szolnoki utca 191.
H-2594 Szigetszentmiklós"
"Tóth Gábor Tamás"	"Alsómártoni utca 69.
H-3239 Érd"
"Dr. Bognár Dávidné"	"Tatabányai utca 52.
H-5972 Miskolc"
"Dr. Kiss Márk"	"Békéscsabai utca 81.
H-2778 Belsőtamásivára"
"Tóth Molnár Erzsébet"	"Lajostamásii utca 2.
H-1721 Vácszékfalu"
"Mészáros A. Magdolna"	"Hídváradi utca 60.
H-1524 Mosonmagyaróvár"
"Soósné Tóth Krisztina Mária"	"Dózsa györgy utca 140.
H-1174 Borsodgyörgyapáti"
"Varga Richárd"	"Egeri utca 189.
H-5023 Mosonmagyaróvár"
"Juhász M. Lajos"	"Petőfi út 17.
H-5718 Szeged"
"Baloghné Nagy Rebeka"	"Keresztbányai utca 12.
H-9545 Somogytamásivárad"
"Balázsné Pataki Zita"	"Mindszentberényi út 111.
H-9582 Szentszékberény"
"D. Kiss Katalin"	"Székesfehérvári utca 105.
H-8518 Mosonmagyaróvár"
"Dr. Bognárné Nagy Anita"	"Dózsa györgy utca 205.
H-5935 Érd"
"Budai Gabriella Kitti"	"Érdi utca 227.
H-6967 Kecskemét"
"Dr. M. Papp Mária"	"Kecskeméti utca 4.
H-1590 Berény"
"Dr. Varga Lászlóné Király Erzsébet"	"Veszprémi utca 15.
H-3456 Pécs"
"Máté Csaba Zsolt"	"Hódmezővásárhelyi utca 214.
H-9161 Mosonmagyaróvár"
"Dr. Kelemen Erzsébet Katalin"	"Ózdi utca 146.
H-5104 Drávatapolcavár"
"Szabóné Budai Mária"	"Szabadság utca 83.
H-2945 Keresztvárad"
"Prof. Dr. L. Pap László"	"Zalaegerszegi utca 40.
H-2058 Vára"
"Balog Tóth Renáta"	"Szombathelyi utca 239.
H-9868 Székapáti"
"Németh Marianna Mária"	"Kossuth utca 96.
H-2959 Szeged"
"Dr. Borbély Kiss Ágnes"	"Drávatamásii utca 140.
H-6320 Cegléd"
"Váradi E. Erzsébet"	"Miskolci utca 89.
H-6394 Győr"
"Dr. Szabó Istvánné Vincze Laura"	"Arany jános utca 222.
H-4664 Szombathely"
"E. Lengyel Rozália"	"Arany jános tér 205.
H-7861 Salgótarján"
"Szalai Kitti Diána"	"Dózsa györgy utca 34.
H-4082 Devecser"
"Dr. Lászlóné László Irén"	"Szenthetveni utca 144.
H-7525 Keresztapáti"
"Dr. Molnárné Kozma Brigitta"	"Soproni utca 61.
H-4034 Tamásivár"
"Dr. Balogné Németh Melinda"	"Kossuth utca 228.
H-5590 Melléknádasd"
"Kovács Szabó Ákos"	"Egyházasgyörgyi út 85.
H-1192 Halas"
"Dr. G. Pintér Dominik"	"Váci utca 85.
H-9897 Eger"
"Dr. Borbély L. István"	"Mindszentvégi tér 2.
H-2602 Szombathely"
"Molnárné Péter Mária"	"Szombathelyi utca 58.
H-2714 Kecskemét"
"M. Váradi Brigitta"	"Bakonymártoni utca 164.
H-4526 Tóthalas"
"Juhászné Fodor Ágnes"	"Mellékfai utca 225.
H-3416 Szerbtótkőrös"
"Molnár János"	"Zalaegerszegi utca 52.
H-8661 Mellékdevecser"
"Kelemen Tamásné Kiss Zita"	"Keresztfai utca 109.
H-8040 Váctamásifalva"
"Nagy Tibor"	"Tapolcavárosi utca 104.
H-1025 Hetvennémeti"
"Dr. Németh Éva Mária"	"Dunakeszii utca 248.
H-2236 Drávamindszenthida"
"Nagy Roland Zoltán"	"Szombathelyi utca 198.
H-8893 Mosonmindszentháza"
"Szilágyi Farkas László"	"Székapátii tér 14.
H-7750 Györgyapáti"
"Dr. Borbély Viktor Péter"	"József attila tér 212.
H-8750 Érd"
"Dr. Nemes Lászlóné"	"Soproni utca 104.
H-2164 Tótnádasd"
"Dr. Kovács Alexné Gál Edit"	"Budapesti utca 80.
H-2421 Németi"
"Kovács Zoltán"	"Borsodi út 41.
H-4948 Bácstapolcavég"
"Molnár Kiss Tamás"	"Kossuth utca 56.
H-8377 Somogytamásikőrös"
"Dr. Kovács Jánosné"	"Tótvárai utca 221.
H-9997 Nyíregyháza"
"Farkas I. Attila"	"Arany jános utca 231.
H-7116 Győr"
"Papp Török Anita"	"Veszprémi tér 199.
H-2149 Békésmártonhalas"
"Nagyné Dr. Márton Mária Krisztina"	"Hátdevecseri út 18.
H-7672 Kunhetvenvég"
"Dr. Tóth Tamás Zsófia"	"Kaposvári utca 7.
H-8787 Ózd"
"Dr. Boros Szekeres Tibor"	"Újgyörgyi út 93.
H-9384 Mártonhida"
"Dr. Z. Molnár Julianna"	"József attila utca 166.
H-9836 Nagyfürdővárad"
"Dr. Varga Tamásné"	"Pilistóti utca 221.
H-1336 Mosonmellékapáti"
"Biró Rácz Szilvia"	"Dózsa györgy utca 235.
H-8138 Tapolcafalu"
"Nagy Pálné"	"Debreceni utca 230.
H-3210 Pilismellékbánya"
"I. Lengyel István"	"Petőfi utca 174.
H-7052 Békésgyörgyvárad"
"Mészárosné Horváth Krisztina"	"Nádasdi utca 19.
H-7821 Nyíregyháza"
"Dr. Katonané Tóth Luca Beatrix"	"Mosonmagyaróvári utca 85.
H-9111 Miskolc"
"Juhász Kálmánné Kovács Ildikó"	"Pusztatamásii utca 142.
H-6013 Oroszhátváros"
"Dr. Kiss Kis László"	"Petőfi sándor utca 160.
H-2243 Hetvenharaszti"
"Dr. Budai A. Éva"	"Dózsa györgy utca 116.
H-5859 Tiszamártonkőrös"
"B. Kovács Julianna"	"Pusztafürdői utca 159.
H-7076 Nyírmindszentfalu"
"Tóth Kiss Ilona"	"Ligetfai utca 20.
H-5451 Székesfehérvár"
"Antal Lajos Kálmán"	"Magyari utca 152.
H-1912 Szeged"
"Simon Sipos János"	"Kecskeméti utca 53.
H-2113 Baja"
"Dr. Kovács Mátyásné"	"Ligetvárosi utca 107.
H-9848 Háthida"
"Dr. M. Kocsis Balázs"	"Ady endre utca 190.
H-1913 Alsószékváros"
"Mészáros Barnabás"	"Ligetberényi út 34.
H-5402 Szeged"
"Dr. Kiss Imrené"	"Mosonszéki tér 186.
H-5182 Drávamellékkövesd"
"Dr. Mezei Dávid István"	"Szabadság utca 48.
H-7936 Györgynádasd"
"Dr. Budai Dorina Barbara"	"Szigetszentmiklósi utca 94.
H-9193 Ráctapolcafalva"
"Varga Sándor János"	"Zalaegerszegi utca 164.
H-7929 Oroszgyörgyvárad"
"L. Biró Anikó"	"Bajai tér 11.
H-8001 Ligetnémeti"
"Szabó Péter József"	"Nagykanizsai utca 159.
H-5891 Mosonmagyaróvár"
"P. Jakab Kornél"	"Budatamásii utca 96.
H-6562 Debrecen"
"Lukácsné Juhász Csilla"	"Pécsi utca 84.
H-7105 Békéscsaba"
"Prof. Dr. Horváth Gergőné Mezei Ibolya"	"Mezőmelléki utca 31.
H-9632 Szenthátbánya"
"Varga Gáborné Horváth Györgyi"	"Szabadság utca 39.
H-5664 Hetvenharaszti"
"Dr. Mártonné Hajdu Edina"	"Hídvárai út 59.
H-3677 Szenttótharaszti"
"Németh Kitti Anna"	"Hetvenvárosi tér 144.
H-9241 Tapolcavég"
"Dr. Budai I. Nikolett"	"Szenttóti utca 84.
H-8470 Fürdőapáti"
"Tóth Bence János"	"Szabadság utca 249.
H-2492 Háza"
"R. Szabó József"	"Hajdútapolcai tér 244.
H-8364 Székesfehérvár"
"Kovács Zoltánné"	"Béke tér 126.
H-7714 Nagygyörgykövesd"
"Dr. Sipos A. Irén"	"Arany jános utca 231.
H-2047 Híddevecser"
"Ráczné Oláh Viktória"	"Magyarmártoni tér 29.
H-8444 Hídharaszti"
"Dr. Gáspár Boros Imre"	"Váci utca 137.
H-4417 Tiszatapolcafalu"
"Dr. Balogh Simon László"	"Somogyfürdői utca 136.
H-3094 Budatamásifa"
"Farkasné Dr. Varga Erzsébet"	"Dunaújvárosi utca 75.
H-5251 Mellékbánya"
"Tóth Zsolt Gábor"	"József attila utca 139.
H-6309 Szolnok"
"Dr. Budainé Fülöp Mária Gabriella"	"Hídberényi utca 189.
H-4893 Dunakeszi"
"Dr. Balázs Balázs Éva"	"Kecskeméti utca 81.
H-4137 Tapolcaberény"
"Kissné Dr. Antal Margit"	"Érdi utca 109.
H-7273 Székfalu"
"Dr. Horváthné Barta Beatrix"	"Tatabányai utca 87.
H-5169 Tatabánya"
"Lengyelné Szilágyi Szilvia"	"Oroszligeti utca 72.
H-3747 Hetvenbánya"
"Dr. Mészárosné Jakab Valéria"	"Kunháti utca 227.
H-6542 Debrecen"
"M. Bálint Katalin"	"Petőfi utca 46.
H-1633 Ligetvár"
"Nagy K. Mária"	"Mátrakereszti tér 114.
H-5251 Kecskemét"
"Kerekes M. Viktória"	"Egeri utca 206.
H-5560 Kishetvenharaszti"
"É. Tóth Noémi"	"Hódmezővásárhelyi utca 78.
H-3806 Fürdőnádasd"
"Dr. Bálint E. Sára"	"Tapolcanádasdi utca 158.
H-5709 Mártonhida"
"Katona Marianna"	"Mindszentnádasdi utca 45.
H-1506 Szenthátnémeti"
"Kovács Imrené Papp Erzsébet"	"Székvárai utca 14.
H-4367 Bácsszékkőrös"
"Takács Magdolna Ágnes"	"Budagyörgyi utca 86.
H-4312 Hídnádasd"
"Dr. Király Andrásné Oláh Erzsébet"	"Dunakeszii utca 123.
H-6820 Vác"
"Bodnár Imre Gábor"	"Győri tér 34.
H-7781 Zalaegerszeg"
"Dr. Szabó Pál Andrea"	"Arany jános utca 144.
H-1416 Budapest"
"Vargané Nagy Virág"	"Györgyvári utca 58.
H-3045 Székváros"
"Orsós Mártonné Fábián Veronika"	"Arany jános utca 65.
H-1901 Mártonkőrös"
"Dr. Jakab G. Béla"	"Békésmindszenti utca 174.
H-1121 Mártonvárad"
"Dr. Bálint Ilona Etelka"	"Szabadság utca 231.
H-1424 Eger"
"I. Tóth János"	"Érdi tér 71.
H-1471 Györgyberény"
