"Adrian Ahmed","Mikkelsengjerdet 6, 6404 Tobiashamn" 
"Kristine Nygård-Vik","Myklebuståsen 6, 0273 Ingereid"
"Martin Brekke","Iversengropa 955, 4155 Trondbø"
"Jan Isaksen","Sandvikflata 61E, 4219 Karlvåg"
"Sverre Nielsen","Svendsentoppen 63G, 1523 Iversen"
"Inger Knutsen-Thomassen","Christensenmarka 2B, 4488 Torillstrand"
"Thor Jørgensen","Knudsentunet 9, 5528 Camillafjell"
"Andreas Jacobsen","Karlsenmoen 2, 7495 Hagen"
"Anette-Tove Lie","Myhresvingen 8A, 0723 Henriksen"
"Else Eliassen","Tangenlia 6, 2937 Holm"
"Unni Danielsen","Abrahamsenstranda 994, 2571 Mathisen"
"Wenche Thorsen","Solheimskogen 81E, 9966 Rogerhelle"
"Silje Sørensen","Ellingsengropa 7, 3431 Hildestrøm"
"Unni Kristoffersen","Larsenvika 1, 0860 Antonsen"
"Joakim Arnesen","Nielsenhavna 2, 6330 Kjelløy"
"John Strøm","Rønninggrenda 84G, 2477 Sivertsen"
"Hilde Gulbrandsen","Haugenplassen 1, 8874 Åsemark"
"Erling Holm","Abrahamsenholtet 9, 5943 Hansvær"
"Arild Johannessen","Karlsenroa 1A, 5960 Jonfjell"
"Else Eriksen","Evensenhavna 9, 0848 Solveigfoss"
"Markus Hauge","Næssfaret 39, 7157 Nygård"
"Tonje Rønning","Auneløkka 25A, 1169 Isaksen"
"Rolf Ruud","Fredriksenkroken 65, 6670 Kjetilsand"
"Roger Brekke","Bakkenskrenten 8, 6261 Jacobsen"
"Eivind Thomassen","Svendsengata 84, 2024 Mikkelsen"
"Dr. Thomas Olsen","Christensengrenda 4, 9387 Frodeøy"
"Ole Fredriksen-Iversen","Henriksenskogen 8F, 1256 Sandvik"
"Maren Andresen","Pedersenengen 770, 7034 Torfoss"
"Andrea Mathisen","Bøegjerdet 49, 3508 Nielsen"
"Else Gulbrandsen","Johannessenstykket 7G, 3260 Martinhavn"
"Magnus Abrahamsen","Kristensenstykket 8, 0503 Mariaø"
"Torill Hansen","Jenssenhaugen 27, 0429 Sivertsen"
"Anna Birkeland","Nilsenjordet 834, 2827 Mariby"
"Kristian-Kjell Ali","Arnesenengen 5, 2094 Jacobsen"
"Gro Lund","Vikberget 566, 4745 Frankfoss"
"Christian Simonsen-Paulsen","Halvorsenlyngen 25, 6471 Sisselbø"
"Hege Jenssen","Ødegårdgjerdet 24, 3489 Pettersen"
"Malin Jakobsen","Ellingsengrenda 8, 6287 Einarsjøen"
"Erling Aasen","Johansenhavna 861, 2896 Rasmussen"
"Else Iversen","Evensenekra 5, 1746 Jensberg"
"Kenneth Danielsen","Myhregjerdet 722, 6494 Mariusøy"
"Per-Magne Halvorsen","Olsenmyra 37, 5931 Perfjell"
"Sindre-Christian Strøm","Haugebråten 9, 5242 Berge"
"Johannes Rasmussen","Nguyenmyra 2, 6728 Tommystrøm"
"Rita Aune","Strandberget 2, 7718 Andreaeid"
"Jorunn Gundersen-Iversen","Strømhagen 11, 7418 Ali"
"Trond Sæther","Amundsenlia 2, 6384 Elinhelle"
"Alexander Sivertsen","Engenskrenten 935, 3775 Markusø"
"Eva Thorsen","Edvardsenvollen 7C, 6647 Kristiansen"
"Else Jensen","Thomassenrøa 6H, 3907 Jørgensen"
"Karoline Birkeland","Evensenflata 60, 2547 Henriksen"
"Joakim Mikkelsen-Haug","Bøeholtet 64, 5970 Torgrunn"
"Arild Isaksen","Berntsenlyngen 56, 0912 Andresen"
"Marianne Thomassen","Pettersenmarka 7, 7400 Eide"
"Thea Antonsen","Nguyenlunden 99, 8009 Knudsen"
"Tonje Johnsen","Brekkegjerdet 58, 9262 Olebø"
"Adrian Kristensen","Myhreengen 4E, 3931 Sisselhamn"
"Emil-Kjetil Olsen","Hansenbakken 51, 4550 Henrikmark"
"Dr. Hans Nygård","Johannessenstykket 11, 9959 Nygård"
"Else Knudsen","Jakobsenalléen 42, 8732 Ali"
"Hilde Andreassen","Amundsenfaret 933, 2971 Jensen"
"Øystein-Jørgen Nguyen","Solberggjerdet 9A, 9462 Danielsen"
"Terje Berg","Hellandhøgda 5, 2614 Strand"
"Sissel Dahl","Johnsenlia 9B, 9330 Runeø"
"Nina Berntsen","Jenssenhøgda 11, 9009 Rønning"
"Frode Tangen","Madsenstubben 59, 7520 Gerdhavn"
"Malin-Emma Berntsen","Dahlstubben 9, 4892 Vik"
"Gunn Bøe","Hagenringen 25, 3995 Cathrineberg"
"Frode Christensen-Mikkelsen","Nygårdtjernet 31, 7933 Benteø"
"Else Lund","Tveitengen 15B, 9714 Andreasvær"
"Morten Sandvik","Bergplassen 79C, 5370 Einarbø"
"Sebastian-Thor Johnsen","Haugenplassen 4, 1347 Lund"
"Laila Hansen","Solbergplassen 3C, 0700 Halvorsen"
"Vegard Ali","Aunegjerdet 9, 9763 Sondrefjord"
"Prof. Torbjørn Berg","Viktjernet 6, 3901 Brekke"
"Kjell Tangen","Moenmarka 84C, 1258 Johansen"
"Siri Arnesen","Bakkenstubben 56, 8297 Fredrikvær"
"Marie Berntsen","Johnsenholtet 6, 0328 Johansen"
"Emma Kristiansen-Sivertsen","Paulsenplassen 8D, 3456 Jensmark"
"Else Nielsen","Mikkelsentoppen 5, 5449 Myhre"
"Tobias Mathisen","Kristensenskrenten 88, 4488 Marifjell"
"Irene Moe","Moenmoen 2A, 9085 Hauge"
"Gunn Vik","Johansentunet 57, 7372 Kristensen"
"Kirsten Berntsen","Aasenholtet 39, 1933 Julieø"
"Nora Bakken","Lundholtet 8C, 5571 Haugen"
"Morten Helland","Kristensenbråten 74, 0781 Danielsen"
"Linda Haugen","Larsenstranda 79E, 8716 Lindastrand"
"Joakim Aune","Aasenengen 55, 3624 Mikkelsen"
"Eli Edvardsen","Halvorsenberget 34E, 8981 Jørgensen"
"Else Simonsen","Bakkeengen 4, 2198 Gundersen"
"Asbjørn Ødegård","Andersenskogen 835, 0388 Knutø"
"Roar Eliassen","Johannessenfaret 323, 3262 Olehamn"
"Joakim Pedersen","Hagenringen 5B, 0262 Frodeås"
"Tor Abrahamsen-Moen","Johannessenroa 00, 1435 Andreasmark"
"Johan-Magne Lunde","Henriksenalléen 9, 9735 Ragnhilddal"
"Håkon Johansen","Halvorsengjerdet 7, 9094 Mikkelsen"
"Dr. Morten Christensen","Sætherrøa 30, 7550 Sigridberg"
"Svein Eliassen","Pettersenhaugen 52, 9155 Nygård"
"Arild Nygård","Mathisenstien 4, 8384 Nielsen"
"Else Ødegård","Simonsengrenda 1B, 8091 Emmasand"
"Erik Knudsen","Jakobsensvingen 080, 1111 Ruud"
"Nina Vik","Larsenplassen 75, 4937 Livby"
"Mathias Næss","Bakkenstykket 20A, 1571 Haugland"
"Dr. Per Pettersen","Hagenplassen 6G, 0232 Sigridsund"
"Andrea Danielsen","Moehøgda 026, 8008 Thorsen"
"Torbjørn Mathisen","Ødegårdtjernet 8, 8651 Olevær"
"Anette Engen","Myhrekroken 7, 5352 Hannehamn"
"Prof. Roger Ødegård","Aunemarka 03, 5665 Lisebø"
"Anna-Irene Christensen","Jacobsenkollen 65A, 2377 Hagen"
"Else-Heidi Jacobsen","Aasenspranget 98F, 6433 Isaksen"
"Dr. Finn Hanssen","Nguyenholtet 348, 4275 Eliassen"
"Gunn Pettersen","Brekkelunden 92, 9188 Sørensen"
"Prof. Vegard Madsen","Karlsenjordet 2, 7345 Sarasand"
"Harald Tangen","Olsenkollen 9, 9725 Kristianby"
"Sissel Strand","Martinsenbakken 13B, 0504 Danielsen"
"Line-Randi Berg","Ellingsenbakken 9, 6917 Bentevåg"
"Stig Knutsen","Nguyenmoen 84, 7868 Hagen"
"Torill-Anna Gulbrandsen","Lieskogen 11, 8743 Erlinghamn"
"Sverre Hansen","Mathisentunet 4, 8693 Kimø"
"Else-Kari Nielsen","Halvorsenfaret 3, 7770 Bøe"
"Reidun Ali","Olsenvika 61, 8509 Haug"
"Fredrik Andresen","Holmstubben 967, 3857 Kirstenstrand"
"Steinar Jensen","Lundhavna 1F, 5629 Nguyen"
"Martin-Tor Arnesen","Bøeplassen 2E, 7636 Randihavn"
"Karen Iversen","Aasenringen 9, 9656 Arnesen"
"Svein-Alexander Christensen","Liestubben 5, 1995 Stineberg"
"Arne Rasmussen","Bøeholtet 1B, 9766 Andresen"
"Camilla Haug","Bergespranget 2, 6035 Vildenes"
"Stine Bøe","Alispranget 530, 7608 Sandersund"
"Emil Antonsen","Moehaugen 7, 5006 Ruud"
"Wenche Ruud","Berntseneggen 3, 9695 Saravær"
"Marie-Malin Gundersen","Lielia 6, 3603 Tangen"
"Anne Nygård","Jakobsengata 5, 7438 Tveit"
"Marte Ødegård","Kristoffersenekra 87C, 1225 Randivik"
"Christian Moen-Andresen","Eidehagen 628, 9468 Sisseløy"
"Asbjørn-Odd Myklebust","Sivertsengata 83, 1349 Kjetilø"
"Synnøve Brekke","Thorsenspranget 3, 2344 Jonfjell"
"Øystein Hauge-Thomassen","Hagenkroken 63, 2630 Randines"
"Grete-Wenche Simonsen","Larsenstykket 69, 4424 Frankvik"
"Emil Arnesen","Johanseneggen 81B, 4935 Fredriksen"
"Vidar Eriksen","Nguyenhaugen 9, 7086 Andreassen"
"Eva Andersen","Eliassentoppen 86G, 2556 Aasen"
"Prof. Bjørn Ahmed","Eriksenskogen 8, 6009 Kristinegrunn"
"Daniel-Magnus Solberg","Jenssenmoen 94A, 0843 Karlstrøm"
"Jorunn Ødegård","Bakkenmyra 38, 6529 Mariaeid"
"Andrea-Siri Simonsen","Antonsenlunden 33F, 4051 Trondbø"
"Bjørg Eide","Ødegårdtunet 3, 0685 Ninavik"
"Lise Karlsen","Hauglandbakken 7, 0370 Rogerstad"
"Nina Ellingsen","Sivertsenkollen 12D, 9801 Tangen"
"Emil Christensen","Jørgenseneggen 7, 2588 Henriksen"
"Berit-Tove Amundsen","Johansenstubben 271, 9491 Bakken"
"Prof. Lars Johannessen","Amundsensvingen 5, 7502 Hansen"
"Nils Hansen","Jensenplassen 35A, 2499 Aas"
"Alf Aasen","Aasvollen 3, 2774 Sigurdfjell"
"Hilde Andersen","Sandviksvingen 83, 3781 Kjerstisjøen"
"Kirsten Tangen","Larsenengen 1, 3843 Jorunnborg"
"Martin Mathisen-Lund","Aunegjerdet 2G, 9031 Tangen"
"Sebastian Sæther","Solheimhaugen 7E, 6476 Hildenes"
"Else Solheim","Ruudeggen 8, 7672 Geirfjell"
"Emil Jenssen","Knudsensvingen 6A, 4199 Astridfjell"
"Else Haugen","Tangenberget 817, 6236 Mariås"
"Elin-Elin Antonsen","Martinsenmoen 3, 6373 Johansen"
"Anders Strøm","Danielsenbråten 68F, 9034 Martefjell"
"Cecilie Rasmussen","Kristoffersenløkka 7, 3127 Martinfoss"
"Karoline Danielsen","Ahmedhøgda 18E, 7473 Eide"
"Tove Thorsen","Knudsenvika 3, 0786 Kennethsund"
"Karoline Pettersen","Nielsenrøa 68, 4360 Jensen"
"Tom Dahl","Sørensenengen 280, 4314 Arnesen"
"Siri Amundsen","Nguyenringen 567, 9022 Strøm"
"Emil Jenssen","Nygårdåsen 04, 8693 Kristiannes"
"Gunn Amundsen","Bøestranda 4B, 0241 Engen"
"Torbjørn Ruud","Christensenhaugen 113, 1187 Fredrikhavn"
"Andrea Evensen","Olsenløkka 5, 1300 Hanneeid"
"Bente Strøm","Bergebråten 4, 7510 Kjetilborg"
"Rita Johansen","Erikseneggen 139, 5045 Mettefoss"
"Sofie Sørensen","Gundersenbakken 5, 0965 Tobiasvåg"
"Kari-Reidun Gundersen","Birkelandekra 4, 3508 Dahl"
"Emil Berntsen","Gundersenåsen 58, 7512 Lund"
"Harald Næss","Antonsengrenda 23, 5147 Håkonhamn"
"Emil Lund","Ødegårdgjerdet 360, 7452 Mariahelle"
"Roy Pedersen","Johansengjerdet 4, 6718 Birkeland"
"Reidun Ali","Moenhagen 3E, 4641 Evensen"
"Thea Bakke","Moenåsen 2, 9861 Myhre"
"Vegard-Vegard Berg","Tveitfaret 24C, 5032 Johannesvåg"
"Tore Kristoffersen","Lienalléen 1, 6349 Eliassen"
"Dr. Roy Rønning","Knutsenlyngen 47, 2520 Svendsen"
"Lene Berg","Strømstien 5, 8394 Kristoffermark"
"Siv Nygård-Jørgensen","Antonsenflata 65C, 1813 Erlinghamn"
"Hanna Pedersen","Paulsenjordet 2, 3545 Kristoffersen"
"Emil Lunde","Moenberget 5H, 0570 Holm"
"Tonje Sæther","Christensenvika 7, 4551 Mathiasdal"
"Terje Fredriksen","Eriksenmoen 2, 9667 Unnifjell"
"Monica Aasen","Rønningrøa 018, 0841 Aasen"
"Erik Martinsen","Eriksenberget 41, 4014 Vik"
"Robert Amundsen-Aas","Tveitmarka 13B, 7642 Bakken"
"Marianne Strand","Olsenhaugen 20, 1233 Johansen"
"Kristian Knutsen","Eriksensvingen 7D, 6811 Einarfjord"
"Sissel Bakke","Sandvikgrenda 6, 8931 Håkonstad"
"Grethe Tveit","Rønningkollen 579, 8581 Olefoss"
"Emil Madsen","Mikkelsenbakken 33, 2045 Annø"
"Ola-Sander Strøm","Ahmedjordet 7, 1860 Ragnhildeid"
"Steinar Nguyen","Henriksenrøa 664, 7497 Jonasstrøm"
"Arild Brekke","Sivertsenhaugen 5, 3498 Henriksen"
"Terje Karlsen","Paulsenskrenten 5, 2572 Tommystad"
"Svein Jenssen","Isaksentunet 7, 3206 Berithelle"
"Frank Bakken","Aligjerdet 47H, 0649 Abrahamsen"
"Prof. Mathias Edvardsen","Haugetunet 9, 9658 Rasmussen"
"Mari Arnesen","Jakobsenhaugen 4, 3872 Noraby"
"Tobias Sæther","Bakkenbråten 1, 9867 Dahl"
"Emil Solheim","Gulbrandsenjordet 13, 5179 Mathisen"
"Jonas-Jens Haugen","Rønningåsen 27, 1589 Roberthavn"
"Bjørg Pedersen","Knutsenløkka 008, 6384 Johansen"
"Stian Jacobsen","Bergetunet 5, 2384 Sandvik"
"Åse Nygård","Haugegropa 24A, 6641 Brekke"
"Laila Myhre","Simonsengrenda 50, 4583 Mettesand"
"Randi Moe","Ruudstranda 12, 2657 Petterfjell"
"Kirsten Simonsen","Lienmyra 4C, 0843 Ruthsjøen"
"Stig Martinsen","Hanssenstranda 5, 2315 Camillasund"
"Kim Lien","Ellingsenkroken 1, 8605 Gretesand"
"Emil Vik","Mathisenhaugen 3A, 2844 Tommysand"
"Dr. Kristoffer Bøe","Sørensenlyngen 29E, 7128 Isaksen"
"Camilla Haugland","Sandvikhaugen 3D, 8986 Larsen"
"Gunn-Karen Rasmussen","Nielsengropa 961, 5344 Elisebø"
"Markus Ahmed-Sivertsen","Sandviklunden 6E, 9987 Jørgensen"
"Kristian Myklebust","Tangenplassen 9, 4967 Jacobsen"
"Marius Haugen","Jenssenhøgda 1, 5333 Theaodden"
"Joakim Halvorsen","Thomassenlia 93, 4884 Ruud"
"Inger Moen","Jenssengjerdet 79B, 0869 Ninavik"
"Harald Nilsen","Bakkelia 1, 6774 Kristinodden"
"Emil-Eivind Haug","Moemoen 4, 9994 Saravåg"
"Hege Aune","Jørgensenmyra 41C, 3843 Sigridvær"
"Per Amundsen","Tangenskogen 27, 7987 Eliassen"
"Emil Andersen","Brekkealléen 2, 7900 Hildeborg"
"Simen Ruud-Johannessen","Jenssenmoen 746, 4365 Aune"
"Anita Paulsen","Knutsenskogen 27, 7263 Aasen"
"Sebastian-Knut Lie","Gulbrandsenvika 38A, 2708 Nilsen"
"Øystein Christensen","Knutsenholtet 99, 6352 Mathiasvær"
"Tore Ahmed","Jenssenløkka 40F, 9239 Norafjord"
"Ole Karlsen","Haugefaret 70, 6511 Hildenes"
"Emil-Harald Halvorsen","Rønninglia 364, 1651 Johannessen"
"Sigurd Kristiansen","Kristensenroa 13A, 7879 Dahl"
"Tommy-Trond Olsen","Ruudekra 661, 0188 Birkeland"
"Siri Eriksen","Hanssengropa 1, 8578 Eliassen"
"Trond Tveit","Engenlunden 8B, 7476 Frodestad"
"Wenche Aas-Halvorsen","Hansenbråten 6A, 3479 Elisabethsund"
"Ingeborg Evensen","Larsenroa 55, 6226 Livstrøm"
"Malin Jakobsen-Halvorsen","Martinsenspranget 9, 6130 Kristensen"
"Anna-Reidun Næss","Tveitringen 5, 3602 Rutheid"
"Kirsten-Britt Evensen","Pettersenekra 1, 4183 Vidarbø"
"Emil-Karl Halvorsen","Kristoffersenvika 4, 1798 Edvardsen"
"Elisabeth Andreassen","Vikmoen 9, 3063 Olavær"
"Solveig Jørgensen","Amundsenbakken 182, 3746 Eriksen"
"Ragnhild Holm-Hauge","Hanssenrøa 2, 7571 Brekke"
"Vilde Lie","Hellandgata 13, 3559 Kristoffersen"
"Solveig Edvardsen","Tangengjerdet 7, 8190 Linnmark"
"Tone Kristoffersen","Olsenberget 806, 3364 Cathrineeid"
"Trine-Elin Pedersen","Aunebakken 2, 5777 Myklebust"
"Bjørn Hauge","Antonsenlunden 65, 2984 Johannesås"
"Else Andersen","Evensenvollen 6, 5275 Hildevær"
"Emil-Øyvind Kristensen","Strømfaret 15, 2416 Tommystrøm"
"Jonas Ahmed","Iversenstubben 4, 9211 Bjørgsjøen"
"Stine Bøe","Ruudmarka 4, 6444 Marifjell"
"Sindre Berg","Haugevika 3, 9498 Mariussand"
"Tone Berntsen","Abrahamsenbråten 07, 1890 Kristiansen"
"Anita Thorsen","Martinsenringen 40G, 2038 Espenstad"
"Kjell Abrahamsen","Johnsenskogen 25F, 0223 Gundersen"
"Sindre-Alf Larsen","Nygårdlia 6, 3623 Haraldsand"
"Tobias-Adrian Gulbrandsen","Andreassenbakken 383, 2097 Evensen"
"Linn Lie","Solberghøgda 00, 2707 Gerdås"
"Emilie Bakke","Myhrebråten 9, 0518 Hildefoss"
"Ellen Aasen","Johnsengata 14G, 4014 Linnnes"
"Tone Strand","Vikholtet 83, 2281 Ellenstrøm"
"Emilie Edvardsen","Karlsenflata 2, 9488 Sisselhamn"
"Frank Knutsen","Henriksentjernet 5D, 6282 Kristiansen"
"Eivind Nguyen","Nygårdlia 9, 4410 Gulbrandsen"
"Line Bakken","Myhregata 492, 4811 Vildedal"
"Erik-Anders Antonsen","Hellandhavna 81, 8784 Eriksen"
"Cathrine Andersen","Alimarka 82, 3058 Edvardsen"
"Sissel Helland-Christensen","Aliskogen 27, 5445 Johnsen"
"Emilie Danielsen","Danielsensvingen 7, 8845 Camillaodden"
"Marit Abrahamsen","Knudsenlia 1, 0414 Lineø"
"Frode Tangen","Andresenstykket 06, 0933 Torbø"
"Berit-Andrea Holm","Simonsenmyra 5A, 0674 Ali"
"Heidi Vik","Aasenvika 53D, 9004 Tobiassund"
"Per Olsen","Aasenroa 256, 1389 Hannesund"
"Gunnar-Dag Jørgensen","Hauglandtoppen 4A, 8344 Pålsjøen"
"Roy Ødegård-Larsen","Thorsenekra 4, 0354 Hauge"
"Prof. Alf Hagen","Kristiansenmarka 023, 4424 Fredriksen"
"Solveig Larsen","Bakkenhaugen 4, 5904 Gundersen"
"Emilie Haugland","Thorsenkollen 2, 4019 Andreassen"
"Tove Iversen","Antonsenhøgda 5A, 4845 Reidunhelle"
"Kenneth-Asbjørn Sæther","Sandvikplassen 871, 9590 Jonasstrøm"
"Dr. Christian Myklebust","Kristensenengen 58, 9001 Johnsen"
"Gunn Andersen","Nilsenåsen 773, 9277 Martenes"
"Else Berg","Nygårdflata 2, 3972 Mareneid"
"Karen Vik","Bakkenlia 2, 7303 Svendsen"
"Odd Haug","Johannessenmarka 837, 3595 Janhavn"
"Ida Larsen","Gulbrandsenplassen 3, 8023 Andreaø"
"Finn Andresen","Næssgata 4, 7372 Alexandervik"
"Emilie Helland-Andresen","Svendsenfaret 22, 8448 Gretestrand"
"Andrea Edvardsen","Nielsenplassen 073, 8537 Engen"
"Else-Malin Berntsen","Eidetunet 21, 9086 Finnvåg"
"Kåre Haugen","Mathisenskrenten 962, 0322 Haugen"
"Trond Strøm","Eliassenskogen 584, 6717 Leifø"
"Simen Haugland-Ali","Haugvika 5A, 5169 Ragnhildvik"
"Egil Berntsen","Kristensenmarka 39, 5033 Haugland"
"Sigurd-Sander Fredriksen","Sandvikstykket 57E, 0967 Evensen"
"Einar Hanssen","Berghavna 7, 5518 Johnsen"
"Bente Vik","Moenplassen 00C, 2008 Henriksen"
"Emilie Holm","Johansenalléen 00, 4408 Sofiestrøm"
"Lise Iversen","Halvorsenrøa 31F, 1497 Andersodden"
"Erling-Sigurd Larsen","Myklebuststykket 9, 0422 Madsen"
"Marit Rasmussen","Berntsentunet 80, 5399 Sverrehamn"
"Marte Simonsen","Karlsenlunden 072, 2732 Brekke"
"Øyvind Knudsen-Fredriksen","Abrahamsenvika 71, 0717 Sveinvåg"
"Maren-Inger Madsen","Nguyenkollen 63, 3757 Tonjeborg"
"Erik Hagen","Larsenlunden 2, 1093 Knuthelle"
"Kjell Fredriksen","Andreassengata 9F, 1122 Randistad"
"Magnus Svendsen","Jacobsengjerdet 8A, 9789 Kårestad"
"Emilie Jakobsen-Helland","Svendseneggen 57, 0705 Fredriksen"
"Britt Jenssen","Næssringen 3, 6619 Heidiodden"
"Ann-Cathrine Thorsen","Ødegårdtjernet 5H, 1056 Henriksen"
"Eva Antonsen","Sandvikvollen 18E, 5339 Iversen"
"Prof. Pål Engen","Nilsentjernet 2G, 7750 Haug"
"Jens-Vidar Sandvik","Gundersenstien 39, 0971 Johansund"
"Eva Johnsen","Jacobsengropa 097, 5464 Olamark"
"Arild-Roy Henriksen","Eiderøa 94, 9327 Bakken"
"Egil Ellingsen","Thomassenstykket 64H, 9469 Bakken"
"Kirsten Olsen","Hauglandekra 07, 8510 Lailastrøm"
"Emilie Kristiansen","Andreassenlyngen 1B, 7547 Myhre"
"Prof. Magnus Amundsen","Tangengjerdet 9, 4129 Sæther"
"Liv-Ida Hauge","Kristensenvika 5, 5773 Erlingfoss"
"Linda Karlsen","Bergeekra 9, 9812 Lund"
"Liv Jenssen","Edvardsenhavna 37D, 7336 Irenebø"
"Frode Sørensen","Bakkentoppen 6, 8256 Trinevik"
"Johannes-Håvard Haug","Pedersentoppen 5, 1556 Åsestrøm"
"Kristian Lunde","Andersenmarka 657, 3445 Terjegrunn"
"Jens Jacobsen-Knudsen","Johnsengrenda 1, 3439 Lie"
"Erik-Markus Myhre","Rønningstykket 21, 7063 Kjellby"
"Emilie Myklebust","Ahmedbakken 4, 9733 Olavodden"
"Nina Johannessen","Brekketjernet 97, 5935 Jensvik"
"Eli-Linn Henriksen","Lietunet 35E, 6797 Toreberg"
"Elin Berge","Næssringen 24, 6575 Evavær"
"Thea Gulbrandsen","Simonsenstranda 6, 6387 Knudsen"
"Asbjørn Ellingsen","Nielsengjerdet 327, 6079 Heleneeid"
"Karl-Robert Brekke","Hellandlia 35, 5992 Sisselstrand"
"Fredrik Ahmed","Sandvikflata 64, 2054 Haug"
"Kristian Johansen","Paulsengrenda 3, 1859 Tonjemark"
"Håvard Gulbrandsen","Holmlia 55, 5506 Martinsen"
"Emilie Pedersen","Kristoffersenalléen 98, 1713 Øysteineid"
"Rita Berge","Bakkeholtet 63E, 5073 Brittstad"
"Kristin Aas","Myklebustlunden 9, 5825 Rogergrunn"
"Frank-Jon Berntsen","Jakobseneggen 9, 7445 Lie"
"Lise Eide","Jakobsengjerdet 27, 5760 Einardal"
"Kristin Jenssen-Eide","Strømåsen 19, 6501 Sisselvik"
"Emilie Jenssen-Tangen","Næsskroken 082, 3324 Thorvik"
"Monica Aasen","Gulbrandsenekra 9A, 0911 Elisabethfjord"
"Helge Berg","Berntsenåsen 8, 6536 Jenssen"
"Karoline Kristoffersen","Myklebuststykket 3, 3227 Theastad"
"Emilie Rasmussen","Berntsenmoen 994, 8608 Danielgrunn"
"Håvard Mikkelsen-Madsen","Berntsenfaret 3, 7715 Sandvik"
"Eva Hagen","Strandhøgda 36, 1235 Hansen"
"Andreas Fredriksen","Andersenekra 8, 7328 Nguyen"
"Helene Berg","Lienvollen 70, 0215 Sørensen"
"Jørgen Haugen","Paulsenstubben 9, 8473 Sæther"
"Alf Solberg","Knutsenstubben 58D, 4943 Elifoss"
"Sissel Sæther","Larsenskrenten 7, 9391 Ninaby"
"Tone Christensen","Thomassentjernet 58B, 8790 Lunde"
"Sara Edvardsen-Sivertsen","Dahlmarka 7, 6816 Kristensen"
"Emilie Solberg","Pedersenmarka 1, 0978 Åseberg"
"Henrik Rasmussen","Antonsenrøa 2, 1739 Wencheby"
"Sara Halvorsen","Thomassenberget 04, 0256 Håvardøy"
"Mette-Gunn Moen","Ahmedstranda 59, 6355 Dagmark"
"Eva Ali","Isaksentjernet 9, 1279 Hildeø"
"Hans Bøe","Hauglandkollen 69, 2039 Jensås"
"Roar Sivertsen-Solberg","Christensenalléen 12A, 6442 Gunnsjøen"
"Else Jacobsen","Bakkefaret 15, 8045 Vik"
"Geir Sandvik","Svendsenstien 101, 0802 Kirstengrunn"
"Malin-Anne Moen","Ruudplassen 8E, 6664 Jacobsen"
"Emilie-Gunn Moe","Eriksenåsen 96E, 8108 Eliøy"
"Lene Aas-Johansen","Olsentjernet 315, 6149 Jørgendal"
"Hilde Knudsen","Hauglandløkka 5, 5895 Magnussand"
"Mathias-Markus Gulbrandsen","Engentoppen 12A, 0118 Andreassen"
"Dr. Hans Næss","Larsenflata 866, 3407 Thomassen"
"Robert Hagen","Næssberget 13C, 7020 Ahmed"
"Karl Brekke","Dahlflata 83, 8793 Svendsen"
"Markus Haugland","Karlsenvollen 3F, 7733 Synnøvefjord"
"Maria-Heidi Vik","Martinsenplassen 4, 4602 Bakken"
"Tove Pettersen-Jenssen","Andersenmoen 91D, 9886 Thomassen"
"Emilie-Lene Strøm","Arnesenskogen 2, 8108 Sandvik"
"Dr. Jørgen Strøm","Kristofferseneggen 1, 0439 Marines"
"John Henriksen","Strømgjerdet 4, 4590 Martinsen"
"May Nielsen","Hanssenstien 667, 1486 Gunnborg"
"Alf Kristensen","Jacobsenfaret 52F, 5528 Kristineodden"
"Kjersti Pedersen-Tveit","Jacobsengropa 6, 2763 Andreasgrunn"
"Ann Birkeland","Ellingsenroa 7A, 7490 Solheim"
"Astrid Olsen","Karlsenhagen 8, 5459 Solberg"
"Pål Rasmussen","Bergplassen 4B, 9448 Jørgenodden"
"Ingrid Haugland","Haugemoen 9, 7694 Aas"
"Emilie-Tove Kristoffersen","Rønningskrenten 3, 2142 Haugland"
"Ola-Andreas Sørensen","Simonsenstubben 5, 0843 Monafjord"
"Rune-Odd Danielsen","Arnesentoppen 01, 7738 Erlinggrunn"
"Roger-Harald Jacobsen","Amundsenspranget 9C, 5087 Olsen"
"Jonas Martinsen","Solheimengen 7, 2936 Arnestad"
"Gerd Johannessen","Haugeekra 27, 8014 Andresen"
"Lene Rasmussen","Andersengrenda 26D, 2677 Janvik"
"Dr. Steinar Eliassen","Tveitbråten 78B, 4237 Amundsen"
"Kristine Solberg","Holmtjernet 30, 6477 Vildebø"
"Frank Nguyen","Bakkenhøgda 390, 7800 Siljeås"
"Emma Amundsen","Strømtjernet 8, 8377 Ivarbø"
"Simen Madsen","Knutsenvika 91, 6971 Pedersen"
"Joakim Pedersen","Aasengrenda 8E, 1141 Vidargrunn"
"Unni-Mona Lund","Iversenhavna 5, 5329 Simonsen"
"Knut Strand","Pettersenspranget 9, 0258 Anettenes"
"Linn Abrahamsen","Nygårdsvingen 5, 1948 Elseøy"
"Johannes Evensen","Jenssenløkka 8, 7567 Birkeland"
"Kristin Nygård","Fredriksenvollen 9, 0809 Martinsen"
"Kim Amundsen","Fredriksenlunden 150, 0334 Hagen"
"Espen Andreassen","Haugkollen 40, 3683 Håkonø"
"Emma Dahl","Moenkroken 36D, 5411 Jonasberg"
