"Aage Bach","Skindergade 267
5243 Vestbjerg" 
"Prof. Tejs Brandt","Hellebækvej 75
3720 Snertinge"
"Dr. Philip Knudsen","Emdrupgårdsvej 190
7343 Struer"
"Bitten Dahl","Ringholmgade 619
1062 Stenderup"
"Camilla Svendsen","Urbansgade 8
1194 Thisted"
"Line Kristoffersen","Jagtvej 6
3537 Nimtofte"
"Alberte Bertelsen","Saltøvej 94
6042 Gråsten"
"Erna Christiansen","Eckersbergsgade 672
1389 Grindsted"
"Mie Frederiksen","Bavnagervej 87
9369 Strandby"
"Jano Andreasen-Christensen","Strandengade 57
4402 Eskebjerg"
"Filippa Paulsen","Tyttebærgade 788
9220 Borre"
"Carsten Jeppesen","Tudskærstræde 70
1422 Gilleleje"
"Karina Nielsen","Ny Vester Allé 773
7614 Nørager"
"Prof. Cathrine Ravn","Ocean Allé 497
7232 Ribe"
"Prof. Louise Gregersen","Ejdersted Allé 399
6485 Tappernøje"
"Line Andreasen","Rantzausstræde 6
3640 Harpelunde"
"Peter Knudsen","Haifagade 666
9698 Kolding"
"Katja Mathiasen","Bøhmensgade 346
4152 Nørager"
"Alberte Winther","Pæonstræde 3
8114 Skagen"
"Christian Friis","Gyldenløvesvej 793
1504 Sjællands Odde"
"Filippa Østergaard","Ahlefeldtsvej 77
7531 Køge"
"Agnete Thomsen","Skovgaardsvej 2
9666 Søndersø"
"Amalie Lund","Postholder Allé 825
5224 Kolind"
"Univ.Prof. Jonathan Møller","Lotusvej 76
7249 Strandby"
"Susanne Eriksen-Nørgaard","Islevhusgade 7
7472 Ørsted"
"Noah Olesen","Gdansk Allé 6
6428 Kerteminde"
"Morten Skov-Clausen","Smørumvej 2
8198 Vandel"
"Caroline Lind","Vendsysselvej 3
5199 Hundslund"
"Freddy Nissen-Madsen","Mellemtoftevej 140
5133 Samsø"
"Univ.Prof. Dan Holst","Vesterfælled Allé 969
9610 Vallensbæk Strand"
"Finn Jessen","Mozartsstræde 4
3039 Mørkøv"
"Nina Schultz-Paulsen","Adelvej 62
7120 Svebølle"
"Timmy Frederiksen","Arabiensgade 22
7589 Kettinge"
"Prof. Annemette Eriksen","Katholmstræde 812
1849 Ugerløse"
"Karla Kristensen","Shetlands Allé 49
8064 Ørum Djurs"
"Cecilie Sørensen","Vingårdstræde 47
9304 Hurup Thy"
"Univ.Prof. Maiken Thygesen","Brorsonsvej 198
9376 Hornbæk"
"Dr. Frank Gregersen","Fuglefængervej 270
7867 Tureby"
"Alexander Skov","Åløkkestræde 6
1984 Vejers Strand"
"Inger Nissen","Marathonstræde 250
9179 Sporup"
"Flemming Kristensen","Grønjordsvej 26
9544 Vemb"
"Hr Carsten Klausen","Reykjaviksvej 259
4990 Mørkøv"
"Jacqueline Olesen","Forbindelsesgade 80
3830 Brønshøj"
"Hr Bob Bruun","Trapsvej 2
8746 Saltum"
"Ingelise Andersen","Karlslundevej 639
7135 Gilleleje"
"Lona Poulsen-Kristoffersen","Berggreens Allé 743
4844 Gudme"
"Winnie Karlsen","Sibbernsgade 315
6877 Billum"
"Tejs Kristoffersen","Hauservej 952
4968 Oure"
"Vagn Carlsen","Dieselstræde 1
6408 Vallensbæk"
"Univ.Prof. Ruben Kristensen","Ramløse Allé 611
8450 Gedved"
"Flemming Petersen-Lund","Ny Adelvej 97
4639 Lunderskov"
"Dr. Lasse Jakobsen","Amerikagade 266
4644 Brande"
"Univ.Prof. Åge Clausen","Blekingegade 40
6502 Stenløse"
"Elisabeth Lind-Christiansen","Rysensteensvej 680
4269 Jystrup"
"Hr William Mathiasen","Brysselstræde 63
8142 Taastrup"
"Jacqueline Laursen","Sundbyvestergade 4
9442 Sydals"
"Kirsten Vestergaard-Dam","Persiensvej 152
7510 Glumsø"
"Solveig Koch","Gasværksstræde 1
2804 Mårslet"
"Univ.Prof. Simon Jessen","Hulgårdsstræde 4
3495 Sønder Felding"
"Nora Iversen","Rodosvej 1
3229 Gjerlev"
"Flemming Skov","Annexgade 97
4175 Vallensbæk"
"Preben Frandsen-Overgaard","Baldersvej 474
8811 Toreby"
"Nicolaj Pedersen","Slutterivej 8
1631 Tommerup"
"Øjvind Olesen","Øresunds Allé 61
6552 Risskov"
"Prof. Nadia Lund","Ingerslevsvej 9
8728 Askeby"
"Anders Carlsen-Laursen","Valhøjgade 5
6257 Hasselager"
"Klavs Mathiasen","Kortstilkvej 23
5833 Dianalund"
"Marius Paulsen","Gammel Køge Lande Allé 789
3348 Gedsted"
"Bobby Jakobsen","Skotlandsvej 73
7160 Klampenborg"
"Ove Lauridsen","Mysundegade 92
5791 Sommersted"
"Frank Andresen","Tibirke Allé 517
3872 Ruds Vedby"
"Yannick Olsen","Glasvej 9
8343 Hemmet"
"Hr Klaus Olesen","Ørhagegade 3
3573 Glostrup"
"Mike Jeppesen","Bornholmsvej 2
3681 Gislev"
"Carl Steffensen","Panumsvej 3
8550 Anholt"
"Univ.Prof. Robin Olsen","Sparresholm Allé 91
4232 Lynge"
"Gunnar Carlsen","Kongemarksvej 29
7772 Snertinge"
"Nicolai Frederiksen-Dam","Tibirkestræde 6
1374 Smørum"
"Nikolaj Madsen","Holtevej 4
2753 Barrit"
"Helge Krogh","Remisevej 302
8266 Borup"
"Frank Bech","Mozartsvej 7
3366 Nørre Snede"
"Dr. Einer Christensen","Cypernsvej 471
4704 Kerteminde"
"Hr Tobias Lind","Fredericia Allé 577
4568 Hillerød"
"Joachim Søndergaard-Dam","Vigerslev Godsgade 6
2521 Hampen"
"Benedicte Dahl","Kornerup Allé 983
4585 Langå"
"Fru Ulrike Nilsson","Gårdtoftevej 285
7923 Varde"
"Univ.Prof. Solvej Kjeldsen","Rubikongade 3
6762 Nørager"
"Dr. Nicoline Nilsson","Emdrupvej 4
7513 Rødding"
"Dr. Keld Mogensen","Albaniensvej 41
9178 Søborg"
"Dr. Josefine Knudsen","Formosa Allé 4
1247 Flemming"
"Frank Dahl","Spangbergsvej 2
9950 Kolding"
"Troels Lassen-Lind","Meklenborggade 320
8814 Gørding"
"Borris Olesen","Høsterkøbgade 3
8446 Auning"
"Ruben Schultz","Turesensvej 9
1402 Helsingør"
"Mette Gregersen","Luganovej 835
5609 Taastrup"
"Brian Koch-Thomsen","Tartinisstræde 903
5559 Bækmarksbro"
"Fru Jytte Svendsen","Studievej 6
7943 Egå"
"Sys Friis","Fenrisvej 7
7090 Kolding"
"Fru Alma Simonsen","Refshalevej 41
5308 Middelfart"
"Fru Caroline Lassen","Fanøstræde 397
8486 Birkerød"
"Frank Kristensen","Lille Kirkegade 73
5005 Toftlund"
"Prof. Ragnhild Dahl","Corkvej 76
1181 Stenstrup"
"Hr Albert Overgaard","Amager Strandvej 59
5159 Strøby"
"Dr. Johnnie Lind","Offenbachsgade 56
3992 Vipperød"
"Sine Hermansen","Aggergade 207
7046 Munke Bjergby"
"Ane Paulsen","P.D. Løvsgade 597
5096 Klovborg"
"Prof. Vivian Bech","Nordbygade 15
4688 Roslev"
"Fru Dorthe Christensen","Karlstadsvej 8
9070 Stubbekøbing"
"Claus Steffensen","Per Henrik Lingsvej 97
3840 Jyllinge"
"Malou Thomsen","Skydebanegade 157
5820 Stenlille"
"Frank Møller","Vogter Allé 9
4844 Vemmelev"
"Ivan Overgaard","Italiensvej 41
7357 Hammel"
"Inge Svendsen","Borrebygade 37
2526 Store Heddinge"
"Prof. Odette Skov","Antwerpenstræde 686
3918 Stokkemarke"
"Øjvind Danielsen","Bangertsvej 683
8866 Tranekær"
"Philip Hermansen","Oceanvej 73
5803 Vesløs"
"Tejs Kristoffersen","Sundby Parkvej 70
8710 Frederiksværk"
"Hjalte Mikkelsen","Ansgarsgade 90
3788 Tistrup"
"Pernille Mathiesen","Birkedommervej 2
7576 Holeby"
"David Brandt","Birkholmvej 8
4032 Sulsted"
"Frans Bech-Johnsen","Skensvedvej 365
3408 Gjerlev"
"Simon Jespersen","Ballumstræde 7
2172 Tylstrup"
"Ragner Olesen","Funkiagade 5
3125 Charlottenlund"
"Henriette Svendsen","Brobergsgade 290
8202 Hedehusene"
"Katrine Johnsen-Carlsen","Pilevej 412
1311 Vejstrup"
"Karen Jensen","Per Henrik Lingsvej 1
6859 Jyderup"
"Michala Iversen-Mogensen","Gartneri Allé 81
3838 Vig"
"Karen Mathiasen","Valhøjgade 76
4390 Lundby"
"Birgitte Kjeldsen","Jægerstræde 1
2543 Brøndby"
"Rune Madsen","Krimsvej 6
5541 Ringe"
"Frans Møller","Valby Langvej 1
7656 Føvling"
"Jørgen Kristiansen-Rasmussen","Vester Farimagsvej 86
2881 Bording"
"Fru Carina Krogh","Klosterris Allé 1
4851 Millinge"
"Dr. Mogens Christiansen","Strandagerstræde 332
4452 Nørresundby"
"Dr. Brian Jacobsen","Teglstrup Allé 253
6675 Egtved"
"Søren Pedersen","Hovedvagtsvej 115
1698 Veksø Sjælland"
"August Skov-Østergaard","Stampesstræde 77
2759 Gørlev"
"Anne Holst","Ystadgade 80
5460 Tim"
"Robin Nielsen","Rådvads Allé 9
3544 Asnæs"
"Malthe Lauritsen","Rosendals Allé 41
3526 Karrebæksminde"
"Freddy Jeppesen","Korsørvej 98
6079 Sønder Omme"
"Zenia Paulsen","Grækenlandsgade 78
6016 Tappernøje"
"Emma Mathiesen","Nyvej 22
5987 Munke Bjergby"
"Brian Mathiasen","Elme Allé 31
3886 Vrå"
"Prof. Yvonne Nilsson","Billedgade 69
6655 Fjenneslev"
"Dr. Peter Lassen","Bøhmensgade 46
3273 København"
"Helen Brandt","Fyensgade 25
2377 Klippinge"
"Emil Eriksen","Slotsholmsstræde 945
5738 Brønshøj"
"Oscar Christensen","Ledagervej 9
9254 Hvide Sande"
"Mathias Mathiesen","Spaniensgade 1
5578 Rødekro"
"Frede Jørgensen","Svenstrupvej 521
2119 Fjerritslev"
"Prof. Susanne Kristensen","Theklavej 36
4679 Klemensker"
"Fru Anna Laursen","Saabyesgade 1
1005 Hammel"
"Jannie Mortensen","Majrosevej 9
9562 Tikøb"
"Sussie Nielsen","Trojastræde 34
7807 Ry"
"Yrsa Larsen","Brigården Allé 339
9316 Broager"
"Øjvind Andresen-Mathiesen","Dag Hammarskjölds Allé 9
7737 Odder"
"Hr Kaspar Hermansen","Nøragergade 631
1523 Ans by"
"Pernille Schmidt","Tåstrupgade 178
8175 Gudhjem"
"Dr. Gyda Lassen","Roselille Allé 2
2891 Haslev"
"Frede Møller","Stenlillegade 4
9109 Nørre Asmindrup"
"Dr. Ørni Mathiesen","Venediggade 92
6720 Randers"
"Ebbe Jessen","Kielgade 3
7458 Fredensborg"
"Kim Laursen","Nybovej 5
4208 Nakskov"
"Ingrid Christiansen","Lystrupgade 572
8452 Nibe"
"Olfert Dahl","Haldager Allé 30
1952 Brøndby Strand"
"Maiken Danielsen","Lindgreensvej 8
1871 Hovborg"
"Odeline Steffensen","Horsekildestræde 304
2236 Broby"
"Tove Svendsen","Ystadvej 7
7376 Gislev"
"Clara Winther","Straussstræde 503
3713 Holte"
"Frederik Henriksen","Ålandsgade 696
9228 Ryomgård"
"Gustav Laursen-Nissen","Hustoftevej 5
6015 Sæby"
"August Brandt","Nebraskavej 8
7106 Vester Skerninge"
"Fru Bente Kjær","Slutterivej 2
7359 Nørager"
"Sabine Laursen","Gamle Vasbygade 85
9112 Sejerø"
"Merete Olsen","Dalbyvej 56
9197 Borup"
"Julius Lind","Asminderødgade 907
2376 Sabro"
"Ludvig Friis-Winther","Livøvej 39
1353 Kokkedal"
"Lena Vestergaard","Rygårdsvej 464
7216 Tønder"
"Kenneth Pedersen","Eriksholmstræde 52
5871 Strøby"
"Frederik Koch","Gåsevej 789
4460 Herning"
"Grete Jensen","Wittenberggade 826
3897 Strandby"
"Robin Mathiesen","Nordmarksstræde 4
9168 Rørvig"
"Zara Bech","Syvstensvej 8
1439 Roskilde"
"Sigrid Dahl","Kampmannsstræde 89
4125 Asaa"
"Philip Bruun-Jacobsen","Marsalavej 36
3033 Greve"
"Nanni Dahl","Svanegade 827
9620 Randers"
"Fru Filippa Mogensen","Langagervej 361
2308 Brædstrup"
"Prof. Sandra Hansen","Danstrupvej 3
2800 Mesinge"
"Lennarth Jørgensen-Hansen","Arsenalvej 745
9576 Bandholm"
"Frederik Nilsson","Bernstorffsvej 1
4442 Hurup Thy"
"Asger Mikkelsen","Ørholmvej 7
6042 Holte"
"Prof. Asger Schultz","Bavnehøjgade 21
6036 Boeslunde"
"Arne Svendsen","Kertemindevej 24
6315 Frøstrup"
"Marlene Kristoffersen-Jakobsen","Slagtehusvej 541
5341 Hesselager"
"Fru Nanni Mikkelsen","Sofie Brahesvej 7
3121 Allingåbro"
"Fru Britt Kristiansen","Estlandsgade 685
5566 Vestervig"
"Univ.Prof. Gertrud Madsen","Strandstræde 25
6213 Karlslunde"
"Hr Yngve Frandsen","Dag Hammarskjöldsgade 577
5435 Borre"
"Ronni Holm","Ringstedvej 6
2156 Tistrup"
"Frederikke Bech","Tingstræde 5
3677 Tølløse"
"Fru Ida Frederiksen","Fakse Tværvej 95
4883 Rønde"
"Prof. Agnete Petersen","Svenstrupvej 148
2444 Herning"
"Klavs Jepsen","Øselsgade 197
2978 Charlottenlund"
"Fru Olga Svendsen","Lundedalsgade 4
6651 Skørping"
"Fru Kristina Bach","Theklagade 13
8742 Klippinge"
"Klavs Dahl","Raffinaderigade 206
4478 Vesløs"
"Patricia Schmidt","Landvindingsvej 1
4751 Ullerslev"
"Julius Andersen","Sandbjerggade 73
9711 Tønder"
"Odette Vestergaard","Skovbogårdsvej 887
1783 Vesløs"
"Frederikke Lund","Stenkløvergade 42
9002 Silkeborg"
"Trine Simonsen","Højmosevej 1
9060 Solrød Strand"
"Viola Berg-Hermansen","Gyritevej 661
3083 Brønderslev"
"Henrik Mathiasen","Valby Kirkevej 4
3570 Hornslet"
"Katcha Winther","Stenløsevej 611
5887 Outrup"
"Prof. Carina Ravn","Østerbrostræde 5
5144 Sønderborg"
"Fru Ofelia Berg","Eriksholmvej 9
8252 Esbjerg"
"Fru Sabine Schou","Bramslykkegade 8
2401 Harndrup"
"Kirstine Bach","Kildevældsgade 98
9788 Glostrup"
"Leonora Christensen","Irisgade 436
2816 Skagen"
"Freja Eriksen-Henriksen","Bispegade 29
2319 Hemmet"
"Fru Ditte Østergaard","Rødbyvej 375
2108 Hedehusene"
"Prof. Gustav Schou","Sofie Brahesvej 273
1853 Janderup"
"Stig Jeppesen-Kristiansen","Lærke Allé 12
1772 Rungsted Kyst"
"Univ.Prof. Martin Lauridsen","Stenhuggervej 70
3823 Eskilstrup"
"Anna Nielsen","Holbækgade 201
5351 Skærbæk"
"Ivan Mathiasen","Vejlands Allé 86
2338 Ansager"
"Dr. Katcha Jeppesen","Skolegade 64
9398 Gjern"
"Prof. Elsebeth Karlsen","Antonigade 465
5666 Ferritslev Fyn"
"Julie Pedersen","Danstrupgade 269
3955 Marslev"
"Frida Johansen","Serridslev Allé 62
8687 Beder"
"Minna Lauridsen","Ilfordvej 40
9264 Vemmelev"
"Sys Jensen","Baltikavej 637
1934 Hobro"
"Ruth Bertelsen","Rebekkastræde 8
9603 Nykøbing F"
"Gurli Sørensen","Bryggerigade 4
4735 Gedved"
"Annemette Frederiksen","Bernstorffsvej 133
6689 Mariager"
"Bertil Søndergaard","Middelfartvej 3
4443 Varde"
"Verner Rasmussen","Platan Allé 52
6258 Strandby"
"Kristine Nielsen","Middelfartstræde 109
8518 Virum"
"Klavs Christensen","Saltø Allé 430
6614 Nakskov"
"Frida Lauritsen","Borgbjergsgade 66
2106 Haarby"
"Robert Knudsen","Gråspurvevej 95
5918 Hadsund"
"Nicklas Kristoffersen","Tøjhusstræde 13
5417 Dalmose"
"Simone Østergaard","Statholdervej 3
2048 Vorbasse"
"Sørine Steffensen","Parma Allé 10
1270 Harndrup"
"Keld Andreasen-Kjær","Ystadvej 86
3040 Hovedgård"
"Jacobine Johnsen","Klaipedavej 7
7371 Ølstykke"
"Ane Mogensen","Thygade 1
9645 Gadbjerg"
"Kjeld Bech","Elværks Allé 9
9801 Ballerup"
"Carl Holst","Anneberggade 989
7078 Kongens Lyngby"
"Frida Schmidt","Skoleholdervej 7
2314 Harboøre"
"Herbert Knudsen","Glosterstræde 7
2788 Kirke Eskilstrup"
"Malou Olesen-Hansen","Rebekka Allé 70
1761 Søllested"
"Katrine Holm","Bregnerødvej 830
5163 Vanløse"
"Gertrud Nielsen","Kertemindevej 4
4914 Langebæk"
"Jean Thorsen","Århusstræde 192
9090 Hundested"
"Timmy Hermansen","Østerbrogade 5
6027 Bindslev"
"Tommy Mathiasen","Tjæreby Allé 71
4359 Vorbasse"
"Sussanne Jespersen","Lodivej 3
4812 Brabrand"
"Hr Preben Olesen","Abrikosvej 259
4873 Vesløs"
"Frode Andersen-Karlsen","Liselund Allé 8
5866 Mørke"
"Hr Bent Christiansen","Blekinge Allé 84
6558 Vejstrup"
"Aksel Thygesen","Murcia Allé 96
3607 Nørre Aaby"
"Connie Holst","Ramløsevej 64
2801 Dybvad"
"Oda Schmidt-Schmidt","Lerchenborggade 46
5595 Veflinge"
"Prof. Leif Laursen","Stevnsstræde 660
4783 Malling"
"Kim Thorsen-Vestergaard","Købmagervej 860
3349 Allinge"
"Freddy Christiansen","Lautrupsgade 8
8747 Fakse Ladeplads"
"Prof. Einar Mathiasen","Tornebuske Allé 168
1855 Rask Mølle"
"Rita Madsen-Kjær","Artillerivej 106
3712 Kettinge"
"Frode Andresen-Poulsen","Faksevej 91
8419 Gedser"
"Holger Mortensen","Ferskenstræde 41
6822 Munke Bjergby"
"Prof. Bobby Jensen","Landskronavej 393
8538 Bylderup-Bov"
"Nicoline Mathiasen","Kingstonvej 60
5320 Outrup"
"Helge Jepsen","Gjorslevstræde 48
5934 Blåvand"
"Keld Paulsen","Badensgade 145
7625 Kerteminde"
"Univ.Prof. Amalie Bertelsen","Gjorslevstræde 82
5425 Gørløse"
"Ester Thomsen","Jægersborgvej 655
9678 Veksø Sjælland"
"Margrethe Dahl-Mathiesen","Brønshøj Kirkestræde 496
2861 Flemming"
"Torben Jeppesen","Grenåstræde 77
3181 Hedehusene"
"Frode Friis","Fredenshøjgade 15
2267 Århus"
"Cirkeline Mogensen-Lauridsen","Kulbanevej 383
1379 Rønnede"
"Rosa Thygesen","Broagervej 68
8857 Vesterborg"
"Univ.Prof. Dorte Pedersen","Montagehals Allé 86
2820 Fredensborg"
"Hr Ken Lassen","Skindervej 533
7330 Ballerup"
"Sten Toft","Java Allé 86
1426 Viborg"
"Sigrid Frederiksen","Knabrovej 2
7440 Billund"
"Fru Zelma Thygesen","Godsbane Allé 96
1369 Låsby"
"Sofia Mortensen","Ebertsvej 277
8085 Juelsminde"
"Frede Jessen","Volosstræde 86
5942 Kerteminde"
"Frode Karlsen","Lundbyesvej 56
9521 Hellebæk"
"Søs Thomsen","Gyritestræde 954
5226 Hals"
"Nete Kjeldsen","Parosvej 3
1179 Vissenbjerg"
"Andrea Bruun","Sokkelundsvej 663
9665 Harboøre"
"Hannah Andreasen-Ravn","Selsøgade 1
8916 Vesløs"
"Prof. Bøje Christoffersen","Meinungsgade 85
7024 Herning"
"Prof. Sigrid Lund","Thoravej 2
5265 Nivå"
"Ruben Jespersen","Ferringvej 1
2994 Fårup"
"Univ.Prof. Øivind Paulsen","Teglbrændervej 5
9795 Vemb"
"Fru Ragnhild Jepsen","Asylgade 6
4783 Løgumkloster"
"Frode Rasmussen","Ådalsvej 47
3343 Jystrup"
"Univ.Prof. Michael Kristiansen","Egestræde 34
7267 Jerslev"
"Helge Bach","Rødelandsstræde 16
4991 Fejø"
"Michael Bech","Radisevej 5
4892 Uldum"
"Univ.Prof. Jano Karlsen","Uplandsstræde 75
4585 Gadbjerg"
"Esmarelda Jespersen","Valby Torvevej 613
8754 Strandby"
"Paw Andreasen-Jacobsen","Holsteinborgvej 4
9849 Karlslunde"
"Ronnie Kjeldsen","Botoftevej 3
3474 Roskilde"
"Dr. James Kristoffersen","Krudtløbsvej 7
2276 Bækmarksbro"
"Victoria Olsen","Webersvej 92
9556 Slagelse"
"Fru Abelone Jensen","Overdrevsgade 868
1824 Aalborg"
"Yan Friis","Philip De Langesgade 11
5971 Hornbæk"
"Elsebeth Carlsen","Gormsgade 62
4580 Kværndrup"
"Dr. Karla Carlsen","Milanovej 869
7474 Holsted"
"Laust Brandt","Industrigade 172
5304 Tjele"
"Alf Møller","Dahlerupsstræde 4
8571 Blokhus"
"Johanne Winther","Gåse Allé 715
3179 Sejerø"
"Benedicte Ravn","Bavnehøjgade 43
6862 Store Merløse"
"Johan Kristoffersen","Luganostræde 4
9684 Frøstrup"
"Hr Carsten Johnsen","Rugagergade 99
8537 Gelsted"
"Fru Agnete Karlsen","Ramundsstræde 9
4141 Hellebæk"
"Kaspar Krogh","Herjedalgade 737
7086 Åbyhøj"
"Natasha Knudsen","Horsensgade 94
1843 Hundested"
"Frederik Bach","Monrads Allé 6
6724 Østermarie"
"Fru Paula Klausen","Frederiksborggade 23
5104 Spjald"
"Minna Lassen","Yderlandsvej 17
1277 Ærøskøbing"
"David Kristoffersen","Brønshøjgårdgade 28
1342 Solbjerg"
"Nicoline Lauridsen","Ringholmgade 68
4353 Sunds"
"Jørgen Andersen","Magvej 22
9436 Stege"
"Beth Madsen","Sofienhøjvej 1
2340 Frederiksværk"
"Fru Amalie Sørensen","Firkløverstræde 10
8851 Billum"
"Sofie Bech","Nærumgade 75
9347 Malling"
"Bodil Pedersen","Fenrisgade 17
2290 Brædstrup"
"Yan Møller-Mogensen","Boserupvej 10
4032 Outrup"
"Ulrik Lassen","Tønderstræde 669
7897 Værløse"
"Jimmy Laursen-Toft","Vogterstræde 5
8499 Hemmet"
"Mathias Schultz","Slangerupgade 2
1344 Glostrup"
"Ragna Pedersen","Bryggeristræde 581
6705 Broby"
"Yasmin Rasmussen","Klosterrisgade 1
2977 Vejle Øst"
"Troels Bach","Morsø Allé 881
6436 Nørreballe"
"Fru Ane Nissen","Morgendugvej 978
8463 Vester Skerninge"
"Dr. Mogens Andersen","Skoubovej 75
6499 Regstrup"
"Univ.Prof. Øivind Olesen","Støvringvej 230
8133 Klovborg"
"Hr Nikolaj Larsen","Herlufsholmstræde 7
6993 Gislinge"
"Grethe Vestergaard","Risbyholmvej 8
5186 Ålbæk"
"Ken Olesen","Stenmaglevej 9
7140 Nørre Snede"
"Iver Mathiesen","Strynøgade 632
3356 Åbyhøj"
"Pia Nilsson","Hardanger Allé 639
6583 Svaneke"
"Søren Søndergaard","Romsdalsgade 58
4863 Stubbekøbing"
"Dr. Liva Mikkelsen","Heldbovej 754
8281 Sæby"
"Fru Annemette Overgaard","Rantzausvej 5
3755 Maribo"
"Sabine Bach","Grønnegade 9
8831 Veflinge"
"Oskar Kristoffersen","Dybendalsvej 9
3442 Herlev"
"Paula Nørgaard","Bjelkes Allé 973
1142 Ishøj"
"Gyda Henriksen","Lerchenborgvej 40
6769 Hornsyld"
"Maren Olsen-Schultz","Maltavej 167
9814 Vejle"
"Univ.Prof. Per Vestergaard","Toskiftestræde 37
2961 Fuglebjerg"
"Natasha Berg","Gammel Kongevej 3
6096 Mørke"
"Prof. Jacobine Pedersen","Jagtvej 18
1764 Vestbjerg"
"Jim Mathiesen","Lundeborggade 283
6729 Gedsted"
"Fru Astrid Christoffersen","Jagtgade 52
5495 Stensved"
"Kenn Kjær","Armeniensvej 41
8293 Engesvang"
"Verner Schmidt","Nordborgvej 56
1267 Horslunde"
"Janni Rasmussen","Thingvallavej 44
3450 Bedsted Thy"
"Mik Winther","Siciliensvej 8
5592 Holstebro"
"Nikolaj Winther-Mogensen","Stoltenbergsvej 87
3683 Vonge"
"Mette Madsen","Valby Maskinfabriksvej 7
4443 Svebølle"
"Benjamin Andersen","Esromgade 118
2200 Fårup"
"Dr. Ester Winther","Ferskenvej 6
7918 Veksø Sjælland"
"Finn Clausen","Hobrogade 558
2331 Aarup"
"Fru Benedicte Skov","Sorøgade 3
9762 Varde"
"Hr Otto Skov","Anneberg Allé 54
1324 Ejstrupholm"
"Univ.Prof. Stine Brandt","Bastionvej 29
9636 Vesløs"
"Carla Bach","Vingård Allé 3
7389 Tilst"
"Heidi Petersen","Overn Neden Vandetvej 12
8073 Nykøbing Sj"
"Herbert Schou","Musholmvej 38
4168 Oksbøl"
"Erik Friis","Brofogedgade 621
3065 Trige"
"Hr Flemming Dahl","Romsdalsstræde 75
5410 Løgstrup"
"Karen Lassen","Mimersstræde 92
1252 Skælskør"
"Dr. Curt Dam","Hjertensfryds Allé 5
6282 Haslev"
"Fru Berta Christoffersen","Stenlille Allé 653
2378 Fanø"
"Adam Mathiasen","Herslevgade 2
7846 Hemmet"
"Dr. Laurits Nørgaard","Nordbyvej 39
8541 Bedsted Thy"
"Maja Kristoffersen","Verasvej 79
4614 Odder"
"Dr. Gunhild Clausen","Moselgade 13
1437 Søborg"
"Univ.Prof. Solveig Poulsen","Thorshavns Allé 4
4815 Flemming"
"Frederik Steffensen","Kattingegade 924
3104 Havdrup"
"Catrine Thorsen","Gadekær Allé 48
7444 Vejers Strand"
"Hr August Andreasen","Hans Bogbindersvej 2
7031 Dybvad"
"Åbjørn Danielsen-Nissen","Berggreensgade 29
5095 Skibby"
"Fru Berta Kjær","Apollovej 7
7539 Nørre Alslev"
