"Abelone Dahl","Stenløsevej 856
8842 Roskilde" 
"Ole Berg-Andresen","Etonvej 61
1631 Solbjerg"
"Nicolai Jepsen","Marmorgade 59
9360 Ejstrupholm"
"Nanni Nielsen","Kildebrøndegade 8
1362 Sønderborg"
"Janni Vestergaard","Ringholmgade 39
1624 Rødding"
"Elin Eriksen","Rigensvej 89
8950 Nærum"
"Fru Zehnia Jakobsen","Ørevadsvej 554
8514 Tranekær"
"Boe Madsen","Store Kongensgade 388
2326 Holeby"
"Robin Hansen","Lautrupsvej 4
1515 Slangerup"
"Pete Bach-Petersen","Thyrasvej 779
5239 Ølgod"
"Jimmy Ravn","Norgesvej 4
6308 Gørlev"
"Univ.Prof. David Christensen","Lemnosgade 41
9701 Dianalund"
"Sofia Rasmussen","Rosbæksstræde 787
2988 Vadum"
"Julie Carlsen","Guldbergsvej 83
7999 Skjern"
"Prof. Jonna Bach","Brombærgade 51
6886 Vesløs"
"Emily Andreasen","Verasstræde 1
6195 Højer"
"Georg Bech","Østersøstræde 4
5385 Viborg"
"Signe Poulsen","Stenlillestræde 84
5561 Lemming"
"Fru Regitze Lauritsen","Ramsingsvej 16
9634 Lejre"
"Josefine Mathiasen-Jacobsen","Hvidbjerggade 532
2370 Nexø"
"Ida Koch","Brøndumvej 48
2984 Toftlund"
"Dr. Louise Dahl","Luftmarinegade 684
8316 Harpelunde"
"Prof. Benny Bech","Bellida Allé 271
2173 Videbæk"
"Dr. Vagn Christiansen","Bjernedevej 95
3777 Veksø Sjælland"
"Univ.Prof. Keld Mortensen","Rådmandsvej 44
3367 Græsted"
"Jonna Jepsen","Fordresgårdvej 35
1848 Stensved"
"Georg Berg","Søndervangsgade 152
7859 Højslev"
"Aksel Bruun","Teglgård Allé 5
4458 Bælum"
"Fru Sussie Olesen","Værkstedvej 463
6267 Bolderslev"
"Dr. Oskar Frandsen","Nansensvej 4
1366 Harlev"
"Univ.Prof. Bertil Winther","Lønstrupvej 302
6217 Farum"
"Matthias Pedersen","Broagervej 9
2616 Bredebro"
"Albert Larsen","Mirabellegade 32
6970 Rønde"
"Stina Gregersen","Hedegaards Allé 11
9961 Fredensborg"
"Prof. Kasper Østergaard","Højstrupvej 406
8679 Kirke Eskilstrup"
"Prof. Zelma Andersen","Gormsgade 1
3362 Suldrup"
"Georg Christiansen","Spinderi Allé 93
5340 Vestbjerg"
"Dr. Stephan Jespersen","Rysensteensgade 36
7057 Maribo"
"Prof. Amanda Mathiesen","Landehjælpstræde 3
7647 Bælum"
"Univ.Prof. Bent Mortensen","Næstved Allé 8
3970 Brovst"
"Patrick Nørgaard","Valby Torvevej 231
7416 Lintrup"
"Prof. Clavs Friis","Børskovvej 4
1595 Nakskov"
"Hr Kenn Knudsen","Oceangade 39
7539 Strøby"
"Margit Klausen","Vigerslev Godsvej 8
7539 Blokhus"
"Lena Krogh","Gåseurt Allé 221
7499 Aarup"
"Viola Kristensen-Friis","Hedebygade 77
7178 Hobro"
"Georg Gregersen","Dannevirkevej 878
4956 Vedbæk"
"Zehnia Holst","Tuelandsvej 620
2277 Jyderup"
"Pete Mathiesen-Lind","Nygårdsvej 54
1152 Holsted"
"Karl Brandt","Nordbanevej 462
2041 Sindal"
"Fru Josephine Bertelsen","Gribskovvej 77
5647 Ribe"
"Mike Bach-Jeppesen","Fåborgvej 75
6496 Helsingør"
"Hr Jean Jakobsen","Adel Allé 35
3941 Måløv"
"Trine Gregersen","Vigerslev Godsvej 685
6107 Gistrup"
"Hr Jarl Holst","Lykkebostræde 333
2268 Aarup"
"Marcus Frederiksen","Morbær Allé 67
3489 Solrød Strand"
"Georg Søndergaard","Bjerregårds Sidevej 879
2533 Fejø"
"Klavs Ravn-Nørgaard","Hirsevej 43
1168 Gislev"
"Gundhild Jørgensen-Jeppesen","Langhusgade 301
4540 Oure"
"Øjvind Lund","Horsensvej 3
9532 Rødvig Stevns"
"Bobby Bach","Pistolgade 33
2678 Herfølge"
"Dr. Grethe Vestergaard","Slangerupgade 241
8091 Hjallerup"
"Univ.Prof. Katrine Andresen","Boserupvej 81
9784 Outrup"
"Mikkel Lind","Fredensvej 78
5059 Ulstrup"
"Frederik Vestergaard-Eriksen","Puggaardsstræde 7
4390 Ringe"
"Nils Bruun-Lauritsen","Bernstorffsvej 4
2512 Sunds"
"George Frandsen","Sankelmarksstræde 4
1712 Spenstrup"
"Carla Skov","Bådehavnsvej 75
6863 Eskilstrup"
"Susanne Dam-Hansen","Fjenneslevstræde 6
2938 Skårup"
"Verner Vestergaard","Vester Voldvej 4
1601 Bedsted Thy"
"Dr. Tom Mathiasen","Bellidastræde 469
8904 Sæby"
"Malene Jakobsen","Bykildevej 147
9452 Hovborg"
"Sandra Dam","Frilandsgade 891
6094 Nysted"
"Filippa Skov","Palægade 89
8907 Øster Assels"
"Jack Lassen","Kabbelejevej 6
8939 Knebel"
"Zenia Dam","Lindgreensvej 27
1894 Lemming"
"George Klausen","Reykjaviksvej 1
9131 Vejen"
"Sofie Holst","Nyropsvej 80
1774 Jerup"
"Noah Jessen","Gyldenlakstræde 678
5714 Rungsted Kyst"
"Emma Larsen-Møller","Lundeborgstræde 3
8172 Sørvad"
"Hans Sørensen","Røsåstræde 126
8190 Vamdrup"
"Tom Poulsen","Krabbesholmgade 2
3033 Ruds Vedby"
"Bo Frederiksen","Faksingevej 45
6008 Viuf"
"Dina Hansen-Jeppesen","Sundbyvestergade 96
7161 Boeslunde"
"Dr. Inger Larsen","Lindenborgstræde 578
4531 Ryslinge"
"Helen Pedersen","Taffelæblegade 7
6612 Stoholm"
"George Søndergaard-Krogh","Karensvej 25
4153 Gudhjem"
"Prof. Ester Thorsen","Lystrupgade 1
2278 Vesterborg"
"Univ.Prof. Åbjørn Bech","Brønshøjgårdvej 7
4499 Hammel"
"Line Mortensen","Karensvej 8
2691 Tarm"
"Fru Frederikke Svendsen","Pallesvej 55
6600 Odense"
"Trine Danielsen","Luganovej 7
6482 Holbæk"
"Oda Toft-Lund","Flyhangarvej 9
5590 Vandel"
"Dagny Lund","Søndervangsvej 8
2834 Mariager"
"Øivind Lind","Stjernevej 310
4170 Nørresundby"
"Prof. Carina Larsen","Lyonvej 864
1811 Mørke"
"Gerda Frandsen","Rosbæksstræde 510
6379 Åbyhøj"
"Prof. Kirstine Jepsen","Gulkløvervej 70
4730 Bylderup-Bov"
"Ulrike Bach","Signelilgade 7
5467 Videbæk"
"Dr. Minna Lassen","Egelykkevej 97
7875 Horbelev"
"Kristina Knudsen","Lemnos Allé 2
7574 Saltum"
"Solveig Thorsen","Rørmosegade 309
8707 Fjenneslev"
"Lærke Mikkelsen-Frederiksen","Klosterrisvej 7
5854 Broager"
"Univ.Prof. Stine Olesen","Sigerstedvej 735
9824 Dianalund"
"Prof. Rolf Christiansen","Godsbane Allé 661
3099 Hvalsø"
"Børge Jessen","Lilliendalsgade 9
9217 Glejbjerg"
"Gert Lassen","Stadilvej 66
3370 Egå"
"Prof. Sussie Andresen","Beldringe Allé 1
5349 Bælum"
"Maren Schou-Mogensen","Tulipangade 3
1073 Ansager"
"Victoria Mogensen","Himmerlandsgade 505
5617 Morud"
"Ron Vestergaard-Østergaard","Ydunsvej 24
8611 Bylderup-Bov"
"Palle Svendsen-Eriksen","Kapelvej 3
8357 Løgstrup"
"Morten Olsen-Krogh","Montagnestræde 32
6783 Læsø"
"Michala Skov","Lyonstræde 62
4267 Sønder Stenderup"
"Niels Skov","Svendborgstræde 7
5199 Hundested"
"Nicklas Bach-Holm","Hornbæk Allé 802
2684 Otterup"
"Gert Poulsen","Funkiagade 277
4570 Sønderborg"
"Fru Henriette Pedersen","Rysensteensvej 645
8811 Melby"
"Prof. Signe Holst","Havsgårdsvej 3
6430 Ørbæk"
"Camilla Vestergaard","Statholdergade 37
9135 Vojens"
"Britt Schmidt","Tjørnestræde 63
8041 Store Fuglede"
"Olfert Johnsen","Lautrupsgade 6
8190 Nykøbing F"
"Univ.Prof. Karlo Mikkelsen","Frankrigsstræde 926
3322 Lem"
"Fru Esmarelda Dahl","Å Allé 12
5049 Branderup"
"Dr. Gert Jepsen","Hastings Allé 8
1876 Vester Skerninge"
"Kirsten Petersen","Tudsemindevej 20
4079 Gedsted"
"Gert Steffensen","Sokkelundsvej 9
1027 Auning"
"Jonna Brandt","Heldbovej 674
4356 Redsted"
"Fru Winni Holm","Valhøj Allé 79
1886 Fakse"
"Jonas Dam","Rosbæksvej 69
9778 Nysted"
"Nina Madsen","Bogtrykkervej 433
4518 Føvling"
"Lea Petersen","Stokrosevej 4
7879 Sorø"
"Elna Knudsen","Tryggevældevej 27
7208 Klemensker"
"Regitse Eriksen","Harestræde 74
2435 Vamdrup"
"Heidi Jepsen-Danielsen","Lauravej 774
2699 Rømø"
"Tejs Rasmussen","Fiskedamsgade 4
5240 Grindsted"
"Gertrud Andersen","Nørretoftegade 97
1618 Nyborg"
"Matthias Kjeldsen","Torbenfeldtvej 179
6776 Tappernøje"
"Nina Nilsson","Augustavej 4
9941 Knebel"
"Ørni Henriksen","Spangbergsvej 95
9826 Nørre Alslev"
"Hannah Nørgaard","Herlufsholmgade 783
8637 Helsingør"
"Abelone Jørgensen","Tipsagervej 65
3598 Vejstrup"
"Winnie Mathiasen","Bornholmsvej 84
9649 Hårlev"
"Simone Jacobsen","Lemberg Allé 117
3686 Gedved"
"Aksel Friis","Krokodillestræde 556
8074 Svendborg"
"Fru Yda Clausen","Bellahøjstræde 7
7923 Århus"
"Gertrud Hermansen","Kastrupgade 18
5739 Munkebo"
"Christian Kristoffersen-Christiansen","Kanonbådsvej 139
6413 Haderup"
"Jan Jespersen","Ålborgvej 9
4785 Tjele"
"Joan Brandt","Basnæsgade 9
5181 Birkerød"
"Agnes Søndergaard","Gyldenrisgade 3
7447 Tranbjerg J"
"Ulrik Holm","Glückstadtsgade 356
6241 Fjerritslev"
"Gyda Eriksen","Skovløberstræde 895
5113 Guldborg"
"Prof. Tom Pedersen","Korsagervej 84
1029 Hornsyld"
"Ulrike Skov","Harboøre Allé 13
5745 Humlebæk"
"Fru Tammy Møller","Christen Bergsgade 495
5689 Skærbæk"
"Gitte Lind","Glückstadtsgade 435
9850 Mørkøv"
"Prof. Benjamin Schmidt","Woltersgade 163
4615 Anholt"
"Nicolaj Bach","Lotusvej 281
6034 Stouby"
"Agnete Søndergaard","Ellebjergvej 28
4108 Gadbjerg"
"Ruth Lauridsen","Snorresgade 507
8318 Hovedgård"
"Katja Lauritsen","Majrosevej 2
1931 Vesterborg"
"Jean Lauridsen","Castbergsvej 6
3961 Hagersten"
"Prof. Ritt Jacobsen","Houmanns Allé 86
9392 Hasselager"
"Robin Kristiansen","Hvidkløvervej 2
9000 Hagersten"
"Lennarth Jepsen","Mørkhøj Allé 5
4845 Hårlev"
"Gitte Nielsen-Mikkelsen","Mutzugade 64
2762 Virum"
"Kurt Jacobsen","Øster Voldgade 39
9920 Tølløse"
"Fru Kirsten Dam","Verasgade 146
9910 Borup"
"Gorm Lassen","Mimersvej 10
5810 Højby"
"Edith Larsen-Dahl","Bechgaardsstræde 1
7163 Sejerø"
"Dr. Nick Madsen","Voldmestervej 468
8744 Tistrup"
"Dr. Alex Bech","Odensevej 48
3270 Horslunde"
"Univ.Prof. Ove Schultz","Enghavegade 7
5406 Gislev"
"Rita Olesen","Henriksstræde 739
7536 Tisvildeleje"
"Fru Michala Andreasen","Store Kannikevej 43
5541 Guldborg"
"Grete Hermansen","Orlogsværftvej 8
4345 Sandved"
"Cathrine Kristiansen","Oldermands Allé 5
4852 Lemming"
"Laus Klausen","Boyesvej 3
9114 Skovlunde"
"Mille Holm","Hans Bogbindersgade 60
2524 Løsning"
"Isabella Dahl","Lundtoftestræde 1
5157 Brenderup"
"Paula Berg","Christiansmindevej 52
2913 Klampenborg"
"Tonny Krogh","Gunløgsgade 8
5555 Mesinge"
"Univ.Prof. Majken Kjeldsen","Ærtelands Allé 8
9493 Ringkøbing"
"Merete Hansen","Ragnhildvej 105
8488 Bogø By"
"Børge Jepsen","Herbergenstræde 617
3200 Bøvlingbjerg"
"Grete Overgaard","Tårnblæservej 8
6516 Haslev"
"Jean Laursen","Viborgvej 4
1751 Hillerød"
"Marlene Larsen","Linde Allé 8
2823 Klarup"
"Dr. Lene Henriksen","Galionsgade 57
3620 Holstebro"
"Prof. Camilla Berg","Lyrskovstræde 694
6189 Tylstrup"
"Steen Madsen","Møntmester Allé 18
6379 Viby Sjælland"
"Mathias Jensen","Lille Kirke Allé 11
2233 Errindlev"
"Eric Thygesen","Asminderødgade 25
4176 Slangerup"
"Vagn Karlsen-Jacobsen","Mantua Allé 2
3037 Kastrup"
"Univ.Prof. Peder Krogh","Sundbygårdsvej 114
3154 Jyderup"
"Grete Østergaard","Mullerupvej 41
4954 Nykøbing F"
"Univ.Prof. Winni Olesen","Luftmarinevej 76
8277 Støvring"
"Hr John Mathiesen","Fensmarkvej 1
3834 Vils"
"Ronnie Henriksen","Karlskronavej 49
2710 Blommenslyst"
"Lucas Bruun","Syvensgade 3
2413 Fredericia"
"Simon Kristoffersen","Brønshøj Kirkestræde 1
1092 Tilst"
"Dr. Laus Mathiesen","Agerlandsstræde 96
2429 Gørding"
"Fru Maria Thygesen","Rubinsteinsgade 3
4738 Blommenslyst"
"Bjarne Knudsen","Glænøvej 693
6768 Ringsted"
"Univ.Prof. Tage Pedersen","Løjtegårdsgade 49
6994 Føvling"
"Grethe Bach","Hindegade 452
7421 Ishøj"
"Prof. Kim Møller","Nordregade 1
9224 Aulum"
"Anton Østergaard","Vilhelm Thomsens Allé 5
7519 Galten"
"Dr. Carsten Bech","Gørtlergade 31
4640 Bagsværd"
"Iver Olesen","Siamvej 269
7236 Rynkeby"
"Univ.Prof. Sille Svendsen","Gammel Køge Landevej 18
1911 Daugård"
"Victoria Christensen","Kronprinsensgade 5
4561 Hårlev"
"Prof. Hanne Brandt","Tøjhus Allé 2
2224 Læsø"
"Tilde Kristensen-Henriksen","Gadekærgade 959
3658 Nørre Aaby"
"Dr. Katrine Paulsen","Stratfordvej 816
6967 Bolderslev"
"Grethe Friis-Paulsen","Udbyvej 369
9301 Auning"
"Birger Laursen","Lyonvej 73
7465 Blokhus"
"Ida Mortensen-Lind","Silkevej 1
4431 Frøstrup"
"Vera Koch","Sølvvej 9
8943 Slagelse"
"Dr. Paulina Berg","Ahlmannsvej 14
3220 Grindsted"
"Sabine Andreasen","Straussvej 918
9475 Haslev"
"Prof. Berta Rasmussen","Egelykke Allé 443
9206 Kjellerup"
"Magnus Svendsen","Emdrup Enggade 6
2692 Tjele"
"Marianne Thorsen","Bustrup Allé 47
5538 Årre"
"Inger Bruun","Hollandsvej 11
8308 Kvistgård"
"Grethe Gregersen-Kjær","Oceanvej 47
6120 Århus"
"Uffe Toft","Portugals Allé 987
7830 Ruds Vedby"
"Thomas Petersen","Krügers Allé 261
3829 Bredebro"
"Univ.Prof. Vivian Kristiansen","Kielvej 746
3599 Ørsted"
"Helle Jepsen","Carl Nielsensstræde 2
1159 Langeskov"
"Prof. Carl Rasmussen","Bøllegårdgade 22
2588 Hovedgård"
"Erling Nielsen","Bechgaardsgade 5
8178 Fårevejle"
"Philip Andreasen-Steffensen","Jordbærvej 6
7420 Valby"
"Mik Andersen","Korsagergade 722
2360 Hjallerup"
"Univ.Prof. Yvonne Kjær","Halsskovgade 1
8767 Lille Skensved"
"Grethe Kristiansen","Serridslev Allé 654
2042 Børkop"
"Prof. Benjamin Jessen","Havkajakgade 42
5936 Almind"
"Dr. Klavs Hermansen","Kildevældsvej 290
8453 Jordrup"
"Merete Poulsen-Simonsen","Arabiens Allé 6
7559 Vils"
"Univ.Prof. Maja Koch","Magdelonestræde 99
5473 Vodskov"
"Inga Jeppesen-Jensen","Vestervigvej 351
2951 Svinninge"
"Univ.Prof. Ulrik Bruun","Hammelstrupgade 58
5641 Silkeborg"
"Kenn Christoffersen-Holm","Eckersbergsgade 39
8315 Tim"
"Prof. Jonna Svendsen","Nyropsgade 97
7165 Låsby"
"Prof. Johnny Vestergaard","Ansgarsgade 7
2982 Broager"
"Grethe Mortensen","Marstalsstræde 451
8121 Tommerup"
"Prof. Freja Klausen","Dyvekesvej 94
4147 Ansager"
"Åbjørn Krogh","Vesterbrogade 491
7397 Asaa"
"Dr. Claus Hermansen","Lidemarksvej 70
4004 Skodsborg"
"Prof. Josefine Gregersen","Bygmestervej 5
1549 Hedehusene"
"Dr. Peder Jørgensen","Tranevej 915
8047 Guldborg"
"Univ.Prof. Marianne Overgaard","Lemberg Allé 4
9529 Tylstrup"
"Alvin Christiansen","Kaprifoliegade 63
3025 Slagelse"
"Tanja Lauridsen","Kjeldsgårdsvej 2
6964 Vesløs"
"Merethe Ravn","Sørupvej 34
6389 Nyborg"
"Grethe Møller","Eskjærstræde 98
2141 Tommerup"
"Alex Klausen","Mimosavej 56
5739 Hasle"
"August Lassen","Tagensgade 872
6937 Svaneke"
"Doris Jacobsen","Slusegade 382
5395 Klippinge"
"Marie Krogh-Dahl","Riga Allé 3
7444 Hornslet"
"Prof. Tammy Winther","Abrikosgade 6
6468 Brabrand"
"Esmarelda Kristiansen","Kongsted Allé 8
7424 Frederikshavn"
"Mathilde Larsen-Johansen","Kronprinsensvej 71
6833 Skive"
"Nina Mortensen","Klitmøllervej 70
7181 Hasle"
"Jonna Bruun","Skolegade 272
5118 Mørke"
"Gundhild Carlsen-Jeppesen","Zinns Allé 5
9032 Farum"
"Univ.Prof. Søren Toft","Sverrigsvej 299
5844 Gedser"
"Robin Frederiksen","Knivholt Allé 87
9277 Frederikssund"
"Villads Krogh","Reberbanevej 22
8418 Måløv"
"Casper Bach","Tulipanvej 1
9272 Aulum"
"Sofie Nielsen-Madsen","Bilbaogade 62
2083 Helsingør"
"Dr. Bodil Larsen","Løvetandsvej 88
9886 Horbelev"
"Fru Jasmin Gregersen","Danneskiold-Samsøesgade 3
1585 Assens"
"Fru Emily Holm","Bisiddervej 4
9634 Stakroge"
"Jon Kristoffersen","Sixtusvej 9
9659 Ærøskøbing"
"Gundhild Gregersen","Albaniensgade 866
1339 Hørning"
"Åge Johansen","Tøndebindervej 932
2102 Østermarie"
"Bobby Bertelsen","Ydunsgade 467
9055 Åbyhøj"
"Ivan Frederiksen-Iversen","Stratfordgade 2
5644 Rønne"
"David Holm","Galionsvej 103
4208 Mesinge"
"Prof. Åge Lauridsen","Rørsangerstræde 2
6792 Lynge"
"Fru Nadia Krogh","Bardenflethsvej 94
9520 Tim"
"Nikolaj Poulsen","Ulrik Birchsvej 357
2437 Nørre Nebel"
"Maren Mathiesen","Åkandestræde 85
4797 Gislinge"
"Tilde Jensen-Toft","Sokkelundsvej 8
9132 Læsø"
"Gundhild Gregersen","Bygholmvej 906
7051 Gjerlev"
"Emilie Olesen-Lind","Javagade 1
8492 Herfølge"
"Hr Ivan Karlsen","Jupiter Allé 1
2057 Silkeborg"
"Dr. Casper Kristoffersen","Tornebuskestræde 952
6082 Spøttrup"
"Joachim Frandsen","Storegårdsvej 497
1154 Gørlev"
"Kenneth Danielsen","Rindbystræde 641
1433 Strøby"
"Alexander Holst","Per Henrik Lingsvej 45
7257 Gilleleje"
"Fru Andrea Knudsen","Containerstræde 93
2330 Fredensborg"
"Julie Andreasen-Søndergaard","Dybendalsvej 86
1676 Bevtoft"
"Aksel Lauridsen","Norgesvej 713
9595 Vestervig"
"Gundhild Laursen-Thygesen","Gulkløverstræde 1
9152 Harboøre"
"Hr Iver Jacobsen","Hellasvej 7
4823 Brabrand"
"Frode Lauridsen","Trapsstræde 26
7036 Bredebro"
"Prof. Britt Kristiansen","Nyrnberggade 897
3818 Stege"
"Selma Frandsen","Nordre Allé 706
1088 Assens"
"Prof. Joakim Iversen","Njalsvej 91
8945 Helsinge"
"Univ.Prof. Herdis Toft","Guldbergsvej 683
5581 Eskebjerg"
"Dr. Tobias Larsen","Sixtusgade 844
9267 Årslev"
"Prof. Benedicte Knudsen","Tårnblæservej 176
3118 Frederiksværk"
"Birgit Christiansen","Meklenborgvej 49
5056 Fårup"
"Gundhild Schmidt","Nybogade 2
2839 Vemmelev"
"Ronja Jørgensen","Støbegodsgade 38
6768 Randbøl"
"Oda Frederiksen-Steffensen","Møntmesterstræde 53
1926 Malling"
"Dr. Yan Berg","Hyacintstræde 709
4993 Vrå"
"Olivia Østergaard","Helsingborgvej 7
5660 Bredebro"
"Prof. Michelle Kristiansen","Elselillevej 6
3684 Føllenslev"
"Univ.Prof. Benny Danielsen","Trojavej 39
5258 Østbirk"
"Kirstin Berg","Prinsessestræde 1
3596 Ans by"
"Christine Klausen","Randbølvej 6
1790 Bylderup-Bov"
"Frans Brandt","Fåborgstræde 3
5541 Hinnerup"
"Gundhild Schou","Milanostræde 25
6960 Snertinge"
"Naja Mogensen","Torfavej 6
1734 Store Merløse"
"Selma Eriksen","Portugalsstræde 78
1231 Øster Ulslev"
"Fru Thea Mathiasen","Mindstrupstræde 9
3876 Vildbjerg"
"Ester Lund","Toftagervej 49
4699 Tylstrup"
"Dr. Jonna Nilsson","Blågårdsstræde 74
3564 Ansager"
"Dr. Silas Bruun","Spaniens Allé 4
5168 Hundested"
"Mik Laursen-Hermansen","Rigavej 486
6092 Kjellerup"
"Jesper Nielsen","Herholdtsvej 5
5833 Ribe"
"Morten Sørensen","Gamle Vasbyvej 4
5983 Humble"
"Gundhild Thomsen-Simonsen","Rothesvej 207
7956 Hovborg"
"Thomas Schou","Dunkerquestræde 852
5704 Ølstykke"
"Yasmin Laursen","Klostervej 85
2255 Skanderborg"
"Ib Clausen-Petersen","Bådsmandsvej 345
7633 Smørum"
"Univ.Prof. Britta Knudsen","Livornovej 4
8816 Tjele"
"Jacobine Frandsen","Händelsgade 575
9005 Asnæs"
"Zahra Johansen","Stokhusgade 49
8474 Melby"
"Prof. Einar Andresen","Wibrandtsgade 98
6873 Ærøskøbing"
"Helge Iversen-Schmidt","Frankrigsgade 939
3778 Rask Mølle"
"Univ.Prof. Vagn Thomsen","Sorrentovej 6
8701 Ærøskøbing"
"Gundhild Thorsen","Gråbrødrevej 15
4162 Kirke Eskilstrup"
"Freddy Simonsen","Judithsstræde 17
8723 Padborg"
"Dorte Iversen","Blågårdsgade 76
4893 Nørre Aaby"
"Katcha Frandsen","Bøhmens Allé 53
3790 Vejby"
"Jytte Andreasen","Risbyholm Allé 18
2438 Vallensbæk"
"Jack Holm","Summerredvej 8
9846 Sejerø"
"Sussie Klausen-Bach","Hørhus Allé 743
2399 Nørager"
"Prof. Solveig Svendsen","Cumberlandsvej 114
1930 Sjølund"
"Fru Katja Thorsen","Dønnerupvej 20
5571 Stege"
"Gertrud Kristiansen-Olsen","Olymposvej 110
9421 Vemmelev"
"Gunhild Simonsen-Hermansen","Kæragervej 27
3512 Brædstrup"
"Jeppe Krogh","Store Strandstræde 980
7226 Højby"
"Freddy Christiansen","Sumatragade 32
2524 Melby"
"Ragner Kjær-Nissen","Hjørringgade 3
6421 Faaborg"
"Tove Vestergaard-Bruun","Bøllegårdgade 2
4274 Nysted"
"Fru Annette Henriksen","Høgholtvej 27
4195 Munkebo"
"Vagn Schou","Hjortholmsvej 695
1376 Gandrup"
"Nils Friis","Mandalsgade 13
7730 Ejstrupholm"
"Oscar Andreasen","Østergade 718
2690 Rødekro"
"Einer Andreasen-Dahl","Billedgade 22
6916 Hørning"
"Gunhild Steffensen","Bispebjerggade 1
8615 Vejstrup"
"Leif Nørgaard-Sørensen","Refsnæsvej 585
3027 Ringsted"
"Inger Pedersen","Godsbanestræde 49
6393 Lundby"
"Ken Holm","Pommernsgade 42
8371 Hårlev"
"Univ.Prof. Richardt Simonsen","Sølvvej 93
1489 Gudhjem"
"Dr. Claus Toft","Glückstadtsvej 93
8598 Nørre Aaby"
"Agnes Vestergaard","Floridastræde 7
7729 Sabro"
"Else Lauridsen","Laplandsvej 917
4888 Årslev"
"Mike Bruun","Bellmans Allé 295
4347 Solrød Strand"
"Dr. Christopher Iversen","Cork Allé 95
1814 Roslev"
"Gunnar Christensen","Bådehavnsgade 799
5514 Hovborg"
"Natasha Christoffersen-Kristoffersen","Femkløvergade 7
7771 Kværndrup"
"Annemette Dahl","Skovharegade 65
5348 Ulfborg"
"Univ.Prof. Cirkeline Nielsen","Torfastræde 9
5828 Horsens"
"Robin Vestergaard","Mandelvej 14
5106 Bjæverskov"
"Zehnia Jakobsen","Rubinolavej 340
3665 Fakse"
"Carsten Schultz","Perlestikkervej 93
2858 Bredsten"
"Signe Jakobsen","Ætna Allé 625
4606 Asaa"
"Dr. Zacharias Eriksen","Breidablik Allé 5
3055 Storvorde"
"Sine Danielsen","Stenkløvervej 7
4479 Ølstykke"
"Gunnar Holst","Nørretoftevej 549
6148 Juelsminde"
"Marcus Bach","Kongsdalgade 33
3564 Fejø"
"Frederikke Clausen-Karlsen","Retortvej 3
1118 Grevinge"
"Fru Sophie Thygesen","Smedevej 16
4176 Karlslunde"
"Robert Pedersen","Skaffer Allé 9
2642 Hampen"
"Bo Gregersen-Mortensen","Fiskedamsgade 3
6373 Kastrup"
"Line Schmidt","Tølløse Allé 62
3144 Skals"
"Kristian Andreasen-Jespersen","Tulipanvej 516
3150 Vildbjerg"
"Elin Kristensen","Bulbjergstræde 80
8932 Næstved"
"Brian Andreasen","Brønshøj Kirkevej 7
8100 Vejers Strand"
"Gunnar Knudsen","Woltersgade 2
4004 Humlebæk"
"Uffe Andresen","Vatnavej 3
1769 Bogense"
"Joachim Christoffersen","Bryggeri Allé 5
6366 Slagelse"
"Univ.Prof. William Toft","Hobrovej 6
2714 Kettinge"
"Agnete Rasmussen-Schou","Firkløvergade 95
4863 Haderup"
