"Aage Christiansen"	"Vognmagervej 581
9515 Flemming" 
"Fru Emily Toft"	"Gyritevej 1
5805 Hampen"
"Sonja Poulsen"	"Vejrøvej 10
5232 Vallensbæk"
"Frank Steffensen"	"Veksøvej 91
8941 Blokhus"
"Dr. Nanni Clausen"	"Skovløbervej 315
3646 Jyderup"
"Elna Iversen"	"Isted Allé 901
4492 Bælum"
"Dr. Bobby Pedersen"	"Collinsgade 546
7636 Munkebo"
"Birger Holm-Olsen"	"Nybrovej 2
4949 Hampen"
"Agnete Olsen"	"Øresundsvej 5
8373 Beder"
"Malou Lassen-Kjeldsen"	"Stenrosevej 95
2344 Harboøre"
"Univ.Prof. Sigrid Dahl"	"Kongogade 179
3183 Horsens"
"Prof. Åge Koch"	"Torvegade 6
2900 Tistrup"
"Ludvig Dam"	"Mysundevej 83
1365 Gedser"
"Maya Overgaard"	"Brolæggergade 175
9241 Ålsgårde"
"Nete Svendsen"	"Tøndervej 376
8759 Jelling"
"Else Danielsen"	"Marmor Allé 4
8924 Bedsted Thy"
"Paulina Ravn"	"Nansensvej 7
4824 Errindlev"
"Birger Jeppesen"	"Küchlersgade 8
8867 Rørvig"
"Dr. Christina Hermansen"	"Montagehalsvej 778
1711 Holbæk"
"Univ.Prof. Ron Friis"	"Uglevej 9
1756 Tårs"
"Øivind Lauridsen"	"Jernæblegade 71
9184 Gørlev"
"Niels Østergaard-Toft"	"Engelholmvej 721
9746 Jerslev"
"Univ.Prof. Oskar Bruun"	"Hyltebjerg Allé 57
7456 Ikast"
"Dr. Nanna Pedersen"	"Orgelbyggergade 5
6663 Munke Bjergby"
"Bjarne Mortensen-Thomsen"	"Brønshøjgårdvej 198
6418 Horsens"
"Univ.Prof. Dorthe Olesen"	"Straussvej 201
9734 Tølløse"
"Hr Casper Nørgaard"	"Malta Allé 3
6416 Hornsyld"
"Birger Koch"	"Gyrstingestræde 4
4631 Balle"
"Anders Mortensen-Bruun"	"Hyacintvej 27
4249 Rømø"
"August Rasmussen-Overgaard"	"Toftøjevej 6
9218 Hedensted"
"Annemette Bech"	"Løgæblestræde 3
8510 Lystrup"
"Kirstin Jensen"	"Emdrup Enggade 3
5957 Fredericia"
"Dr. Selma Nørgaard"	"Vangsvej 273
1104 Hovedgård"
"Mark Kjær"	"Absalonsvej 7
6079 Guldborg"
"Jannie Bertelsen"	"Rørmosegade 401
9090 Hornbæk"
"Dorthe Kjær"	"Masnedøgade 66
5319 Knebel"
"Univ.Prof. Inge Winther"	"Webersgade 757
6843 Farsø"
"Birger Mortensen"	"Skoubogade 41
2618 Munkebo"
"Astrid Lassen-Nilsson"	"Ullerupvej 3
5909 Asperup"
"Jens Pedersen"	"Trekløvervej 552
1885 Rønde"
"Arne Gregersen-Holst"	"Frejasvej 6
7638 Gadbjerg"
"Dr. Signe Laursen"	"Hindustan Allé 212
3497 Holstebro"
"Iben Kjær-Berg"	"Borgskrivergade 4
8806 Hundslund"
"Univ.Prof. Susanne Petersen"	"Tjørnelundsvej 95
1458 Ølstykke"
"Ronni Bech"	"Griffenfeldsgade 47
1296 Vestervig"
"Prof. Rita Karlsen"	"Rosenvængets Hovedvej 992
7763 Nibe"
"Prof. Karoline Berg"	"Hjortøgade 5
4361 Bagsværd"
"Birger Winther"	"Billedvej 8
3500 Strandby"
"Dr. Tage Holm"	"Ølandsvej 42
4319 Fårup"
"Dr. Jarl Klausen"	"Musvågevej 58
7964 Snertinge"
"Sophie Thygesen"	"Rismosegade 821
4951 Aakirkeby"
"Patricia Lassen"	"Eschrichtsvej 76
9456 Farsø"
"Prof. Elias Winther"	"Hareskovvej 703
4513 Vrå"
"Univ.Prof. Jonathan Knudsen"	"Elstarvej 9
4858 Dybvad"
"Dr. Søren Mathiesen"	"Stavnstrupvej 7
8795 Gråsten"
"Jakob Holst"	"Ærtebjerg Allé 49
5446 Kjellerup"
"Trine Henriksen"	"Sejlklubvej 265
7542 Fakse Ladeplads"
"Birgit Thorsen"	"Tikøbvej 991
4135 Vallensbæk"
"Nicoline Mathiasen-Mathiasen"	"Nordrupgade 76
4318 Ranum"
"Nicoline Hansen-Jensen"	"Oldfuxvej 9
5671 Frederikshavn"
"Josefine Lassen-Kjeldsen"	"Nyborggade 31
1169 Jægerspris"
"Klavs Mathiasen-Danielsen"	"Prøvestensgade 839
6095 Stenlille"
"Emma Iversen"	"Siljangade 796
2929 Skjern"
"Dr. Margit Carlsen"	"Ulvefodvej 556
8390 Borup"
"Abelone Clausen"	"Palermovej 158
3015 Langebæk"
"Matthias Madsen-Kjeldsen"	"Orgelbyggervej 81
7690 Lemming"
"Winnie Kristiansen"	"Gyldenløvesstræde 62
7114 Grenaa"
"Birgitte Christensen"	"Küchlersvej 240
6659 Vestbjerg"
"Alex Nilsson-Johansen"	"Oldfuxstræde 78
5781 Skibby"
"Nadia Jacobsen"	"Trekløvergade 882
4154 Them"
"Viola Andresen-Dahl"	"Tigergade 77
6583 Randers"
"Univ.Prof. Herdis Svendsen"	"Bodilsgade 54
2730 Bording"
"Anne Eriksen-Nilsson"	"Moldaugade 94
3862 Blokhus"
"Bo Mikkelsen"	"Svogerslevstræde 60
7696 Store Merløse"
"Elsebeth Frederiksen"	"Tryggevældevej 827
2141 Ebberup"
"August Schmidt"	"Gyvelgade 659
7659 Gørding"
"Kenn Toft"	"Istanbulvej 988
8297 Spøttrup"
"Birgitte Thorsen"	"Tuelandsvej 176
4325 Kirke Hyllinge"
"Prof. Nick Overgaard"	"Magistervej 12
6934 Vejle Øst"
"Prof. August Nissen"	"Moldauvej 72
1904 Humlebæk"
"Simon Olsen"	"Askøgade 497
6032 Hørve"
"Marcus Jepsen"	"Ærtelandsvej 667
8829 Thyholm"
"Dr. Josefine Petersen"	"Timians Allé 7
5029 Kibæk"
"Prof. Asger Gregersen"	"Cæcilia Allé 380
6456 Gislinge"
"Dr. Johannes Vestergaard"	"Landsdommergade 2
1966 Thyborøn"
"Dr. Nicoline Madsen"	"Provstevej 45
1491 Lemming"
"Dr. Nete Mortensen"	"Clematisvej 79
7937 Låsby"
"Birte Holst"	"Merløsevej 1
6236 Herlufmagle"
"Asger Madsen"	"Kæragervej 655
3281 Ølgod"
"Hr Curt Nørgaard"	"Slusegade 7
2791 Klarup"
"Mia Jørgensen"	"Torfa Allé 1
5107 Varde"
"Dr. Kirstin Jakobsen"	"Støvringvej 95
5036 Tappernøje"
"Fru Gerda Svendsen"	"Gimlesgade 9
6797 Ry"
"Amanda Jeppesen-Olesen"	"Fabrikmestergade 4
3224 Lemming"
"Oskar Kristensen"	"Grønnestræde 5
9996 Tommerup"
"Kent Ravn"	"Århusgade 546
8158 Gadstrup"
"Mimi Andersen"	"Margretheholmsvej 30
5307 Skødstrup"
"Birte Jacobsen"	"Lille Allé 99
8582 Sandved"
"Fru Bente Johnsen"	"Ekvipagemester Allé 7
2875 Kokkedal"
"Sophie Kristensen-Madsen"	"Voldmester Allé 188
5654 Ålbæk"
"Martin Kristoffersen"	"Nøjsomhedsvej 90
8388 Vejen"
"Prof. Selma Svendsen"	"Helikonsvej 67
2197 Nørre Nebel"
"Hr Morten Jensen"	"Saxovej 2
2834 Hvalsø"
"Carla Hansen"	"Rødtjørnegade 914
1408 Malling"
"Olivia Laursen"	"Heldbovej 31
4618 Hvide Sande"
"Winnie Karlsen"	"Vendsysselvej 94
6971 Stege"
"Ruben Møller"	"Margretheholmsgade 2
6519 Hørsholm"
"Birte Svendsen"	"Aggersborgvej 1
2755 Helsingør"
"Zehnia Jensen"	"Fehmernsvej 93
5274 Hemmet"
"Dr. Catrine Rasmussen"	"Hobrovej 310
6267 Snedsted"
"Henriette Thomsen"	"Sommerstedstræde 3
4258 Fuglebjerg"
"Elsebeth Lind-Christensen"	"Sundholmsstræde 13
5553 Ølgod"
"Mette Jeppesen-Olsen"	"Væver Allé 3
7445 Højslev"
"Tom Eriksen"	"Portugalsvej 4
5739 Hjortshøj"
"Eric Iversen"	"Java Allé 83
6770 Gedved"
"Bo Iversen-Olesen"	"Store Kirkevej 85
8318 Ørbæk"
"Univ.Prof. Hanne Henriksen"	"Pakhusvej 62
9378 Vejen"
"Birte Thomsen"	"Langkærvej 653
7894 Tølløse"
"Tim Mikkelsen"	"Lybæk Allé 397
7794 Dianalund"
"Søs Karlsen"	"Elværksvej 9
9507 Hals"
"Jørgen Jakobsen"	"Østrigsgade 26
8991 Kirke Såby"
"Mathilde Kristensen"	"Hyskenvej 9
6437 Høng"
"Aksel Knudsen"	"Adelvej 79
5162 Vejstrup"
"Bobby Kristiansen-Jørgensen"	"Annebergvej 23
5353 Ørsted"
"Sille Mogensen-Eriksen"	"Morbærgade 7
2279 Søndersø"
"Mike Schmidt"	"Høsterkøb Allé 544
5241 Anholt"
"Line Bertelsen"	"Hjertensfrydsgade 1
6048 Skibby"
"Birte Østergaard"	"Brynhildegade 963
6621 Herlufmagle"
"Ruben Toft-Dahl"	"Harwichvej 2
1946 Vissenbjerg"
"Åbjørn Dam"	"Hermodsvej 21
4008 Bedsted Thy"
"Verner Andresen"	"Amalie Allé 14
4053 Gråsten"
"Dr. Jonathan Madsen"	"Vejlandsvej 681
9693 Nykøbing F"
"Prof. Sonja Mathiesen"	"Overdrevsvej 313
5529 Tølløse"
"Nikolai Simonsen"	"Torfa Allé 52
1665 Gram"
"Agnete Skov"	"Teglværks Allé 154
7842 Grenaa"
"Sten Paulsen"	"Palævej 780
1273 Fredensborg"
"August Rasmussen"	"Vævervej 36
6600 Mørke"
"Birthe Andresen"	"Tuelands Allé 27
4658 Dalby"
"Bertil Jacobsen"	"Gladbogade 5
5527 Kruså"
"Tim Danielsen"	"Vendsysselgade 919
1913 Hemmet"
"Fru Marianne Petersen"	"Adel Allé 62
8361 Marstal"
"Fru Julie Lund"	"Mantuagade 15
7042 Skovlunde"
"Vivian Dam"	"Stadilvej 285
7436 Gedsted"
"Margit Johnsen"	"Takkelloftvej 4
3099 Vesløs"
"Univ.Prof. Einer Svendsen"	"Vasbystræde 29
9462 Hinnerup"
"Sigrid Overgaard"	"Antonivej 2
5241 Taastrup"
"Dr. Marie Lassen"	"Jerichausvej 729
4816 Nykøbing F"
"Birthe Bech"	"Rønnevej 76
8181 Åbyhøj"
"Andrea Winther-Kristensen"	"Løgstørstræde 677
7998 Herlev"
"Univ.Prof. Herbert Danielsen"	"Florensvej 828
5489 Otterup"
"Prof. Kristian Holm"	"Prinsessestræde 636
3368 Lunderskov"
"Marcus Pedersen"	"Nøjsomheds Allé 457
8440 Maribo"
"Univ.Prof. Sine Dahl"	"Rubinsteinsgade 4
5755 Højslev"
"Sonny Karlsen"	"Trepkas Allé 727
3079 Mariager"
"Hr Kenny Møller"	"Hjortøvej 2
1904 Randers"
"Lærke Lind"	"Irmingersvej 3
3973 Ringe"
"Carl Iversen"	"Brigårdenvej 754
6207 Stenlille"
"Birthe Jakobsen-Kristensen"	"Florasvej 56
7223 Spjald"
"Malene Madsen-Holm"	"Sverrigsgade 306
8562 Kongens Lyngby"
"Fru Odette Clausen"	"Trekronergade 73
2478 Assens"
"Noah Larsen-Andresen"	"Dønnerupgade 12
9122 Harndrup"
"Peter Karlsen-Karlsen"	"Fuglager Allé 2
5742 Bogense"
"Hr Arne Henriksen"	"Schacksvej 750
4606 Løgstrup"
"Prof. Ziggy Nilsson"	"Vangsvej 24
4516 Bryrup"
"Frede Winther"	"Valnøddevej 729
1209 Skive"
"Alf Svendsen"	"Fossgårdsvej 9
3791 Vamdrup"
"Robert Lauritsen-Schmidt"	"Hyacintstræde 4
1330 Tarm"
"Birthe Pedersen"	"Hallins Allé 8
6093 København"
"Frank Dam"	"Blågårdsvej 4
4729 Kirke Såby"
"Jacobine Brandt"	"Bryssel Allé 885
3373 Havndal"
"Caroline Friis"	"Kejser Allé 834
9738 Broby"
"Finn Nilsson"	"Moldaugade 95
4509 Ærøskøbing"
"Jim Simonsen"	"Upsalavej 4
4663 Føvling"
"Univ.Prof. Ingrid Kristiansen"	"Offenbachsvej 154
6141 Juelsminde"
"Dr. Gertrud Lauritsen"	"Havnevej 89
7922 Fredensborg"
"Fru Janni Madsen"	"Oliemøllevej 756
1666 Sørvad"
"Allan Klausen-Svendsen"	"Laplandsgade 86
9880 Jystrup"
"Birthe Simonsen"	"Corkvej 487
4015 Taastrup"
"Gerda Sørensen"	"Mitchellsgade 580
2246 Esbjerg"
"Øystein Jespersen-Nilsson"	"Stormgade 370
4193 Marslev"
"Åge Jespersen"	"Hustoftevej 13
8635 Glesborg"
"Sonja Hermansen"	"Agerlandsgade 87
3144 Dalmose"
"Dr. Eric Mathiasen"	"Præstemarksvej 392
4978 Mesinge"
"Anton Christiansen"	"Stevns Allé 593
4498 Lemming"
"Margit Møller-Winther"	"Rosenholmsvej 5
2288 Vissenbjerg"
"Borris Berg"	"Signelilvej 8
7203 Skive"
"Josephine Andersen"	"Smålandsgade 4
4072 Grindsted"
"Bitten Frandsen"	"Iranstræde 83
6782 Thorsø"
"Esben Sørensen"	"Dublingade 285
9596 Almind"
"Zara Jessen-Krogh"	"Hulgårdsvej 25
2970 Vallensbæk Strand"
"Ruben Winther"	"Sorø Allé 7
9288 Løsning"
"Prof. Dan Dahl"	"Klerkevej 449
1343 Tørring"
"Ron Holm"	"Willumsgade 79
5285 Øster Vrå"
"Yasmin Klausen"	"Lykkebovej 12
8716 Tim"
"Univ.Prof. Kenn Iversen"	"Tønnesvej 5
3402 Daugård"
"Richard Berg"	"Morgenduggade 521
5325 Vrå"
"Dagny Lassen-Henriksen"	"Fuglsangvej 1
9884 Nyrup"
"Bitten Jepsen"	"Vognmagervej 8
5654 Nexø"
"Benny Bertelsen-Thygesen"	"Smålandsvej 212
7183 Klampenborg"
"Dan Søndergaard"	"Veronastræde 4
1851 Åbyhøj"
"Zehnia Holm"	"Bryggerigade 59
4554 Dronningmølle"
"Magnus Jepsen-Christensen"	"Titanstræde 278
5961 Tranekær"
"Steve Knudsen-Vestergaard"	"Siciliensgade 1
4101 Mørkøv"
"Prof. Kirstin Mortensen"	"Tromsøgade 4
9847 Læsø"
"Joakim Vestergaard-Frederiksen"	"Jyderupvej 69
8869 Bryrup"
"Fru Maiken Laursen"	"Kvintusvej 538
5220 Tilst"
"Birthe Krogh-Poulsen"	"Langebrovej 937
4635 Ringsted"
"Bitten Jørgensen-Bruun"	"Holbergsvej 37
6464 Ringkøbing"
"Hr Kåre Svendsen"	"Gulkløvervej 26
1094 Flemming"
"Univ.Prof. Dorthe Koch"	"Vulkanvej 61
5567 Skjern"
"Winni Holst-Danielsen"	"Amagerfælledstræde 572
6686 Otterup"
"Marius Friis"	"Kapsel Allé 31
2712 Hundested"
"Univ.Prof. Nicolai Mikkelsen"	"Tustrupstræde 350
4476 Roslev"
"Tonny Dam"	"Eckersbergsvej 79
9602 Helsingør"
"Lasse Kjeldsen-Pedersen"	"Vester Sø Allé 4
9203 Solbjerg"
"Marius Dam-Dahl"	"Brofogedgade 33
6150 Hårlev"
"Ragna Jakobsen"	"Haydnsvej 494
6770 Auning"
"Bitten Laursen"	"Søndre Allé 5
1910 Østermarie"
"Ellen Rasmussen"	"Reventlows Allé 69
9186 Slagelse"
"Dr. Kirstin Østergaard"	"Agnetevej 849
2279 Egtved"
"Jacob Olesen"	"Murmanskgade 3
2170 Ryslinge"
"Karla Knudsen"	"Borups Allé 6
2719 Spjald"
"Dr. Ronni Mikkelsen"	"Hansstedgade 502
3682 Lynge"
"Niels Johansen"	"Børglumgade 302
5325 Nykøbing Sj"
"Benny Thygesen"	"Kasematvej 6
6610 Vejby"
"Solvej Lauritsen-Holm"	"Rantzausgade 64
7580 Åbyhøj"
"Fru Sonja Vestergaard"	"Grysgårds Allé 288
8314 Slangerup"
"Bjarne Kristiansen"	"Toftagergade 783
7859 Tappernøje"
"Fru Elin Bach"	"Clematis Allé 7
3404 Kolind"
"Rasmus Kristensen"	"Lobeliavej 7
3390 Ryomgård"
"Ziggy Andreasen-Schou"	"Fehmernsvej 4
4126 Tølløse"
"René Friis"	"Amerikavej 9
2887 Ørnhøj"
"Øvli Schmidt"	"Ferskenvej 4
8431 Skærbæk"
"Univ.Prof. Nora Kristiansen"	"Carstensvej 972
8252 Vordingborg"
"Palle Madsen"	"Saltø Allé 7
3924 Hals"
"Herbert Steffensen"	"Montagnegade 52
3221 Rungsted Kyst"
"Jarl Paulsen"	"Kaalundsvej 24
4921 Bogense"
"Bo Lauritsen"	"Arendalsgade 4
2144 Bindslev"
"Preben Larsen"	"Nikolajvej 763
7797 Nykøbing F"
"Tanja Ravn-Mathiesen"	"Risagervej 1
8302 Otterup"
"Peter Schultz"	"Hans Bogbindersvej 424
7498 Videbæk"
"Mette Sørensen"	"Møgeltøndervej 55
7555 Sabro"
"Fru Sanne Simonsen"	"Enighedsstræde 981
9118 Augustenborg"
"Prof. Ronni Nilsson"	"Fuglefængervej 72
7973 Vojens"
"Prof. Danny Søndergaard"	"Jansvej 472
5371 Birkerød"
"Justina Iversen"	"Kattegat Allé 179
3092 Marstal"
"Bobby Danielsen"	"Blytækkergade 844
1227 Østbirk"
"Bo Thygesen"	"Gefionsgade 3
9900 Hørning"
"Claus Petersen"	"Rahbeksstræde 805
2000 Esbjerg"
"Tanja Schultz"	"Saltøstræde 154
2834 Nykøbing Sj"
"Silas Berg"	"Skipper Clementsvej 861
1530 Dalby"
"Hr Bertil Steffensen"	"Bustrupvej 780
1640 Vonge"
"Maiken Ravn"	"Sofienhøjstræde 35
3447 Harlev"
"Esben Thorsen"	"Halfdansvej 14
7693 Hadsund"
"Lasse Mogensen"	"Åbakkegade 86
9021 Hvalsø"
"Nanna Toft"	"Asger Jorns Allé 763
4640 Sejerø"
"Joakim Madsen-Karlsen"	"Korinthvej 2
3715 Rudkøbing"
"Bob Karlsen-Christiansen"	"Lædergade 331
7297 Juelsminde"
"Frode Bech"	"Bissensgade 9
4050 Hejnsvig"
"Karen Andresen-Holst"	"Volosstræde 7
3695 Ferritslev Fyn"
"Richardt Johnsen"	"Vermundsvej 1
1535 Bredebro"
"Dr. Regitze Johansen"	"Florensvej 91
4714 Svaneke"
"Kim Iversen"	"Korsørgade 118
6241 Skærbæk"
"Astrid Jessen"	"Bergthorasstræde 94
2112 Fur"
"Selma Bruun"	"Hornemansvej 94
4256 Stokkemarke"
"Kenny Thomsen"	"Gasværksvej 135
1828 Ringkøbing"
"Richard Pedersen"	"Nørre Farimagsvej 77
3389 Skovlunde"
"Bob Lund"	"Stemannsgade 56
5387 Tistrup"
"Ulrike Nørgaard"	"Saltholmsstræde 70
5232 Munkebo"
"Kirstin Iversen"	"Telemarksgade 414
4988 Hesselager"
"Hr Frans Rasmussen"	"Sneppe Allé 71
1822 Glejbjerg"
"Britta Nielsen"	"Burgundyvej 945
3390 Hårlev"
"Dr. Bent Jeppesen"	"Fossgårdsvej 9
4810 Oure"
"Herbert Skov-Ravn"	"Oldfuxgade 2
4438 Rødvig Stevns"
"Bob Thygesen"	"Adelstræde 3
6112 Tjele"
"Johnnie Bach"	"Tårnblæserstræde 512
8090 Ryslinge"
"Torben Karlsen"	"Korfugade 68
6007 Billum"
"Bob Mathiesen-Frandsen"	"Arabiensgade 7
6463 Korsør"
"Jim Knudsen"	"Lyngholmvej 191
5001 Vandel"
"Paula Andersen"	"Skagerrakvej 67
7113 Hedensted"
"Univ.Prof. Øjvind Nørgaard"	"Olufsvej 1
8895 Hjørring"
"Hans Hansen"	"Sognefjordsvej 4
5506 Ishøj"
"Kristian Toft"	"Ærtelandsvej 11
1502 Randers"
"Casper Hermansen"	"Annexgade 93
6602 Vadum"
"Prof. Christina Henriksen"	"Mikkel Skovsvej 32
8713 Næstved"
"Univ.Prof. Margit Holst"	"Byglandsgade 82
5864 Hjortshøj"
"Joakim Schou"	"Valby Maskinfabriksgade 2
2617 Tim"
"Bob Rasmussen"	"Hejrestræde 8
3110 Eskebjerg"
"Michala Koch-Andreasen"	"Islevhusgade 7
7016 Jyllinge"
"Prof. Natasha Lind"	"Amagerbrovej 2
8255 Nexø"
"Benedicte Kristensen-Frandsen"	"Nebraskagade 921
2220 Sønderborg"
"Liva Kristensen"	"Titanvej 33
2272 Borup"
"Hr Tommy Mogensen"	"Lindenovsvej 9
9854 Dianalund"
"Jim Mikkelsen"	"Teglbrændervej 3
4471 Fakse Ladeplads"
"Univ.Prof. Martin Lassen"	"Pile Allé 9
3193 Saltum"
"Marie Bech"	"Wibrandtsstræde 92
4649 Christiansfeld"
"Per Berg"	"Kornblomstvej 499
5733 Bredebro"
"Bob Schmidt"	"Oceanvej 50
2809 Vejle Øst"
"Dr. Connie Paulsen"	"Frederikssundsvej 9
8650 Valby"
"Ulla Lauridsen"	"Overdrevsvej 221
8786 Langå"
"Esben Johnsen-Nørgaard"	"Kirkegårdsgade 756
2850 Vig"
"Signe Mathiasen-Berg"	"Højstrupvej 6
9590 Marstal"
"Ulf Holm"	"Florsvej 91
3815 Præstø"
"Zara Johansen"	"Fredensgade 319
8075 Næstved"
"Tilde Holst"	"Jægersborgvej 4
2233 Thyholm"
"Kåre Danielsen"	"Sommersted Allé 909
3445 Gørløse"
"Mike Winther"	"Tornebuskevej 886
5111 Sommersted"
"Bob Thygesen"	"Præstemarksstræde 59
1101 Holstebro"
"Elin Olesen"	"Hvidtjørnevej 24
2995 Stenstrup"
"Dr. Freja Holm"	"Skanderborggade 6
2051 Jægerspris"
"Fru Natasha Thomsen"	"Prinsessestræde 8
3330 Svaneke"
"Borris Gregersen-Schultz"	"Kilholmgade 48
6235 Ølsted"
"Naja Friis"	"Tværagervej 508
8079 Skjern"
"Rosa Andresen"	"Retortvej 527
2381 Ans by"
"Troels Pedersen"	"Pladehalsgade 19
9756 Hadsten"
"Bente Hermansen"	"Straussvej 85
2577 Idestrup"
"Prof. Leonora Sørensen"	"Thygade 636
2980 Bjerringbro"
"Bobby Dahl"	"Hjelms Allé 4
4194 Skørping"
"Mette Clausen"	"Danstrupstræde 4
9169 Rømø"
"Sarah Jepsen"	"Amagerbrostræde 19
8175 Nordborg"
"Sonny Hansen"	"Wittenberg Allé 1
4469 Lintrup"
"Univ.Prof. Ron Holst"	"Klerkegade 778
1960 Skørping"
"Alex Jessen"	"Bygmestervej 9
7731 Lem"
"Villads Thomsen-Schmidt"	"Slusevej 406
7570 Bryrup"
"Univ.Prof. Aage Krogh"	"Lyngholmvej 290
5511 Ryomgård"
"Dorthe Andreasen"	"Hustoftevej 7
3456 Nørager"
"Kurt Thygesen"	"Krusåvej 4
4531 Jerslev"
"Bobby Mathiasen"	"Ørholmstræde 8
6136 Gadbjerg"
"Malene Bertelsen"	"Hellebækvej 49
6199 Rude"
"Birgitte Bertelsen"	"Smålandsstræde 563
9350 Brørup"
"Birger Lassen"	"Skarø Allé 1
9682 Rynkeby"
"Paula Jakobsen"	"Korsørgade 76
8134 Bredsten"
"Karl Johansen"	"Tovværkgade 10
7138 Marstal"
"Hr Julius Schultz"	"Petersborggade 48
4429 Fakse Ladeplads"
"Gyda Paulsen-Hansen"	"Harrestrup Allé 997
7878 Føvling"
"Univ.Prof. Nils Poulsen"	"Valbygårdsvej 75
7944 Ansager"
"Jasmin Jespersen"	"Nordborgstræde 74
6853 Randbøl"
"Bobby Olsen-Thorsen"	"Ejler Billesstræde 37
7846 Blommenslyst"
"Thomas Lauritsen-Bech"	"Alexandriavej 797
6606 Aalestrup"
"Univ.Prof. Britt Sørensen"	"Rahbeksvej 4
4187 Sørvad"
"Fru Annemette Mortensen"	"Bygholm Allé 658
1853 Fakse Ladeplads"
"Prof. Ulrike Lauridsen"	"Ny Allé 6
3493 Hørning"
"Yan Poulsen"	"Thomas Koppelsvej 87
6885 Hadsten"
"Maria Schou"	"Artillerivej 26
3140 Ferritslev Fyn"
"Astrid Frederiksen"	"Nannasvej 403
4309 Branderup"
"Carlo Jepsen-Krogh"	"Nannasvej 779
6557 Balle"
"Ronnie Jakobsen"	"Vangsåstræde 21
8132 Humble"
"Bodil Bech"	"Krogerupgade 1
7610 Skjern"
"Prof. Paulina Winther"	"Boldhusvej 35
6918 Kolding"
"Einar Holm"	"Hannoverstræde 768
9158 Lystrup"
"Inga Johnsen-Kristensen"	"Mosedalvej 453
4205 Vodskov"
"Dr. David Andreasen"	"Rothesstræde 3
4362 Skælskør"
"Dr. Casper Jespersen"	"Solsikkevej 615
1490 Vesterborg"
"Joachim Clausen"	"Vallekildevej 62
8127 Holeby"
"Frede Frederiksen"	"Halgreensgade 10
2365 Gislinge"
"Margrethe Kristoffersen"	"Gransangerstræde 89
6464 Tølløse"
"Åge Lauritsen"	"Silkevej 446
7324 Nørre Nebel"
"Bodil Christensen-Jacobsen"	"Philip De Langesgade 48
7852 Hovedgård"
"Dr. Jonathan Andresen"	"Store Kannikevej 477
3471 Beder"
"Tove Sørensen"	"Dieselgade 81
1583 Strandby"
"Oda Olsen"	"Store Søndervoldvej 1
1270 Blokhus"
"Dennis Lauridsen"	"Montagne Allé 32
6428 Fårup"
"Hr Steven Steffensen"	"Pallesgade 4
2113 Broby"
"Lasse Sørensen"	"Masnedøvej 661
9542 Klovborg"
"Martin Skov-Holst"	"Mantuagade 540
4804 Holte"
"Jan Østergaard-Rasmussen"	"Asger Jornsstræde 72
6776 Hejls"
"Gunnar Jepsen"	"Sværtegade 205
5058 Hornbæk"
"Bodil Dahl"	"Dragsholmvej 6
2140 Errindlev"
"Sandra Mikkelsen"	"Engskiftegade 39
5949 Vamdrup"
"Paw Lauritsen"	"Christianshavns Voldvej 17
4152 Espergærde"
"Filippa Skov"	"Vejlevej 9
1234 Sjællands Odde"
"Winnie Steffensen"	"Kærskiftevej 1
3357 Sorring"
"Mimi Kristiansen"	"Pakkerigade 61
3390 Nørresundby"
"Prof. Torben Pedersen"	"Brønshøj Kirkestræde 4
8448 Farum"
"Dr. Jimmy Andersen"	"Lædervej 63
6054 Åbyhøj"
"Helen Nørgaard-Christensen"	"Flidsager Allé 25
2220 Strandby"
"Palle Jepsen-Dam"	"Rugagergade 436
9222 Kværndrup"
"Bodil Dam"	"Engelholmvej 9
1721 Blåvand"
"Dr. Susanne Dam"	"Staldvej 92
2708 Holme-Olstrup"
"Univ.Prof. Gerda Klausen"	"Spanteloftvej 3
5946 Ruds Vedby"
"Einer Rasmussen"	"Haralds Allé 6
7928 Herlev"
"Margit Mathiasen-Knudsen"	"Beategade 104
3829 Hejls"
"Ernst Christoffersen"	"Syvensvej 1
8738 Løgstrup"
"Fru Ellen Henriksen"	"Hulgårdsvej 599
6359 Suldrup"
"Benthe Eriksen"	"Bygårdvej 189
8391 Dybvad"
"Jeppe Sørensen"	"Galionsvej 8
9644 Gørlev"
"Laurits Svendsen"	"Tomatvej 1
9762 Lille Skensved"
"Bodil Jepsen"	"Torbenfeldtgade 8
1717 Roslev"
"Sarah Christiansen"	"Enigheds Allé 8
5360 Skive"
"Dr. Yannick Mogensen"	"Normandivej 6
3645 Bylderup-Bov"
"Dr. Mathilde Frandsen"	"Ægirsvej 914
8760 Ørum Djurs"
"Prof. Ofelia Dahl"	"Thorshavnsgade 2
4167 Løgstrup"
"David Skov"	"Rosenvængets Hovedgade 62
6098 Askeby"
"Hr Ulf Møller"	"Lundsgade 33
9296 Nyborg"
"Prof. Maya Thomsen"	"Enggade 602
4944 Thyholm"
"Alf Mathiasen"	"Bogenæsvej 7
6787 Børkop"
"Gerda Jespersen"	"Hyacintgade 978
7631 Munkebo"
"Bodil Rasmussen"	"Serbiensstræde 47
6976 Vemmelev"
"Prof. Yan Frederiksen"	"Vasbyvej 624
4014 Jyllinge"
"Sonja Bech"	"Jeppesvej 3
9118 Ferritslev Fyn"
"Solvej Larsen"	"Grevingevej 480
2895 Ebeltoft"
"Fru Mia Overgaard"	"Jægergade 438
6225 Sorring"
