"Aage Dahl"|"Jeppes Allé 29
9602 Risskov" 
"Ragna Hansen"|"Dag Hammarskjöldsvej 74
4361 København"
"Prof. Edith Eriksen"|"Viborgstræde 16
5338 Rønnede"
"Andreas Sørensen"|"Funkiavej 3
9451 Højbjerg"
"Jakob Nørgaard"|"Gartnerivej 597
9277 Herfølge"
"Bente Bech"|"Tovværkgade 8
6971 Rønnede"
"Ofelia Nielsen-Kjeldsen"|"Harrestrupvej 112
7483 Toreby"
"Dagny Karlsen"|"Birkager Allé 750
1883 Nørresundby"
"Dagmar Kristensen-Olsen"|"Stærevej 43
3380 Skævinge"
"Hanne Jespersen"|"Landlystvej 4
9717 Vig"
"Univ.Prof. Frans Lauritsen"|"Støvnæsvej 4
8213 Vejers Strand"
"Mimi Henriksen"|"Tromsøvej 335
8464 Solbjerg"
"Børge Schou"|"Raffinaderivej 38
8141 Klippinge"
"Mimi Gregersen"|"Toftager Allé 8
7758 Nørresundby"
"Fru Marie Rasmussen"|"Arresøgade 394
1665 Dianalund"
"Univ.Prof. Elisabeth Jepsen"|"Belgiensvej 49
9424 Harlev"
"Hr Tejs Winther"|"Rødkildestræde 71
7508 Bindslev"
"Dan Christoffersen"|"Lembergvej 4
9333 Herlufmagle"
"Viola Andersen"|"Ørnestræde 86
9813 Humble"
"Oda Krogh-Skov"|"Nordlandsstræde 639
8676 Hellebæk"
"Bruno Jacobsen-Bach"|"Jorisstræde 383
8577 Nørre Alslev"
"Hr Villads Karlsen"|"Skoleholdergade 3
8210 Ballerup"
"Oliver Mikkelsen"|"Lodigade 442
5319 Tarm"
"Yda Bertelsen"|"Metrovej 5
7279 Hvalsø"
"Mik Danielsen"|"Bjernedegade 293
6021 Hvide Sande"
"Marius Pedersen"|"Eriksvej 5
8068 Vrå"
"Magnus Koch"|"Kraftværksvej 38
2398 Klippinge"
"Daniel Bertelsen"|"Havkajakvej 9
5401 Sindal"
"Patrick Berg"|"Valkendorfs Allé 61
6382 Dalby"
"Dr. Christina Danielsen"|"Thyvej 68
3106 Læsø"
"Ebbe Søndergaard"|"Lundsfryd Allé 9
7236 Hemmet"
"Bruno Berg"|"Hagestedgade 5
4294 Herlev"
"Hr Valdemar Lauridsen"|"Slagtehusvej 5
8061 Stakroge"
"Kenny Svendsen-Mortensen"|"Fåborggade 85
5117 Stokkemarke"
"Univ.Prof. Jannie Frandsen"|"Livøgade 319
3714 Måløv"
"Dr. Jarl Laursen"|"Tøjmestervej 95
3903 Stenløse"
"Winni Carlsen"|"Hareskovvej 6
4525 Ansager"
"Daniel Thomsen"|"Lejre Allé 391
2383 Sandved"
"Solvej Andreasen"|"Risager Allé 3
3190 Samsø"
"Åge Nissen"|"Lybækstræde 9
2475 Sæby"
"Nete Jensen"|"Klostermarks Allé 878
7510 Snertinge"
"Freddy Nissen-Bach"|"Tingskrivervej 921
7454 Stenløse"
"Åbjørn Olesen"|"Ingerslevsstræde 708
4083 Borup"
"Prof. Michala Johansen"|"Østergårdsvej 7
9786 Skødstrup"
"Johnny Jeppesen"|"Skovharevej 567
1668 Fanø"
"Kenneth Jeppesen-Lassen"|"Collinsgade 6
8513 Ullerslev"
"Andrea Thorsen"|"Øster Sø Allé 366
8169 Fuglebjerg"
"Danny Friis"|"Guldagerstræde 889
3663 Egå"
"Ruben Mathiasen"|"Rosmarinvej 490
7388 Anholt"
"Dr. Inge Gregersen"|"Stenlillegade 160
3046 Højby"
"Prof. Mimi Carlsen"|"Floridagade 281
7372 Holbæk"
"Gorm Andreasen"|"Krügersgade 32
3135 Hundested"
"Agnes Olesen"|"Høyensvej 19
3269 Klarup"
"Sofia Østergaard"|"Drejergade 92
9960 Gesten"
"Dr. Ronni Kjeldsen"|"Præstemarksvej 22
8901 Stakroge"
"Lotte Bruun-Mathiesen"|"Gåsebæks Allé 6
8875 Grenaa"
"Per Knudsen"|"C.F. Møllersvej 889
6752 Tappernøje"
"Danny Jessen-Toft"|"Strandgade 838
6820 Fredericia"
"Prof. Kirstine Eriksen"|"Mikkel Skovs Allé 16
4732 Læsø"
"Daniella Nilsson"|"Trangravsgade 855
7300 Tistrup"
"Malene Petersen"|"Østre Teglgade 740
7606 Haderslev"
"Nina Larsen"|"Hanssted Allé 3
4441 Brøndby"
"Silas Jespersen-Kjeldsen"|"Spaniensgade 477
5571 Bredebro"
"Iver Paulsen"|"Rosenvængets Hovedstræde 27
2105 Grenaa"
"Ragnar Lind"|"Glostergade 19
6325 Lem"
"Sørine Nissen-Olsen"|"Küchlersvej 699
6040 Hejnsvig"
"Prof. Esmarelda Jakobsen"|"Bohlendachstræde 402
3920 Gesten"
"Danny Lauritsen"|"Kampmannsvej 1
5828 Sorø"
"Minna Krogh"|"Lyshøjgårds Allé 59
9278 Sønderborg"
"Nicklas Johnsen"|"Gammel Køge Landegade 9
2338 Ringsted"
"Joan Nissen"|"Grevinge Allé 973
6568 Gesten"
"Stefan Mathiesen"|"Vesterbrostræde 56
5842 Havdrup"
"Bo Mogensen-Ravn"|"Møntergade 5
4818 Østbirk"
"Ivan Christensen"|"Solskiftevej 2
5806 Frørup"
"Jytte Østergaard-Poulsen"|"Floridastræde 2
5425 Vejle"
"Maja Rasmussen"|"Spøttrupvej 6
6552 Billum"
"Dr. Cathrine Jakobsen"|"Genuagade 79
2722 Viuf"
"Dennis Hansen"|"Lyshøjvej 3
5864 Outrup"
"Britt Svendsen"|"Jupiter Allé 6
8345 Billund"
"Prof. Jørgen Schmidt"|"Kastelsgade 8
1691 Sejerø"
"Hr Henry Nørgaard"|"Nysø Allé 3
2483 Borup"
"Univ.Prof. Olfert Nissen"|"Løgæblevej 914
3830 Kongerslev"
"Hr Tage Bach"|"Annebergvej 5
5578 Gentofte"
"Carla Kjeldsen"|"Solrød Allé 78
2638 Karlslunde"
"Prof. Laura Andreasen"|"Vangsstræde 96
7333 Kjellerup"
"Casper Dam-Jepsen"|"Støberigade 4
4199 Ringkøbing"
"Lasse Larsen"|"Dronning Dagmarsvej 841
7669 Brønderslev"
"Dennis Hermansen"|"Meklenborgstræde 391
8617 Spøttrup"
"Gyda Vestergaard"|"Scherfigsgade 505
8621 Tappernøje"
"Bobby Olesen"|"Normandivej 15
2972 Risskov"
"Dr. Yda Lind"|"Pakhusvej 46
1647 Fredericia"
"Univ.Prof. Nick Christoffersen"|"Classensstræde 8
1545 Otterup"
"Lars Bach"|"Bryggerigade 34
8872 Bjerringbro"
"Ib Jeppesen"|"Slagelsestræde 86
4866 Fejø"
"Lærke Karlsen"|"Tøndebindervej 2
9190 Bevtoft"
"Dagmar Frandsen"|"Hindegade 7
7692 Vejers Strand"
"Maren Frandsen-Petersen"|"Stradellasvej 37
9256 Kolind"
"Dennis Rasmussen"|"Fehmernsgade 692
8005 Vorbasse"
"Univ.Prof. Edith Simonsen"|"Hjelmsvej 69
9360 Fur"
"Sofia Henriksen"|"Radisevej 15
8073 Middelfart"
"Randi Brandt"|"J.P.E. Hartmannsgade 672
4405 Gørding"
"Jens Simonsen"|"Kildevældsgade 9
9234 Hørsholm"
"Margit Koch"|"Stenkløvervej 771
2726 Charlottenlund"
"Prof. Sam Kjeldsen"|"Ørevads Allé 883
8472 Vejle Øst"
"Tilde Christensen"|"Bomsluttervej 50
3840 Svendborg"
"Ragner Bruun"|"Roselillevej 4
4177 Tjele"
"Agnes Nielsen"|"Halsskovvej 6
2331 Hvidovre"
"Dina Eriksen"|"Sturlasvej 7
4097 Ølgod"
"Univ.Prof. Yannick Lassen"|"Ejler Billesgade 7
9515 Vedbæk"
"Lærke Lauridsen"|"Toftøjegade 59
8895 Vejers Strand"
"Univ.Prof. Annette Andersen"|"Kongedybsgade 502
4503 Vejle Øst"
"Pernille Nissen"|"Gearhalsvej 66
4197 Nykøbing F"
"Maren Johansen"|"Lodivej 326
9835 Tjæreborg"
"Dr. Kenneth Poulsen"|"Webersgade 415
9887 Juelsminde"
"Dr. Nils Bruun"|"Koreagade 1
6427 Nyrup"
"Søs Kjeldsen"|"Kansasstræde 30
3886 Tarm"
"Keld Møller"|"Korsørvej 1
8410 Tilst"
"Dina Ravn"|"Travemündevej 3
1921 Rungsted Kyst"
"Hr Jonathan Kjær"|"Tingskifte Allé 9
6118 Store Merløse"
"Ursula Thorsen"|"Amagerbrogade 8
7811 Sakskøbing"
"Elisabeth Lind"|"Grønløkke Allé 609
9467 Virum"
"Alexander Lassen"|"James Grieve Allé 6
5693 Hornbæk"
"Lucas Clausen"|"Stenløsegade 92
7007 Nørre Nebel"
"Univ.Prof. Øyvind Kristensen"|"Sparresholmvej 15
9254 Havdrup"
"Nick Mogensen"|"Nansensstræde 4
6821 Anholt"
"Nils Pedersen"|"Blåmunke Allé 9
9716 Barrit"
"Oda Søndergaard"|"Frederikssundsvej 3
9341 Karrebæksminde"
"Dina Schou"|"Dybens Allé 14
3554 Hals"
"Inga Toft"|"Borgbjergsstræde 9
5076 Stouby"
"Sabine Jeppesen"|"Kanonbådsvej 914
8987 Fårvang"
"Magnus Holm"|"Fjenneslev Allé 2
4775 Gudme"
"Hannah Lind-Johansen"|"Kongshøjvej 9
7117 Augustenborg"
"Birthe Thorsen-Johnsen"|"Nordfeldgade 96
3908 Ulstrup"
"Dr. Helen Frederiksen"|"Maltavej 5
4283 Føllenslev"
"Berta Nørgaard"|"Tingskiftevej 694
8291 Sorring"
"Prof. Ragnar Jespersen"|"Viborgvej 9
2548 Ringe"
"Robert Jeppesen"|"Grøndals Parkstræde 9
6954 Rude"
"Ditte Bruun"|"Silkeborgvej 259
6089 Gørlev"
"Hr Bruno Kjær"|"Kjærstrupvej 81
9403 Lynge"
"Tejs Dahl"|"Flidsagergade 7
3844 Toreby"
"Bitten Steffensen"|"Ungarnsgade 7
9102 Holbæk"
"Leif Berg"|"Rosendals Allé 13
4018 Ørum Djurs"
"Prof. Nanna Jacobsen"|"Ragnagade 77
5340 Gjern"
"Lasse Olsen"|"Eckersbergsgade 441
5500 Ebeltoft"
"Univ.Prof. Christine Ravn"|"Marskens Allé 17
8388 Horsens"
"Univ.Prof. Villads Møller"|"Blekingevej 88
3457 Hadsund"
"Dr. Odeline Nilsson"|"Dovrevej 885
4844 Ruds Vedby"
"Doris Iversen"|"Guldbergsgade 868
1135 Gistrup"
"Dr. Steven Jacobsen"|"Wiedewelts Allé 4
6232 Brønderslev"
"Weena Krogh-Bech"|"Scherfigsvej 429
4425 Fakse Ladeplads"
"Arne Koch"|"Lysefjordsvej 31
6416 Bindslev"
"Johnny Bertelsen-Bach"|"Vester Farimagsstræde 34
5132 Bredebro"
"Sofie Rasmussen"|"Magistervej 393
3658 Hørve"
"Grete Iversen"|"Hvidkildegade 6
3446 Dalby"
"Fru Karoline Simonsen"|"Lundbyes Allé 7
7136 Greve Strand"
"Johanne Thygesen-Lassen"|"Kleinsgade 998
2411 Horbelev"
"Rita Kristoffersen"|"Rossinisvej 3
3977 Harboøre"
"Dorte Bach-Kjeldsen"|"Gadekærvej 2
5844 Frederikssund"
"Bøje Knudsen"|"Kattingegade 766
9173 Ørnhøj"
"Cirkeline Jacobsen-Friis"|"Lejre Allé 3
1355 Grenaa"
"Steen Kjær"|"Nyrnberggade 18
3132 Storvorde"
"Osvald Brandt-Dahl"|"Kaalundsgade 5
3807 Gudhjem"
"Fru Sara Thygesen"|"Ahlefeldtsvej 75
6064 Gedsted"
"Prof. Tommy Kristoffersen"|"Gothersgade 259
4719 Sønderborg"
"Henriette Kjeldsen"|"Stavangerstræde 669
9438 Frederiksberg"
"Christine Andreasen"|"Tårnhusvej 753
3104 Christiansfeld"
"Philip Kristiansen"|"Serridslevvej 44
6485 Lem"
"Dorte Berg"|"Meklenborgstræde 8
3908 Hovborg"
"Philip Kristensen"|"Delosgade 19
4487 Nørreballe"
"Prof. Valdemar Mortensen"|"Kongo Allé 8
9312 Årslev"
"Prof. Tim Olesen"|"Boltonvej 695
1062 Hovedgård"
"Sanne Kristensen"|"Snertingegade 804
1239 Rynkeby"
"Tonny Petersen-Berg"|"Steenbergs Allé 133
6435 Daugård"
"Noah Sørensen"|"Tigervej 7
9905 Ulfborg"
"Henriette Friis"|"Southamptonvej 8
8989 Lille Skensved"
"Prof. Robin Schou"|"Spanteloftvej 79
7853 Vester Skerninge"
"Ingrid Christiansen"|"Engelholmgade 75
5115 Langå"
"Dorte Berg-Østergaard"|"Hovedvagtsgade 53
3683 Vestervig"
"Univ.Prof. Brian Iversen"|"Folke Bernadottesgade 50
9445 Suldrup"
"Kirstin Nielsen"|"Beldringestræde 610
5030 Næstved"
"Aage Ravn"|"Rosenstræde 8
7160 Solrød Strand"
"Prof. Erik Holm"|"Helgesensvej 104
8796 Ugerløse"
"Jimmy Carlsen"|"Dybbølsvej 22
4749 Kvistgård"
"Werner Gregersen"|"Harevej 8
6365 Hjortshøj"
"Dr. Klaus Bruun"|"Rømersstræde 256
2474 Gudbjerg"
"Dr. Richard Nørgaard"|"Vølundsvej 453
7214 Gedser"
"Fru Dorte Johansen"|"Kulgade 2
2812 Dalby"
"Dorte Mikkelsen"|"Borthigsvej 194
5245 Dragør"
"Albert Søndergaard"|"Larsbjørnsgade 45
8923 Brøndby Strand"
"Kirstin Klausen"|"Jeppesgade 510
1599 Skibby"
"Frank Christiansen"|"Solitudegade 8
1691 Dalmose"
"Hr Hjalte Andresen"|"Overn Neden Vandetstræde 75
5099 Ringkøbing"
"Klara Eriksen"|"Mandalsvej 4
9626 Store Heddinge"
"Carla Laursen"|"Oxfordstræde 15
4560 Blommenslyst"
"Sebastian Mogensen"|"Hardenberg Allé 317
4797 Hovborg"
"Prof. Conny Bertelsen"|"Ægina Allé 103
3796 Hårlev"
"Esmarelda Pedersen"|"Heinesvej 96
5199 Ørsted"
"Dorte Svendsen"|"Risager Allé 83
7459 Sjællands Odde"
"Øvli Laursen-Toft"|"Brynhilde Allé 27
8352 Nakskov"
"Fru Nadia Bertelsen"|"Lombardistræde 467
7261 Ruds Vedby"
"Ane Poulsen"|"Dortheavej 8
9777 Vissenbjerg"
"Emilie Karlsen"|"Højdevangsgade 17
3423 Stakroge"
"Heidi Kjær"|"Amagerfælledstræde 795
1029 Ballerup"
"Zehnia Hansen"|"Heises Allé 741
3961 Dragør"
"Rosa Vestergaard"|"Vindingegade 861
2925 Lynge"
"Signe Schultz"|"Åkandegade 5
3908 Ålsgårde"
"Fru Karina Nissen"|"Kæmnerstræde 940
6029 Brabrand"
"Dorthe Jacobsen"|"Stockholmsvej 82
4380 Bolderslev"
"Dr. Søren Gregersen"|"Torbenfeldtvej 717
7281 Gislev"
"Univ.Prof. Lea Ravn"|"Limfjordsvej 53
9111 Hasle"
"Hr Daniel Mortensen"|"Skelmosevej 48
6942 Gentofte"
"Leif Eriksen"|"Asters Allé 1
2674 Tistrup"
"Minna Olesen"|"Brønshøjholmsvej 22
4618 Ruds Vedby"
"Fru Helle Steffensen"|"Kaldæagade 918
2502 Fjerritslev"
"Joachim Christiansen"|"Amager Strandstræde 8
6981 Asnæs"
"Frank Christensen"|"Overskousgade 7
6975 Tappernøje"
"Dr. Birger Bech"|"Falkevej 9
1047 Sporup"
"Dorthe Kristoffersen"|"Mysundevej 65
4679 Viby J"
"Joan Sørensen"|"Kongelundsvej 98
6779 Hellerup"
"Dr. Malou Lund"|"Øster Allé 4
5547 Kirke Eskilstrup"
"Gunhild Winther"|"Apollovej 73
9965 Odder"
"Oskar Kristiansen-Bach"|"Ulvefodstræde 1
6828 Vejby"
"Rune Kristensen-Thygesen"|"Hammerensvej 68
9178 Ebberup"
"Pete Danielsen"|"Tuelandsgade 29
4979 Sjællands Odde"
"Odette Klausen"|"Njalsgade 595
4334 Malling"
"Univ.Prof. Johanne Mortensen"|"Kaktusgade 92
9882 Nørreballe"
"Univ.Prof. Sam Lauritsen"|"Solskiftegade 8
2189 Nivå"
"Dorthe Thomsen"|"Philip De Langesvej 54
8679 Gislev"
"Jasmin Ravn"|"Persiensgade 14
3987 Hørning"
"Jørgen Schmidt"|"Teglholmvej 2
5066 Skårup"
"Tejs Søndergaard"|"Rygårdsvej 950
2862 Tappernøje"
"Bente Krogh"|"Herjedalgade 347
3417 Støvring"
"Richardt Henriksen"|"Javavej 86
7079 Dragør"
"Randi Ravn"|"Sejlklub Allé 39
2589 Vester Skerninge"
"August Jepsen"|"Roshagegade 4
6894 Bækmarksbro"
"Nick Friis"|"Købmagervej 4
7078 Rønne"
"Dr. Søren Klausen"|"Ålstrupstræde 72
5074 Græsted"
"Dr. Agnes Holm"|"Containervej 86
3877 Brønshøj"
"Werner Paulsen"|"Bardenflethsgade 796
8098 Bogø By"
"Elin Christoffersen"|"Tulipanstræde 336
6969 Thisted"
"Carlo Hermansen-Berg"|"Persille Allé 303
4355 Vester Skerninge"
"Univ.Prof. Asta Karlsen"|"Gåsegade 44
3928 Thisted"
"Univ.Prof. Bertil Skov"|"Grøndals Parkgade 880
3525 Kolind"
"Dagny Jacobsen"|"Marmorvej 69
9412 Vamdrup"
"Iver Hermansen"|"Teglgårdstræde 245
7121 København"
"Tine Winther"|"Brønshøjholmsgade 5
1050 Saltum"
"Elias Rasmussen"|"Ulriksdalstræde 12
7525 Holte"
"Dr. Agnes Mogensen"|"Emdrupstræde 62
4530 Høng"
"Dr. Helle Clausen"|"Krogagergade 694
1439 Tylstrup"
"Zara Kjær"|"Ungarns Allé 8
6198 Frederiksværk"
"Katja Clausen"|"Koldinggade 308
6741 Bredebro"
"Nanni Simonsen"|"Sigbrits Allé 750
9370 Vester Skerninge"
"Prof. Dan Jessen"|"Slotsgade 2
8422 Læsø"
"Joan Krogh"|"Æginavej 864
3112 Daugård"
"Jacobine Mikkelsen-Henriksen"|"Soltoftestræde 6
6024 Martofte"
"Maiken Jessen"|"Gråspurvegade 9
3270 Give"
"Gundhild Klausen"|"Thomas Koppelsvej 1
2049 Fejø"
"Dr. Annette Iversen"|"Enveloppevej 5
7085 Slagelse"
"David Clausen"|"Skaffervej 536
9674 Ranum"
"Gertrud Jessen"|"Mozartsvej 92
4495 Hejls"
"Astrid Pedersen"|"Amager Strand Allé 1
3407 Lemming"
"Svenning Ravn"|"Palermo Allé 566
2431 Aabenraa"
"Thomas Winther"|"Stemannsstræde 9
6589 Vejle Øst"
"Prof. Anette Svendsen"|"Gerts Allé 571
7160 Kjellerup"
"Dr. Sandra Schou"|"Timiansvej 48
9008 Rødby"
"Fru Nete Friis"|"Belfastgade 590
9203 Spenstrup"
"Univ.Prof. Gyda Lassen"|"Lille Fredensvej 393
4333 Vejle"
"Dr. Arne Lund"|"Firkløver Allé 579
1669 Gislinge"
"Klara Sørensen"|"Toldbodgade 29
3668 Hasselager"
"Fru Berta Poulsen"|"Sofie Brahesvej 29
4704 Skive"
"Sørine Jacobsen"|"Ny Adelvej 706
1489 Føllenslev"
"Tejs Andresen"|"Udbyvej 5
2587 Grevinge"
"Simone Andreasen-Knudsen"|"Solrødvej 11
4465 Skanderborg"
"Zahra Lund"|"Fuglagervej 708
2578 Grindsted"
"Silje Jacobsen"|"Øster Søvej 316
4181 Gjerlev"
"Stig Lassen"|"Kæragerstræde 7
6323 Rynkeby"
"Zelma Søndergaard"|"Spanteloftgade 914
2614 Frederikshavn"
"Dr. Benthe Larsen"|"Degnemosevej 256
6169 Skårup"
"Poul Jespersen"|"Møgeltønderstræde 681
7151 Dannemare"
"Prof. Carsten Madsen"|"Sandbjerg Allé 8
4059 Thyholm"
"Tina Frederiksen"|"Amaliestræde 127
3479 Løsning"
"Janni Kristensen"|"Cylindergade 3
2008 Outrup"
"Verner Berg"|"Fengersvej 872
5276 Dannemare"
"Lena Gregersen"|"Sorgenfri Allé 96
6783 Læsø"
"Mimi Jacobsen-Jørgensen"|"Edel Sauntesvej 35
1049 Hvide Sande"
"Prof. Camilla Carlsen"|"Adelvej 7
6286 Hobro"
"Sanne Dam"|"Fengersgade 65
9397 Øster Vrå"
"Dr. Benthe Madsen"|"Sandhusgade 3
1414 Lundby"
"Leonora Svendsen"|"Maribovej 675
1789 Toreby"
"Dr. Trine Dahl"|"Tårnblæserstræde 31
9749 Padborg"
"Ragnhild Lauritsen"|"Nyborggade 76
9273 Ryslinge"
"Janne Hermansen"|"Tovelillevej 513
5992 Guldborg"
"André Mathiesen"|"Krudtmøllegårdsvej 65
4115 Smørum"
"Prof. Katja Mikkelsen"|"Tøjhusvej 293
9813 Mariager"
"Abelone Christiansen-Paulsen"|"Kvægtorvsvej 966
5775 Sejerø"
"Frede Christoffersen"|"Stradellasvej 445
5088 Anholt"
"Mikkel Svendsen-Kristoffersen"|"Rødkløvervej 406
8417 Stenstrup"
"Dr. Beth Schou"|"Højdevej 9
2401 Ansager"
"Bertram Jørgensen"|"Gadekærvej 3
6597 Esbjerg"
"Ole Olsen"|"Ravnsborg Tværvej 856
3167 Bogense"
"Charlotte Frederiksen"|"Nørretoftegade 88
2757 Egernsund"
"Asta Hermansen"|"Frederiksstadsvej 44
3965 Maribo"
"Odeline Eriksen"|"Ådalsstræde 60
6580 Hørsholm"
"Pernille Steffensen"|"Strindbergsvej 74
4005 Skørping"
"Pete Lauritsen"|"Stormvej 19
7075 Bredebro"
"Zara Kjær-Mogensen"|"Æbeløvej 8
4267 Kjellerup"
"Prof. Ronny Steffensen"|"Mitchellsstræde 98
7892 Gelsted"
"Dr. Birgit Simonsen"|"Australiensgade 13
3078 Fakse Ladeplads"
"Karsten Steffensen-Frandsen"|"Carstensgade 57
3372 Tinglev"
"Johnnie Johnsen"|"Pistolgade 330
4680 Herlufmagle"
"Hr Nicklas Nielsen"|"Ullerupgade 8
9122 Risskov"
"Lucas Frandsen"|"Weyses Allé 7
2292 Østermarie"
"Connie Nørgaard"|"Hindbærvej 309
1816 Gentofte"
"Emilie Jessen"|"Eskadrestræde 70
7207 Munkebo"
"Univ.Prof. Lærke Eriksen"|"Olufsgade 54
6130 København"
"Maren Lund-Svendsen"|"Glucks Allé 19
4780 Bagenkop"
"Alexander Jepsen"|"Stokrosevej 6
1206 Melby"
"Dr. Birgitte Jeppesen"|"Islevhusvej 217
8023 Havdrup"
"Prof. Bodil Gregersen"|"Hobrogade 285
2541 Vamdrup"
"Fru Marlene Svendsen"|"Højstrup Allé 1
7806 Sorø"
"Simone Jacobsen"|"Vestre Tegl Allé 9
3517 Vonge"
"Prof. Tina Laursen"|"Gammel Jernbanevej 8
8112 Saltum"
"Inga Nissen"|"Farvervej 5
9320 Store Heddinge"
"Steen Kjær"|"Borthigsvej 634
9613 Vesterborg"
"Hr Anders Mogensen"|"Kærskiftevej 75
7250 Kruså"
"Sys Toft"|"Islevhusvej 5
6028 Bindslev"
"Sørine Olsen"|"P.D. Løvsgade 82
7862 Hørning"
"Dr. Bjarne Madsen"|"Hammelstrupvej 41
2179 Struer"
"Ragner Thomsen"|"Marskens Allé 30
6740 Karise"
"Robert Steffensen"|"Nørre Søvej 5
3311 Svendborg"
"Marius Jespersen-Møller"|"Løjtegårds Allé 258
8971 Nykøbing Sj"
"Beth Andresen"|"Biens Allé 6
1040 Sorring"
"Timmy Berg"|"Theisgade 4
8375 Tørring"
"Bertil Bach"|"Dybbølsgade 2
3053 Tim"
"Jacob Jensen"|"Ewaldsgade 56
6936 Give"
"Cirkeline Dam-Kristensen"|"Dronningensvej 72
3414 Holme-Olstrup"
"Oscar Christensen"|"Svanestræde 30
7193 Ulfborg"
"Dr. Bobby Nielsen"|"Næsbyholm Allé 105
5727 Farum"
"Dr. Paula Thorsen"|"Kvintus Allé 6
6653 Lystrup"
"Johnny Holst"|"Bavnehøjvej 1
3787 Jelling"
"Victor Friis"|"Nokken Forngade 5
8596 Bogø By"
"Karen Rasmussen"|"Odinsvej 6
5464 Glesborg"
"Dr. Regitse Østergaard"|"Spanteloftvej 1
2005 Stubbekøbing"
"Rolf Dam"|"Bredelands Allé 1
6725 Løsning"
"Catrine Brandt"|"Falkegade 5
8820 Otterup"
"Univ.Prof. Mikkel Holst"|"Nansens Allé 5
8518 Hundested"
"Signe Lauridsen-Christiansen"|"Sandbygårdgade 6
8097 Allinge"
"Dr. Bodil Andersen"|"Yduns Allé 954
5682 Kirke Hyllinge"
"Aksel Eriksen"|"Kristianiagade 4
6970 Tommerup"
"Majken Søndergaard"|"Snertinge Allé 8
7334 Løkken"
"Jens Svendsen"|"Lotusgade 40
3473 Skodsborg"
"Dr. Christopher Møller"|"Overn Oven Vandetvej 70
8996 Fakse"
"Boe Østergaard"|"Neapelgade 68
2468 Billund"
"Gertrud Clausen"|"Amagergade 46
2126 Ulfborg"
"Verner Lassen"|"Adriansgade 663
7591 Bevtoft"
"Kristina Hansen-Danielsen"|"Speditørvej 133
7175 Ans by"
"Frederik Vestergaard"|"Derbyvej 39
2026 Føllenslev"
"Dr. Brian Bruun"|"Smedestræde 496
5251 Nørager"
"Erna Schmidt"|"Jordbærvej 72
9023 Boeslunde"
"Dr. Elisabeth Hermansen"|"Apollovej 4
7489 Vallensbæk Strand"
"Ruth Dam"|"Yderlandsvej 155
4431 Kettinge"
"Kurt Kristensen"|"Veronavej 6
8872 Vesløs"
"Alexander Gregersen"|"Stavangergade 45
2510 Højslev"
"Victor Hansen"|"Istedstræde 82
1802 Ulfborg"
"Univ.Prof. Øystein Jepsen"|"Kejservej 46
8318 Gråsten"
"Beth Knudsen"|"Dyvekesgade 12
1684 Stenlille"
"Hans Ravn"|"Lille Strandstræde 534
3038 Vejle Øst"
"Dr. Brian Møller"|"Pernillegade 363
9663 Rørvig"
"Albert Schultz"|"Breslaustræde 952
2487 Valby"
"Malou Dam-Schultz"|"Tyttebærgade 5
3522 Hjerm"
"Johanne Steffensen"|"Amagerfælledgade 54
7826 Øster Ulslev"
"Dr. Per Holst"|"Valkyrievej 8
3276 Rask Mølle"
"Fru Ragnhild Simonsen"|"Albaniensgade 77
5065 Nørresundby"
"Prof. Sonja Mathiesen"|"Spøttrupgade 77
9960 Fredensborg"
"Maiken Holm"|"Ingerslevs Allé 688
9735 Frederikshavn"
"Fru Bettina Nissen"|"Landfogedvej 18
2534 Nordborg"
"Georg Hermansen-Møller"|"Glinkas Allé 381
5491 Dronningmølle"
"Dr. Britt Thorsen"|"Hastingsstræde 57
6243 Dannemare"
"Grethe Klausen"|"Nordre Kongelunds Allé 3
3016 Slagelse"
"Ludvig Johnsen"|"Svanestræde 284
4382 Haderup"
"Otto Thorsen"|"Kabbelejestræde 6
1445 Slangerup"
"Simon Østergaard-Mathiasen"|"Brorsonsstræde 857
3656 Haslev"
"Dr. Morten Paulsen"|"Rådvadsvej 737
5528 Korsør"
"Joachim Kjeldsen-Madsen"|"Østervej 151
6803 Svaneke"
"Univ.Prof. Camilla Andersen"|"Ansgarsgade 1
6632 Ansager"
"Nina Kristensen"|"Keplersgade 9
4847 Espergærde"
"Dr. Sille Kristiansen"|"Hessensvej 233
8429 Juelsminde"
"Dr. Carina Nørgaard"|"Merløsegade 9
2243 Skovlunde"
"Nicolaj Jessen-Danielsen"|"Travemündevej 335
2112 Dragør"
"Helle Brandt-Frederiksen"|"Knabstrupgade 7
7564 Virum"
"Winni Danielsen"|"Stavnstrupvej 10
4486 Karby"
"Brian Johansen"|"Murmanskvej 3
8527 Bælum"
"Fru Kirsten Danielsen"|"Sæbyholmsvej 9
8010 Tranbjerg J"
"Yvonne Holm"|"Hessensvej 360
5998 Fur"
"Annemette Madsen"|"Knuthenborggade 4
2780 Vonge"
"Olga Madsen"|"Kornblomstvej 481
9461 Hurup Thy"
"Villads Paulsen"|"Mimosagade 19
7740 Højslev"
"Dr. Caroline Frandsen"|"C.F. Møllersvej 323
2758 Hårlev"
"Daniel Sørensen"|"Bavnager Allé 445
4659 Tårs"
"Borris Eriksen-Jepsen"|"Gefionsgade 167
3544 Rørvig"
