"ავთანდილ გაბელია"	"ლიხაურის ქ. 13, ახალციხე" 
"ჟანა გობეჯიშვილი"	"შიო მღვიმელის ქ. 61, ზუგდიდი"
"გულიკო ღამბაშიძე"	"ტყვარჩელის ქ. 79, ლაგოდეხი"
"გოდერძი სიმონიშვილი"	"მათიაშვილის ქ. 23, სენაკი"
"გურამ ტაბატაძე"	"აგლაძე რაფიელის ქ. 39, ქობულეთი"
"ციური გორგოძე"	"ფიროსმანის ქ. 57, ზესტაფონი"
"ელმირა კვინიკაძე"	"ადიგენის ქ. 66, ახმეტა"
"შალვა რამიშვილი"	"კისისხევის ქ. 82, ხობი"
"ეკა ჯანაშია"	"ჭიაურელი მიხეილის ქ. 70, მცხეთა"
"ზაირა ბენდელიანი"	"ბელიაშვილი აკაკის ქ. 89, მარნეული"
"გოგი თოდუა"	"ქუთათელაძის ქ. 39, თეთრიწყარო"
"ქეთევან ქარჩავა"	"უმიკაშვილის ქ. 77, წალკა"
"ნუგზარ ჩინჩალაძე"	"ციმაკურიძის ქ. 00, გაგრა"
"ნანა მერებაშვილი"	"ბურკიაშვილის ქ. 23, ლანჩხუთი"
"გურამ ურუშაძე"	"დვალის ქ. 26, ყვარელი"
"რატი ჩაჩანიძე"	"ნაბახტაურის ქ. 62, წნორი"
"რატი ცხადაძე"	"სარაჯიშვილი დავითის ქ. 18, ხაშური"
"მარინა პეტრიაშვილი"	"ოქრომჭედლების ქ. 52, მარტვილი"
"ბონდო გაბელია"	"ჯ. კახიძის ქ. 74, ლაგოდეხი"
"ვიქტორ დვალი"	"დოღუმბარის ქ. 78, გალი"
"ემზარ აბესაძე"	"აწყურის ქ. 97, წნორი"
"ედუარდ ბურდული"	"ლეჟავას ქ. 96, საგარეჯო"
"იზოლდა პაპიაშვილი"	"კანდელაკის ქ. 21, გუდაუთა"
"მირანდა მოსიაშვილი"	"კოდალოს ქ. 27, მარტვილი"
"გურამ ფარცვანია"	"იზაშვილის ქ. 24, ტყიბული"
"ოთარ ჯღარკავა"	"ორთაჭალის ქ. 65, ტყიბული"
"ლუბა ჯალაღონია"	"მეტეხის ქ. 31, ონი"
"ამირან ლაბაძე"	"სტამბის ქ. 62, ქობულეთი"
"გია რაზმაძე"	"ნაგომარის ქ. 09, ხობი"
"მაია ნადირაშვილი"	"გუმათის ქ. 64, ოზურგეთი"
"პაატა ღარიბაშვილი"	"აწყურის ქ. 58, თერჯოლა"
"ედუარდ შავაძე"	"ტუსკიას ქ. 62, ლაგოდეხი"
"თორნიკე ჯაფარიძე"	"სხირტლაძის ქ. 19, თელავი"
"თეიმურაზ ქობულაძე"	"ტოლენჯის ქ. 61, საგარეჯო"
"გურამ ღვინიაშვილი"	"ბზიფის ქ. 04, წყალტუბო"
"ეთერ გელაშვილი"	"ლიხის ქ. 93, საჩხერე"
"ლაშა ნაჭყებია"	"გალავნის ქ. 08, რუსთავი"
"ნაზი ძიძიგური"	"მეგობრობის ქ. 70, ქარელი"
"პეტრე ხმალაძე"	"ხიმშიაშვილის ქ. 78, ჯვარი"
"თამუნა სიხარულიძე"	"კიევის ქ. 83, გორი"
"ვახტანგ ხურციძე"	"რატილის ქ. 74, გურჯაანი"
"ანჟელა ჯანაშია"	"გოთუას ქ. 49, გაგრა"
"მურმან კოპალიანი"	"ბესიკის ქ. 50, გალი"
"ნესტან მაჭავარიანი"	"კოდორის ქ. 74, ფოთი"
"გურამ ჩუბინიძე"	"მირზაანის ქ. 31, ლანჩხუთი"
"ბორის მეტრეველი"	"არალეთის ქ. 26, კასპი"
"ლიკა მაჭარაშვილი"	"ბადიაურის ქ. 75, გუდაუთა"
"სალომე ვარდოსანიძე"	"ახუნდოვის ქ. 59, ცაგერი"
"ფიქრია ქორიძე"	"დვირის ქ. 06, ახალი ათონი"
"პავლე კეკელიძე"	"ვირსალაძის ქ. 12, ქუთაისი"
"დოდო მამულაძე"	"ლუბლიანას ქ. 39, ტყიბული"
"ლაშა ბერაია"	"ათონელის ქ. 42, რუსთავი"
"ბადრი მჟავანაძე"	"ბოდბის ქ. 36, წალენჯიხა"
"მანანა ხუციშვილი"	"საბადურის ქ. 54, წალენჯიხა"
"გურამ ცანავა"	"ირბაქი ნიკიფორეს ქ. 31, ჭიათურა"
"კობა ტყემალაძე"	"ანტონოვსკაიას ქ. 07, ვალე"
"ბესიკ ბურდული"	"ოსიაურის ქ. 15, ახალი ათონი"
"უჩა მახათაძე"	"ნონეშვილი იოსების ქ. 27, წალკა"
"ნაზიკო ჯიქია"	"ზიჩი მიხაის ქ. 39, ტყვარჩელი"
"ჟუჟუნა ქავთარაძე"	"არველაძის ქ. 68, ბაღდათი"
