"ავთანდილ დალაქიშვილი","თვალჭრელიძის ქ. 25, ჭიათურა" 
"ლაშა ნიჟარაძე","არაგვისპირელი შიოს ქ. 55, წყალტუბო"
"გიორგი ბეჟანიძე","კონდოლის ქ. 05, სოხუმი"
"დიანა თოლორდავა","ახოსპირელის ქ. 63, ლაგოდეხი"
"ნანი იმნაძე","ჰოსპიტალის ქ. 59, ნინოწმინდა"
"ლევან ხმალაძე","სულიაშვილის ქ. 97, დუშეთი"
"მადონა გურგენიძე","დოღუმბარის ქ. 35, ვანი"
"სიმონ ქორიძე","ნათაძის ქ. 40, სიღნაღი"
"ნუგზარ კუხიანიძე","ხვედელიანის ქ. 00, მცხეთა"
"პავლე ვეკუა","ბარათაშვილი ნოკოლოზის ქ. 00, ახმეტა"
"გურამ შუკაკიძე","ხვიჩია იპოლიტეს ქ. 24, დუშეთი"
"ვარდო მარგველაშვილი","მესხეთის ქ. 50, გორი"
"თინათინ ლომსაძე","ბადიაურის ქ. 14, ოზურგეთი"
"ზურაბ ჩოხელი","კალატოზის ქ. 01, ბორჯომი"
"სალომე ქუთათელაძე","აკურის ქ. 83, თეთრიწყარო"
"ლარისა კინწურაშვილი","მათიაშვილის ქ. 63, მცხეთა"
"როზა ზარიძე","ბზიფის ქ. 11, ამბროლაური"
"ქეთო ხოზრევანიძე","უბილავას ქ. 72, ყვარელი"
"ლაშა პაპავა","ახმეტელის ქ. 46, აბაშა"
"ჯუმბერ მახარაშვილი","8 მარტის ქ. 80, ბაღდათი"
"გურამ ჩხაიძე","რიწის ქ. 75, გაგრა"
"ზურაბ ხაჩიძე","წმ. ნიკოლოზის ქ. 41, წალკა"
"ცირა ჩხაიძე","ალვანის ქ. 54, გარდაბანი"
"ლალი მუსტაფაევი","ვარდისუბნის ქ. 98, ამბროლაური"
"მანანა კუჭუხიძე","ზუგდიდის ქ. 00, ყვარელი"
"ლია შარიქაძე","თეთრიწყაროს ქ. 71, ახალციხე"
"იური წულაია","მიშველაძე არჩილის ქ. 95, ბათუმი"
"ვარდო მაღრაძე","მიმინოშვილი რომანის ქ. 17, ყვარელი"
"გივი ღვინიაშვილი","ნიაბის ქ. 96, ჭიათურა"
"ნუგზარ ჭეიშვილი","ლ. ელიავას ქ. 75, ცაგერი"
"დავით ახალაძე","ბუღეულის ქ. 47, ბაღდათი"
"იური ხიმშიაშვილი","საჭილაოს ქ. 79, გალი"
"პეტრე ქამადაძე","მირზა მეფის ქ. 68, საგარეჯო"
"გიგლა ხურცილავა","ტრიკოტაჟის ქ. 79, დედოფლისწყარო"
"გივი ნეფარიძე","დუშეთის ქ. 01, ოჩამჩირე"
"ნინელი მეგრელიშვილი","ანტონ კატალიკოსის ქ. 67, თერჯოლა"
"გიგა აბაშიძე","ვაზისუბნის ქ. 52, თერჯოლა"
"მარია მელიქიძე","ბუხაიძის ქ. 81, მცხეთა"
"შორენა მელიქიძე","ცოდნისკარის ქ. 61, თბილისი"
"ნატო სიხარულიძე","ბენდელიანი ჭიჭიკოს ქ. 37, სამტრედია"
