ავთანდილ ელიზბარაშვი18 
ამირან ტყებუჩავა    7  
ცირა ფარტენაძე      14 
რამაზ მეგრელიშვილი  18 
გოგა მეფარიშვილი    11 
ციური ფეიქრიშვილი   6  
ზაირა ახალაია       13
გვანცა კვირკველია   13 
ემზარ ქარდავა       10 
ნინო სიხარულიძე     13 
ვასილ კევლიშვილი    10 
ქეთო მამულაძე       3  
ინგა კალანდაძე      12 
ასმათ თედორაძე      11 
სონია ფხალაძე       3  
რომან კარაპეტიანი   8  
ელისო როსტიაშვილი   5
გვანცა ლორთქიფანიძე 14 
ვეფხვია მელაძე      13 
ჟუჟუნა ხარშილაძე    20 
