"Aada Andersson"	"Hannukselankuja 91
81292 Kivijärvi" 
"Irene Lehtimäki-Salminen"	"Haakoninlahdentie 51
52495 Siikalatva"
"Henrik Koskinen"	"Gunillanpolku 3
94140 Perho"
"Pirjo Hämäläinen"	"Fahlanderin puistotie 39
94991 Jokioinen"
"Pentti Leppänen"	"Bysantinbulevardi 9
01789 Ikaalinen"
"Santeri Paavola"	"Gunnel Nymanin bulevardi 581
09666 Ii"
"Anniina Nyman"	"Ylipalonkatu 285
79131 Multia"
"Antti Järvinen"	"Haapapolku 41
13327 Punkalaidun"
"Kristiina Karvinen"	"Degermosanbulevardi 789
20648 Lieto"
"Susanna Koskinen"	"Iltaruskonbulevardi 83
79694 Hartola"
"Katja Suominen"	"Runokylänkuja 5
80321 Reisjärvi"
"Irene Penttinen"	"Degermosantie 119
52802 Kotka"
"Jukka Immonen-Harju"	"Ilotulituskuja 163
48804 Lohja"
"Liisa Hiltunen"	"Louhenpolku 9
91819 Kuusamo"
"Kalevi Salminen"	"Freesentie 6
07409 Lumijoki"
"Kalevi Nousiainen-Mäkelä"	"Ahdekaunokinkatu 0
55924 Pertunmaa"
"Tuulikki Salminen"	"Saanatunturinbulevardi 656
26971 Keuruu"
"Johannes Ojala"	"Runeberginkatu 80
09606 Iisalmi"
"Osmo Jokinen"	"Tyyneläntie 39
44870 Saarijärvi"
"Juhani Jokinen"	"Kuhankeittäjänkuja 534
52590 Kaskinen"
"Tapio Lehtinen"	"Puroniitynpolku 76
17866 Ylitornio"
"Irene Rinne"	"Maakuja 92
76032 Heinola"
"Christian Blomqvist"	"Tukkisillanbulevardi 7
85517 Pomarkku"
"Esteri Pesonen"	"Urpukuja 66
21608 Sastamala"
"Veikko Koski"	"Fagottibulevardi 46
31503 Luoto"
"Marjaana Hyttinen"	"Ilkankuja 3
43223 Enonkoski"
"Tiina Tuominen"	"Iltaruskonkatu 660
13221 Rusko"
"Eila Laine"	"Nelikkopolku 04
82976 Naantali"
"Tuomas Tolonen"	"Nordenskiöldintie 3
17007 Ilomantsi"
"Sofia Järvinen"	"Wäinö Aaltosen katu 7
31698 Toholampi"
"Ensio Sillanpää"	"Ostoskuja 3
97860 Masku"
"Irene Rissanen-Harju"	"Saramäenkatu 502
68240 Kuhmoinen"
"Päivi Pohjola"	"Niitynperänkuja 42
97162 Uusikaarlepyy"
"Ensio Pulkkinen"	"Gyldéninkatu 820
22937 Mustasaari"
"Juhani Kinnunen"	"Willebrandintie 08
21118 Paltamo"
"Terttu Ranta-Pohjola"	"Kimmonkuja 1
74888 Vöyri"
"Tapani Kinnunen"	"Betleheminpolku 273
12920 Turku"
"Maria Malinen"	"Haagan pappilankatu 9
96603 Kouvola"
"Marjut Nurminen"	"Mamsellimyllynbulevardi 542
44618 Kruunupyy"
"Margit Ruuskanen"	"Walentin Chorellin kuja 15
73942 Sievi"
"Mikael Tiainen"	"Dagmarinbulevardi 47
70664 Korsnäs"
"Irja Holopainen-Hakkarainen"	"Tyynylaavantie 439
00350 Liminka"
"Maria Salminen-Nevalainen"	"Gunillankatu 9
59099 Kauniainen"
"Minna Lehtinen"	"Waseniuksen puistopolku 64
39612 Ilmajoki"
"Sara Keskitalo"	"Puroniitynkuja 282
83205 Joensuu"
"Teemu Korhonen"	"Nelikkokatu 043
27539 Asikkala"
"Väinö Lehtinen"	"Veropellontie 520
40666 Janakkala"
"Mirjami Hyttinen"	"Maneesikuja 27
32280 Kuhmo"
"Annika Eklund"	"Nelikkokatu 90
44336 Pöytyä"
"Ella Salonen"	"Disankatu 078
95056 Ikaalinen"
"Väinö Karjalainen-Rauhala"	"Sahaajanpolku 97
08643 Kangasala"
"Irja Huttunen"	"Capellan puistokuja 0
43790 Tuusula"
"Johan Aalto"	"Dunckerinkatu 6
78937 Sipoo"
"Petteri Rintala"	"Elisabeth Kochin polku 89
64228 Hailuoto"
"Iida Nevalainen-Kinnunen"	"Bengalinbulevardi 7
31737 Sievi"
"Raimo Ojanen"	"Salakkatie 4
87866 Hyrynsalmi"
"Heikki Lilja-Mustonen"	"Pyörökivenkuja 701
84121 Kustavi"
"Matias Markkanen"	"Ehrensvärdinpolku 7
08522 Marttila"
"Kyllikki Lähteenmäki"	"Wäinö Aaltosen bulevardi 1
65728 Lahti"
"Annikki Kinnunen"	"Runeberginkuja 678
99722 Joutsa"
"Terhi Nuutinen"	"Urkurinbulevardi 44
01871 Ristijärvi"
"Irja Leinonen"	"Waseniuksen puistobulevardi 89
34316 Padasjoki"
"Heli Lindholm"	"Rapolankuja 376
21273 Ylivieska"
"Antero Vuorinen-Räsänen"	"Vanha Rajatie 107
65291 Kankaanpää"
"Juhani Pulkkinen"	"Ida Ekmanin bulevardi 7
91502 Helsinki"
"Tuulikki Nieminen"	"Jägerhornintie 057
18472 Toholampi"
"Onni Riikonen"	"Urkurintie 9
49121 Alavus"
"Markus Korpela-Turpeinen"	"Vaarnapolku 26
13913 Siikalatva"
"Emilia Mäki"	"Iltatähdentie 637
24831 Tervo"
"Karoliina Linna"	"Kolvikatu 952
29357 Jämsä"
"Ilmari Ylitalo"	"Eljaksentie 546
38954 Juva"
"Irja Mattila"	"Bertha Pauligin kuja 22
00518 Kemiönsaari"
"Petri Kauppinen"	"Yrjöntie 0
73702 Kannonkoski"
"Heikki Manninen"	"Yrjönkuja 76
90045 Sottunga"
"Hannele Puustinen-Kaikkonen"	"Agricolankatu 085
34482 Ypäjä"
"Jyrki Halonen"	"Bergankuja 710
68186 Uurainen"
"Emilia Virtanen"	"Yrjö-Koskisen tie 107
85824 Asikkala"
"Tauno Nieminen"	"Hankasuonkatu 799
95319 Konnevesi"
"Mikael Kettunen"	"Wavulinintie 81
58359 Viitasaari"
"Kristiina Lahti"	"Ilvesbulevardi 360
20420 Pello"
"Aila Rissanen"	"Graniittibulevardi 34
88538 Puolanka"
"Irma Johansson"	"Fallkullanpolku 8
40345 Padasjoki"
"Tapio Rissanen"	"Bengalinkatu 86
85991 Utajärvi"
"Juhani Helin"	"Walentin Chorellin polku 547
13892 Saltvik"
"Kaarina Pakarinen"	"Hankasuonkuja 2
27597 Ristijärvi"
"Pirkko Salmi"	"Rukkilankatu 9
54449 Vaasa"
"Mikael Marttinen"	"Fallintie 731
39890 Harjavalta"
"Pekka Suhonen"	"Castréninbulevardi 9
74128 Kökar"
"Olavi Aaltonen"	"Orisaarenkuja 00
75641 Kannus"
"Lauri Virtanen"	"Ylänkökuja 259
97700 Ruokolahti"
"Seija Koivunen"	"Ilomäenkatu 670
87355 Luhanka"
"Irma Partanen"	"Maatie 97
74917 Rautalampi"
"Sisko Seppä"	"Louhikkobulevardi 2
71379 Kaavi"
"Erik Korhonen"	"Lentokapteenin tie 29
26422 Savitaipale"
"Katri Valkama"	"Salakkapolku 819
16687 Liminka"
"Aurora Rantanen-Leppänen"	"Gyldéninbulevardi 2
43730 Eckerö"
"Tapio Valtonen"	"Orapihlajakatu 792
63997 Juva"
"Juhani Seppänen-Aaltonen"	"Gunnel Nymanin kuja 390
77092 Pomarkku"
"Reijo Kokkonen"	"Agroksenbulevardi 321
74338 Juva"
"Antero Koivula"	"Dunckerinkuja 2
30890 Finström"
"Päivi Järvi"	"Laurinniitynkatu 9
06597 Tuusula"
"Irma Takala"	"Graniittikuja 8
21711 Liminka"
"Arja Heikkinen"	"Tuohikoivunpolku 75
70040 Tervola"
"Henri Rautio"	"Kukkaniityntie 1
63076 Perho"
"Leila Mikkola"	"Böstaksenkatu 821
89837 Vieremä"
"Katja Valtonen"	"Fahlanderin puistobulevardi 085
84295 Hamina"
"Anna Virtanen"	"Mannerheiminbulevardi 34
87495 Isojoki"
"Pekka Halonen-Mäkelä"	"Kiitäjänpolku 10
39727 Koski Tl"
"Jukka Haavisto-Kovanen"	"Hankasuontie 0
84290 Joroinen"
"Tapani Sjöblom-Heikkinen"	"Taavetti Laitisen polku 28
05068 Luoto"
"Liisa Lappalainen"	"Jämsänkuja 727
06931 Sund"
"Irmeli Blomqvist-Heinonen"	"Pohjolankatu 8
94899 Siikainen"
"Oona Lindroos"	"Usvapolku 81
73381 Nurmijärvi"
"Sisko Piirainen"	"Salamakatu 54
06543 Hankasalmi"
"Merja Pesonen"	"Rapakivenpolku 95
26686 Ilmajoki"
"Matti Järvinen"	"Salakkapolku 04
02297 Kauniainen"
"Pekka Haapala"	"Kolubulevardi 4
90717 Luumäki"
"Sakari Leinonen-Autio"	"Kimmonkuja 5
32046 Utsjoki"
"Marika Korhonen"	"Kuhankeittäjänkatu 84
91446 Iitti"
"Johannes Väisänen"	"Louhikkopolku 29
05571 Parikkala"
"Elina Mikkonen-Hartikainen"	"Vaarnatie 62
33882 Maalahti"
"Irmeli Hyttinen"	"Haravapolku 27
02434 Humppila"
"Eino Matilainen"	"Maatullintie 72
11257 Pyhäjoki"
"Juhani Saarela"	"Maabulevardi 870
14021 Joutsa"
"Eeva Huhtala"	"Jägerhorninbulevardi 30
15961 Hartola"
"Paavo Kivimäki-Oksanen"	"Maanmittarinpolku 3
60041 Karstula"
"Hilkka Laakkonen-Ikonen"	"Oraspolku 9
62251 Sottunga"
"Ilari Kovanen"	"Porinpolku 5
17198 Lumparland"
"Henrik Karjalainen"	"Bysantinkatu 97
82084 Vieremä"
"Henna Makkonen-Holm"	"Granfeltintie 5
95619 Pyhäjärvi"
"Helmi Kyllönen"	"Bertel Jungin polku 584
31743 Varkaus"
"Irmeli Kallio"	"Vanha Rajapolku 7
71982 Hankasalmi"
"Terttu Nevalainen"	"Urkurinkuja 1
30430 Lestijärvi"
"Juha Manninen-Koskinen"	"Fredrikinpolku 959
29924 Kannonkoski"
"Kari Heinonen"	"Iltatähdenpolku 4
03781 Brändö"
"Maria Ruuskanen-Hakala"	"Lemunbulevardi 94
21016 Uurainen"
"Tapio Pulkkinen"	"Taavinbulevardi 352
50407 Ylitornio"
"Aino Heikkinen-Lindgren"	"Haravatie 756
15627 Muonio"
"Anja Tiihonen"	"Fastbölenkatu 767
76156 Loppi"
"Ilona Salo"	"Bertel Jungin polku 275
84623 Hollola"
"Kalevi Virta"	"Chydeniuksenkatu 869
96780 Kruunupyy"
"Irmeli Karlsson"	"Niittylänkatu 02
16008 Tervola"
"Tomi Matikainen"	"Malminkartanonbulevardi 390
96697 Teuva"
"Benjamin Piirainen"	"Salavabulevardi 14
66353 Mynämäki"
"Jorma Pasanen"	"Lukkarimäenpolku 652
72055 Ilomantsi"
"Tapani Lappalainen"	"Granfeltinkuja 699
74683 Polvijärvi"
"Niina Nuutinen"	"Ylipalontie 7
92920 Enontekiö"
"Saara Seppälä"	"Jätkäsaarenkatu 6
83439 Iitti"
"Raija Salminen"	"Damaskuksenbulevardi 7
21489 Lumparland"
"Sofia Mäkelä"	"Ylä-Fallin polku 08
51393 Kangasniemi"
"Heidi Repo"	"Maasälvänkuja 2
26775 Hailuoto"
"Irmeli Karvonen"	"Fallkullankuja 269
93134 Sauvo"
"Mira Niemi"	"Wecksellintie 8
80676 Posio"
"Minna Lehto"	"Jägerhorninkuja 1
88670 Kolari"
"Juhani Lindberg"	"Betleheminkuja 10
33625 Ruokolahti"
"Anniina Koivisto"	"Fabianinpolku 66
98674 Virolahti"
"Aleksi Vuorinen-Mäkinen"	"Purjetuulenkatu 670
59249 Porvoo"
"Lauri Ranta"	"Sadetie 7
22867 Hartola"
"Orvokki Marttinen"	"Jänkäkatu 44
29294 Taivassalo"
"Nea Karjalainen"	"Kilpolanpolku 129
00421 Pieksämäki"
"Timo Korhonen"	"Tukkisillankatu 1
77508 Sottunga"
"Irmeli Koskela"	"Harbonpolku 64
62460 Hamina"
"Maria Nyman-Tuominen"	"Gneissipolku 383
68291 Kouvola"
"Orvokki Kiviniemi"	"Haapatie 7
00613 Hankasalmi"
"Matias Karjalainen"	"Maasalontie 3
61326 Vihti"
"Sanna Ojala"	"Castréninpolku 3
84044 Hirvensalmi"
"Tapani Palomäki"	"Niitynperänkatu 290
55142 Liminka"
"Sanna Laaksonen"	"Usvabulevardi 53
47294 Orimattila"
"Linnea Rajala"	"Salavabulevardi 597
52299 Teuva"
"Juuso Tiainen"	"Uurtajankuja 9
17546 Kumlinge"
"Markku Mikkonen"	"Ylipalonbulevardi 32
29079 Oulu"
"Irmeli Kujala"	"Haahkakatu 36
35645 Raasepori"
"Kristian Lehto"	"Edelfeltinbulevardi 47
64738 Kangasala"
"Tuula Koskinen"	"Yllästunturinkatu 72
22204 Rautavaara"
"Annikki Paananen-Paananen"	"Kilpolanbulevardi 4
62946 Polvijärvi"
"Mia Toivonen-Honkanen"	"Fallpakanbulevardi 851
37880 Inkoo"
"Minna Hautamäki"	"Agronominpolku 2
70701 Karkkila"
"Eija Niemelä"	"Hankasuontie 82
94092 Helsinki"
"Marika Hyvärinen-Malinen"	"Nordenskiöldintie 914
20295 Puolanka"
"Viljami Hänninen"	"Ylätuvanpolku 21
49852 Savitaipale"
"Emilia Määttä"	"Uussillankuja 401
39102 Kinnula"
"Irmeli Laine"	"Bergankuja 626
45515 Valtimo"
"Maria Korhonen"	"Uussillanbulevardi 470
28897 Laitila"
"Pekka Karjalainen-Suhonen"	"Porinkatu 96
04068 Muurame"
"Ritva Kinnunen"	"Franzéninbulevardi 0
68151 Seinäjoki"
"Tuula Johansson"	"Disankatu 818
40716 Janakkala"
"Veli Turpeinen"	"Betleheminbulevardi 9
69765 Rusko"
"Iida Hämäläinen-Vuori"	"Rapakivenpolku 756
86733 Halsua"
"Helena Tervo"	"Maneesibulevardi 258
54579 Halsua"
"Ilmari Lampinen"	"Kukkaniityntie 287
99865 Oulu"
"Raija Mäenpää"	"Nordenskiöldinkuja 567
54018 Lieksa"
"Irmeli Pöllänen"	"Chydeniuksenkatu 2
98051 Järvenpää"
"Johanna Eriksson"	"Haaksipolku 3
05569 Kangasala"
"Julius Seppälä"	"Jännekuja 4
50617 Orivesi"
"Seija Helenius"	"Taimistonbulevardi 90
62334 Haapavesi"
"Ritva Eronen"	"Elisabeth Kochin polku 65
14061 Vantaa"
"Annika Lehtonen"	"Agricolanpolku 7
24055 Utajärvi"
"Benjamin Jaatinen-Juntunen"	"Orapihlajakatu 29
59972 Kajaani"
"Veli Kulmala-Koski"	"Kukkaniitynbulevardi 76
20249 Merikarvia"
"Akseli Saarinen"	"Nikonkatu 76
37110 Hailuoto"
"Pauliina Koskela"	"Tukkisillanpolku 447
90164 Hartola"
"Jaakko Halme"	"Neulapadonkuja 6
42714 Virrat"
"Kristina Pennanen"	"Kolsintie 531
97281 Mikkeli"
"Satu Virta-Lehtonen"	"Agnes Sjöbergin tie 4
19719 Kuortane"
"Sakari Kauppinen-Laine"	"Otermantie 8
06711 Tampere"
"Tapani Nieminen"	"Versobulevardi 91
84363 Hailuoto"
"Pekka Hartikainen-Holmberg"	"Sadepolku 930
92603 Tervo"
"Eeva Hyvärinen"	"Eduskuntapolku 157
25995 Kärkölä"
"Tellervo Hytönen"	"Niemikatu 4
83107 Iitti"
"Elias Salo-Niemi"	"Tyynylaavantie 99
62227 Inari"
"Petteri Lindqvist-Eronen"	"Eino Leinon bulevardi 5
95954 Pyhäjärvi"
"Jaakko Harju"	"Osuuskunnankuja 56
64325 Multia"
"Marja Leinonen"	"Veropellonkuja 722
03441 Maarianhamina"
"Anneli Leinonen-Kantola"	"Vellikellonpolku 209
40951 Tampere"
"Katriina Anttila"	"Ostoskatu 180
39834 Maarianhamina"
"Anne Jussila"	"Ahdekaunokinbulevardi 786
08083 Siuntio"
"Outi Kemppainen-Härkönen"	"Chydeniuksentie 02
05026 Taipalsaari"
"Jesse Lappalainen"	"Ilomäentie 213
40191 Siikajoki"
"Matilda Nieminen"	"Edelfeltinkuja 217
49807 Kemijärvi"
"Veikko Koskela"	"Kiitäjänkuja 81
68085 Mustasaari"
"Anni Pekkarinen"	"Hankasuontie 95
19988 Sauvo"
"Jaakko Kangas"	"Otermanpolku 45
97841 Koski Tl"
"Johannes Koistinen"	"Niitynperänkatu 77
67909 Muurame"
"Tapani Lindroos-Paavola"	"Ahdekaunokinbulevardi 720
21877 Vantaa"
"Inkeri Hytönen"	"Ahvenkoskenkatu 1
37779 Kalajoki"
"Minna Laitinen"	"Uudenkaupungintie 9
02925 Äänekoski"
"Tapio Laine"	"Salavabulevardi 320
00640 Padasjoki"
"Risto Immonen"	"Elisabeth Kochin katu 51
86156 Kokkola"
"Maria Antikainen"	"Orisaarenpolku 3
87478 Tyrnävä"
"Marjatta Tuomi"	"Gyldéninbulevardi 0
83085 Laihia"
"Lilja Lankinen"	"Walentin Chorellin tie 4
62856 Mänttä-Vilppula"
"Jaakko Laitinen-Anttila"	"Aidasmäentie 724
93609 Pudasjärvi"
"Paula Kuusela"	"Dosentinkuja 261
99460 Koski Tl"
"Marjatta Alatalo"	"Eerik Pyhän kuja 87
74050 Somero"
"Sakari Jaakkola"	"Döbelnintie 43
79438 Kouvola"
"Jan Lahtinen"	"Graniittikuja 6
46410 Simo"
"Petri Halonen"	"Pohjolankuja 2
97052 Kaavi"
"Matilda Kulmala"	"Degermosantie 82
16400 Ruovesi"
"Katariina Järvinen"	"Jägerhorninbulevardi 6
70695 Säkylä"
"Juha Kallio"	"Puroniitynpolku 2
08747 Kaustinen"
"Pasi Saari"	"Kolsinbulevardi 89
19323 Heinävesi"
"Jaakko Linna"	"Dosentinpolku 5
73637 Raasepori"
"Juhani Hokkanen-Pesonen"	"Tahtipolku 1
95298 Outokumpu"
"Juhani Koskela"	"Vanha Rajapolku 503
00824 Valkeakoski"
"Elias Koponen"	"Vaarnakuja 308
06525 Evijärvi"
"Erik Koivula"	"Birger Kaipiaisen polku 364
24425 Kankaanpää"
"Erik Vuorela"	"Malminkartanonkatu 741
29901 Karijoki"
"Tapio Moilanen"	"Fredrikinbulevardi 87
17077 Kannonkoski"
"Maria Aalto-Alanko"	"Wäinö Aaltosen bulevardi 82
00497 Hämeenlinna"
"Erika Niskanen"	"Niittylänkuja 493
26165 Varkaus"
"Sinikka Pulkkinen-Kinnunen"	"Runonlaulajanbulevardi 863
71652 Utsjoki"
"Jaakko Raatikainen-Räsänen"	"Osuuskunnanbulevardi 547
65269 Salla"
"Nina Pulkkinen"	"Maasalonpolku 806
92728 Lapinjärvi"
"Antero Nurmi"	"Otermankuja 563
20019 Valkeakoski"
"Anne Asikainen"	"Puuskatie 211
28197 Vimpeli"
"Benjamin Seppälä"	"Sahaajankuja 19
43205 Pello"
"Juhani Pulkkinen"	"Louhikkopolku 478
49184 Pielavesi"
"Maarit Rinne-Ollila"	"Tuohikoivunpolku 0
92554 Iitti"
"Eetu Repo-Kolehmainen"	"Jänkäbulevardi 8
21568 Pyhäranta"
"Maria Rantala"	"Osmonbulevardi 1
83175 Pyhäntä"
"Mauri Paananen"	"Yrjönkuja 80
84090 Sauvo"
"Jaakko Rantanen"	"Uunisepänbulevardi 47
01623 Paimio"
"Sanna Karlsson"	"Vaakalinnunpolku 22
79355 Sastamala"
"Olli Salmela"	"Runonlaulajantie 765
06960 Nokia"
"Leena Linna"	"Sapilaskuja 78
38640 Rantasalmi"
"Tuulikki Ahola"	"Damaskuksenbulevardi 3
64429 Petäjävesi"
"Oskari Hartikainen"	"Maasalonkatu 24
59276 Juupajoki"
"Petteri Holm"	"Neulapadonkuja 151
60961 Kärkölä"
"Ilmari Pulkkinen"	"Winqvistintie 46
29647 Ristijärvi"
"Maarit Koski-Kämäräinen"	"Puuskakatu 4
32542 Mikkeli"
"Noora Nieminen"	"Ahdekaunokintie 34
28396 Kinnula"
"Jaakko Rytkönen"	"Ilkanpolku 68
20928 Toivakka"
"Annukka Oikarinen"	"Niemipolku 2
25197 Loviisa"
"Mauno Kivinen"	"Puuskakuja 69
33396 Alajärvi"
"Antero Karlsson-Eskelinen"	"Betleheminbulevardi 51
16533 Lieto"
"Kaarina Rissanen"	"Porkkalanpolku 3
48960 Multia"
"Hannu Lindström-Virtanen"	"Berganbulevardi 437
89105 Loppi"
"Sisko Antikainen"	"Agnes Sjöbergin katu 73
05130 Toivakka"
"Emilia Asikainen"	"Rapolankuja 083
69601 Orivesi"
"Henrik Räsänen"	"Ylätuvantie 387
26125 Lapinjärvi"
"Matias Hartikainen"	"Kuhankeittäjänpolku 665
59236 Rusko"
"Jaakko Tiihonen-Salonen"	"Tukkisillankuja 463
66591 Kokkola"
"Jenni Partanen"	"Böstaksenkuja 66
26884 Perho"
"Rasmus Johansson"	"Maapadonkuja 7
02895 Sottunga"
"Allan Heikkinen-Paananen"	"Cygnaeuksenpolku 46
14399 Karstula"
"Alisa Ihalainen"	"Sahaajantie 0
74720 Utsjoki"
"Elina Lahti"	"Kolutie 320
38595 Pietarsaari"
"Olavi Penttinen"	"Osmontie 7
39688 Loviisa"
"Hannele Haapaniemi"	"Yhteiskoulunbulevardi 76
11738 Kankaanpää"
"Hillevi Väisänen"	"Runoilijanpolku 927
47502 Veteli"
"Terttu Vuorinen"	"Lepolankuja 1
10721 Jämijärvi"
"Jaana Hyvärinen"	"Vesakkokatu 497
76779 Enontekiö"
"Kirsi Rissanen"	"Rukoushuoneentie 3
81327 Vieremä"
"Niko Koistinen"	"Ahvenkoskenkatu 41
90230 Kauniainen"
"Einari Ranta-Nevalainen"	"Bengalinpolku 100
04938 Nokia"
"Jaakko Lepistö"	"Tuohikoivuntie 8
89196 Pihtipudas"
"Eija Lindroos"	"Poikasaartenkatu 339
29457 Kontiolahti"
"Leena Hyvärinen"	"Kukkaniityntie 8
58806 Uusikaupunki"
"Marja Aalto"	"Jättiläisenkuja 42
49199 Padasjoki"
"Maritta Rytkönen"	"Puusepäntie 136
34766 Lemi"
"Lassi Oksanen-Jäntti"	"Maasalonkatu 490
73702 Oulu"
"Jaana Lähteenmäki-Määttä"	"Immolanpolku 423
39699 Hausjärvi"
"Sakari Lindberg"	"Disankatu 77
53678 Juva"
"Marianne Aalto"	"Wäinö Aaltosen katu 1
07119 Kinnula"
"Leena Ketola"	"Taavetti Laitisen tie 46
54296 Kaustinen"
"Seija Harju"	"Fabianinkatu 0
58206 Kerava"
"Daniel Keinänen-Kärki"	"Degermosanpolku 48
22860 Utajärvi"
"Henna Mäkinen-Kuusisto"	"Rukotie 67
72931 Korsnäs"
"Yrjö Jaatinen-Jääskeläinen"	"Katajaharjuntie 231
51068 Teuva"
"Kirsi Pesonen"	"Bergankuja 6
03249 Pälkäne"
"Maarit Ojala-Vainio"	"Benktanpolku 84
28968 Jyväskylä"
"Jaana Mustonen"	"Maapadontie 896
58742 Lestijärvi"
"Jaakko Vartiainen"	"Eljaksenpolku 24
12520 Siikainen"
"Marika Jokela"	"Mamsellimyllynpolku 3
09597 Lieksa"
"Toivo Makkonen"	"Haaksikuja 34
57045 Alajärvi"
"Mikko Heiskanen"	"Chydeniuksenbulevardi 655
52410 Mäntsälä"
"Toivo Hirvonen"	"Rukopolku 7
44570 Sauvo"
"Kari Tiihonen"	"Vesakkokuja 687
33960 Pomarkku"
"Juhani Pesonen"	"Salavakatu 737
04867 Kaustinen"
"Marjatta Kukkonen"	"Ehrensvärdinkuja 078
78247 Korsnäs"
"Johannes Kettunen"	"Mamsellimyllynkatu 518
90748 Ypäjä"
"Jalmari Huttunen"	"Gotlanninkuja 0
72797 Pöytyä"
"Helena Pesonen-Mäkelä"	"Chydeniuksentie 0
90607 Kokkola"
"Sofia Paavilainen"	"Vanha Rajakuja 4
83353 Juupajoki"
"Helena Hyvönen-Valkama"	"Vesalantie 90
35917 Tuusula"
"Eila Turunen-Tikkanen"	"Sahaajanpolku 576
16019 Lestijärvi"
"Karoliina Ojala-Keinänen"	"Fallinpolku 2
99587 Hyrynsalmi"
"Sanna Honkanen"	"Niitynperänkuja 458
71445 Mynämäki"
"Mikko Mäkelä-Karvonen"	"Jyvätie 9
19277 Kangasniemi"
"Heidi Vartiainen-Niskanen"	"Kimalaisbulevardi 9
51442 Kuhmo"
"Marjatta Heikkilä-Hakkarainen"	"Mannerheiminkatu 217
02061 Lapua"
"Jalmari Kinnunen"	"Eduskuntatie 021
48314 Mynämäki"
"Juhana Hyttinen-Salonen"	"Franzéninpolku 11
04672 Ristijärvi"
"Sari Suominen"	"Niitynperäntie 839
38305 Liminka"
"Elisabet Lähteenmäki"	"Agnetantie 59
83826 Ranua"
"Elias Saarinen"	"Kimmonbulevardi 7
21488 Tuusniemi"
"Tapani Laiho-Koivisto"	"Sadepolku 6
45103 Kannus"
"Sari Tanskanen"	"Aidasmäentie 793
75219 Rovaniemi"
"Maritta Ollikainen"	"Oraskuja 72
26532 Keminmaa"
"Aleksi Sipilä"	"Maakuja 4
28104 Oulainen"
"Mirjami Kämäräinen"	"Runoilijankuja 21
62755 Luoto"
"Jalmari Lampinen"	"Yrjö-Koskisen polku 004
34268 Kokkola"
"Maritta Komulainen"	"Böstaksentie 480
17005 Säkylä"
"Petri Ahola-Liukkonen"	"Otermantie 668
48178 Soini"
"Matti Rönkkö"	"Freesenpolku 1
30799 Parainen"
"Helena Rinne"	"Malminkartanonkuja 510
12934 Askola"
"Sara Laurila"	"Disankatu 502
81093 Loimaa"
"Helena Ronkainen"	"Urkurinkatu 526
65643 Kemi"
"Antero Karttunen"	"Ylätuvanbulevardi 8
05948 Joutsa"
"Eila Kovanen"	"Niittylänbulevardi 5
24939 Säkylä"
"Petra Saarinen"	"Orastie 505
83258 Säkylä"
"Jan Kettunen-Kivistö"	"Pohjolantie 423
48663 Mikkeli"
"Antti Markkanen-Koskinen"	"Ilveskuja 7
10572 Tammela"
"Antero Toivonen"	"Runeberginkuja 93
45942 Virrat"
"Petra Martikainen"	"Tuohikoivuntie 796
24844 Kuopio"
"Petteri Kosonen"	"Haravakatu 425
19163 Kontiolahti"
"Maarit Koskinen"	"Vesakkotie 67
17117 Muonio"
"Tapani Mustonen-Mäkinen"	"Yllästunturinkuja 3
21569 Raasepori"
"Aleksanteri Ruotsalainen"	"Ahdekaunokinbulevardi 067
76920 Pihtipudas"
"Liisa Kaikkonen"	"Fabianinpolku 66
75011 Heinävesi"
"Raija Honkanen"	"Laakavuorentie 6
54747 Tervo"
"Jan Suomalainen-Huovinen"	"Döbelnintie 65
17737 Kankaanpää"
"Ilari Kinnunen"	"Nervanderintie 0
09916 Inkoo"
"Joonatan Helenius"	"Maneesipolku 9
49449 Pyhäjoki"
"Hannele Viitanen"	"Kimalaispolku 66
39653 Joroinen"
"Antero Peltonen"	"Veropellontie 728
57086 Naantali"
"Janne Huotari"	"Caloniuksenbulevardi 16
14150 Kontiolahti"
"Iida Virtanen"	"Yrttimaantie 8
55261 Loviisa"
"Irmeli Mäkelä"	"Tyynelänkuja 855
14350 Mänttä-Vilppula"
"Sari Hänninen"	"Kukkaniitynbulevardi 884
54175 Honkajoki"
"Hannele Matikainen"	"Ormuskuja 661
39670 Jyväskylä"
"Jan Turpeinen"	"Aidasmäenpolku 7
99383 Muonio"
"Petteri Koskinen"	"Niemitie 9
92466 Pyhäntä"
"Arto Huttunen-Laine"	"Orvokkikatu 924
44149 Luumäki"
"Mari Kinnunen"	"Uunilinnuntie 82
27922 Pyhäranta"
"Pertti Järvinen"	"Gadolininpolku 1
04707 Kittilä"
"Jarno Laaksonen"	"Niittylänbulevardi 34
65756 Lumijoki"
"Helena Kauppinen"	"Fahlanderin puistokuja 765
50967 Kuusamo"
"Armas Kuusela"	"Uunilinnunkuja 7
00998 Alajärvi"
"Jarkko Rautiainen"	"Lautamiehentie 8
74100 Kolari"
"Eetu Andersson"	"Ehrensvärdintie 383
39911 Saarijärvi"
"Jani Kauppila"	"Tyynelänkuja 99
71382 Helsinki"
"Irmeli Nousiainen"	"Veropellonpolku 8
22893 Varkaus"
"Marianne Lehtonen"	"Runonlaulajantie 3
97312 Sipoo"
"Pia Kukkonen"	"Iltatähdenkuja 709
93058 Karkkila"
