"அகண்டலன் உத்பலா","34 அகிரா
மாலேகான்-970035" 
"தங்கம்மா ஷியாம்","89/7964 இசைக்கலை ஸ்டீபன்
நெய்வேலி-311048"
"எழில்மகள் யோகமலர்","620 கங்கைகொண்டான் ஹவிஷ்மதி
பாவ்நகர் 062507"
"உதயவானன்","25/646 கண்ணுக்கினியன்
அம்ரித்சர்-582906"
"இசக்கிமுத்து","30/650 வசந்தசேனா பத்மநாபன்
ஆசன்சோல் 471359"
"ஷாலிகா","508 நளினி வதனி
புனே-386723"
"அகத்தியன்","6 சந்தனு ஏக்ராம்
மீரட்-221170"
"கதிர்மாமணி","1/1 மகிழ்ந்தன் தங்கம்
லூதியானா 052869"
"நயன்தாரா","84/2290 ஸபீனா
கோலாப்பூர்-312898"
"ஆதிமறை","7840 மணிப்பவளன்
கோழிக்கோடு 128828"
"இசைமகள்","32/1489 கத்ரினா அக்மல்,
கும்பகோணம்-729402"
"நந்தா","1/8 ஆதிமறை
நாக்பூர் 519687"
"சங்கு","3021 அகல்விழி
பொள்ளாச்சி-508255"
"உதயவானன்","69/804 பதுமை
பொள்ளாச்சி 152980"
"உத்தியா","0 ஷஸ்வத் கதிர்
தில்லி 404256"
"ஏழிசைமணி பசுபதி","4 சத்யமூர்த்தி எழிலாம்பல்
வாரணாசி-035895"
"இசைச்செல்வன்","3/7 ஒளிமதி
குல்பர்கா 607943"
"உலகம்மை","43/7117 எழில் ரம்ஜான்
பாவ்நகர்-984701"
"ஷாமினி சஞ்ஜோக்","2245 ரித்திகா தன்மானம்
கும்பகோணம் 294810"
"யேகம்மை உண்மையொளி","2 இடைக்காடன்
அலிகார்-175194"
"சஜீத்","7/0 மங்களா
பரேலி 312097"
"எழில்மதி","13 ஷைலேந்திரா
நெய்வேலி-527340"
"ஸ்துதி","03/9177 ஸ்ரீநிவாஸ் ஆதவன்
துர்காபூர் 517432"
"உதயா ஆடலரசு","32/954 அகோரா ஏகாங்கா
உதயப்பூர் 211052"
"ரஞ்சிதா","3 பனிமலர் நன்னாடன்
காஞ்சிபுரம்-205666"
"நந்தினி","6/2 சஞ்சு
புதுக்கோட்டை-231426"
"யாழ்நங்கை","84/983 இசைமகள் கணேஷ்
கோலாப்பூர்-769602"
"கனல்","73/2250 யாழரசி எழிற்கதிர்
உதயப்பூர் 970475"
"ராஜேஷ்","1830 இந்திகாப்
சூரத்-644474"
"நந்தா ஆசிரா","5 எழிலேந்தி உஜிலா
பிகானேர் 439793"
"வருண்குமாH ஸுப்ரியா","503 வள்ளல்
ஹுப்ளி-தர்வாத்-557299"
"கண்ணப்பன்","6425 நம்பியருள் எழிற்கோமகள்
ராஜமுந்திரி 364781"
"தணிகைவேலன்","2272 ஏழிசைதேவி இந்திவார்
விசாகப்பட்டினம் 587372"
"உதயா","21 பவளம்
அம்ரித்சர் 189631"
"ஆண்டாள் மணிப்பவளன்","97/054 ஷைலேந்திரா மணியரசி
ஈரோடு-251712"
"இசைவாணன்","7256 வசுதாரிணி கதிர்
குண்டூர் 404615"
"கணைக்கால் ஹம்சவர்த்தினி","5 இசைச்செல்வம்
கும்பகோணம்-092057"
"ஐயன் பத்மினி","316 மகிழினி
நான்தேட் 454574"
"ஸ்ரீகமா","3284 ஏந்திழை சந்திர
நாசிக் 826100"
"கடலிறை","81/6304 ஹேமலதா
நாக்பூர் 802970"
"யூதிகா","29/1171 மகிழ்ந்தன் கடலரசன்
கோர்பா 639414"
"மணிநிலவன்","57/31 ரனித்தா மஞ்சள்
ஜோத்பூர்-325399"
"இசைமகள்","3/3 ஷிகா
ஜல்கான் 735318"
"உதயா","82/113 ஒளியழகன்
ஹுப்ளி-தர்வாத் 322852"
"நளினி கதிர்மாமணி","3471 ஏகலைவன்
நெல்லூர் 788186"
"ராஜகுமாரி ஷரண்","8/7 உலகநேயம் ஹிரண்யா
மாலேகான் 704289"
"சஞ்சு ஷர்மிளா","54/5045 சத்தியவாணி
நாக்பூர்-926520"
"வடிவழகி","7/8 நளினி
ராஜ்கோட் 079581"
"பசவராஜ்","72 இசைவளவன்
தன்பாத்-810260"
"அக்னிகா","54/7609 எமல்டா
பெல்காம்-591160"
"ஸ்ரீராம்","91 யாழ்நங்கை ராஜா
கோலாப்பூர் 577691"
"எழில் இசைக்கலைவாணன்","47/3948 சந்திர
இராஜபாளையம், விருதுநகர் மாவட்டம் 631942"
"ஆதிமகள் கண்ணம்மா","94 இசையமுது ஹரினி
ராஜமுந்திரி-379290"
"உதயாதி","1466 ஆசிரா
பிகானேர்-813144"
"மணிமுத்து ஏழிசைப்பாவை","2 பத்ரநிதி
ஜம்மு 649235"
"சஃபா","39 ஏழிசைச்சுடர் இக்ஷிதா
திருச்சிராப்பள்ளி 050517"
"கங்கைகொண்டான் பத்ராயணர்","63/8009 ஹம்ரிஷ் ஒளியவன்
நாகப்பட்டினம் 634787"
"இக்ஷிதா","71/16 இக்ஷூ, வள்ளுவன்
கோலாப்பூர்-054448"
"கதிரோன் ஏழிசைப்பாவை","40/31 ஆடற்கோமகள்
கோழிக்கோடு-247632"
"யோகலிங்கம்","14/46 ஸுப்ரியா
ஜோத்பூர் 709040"
"மணிப்பவளன் மணிமாலா","65/256 சங்காரம் ஹஸிதா
பாட்னா-817782"
"நம்பி கடம்பன்","03/32 ராஜவேலு
அவுரங்கபாத்-543711"
"ஸ்ரீயாதித்யா ரம்ஜான்","76/7070 ஹம்சா
அம்ரித்சர்-463891"
"உதயாதி","78/451 அக்மல், அகிலங்கடந்தான்
புதுக்கோட்டை-327325"
"வானத்து","43/5572 ஆட்டனத்தி ஷானன்
பிரோசாபாத்-521066"
"அகல்விழி","825 மணவழகி
குல்பர்கா-771678"
"ஹரிகரண் தங்கமதி","08/07 வாகீசன் யூகேந்திரன்
ஜோத்பூர் 273181"
"மணிச்சுடர்","081 சத்யேந்திரா
கோட்டா 790404"
"உபமன்யூ","89 தன்சி
குல்பர்கா 980632"
"வளவன்","1/9 ஹரிகரண் இசைத்தேவி
திருச்சிராப்பள்ளி-505619"
"சங்கொலி","027 நதியா நாச்சி
அம்ரித்சர்-460963"
"நன்னாயகம் எகாம்பரம்","0076 நாச்சி சத்ருகணன்
உதகமண்டலம் 868226"
"பகவந்த்","7113 ஹெலன் பத்மா
ஜல்கான்-100640"
"உதய்","52/55 ஆகமா
ஜலந்தர் 781524"
"உலகோவியம்","7585 ஏகசந்திரா
பாட்னா 380967"
"தணிகைவேலன்","60/50 தங்கச்சுடர்
குவாலியர் 757086"
